,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
427,6,10,59,30,2,0.06666666666666667,2,0.06666666666666667
428,6,10,59,40,4,0.1,3,0.075
429,6,10,59,50,5,0.1,3,0.06
430,6,11,69,10,2,0.2,2,0.2
431,6,11,69,20,2,0.1,2,0.1
432,6,11,69,30,2,0.06666666666666667,2,0.06666666666666667
433,6,11,69,40,4,0.1,3,0.075
434,6,11,69,50,6,0.12,3,0.06
435,6,12,76,10,2,0.2,2,0.2
436,6,12,76,20,2,0.1,2,0.1
437,6,12,76,30,2,0.06666666666666667,2,0.06666666666666667
438,6,12,76,40,3,0.075,2,0.05
439,6,12,76,50,5,0.1,3,0.06
440,6,13,80,10,2,0.2,2,0.2
441,6,13,80,20,2,0.1,2,0.1
442,6,13,80,30,2,0.06666666666666667,2,0.06666666666666667
443,6,13,80,40,3,0.075,2,0.05
444,6,13,80,50,5,0.1,3,0.06
445,6,14,88,10,2,0.2,2,0.2
446,6,14,88,20,2,0.1,2,0.1
447,6,14,88,30,2,0.06666666666666667,2,0.06666666666666667
448,6,14,88,40,3,0.075,2,0.05
449,6,14,88,50,5,0.1,3,0.06
450,6,15,95,10,3,0.3,3,0.3
451,6,15,95,20,3,0.15,3,0.15
452,6,15,95,30,3,0.1,3,0.1
453,6,15,95,40,3,0.075,3,0.075
454,6,15,95,50,6,0.12,4,0.08
455,6,16,113,10,3,0.3,3,0.3
456,6,16,113,20,3,0.15,3,0.15
457,6,16,113,30,3,0.1,3,0.1
458,6,16,113,40,3,0.075,3,0.075
459,6,16,113,50,4,0.08,3,0.06
460,6,17,118,10,3,0.3,3,0.3
461,6,17,118,20,3,0.15,3,0.15
462,6,17,118,30,3,0.1,3,0.1
463,6,17,118,40,3,0.075,3,0.075
464,6,17,118,50,4,0.08,3,0.06
465,6,18,128,10,3,0.3,2,0.2
466,6,18,128,20,3,0.15,3,0.15
467,6,18,128,30,3,0.1,3,0.1
468,6,18,128,40,3,0.075,3,0.075
469,6,18,128,50,5,0.1,4,0.08
470,6,19,135,10,3,0.3,2,0.2
471,6,19,135,20,3,0.15,3,0.15
472,6,19,135,30,3,0.1,3,0.1
473,6,19,135,40,4,0.1,3,0.075
474,6,19,135,50,5,0.1,3,0.06
475,8,1,18,10,5,0.5,7,0.7
476,8,1,18,20,6,0.3,8,0.4
477,8,1,18,30,7,0.23333333333333334,9,0.3
478,8,1,18,40,9,0.225,10,0.25
479,8,1,18,50,11,0.22,11,0.22
480,8,2,28,10,6,0.6,6,0.6
481,8,2,28,20,10,0.5,11,0.55
482,8,2,28,30,11,0.36666666666666664,12,0.4
483,8,2,28,40,12,0.3,13,0.325
484,8,2,28,50,14,0.28,14,0.28
485,8,3,39,10,6,0.6,8,0.8
486,8,3,39,20,10,0.5,11,0.55
487,8,3,39,30,11,0.36666666666666664,12,0.4
488,8,3,39,40,12,0.3,13,0.325
489,8,3,39,50,14,0.28,13,0.26
490,8,4,58,10,7,0.7,7,0.7
491,8,4,58,20,10,0.5,11,0.55
492,8,4,58,30,11,0.36666666666666664,12,0.4
493,8,4,58,40,12,0.3,14,0.35
494,8,4,58,50,13,0.26,15,0.3
495,8,5,66,10,6,0.6,7,0.7
496,8,5,66,20,9,0.45,10,0.5
497,8,5,66,30,11,0.36666666666666664,12,0.4
498,8,5,66,40,12,0.3,14,0.35
499,8,5,66,50,12,0.24,15,0.3
500,8,6,69,10,6,0.6,7,0.7
501,8,6,69,20,9,0.45,10,0.5
502,8,6,69,30,12,0.4,13,0.43333333333333335
503,8,6,69,40,13,0.325,13,0.325
504,8,6,69,50,14,0.28,15,0.3
505,8,7,80,10,6,0.6,7,0.7
506,8,7,80,20,11,0.55,10,0.5
507,8,7,80,30,12,0.4,11,0.36666666666666664
508,8,7,80,40,14,0.35,13,0.325
509,8,7,80,50,14,0.28,13,0.26
510,8,8,90,10,6,0.6,7,0.7
511,8,8,90,20,11,0.55,10,0.5
512,8,8,90,30,13,0.43333333333333335,11,0.36666666666666664
513,8,8,90,40,14,0.35,12,0.3
514,8,8,90,50,14,0.28,13,0.26
515,8,9,98,10,6,0.6,6,0.6
516,8,9,98,20,12,0.6,10,0.5
517,8,9,98,30,12,0.4,12,0.4
518,8,9,98,40,15,0.375,14,0.35
519,8,9,98,50,15,0.3,15,0.3
520,8,10,108,10,6,0.6,7,0.7
521,8,10,108,20,13,0.65,12,0.6
522,8,10,108,30,14,0.4666666666666667,13,0.43333333333333335
523,8,10,108,40,16,0.4,15,0.375
524,8,10,108,50,16,0.32,16,0.32
525,8,11,111,10,6,0.6,7,0.7
526,8,11,111,20,13,0.65,12,0.6
527,8,11,111,30,14,0.4666666666666667,13,0.43333333333333335
528,8,11,111,40,15,0.375,15,0.375
529,8,11,111,50,17,0.34,16,0.32
530,8,12,113,10,6,0.6,7,0.7
531,8,12,113,20,12,0.6,11,0.55
532,8,12,113,30,15,0.5,13,0.43333333333333335
533,8,12,113,40,15,0.375,15,0.375
534,8,12,113,50,17,0.34,16,0.32
535,8,13,120,10,6,0.6,6,0.6
536,8,13,120,20,12,0.6,11,0.55
537,8,13,120,30,15,0.5,14,0.4666666666666667
538,8,13,120,40,15,0.375,14,0.35
539,8,13,120,50,17,0.34,16,0.32
540,8,14,134,10,6,0.6,6,0.6
541,8,14,134,20,12,0.6,11,0.55
542,8,14,134,30,15,0.5,14,0.4666666666666667
543,8,14,134,40,15,0.375,14,0.35
544,8,14,134,50,17,0.34,16,0.32
545,8,15,143,10,7,0.7,6,0.6
546,8,15,143,20,12,0.6,11,0.55
547,8,15,143,30,15,0.5,15,0.5
548,8,15,143,40,15,0.375,15,0.375
549,8,15,143,50,17,0.34,16,0.32
550,8,16,159,10,7,0.7,6,0.6
551,8,16,159,20,10,0.5,10,0.5
552,8,16,159,30,15,0.5,15,0.5
553,8,16,159,40,15,0.375,15,0.375
554,8,16,159,50,16,0.32,16,0.32
555,8,17,170,10,7,0.7,6,0.6
556,8,17,170,20,10,0.5,10,0.5
557,8,17,170,30,14,0.4666666666666667,14,0.4666666666666667
558,8,17,170,40,15,0.375,15,0.375
