Year,Season,Title,Type,Episodes,Status,Source,Genres,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Themes,Demographics,Broadcast_Day,Broadcast_Hour,Duration_Minutes,Premiere Datetime
2020,0,Gu Xiong: Huo Qi,ONA,1.0,Finished Airing,Original,['Action'],PG-13 - Teens 13 or older,,20775.0,20264.0,262,0,,,,,,27.0,
2020,0,Guan Hai Ce Zhi Tie Qi Xiong Guan,ONA,16.0,Finished Airing,Original,"['Action', 'Fantasy']",,,20797.0,18203.0,397,0,,"['Historical', 'Martial Arts', 'Military']",,,,20.0,2020-04-26
2020,0,Gudetama,TV,1717.0,Finished Airing,Original,"['Comedy', 'Gourmet']",G - All Ages,6.66,6118.0,5979.0,13361,60,2707.0,,['Kids'],,,1.0,2014-03-31
2020,0,Gundam Build Divers Re:Rise 2nd Season,ONA,13.0,Finished Airing,Original,"['Action', 'Sci-Fi']",G - All Ages,7.48,2042.0,5896.0,13864,63,6353.0,['Mecha'],,,,24.0,2020-04-09
2020,0,"Hachi-nan tte, Sore wa Nai deshou!",TV,12.0,Finished Airing,Light novel,"['Action', 'Fantasy']",PG-13 - Teens 13 or older,6.27,8444.0,1010.0,256248,510,137373.0,"['Isekai', 'Reincarnation']",,4.0,21.0,23.0,2020-04-02
2020,0,Hajimete no Hitozuma,OVA,,Currently Airing,Manga,['Hentai'],Rx - Hentai,6.81,,6933.0,9320,85,3809.0,,,,,15.0,2020-05-22
2020,0,Hakumei no Tsubasa,ONA,7.0,Finished Airing,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",PG - Children,7.53,1832.0,4833.0,22943,71,12877.0,,['Kids'],,,6.0,2020-01-15
2020,0,Hakushon Daimaou 2020,TV,20.0,Finished Airing,Original,"['Comedy', 'Fantasy']",G - All Ages,6.0,9902.0,13583.0,1177,0,268.0,,,6.0,17.0,24.0,2020-04-11
2020,0,Hanakappa,TV,,Currently Airing,Picture book,['Comedy'],PG - Children,6.0,9903.0,14210.0,996,0,170.0,,['Kids'],,,10.0,2010-03-29
2020,0,Haritsuke,OVA,2.0,Finished Airing,Manga,['Hentai'],Rx - Hentai,5.66,,9136.0,4621,11,1839.0,,,,,20.0,2020-04-24
2020,0,Haru ni Nattara Koguma no Yugo Monogatari,ONA,,Currently Airing,Unknown,['Slice of Life'],G - All Ages,,20959.0,21565.0,190,0,,['Iyashikei'],['Kids'],,,0.5,2020-05-29
2020,0,Hatena☆Illusion,TV,12.0,Finished Airing,Light novel,"['Comedy', 'Romance', 'Supernatural']",PG-13 - Teens 13 or older,5.41,12374.0,3488.0,45412,32,16598.0,,,4.0,23.0,23.0,2020-01-09
2020,0,Healin' Good♡Precure,TV,45.0,Finished Airing,Original,['Action'],G - All Ages,6.92,4735.0,6043.0,12972,84,4184.0,['Mahou Shoujo'],,0.0,8.0,24.0,2020-02-02
2020,0,Hello Carbot Season 8,TV,26.0,Finished Airing,Original,['Action'],PG - Children,,21028.0,23184.0,125,0,,"['Mecha', 'Racing']",['Kids'],,,11.0,2020-01-05
2020,0,Heya Camp△: Sauna to Gohan to Sanrin Bike,Special,1.0,Finished Airing,Manga,['Slice of Life'],PG-13 - Teens 13 or older,7.56,1704.0,4999.0,21215,15,11456.0,"['CGDCT', 'Iyashikei']",,,,11.0,
2020,0,Holo no Graffiti,ONA,,Currently Airing,Other,['Comedy'],PG-13 - Teens 13 or older,8.16,450.0,3085.0,56792,1898,17892.0,,,,,1.0,2019-05-05
