,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
202,東方二次創作同人アニメ 夢想夏郷,,['OVA'],Unknown,Currently Airing,"Dec 29, 2008 to ?",,,['Maikaze'],"None found,","None found,",Game,,,22 min.,PG-13 - Teens 13 or older,7.26,#3068,#3674,"41,746",226,12704,"In the hidden magical land of Gensokyo, shrine maiden Reimu Hakurei constantly makes sure that supernatural incidents involving mythical creatures known as youkai remain as infrequent as possible. As part of her shrine's traditions, she hosts an annual summer banquet that invites a variety of guests, ranging from humans to even the strongest of youkai. On the morning of the banquet, however, the shrine's donation box suddenly goes missing. Furthermore, there appears to be no trace of any theft whatsoever. As Reimu, her friend Marisa Kirisame, and news reporter Aya Shameimaru investigate the situation, they realize that others also have missing possessions. With each step closer to piecing the puzzle together, the group soon understands that this phenomenon is more than just simple thievery—an incident on par with Remilia Scarlet's mist or Yuyuko Saigyouji's youkai cherry blossom. [Written by MAL Rewrite]",[],Touhou Niji Sousaku Doujin Anime: Musou Kakyou,Touhou Unofficial Doujin Anime: A Summer Day's Dream,['Fantasy'],['Vampire'],,,,,
203,超次元ゲイム ネプテューヌ THE ANIMATION,Hyperdimension Neptunia OVA,['OVA'],3,Finished Airing,"Jul 8, 2019 to Sep 8, 2022",,,['Frontier Works'],"None found,",['Okuruto Noboru'],Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",,26 min. per ep.,PG-13 - Teens 13 or older,7.16,#3580,#6024,"13,227",29,4135,"The four goddesses alongside their sisters—Nepgear, Uni, Rom, and Ram—meet at a famous mountain resort in Lastation Kingdom seeking that nostalgic ""summer vacation"" feeling. But their plan to sit back and relax in a hot spring is interrupted when the younger sisters are swept into a portal leading to a parallel universe! The seemingly unfortunate situation takes a comical turn when they are greeted by a familiar face. [Written by MAL Rewrite]",[],Choujigen Game Neptune The Animation OVA,,,,,,,,
204,思春期のお勉強,,['OVA'],6,Currently Airing,"Dec 17, 2021 to ?",,,['Mary Jane'],"None found,",['Studio 1st'],['Manga'],,,16 min. per ep.,Rx - Hentai,7.54,N/A,#6890,"9,514",79,3454,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shishunki no Obenkyou', '']",Shishunki no Obenkyou,,['Hentai'],,,,,,
205,アネハメ 俺の初恋が実姉なわけがない,,['OVA'],2,Finished Airing,"Dec 24, 2021 to Apr 8, 2022",,,['Mary Jane'],"None found,",['BreakBottle'],['Light novel'],,,17 min. per ep.,Rx - Hentai,7.12,N/A,#6975,"9,263",94,3616,"Akira finds himself in love with his classmate Shirayuki-san, however, little by little he realizes what he is looking for in that girl, which triggers an unexpected turn of events in his life...",[],Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,,['Hentai'],,,,,,
206,オナホ教室 ～女子全員妊娠計画～ THE ANIMATION,Onahole Classroom,['OVA'],1,Finished Airing,"Oct 29, 2021",,,['Pink Pineapple'],"None found,",['Studio 1st'],['Manga'],,,26 min.,Rx - Hentai,7.16,N/A,#7137,"8,734",90,3810,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Onaho Kyoushitsu: Joshi Zenin Ninshin Keikaku', '']",Onaho Kyoushitsu: Joshi Zenin Ninshin Keikaku - The Animation,,['Hentai'],,,,,,
207,宇宙戦艦ヤマト2205 新たなる旅立ち,Star Blazers: Space Battleship Yamato 2205,['OVA'],8,Finished Airing,"Oct 8, 2021 to Feb 4, 2022",,,"['Production I.G', 'Shochiku', 'Voyager Entertainment', 'Bandai Namco Arts', 'Bandai Spirits', 'ADK Marketing Solutions']","None found,",['Satelight'],Original,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,7.54,#1811,#7482,"7,716",30,1856,"Gamilans are facing their biggest hurdle yet: their planet is dying at an alarming pace. To save his people and relocate them to habitable land, Aberdt Desler feigns submission to the oppressive rule of the planet Galman, which houses a race almost identical to the Gamilans. Desler's true objective is to seize control and accelerate the salvation of his nation. However, as Gamilans begin their migration, an unidentified massive power attacks them and completely warps their twin planet—Iscandar, Queen Starsha's home. Meanwhile, Earth is celebrating the success of the magnificent Space Battleship Yamato and its heroic crew. A new generation of promising recruits joins Yamato and its two new support ships, led by Yuki Mori and Shirou Sanada. But not everyone agrees with the past decisions of its captain, Susumu Kodai. During the Yamato's six-month-long training mission and diplomatic meeting with the Gamilans, the crew learns of the recent catastrophe, and against all orders, Kodai commands the fleet to Iscandar to aid the surviving refugees. [Written by MAL Rewrite]","['Prequel (OVA) Uchuu Senkan Yamato 2202: Ai no Senshi-tachi', 'Prequel (Movie) ""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku', 'Sequel (Movie) Yamato yo, Towa ni: Rebel 3199', '']",Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,"Space Battleship Yamato 2205: A New Journey - Prior Chapter: Take Off, Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Zenshou - Take Off, Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Koushou - Stasha",,,,,,,
208,がーるずらっしゅ THE ANIMATION,,['OVA'],2,Finished Airing,"Dec 24, 2021",,,['Pink Pineapple'],"None found,",['Studio 1st'],['Manga'],,,15 min. per ep.,Rx - Hentai,7.04,N/A,#7518,"7,624",38,3304,"The hero's family hires a ""sugar sister"" named Hinano-san to take care of him after school. The two fall for each other and have several sexual meetings.",[],Girls Rush The Animation,,['Hentai'],,,,,,
209,千鶴ちゃん開発日記,,['OVA'],6,Finished Airing,"Oct 1, 2021 to Dec 3, 2021",,,['Lune-Pictures'],"None found,",['T-Rex'],['Manga'],,,16 min. per ep.,Rx - Hentai,6.84,N/A,#7572,"7,501",73,3421,An honor student who finds herself blackmailed by a scrotum professor who takes her virginity and does various perverse things.,"['Adaptation (Doujinshi) Chizuru-chan Kaihatsu Nikki', '']",Chizuru-chan Kaihatsu Nikki,Chizuru-chan's Development Diary,['Hentai'],,,,,,
210,薄桜鬼 OVA,,['OVA'],3,Finished Airing,"Nov 13, 2021 to Jan 29, 2022",,,['NBCUniversal Entertainment Japan'],"None found,",['Studio Deen'],Visual novel,"['Action', 'Drama', 'Supernatural']","['Historical', 'Samurai']",27 min. per ep.,R - 17+ (violence & profanity),7.07,#4066,#8039,"6,487",30,1463,New Hakuoki OVA.,[],Hakuouki OVA (2021),Hakuoki ~Demon of the Fleeting Blossom~,,,['Josei'],,,,
211,Mama×Holic ~魅惑のママと甘々カンケイ~ THE ANIMATION,,['OVA'],2,Finished Airing,"Nov 26, 2021",,,['Pink Pineapple'],"None found,",['Seven'],Visual novel,,,19 min. per ep.,Rx - Hentai,7.20,N/A,#8132,"6,307",28,2658,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (OVA) Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation', '']",Mama x Holic: Miwaku no Mama to Amaama Kankei - The Animation,,['Hentai'],,,,,,
212,パパ喝ッ!,,['OVA'],4,Finished Airing,"Dec 24, 2021 to Aug 25, 2023",,,"None found,","None found,",['Nur'],Original,,,24 min. per ep.,Rx - Hentai,6.37,N/A,#8583,"5,559",37,1950,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Papa Katsu!,,['Hentai'],,,,,,
213,コンビニ少女Z,,['OVA'],4,Finished Airing,"Dec 24, 2021 to Jul 29, 2022",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,16 min. per ep.,Rx - Hentai,6.15,N/A,#9342,"4,355",12,1611,The protagonist of this story is the manager of a convenience store. ​Lately he is vexed by the rapid increase in shoplifting incidents.,[],Konbini Shoujo Z,,['Hentai'],,,,,,
214,コスプレチェンジ ~ピュア系女子大生の危険な性癖~,,['OVA'],4,Finished Airing,"Nov 26, 2021 to Jun 24, 2022",,,"None found,","None found,",['Mousou Senka'],['Manga'],,,20 min. per ep.,Rx - Hentai,5.57,N/A,#9348,"4,343",8,1675,"Aima Imoko is a young college student with a hobby of cosplay. Luckily there is a cosplay shop near her where she would like to try on a few outfits. On site she meets a hardcore otaku shop owner who also cosplays. Both are deep in their roles and she is a bit revealing, what are they supposed to do?",[],Cosplay Change: Pure-kei Joshidaisei no Kiken na Seiheki,,['Hentai'],,,,,,
215,対魔忍不知火〜淫欲の奴隷娼婦〜,,['OVA'],1,Finished Airing,"Nov 19, 2021",,,['ZIZ Entertainment (ZIZ)'],"None found,",['Teatro Nishi Tokyo Studio'],Visual novel,,,21 min.,Rx - Hentai,5.94,N/A,#9786,"3,791",14,1457,"This series tells about Shiranui, the mother of Mizuki Yukikaze, who went on a mission and disappeared, since then nothing has been known about her for five years. Time passed, and her daughter Yukikaze, together with Rinko and her brother, came to the solution of the possible location of Shiranui. In the new episode, we will see how she was captured, raped and sexually trained to become a first-class whore. (Source: ZIZ)",[],Taimanin Shiranui: Inyoku no Dorei Shoufu,,['Hentai'],,,,,,
216,続・王女＆女騎士Wド下品露出 ~恥辱の見世物奴隷~,,['OVA'],2,Finished Airing,"Oct 15, 2021 to Nov 19, 2021",,,"['White Bear', 'Mediabank']","None found,",['Anime Antenna Iinkai'],Visual novel,,,17 min. per ep.,Rx - Hentai,5.51,N/A,#10486,"3,048",4,1182,Based on the erotic game by Pin-Point.,"['Prequel (OVA) Oujo & Onna Kishi W Do Gehin Roshutsu', '']",Zoku Oujo & Onna Kishi W Do Gehin Roshutsu: Chijoku no Misemono Dorei,,['Hentai'],,,,,,
217,劇場版 呪術廻戦 0,Jujutsu Kaisen 0,['Movie'],1,Finished Airing,"Dec 24, 2021",,,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'Sumzap']",['Crunchyroll'],['MAPPA'],['Manga'],"['Action', 'Supernatural']",,1 hr. 44 min.,R - 17+ (violence & profanity),8.41,#191,#147,"1,087,559","10,669",667879,"Violent misfortunes frequently occur around 16-year-old Yuuta Okkotsu, a timid victim of high school bullying. Yuuta is saddled with a monstrous curse, a power that dishes out brutal revenge against his bullies. Rika Orimoto, Yuuta's curse, is a shadow from his tragic childhood and a potentially lethal threat to anyone who dares wrong him. Yuuta's unique situation catches the attention of Satoru Gojou, a powerful sorcerer who teaches at Tokyo Prefectural Jujutsu High School. Gojou sees immense potential in Yuuta, and he hopes to help the boy channel his deadly burden into a force for good. Yet Yuuta struggles to find his place among his talented classmates: the selectively mute Toge Inumaki, weapons expert Maki Zenin, and Panda. Yuuta clumsily utilizes Rika on missions with the other first-year students, but the grisly aftermath of Rika's tremendous displays of power draws the interest of the calculating curse user Suguru Getou. As Getou strives to claim Rika's strength and use it to eliminate all non-jujutsu users from the world, Yuuta fights alongside his friends to stop the genocidal plot. [Written by MAL Rewrite]","['Sequel (TV) Jujutsu Kaisen', 'Adaptation (Manga) Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou', 'Adaptation (Light Novel) Gekijouban Jujutsu Kaisen 0 Novelize', '']",Jujutsu Kaisen 0 Movie,"Gekijouban Jujutsu Kaisen 0, JJK 0",,['School'],['Shounen'],,,,
218,劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア,Sword Art Online the Movie: Progressive - Aria of a Starless Night,['Movie'],1,Finished Airing,"Oct 30, 2021",,,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa', 'Sonilude']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 37 min.,PG-13 - Teens 13 or older,7.95,#736,#949,"271,213","2,153",107799,"Excelling socially and academically, Asuna Yuuki is on track to ace her high school entrance exams. Her friend and classmate, Misumi ""Mito"" Tozawa, advises her to take a short break from studying and join her on the launch day of Sword Art Online (SAO)—the highly anticipated online virtual reality multiplayer game. Asuna accepts her offer and soon meets her in the game. In a cruel twist of fate, Asuna, Mito, and every other player logged into SAO find themselves trapped in the game permanently. The only way out is to clear all one hundred floors of the game, and to make matters worse, dying inside the game will kill the player in real life. With SAO now turned into a nightmare death trap, Asuna and other gamers—such as the lone swordsman Kazuto ""Kirito"" Kirigaya—must adapt and survive, all whilst attempting to beat the unforgiving competition to the top. [Written by MAL Rewrite]","['Sequel (Movie) Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo', 'Adaptation (Light Novel) Sword Art Online: Progressive']",Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"SAO Progressive Movie, Aria in the Starless Night, Hoshinaki Yoru no Aria",,['Video Game'],,,,,
219,サマーゴースト,,['Movie'],1,Finished Airing,"Nov 12, 2021",,,"['Avex Pictures', 'Flagship Line']",['GKIDS'],['Flat Studio'],Mixed media,"['Drama', 'Supernatural']",,39 min.,PG-13 - Teens 13 or older,7.90,#821,#1846,"128,719","1,092",49163,"It is said that fireworks can calm the souls of the dead. For Tomoya Sugisaki, Aoi Harukawa, and Ryou Kobayashi, fireworks are what allowed them to meet the Summer Ghost. Believed to be the spirit of a young woman who committed suicide, the Summer Ghost only appears in a specific area and can only be seen by those who are within arm's reach of death. Tomoya is a creative soul being crushed by his academic obligation to get into a good university. Aoi is a meek girl who is relentlessly bullied by her classmates. Ryou is a former basketball star who had to forfeit his passion following a grim diagnosis. The only thing these three have in common is their ability to see the Summer Ghost. The Summer Ghost is said to be able to answer any and all questions pertaining to death—something the three teenagers desperately want to know more about. Dissatisfied with their initial meeting, Tomoya sets out to find the Summer Ghost once again. But the more time he spends with the ghost, the more the mystery surrounding her existence unravels. [Written by MAL Rewrite]","['Adaptation (Novel) Summer Ghost', 'Adaptation (Manga) Summer Ghost']",Summer Ghost,Project Common,,,,,,,
220,アイの歌声を聴かせて,Sing a Bit of Harmony,['Movie'],1,Finished Airing,"Oct 29, 2021",,,"['Shochiku', 'Bandai Namco Arts']",['Funimation'],['J.C.Staff'],Original,"['Drama', 'Sci-Fi']","['Music', 'School']",1 hr. 48 min.,PG-13 - Teens 13 or older,7.69,#1324,#2069,"111,074",740,27830,"Satomi Amano is a model student as well as the daughter of the leading project manager of Hoshima, a company that has revolutionized AI technology. However, due to her standing, Satomi's presence has isolated her from her classmates—an obstacle she knows she may never overcome. On an otherwise uneventful day, while preparing for school, Satomi uncovers her mother's latest exciting proposition: an AI that will prove whether robots can live alongside humans. Intrigued by how her mother will commence the project, Satomi makes her way to school, but standing in front of the class is none other than the AI herself. As the subject of research, Shion Ashimori is tasked to fit in like a normal teenage girl without exposing her true identity. However, Shion has another goal in mind—to make Satomi happy instead. With her talent for singing, Shion strives to compose harmonious melodies that not only connect her with her newfound friends but also dispel the dissonance within Satomi's heart. [Written by MAL Rewrite]","['Adaptation (Manga) Ai no Utagoe wo Kikasete', '']",Ai no Utagoe wo Kikasete,,,,,,,,
221,劇場版 抱かれたい男1位に脅されています。～スペイン編～,DAKAICHI -I'm being harassed by the sexiest man of the year- the Movie: Spain Arc,['Movie'],1,Finished Airing,"Oct 9, 2021",,,"None found,","None found,",['CloverWorks'],['Manga'],"['Boys Love', 'Comedy', 'Drama']","['Adult Cast', 'Showbiz']",1 hr. 18 min.,PG-13 - Teens 13 or older,7.64,#1447,#3921,"36,464",483,8001,"Takato Saijou and Junta Azumaya—Japan's sexiest men—perform wonders together as co-stars. Their next joint assignment is to act in a play featuring a flamenco showdown, but Junta once again holds an advantage due to his ancestry and because Takato has never danced before. Fueled by his ceaseless desire to outshine Junta, Takato decides to travel to southern Spain and learn firsthand the passion needed to perform the demanding dance. In the warm and friendly Spanish streets, Takato meets a wonderful flamenco dancer, an older handsome gentleman by the name of Ceres. Although Takato wishes to learn from him, his plans are soon interrupted by Junta's arrival in the area to visit his grandfather's hometown. Now, aside from struggling to reach Junta's skill level, Takato must also deal with Junta's family and face off against Antonio—an unexpected rival for Junta's love. [Written by MAL Rewrite]","['Prequel (TV) Dakaretai Otoko 1-i ni Odosarete Imasu.', 'Adaptation (Manga) Dakaretai Otoko 1-i ni Odosarete Imasu.']",Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,Dakaretai Otoko Ichii ni Odosarete Imasu. Movie,,,,,,,
222,神在月のこども,Child of Kamiari Month,['Movie'],1,Finished Airing,"Oct 8, 2021",,,['ABC Animation'],"None found,",['LIDENFILMS'],Original,"['Adventure', 'Supernatural']",,1 hr. 39 min.,G - All Ages,6.49,#7121,#4858,"22,879",33,9742,"Sixth-grade student Kanna Hayama's love of running becomes a source of grief when she loses her mother Yayoi, whom she shared this passion with. However, her disposition changes after she accidentally discovers an astonishing truth about Yayoi. One day, Kanna unexpectedly encounters a divine messenger in the form of her favorite rabbit Shiro and a demon boy named Yasha. They reveal to the girl that her mother was an ""Idaten""—a descendant of the gods endowed with incredible speed and entrusted to bring offerings from all over Japan to the annual Kamiari Festival in Izumo. As Yayoi's daughter and the new possessor of the Idaten amulet, Kanna is expected to take over this responsibility; otherwise, there will be dire consequences for the country's fate in the year to come. Enticed by the prospect of seeing her mother once more at the deities' event, Kanna accepts the challenge and enlists Shiro and Yasha to help her on her quest. Unbeknownst to her, there is more than meets the eye to this marathon-like journey that will test not only her physical condition but also her heart's resolve. [Written by MAL Rewrite]",[],Kamiarizuki no Kodomo,,,['Mythology'],,,,,
223,EUREKA／交響詩篇エウレカセブン ハイエボリューション,Eureka Seven Hi-Evolution 3,['Movie'],1,Finished Airing,"Nov 26, 2021",,,"['Mainichi Broadcasting System', 'Showgate', 'Bandai Namco Entertainment', 'Hakuhodo DY Music & Pictures', 'Bandai Namco Arts']",['Funimation'],['Bones'],Original,"['Adventure', 'Drama', 'Sci-Fi']",,1 hr. 56 min.,PG-13 - Teens 13 or older,6.47,#7286,#6015,"13,269",28,1210,"The virtual world inside the scub coral (intelligent coral-like lifeforms) created by Eureka... The people from that virtual world appeared on Earth ten years ago when it collapsed. Since this large-scale amalgamation, the humans from the virtual world call themselves ""Green Earth"" and the original Earth humans call themselves ""Blue Earth,"" and they've come to cause various conflicts with each other repeatedly below the surface. Eventually, Dewey Novak, a senior officer in the Green Earth Armed Forces, rises together with his comrades and finally sets a large-scale terrorism plan into action in order to protect their own dignity. Meanwhile, Eureka, who is detested by the world as the main cause of the chaos, has become a high-grade combatant with the UN's A.C.I.D. unit. Live in order to keep this world at peace... This was the path of atonement she chose. One day, she receives an order to protect a girl named Iris, a new ""Eureka"" who has the ability to control scab coral. They fight a lot at first but gradually come to understand each other through their lonely escape. Soon the world faces a crisis, and when that happens, Eureka draws on every last ounce of her strength as she fights. ""I want to protect Iris and this world."" What future awaits her at the end of that wish of hers? (Source: Crunchyroll)","['Prequel (Movie) Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone', '']",Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,,,['Mecha'],,,,,
224,ARIA The BENEDIZIONE,,['Movie'],1,Finished Airing,"Dec 3, 2021",,,"['Shochiku', 'Rakuonsha', 'flying DOG']","None found,",['J.C.Staff'],['Manga'],"['Fantasy', 'Sci-Fi', 'Slice of Life']",,1 hr.,PG-13 - Teens 13 or older,7.96,#721,#6856,"9,652",27,3569,"The successor and branch manager of the Himeya Company—one of the many Undine associations housing female gondoliers—Aika S. Granzchesta surprises everyone when she rejects tradition and refuses to inherit the company's legendary gondola. Aika's apprentice Azusa B. McLaren, unable to wrap her mind around her mentor's unexpected decision, confronts her directly but to little effect. To better understand her reasoning, Azusa and her fellow Undines secretly plan to arrange a meeting with Aika. With the much-awaited winter days in sight, accompanied by the tranquility and sublimity of Neo-Venezia, Aika reminisces about her journey as an Undine that forged her into the person she is today. As she vividly remembers all those invaluable experiences of the past, she trusts they will continue to guide her into the unknown yet boundless future. [Written by MAL Rewrite]","['Prequel (Movie) Aria the Crepuscolo', 'Adaptation (Manga) Aria']",Aria the Benedizione,,,['Iyashikei'],['Shounen'],,,,
225,劇場版マクロスΔ 絶対LIVE!!!!!!,Macross Delta: Zettai Live!!!!!!,['Movie'],1,Finished Airing,"Oct 8, 2021",,,"None found,","None found,",['Satelight'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Music', 'Space']",1 hr. 49 min.,PG-13 - Teens 13 or older,7.57,#1669,#6995,"9,190",55,2430,"Walküre and Delta Flight used music to save people from the Vár Syndrome, a previously unknown disease that made humans and others go berserk. However, they find themselves facing a new threat… (Source: ANN)","['Prequel (TV) Macross Δ', 'Prequel (Movie) Macross Δ Movie: Gekijou no Walküre']",Macross Δ Movie 2: Zettai Live!!!,,,,,,,,
226,攻殻機動隊 SAC_2045 持続可能戦争,Ghost in the Shell: SAC_2045 - Sustainable War,['Movie'],1,Finished Airing,"Nov 12, 2021",,,"['Dentsu', 'Kodansha', 'flying DOG', 'Bandai Namco Arts']","None found,","['Production I.G', 'Sola Digital Arts']",['Manga'],"['Action', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",1 hr. 58 min.,R+ - Mild Nudity,6.56,#6729,#7984,"6,600",16,1528,Compilation film of Koukaku Kidoutai: SAC_2045 with new scenes.,"['Sequel (ONA) Koukaku Kidoutai: SAC_2045 Season 2', 'Sequel (Movie) Koukaku Kidoutai: SAC_2045 - Saigo no Ningen']",Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,"Ghost in the Shell: Stand Alone Complex 2045, Ghost in the Shell: SAC_2045",,,['Seinen'],,,,
227,フラ・フラダンス,Hula Fulla Dance,['Movie'],1,Finished Airing,"Dec 3, 2021",,,"['Aniplex', 'Fuji TV', '.MP']","None found,",['Bandai Namco Pictures'],Original,,,1 hr. 48 min.,PG-13 - Teens 13 or older,6.31,#8240,#8987,"4,909",4,847,"Natsunagi Hiwa is following in her late sister’s footsteps and becomes a hula dancer at the famous Spa Resort Hawaiians. But when her team’s first show ends in disaster, their bond only strengthens. Now, they’re more determined than ever to reach their dreams! (Source: Crunchyroll)","['Adaptation (Manga) Hula Fulla Dance', '']",Hula Fulla Dance,,,['Performing Arts'],,,,,
228,蒼穹のファフナー Dead Aggressor THE BEYOND,,['Movie'],3,Finished Airing,"Nov 5, 2021",,,['King Records'],"None found,","['Production I.G', 'I.Gzwei']",Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",24 min. per ep.,PG-13 - Teens 13 or older,7.40,#2348,#9904,"3,646",12,783,Episodes 10-12 of the Soukyuu no Fafner: Dead Aggressor - The Beyond series.,"['Prequel (Movie) Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3', '']",Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4,,,,,,,,
229,劇場短編マクロスfrontier~時の迷宮~,Macross Frontier: Labyrinth of Time,['Movie'],1,Finished Airing,"Oct 8, 2021",,,['flying DOG'],"None found,",['Satelight'],Original,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Music', 'Space']",14 min.,PG-13 - Teens 13 or older,7.07,#4065,#10174,"3,341",11,1082,Short screened with Macross Δ Movie 2: Zettai Live!!!.,[],Gekijou Tanpen Macross Frontier: Toki no Meikyuu,,,,,,,,
230,映画 トロピカル〜ジュ!プリキュア 雪のプリンセスと奇跡の指輪!,,['Movie'],1,Finished Airing,"Oct 23, 2021",,,"['Marvelous Entertainment', 'Bandai', 'ABC Animation', 'ADK Emotions']","None found,",['Toei Animation'],Original,,,1 hr. 10 min.,G - All Ages,6.94,#4643,#10509,"3,026",8,1258,"The story takes place in the wintry land of Shantia, with Manatsu and the others invited to the land by its princess Sharon. But as they arrive, a mysterious monster attacks Shantia, and it is closed off to outsiders. (Source: ANN)",[],Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!,Tropical Rouge! Precure Snow Princess and The Miracle Ring!,['Action'],['Mahou Shoujo'],,,,,
231,幾多の北,Dozens of Norths,['Movie'],1,Finished Airing,"Nov 6, 2021",,,['Miyu Productions'],"None found,","['Yamamura Animation, Inc.']",Other,"['Adventure', 'Award Winning', 'Fantasy', 'Suspense']",,1 hr. 4 min.,R+ - Mild Nudity,6.44,#7469,#11283,"2,405",16,468,"North is everywhere solitary. Here is all North. This is a record of the people I met in these Norths. However, my memory is fragmented and does not get the point at all. Now I'm starting to wonder my efforts came to nothing. I'm just getting the occasional recognition of the existence of the world through the dull pain changes shape little by little. (Source: Official website)",[],Ikuta no Kita,Des dizaines de Nords,,['Psychological'],,,,,
232,劇場版アルゴナビス 流星のオブリガート,Argonavis the Movie: Ryusei no Obligato,['Movie'],1,Finished Airing,"Nov 19, 2021",,,"['Ultra Super Pictures', 'Bushiroad']","None found,",['SANZIGEN'],Mixed media,,,1 hr. 29 min.,PG-13 - Teens 13 or older,6.38,#7798,#12463,"1,666",12,131,Compilation of Argonavis from BanG Dream! with new cuts.,"['Sequel (Movie) Argonavis Movie: Axia', '']",Argonavis Movie: Ryuusei no Obligato,,['Drama'],['Music'],,,,,
233,映画 すみっコぐらし 青い月夜のまほうのコ,,['Movie'],1,Finished Airing,"Nov 5, 2021",,,"None found,","None found,",['Fanworks'],Other,,,1 hr. 4 min.,G - All Ages,6.72,#5806,#14315,982,1,179,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Sumikko Gurashi Movie 1: Tobidasu Ehon to Himitsu no Ko', 'Sequel (Movie) Sumikko Gurashi Movie 3: Tsugihagi Koujou no Fushigi na Ko']",Sumikko Gurashi Movie 2: Aoi Tsukiyo no Mahou no Ko,,['Comedy'],,,,,,
234,宇宙の法―エローヒム編―,The Laws of the Universe: Part 2,['Movie'],1,Finished Airing,"Oct 8, 2021",,,['Nikkatsu'],"None found,",['HS Pictures Studio'],Original,,,1 hr. 59 min.,G - All Ages,5.44,#12292,#14309,984,2,139,"This story takes place on Earth 150 million years ago. At that time on Earth, various aliens were living in harmony by accepting each other under the God of the Earth, Elohim. However, one day, a huge meteorite flies toward the Earth at high speed. Before the meteorite hits the earth, a female soldier from the planet Vega, Yaizael comes and she narrowly protects the earth from destruction. It was actually a plan to annihilate the earth by Dahar, who is from the dark side of the universe... What will happen at the end of the battle for the survival of the Earth that involves the entire universe? (Source: lawsofuniverse-elohim.com)","['Prequel (Movie) Uchuu no Hou: Reimei-hen', '']",Uchuu no Hou: Elohim-hen,"Happy Science Movie 9, Laws of the Universe: The Age of Elohim",['Sci-Fi'],['Space'],,,,,
235,雄狮少年,I Am What I Am,['Movie'],1,Finished Airing,"Dec 17, 2021",,,"None found,","None found,","None found,",Original,"['Comedy', 'Drama', 'Fantasy']",,1 hr. 44 min.,PG-13 - Teens 13 or older,7.23,#3226,#16143,602,5,162,"A young Cantonese village boy must overcome self-doubt, ridicule and classism to realise his dream of competing in the Guangzhou Lion Dancing championship. (Source: IMDB)","['Sequel (Movie) Xiong Shi Shaonian 2', '']",Xiong Shi Shaonian,ライオン少年,,,,,,,
