,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
24,"Ojamajo Doremi #, Useless Witch Doremi Sharp",おジャ魔女どれみ＃,,,,,['TV'],49,Finished Airing,"Feb 6, 2000 to Jan 28, 2001",['Winter 2000'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,,24 min. per ep.,G - All Ages,7.46,#2127,#4782,"23,880",118,11751,"At the end of the first season, Doremi and her friends all had to give up their witch powers and be normal girls again. This also meant that they couldn't see Majorika, Lala, and the fairies again. The MAHO-Dou was also deserted and the door to the Majokai was locked. The Queen, having seen all this through her crystal ball, secretly makes it so that Doremi and co. all end up heading into the Majokai again, with the excuse to return Majorika's hair dryer. However they end up stumbling into a garden, and one of the roses reveals a baby! The Queen tells the girls that they must raise the baby for a whole year. To help them, they receive newer and stronger witch powers than before! The adventure isn't over yet!","['Prequel (TV) Ojamajo Doremi', 'Sequel (TV) Motto! Ojamajo Doremi']",Ojamajo Doremi Sharp,['Comedy'],"['Childcare', 'Mahou Shoujo']",
25,Gatekeepers,ゲートキーパーズ,,,,,['TV'],24,Finished Airing,"Apr 3, 2000 to Sep 18, 2000",['Spring 2000'],Mondays at 18:30 (JST),"['Bandai Visual', 'Media Factory', 'Kadokawa Shoten', 'Pony Canyon']",['Geneon Entertainment USA'],['Gonzo'],Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,6.90,#4814,#4816,"23,369",61,9865,"Technology, science, and industry—this is 1969 Tokyo, and there is no better time to be alive! But a shadow looms quietly around every corner: ""Invaders"" have infiltrated the populace, and nobody knows who or what they are. Only the members of the top-secret agency AEGIS know of their existence. Covertly fighting the enemy is their job, but only those with the ability to open ""Gates"" to another world can truly defeat them. Within AEGIS is a specialized task force known as the ""Gate Keepers."" Composed of extraordinary individuals with a variety of Gate-related abilities, they are the only ones who can save humanity from the vicious Invaders plaguing the planet. Shun Ukiya is an average high school student who lives with his widowed mother and little sister. While on his way home from school one day, he comes across a group of Invaders heading toward his house. In a desperate plight to save his family, Shun discovers he possesses the ability to open a Gate, allowing him to harness massive amounts of energy. With his newfound ability exposed, he catches the attention of AEGIS, and particularly the interest of one of its Gate Keepers, Shun's childhood friend Ruriko Ikusawa. [Written by MAL Rewrite]","['Sequel (OVA) Gate Keepers 21', 'Adaptation (Manga) Gate Keepers']",Gate Keepers,,,
26,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,,Kochikame,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",
27,,モンスターファーム～伝説[レジェンド]への道～,Monster Rancher (2000),Monster Rancher,,Monster Rancher,['TV'],25,Finished Airing,"Apr 1, 2000 to Sep 30, 2000",['Spring 2000'],Saturdays at 07:30 (JST),"None found,","['ADV Films', 'Discotek Media']",['TMS Entertainment'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],,24 min. per ep.,PG - Children,6.74,#5685,#5214,"19,403",17,9553,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Continuing from where the original story left off, Genki and friends journey to conquer the legend cup in hopes of freeing Holly's father from the mystery disc. (Source: AniDB)","['Prequel (TV) Monster Farm: Enbanseki no Himitsu', 'Adaptation (Manga) Monster Farm: Enbanseki no Himitsu']",Monster Farm: Legend e no Michi,,,
28,Collector Yui,コレクター・ユイ,Corrector Yui,,,,['TV'],52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000",['Spring 1999'],Fridays at 18:00 (JST),"['NHK', 'Studio Tron']",['VIZ Media'],['Nippon Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,G - All Ages,6.86,#5030,#5339,"18,178",65,7618,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN)","['Adaptation (Manga) Corrector Yui', 'Adaptation (Manga) Corrector Yui']",Corrector Yui,,,
29,,マシュランボー,Shinzo,,,Shinzo,['TV'],32,Finished Airing,"Feb 5, 2000 to Sep 23, 2000",['Winter 2000'],Saturdays at 18:28 (JST),"['TV Asahi', 'Toei Advertising']",['Saban Entertainment'],['Toei Animation'],Original,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",,,23 min. per ep.,PG - Children,6.93,#4683,#5444,"17,231",82,8578,"In the world of Mushrambo, human life has all but come to an end. After a deadly virus threatened the extinction of mankind, a new race called the Enterrans was created to preserve life on Earth. However, relations between the Enterrans and their creators did not remain peaceful. Soon a war broke out with the Enterrans fighting against the humans and their robots. Ultimately the Enterrans were the victors of this conflict, renaming Earth as Enterra in honor of their victory. Before the last vestiges of humanity fell, one of the few remaining scientists put his daughter, Yakumo Shindou, into a sleep chamber. His hope was that his daughter would one day reawaken and find the human sanctuary known as Shinzo, reviving humanity and restoring peace between humans and Enterrans. Centuries have passed since the war; Yakumo now awakens and meets an Enterran named Mashura who pledges to assist in her quest. Also joined by the Enterrans Sago and Kutal, the group must now work to locate Yakumo's missing memories and locate Shinzo. But not every Enterran is as kind as Yakumo's new friends and some are prepared to commit any atrocity to prevent the return of humanity.","['Adaptation (Manga) Mushrambo', '']",Mushrambo,,,
30,,POPEE the ぱフォーマー,Popee the Clown,,,,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,"['Avant Garde', 'Comedy']",['Gag Humor'],,4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,,
31,,サイボーグクロちゃん,,,,,['TV'],66,Finished Airing,"Oct 2, 1999 to Jan 6, 2001",['Fall 1999'],Saturdays at 08:00 (JST),"['Public & Basic', 'Imagine']","None found,",['Studio Bogey'],['Manga'],"['Comedy', 'Sci-Fi']",,,25 min. per ep.,PG - Children,7.15,#3645,#6736,"10,120",66,4846,"Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet. (Source: ANN)","['Adaptation (Manga) Cyborg Kuro-chan', '']",Cyborg Kuro-chan,,,
32,,サザエさん,Mrs. Sazae,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,
33,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,['Comedy'],,
34,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['Comedy'],,
35,Rokumon Tengai Monkore Knight,六門天外モンコレナイト,Six Gates Faraway Mon Colle Knights,Mon Colle Knights,Los Caballeros del Mundo Mon,Mon Colle Knights,['TV'],51,Finished Airing,"Jan 10, 2000 to Dec 25, 2000",['Winter 2000'],Mondays at 18:00 (JST),"None found,",['Discotek Media'],['Studio Deen'],Card game,"['Adventure', 'Comedy', 'Fantasy']",['Parody'],['Kids'],25 min. per ep.,G - All Ages,6.43,#7511,#8351,"5,945",17,2389,"Two mad scientists, Professor Hiiragi and Count Collection, simultaneously manage to open a dream hole to an alternate world where myths are real, the Sixgate world. Professor Hiiragi recruits his daughter Rokuna and her friend Mondo to be the Mon Colle Knights and help him in obtaining six magical items before Count Collection does. These items which can alter the barriers of dimensions when combined, allowing them to be used to either peacefully have the magic of the Sixgate world cross over in the human world, take over the minds of all monsters, or worse, reformat reality. While this entry only has details based on the Japanese version, it also includes the version aired on Jetix.","['Adaptation (Manga) Rokumon Tengai Mon Colle Knight', '']",Rokumon Tengai Mon Colle Knights,,,
36,,トランスフォーマー・カーロボット,Transformers: Robots in Disguise,,,Transformers: Robots in Disguise,['TV'],39,Finished Airing,"Apr 5, 2000 to Dec 27, 2000",['Spring 2000'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'NEC Interchannel']","['Hasbro', 'Saban Entertainment']","['Gallop', 'Dongwoo A&E']",Other,"['Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],,23 min. per ep.,PG - Children,6.54,#6852,#8464,"5,785",23,2792,"The evil Gigatron has led his forces of Destrongers to Earth, where they seek to pillage the planet for its vast energy resources in order to fuel their war against the Autobots. If successful, the Destrongers will finally be able to tip the scale of power in the war to their favor, eliminating the Autobots and moving on to conquer the universe. To this end, the Destrongers kidnap the scientist Dr. Ohnishi, Earth's leading scientist on energy and natural resources. Dr. Oonishi's son, Koji, is contacted by none other than Fire Convoy, who takes the boy on a mission to rescue his father. Although Fire Convoy and the other Autobots fight valiantly, they are unable to rescue the doctor from the Destrongers. Now it is up to the Autobots and Koji to rescue Dr. Oonishi and protect the Earth and its resources from Gigatron and his army.",[],Transformers: Car Robots,,,
37,A Tree in a Sunny Place,陽だまりの樹,Tree in the Sun,,,,['TV'],25,Finished Airing,"Apr 5, 2000 to Sep 20, 2000",['Spring 2000'],Wednesdays at 00:50 (JST),"['VAP', 'Nippon Television Network']","None found,",['Madhouse'],['Manga'],"['Action', 'Award Winning', 'Drama']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.12,#3830,#8750,"5,310",24,1048,"A story set in the mid-1800's about a young doctor who has been trained in Western-style medicine and a young samurai who is trying to live up to the old traditions of his class and culture. The story is actually based upon real people - the doctor, Ryo-an, was Tezuka's great grandfather. During the Second Year of Ansei (1855) in Edo's Koishigawa are two young men, Manjiro Ibutani and Ryoan Tezuka. Ibutani is a low-ranking samurai who is a gifted swordsman and has a straightforward and strong sense of justice. Tezuka has a more carefree attitude. He has an eye for the ladies, but he is passionate about becoming a doctor. The two opposite characters come of age during the backdrop of the turbulent end of the Tokugawa Period (1600-1868 CE). (Source: AnimeNfo)","['Adaptation (Manga) Hidamari no Ki', '']",Hidamari no Ki,,"['Historical', 'Medical', 'Samurai']",
38,"Mahoujin Guruguru II, Mahoujin Guru Guru: Doki Doki Legend",ドキドキ♡伝説 魔法陣グルグル,Magical Circle Guru Guru 2,,,,['TV'],38,Finished Airing,"Apr 4, 2000 to Dec 26, 2000",['Spring 2000'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,G - All Ages,7.12,#3818,#9180,"4,632",6,1776,"Join the new legend of Guruguru, where Nike, the reluctant hero, and Kukuri, the innocent heroine, return to save the world. The magical adventure that unfolds, with its unique monsters and eccentric characters, is sure to draw you into this curious and exciting realm. To save the world from evil King Giri, Kukuri must locate the monsters in each territory and win them, one by one, over to her side. Meanwhile Nike's task is to be recognized by the Four Kings of Nature and collect their swords. These swords are known as the ""Sword of Wind,"" the ""Sword of Water,"" the ""Sword of Earth"" and the ""Sword of Fire."" Can Nike and Kukuri truly become hero and heroine? Follow their journey and find out! (Source: AniDB)","['Prequel (TV) Mahoujin Guruguru', 'Adaptation (Manga) Mahoujin Guruguru']",Dokidoki♡Densetsu: Mahoujin Guruguru,,,
39,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,
40,"Platinumhugen Ordian, Silver Armor Knight Audian, Attack Armor Audian, Ginsokiko Ordian",銀装騎攻オーディアン,,,,Platinumhugen Ginsoukikou Ordian,['TV'],24,Finished Airing,"Apr 4, 2000 to Sep 19, 2000",['Spring 2000'],Tuesdays at 19:00 (JST),"['KSS', 'Kadokawa Shoten', 'Broccoli', 'Yomiko Advertising', 'Soft Garage', 'K-Factory']","None found,",['Plum'],Original,,['Mecha'],,25 min. per ep.,R+ - Mild Nudity,5.68,#11489,#9484,"4,171",5,1031,"Kananase Yu is just an ordinary high-school student. Since he has mysterious inside knowledge about piloting a mecha, he is recruited by the International Military Organization as a potential test pilot for a new mobile armor. However, apparently there are other young recruits around his age, including one of his classmates, were recruited as test pilot as well. Now Kananase Yu must prove that he is the best to be the test pilot. (Source: ANN)",[],Ginsoukikou Ordian,['Sci-Fi'],,
41,,キョロちゃん,,,,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,"['Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG - Children,7.28,#2944,#10081,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,,
42,,どーもくん,,,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,
43,,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,
44,,グレゴリーホラーショー - The Second Guest,,,,,['TV'],25,Finished Airing,"Apr 1, 2000 to Oct 1, 2000",['Spring 2000'],Fridays at 23:54 (JST),"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,"['Comedy', 'Horror', 'Mystery', 'Supernatural']",['Mythology'],,3 min. per ep.,PG - Children,6.61,#6461,#11706,"2,139",12,1026,"The second series, The Second Guest is similarly set with 25 stories, except this time the main victim is a woman who has just taken a taxi home from her best friend's wedding ceremony. (Source: AniDB)","['Prequel (TV) Gregory Horror Show', 'Sequel (TV) Gregory Horror Show: The Last Train']",Gregory Horror Show: The Second Guest,,,
45,Mighty Cat Masked Niyander,ニャニがニャンだー ニャンダーかめん,,,,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,,,['Kids'],25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,['Comedy'],,
46,,트랙시티,Track City,,,,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,['Racing'],,24 min. per ep.,PG - Children,5.94,#10244,#12848,"1,483",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,['Action'],,
47,"Inspector Fabre, Fabre Sensei wa Meitantei",ファーブル先生は名探偵,Dr. Fabre is a Detective,,,,['TV'],26,Finished Airing,"Apr 11, 2000 to Oct 17, 2000",['Spring 2000'],Tuesdays at 18:30 (JST),['Enoki Films'],"None found,",['E&G Films'],Book,,,,25 min. per ep.,PG - Children,6.27,#8433,#13155,"1,355",2,550,"The world of insects is full of enchantment and amazement. This animation series is inspired by ""the Diary of Insects"" written by Jean Henri Fabre, an outstanding French entomologist and author in the 19th Century. In his original works, Mr. Fabre vividly described the life of insects. In this series all the insects and bugs have been personified and drawn into marvelous animated characters. This is the story of the exciting adventures of a crime-buster in the world of insects! Our hero's way of investigation is so unique and always ends with surprising solutions. The interesting ecology of various insects will be described while our ""cool"" hero, Inspector Fabre, analyzes and unties the knots of crimes and conspiracy a la fashion of Sherlock Holmes!",[],Fabre-sensei wa Meitantei,['Mystery'],,
48,,しましまとらのしまじろう,,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],23 min. per ep.,G - All Ages,5.92,#10324,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,
49,,うちゅう人田中太郎,Taro the Space Alien,,,,['TV'],24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001",['Spring 2000'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Studio Hibari'],['Manga'],,['School'],['Kids'],20 min. per ep.,G - All Ages,6.05,#9655,#13489,"1,238",2,488,"Takashi Horimachi is an ordinary curious fifth grader attending ""Anytown"" Elementary School. One day, a very unusual transfer student named Tarou Tanaka joins Takashi's class. Takashi and his classmates have never encountered anyone quite like Taro before. He is blue, has huge glowing eyes, pointy ears, a smooth bald head and one horn. Takashi, obsessed with trying to figure out this strange new visitor, attempts to track Tarou's every move; and in the process he continuously falls victim to Tarou's hilarious assortment of cosmic jokes and traps. (Source: ANN)","['Adaptation (Manga) Uchuujin Tanaka Tarou', '']",Uchuujin Tanaka Tarou,['Comedy'],,
50,,親子クラブ,,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,
51,"Time Boken 2000: Kiramekiman, Kaitou Kiramekiman, Thief Glittering Man",タイムボカン2000 怪盗きらめきマン,,,,,['TV'],26,Finished Airing,"Apr 5, 2000 to Oct 4, 2000",['Spring 2000'],Unknown,"['TV Tokyo', 'Yomiko Advertising']","None found,",['Tatsunoko Production'],Unknown,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,5.94,#10241,#13591,"1,204",1,268,More Time Bokan adventures.,[],Time Bokan 2000: Kaitou Kiramekiman,,,
52,"Weekly! Story Land, Shuukan! Story Land",週刊ストーリーランド,,,,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,"['Comedy', 'Drama', 'Slice of Life']",,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13972,"1,085",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,,
53,,ビックリマン2000,,,,,['TV'],68,Finished Airing,"Nov 1, 1999 to Feb 22, 2001",['Fall 1999'],Mondays at 18:30 (JST),['Studio Comet'],"None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,5.93,#10268,#14362,974,0,400,More adventures of Bikkuriman.,"['Prequel (TV) Super Bikkuriman', 'Sequel (TV) Happy☆Lucky Bikkuriman']",Bikkuriman 2000,,,
54,,蓝猫淘气3000问,3000 Whys Of Blue Cat,,,,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,,
55,,ぐるぐるタウン　はなまるくん,,,La Pandilla de Hanamaru,,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,['Anthropomorphic'],['Kids'],25 min. per ep.,G - All Ages,6.08,#9516,#16258,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,['Comedy'],,
56,,날아라 슈퍼보드,The Flying Superboard,,,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20601,#16828,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,
