,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Demographics
24,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,892","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,,['Detective'],['Shounen'],,
25,Digimon: Digital Monsters 03,デジモンテイマーズ,Digimon Tamers,['TV'],51,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",['Spring 2001'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Original,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,7.65,#1416,#1256,"204,718","1,979",127017,"Ten-year-old Takato Matsuda loves playing the Digimon card game with his friends and immersing himself in its imaginative world. One morning, he finds an unfamiliar blue card in his collection and swipes it through his card reader. Little does he know, his decision leads to its transformation into a D-Ark Digivice. When the mysterious device scans his designs for an original Digimon named Guilmon, it generates a Digi-Egg that later hatches into a living version of his own creation! Although Takato is thrilled to have a real Digimon, his idealized fantasy shatters when he realizes that his rambunctious new companion requires constant supervision. Adding to his troubles, Guilmon is targeted by Ruki Makino, a rival tamer who commands her partner, Renamon, to gain power by defeating other Digimon and absorbing their data. Luckily, Takato finds allies in his schoolmate Li Jianliang and his sassy Digimon partner Terriermon to help him on his journey as a real-life tamer. With sinister foes appearing at an alarming rate, Takato must strengthen his bond with Guilmon to protect both the human world and the Digital World. [Written by MAL Rewrite]","['Sequel (Movie) Digimon Tamers: Bousou Digimon Tokkyuu', 'Adaptation (Manhua) Digimon Tamers']",Digimon Tamers,,Digimon 3,,['Isekai'],,,
26,"TeniPuri, PoT",テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,,22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,933","3,041",86561,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,,,The Prince of Tennis,['School'],['Shounen'],['Sports'],
27,Hikaru's Go,ヒカルの碁,Hikaru no Go,['TV'],75,Finished Airing,"Oct 10, 2001 to Mar 26, 2003",['Fall 2001'],Unknown,"['TV Tokyo', 'Dentsu', 'Dream Force']",['VIZ Media'],['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Supernatural']","['School', 'Strategy Game']",23 min. per ep.,PG-13 - Teens 13 or older,8.07,#566,#1701,"143,557","2,477",65028,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru. Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning. [Written by MAL Rewrite]","['Sequel (Special) Hikaru no Go: Hokuto Hai e no Michi', 'Adaptation (Manga) Hikaru no Go']",Hikaru no Go,,,,,['Shounen'],,
28,Groove Adventure Rave,レイヴ,Rave Master,['TV'],51,Finished Airing,"Oct 13, 2001 to Sep 28, 2002",['Fall 2001'],Unknown,"['TBS', 'Kodansha']",['Tokyopop'],['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3360,#2165,"103,797",380,42015,"Fifty years ago, malevolent stones known as Dark Brings brought about the ""Overdrive,"" a calamitous event that destroyed one-tenth of the world. In the present day, the nefarious organization Demon Card seeks the Dark Brings' power for their all but innocent intentions. Haru Glory, a sword-wielding silver-haired teenager, inherits the title of Rave Master: the person who wields the power of the legendary Rave Stones, artifacts capable of destroying the Dark Brings. However, the many Rave Stones were scattered across the globe as a result of the Overdrive, allowing Demon Card to continue their malpractices. Groove Adventure Rave follows Haru, his strange dog Plue, the fiery blonde Ellie, and the infamous thief Musica, as they embark on a great journey that will take them around the vast world, searching for the Rave Stones that will finally end Demon Card's injustice. [Written by MAL Rewrite]","['Adaptation (Manga) Rave Read Manga', '']",Groove Adventure Rave,,,Rave Master,,['Shounen'],,
29,"Big O Roger, Big O",THEビッグオー,The Big O,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Mecha', 'Psychological']",24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,843","1,013",39646,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,,,,,,
30,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1030,#2402,"88,093","1,330",42201,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,Shin Chan,,['School'],['Seinen'],,
31,"X the TV Series, X/1999, Ekksu, X (2001)",X−エックス−,X,['TV'],24,Finished Airing,"Oct 3, 2001 to Mar 27, 2002",['Fall 2001'],Wednesdays at 18:30 (JST),"['Bandai Visual', 'Kadokawa Shoten', 'd-rights', 'chara-ani.com']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Action', 'Drama', 'Fantasy', 'Mystery']",,24 min. per ep.,R+ - Mild Nudity,7.38,#2470,#2439,"86,283",761,36238,"In the fight between the Dragons of Heaven and the Dragons of Earth, the dream seer Princess Hinoto predicts the end of humanity. A central entity, 15-year-old Kamui Shirou, is to choose whether to ally with the Dragons of Earth and destroy civilization to protect the planet or with the Dragons of Heaven to save mankind. Following his mother's last wish, Kamui returns to Tokyo after six years of self-imposed exile. There, he attempts to steal the Sacred Sword from the temple protected by Kyougo Monou—the father of his childhood friends, Fuuma and Kotori. However, after Kamui's venture fails, a mysterious person manages to obtain the sword instead. Believing Kamui to be the man in her prophecy, Hinoto sends the Dragons of Heaven after him to rally him to their cause. Although Kamui first rejects his destiny, the incessant attacks by the Dragons of Earth against those he holds dear push him to decide whether the lives of his friends should prevail over the fate of the Earth and finally pick a side. [Written by MAL Rewrite]","['Prequel (OVA) X OVA', 'Adaptation (Manga) X']",X,,X La Serie,,['Super Power'],['Shoujo'],,
32,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39827,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,Doraemon,,['Anthropomorphic'],,,"['Kids', 'Shounen']"
33,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,641",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,Hamtaro,Hamtaro,['Anthropomorphic'],['Kids'],,
34,"Captain Tsubasa (2001), Road to World Cup 2002, Road to Dream",キャプテン翼 (2001),Captain Tsubasa,['TV'],52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002",['Fall 2001'],Unknown,"['Madhouse', 'TV Tokyo', 'Dentsu']","None found,",['Group TAC'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#2989,"61,324",332,38132,"Tsubasa Oozora loves everything about soccer: the cheer of the crowd, the speed of the ball, the passion of the players, and the excitement that comes from striving to be the best soccer player he can be. His goal is to aim for the World Cup, and to do that, he’s spent countless hours practicing soccer, ever since the moment he could walk on two legs. Now, as he plays for the Barcelona team in a fierce game, it seems as though his dreams are on the verge of coming true. Captain Tsubasa: Road to 2002 tells the story of how Tsubasa climbed his way through the ranks, featuring his roots in the town of Nankatsu as well as his epic journey to master the art of soccer.","['Prequel (TV) Captain Tsubasa J', 'Adaptation (Manga) Captain Tsubasa', 'Adaptation (Manga) Captain Tsubasa: Road to 2002', '']",Captain Tsubasa: Road to 2002,,Campeones: Hacia el Mundial,Olive et Tom: Captain Tsubasa Le Retour,['Team Sports'],['Shounen'],['Sports'],
35,,ファイナルファンタジー：アンリミテッド,,['TV'],25,Finished Airing,"Oct 2, 2001 to Mar 26, 2002",['Fall 2001'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'TV Tokyo Music']",['ADV Films'],['Gonzo'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.17,#9008,#3847,"38,266",85,17132,"Years ago, the opening of an interdimensional portal released two beasts into the skies over the Sea of Japan, visible to all the countries along the coast. After destroying the naval patrol sent to investigate the disturbance, the two beasts then turned against each other. Witnessing the fight from Japan, scientists Joe and Marie Hayakawa were sucked into the rift. Upon returning to Earth, they compiled and published the academic findings from their voyage in a legendary book titled ''Day of Succession''. Attempting a second expedition to that other dimension twelve years later, the couple have not returned. Twins Ai and Yu Hayakawa decide to set forth in search of their parents and the mysterious Wonderland they studied. In the ruins of an abandoned subway station, the two wait for a train to take them to the world beyond. On board they meet Lisa Pacifist, who quickly decides to aid the two in the search for their missing family. Can the three of them manage to find Joe and Marie? [Written by MAL Rewrite]",[],Final Fantasy: Unlimited,,,,,,,
36,,サイボーグ009 THE CYBORG SOLDIER,Cyborg 009,['TV'],50,Finished Airing,"Oct 14, 2001 to Oct 13, 2002",['Fall 2001'],Unknown,"['TV Tokyo', 'Shaft', 'Avex Entertainment', ""Brain's Base""]","['Sony Pictures Entertainment', 'Discotek Media']",['Japan Vistec'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3092,#3943,"36,093",192,13416,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","['Sequel (Special) Cyborg 009: The Cyborg Soldier - Kami no Ubugoe', 'Adaptation (Manga) Cyborg 009']",Cyborg 009: The Cyborg Soldier,,,,,['Shounen'],,
37,"Hoshi no Kirby, Kirby of the Stars",星のカービィ,Kirby: Right Back at Ya!,['TV'],100,Finished Airing,"Oct 6, 2001 to Sep 27, 2003",['Fall 2001'],Saturdays at 19:30 (JST),"['CBC Television', 'Nintendo']",['4Kids Entertainment'],['Studio Sign'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,6.92,#4734,#3956,"35,881",370,18022,"A diminutive pink creature orbiting in space called ""Kirby"" crash lands into Dream Land. Once getting acquainted with the citizens who live there in Cappy Town, he begins to defend the town from the monsters that King Dedede, the self-proclaimed ruler of Cappy Town, orders from the evil Nightmare Enterprises. (Source: ANN)",[],Hoshi no Kirby,,,,['Parody'],,,
38,"Da!Da!Da!, UFO Baby",だぁ! だぁ! だぁ!,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min. per ep.,G - All Ages,7.63,#1483,#4554,"26,882",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,,,['Childcare'],['Shoujo'],,
39,"Tiny Snow Fairy Sugar, Chiccha na Yukitsukai Sugar",ちっちゃな雪使いシュガー,A Little Snow Fairy Sugar,['TV'],24,Finished Airing,"Oct 3, 2001 to Mar 27, 2002",['Fall 2001'],Wednesdays at 02:20 (JST),"['Kadokawa Shoten', 'Broccoli', 'TBS', 'Pioneer LDC']","['Sentai Filmworks', 'Geneon Entertainment USA']",['J.C.Staff'],Original,"['Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.07,#4054,#4660,"25,287",130,11126,"Season Fairies create and control the weather using special musical instruments. They make the wind blow, the snow fall, the sun shine; if it's something weather related, they are the ones who make it happen. Sugar, an apprentice Snow Fairy, and her friends Salt and Pepper, all want to become full-fledged Season Fairies, and the only way to achieve this is to search for and find the ""Twinkles"" that will make their magical flowers bloom. The only problem is that none of them have any idea what a Twinkle is. They enlist the somewhat unwilling help of Saga, a human girl who can see Season Fairies. Much to her annoyance, Saga's perfectly planned and ordered life has just become a little too lively for her taste. Together, they search for the mysterious Twinkles while trying to perfect their magic. (Source: ANN)","['Sequel (TV Special) Chicchana Yukitsukai Sugar Specials', 'Adaptation (Manga) Chicchana Yukitsukai Sugar']",Chicchana Yukitsukai Sugar,,,,,,,
40,,超GALS! 寿蘭,Super GALS!,['TV'],52,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",['Spring 2001'],Sundays at 08:30 (JST),['TV Tokyo'],"['ADV Films', 'Nozomi Entertainment']",['Pierrot'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.39,#2407,#4763,"24,053",218,8792,"Sporting designer clothes, make-up, and nails, Ran Kotobuki is the very picture of a trendy, young Shibuya girl, but don't let that fool you. This girl comes from a family of cops, and she’s ready to lay you out flat if you even think about causing trouble in her town! At least, she will... when she’s not distracted with karaoke, shopping, and dodging her homework. Join Ran and her friends as they defend the streets of Shibuya and attempt to shop their way into the history books as the most famous Gals ever! (Source: RightStuf)","['Adaptation (Manga) Gals!', '']",Super GALS! Kotobuki Ran,,Super GALS!,Super GALS!,,['Shoujo'],['Comedy'],
41,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,Kochikame,,,['Shounen'],['Comedy'],
42,"Bodyguard of the Wind, Kaze no Youjimbo",旋風の用心棒,Kaze no Yojimbo,['TV'],25,Finished Airing,"Oct 2, 2001 to Mar 26, 2002",['Fall 2001'],Unknown,"None found,",['Bandai Entertainment'],['Pierrot'],Original,"['Action', 'Drama', 'Mystery']",,23 min. per ep.,R - 17+ (violence & profanity),7.13,#3760,#5552,"16,371",46,3514,"In search for Araki Genzo, George Kodama finds himself in the small town of Kimujuku. George quickly realizes that he is unwelcome and is warned to leave as soon as possible. With two rival syndicates roaming the streets and a dark violent past, the town of Kimujuku isn't what it appears to be. George challenges the town of Kimujuku in order to reveal the towns dark hidden past and discover the truth. (Source: ANN)",[],Kaze no Youjinbou,,,,,,,
43,Figure 17 - Tsubasa and Hikaru,フィギュア17 つばさ&ヒカル,,['TV'],13,Finished Airing,"May 27, 2001 to May 26, 2002",['Spring 2001'],Not scheduled once per week,"['Bandai Visual', 'Genco', 'MediaNet']",['Media Blasters'],['OLM'],Original,"['Sci-Fi', 'Slice of Life']",,47 min. per ep.,PG-13 - Teens 13 or older,7.19,#3418,#5742,"15,061",85,3981,"Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth. (Source: ANN)","['Adaptation (Manga) Figure 17', '']",Figure 17: Tsubasa & Hikaru,,,Figure 17,,,,
44,Shen Diao Xia Lu,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,,,,['Historical'],,,
45,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
46,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,El Ninja Boy Rantaró,,,['Kids'],['Comedy'],
47,Kokoro Library,ココロ図書館,,['TV'],13,Finished Airing,"Oct 12, 2001 to Feb 17, 2002",['Fall 2001'],Fridays at 01:15 (JST),['Victor Entertainment'],"None found,",['Studio Deen'],['Manga'],,"['Iyashikei', 'Workplace']",24 min. per ep.,PG - Children,6.52,#6922,#7478,"7,778",21,2545,"Hidden away on a remote mountaintop, the Kokoro Library struggles to attract many visitors. Nevertheless, it is the home of sisters Iina, Aruto, and Kokoro, who consider it their mission to keep the library running in their parents' stead. Kokoro has long dreamed of becoming a librarian at the library with the same name as her, and tries her best to keep up with her older sisters. Due to the lack of patrons, the girls mainly spend their time sipping tea, chatting, and reading. However, as the number of mysterious visitors progressively increases, Kokoro begins to learn about the strange history of Kokoro Library—a place where small miracles seem to blossom. [Written by MAL Rewrite]","['Sequel (Special) Kokoro Toshokan: Communication Clips', 'Adaptation (Manga) Kokoro Toshokan']",Kokoro Toshokan,,,,,,['Slice of Life'],
48,,激闘! クラッシュギアTURBO,,['TV'],68,Finished Airing,"Oct 7, 2001 to Jan 26, 2003",['Fall 2001'],Unknown,['Bandai Visual'],"None found,",['Sunrise'],Original,,,25 min. per ep.,G - All Ages,6.84,#5127,#7496,"7,731",38,4196,After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.,"['Sequel (Movie) Gekitou! Crush Gear Turbo: Kaizabaan no Chousen', 'Adaptation (Manga) Gekitou! Crush Gear Turbo']",Gekitou! Crush Gear Turbo,Crush Gear Turbo,,,,,['Sports'],
