,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Themes,Demographics
25,金田一少年の事件簿,The File of Young Kindaichi,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",,,,['Mystery'],,
26,マスターキートン,,['TV'],24,Finished Airing,"Oct 6, 1998 to Mar 30, 1999",['Fall 1998'],Tuesdays at 00:50 (JST),"['VAP', 'Nippon Television Network', 'Shogakukan']",['Geneon Entertainment USA'],['Madhouse'],['Manga'],"['Adventure', 'Drama', 'Mystery']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.62,#1513,#4284,"30,351",151,6403,"The amazing Taichi Keaton works on cases around the globe that always lead to adventure! He combines his arsenal of multidisciplinary expertise in investigation, archeology, and survival with his experience as a professor, a Falklands Conflict veteran and a SAS agent to unravel the often dangerous challenges in each riveting episode. (Source: Geneon Entertainment USA)","['Sequel (OVA) Master Keaton OVA', 'Adaptation (Manga) Master Keaton']",Master Keaton,Master Keaton: Blood and Bullets,,,,,"['Adult Cast', 'Historical']",
27,デビルマンレディー,The Devil Lady,['TV'],26,Finished Airing,"Oct 10, 1998 to May 8, 1999",['Fall 1998'],Sundays at 01:40 (JST),['Dynamic Planning'],"['ADV Films', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Drama', 'Horror', 'Suspense']",['Psychological'],,24 min. per ep.,R+ - Mild Nudity,6.60,#6477,#4495,"27,578",115,7137,"Fudo Jun is a beautiful supermodel who is idolized by many. She also has a dark secret that not even she knows about at first, for within her veins run the genes that hold the next step in the evolution of mankind. The same blood as the beastlike superhumans that terrorize the city. Unlike the rest of them, though, Jun has managed to hold a tenuous grip onto her humanity, and she is recruited by the mysterious Asuka Ran, member of a secret organization within the government, aimed at controlling, if not eliminating, these berserk destroyers of mankind. Jun, as Devilman Lady, must now exterminate her own kind, but how much longer can she keep her sanity in a situation she never chose in the first place? (Source: ANN)","['Adaptation (Manga) Devilman Lady', '']",Devilman Lady,,,,,,,
28,ガサラキ,Gasaraki,['TV'],25,Finished Airing,"Oct 4, 1998 to Mar 28, 1999",['Fall 1998'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Yomiko Advertising', 'Atelier Musa']","['ADV Films', 'Nozomi Entertainment']",['Sunrise'],Original,"['Drama', 'Supernatural']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.62,#6388,#4679,"25,103",69,6459,"At the start of the 21st century, Japan plunges into a state of financial and political decline. In an attempt to revitalize their nation, the army develops the next generation of battlefield weapons in the form of tactical suits known as Tactical Armor (TA). Despite giving a significant advantage in mobility, TAs place a heavy strain on their pilots, and few people are capable of handling them. Yuushirou Gouwa is one such talented pilot who is unusually adept at steering these new machines. As the fourth son of the esteemed Gouwa family, Yuushirou is no stranger to the influence of powerful authority. His abilities and knowledge of the TAs are soon tested, as other geopolitical entities are also attempting to develop their own combat-ready versions. Things take a dire turn when Yuushirou encounters a mysterious girl, who cautions him of the future that awaits them should he revive a ""terror."" While he tries to heed the warning, Yuushirou's family may be more involved in the rising conflict than they let on. [Written by MAL Rewrite]","['Adaptation (Manga) Gasaraki', 'Adaptation (Light Novel) Gasaraki']",Gasaraki,,,,,,"['Mecha', 'Military', 'Psychological']",
29,ああっ女神さまっ 小っちゃいって事は便利だねっ,Oh! My Goddess: The Adventures of Mini-Goddess,['TV'],48,Finished Airing,"Apr 6, 1998 to Mar 29, 1999",['Spring 1998'],Mondays at 19:00 (JST),['Bandai Visual'],['Geneon Entertainment USA'],['OLM'],['4-koma manga'],"['Comedy', 'Supernatural']",,,7 min. per ep.,G - All Ages,6.88,#4940,#4836,"23,145",27,10515,"A large collection consisting of the adventures of the Goddesses featured in the anime and manga series Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat.","['Adaptation (Manga) Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne', '']",Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Oh! My Goddess: Being Small is Convenient, Ah! My Goddess!: Chichaitte Koto wa Benri da ne",,,,,,
30,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",,Kochikame,,['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",
31,ドクタースランプ,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Gag Humor'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,"Dr. Slump 2, Doctor Slump",,,,,,
32,南海奇皇ネオランガ,,['TV'],48,Finished Airing,"Apr 6, 1998 to Sep 28, 1999",['Spring 1998'],Mondays at 19:00 (JST),"['Pony Canyon', 'Marubeni', 'Omnibus Promotion']",['ADV Films'],['Pierrot'],Original,"['Adventure', 'Horror']",['Mecha'],,15 min. per ep.,PG-13 - Teens 13 or older,6.54,#6838,#5414,"17,523",42,3663,"An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. (Source: ANN)",[],Neo Ranga,"Nankai Kio Neoranga, Strange World of the South Seas - Neoranga",,,,,,
33,セイバーマリオネットJ to X,,['TV'],26,Finished Airing,"Oct 6, 1998 to Mar 30, 1999",['Fall 1998'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']",['Bandai Entertainment'],['HAL Film Maker'],Unknown,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.27,#2982,#5629,"15,784",41,7957,"Taking place mere months after the Saber Marionette J OVA series, this newest installment in the Saber Marionette line follows the continuing adventures of Otaru and his clan of selfless, obsessive marionette girls. This time, the evil Faust is back, and again toying with Marionette technology that was never meant to be explored. The Saber Dolls are back, and torn between their newfound love for Otaru and their undying loyalty to Faust; Will Otaru, Lime, Cherry and Bloodberry be able to stop Faust again, or are they all headed for the scrap heap? (Source: AniDB)","['Prequel (OVA) Saber Marionette R', 'Prequel (OVA) Saber Marionette J Again', 'Adaptation (Manga) Saber Marionette J', 'Adaptation (Light Novel) SM Girls: Saber Marionette J']",Saber Marionette J to X,,,,,,"['Harem', 'Mecha']",
34,時空探偵ゲンシクン,Flint the Time Detective,['TV'],39,Finished Airing,"Oct 1, 1998 to Jun 24, 1999",['Fall 1998'],Thursdays at 18:00 (JST),"['Nihon Ad Systems', 'Sanrio']",['Saban Entertainment'],['Group TAC'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi']",['Time Travel'],,25 min. per ep.,PG - Children,6.32,#8161,#6597,"10,594",21,5385,"It is the 25th century. The dark lord has 'infected' history with time-devices that could damage history beyond repair. Genshi and his father lived in the prehistorics when they got turned into fossiles. They are discovered and Genshi gets turned back to his original state. With the help of his father, a boy Tony and a girl Sara he has to travel trough time to bring the time-devices back to the land of time so history will be saved. (Source: ANN)",[],Jikuu Tantei Genshi-kun,"Jiku Tantei Genshi-kun, Flint Hammerhead",,,,,,
35,まもって守護月天！,"Protect Me, Heavenly Moon Guardian!",['TV'],22,Finished Airing,"Oct 17, 1998 to Apr 3, 1999",['Fall 1998'],Saturdays at 18:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.63,#6317,#6809,"9,882",15,3152,"Tasuke Shichiri is the envy of his friends because since his parents are always traveling he can do as he pleases. It's a surprise present from his father that keeps him from being lonely: an odd ring known as the shitenrin. From it comes a moon goddess named Shaorin, dedicated to protecting her ""master"" -- no matter how much of a mess she makes doing it!","['Sequel (OVA) Denshin Mamotte Shugogetten', 'Adaptation (Manga) Mamotte Shugogetten!']",Mamotte Shugogetten!,,,,,,,
36,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9127,#7129,"8,810",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
37,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4019,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,El Ninja Boy Rantaró,,['Comedy'],,
38,鉄コミュニケイション,Kurogane Communication,['TV'],24,Finished Airing,"Oct 5, 1998 to Mar 29, 1999",['Fall 1998'],Mondays at 19:00 (JST),['Pony Canyon'],['Media Blasters'],['APPP'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,14 min. per ep.,R+ - Mild Nudity,6.64,#6216,#7740,"7,164",5,1996,"In the aftermath of a great and terrible war, Haruka finds herself the last surviving human on Earth. Though humanity may have been wiped out, she is not entirely alone. Advanced robots have survived the apocalypse, and Haruka lives with five who care for her: Spike, a boyish android who is very attached to her; Trigger, hot-tempered with a penchant for firearms; Cleric, the intelligent problem solver; Reeves, whose thoughtfulness overshadows his intimidating appearance; and Angela, a sword wielding recluse with an aversion towards humans. Residing in a high-rise building at the center of the city, Haruka lives a relatively peaceful life with her mechanical family. However, her life is far from a stable one. Not only is a lack of resources a concern, but violent, remnant robots from the war roam free, ready to destroy whomever they meet. Kurogane Communication follows Haruka as she tries to survive in an apocalyptic world while facing many dangers that will challenge her daily life. [Written by MAL Rewrite]","['Adaptation (Manga) Kurogane Communication', '']",Kurogane Communication,"Tetsu Komyunikeishon, Iron Communication, kc, kurocomm",,,,,,
39,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7912,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,,Chibi Maruko-chan,,['Comedy'],,
40,超速スピナー,Super YoYo,['TV'],22,Finished Airing,"Nov 30, 1998 to Sep 10, 1999",['Fall 1998'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],['Manga'],,,['Shounen'],22 min. per ep.,G - All Ages,6.65,#6184,#8065,"6,461",11,3073,"Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo. It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship! [Written by MAL Rewrite]","['Adaptation (Manga) Chousoku Spinner', '']",Chousoku Spinner,"Chosoku Spinner, Super Sonic Spinners, Super Speed Spinner",,,,['Sports'],,
41,よいこ,,['TV'],20,Finished Airing,"Nov 6, 1998 to Mar 26, 1999",['Fall 1998'],Saturdays at 01:25 (JST),"['TBS', 'Omnibus Promotion']","None found,",['Pierrot'],['Manga'],"['Comedy', 'Slice of Life', 'Ecchi']",['School'],,12 min. per ep.,R+ - Mild Nudity,6.11,#9307,#8406,"5,864",2,1492,"Her name is Esumi Fuuka. Standing tall at 163 cm with a slender bodyline, she must be a university undergraduate; however, in reality, she is only an elementary school student. With a body figure of an adult and the mentality of a small child, she creates many misunderstandings around her.","['Adaptation (Manga) Yoiko', '']",Yoiko,,,,,,,
42,快傑蒸気探偵団,Steam Detectives,['TV'],26,Finished Airing,"Oct 7, 1998 to Mar 31, 1999",['Fall 1998'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'Studio Tron']",['ADV Films'],['Xebec'],['Manga'],"['Action', 'Mystery']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.59,#6540,#8519,"5,705",9,1581,"The scene is Steam City, a London-ish city which represents an entire civilization run by coal and steam power. Because of steam, the city is sometimes covered in a mist. Villains take advantage of the steamy mist to hide and execute their evil plans. Only a few dare venture into what's beyond the steamy mist. They are known as the Steam Detectives: Narutaki (and his convertible all-purpose pistol), his nurse-assistant Lingling, and his Megamaton robot Gohliki. (Source: ANN)","['Adaptation (Manga) Kaiketsu Jouki Tanteidan', '']",Kaiketsu Jouki Tanteidan,"Steam Detective, Kaiketsu Shoki Tanteidan",,,,,"['Detective', 'Mecha']",
43,白鯨伝説,Hakugei: Legend of the Moby Dick,['TV'],26,Finished Airing,"Apr 9, 1997 to May 12, 1999",['Spring 1997'],Wednesdays at 18:30 (JST),"['Tezuka Productions', 'Sony Music Entertainment', 'Image Kei']",['ADV Films'],"['Studio Junio', 'Annapuru']",Original,"['Adventure', 'Sci-Fi']",['Space'],,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6615,#8536,"5,680",33,1490,A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time?,[],Hakugei Densetsu,"Hakugei: Legend of the Moby Dick, Legend of the White Whale",,,,,,
44,スーパードール リカちゃん,,['TV'],52,Finished Airing,"Oct 6, 1998 to Sep 28, 1999",['Fall 1998'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Genco']","None found,",['Madhouse'],Other,"['Adventure', 'Comedy']",,,25 min. per ep.,G - All Ages,6.63,#6341,#8947,"4,999",4,1835,"Licca is in grave danger once she finds out that she is the princess of the Doll Kingdom. Now, the evil Dr. Scarecrow is after her and her throne. So Licca's grandmother gives her a set of dolls. When needed, the dolls will transform into larger versions known as the Doll Knights. Together, they will protect Licca. (Source: AnimeNfo)",[],Super Doll Licca-chan,,,La Princesa Licca★,,,,
45,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,
46,ふしぎ魔法 ファンファン・ファーマシィー,,['TV'],48,Finished Airing,"Feb 15, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,['Kids'],12 min. per ep.,G - All Ages,7.04,#4195,#9370,"4,331",29,1188,"In a small town, there is a small pharmacy called Fun Fun Pharmacy. Popuri, a girl who recently moved in downtown, discovers this pharmacy and meets Miss Fukiko, who is actually a witch. Miss Fukiko gives Popuri a mysterious bottle that can create magic spirits.","['Adaptation (Manga) Fushigi Mahou Fun Fun Pharmacy', '']",Fushigi Mahou Fun Fun Pharmacy,Mysterious Magic Fun Fun Pharmacy,,,,,,
47,ポポロクロイス物語,Popolocrois Monogatari,['TV'],25,Finished Airing,"Oct 4, 1998 to Mar 28, 1999",['Fall 1998'],Unknown,"['Production I.G', 'TV Tokyo', 'Aniplex']","None found,",['Bee Train'],Game,"['Adventure', 'Fantasy']",,,23 min. per ep.,PG - Children,6.98,#4485,#9511,"4,138",16,1402,"Prince Pietro is the half-human, half-dragon prince of the kingdom of Popolocrois. After the evil GamiGami tries (unsuccessfuly, as ever) to take over the Kingdom, a mysterious girl named Hyuu appears in the forest near Popolocrois Castle, which is the beginning of an adventure for Pietro, his witch friend Narcia, and all their friends. Set following the events of the first Popolocrois game.","['Sequel (TV) PopoloCrois', 'Adaptation (Manga) Popolocrois Monogatari']",Popolocrois Monogatari,,,,,,,
48,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7744,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,
49,どっきりドクター,Startling Doctor,['TV'],26,Finished Airing,"Oct 21, 1998 to Jun 23, 1999",['Fall 1998'],Wednesdays at 19:30 (JST),"None found,","None found,",['Pierrot'],['Manga'],,['School'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.56,#6700,#12016,"1,947",3,748,"Haruka Nishikikoji is an overweight doctor that never seems to attract any girls. Fate finds a way as he lands a job as a doctor in an elementary school, wherein his workplace can be found on top of the schools' roof and the actual clinic looks like a medieval castle. Just when everything seems to go downhill, a surprise came one day, her first love Koizumi Miyuki, applies as her soon to be nurse.",[],Dokkiri Doctor,Dr. Dokkiri,,,,['Comedy'],,
50,ひみつのアッコちゃん 第３期,,['TV'],44,Finished Airing,"Apr 5, 1998 to Feb 28, 1999",['Spring 1998'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],Unknown,"['Comedy', 'Fantasy']",,['Shoujo'],24 min. per ep.,G - All Ages,6.53,#6890,#12628,"1,588",0,574,"In the Kagami household, the old Western palm-sized mirror has been passed from from generations to generations. Akko-chan has been taught about the importance of the mirror and when she finally receives it from her mother, she cherishes it with all her might. One day, in the midst of a disturbance made by Taishou and his gang, Akko-chan accidentally broke the mirror. She made a grave and buried the broken pieces in the backyard. That night, Akko-chan was awakened by a flash of light and a kind voice which belongs to the Queen of the Mirror Kingdom. The Queen expresses her gratitude to Akko-chan for valuing the mirror so much and offers her a gift—a magical compact mirror. Whenever Akko-chan sings the magical words, she will transform into anything she wants. (Source: ANN)",[],Himitsu no Akko-chan 3,"Akko-chan's Secret 3, Secrets of Akko-chan (1998)",,,,,"['Mahou Shoujo', 'School']",
51,突撃! パッパラ隊,Charge! Pappara Team,['TV'],25,Finished Airing,"Oct 3, 1998 to Mar 27, 1999",['Fall 1998'],Unknown,"['MediaNet', 'TV Aichi']","None found,",['Magic Bus'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.18,#8961,#13200,"1,338",1,309,"An elite soldier, whose nickname is God of Death, is transferred to another unit known as the PaPaRa Army. The PaPaRa Army is infamous for its elite but hilariously crazy members. There is no plot to speak of other than humour, hilarious brutality, and general nonsense. This is also Matsuzawa-sensei's debut work.","['Adaptation (Manga) Totsugeki! Pappara-tai', '']",Totsugeki! Pappara-tai,"Charge! Pappara Team, The X-treme Team",,,,,,
52,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,,,
53,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12200,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
54,超特急ヒカリアン,Super Express Hikarian,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,['Kids'],7 min. per ep.,G - All Ages,6.15,#9076,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,Hikarian: Great Railroad Protector,,,,,,
55,さくらももこ劇場 コジコジ,Coji-Coji,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,,25 min. per ep.,G - All Ages,6.28,#8386,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",,,,,,
56,たこやきマントマン,Takoyaki Capeman,['TV'],77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",['Spring 1998'],Unknown,['Youmex'],"None found,",['Pierrot'],Picture book,"['Comedy', 'Sci-Fi']",,,24 min. per ep.,PG - Children,6.12,#9287,#15622,686,2,152,"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story. (Source: ANN)",[],Takoyaki Mant-Man,"Takoyaki Mantoman, Takoyaki Mantman",,,,,,
