,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
54,피피루 안전특공대,Pipilu Rangers,,,,['TV'],13,Finished Airing,"Jan 2, 2019 to Mar 27, 2019",['Winter 2019'],Unknown,"['CCTV Animation', 'EBS']","None found,",['Studio Gale'],Novel,,,['Kids'],10 min. per ep.,PG - Children,[],#21049,#25596,86,0,,"Protecting children's safety: Pipilu's 100 Safety Rules! Pipilu Rangers make a promise to create the ""Safetipedia"" by making 100 safety rules one rule at a time, every time they stop an accident. However, the troublemakers RedNose and BlueNose keep causing accidents!! The match between space villains and Pipilu Rangers builds tension… Pipilu and Luxixi get better and better each episode. The Pipilu Rangers' teamwork also gets stronger and stronger. They rescue children from safety accidents and keep on creating safety rules. Pipilu Rangers will always be on duty until the Safetipedia is complete!!! (Source: WelCon)","['Sequel (TV) Pipilu Anquan Tegong Dui Part 2', '']",Pipilu Anquan Tegong Dui,"Pipilu Anjeonteukgongdae, 皮皮鲁安全特工队",,,
55,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,532","234,511",1418377,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,
56,ブラッククローバー,Black Clover,,,,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],"['Action', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#474,#57,"1,770,540","48,440",909402,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,,,,
57,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,That Time I Got Reincamrnated as a Slime,That Time I Got Reincarnated as a Slime,That Time I Got Reincarnated as a Slime,['TV'],24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",['Fall 2018'],Tuesdays at 00:00 (JST),"['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing']",['Funimation'],['8bit'],['Manga'],"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#473,#82,"1,539,580","31,581",932674,"Thirty-seven-year-old Satoru Mikami is a typical corporate worker, who is perfectly content with his monotonous lifestyle in Tokyo, other than failing to nail down a girlfriend even once throughout his life. In the midst of a casual encounter with his colleague, he falls victim to a random assailant on the streets and is stabbed. However, while succumbing to his injuries, a peculiar voice echoes in his mind, and recites a bunch of commands which the dying man cannot make sense of. When Satoru regains consciousness, he discovers that he has reincarnated as a goop of slime in an unfamiliar realm. In doing so, he acquires newfound skills—notably, the power to devour anything and mimic its appearance and abilities. He then stumbles upon the sealed Catastrophe-level monster ""Storm Dragon"" Veldora who had been sealed away for the past 300 years for devastating a town to ashes. Sympathetic to his predicament, Satoru befriends him, promising to assist in destroying the seal. In return, Veldora bestows upon him the name Rimuru Tempest to grant him divine protection. Now, liberated from the mundanities of his past life, Rimuru embarks on a fresh journey with a distinct goal in mind. As he grows accustomed to his new physique, his gooey antics ripple throughout the world, gradually altering his fate. [Written by MAL Rewrite]","['Sequel (TV) Tensei shitara Slime Datta Ken 2nd Season', 'Adaptation (Manga) Tensei shitara Slime Datta Ken']",Tensei shitara Slime Datta Ken,TenSura,,,
58,ソードアート・オンライン アリシゼーション,Sword Art Online: Alicization,Sword Art Online Alicization,Sword Art Online Alicization,,['TV'],24,Finished Airing,"Oct 7, 2018 to Mar 31, 2019",['Fall 2018'],Sundays at 00:00 (JST),"['Aniplex', 'Genco', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.57,#1677,#146,"1,092,035","7,424",646001,"The Soul Translator is a state-of-the-art full-dive interface which interacts with the user's Fluctlight—the technological equivalent of a human soul—and fundamentally differs from the orthodox method of sending signals to the brain. The private institute Rath aims to perfect their creation by enlisting the aid of Sword Art Online survivor Kazuto Kirigaya. He works there as a part-time employee to test the system's capabilities in the Underworld: the fantastical realm generated by the Soul Translator. As per the confidentiality contract, any memories created by the machine in the virtual world are wiped upon returning to the real world. Kazuto can only vaguely recall a single name, Alice, which provokes a sense of unease when mentioned in reality. When Kazuto escorts Asuna Yuuki home one evening, they chance upon a familiar foe. Kazuto is mortally wounded in the ensuing fight and loses consciousness. When he comes to, he discovers that he has made a full-dive into the Underworld with seemingly no way to escape. He sets off on a quest, seeking a way back to the physical world once again. [Written by MAL Rewrite]","['Prequel (Movie) Sword Art Online Movie: Ordinal Scale', 'Sequel (TV) Sword Art Online: Alicization - War of Underworld', 'Adaptation (Manga) Sword Art Online: Project Alicization', 'Adaptation (Light Novel) Sword Art Online']",Sword Art Online: Alicization,"Sword Art Online III, SAO Alicization, Sword Art Online 3, SAO 3",['Video Game'],,
59,ジョジョの奇妙な冒険 黄金の風,JoJo's Bizarre Adventure: Golden Wind,Jojo's Bizarre Adventure: Golden Wind,Jojo's Bizarre Adventure: Golden Wind,JoJo's Bizarre Adventure: Golden Wind,['TV'],39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",['Fall 2018'],Saturdays at 01:05 (JST),['Warner Bros. Japan'],['VIZ Media'],['David Production'],['Manga'],"['Action', 'Adventure']","['Organized Crime', 'Super Power']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.58,#105,#152,"1,083,049","33,125",724841,"In the coastal city of Naples, corruption is teeming—the police blatantly conspire with outlaws, drugs run rampant around the youth, and the mafia governs the streets with an iron fist. However, various fateful encounters will soon occur. Enter Giorno Giovanna, a 15-year-old boy with an eccentric connection to the Joestar family, who makes a living out of part-time jobs and pickpocketing. Furthermore, he is gifted with the unexplained Stand ability to give and create life—growing plants from the ground and turning inanimate objects into live animals, an ability he has dubbed ""Gold Experience."" Fascinated by the might of local gangsters, Giorno has dreamed of rising up in their ranks and becoming a ""Gang-Star,"" a feat made possible by his encounter with Bruno Bucciarati, a member of the Passione gang with his own sense of justice. JoJo no Kimyou na Bouken: Ougon no Kaze follows the endeavors of Giorno after joining Bruno's team while working under Passione, fending off other gangsters and secretly plotting to overthrow their mysterious boss. [Written by MAL Rewrite]","['Prequel (TV) JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Sequel (ONA) JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', '']",JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo",,,
60,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,,,,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9909,#208,"895,061","7,372",456832,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,['Martial Arts'],,
61,FAIRY TAIL ファイナルシリーズ,Fairy Tail Final Series,Fairy Tail: Final Season,Fairy Tail: Final Season,Fairy Tail: Saison Finale,['TV'],51,Finished Airing,"Oct 7, 2018 to Sep 29, 2019",['Fall 2018'],Sundays at 07:00 (JST),"['TV Tokyo', 'Dentsu', 'Kodansha', 'Avex Pictures']",['Funimation'],"['A-1 Pictures', 'Bridge', 'CloverWorks']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1542,#441,"534,470","5,333",263399,"Although Fairy Tail has disbanded and its members are now spread far across Fiore, Natsu Dragneel has not given up on reuniting the guild he and others once called home. Along with his companions Happy and Lucy Heartfilia, he will stop at nothing to keep Fairy Tail and its fiery spirit alive even as they face their most difficult trial yet—the invasion of Fiore by the Alvarez Empire's immense army and their all-too-familiar ruler. [Written by MAL Rewrite]","['Prequel (TV) Fairy Tail (2014)', 'Sequel (TV) Fairy Tail: 100-nen Quest', 'Adaptation (Manga) Fairy Tail', '']",Fairy Tail: Final Series,"Fairy Tail Season 3, Fairy Tail (2018)",,,
62,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,640","15,327",164255,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,['Detective'],,
63,風が強く吹いている,Run with the Wind,Run with the Wind,Run with the Wind,Run with the Wind,['TV'],23,Finished Airing,"Oct 3, 2018 to Mar 27, 2019",['Fall 2018'],Wednesdays at 01:29 (JST),"['Movic', 'Nippon Television Network', 'TOHO animation', ""Toy's Factory"", 'Cygames', 'Yomiuri Shimbun', 'MediaLink Entertainment Limited']",['Sentai Filmworks'],['Production I.G'],Novel,"['Drama', 'Sports']","['Adult Cast', 'Racing']",,23 min. per ep.,PG-13 - Teens 13 or older,8.38,#209,#815,"315,709","6,252",143795,"Former ace runner of Sendai Josei High School, Kakeru Kurahara is chased away from a convenience store for shoplifting. Shaking off his pursuer, he runs into Haiji Kiyose, another student from his university. Haiji is impressed by Kakeru's agility and persuades him to live in Chikusei-sou, the run-down apartment where Haiji resides along with eight other students. Having lost his entire apartment deposit at a mahjong parlor, Kakeru accepts the offer reluctantly. However, Haiji reveals a secret during Kakeru's welcoming party: the apartment is actually the dormitory of the Kansei University Track Club. He unveils his ultimate goal of participating in the Hakone Ekiden—one of the most prominent university marathon relay races in Japan. Unfortunately, all the residents apart from Haiji and Kakeru are complete running novices. Worse still, none of the inhabitants are even remotely interested in being involved with Haiji's ridiculous plan! With only months before the deadline, will the fourth-year student be able to convince them otherwise and realize his elusive dream of running in the Hakone Ekiden? [Written by MAL Rewrite]","['Adaptation (Manga) Kaze ga Tsuyoku Fuiteiru', 'Adaptation (Novel) Kaze ga Tsuyoku Fuiteiru']",Kaze ga Tsuyoku Fuiteiru,"Kaze ga Tsuyoku Fuite Iru, Kazetsuyo",,,
64,とある魔術の禁書目録Ⅲ,A Certain Magical Index III,A Certain Magical Index III,A Certain Magical Index III,A Certain Magical Index III,['TV'],26,Finished Airing,"Oct 5, 2018 to Apr 5, 2019",['Fall 2018'],Fridays at 22:00 (JST),"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5168,#992,"262,969",843,105590,"Touma Kamijou can't catch a break. After the invasion of Academy City, political tensions continue to rise as both the science and magic factions collide head on. It appears that Academy City intends to declare war against the Roman Catholic Church, consequently plunging the whole world into global warfare. Touma soon finds himself on the front lines once again, striving to protect his friends and allies. Toaru Majutsu no Index III serves as the last installment of the original franchise as Touma, Accelerator, and the true Level 0 Shiage Hamazura continue their separate journeys, leading up to the final act of the original light novel series. [Written by MAL Rewrite]","['Prequel (TV) Toaru Majutsu no Index II', 'Adaptation (Manga) Toaru Majutsu no Index', 'Adaptation (Light Novel) Toaru Majutsu no Index', '']",Toaru Majutsu no Index III,"Toaru Majutsu no Index 3, Toaru Majutsu no Kinsho Mokuroku 3",,,
65,ラディアン,Radiant,,,,['TV'],21,Finished Airing,"Oct 6, 2018 to Feb 23, 2019",['Fall 2018'],Saturdays at 17:35 (JST),"['Studio Hibari', 'NHK', 'Ankama', 'NHK Enterprises']",['Funimation'],['Lerche'],Other,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.88,#4931,#1174,"222,033",451,82989,"Nemeses—powerful and mysterious demonic entities that fall from the sky and vaporize anything they touch. The only ones who can combat these creatures are Sorcerers, those who have survived an encounter with a Nemesis but were infected in the process. Seth, a Sorcerer from Pompo Hills, sets out on an adventure to exterminate all these Nemeses. Accompanying him are Doc and Mélie, fellow Sorcerers who share his ideal. Their main objective is to bring about a world where Sorcerers are no longer persecuted for being infected, and to that end, desire to destroy the source of the Nemeses themselves: the mythical Radiant. [Written by MAL Rewrite]","['Sequel (TV) Radiant 2nd Season', '']",Radiant,,,,
66,からくりサーカス,Karakuri Circus,Karakuri Circus,Karakuri Circus,Karakuri Circus,['TV'],36,Finished Airing,"Oct 11, 2018 to Jun 27, 2019",['Fall 2018'],Thursdays at 22:30 (JST),"['Fujipacific Music', 'Twin Engine']",['Sentai Filmworks'],['Studio VOLN'],['Manga'],"['Action', 'Adventure', 'Drama', 'Mystery']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3590,#1762,"136,619",645,39390,"Narumi Katou is a middle-aged man who suffers from the bizarre ZONAPHA Syndrome: a rare and inexplicable disease that causes its victims to endure severe seizures at random, with the only cure being to watch someone laugh. One day, during Narumi's part time job, a young boy with a giant suitcase fleeing from three adults runs into him. The boy introduces himself as Masaru Saiga, the new owner of the famous Saiga Enterprises following his father's recent death. However, other members of his family are trying to assassinate him and claim the fortune for themselves. Determined to save the child, Narumi helps Masaru escape and ends up fighting the pursuers, only to discover that they are sentient humanoid puppets with superhuman strength. As Narumi is about to lose, a white-haired girl suddenly joins the fray and swiftly summons yet another puppet from the boy's suitcase, claiming herself to be Shirogane, Masaru's guardian. Karakuri Circus follows three people from different backgrounds whose fates intertwine and diverge as they unravel the mysteries of an ancient tale of love and betrayal, and the long, ancient battle between humans and puppets. [Written by MAL Rewrite]","['Adaptation (Manga) Karakuri Circus', '']",Karakuri Circus,,,,
67,火ノ丸相撲,Hinomaru Sumo,Hinomaru Sumo,Hinomaru Sumo,Hinomaru Sumo,['TV'],24,Finished Airing,"Oct 5, 2018 to Mar 29, 2019",['Fall 2018'],Fridays at 22:00 (JST),"['Nihon Ad Systems', 'Pony Canyon', 'Shueisha', 'BS11', 'Jinnan Studio', 'Cygames', 'CA-Cygames Anime Fund']",['Funimation'],['Gonzo'],['Manga'],,"['Combat Sports', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.53,#1848,#1873,"127,119",353,56300,"In professional sumo, there are no weight classes. It's a savage sport where the strongest survive, and anyone willing to test their mettle can step into the ring. There is, however, a minimum size requirement to be a pro sumo wrestler, and young Hinomaru Ushio, incredibly talented and hardworking though he may be, does not meet that requirement. This small boy has big dreams of reaching the highest class of sumo, Hinoshita Kaisan. The only way he could possibly go pro is if he becomes the High School Yokozuna, a title given to the strongest wrestler in high school tournaments. Ushio is under a lot of pressure, as well as a time limit. If he can't show off his skills in the high school tournaments, he may lose his chance to go pro permanently, and the odds are stacked against him. Instead of enrolling in Ishigami High, the best school for sumo in Japan, he enrolls in Odachi High and must build a sumo club from the ground up with the one devout member Shinya Ozeki. Odachi High is the true underdog of the sumo world, but Ushio has to push forward with all his strength if he is going to make it professionally. [Written by MAL Rewrite]","['Adaptation (Manga) Hinomaruzumou', '']",Hinomaruzumou,"Sumo of the Rising Sun, Sumo Wrestler Hinomaru, Hinomaru Zumou",,['Sports'],
68,ポケットモンスター サン＆ムーン,Pokémon the Series: Sun & Moon,Pokémon Die TV-Serie: Sonne und Mond Staffel 20,Pokémon Serie: Sol y Luna Temporada 20,Pokémon La Serie: Soleil et Lune Saison 20,['TV'],146,Finished Airing,"Nov 17, 2016 to Nov 3, 2019",['Fall 2016'],Sundays at 18:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Fantasy']","['School', 'Strategy Game']",['Kids'],24 min. per ep.,PG - Children,6.95,#4611,#1922,"122,068",595,65600,"After his mother wins a free trip to the islands, Pokémon trainer Satoshi and his partner Pikachu head for Melemele Island of the beautiful Alola region, which is filled with lots of new Pokémon and even variations of familiar faces. Eager to explore the island, Satoshi and Pikachu run wild with excitement, quickly losing their way while chasing after a Pokémon. The pair eventually stumbles upon the Pokémon School, an institution where students come to learn more about these fascinating creatures. At the school, when he and one of the students—the no-nonsense Kaki—have a run-in with the nefarious thugs of Team Skull, Satoshi discovers the overwhelming might of the Z-Moves, powerful attacks originating from the Alola region that require the trainer and Pokémon to be in sync. Later that night, he and Pikachu have an encounter with the guardian deity Pokémon of Melemele Island, the mysterious Kapu Kokeko. The Pokémon of legend bestows upon them a Z-Ring, a necessary tool in using the Z-Moves. Dazzled by their earlier battle and now in possession of a Z-Ring, Satoshi and Pikachu decide to stay behind in the Alola Region to learn and master the strength of these powerful new attacks. Enrolling in the Pokémon School, Satoshi is joined by classmates such as Lillie, who loves Pokémon but cannot bring herself to touch them, Kaki, and many others. Between attending classes, fending off the pesky Team Rocket—who themselves have arrived in Alola to pave the way for their organization's future plans—and taking on the Island Challenge that is necessary to master the Z-Moves, Satoshi and Pikachu are in for an exciting new adventure. [Written by MAL Rewrite]","['Prequel (TV) Pokemon XY&Z', 'Sequel (TV) Pokemon (2019)']",Pokemon Sun & Moon,"Pocket Monsters Sun & Moon, Pokémon Sun & Moon",,,
69,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1028,#2400,"88,015","1,330",42173,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],,
70,キャプテン翼,,Captain Tsubasa,,Captain Tsubasa,['TV'],52,Finished Airing,"Apr 3, 2018 to Apr 2, 2019",['Spring 2018'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Warner Bros. Japan', 'Shueisha']",['VIZ Media'],['David Production'],['Manga'],,,['Shounen'],22 min. per ep.,G - All Ages,7.42,#2284,#2566,"79,124",385,35524,"Captain Tsubasa is the passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession. In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd. He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot more than talent to reach it.","['Sequel (TV) Captain Tsubasa Season 2: Junior Youth-hen', 'Adaptation (Manga) Captain Tsubasa']",Captain Tsubasa (2018),,['Team Sports'],['Sports'],
71,ゲゲゲの鬼太郎 (2018),GeGeGe no Kitaro,GeGeGe no Kitaro,GeGeGe no Kitaro (2018),GeGeGe no Kitaro,['TV'],97,Finished Airing,"Apr 1, 2018 to Mar 29, 2020",['Spring 2018'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Horror', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.22,#3258,#3192,"53,594",158,12187,"Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou... (Source: Crunchyroll)","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2018),Spooky Kitaro,['Mythology'],,
72,遊戯王VRAINS,Yu-Gi-Oh! VRAINS,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,['TV'],120,Finished Airing,"May 10, 2017 to Sep 25, 2019",['Spring 2017'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems']",['Konami Cross Media NY'],['Gallop'],Card game,"['Action', 'Fantasy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5912,#3340,"49,403",267,20295,"The world of Duel Monsters is once again evolving with the development of a network called Link Vrains and a new summoning mechanic introduced as Link Summoning. By using this cyberspace, duelists can now create their own avatars and duel their way to glory within a virtual reality. However, much like the real world, the digital world is not free from war, conflict, and mysteries. Years ago, a hacker organization known as the Knights of Hanoi unleashed an attack on Link Vrains. Led by the anonymous Revolver, their aim was to annihilate the artificial intelligence program known as the Cyberse. After a failed attempt, one of their targets, Ignis, managed to escape and hide the Cyberse somewhere in the network. Five years later, high school student Yuusaku Fujiki encounters a strange artificial intelligence program while dueling in Link Vrains. Under the guise of his avatar named Playmaker, Yuusaku and his partner in crime, Shouichi Kusanagi, decide to join forces with the peculiar existence. As he seeks the truth behind a mysterious incident of the past, Yuusaku battles against the Knights of Hanoi and SOL Technologies in a race that might alter the fate of the world. [Written by MAL Rewrite]",[],Yu☆Gi☆Oh! VRAINS,"Yuu Gi Ou!, Yugioh",['Strategy Game'],,
