,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
31,へうげもの,,['TV'],39,Finished Airing,"Apr 7, 2011 to Jan 26, 2012",['Spring 2011'],Unknown,"['NHK', 'Sogo Vision']","None found,",['Bee Train'],['Manga'],,"['Adult Cast', 'Historical', 'Samurai', 'Visual Arts']",25 min. per ep.,R - 17+ (violence & profanity),7.96,#725,#4312,"29,883",322,5169,"The story is set during Japan's Sengoku Jidai (Era of the Warring States) and centers on Furuta Sasuke, a vassal of the great warlord Oda Nobunaga and a man obsessed with tea ceremony and material desires in his pursuit of a fortuitous life. Having learned from Oda and the legendary tea master Sen no Soueki, Furuta walks the way of the Hyouge Mono. (Source: ANN)","['Adaptation (Manga) Hyouge Mono', '']",Hyouge Mono,Hyougemono,,,,['Seinen'],,,
32,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～,Digimon Fusion,['TV'],24,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",['Spring 2011'],Sundays at 06:30 (JST),['TV Asahi'],['Flatiron Film Company'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,7.09,#3966,#4349,"29,420",52,15432,"Returning to the Digital World, Taiki and Shoutmon learn that the Bagra Army has taken it over and reformatted the world to have Seven Kingdoms, each ruled by a general. (Source: AniDB)","['Prequel (TV) Digimon Xros Wars', 'Sequel (TV) Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi']",Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"Digimon Crosswars, Digimon Xros Wars: The Evil Death Generals and the Seven Kingdoms, Digimon Xros Wars: Aku no Death General to Shichinin no Oukoku",,,,,,['Isekai'],
33,エックスメン,X-Men,['TV'],12,Finished Airing,"Apr 1, 2011 to Jun 24, 2011",['Spring 2011'],Fridays at 22:00 (JST),"['Sony Pictures Entertainment', 'Atelier Musa']",['Marvel Entertainment'],['Madhouse'],Other,"['Action', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,6.31,#8212,#4404,"28,671",29,13631,"The X-Men are reunited following the death of a teammate, and are summoned by Charles Xavier to Japan following the abduction of Hisako Ichiki (Armor). There, they confront the U-Men, a lunatic cult that steals and transplants mutant organs to further strengthen their own army, and the battle for justice is on. (Source: Marvel)",[],X-Men,,,,,,,['Super Power'],
34,そふてにっ,Softenni! the Animation,['TV'],12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011",['Spring 2011'],Unknown,"['Geneon Universal Entertainment', 'Lantis', 'AT-X', 'KlockWorx', 'Studio Mausu']",['Sentai Filmworks'],['Xebec'],['Manga'],"['Comedy', 'Sports', 'Ecchi']","['School', 'Team Sports']",24 min. per ep.,R+ - Mild Nudity,6.48,#7221,#4632,"25,624",21,9263,The tennis comedy centers around the members of a female middle school soft tennis team and the twists and turns that their lives take as they aim for the nationals. (Source: MU),"['Adaptation (Manga) Softenni', '']",Softenni,"Sofuteni, Soft Tennis",,,,,,,
35,プリティーリズム オーロラドリーム,,['TV'],51,Finished Airing,"Apr 9, 2011 to Mar 31, 2012",['Spring 2011'],Saturdays at 10:00 (JST),"None found,","None found,",['Tatsunoko Production'],Game,,"['Idols (Female)', 'Music']",23 min. per ep.,PG - Children,7.42,#2264,#4783,"23,848",191,9478,"Aira Harune, a clumsy yet happy-go-lucky girl, is suddenly dragged into the popular world of Prism Shows—an idol show based on figure skating, where performers called ""Prism Stars"" wear outfits encased in Prism Stones and perform stylistic Prism Jumps. Captivated by the dazzling fashion and gorgeous Prism Jumps, Aira decides to become a Prism Star herself. She soon encounters the hot-headed Rizumu ""Rhythm"" Amamiya, who desires to perform the legendary Prism Jump “Aurora Rising”; as well as the prideful Mion Takamine, who dreams of becoming the brightest Prism Star above the rest. The journey of these girls is marked by friendship, growth, and unexpected encounters. Can they perform Prism Jumps high enough to reach their dreams and become the next Prism Queens? [Written by MAL Rewrite]","['Sequel (TV) Pretty Rhythm: Dear My Future', 'Adaptation (Manga) Pretty Rhythm', 'Adaptation (Manga) Pretty Rhythm: Aurora Dream', '']",Pretty Rhythm: Aurora Dream,,,,,,['Sports'],,
36,もしドラ,,['TV'],10,Finished Airing,"Apr 25, 2011 to May 6, 2011",['Spring 2011'],Mondays at 22:55 (JST),['NHK'],"None found,",['Production I.G'],Novel,"['Drama', 'Sports']",,25 min. per ep.,PG-13 - Teens 13 or older,6.86,#5055,#4880,"22,620",21,9314,"Minami joins her High School baseball team as a team manager after finding out that her best friend Yuuki is in the hospital and can't be a team manager any more. In order to try to fill in for Yuuki and to help out the team the best she can, she goes out to find a book on how to manage a baseball team. Unfortunately, she accidentally buys Peter Drucker's book called ""Management: Tasks, Responsibilities, Practices"" which is actually about how to properly manage a business. Because she couldn't return the book, she decides to read it anyway and to try to apply the business management concepts to the baseball team so that way they can go on and win the Nationals.","['Adaptation (Manga) Moshi Koukou Yakyuu no Joshi Manager ga Drucker no ""Management"" wo Yondara', 'Adaptation (Light Novel) Moshi Koukou Yakyuu no Joshi Manager ga Drucker no ""Management"" wo Yondara']",Moshidora,"Moshi Koukou Yakyuu no Joshi Manager ga Drucker no Management wo Yondara, What If a Female Manager of a High School Baseball Team Read Drucker's, Drucker in the Dug-Out",,,,,,['Team Sports'],
37,Dororonえん魔くん メ〜ラめら,Ghastly Prince Enma Burning Up,['TV'],12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011",['Spring 2011'],Unknown,"['Mainichi Broadcasting System', 'Dynamic Planning']","['NIS America, Inc.']","[""Brain's Base""]",['Manga'],"['Action', 'Comedy', 'Supernatural', 'Ecchi']","['Mythology', 'Parody', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),6.45,#7376,#5238,"19,088",31,6479,"Meet the Demon Patrol: a hotheaded demon prince; a sultry, half-naked ice princess; a lusty frog-demon spy; a talking wizard hat... and one little girl. This rag-tag group has been charged with the protection of Earth from a multitude of demons who would love nothing more than to bring their world crashing down around them. They'll face off against a vengeful squid, a somnambulant kitty cat, a pot full of snakes, a night-stalking deciduous, a hater of crotches, and even a literal butthead! Descend into an unreality filled with pratfalls, lewd behavior, and enough obscure cultural jetsam to drown us all! (Source: NIS America)","['Adaptation (Manga) Dororon Enma-kun', '']",Dororon Enma-kun Meeramera,"Dororon Enma-kun Me-ra Mera, Dororon Enma-kun Meramera",Ghastly Prince Enma Burning Up,Ghastly Prince Enma Burning Up,Ghastly Prince Enma Burning Up,['Shounen'],,,
38,ダンボール戦機,LBX: Little Battlers eXperience,['TV'],44,Finished Airing,"Mar 2, 2011 to Jan 11, 2012",['Spring 2011'],Wednesdays at Unknown,"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,,,23 min. per ep.,G - All Ages,7.01,#4347,#6473,"11,060",54,5076,"In 2046, a revolutionary 80% shock-absorbing reinforced cardboard has been developed, rapidly transforming the world's exports. The reinforced cardboard would soon become the battleground for a popular children's hobby called ""LBX"" (Little Battler eXperience). Four years later, a boy named Yamano Ban who loves to play with LBX (although without a mecha himself) is given a case containing the model AX-00 by a mysterious woman. He is told that he now holds the hopes and despairs of mankind in his hands.","['Sequel (TV) Danball Senki W', 'Adaptation (Manga) Danball Senki']",Danball Senki,"Danbooru Senki, Cardboard War Chronicles",,,,['Kids'],['Action'],['Mecha'],
39,ファイアボール チャーミング,,['TV'],13,Finished Airing,"Apr 4, 2011 to Jun 27, 2011",['Spring 2011'],Unknown,['Disney Platform Distribution'],"None found,",['Jinnis Animation Studios'],Original,,,2 min. per ep.,G - All Ages,6.76,#5567,#7186,"8,632",21,4623,A 3D computer animation about a female robot duchess named Drossel von Flügel and her guardian servant robot Gedächtnis. (Source: ANN),"['Sequel (TV) Fireball', '']",Fireball Charming,,,,,,['Sci-Fi'],,
40,ほんとにあった! 霊媒先生,,['TV'],22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011",['Spring 2011'],Wednesdays at 01:29 (JST),"None found,","None found,",['DLE'],['Manga'],"['Comedy', 'Supernatural']",,4 min. per ep.,PG-13 - Teens 13 or older,6.49,#7168,#7323,"8,241",11,2791,"The story revolves around Kibayashi, a teacher whose hobby is speaking with the dead and whose special talent is exorcism. She seems to know everything about the other world, yet nothing about our own. (Source: AniDB)","['Adaptation (Manga) Honto ni Atta! Reibai Sensei', '']",Honto ni Atta! Reibai Sensei,Yuruani,,,,['Shounen'],,['School'],
41,ジュエルペット サンシャイン,,['TV'],52,Finished Airing,"Apr 9, 2011 to Mar 31, 2012",['Spring 2011'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu', 'Sanrio', 'Imagine']","None found,",['Studio Comet'],Original,"['Comedy', 'Fantasy']","['Anthropomorphic', 'Mahou Shoujo', 'School']",25 min. per ep.,PG - Children,6.62,#6399,#8204,"6,183",25,1790,"In Sunshine Academy, there is a class of lost causes known as ""the leftovers"", the Plum class. Ruby and Kanon Mizushirou navigate through high school life in a fantastical world while juggling their warped friendship with their crush on Mikage Shiraishi.",[],Jewelpet Sunshine,,,,,,,,
42,昭和物語 TV,,['TV'],13,Finished Airing,"Apr 4, 2011 to Jun 26, 2011",['Spring 2011'],Unknown,"None found,","None found,",['WAO World'],Original,,,22 min. per ep.,PG - Children,6.85,#5084,#8363,"5,913",7,1556,"Dramatic story of the Yamazaki family during the year Showa 39 (1964), the year that Tokyo hosted the Summer Olympics.",[],Shouwa Monogatari,"Showa Monogatari TV, TV Manga Shouwa Monogatari",,,,,['Drama'],['Historical'],
43,殿といっしょ 眼帯の野望,,['TV'],12,Finished Airing,"Apr 5, 2011 to Jun 21, 2011",['Spring 2011'],Unknown,['Frontier Works'],"None found,",['Gathering'],['4-koma manga'],,"['Historical', 'Parody', 'Samurai']",3 min. per ep.,PG-13 - Teens 13 or older,6.38,#7768,#10208,"3,322",1,1106,Comedy parodying famous samurai generals and historical events.,"['Prequel (TV) Tono to Issho: Ippunkan Gekijou', 'Adaptation (Manga) Tono to Issho']",Tono to Issho: Gantai no Yabou,,Tono to Issho Staffel 2,Tono to Issho Temporada 2,Tono to Issho Saison 2,['Seinen'],['Comedy'],,
44,ウサビッチ IV,Usavich IV,['TV'],13,Finished Airing,"Apr 23, 2011 to Sep 15, 2011",['Spring 2011'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,,,1 min. per ep.,PG-13 - Teens 13 or older,6.56,#6687,#10430,"3,108",1,1717,The fourth season of Usavich.,"['Prequel (TV) Usavich III', 'Sequel (TV) Usavich V']",Usavich IV,Usavich 4,,,,,['Comedy'],,
45,ひめチェン! おとぎちっくアイドル リルぷりっ,Spellbound! Magical Princess Lilpri,['TV'],51,Finished Airing,"Apr 6, 2011 to Mar 28, 2012",['Spring 2011'],Unknown,['Shogakukan Music & Digital Entertainment'],"None found,",['Telecom Animation Film'],Game,,,5 min. per ep.,PG - Children,6.74,#5674,#10579,"2,974",7,1251,"Short episodes of Hime Chen! Otogi Chikku Idol Lilpri that aired as part of TV Tokyo's morning program block for children, Norinori♪Norisuta (のりのり♪のりスタ).",[],Hime Chen! Otogi Chikku Idol Lilpri (2011),Himechan! Otogitic Idol Lil'Pri,Spellbound! Magical Princess Lilpri,Spellbound! Magical Princess Lilpri,Spellbound! Magical Princess Lilpri,,,,
46,라바,,['TV'],104,Finished Airing,"Mar 26, 2011 to Sep 24, 2011",['Spring 2011'],Saturdays at Unknown,"None found,","None found,",['TUBA'],Original,,,2 min. per ep.,G - All Ages,6.13,#9193,#10970,"2,643",12,1517,Daily live of two larvae.,"['Sequel (TV) Larva 2nd Season', '']",Larva,,,,,,['Comedy'],,
47,リングにかけろ1 世界大会編,,['TV'],6,Finished Airing,"Apr 10, 2011 to Jun 12, 2011",['Spring 2011'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.31,#8200,#11875,"2,023",2,732,"After defeating Black Shaft's makeshift Team USA and proving their worth to the Shadow Clan, Team Golden Japan Jr. will finally enter the World Jr. Boxing Tournament. In order to fulfill their goal of a perfect victory they'll have to take on teams from countries like Mexico, Italy, France, Germany, and the mysterious and godlike Team Greece. (Source: ANN)","['Prequel (TV) Ring ni Kakero 1: Shadow-hen', 'Adaptation (Manga) Ring ni Kakero']",Ring ni Kakero 1: Sekai Taikai-hen,Ring ni Kakero 1: World Tournament Chapter,,,,,['Sports'],['Combat Sports'],
48,巴啦啦小魔仙之彩虹心石,Balala the Fairies: Rainbow Heart Stone,['TV'],36,Finished Airing,"Mar 26, 2011 to Dec 2011",['Spring 2011'],Unknown,['Alpha Group'],"None found,",['Alpha Animation'],Unknown,"['Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,5.87,#10570,#12222,"1,804",3,396,"After the fairies defeated Gunala, the Evil Goddess, another crisis hit the Fairy Castle!! The magical energy of the world has been devoured by the evil wizards. The Rainbow Flower, the source of the magic power, is soon to wither, and this will destroy the world of Fairy Castle. Only finding the legendary Rainbow Heart Stone and letting it recollect all the essential energy can save the world. To solve this biggest crisis in the history of the Fairy Castle, Prince YouLe, Sally, and their new friend XiaoQian, have to go back to the human world and reunite with Maggie and Michelle to fight the evil again. (Source: Mahou Shoujo Wikia, edited)","['Sequel (TV) Balala Xiao Mo Xian: Qiji Wubu', '']",Balala Xiao Mo Xian: Caihong Xin Shi,"Balala the Fairies Season 1, Balala, Little Magic Fairy: Rainbow Heart Stone",,,,,,['Mahou Shoujo'],
49,デュエル・マスターズ ビクトリー,,['TV'],52,Finished Airing,"Apr 2, 2011 to Mar 31, 2012",['Spring 2011'],Unknown,['Shogakukan-Shueisha Productions'],"None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,5.78,#11037,#12566,"1,616",4,432,"Duel Masters Victory is the 7th season of the Duel Masters Anime series. As shown in Episode 32 of Duel Masters Versus, this storyline follows the events of the Duel Masters: Star Cross manga instead of Cross Shock. It introduces a new protagonist named Katta Kirifuda, the brother of Shobu. He wants to be a dueling champion like his brother Shobu, but in his own way. The series shows the beginning of his dueling adventures with his friends, Bucyake, Yohdel and Benchan. During these adventures he considers Dragon Ryu a fierce duelist as his rival. This series also features the story behind the battle between the races of Hunters and Aliens. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Cross Shock', 'Sequel (TV) Duel Masters Victory V']",Duel Masters Victory,,,,,['Kids'],,,
50,はっぴ〜カッピ,,['TV'],25,Finished Airing,"Apr 6, 2011 to Oct 5, 2011",['Spring 2011'],Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",['Manga'],"['Comedy', 'Fantasy']",,5 min. per ep.,G - All Ages,5.45,#12263,#12803,"1,499",3,432,"The story revolves around Kinoshita Suguri, a nine-year-old third-grade girl who loves animals and making fashion accessories. One day, while Suguri is out buying materials for accessories, she comes across an unusual rock. Thinking it would look cute on a bracelet, she goes to pick up the rock and discovers a creature named Kappy. Kappy happens to be the three-year-old prince of Kapimeshia. (Source: ANN)",[],Happy Kappy,Happy Kappi,,,,['Shoujo'],,,
51,元気!!江古田ちゃん,,['TV'],22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011",['Spring 2011'],Unknown,"None found,","None found,",['DLE'],['4-koma manga'],,,5 min. per ep.,PG-13 - Teens 13 or older,5.85,#10671,#13440,"1,248",0,190,"Based on a four-panel manga, Rinshi!! Ekoda-chan is about a single woman in Tokyo who drifts through relationships and who works at various hostess clubs and the like. (Source: Zigguratbuilder, edited)","['Adaptation (Manga) Rinshi!! Ekoda-chan', '']",Genki!! Ekoda-chan,"Rinshi!! Ekoda Chang, Rinshi!! Ekoda-chan, Yuruani",,,,,['Comedy'],,
52,プ～ねこ,Poo-Neko,['TV'],11,Finished Airing,"Apr 13, 2011 to Jun 22, 2011",['Spring 2011'],Unknown,"None found,","None found,",['DLE'],['4-koma manga'],,,1 min. per ep.,G - All Ages,5.82,#10843,#13516,"1,226",0,168,"Based on a four-panel manga, Puu-Neko is about ""jobless (puu)"" cats and Momoyama Momoko, who can talk with them. According to the author, 98% of cats are jobless.","['Sequel (TV) Puu-Neko Shougekijou', 'Adaptation (Manga) Puu-Neko']",Puu-Neko,Yuruani,,,,,['Comedy'],,
53,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14206,#14341,981,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,,,,['Comedy'],,
54,おはよう忍者隊ガッチャマン,,['TV'],475,Finished Airing,"Apr 18, 2011 to Mar 29, 2013",['Spring 2011'],Unknown,['Oddjob'],"None found,",['Kate Arrow'],Unknown,,,1 min. per ep.,G - All Ages,5.49,#12157,#14394,964,1,196,One-minute flash shorts based on Tatsunoko Production's classic science-fiction hero series Science Ninja Team Gatchaman aired during the NTV's Zip! television program on mornings. (Source: AniDB),"['Sequel (TV) Mazinger ZIP!', '']",Ohayou Ninja-tai Gatchaman,"Ohayou Ninjatai Gatchaman, Ohayou Nijna Force Gatchaman, Ninja-tai Gatchaman ZIP!",,,,,['Comedy'],['Parody'],
55,週刊シマコー,Weekly Shimako,['TV'],11,Finished Airing,"Apr 13, 2011 to Jun 22, 2011",['Spring 2011'],Unknown,"None found,","None found,",['DLE'],['Manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,[],#14399,#15161,775,0,,"Shuukan Shimakou is about a life of a Japanese white-collar worker salaryman, Shima Kosaku.","['Sequel (TV) Sono Toki, Shimakou ga Ugoita!', 'Adaptation (Manga) Kachou Shima Kousaku']",Shuukan Shimakou,"Yuruani, Weekly Shimakou, Shuukan Shimakou Daikaijuu Shima Kosaku no Maki",,,,,['Comedy'],,
56,Suzy's Zoo だいすき！ウィッツィー,,['TV'],25,Finished Airing,"Apr 3, 2011 to Oct 4, 2011",['Spring 2011'],Unknown,['TBS'],"None found,",['Digital Media Lab'],Other,,,2 min. per ep.,G - All Ages,5.93,#10258,#15177,770,1,301,The Japanese television network TBS announced that it will start airing the Suzy's Zoo Daisuki! Witzy series of television anime shorts this April. The anime adapts the American greeting card line Suzy's Zoo from the San Diego-based artist Suzy Spafford. The story will center around a duckling named Witzy and his stuffed animal friends in a verdant backyard. (Source: ANN),[],Suzy's Zoo: Daisuki! Witzy,Suzy Dongwuyuan,,,,['Kids'],,,
57,フジログ,,['TV'],13,Finished Airing,"Apr 4, 2011 to Jun 27, 2011",['Spring 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,4 min. per ep.,PG-13 - Teens 13 or older,5.60,#11794,#15669,677,0,151,"The story follows the hapless life of Osamu Fujiyama, 33 years old and NEET (Not in Education, Employment or Training). (Source: AniDB)","['Sequel (TV) Fujilog 2nd Season', '']",Fujilog,,,,,,['Comedy'],,
58,47都道府犬,,['TV'],26,Finished Airing,"Apr 7, 2011 to Sep 29, 2011",['Spring 2011'],Unknown,"None found,","None found,",['Pollyanna Graphics'],Original,,,1 min. per ep.,G - All Ages,5.42,#12351,#15786,657,0,221,"""47 Prefecture Dogs"" is a short flash animation from a voice over variety TV program in Japan called ""SAY! YOU! SAY! ME!"" The animation takes Japan's 47 prefectures—or more specifically, the local delicacies or famous landmarks from each of the regions—and gives them a canine makeover. For example, the ""Fukuoka-ken"" (Fukuoka dog),—Fukuoka of course being home to asianbeat HQ—uses the delicacy ""mentaiko"" (spicy pollack roe) as the motif for its canine characterization. Each of the characters are played by voice actors that hail from each of the individual prefectures, ""Fukuoka-ken"" being voiced by Fukuoka's Kana Asumi. Another feature of this anime is the use of regional dialect. All the dogs speak in the dialect of their individual prefectures. So for the Fukuoka dog you hear a lot of ""~to"" and ""~to yo"" at the end of sentences; for the Aichi dog it's ""~dagane,"" and for Ehime, ""~zonamoshi,"" etc. (Source: AsianBeat.com, edited)","['Sequel (TV) 47 Todoufuken R', '']",47 Todoufuken,,,,,['Kids'],['Comedy'],,
59,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18213,#16435,568,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,Rice Monster Pap,,,,['Kids'],,,
60,ズーブルズ！,,['TV'],26,Finished Airing,"May 18, 2011 to Nov 16, 2011",['Spring 2011'],Unknown,"None found,","None found,",['Dongwoo A&E'],Unknown,,,23 min. per ep.,G - All Ages,[],#16412,#17582,453,1,,"The Candy Factory is a place where all Zoobles are born. Beyond that factory is a world called Candy Land, where all Zoobles live. The story revolves around the three main Zoobles: Chevy, a Cat Zooble with an Orange Flavour; Coron, a Rabbit Zooble with a Strawberry Milk Flavour; and Panky, a Panda Zooble with a Blueberry Yogurt Flavour. The three of them live in Candy Town, and they get into serious misadventures as they try to get in (and out of) trouble. (Source: AniDB)",[],Zoobles!,,,,,['Kids'],,,
61,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14958,#17769,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,,,['Kids'],['Comedy'],,
62,汐留ケーブルテレビ,,['TV'],22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011",['Spring 2011'],Unknown,"None found,","None found,",['DLE'],Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#14284,#18259,402,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shiodome Cable TV,"Shiodome News Zero, Yuruani",,,,,['Comedy'],,
63,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20944,#18309,398,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,['Kids'],,,
64,ソッキーズ フロンティアクエスト,,['TV'],39,Finished Airing,"Apr 15, 2011 to Feb 24, 2012",['Spring 2011'],Unknown,['Iyasakadou Film'],"None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,[],#14461,#18349,394,0,,Based on a book which introduced the culture of Sock Monkey to Japan.,[],Sockies: Frontier Quest,"Sock Monkey wa Kimi ga Suki, Sock Monkey likes you",,,,,['Comedy'],,
65,ペンギンの問題DX?,,['TV'],52,Finished Airing,"Apr 2, 2011 to Mar 31, 2012",['Spring 2011'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,10 min. per ep.,G - All Ages,[],#21004,#18469,385,0,,The continuation of Penguin no Mondai Max.,"['Prequel (TV) Penguin no Mondai Max', 'Sequel (TV) Penguin no Mondai POW']",Penguin no Mondai DX?,,,,,['Kids'],['Comedy'],,
66,캐니멀,Canimals,['TV'],26,Finished Airing,"Mar 2, 2011 to Aug 25, 2011",['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#17129,#19756,299,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Canimals,Kaenimeol,,,,['Kids'],['Comedy'],,
67,超兽武装之仁者无敌,RevEvolution,['TV'],33,Finished Airing,"Apr 14, 2011 to May 2011",['Spring 2011'],Unknown,['BlueArc Animation Studios'],"None found,","None found,",Unknown,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,[],#17214,#19951,287,0,,"The story begins from a boy named Kino, a junior high student. Every one hundred thousand years, the Seven Parrallel Universes will line in one path and be connected for seven days. And every this time, there will be wars between different civilizations of universes, as there will usually be someone with extremely strong power, who wants to conquer all universes. But at the same time, a team of legend warriors selected from every universe will appear to stop this, and they are the Army of Ultra Beast Force. This time, Mio, the strongest lord of all universes is going to awake. As one of the selected warriors, Kino is and his friends are trained by Master Wyatt, travel through the multiverse, meeting new friends and rivals, and try to stop Mio. With his powerful ""Dark Energy Locker"" which allows him to become a Robo-Soldier by releasing the potential dark energy inside himself, he encounters evil enemies along the way. (Source: RevEvolution Wiki)","['Sequel (TV) Chao Shou Wuzhuang: Yongzhe Wu Ju', '']",Chao Shou Wuzhuang: Renzhe Wudi,"Ultra Beast Force, Chao Shou Shi Zhuang Zhi Ren Zhe Wu Di, Rev Evolution",,,,,,['Mecha'],
68,코코몽2,Cocomong 2,['TV'],26,Finished Airing,"Mar 4, 2011 to Aug 26, 2011",['Spring 2011'],Fridays at Unknown,"None found,","None found,",['Olive Studio'],Original,,,13 min. per ep.,G - All Ages,[],#17401,#20577,251,0,,The second season of Cocomong.,"['Prequel (TV) Naengjang-go Nala Cocomong', 'Sequel (TV) Cocomong 3']",Cocomong 2,"Reizou Kono Kuni no Cocomong 2, Cocomong 2011",,,,['Kids'],,,
69,嘻笑一家亲,,['TV'],52,Finished Airing,May 2011 to Dec 2011,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#15426,#23898,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xi Xiao Yijia Qin,,,,,['Kids'],['Comedy'],,
70,龙太子之银河大冒险,,['TV'],50,Finished Airing,May 2011 to May 2012,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,"['Fantasy', 'Sci-Fi']",,13 min. per ep.,PG - Children,[],#19864,#24222,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Long Taizi', 'Sequel (TV) Long Taizi: Yanre Xingqiu Zhi Mi']",Long Taizi: Yinhe Da Maoxian,,,,,['Kids'],,,
71,橡树餐厅,,['TV'],26,Finished Airing,Apr 2011 to Oct 2011,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#15499,#24706,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiangshu Canting,,,,,['Kids'],['Fantasy'],['Anthropomorphic'],
