,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
184,スペアイ,,['ONA'],6,Finished Airing,"Jan 27, 2023",,,"None found,","None found,",['Kenji Studio'],Original,"['Sci-Fi', 'Slice of Life']","['Idols (Female)', 'Space']",,5 min. per ep.,PG-13 - Teens 13 or older,[],#14553,#17608,448,0,,"An original short anime depicting four girls who belong to the idol group ""Uchu Seifuku"" who are active in space. The short anime will be distributed on DMM TV.",[],Space Idol,,,,,,,
185,夢充夜,,['ONA'],1,Finished Airing,"Mar 7, 2023",,,"None found,","None found,","None found,",Game,,,,2 min.,PG-13 - Teens 13 or older,6.04,#9729,#17717,439,3,185,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yume Juuya,,,['Supernatural'],,,,
186,RabbiTube mini,,['ONA'],16,Finished Airing,"Jan 25, 2023 to Dec 24, 2023",,,"None found,","None found,","None found,",Game,,,,35 sec. per ep.,G - All Ages,5.92,#10340,#18143,408,3,132,"Series of short videos celebrating each of the 16 idols' birthdays, featuring the birthday idol along with two supporting characters in each episode.",[],RabbiTube Mini,['Idols (Male)'],,['Comedy'],,,,
187,草食ドラゴン ちょこっと,,['ONA'],12,Finished Airing,"Jan 10, 2023 to Mar 25, 2023",,,"None found,","None found,",['Starry Cube'],Novel,"['Adventure', 'Comedy', 'Fantasy']",,,2 min. per ep.,PG-13 - Teens 13 or older,[],#14545,#18259,400,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Soushoku Dragon Chokotto,,"Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei Chokotto, 齢5000年の草食ドラゴン、いわれなき邪竜認定 ちょこっと",,,,,
188,もしメタ -もし女子高生がメタバースで巫女になったら-,,['ONA'],1,Finished Airing,"Mar 31, 2023",,,"None found,","None found,",['Studio Elle'],Original,,"['Time Travel', 'Video Game']",,8 min.,G - All Ages,[],#17945,#18422,386,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Moshi Meta: Moshi Joshikousei ga Metaverse de Miko ni Nattara,,Wakate Animator Ikusei Project,['Sci-Fi'],,,,
189,チャンチホチャレンジチャンネル,,['ONA'],Unknown,Currently Airing,"Feb 10, 2023 to ?",,,"None found,","None found,",['Pie in the sky'],Game,,,['Kids'],5 min.,G - All Ages,[],#19802,#18468,381,0,,"Video distributor Chan Chiho delivers various challenges related to Pokemon ""Chan Chiho Challenge Channel."" (Source: Official YouTube Channel)",[],Chan Chiho Challenge Channel,,Chanchiho Challenge Channel,['Comedy'],,,,
190,这个年纪还能当大侠吗,,['ONA'],10,Finished Airing,"Jan 5, 2023 to Mar 2, 2023",,,['NetEase'],"None found,",['Painting Dream'],Game,,,,7 min. per ep.,PG-13 - Teens 13 or older,[],#16249,#18686,366,0,,"After the Lao Bai left the big city, he returned to his hometown Chang'an with Yanzi (Yanshan Xue) to live. While working hard to run a Chang'an supermarket for their former heroic dreams, they met community neighbors: A Meng, A Hun, Long Zi, Xiao Man, Long Shu, You You, and Xiao Wu. (Source: Bilibili)",[],Zhege Nianji Huan Neng Dang Daxia Ma,,,['Comedy'],,,,
191,我是学校唯一的人类,,['ONA'],52,Finished Airing,"Jan 17, 2023 to Jul 4, 2023",,,['iQIYI'],"None found,",['MMT Technology'],['Manga'],,,,6 min. per ep.,PG-13 - Teens 13 or older,[],#15327,#19148,334,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wo Shi Xuexiao Weiyi de Renlei,,,['Comedy'],,,,
192,ハタチの龍馬 with クロフネくん！,,['ONA'],Unknown,Currently Airing,"Aug 1, 2018 to ?",,,"None found,","None found,",['DLE'],Original,,,['Kids'],2 min.,G - All Ages,[],#21078,#19474,312,0,,"A Shinagawa ward tourism anime. The anime was made in honor of the 150th anniversary of the Meiji Restoration. It stars Sakamoto Ryouma, a historical figure who took part in overthrowing the Tokugawa shogunate. He spent most of his youth in Shinagawa under the Tosa Clan residence and a statue of him was erected in his honor. He's considered a hero of Edo and worked as a cost guard/battery staff when Commodore Perry landed in Japan with black ships. Here, the anime has a young Ryouma encounter Kurofune-kun, a black ship chibi mascot, as they time slip to modern Shinagawa. Kurofune-kun shows him the sights and they meet other historical figures who time slipped.",[],Hatachi no Ryouma with Kurofune-kun!,['Historical'],Shinagawa Anime Sonosan,['Sci-Fi'],,,,
193,イブラヒム3周年記念アニメ,Ibrahim 3rd Anniversary Animation,['ONA'],1,Finished Airing,"Feb 1, 2023",,,"None found,","None found,","None found,",Other,"['Action', 'Slice of Life']",,,3 min.,PG-13 - Teens 13 or older,[],#21445,#19574,307,2,,A special animation made to commemorate the third anniversary of Ibrahim's debut as a VTuber.,[],Ibrahim 3-shuunen Kinen Anime,,,,,,,
194,WANDER BURABURA BAKKAMU,,['ONA'],1,Finished Airing,"Mar 31, 2023",,,"None found,","None found,",['Echoes'],Original,"['Drama', 'Sci-Fi']",,,7 min.,G - All Ages,[],#15205,#19920,288,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wander Burabura Bakkamu,,Wakate Animator Ikusei Project,,,,,
195,三国演义第三季,Romance of the Three Kingdoms 3rd Season,['ONA'],26,Finished Airing,"Jan 1, 2023 to Mar 26, 2023",,,['Tencent Penguin Pictures'],"None found,",['Yinhe Changxing Culture'],Novel,"['Action', 'Drama', 'Fantasy']","['Historical', 'Martial Arts']",,Unknown,PG-13 - Teens 13 or older,[],#13879,#20379,262,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Sanguo Yanyi 2nd Season: Zhulu Zhongyuan', '']",Sanguo Yanyi 3rd Season,,,,,,,
196,FIFA,FIFA,['ONA'],1,Finished Airing,"Feb 8, 2023",,,"None found,","None found,",['Steamworks'],Original,,,,1 min.,G - All Ages,[],#20618,#20753,241,0,,Football stars from all over the world pass the ball to each other and finally get together to celebrate the Chinese New Year. (Source: YouTube),[],FIFA,['Team Sports'],,['Sports'],,,,
197,,,['ONA'],1,Finished Airing,"Feb 14, 2023 to ?",,,"None found,","None found,",['Steamworks'],Original,,,,2 min.,G - All Ages,[],#20855,#20858,236,0,,"This is a paper-cut animation. It tells the story of how Goodme found good quality citrons and used them to make a unique citron tea. We built a real milk tea shop scene, applied a special paper-cut style, and created a paper-cut rainforest full of customs. (Source: Steamworks Official YouTube Channel)",[],Goodme: Citron Tea,,,['Avant Garde'],,,,
198,노 모어 프린스,,['ONA'],3,Finished Airing,"Feb 13, 2023",,,"None found,","None found,","None found,",Web novel,"['Fantasy', 'Romance']",,,4 min. per ep.,PG-13 - Teens 13 or older,[],#18225,#20825,237,1,,"This is the legendary tale of valiant princes, devoting their lives to rescue the princess from the evil drake that has been terrorizing the nation… ""Here I am, my damsel in distress, I will smite the dragon and return you back to the golden castle!"" when the brave prince roars his promise, our beautiful princess Mikaella asks the question to drake. ""Xeno, I don't want to be saved by him... Please take care of him."" The mighty ""evil"" dragon responds, ""Anything for my sweet Mikaella."" (Source: Pocket Comics)",[],No More Princes,,,,,,,
199,NICO/AGONY,,['ONA'],1,Finished Airing,"Mar 31, 2023",,,"None found,","None found,",['Usagi Ou'],Original,,,,10 min.,G - All Ages,[],#18171,#20996,228,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nico/Agony,['Music'],Wakate Animator Ikusei Project,['Supernatural'],,,,
200,维将,Dimension Will,['ONA'],26,Finished Airing,"Jan 6, 2023 to Jun 23, 2023",,,"None found,","None found,","None found,",Original,"['Action', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,[],#15263,#21492,202,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wei Jiang,,,,,,,
201,おたくちゃんズ,,['ONA'],Unknown,Currently Airing,"Mar 16, 2023 to ?",,,"None found,","None found,","None found,",Original,,"['Anthropomorphic', 'Idols (Female)']",,30 sec.,PG-13 - Teens 13 or older,[],#18417,#21657,191,0,,"A short anime made exclusively for the social media platform. Titled Otakuchanzu, the simple story follows two idol-obsessed cats: Riri and Popo. (Source: ANN)",[],Otaku-chans,,Otakuchanzu,['Comedy'],,,,
202,우리 베란다에서 만나요,,['ONA'],10,Finished Airing,"Feb 10, 2023",,,"None found,","None found,","None found,",Web novel,,,,4 min. per ep.,PG-13 - Teens 13 or older,[],#13934,#21838,182,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],See You on Our Veranda,,,['Romance'],,,,
203,シナモンアニメだもん,,['ONA'],Unknown,Currently Airing,"Mar 3, 2023 to ?",,,['Sanrio'],"None found,","None found,",Original,,,,30 sec.,G - All Ages,[],#20014,#22083,169,2,,A series of shorts featuring Cinnamoroll.,[],Cinnamon Anime Damon,['Anthropomorphic'],,['Slice of Life'],,,,
204,冬至英豪宴,,['ONA'],4,Finished Airing,"Feb 13, 2023",,,"None found,","None found,",['Steamworks'],Original,,,,30 sec. per ep.,G - All Ages,[],#20343,#22512,152,0,,Short commercials for China's largest retailer Jing Dong. Many heroes went through great hardships to attend the banquet. (Source: YouTube),[],Dongzhi Yinghao Yan,,,,,,,
205,革命犬 デカプー　誕生,,['ONA'],1,Finished Airing,"Mar 17, 2023",,,"None found,","None found,","None found,",Original,,,,5 min.,PG-13 - Teens 13 or older,[],#16777,#22677,146,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kakumei Inu Decapoo Tanjou,,,['Drama'],,,,
206,마법달팽이 와우,,['ONA'],1,Finished Airing,"Mar 20, 2023",,,"None found,","None found,","None found,",Other,,,['Kids'],6 min.,G - All Ages,[],#17441,#23962,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mabeobdalpaengi Wau,,,['Fantasy'],,,,
207,梦幻书院 第八季,,['ONA'],12,Finished Airing,"Mar 27, 2023 to Jun 12, 2023",,,"None found,","None found,","None found,",Game,"['Comedy', 'Fantasy']",,,3 min. per ep.,PG-13 - Teens 13 or older,[],#17684,#26799,71,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Menghuan Shuyuan 7th Season', '']",Menghuan Shuyuan 8th Season,,,,,,,
208,奔月赴宴,Flying to the Moon and Banquet,['ONA'],1,Finished Airing,"Mar 21, 2023",,,"None found,","None found,",['Sparkly Key Animation Studio'],Original,"['Comedy', 'Fantasy']",,,4 min.,G - All Ages,[],#19540,#27085,68,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ben Yue Fu Yan,,,,,,,
209,奶龙搞怪大作战,,['ONA'],40,Finished Airing,"Jan 12, 2023 to ?",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],4 min. per ep.,PG - Children,[],#18055,#27998,37,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nai Long Gaoguai da Zuozhan,,,,,,,
210,○○交配,Assisted Mating,['OVA'],10,Finished Airing,"Jan 31, 2020 to Sep 27, 2024",,,"None found,","None found,",['Majin'],['Manga'],"['Fantasy', 'Hentai']","['Harem', 'Mythology']",,16 min. per ep.,Rx - Hentai,7.27,N/A,#6102,"12,761",110,5256,"A special governmental program has been introduced to counteract the declining birth rates of demi-human races suffering due to a lack of male members. Through a so-called ""assistance system,"" randomly selected humans are required to mate with designated partners—be it elves, sirens, or even dragons. Iris Thea Eaderlindt, an elven princess known for her open-mindedness and friendly attitude towards humans, is transferred to the Ark Metropolitan Academy. Coincidentally, her new teacher has been selected as her mating partner. Anxious yet determined to fulfill her duty of securing the future of her race, she starts partaking in sexual activities with him. To her surprise, Iris discovers that her partner's ancestors were orcs, well known for their extraordinary sexual prowess. As more demi-human students join the class and find out about their teacher's ""side job,"" it becomes increasingly difficult for Iris to keep her partner's attention solely on her. [Written by MAL Rewrite]","['Adaptation (Doujinshi) Enjo Kouhai', '']",** Kouhai,,Enjo Kouhai,,,,,
211,スリーピース THE ANIMATION,,['OVA'],1,Finished Airing,"Jan 27, 2023",,,['Pink Pineapple'],"None found,",['Studio 1st'],['Manga'],,,,22 min.,Rx - Hentai,6.66,N/A,#7832,"6,912",37,2793,"Yuji went to a fireworks festival with his stepmother. The crowded festive atmosphere captured both of them. However, it seems that Mira has a little more ""grand"" plans for her stepson than just eating well and having fun. Not a single living soul can prevent a woman's desires.","['Prequel (OVA) Master Piece The Animation', 'Adaptation (Manga) Master_Piece']",3Piece The Animation,,,['Hentai'],,,,
212,いもうとはGALかわいい,,['OVA'],2,Finished Airing,"Feb 3, 2023 to Jul 21, 2023",,,['Mary Jane'],"None found,",['New Generation'],['Light novel'],,,,15 min. per ep.,Rx - Hentai,6.82,N/A,#8168,"6,238",43,2305,"My new step sister has a bad habit of wearing almost nothing, and sometimes actually nothing, around me when we are at home... But I can't tell if she's doing it on purpose or not... guess it's time to find out!",[],Imouto wa Gal Kawaii,,,['Hentai'],,,,
213,クラスで男は僕一人!?,,['OVA'],1,Finished Airing,"Mar 3, 2023",,,['Lune-Pictures'],"None found,",['T-Rex'],['Manga'],,,,15 min.,Rx - Hentai,7.13,N/A,#8439,"5,788",42,2095,"Machida-kun is a young man who was transferred to a school where, until last year, only girls studied. And to his bad luck he is still the only boy in his class. And maybe this will disturb your concentration on studies a lot...",[],Class de Otoko wa Boku Hitori!?,,,['Hentai'],,,,
214,母乳ちゃんは射したい。,,['OVA'],4,Finished Airing,"Mar 3, 2023 to Apr 7, 2023",,,['Lune-Pictures'],"None found,",['T-Rex'],['Manga'],,,,16 min. per ep.,Rx - Hentai,7.17,N/A,#8626,"5,482",39,2213,"Student council president Tomomi Sakurazawa is a smart and attractive young woman who hides a big secret. She suffers from hyperlactation syndrome and must produce liters of breast milk every day. Unable to hide her secret forever, one of her classmates eventually discovers it.",[],Bonyuu-chan wa Dashitai.,,,['Hentai'],,,,
215,魔女は結局その客と... THE ANIMATION,,['OVA'],2,Finished Airing,"Feb 24, 2023 to Oct 27, 2023",,,['Pink Pineapple'],"None found,",['Studio 1st'],['Manga'],,,,25 min. per ep.,Rx - Hentai,6.86,N/A,#8908,"5,033",29,1853,"A young lady fortuneteller is having to work hard to make ends meet. One day, she is visited by a young man whom has seen in visions of an embarrassing nature. Her foresight has not been wrong yet.",[],Majo wa Kekkyoku Sono Kyaku to... The Animation,,,['Hentai'],,,,
216,おとぎばなしの鬼ごっこ,,['OVA'],2,Finished Airing,"Jan 27, 2023 to Mar 31, 2023",,,"None found,","None found,",['Majin'],Game,"['Fantasy', 'Hentai']",,,16 min. per ep.,Rx - Hentai,5.86,N/A,#8972,"4,932",36,1573,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Otogibanashi no Onigokko,,A Fairy Tale Game of Tag,,,,,
217,ゴブリンの巣穴,,['OVA'],4,Finished Airing,"Mar 31, 2023 to Nov 24, 2023",,,"None found,","None found,",['Majin'],Game,"['Fantasy', 'Hentai']",,,16 min. per ep.,Rx - Hentai,5.59,N/A,#9281,"4,448",20,1760,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Goblin no Suana,,,,,,,
218,いくものがかり The Animation,,['OVA'],2,Finished Airing,"Mar 31, 2023 to Aug 25, 2023",,,['Showten'],"None found,",['Blue bread'],['Manga'],,,,19 min. per ep.,Rx - Hentai,6.56,N/A,#9460,"4,191",21,1655,"Japan was engulfed in a demographic crisis, forcing the government to implement the ""Ikumonogakari"" law, which permitted promiscuous sexual interactions among the people. They started doing practical and pedagogical activities on the lessons of sexual life and a partner's sexual fulfillment. The protagonists are young and inexperienced, so practical exercises will help them to improve their skills.","['Adaptation (Doujinshi) Ikumonogakari to Shoujo ga Kaeru Machi Soushuuhen', '']",Ikumonogakari The Animation,,,['Hentai'],,,,
219,不貞 with... THE ANIMATION,,['OVA'],1,Finished Airing,"Mar 31, 2023",,,['Pink Pineapple'],"None found,",['Seven'],['Manga'],,,,27 min.,Rx - Hentai,6.48,N/A,#10007,"3,519",35,1421,"Away from the hustle and bustle of their homes, married women Kaoru and Satsuki come to a hot spring trip alone. When they are having fun together, they are picked up by the charlatan corps and end up drinking together. When she wakes up drunk, her ripe body is being toyed with and fucked. The body that was forcibly returned to the woman with no resistance is in her room and the bathhouse. She is squid all day long and continues to be seeded and depraved.","['Adaptation (Manga) Futei with...', '']",Futei with... The Animation,,,['Hentai'],,,,
220,ヤリ上がり,,['OVA'],2,Finished Airing,"Jan 27, 2023 to May 26, 2023",,,"None found,","None found,",['Nur'],Original,,,,25 min. per ep.,Rx - Hentai,6.21,N/A,#10331,"3,176",7,907,"Ichika, Shinji and Serina, best friends since childhood, they were always together until one strange incident caused their friendship to fall into oblivion. At the school where they all attended, a collective, headed by Serina, was formed with a single purpose - to bully Ichika. Ichika, still believing in their past friendship, hoped that their former relationship could be restored, so she endured all the humiliation and insults from her former friends, but the bullying went on and on... Ichika, whose patience had finally come to an end, decided to find a way to make her situation better. Soon, the young girl receives a video recording from the camera that was installed in Serina's room, from an unknown person. How is she going to use this gift of fate now? Will she come up with a plan to rekindle her friendship or to take revenge for all she has had to endure all this time...",[],Yari Agari,,,['Hentai'],,,,
221,アオハルスナッチ,,['OVA'],2,Finished Airing,"Feb 17, 2023 to Oct 20, 2023",,,"['Queen Bee', 'Mediabank']","None found,",['Blue bread'],['Manga'],,,,20 min. per ep.,Rx - Hentai,5.89,N/A,#10424,"3,102",9,994,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Aoharu Snatch', '']",Aoharu Snatch,,,['Hentai'],,,,
222,嫌な顔されながらおパンツ見せてもらいたい ver.3.0 (仮),,['OVA'],1,Finished Airing,"Feb 10, 2023",,,"None found,","None found,",['UWAN Pictures'],Other,,,,6 min.,PG-13 - Teens 13 or older,5.42,#12364,#10352,"3,155",37,456,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Iya na Kao sare nagara Opantsu Misete Moraitai 2', '']",Iya na Kao sare nagara Opantsu Misete Moraitai ver 3.0,['Military'],I Want You To Make a Disgusted Face and Show Me Your Underwear 3,['Ecchi'],,,,
223,映画 佐々木と宮野ー卒業編ー,Sasaki and Miyano: Graduation,['Movie'],1,Finished Airing,"Feb 17, 2023",,,"['Frontier Works', 'Movic', 'Nippon Columbia', 'U-NEXT', 'BS NTV', 'Kadokawa', 'TVA advance', 'Cinema Sunshine']","None found,",['Studio Deen'],['Manga'],,"['Otaku Culture', 'School']",,51 min.,PG-13 - Teens 13 or older,8.31,#273,#3285,"50,910",363,16718,"With university entrance exams and graduation drawing close, high school senior Shuumei Sasaki has to start taking his future more seriously. However, Sasaki is increasingly finding it hard to study; all he can think about is his boyfriend and junior, Yoshikazu Miyano. Having only recently made their relationship official, Sasaki cannot help but yearn to hold his boyfriend close. But with Sasaki's graduation on their minds, the couple begins to wonder what lies ahead for them both—especially as a public relationship can garner scrutiny from friends and family. [Written by MAL Rewrite]","['Prequel (TV) Sasaki to Miyano', 'Adaptation (Manga) Sasaki to Miyano']",Sasaki to Miyano Movie: Sotsugyou-hen,,Sasamiya,['Boys Love'],,,,
224,BLUE GIANT,Blue Giant,['Movie'],1,Finished Airing,"Feb 17, 2023",,,"['TOHO animation', 'Shogakukan']",['GKIDS'],['Nut'],['Manga'],,,['Seinen'],1 hr. 59 min.,PG-13 - Teens 13 or older,8.39,#202,#3883,"37,378",386,12872,"Ever since a fateful encounter with jazz music, Dai Miyamoto has dreamed of becoming the world's best jazz saxophonist. After only three years of playing the instrument, he makes the bold decision to move to Tokyo in order to break into the music scene. When he meets pianist Yukinori Sawabe at a small music club, Dai believes that he has found a kindred spirit he can form a band with. However, the classically trained Yukinori is reluctant to accept someone who makes such bold claims with so little experience under his belt. Yet, when he hears Dai's undeniable skill, Yukinori is forced to accept the offer. Along with the even less experienced Shunji Tamada, the trio form JASS, a group with a unique sound that might just be able to shake up the stagnating jazz scene. [Written by MAL Rewrite]","['Adaptation (Manga) Blue Giant', '']",Blue Giant,['Music'],,,,,,
225,グリッドマン ユニバース,,['Movie'],1,Finished Airing,"Mar 24, 2023",,,"['Pony Canyon', 'Tsuburaya Productions']","None found,",['Trigger'],Original,"['Action', 'Sci-Fi']",,,1 hr. 57 min.,PG-13 - Teens 13 or older,8.07,#564,#4000,"34,970",295,9617,"A year has passed since the events of SSSS.Gridman. The world is at peace and no one except for Rikka and Utsumi remembers the kaiju, Gridman, or Akane Shinjou. This includes Yuuta, who despite serving as Gridman's host, has no memory of the most important moments of his life. So when a new Kaiju appears, he leaps at the chance to prove to himself that he too can be the hero by merging with Gridman once more. (Source: ANN)","['Prequel (TV) SSSS.Gridman', 'Prequel (TV) SSSS.Dynazenon']",Gridman Universe,['Mecha'],Gridman×Dynazenon,,,,,
226,平野と鍵浦,,['Movie'],1,Finished Airing,"Feb 17, 2023",,,"None found,","None found,",['Studio Deen'],['Manga'],,,['Josei'],8 min.,PG-13 - Teens 13 or older,7.59,#1608,#4483,"27,604",181,4705,"The diligent high school freshman Akira Kagiura and his senior Taiga Hirano have been roommates for half a year. Kagiura used to be anxious about his future dormitory life, but thanks to his energetic senior looking out for him, he has come to feel content and at ease. As he continues to rely on Hirano more and more each day, he develops strong feelings for his selfless friend. In the six months they have left as roommates, Kagiura is determined to put a name to the relationship he cherishes so dearly before it comes to an end. [Written by MAL Rewrite]","['Adaptation (Manga) Hirano to Kagiura', '']",Hirano to Kagiura,['School'],Hirano and Kagiura,['Boys Love'],,,,
227,金の国水の国,Gold Kingdom and Water Kingdom,['Movie'],1,Finished Airing,"Jan 27, 2023",,,['Warner Bros. Japan'],"None found,",['Madhouse'],['Manga'],"['Fantasy', 'Romance']",,['Josei'],1 hr. 57 min.,PG-13 - Teens 13 or older,7.46,#2122,#6340,"11,578",26,2180,"Once upon a time, there were two rival kingdoms that did not get along. Every day, they argued over insignificant matters. When a dispute over removing dog waste ultimately turned into a war, God swiftly intervened and directed the two nation's leaders to exchange the most beautiful girl and the most intelligent young man for bride and bridegroom, respectively. Saara, the princess of country A, meets the prince of country B, Naranbayar. As they pretend to be a married couple to protect the peace between the countries, they find themselves gradually falling in love. (Source: MAL News)","['Adaptation (Manga) Kin no Kuni Mizu no Kuni', '']",Kin no Kuni Mizu no Kuni,,,,,,,
228,SSSS.GRIDMAN 劇場総集編,,['Movie'],1,Finished Airing,"Jan 20, 2023",,,['Pony Canyon'],"None found,",['Trigger'],Original,"['Action', 'Sci-Fi']",,,2 hr.,PG-13 - Teens 13 or older,7.15,#3626,#7620,"7,379",17,811,Compilation film of SSSS.Gridman.,[],SSSS.Gridman Movie,['Mecha'],SSSS.Gridman Recap,,,,,
229,SSSS.DYNAZENON 劇場総集編,,['Movie'],1,Finished Airing,"Mar 10, 2023",,,['Pony Canyon'],"None found,",['Trigger'],Original,"['Action', 'Sci-Fi']",,,2 hr.,PG-13 - Teens 13 or older,6.97,#4518,#8966,"4,944",7,569,Compilation film of SSSS.Dynazenon.,[],SSSS.Dynazenon Movie,['Mecha'],SSSS.Dynazenon Recap,,,,,
230,名探偵コナン 灰原哀物語～黒鉄（くろがね）のミステリートレイン～,Detective Conan: Ai Haibara's Story - Jet-Black Mystery Train,['Movie'],1,Finished Airing,"Jan 6, 2023",,,"['Yomiuri Telecasting', 'TOHO', 'Shogakukan']","None found,",['TMS Entertainment'],['Manga'],,,['Shounen'],1 hr. 29 min.,PG-13 - Teens 13 or older,7.35,#2586,#9410,"4,254",13,1324,"The movie will focus on Ai Haibara's past and will reconstruct the Mystery Train arc from the television anime, which shows Haibara and Conan meeting for the first time. The movie will also include scenes from the Kurogane no Submarine (Black Iron Submarine) movie. (Source: MAL News)","['Sequel (Movie) Meitantei Conan Movie 26: Kurogane no Submarine', '']",Meitantei Conan: Haibara Ai Monogatari - Kurogane no Mystery Train,['Detective'],,['Mystery'],,,,
231,らくだい魔女 フウカと闇の魔女,The Klutzy Witch: Fuuka and the Witch of Darkness,['Movie'],1,Finished Airing,"Mar 31, 2023",,,['Pony Canyon'],"None found,",['Production I.G'],Novel,,,,59 min.,PG-13 - Teens 13 or older,6.37,#7861,#9723,"3,862",5,555,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rakudai Majo: Fuuka to Yami no Majo,,"The Klutzy Witch: Fuuka and the Dark Witch, Failure Witch, Rakumajo",['Fantasy'],,,,
232,深海,Deep Sea,['Movie'],1,Finished Airing,"Jan 22, 2023",,,"['Horgos Coloroom Pictures Co., Ltd.']","None found,",['October Media'],Original,"['Adventure', 'Fantasy']",,,1 hr. 52 min.,PG-13 - Teens 13 or older,7.39,#2407,#10327,"3,175",22,451,"The film Deep Sea is another original animated feature film directed by Tian Xiaopeng after Monkey King: Hero Is Back and it’s also a 3D animation creation of exploration significance for October Media. Although antique stories are popular among Chinese animation works in recent years, Deep Sea will apply a different way, using unique oriental aesthetics to interpret a fantasy story with a modern background. The film Deep Sea builds a different brand new underwater world, and tells the story of a girl who encounters a unique life journey, seeking and searching in the mysterious underwater world. (Source: Official Site)",[],Shenhai,,,,,,,
233,劇場版アルゴナビス AXIA（アクシア）,,['Movie'],1,Finished Airing,"Mar 24, 2023",,,['Bushiroad'],"None found,",['SANZIGEN'],Mixed media,,,,1 hr. 4 min.,PG-13 - Teens 13 or older,[],#19248,#10640,"2,911",13,,,"['Prequel (TV) Argonavis from BanG Dream!', 'Prequel (Movie) Argonavis Movie: Ryuusei no Obligato']",Argonavis Movie: Axia,['Music'],Gekijouban Argonavis: Axia,['Drama'],,,,
234,映画ドラえもん のび太と空の理想郷,,['Movie'],1,Finished Airing,"Mar 3, 2023",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",,,1 hr. 47 min.,PG - Children,7.40,#2366,#10651,"2,908",14,1153,"Nobita and his friends embark on a quest to find an ideal land called Paradapia, similar to Thomas More's Utopia. Guided by Doraemon's futuristic gadgets and time-travel abilities, they uncover Paradapia's secrets and face challenges, including encounters with a bounty hunter named Marimba. The story revolves around their efforts to unravel the mysteries surrounding Paradapia, leading to a positive resolution and the anticipation of future adventures.",[],Doraemon Movie 42: Nobita to Sora no Utopia,,,,,,,
235,蒼穹のファフナー Dead Aggressor BEHIND THE LINE,,['Movie'],1,Finished Airing,"Jan 20, 2023",,,['King Records'],"None found,",['Production I.G'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military']",,53 min.,PG-13 - Teens 13 or older,6.86,#5012,#10964,"2,640",3,330,"Taking place after the events of Heaven and Earth and before Exodus, Behind the Line depicts the moments of boys and girls after Soushi Minashiro returned home. (Source: Fafner website)",[],Soukyuu no Fafner: Dead Aggressor - Behind the Line,,,,,,,
236,狂気山脈 ネイキッド・ピーク,Naked Peak: Climb the Mountains of Madness,['Movie'],1,Finished Airing,"Feb 28, 2023",,,"['THINKR', 'Kamitsubaki Studio']","None found,","['G-angle', 'Stereotype']",Original,,,,4 min.,PG-13 - Teens 13 or older,6.77,#5512,#11060,"2,567",11,473,"A flight to Antarctica turns into a frantic rescue mission after the plane mysteriously vanishes. Efforts to locate the missing passengers lead rescuers to discover the plane's course set for a never-before-seen mountain range - the largest on Earth. Towering over 10,000 feet above sea level, the Everest-eclipsing eighth wonder of the world draws attention from the world's best climbers and thrill-seekers. Although they have conquered the tallest peaks in the past, Earth's new vertigo-inducing heights are surpassed only by the dreadful horrors awaiting at the top. (Source: ANN)",[],Kyouki Sanmyaku: Naked Peak,,,,,,,
