,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,German,Spanish,French,Demographics
104,,브레드 이발소 3,Bread Barbershop 3,['TV'],25,Finished Airing,"Dec 25, 2021 to Oct 20, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,10 min. per ep.,PG - Children,[],#19551,#21684,191,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Beuledeu Ibalso 2', 'Sequel (TV) Beuledeu Ibalso 4: Bakery Ppang Stars']",Beuledeu Ibalso 3,['Anthropomorphic'],['Kids'],,,,,
105,,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,18 min.,G - All Ages,[],#17988,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,['Kids'],['Fantasy'],,,,
106,,메카드볼,,['TV'],52,Finished Airing,"Sep 4, 2021 to Oct 8, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing', 'Strategy Game']",13 min. per ep.,PG - Children,[],#17612,#22691,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Mecard Ball Mega', '']",Mecard Ball,,['Kids'],['Action'],,,,
107,Hello Carbot: Boom Bar,헬로 카봇 시즌12,,['TV'],39,Finished Airing,"Apr 3, 2022 to Mar 26, 2023",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",11 min. per ep.,PG - Children,[],#21125,#23105,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 11', 'Sequel (TV) Hello Carbot Season 13']",Hello Carbot Season 12,,['Kids'],['Action'],,,,
108,,로보카 폴리 시즌5,,['TV'],16,Finished Airing,"Mar 4, 2022 to Dec 13, 2022",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#18901,#23471,122,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Robocar Poli 4', '']",Robocar Poli 5,['Racing'],['Kids'],['Comedy'],,,,
109,,サイバーパンク エッジランナーズ,,['ONA'],10,Finished Airing,"Sep 13, 2022",,,['CD Projekt Red'],['Aniplex of America'],['Trigger'],Game,"['Action', 'Sci-Fi']","['Gore', 'Organized Crime']",25 min. per ep.,R+ - Mild Nudity,8.61,#92,#215,"876,763","29,522",594763,"Dreams are doomed to die in Night City, a futuristic Californian metropolis. As a teenager living in the city's slums, David Martinez is trying to fulfill his mother's lifelong wish for him to reach the top of Arasaka, the world's leading security corporation. To this end, he attends the prestigious Arasaka Academy while his mother works tirelessly to keep their family afloat. When an incident with a street gang leaves David's life in tatters, he stumbles upon Sandevistan cyberware—a prosthetic that grants its wearer superhuman speed. Fueled by rage, David implants the device in his back, using it to exact revenge on one of his tormentors. This gets him expelled from the academy, shattering his hopes of ever making his mother proud. After witnessing David's newfound abilities, the beautiful data thief Lucyna ""Lucy"" Kushinada offers to team up with him, handing him a ticket to salvation. However, associating with Lucy introduces David to the world of Edgerunners—cyborg criminals who will break any law for money. Edgerunners often lose their lives, if the cyberware does not break their minds first; but in his fight for survival inside a corrupt system, David is ready to risk it all. [Written by MAL Rewrite]",[],Cyberpunk: Edgerunners,,,,,,,
110,,ジョジョの奇妙な冒険 ストーンオーシャン,JoJo's Bizarre Adventure: Stone Ocean Part 2,['ONA'],12,Finished Airing,"Sep 1, 2022",,,['Warner Bros. Japan'],['VIZ Media'],['David Production'],['Manga'],"['Action', 'Adventure']",,24 min. per ep.,R - 17+ (violence & profanity),8.05,#590,#888,"295,475","1,162",179311,"Thrown into solitary confinement after a daring rescue attempt, Jolyne Kuujou fights to uncover the sinister plot of Whitesnake, an enemy Stand whose mysterious wielder remains unknown to her. Whitesnake's user is actually Enrico Pucci, priest and chaplain of Green Dolphin Street Prison. Pucci shares a deep connection with a villain who once plagued the Joestar bloodline, making his feud with Jolyne and her father, Joutarou, a personal one. Intent on executing the master plan of his deceased friend, Pucci uses the prison and its inmates to fulfill his nefarious schemes. Assisted by fellow prisoners, like Ermes Costello and Foo Fighters, Jolyne battles several enemy Stand users. As the ramifications of Pucci's plot spread beyond the confines of the prison and begin to threaten the rest of the world, Jolyne embraces her family lineage and risks her life to put an end to evil. [Written by MAL Rewrite]","['Prequel (ONA) JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'Sequel (ONA) JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 6: Stone Ocean', '']",JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,['Super Power'],['Shounen'],,,,,
111,Compulsive Gambler Twin,賭ケグルイ双,Kakegurui Twin,['ONA'],6,Finished Airing,"Aug 4, 2022",,,"['Square Enix', 'Avex Pictures']","None found,",['MAPPA'],['Manga'],"['Drama', 'Mystery', 'Suspense']","['Psychological', 'School']",25 min. per ep.,PG-13 - Teens 13 or older,7.18,#3450,#1969,"118,535",351,56750,"Her name is Mary Saotome—she is brazen, insolent, and defiant, yet highly intelligent. Upon transferring to Hyakkaou Private Academy, where a student's worth is determined by their wits through gambling, she seizes a glorious win against a classmate and immediately captures the attention of the devious student council members. With the bottom of Hyakkaou's rigorous hierarchy determined by least gambling winnings, the future for Tsuzura Hanatemari looks grim. As Tsuzura's childhood friend, Mary resolves to rise through the ranks and secure enough money to free Tsuzura from the shackles of the unjust system. Mary's perseverance and refusal to lose drive her to surpass and humiliate even the strongest opponents, but certain student council members seem to have greater plans for her. [Written by MAL Rewrite]","['Adaptation (Manga) Kakegurui Twin', '']",Kakegurui Twin,,['Shounen'],,,,,
112,,仙王的日常生活 第三季,The Daily Life of the Immortal King 3,['ONA'],12,Finished Airing,"Sep 30, 2022 to Dec 11, 2022",,,['bilibili'],"None found,",['Pb Animation Co. Ltd.'],Web novel,"['Adventure', 'Comedy', 'Fantasy']","['School', 'Urban Fantasy']",18 min. per ep.,PG-13 - Teens 13 or older,7.35,#2607,#2127,"106,115",285,33574,Third season of Xian Wang de Richang Shenghuo.,"['Prequel (ONA) Xian Wang de Richang Shenghuo 2', 'Sequel (ONA) Xian Wang de Richang Shenghuo 4']",Xian Wang de Richang Shenghuo 3,,,,,,,
113,,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11260,#2568,"79,061",256,30945,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,['Martial Arts'],['Shounen'],,,,,
114,"Horogura, HoloGra",ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,852","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,,,['Comedy'],,,,
115,,四畳半タイムマシンブルース,The Tatami Time Machine Blues,['ONA'],6,Finished Airing,"Sep 14, 2022 to Oct 12, 2022",,,"['Dentsu', 'Fuji TV', 'TOHO', 'Asmik Ace', 'Fujipacific Music', 'Kadokawa', 'Tohan Corporation']","None found,",['Science SARU'],Novel,"['Comedy', 'Mystery', 'Romance', 'Suspense']","['Adult Cast', 'Psychological', 'Time Travel']",20 min. per ep.,PG-13 - Teens 13 or older,8.18,#415,#3415,"47,324",313,13755,"On a hot summer day in Kyoto, a young man walks toward his apartment, dreaming of turning on the air conditioner and cooling down. But before he can turn his dream into reality, disaster naturally strikes in the form of Ozu, who spills soda all over the remote. With the air conditioner rendered completely unusable, the man and his friends are left to suffer in the terrible August heat. Just when all hope seems lost, the group finds a true-to-life time machine in their storage room. Not knowing the dire consequences of doing so, they decide to travel back to the past and grab the remote before Ozu even has a chance to destroy it. What awaits them on the other side is a staggering adventure none of them are prepared for. [Written by MAL Rewrite]","['Prequel (TV) Yojouhan Shinwa Taikei', 'Adaptation (Novel) Yojouhan Time Machine Blues']",Yojouhan Time Machine Blues,,,,,,,
116,,龙族 / 龍族 -The Blazing Dawn-,Dragon Raja -The Blazing Dawn-,['ONA'],16,Finished Airing,"Aug 19, 2022 to Nov 25, 2022",,,['Tencent Penguin Pictures'],"None found,",['Garden Culture'],Novel,"['Adventure', 'Fantasy']",,22 min. per ep.,PG-13 - Teens 13 or older,7.24,#3133,#3584,"43,551",226,12211,"Lu Mingfei is a typical high school kid getting ready to graduate. That is, until he receives an acceptance letter from Cassell College, a school he didn’t even apply to. Upon arrival, Lu learns that the school’s mission is simple: protect humanity from dragons. Caught in the midst of the age-old conflict, Lu soon uncovers the grim truth behind humanity’s war against the dragon race. (Source: Crunchyroll)","['Prequel (ONA) Long Zu Episode 0', 'Sequel (ONA) Long Zu Season 2']",Long Zu,,,,,,,
117,,BASTARD!! -暗黒の破壊神-,"Bastard‼ Heavy Metal, Dark Fantasy Part 2",['ONA'],11,Finished Airing,"Sep 15, 2022",,,"['Warner Bros. Japan', 'Shueisha']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,6.75,#5594,#4012,"34,717",74,15373,"Despite being betrayed by two members of the Four Divine Kings, the army of Kall-Su and Abigail continues its advance against the Metallicana Kingdom with the intent to unleash the god of destruction, Anthrasax. As Gara and Nei Arshes lead a brave counter-offensive against Abigail's innumerable army of undead soldiers, they appear powerless against army commander Lynch, who wields one of the Three Demonic Treasures, Demon-Mail. Meanwhile, Yoko Tia Noto tries to revive the savior of Metallicana, Dark Schneider, in hopes that he will be able to thwart Kall-Su and Abigail's grim plans. [Written by MAL Rewrite]","['Prequel (ONA) Bastard!! Ankoku no Hakaishin (ONA)', 'Sequel (ONA) Bastard!! Ankoku no Hakaishin: Jigoku no Chinkonka-hen', 'Adaptation (Manga) Bastard!! Ankoku no Hakaishin', '']",Bastard!! Ankoku no Hakaishin Part 2 (ONA),['Gore'],['Seinen'],,,,,
118,,Tekken: Bloodline,,['ONA'],6,Finished Airing,"Aug 18, 2022",,,"['Bandai Namco Entertainment', 'Netflix']","None found,","['Studio Hibari', 'Larx Entertainment']",Game,,,25 min. per ep.,R - 17+ (violence & profanity),6.43,#7532,#4076,"33,781",80,20065,"Thanks to their family's martial arts style, Jin Kazama and his mother, Jun, have had to overcome all sorts of challenges. But even with their strong bond, the two are no match for the terrifying demon that invades their home, harboring a bloodlust for Jun. Cornered by such a stubborn creature, Jun commands Jin to find his grandfather, Heihachi Mishima, before she disappears along with the demon in an explosion. Jin arrives at his grandfather's abode, only to be treated like a stranger from a different bloodline. However, upon discovering that Ogre was the demon behind the Kazamas' tragedy, Heihachi takes Jin under his tutelage and begins to train the young man rigorously. With a flaming vengeance, Jin turns his blood, sweat, and tears into strength for his fists—all for the sake of Ogre's demise. [Written by MAL Rewrite]",[],Tekken: Bloodline,['Martial Arts'],,['Action'],,,,
119,"Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei, A Gentle Dragon of 5000 Years Old, It Was Recognized as an Evil Dragon Without Any Cause., 齢5000年の草食ドラゴン、いわれなき邪竜認定",食草老龙被冠以恶龙之名,"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",['ONA'],12,Finished Airing,"Jul 30, 2022 to Oct 8, 2022",,,"['AT-X', 'bilibili', 'Kadokawa', 'Starry Cube']","None found,",['LAN Studio'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,13 min. per ep.,PG-13 - Teens 13 or older,6.74,#5642,#4326,"29,642",81,9223,"A 5000-year-old herbivorous dragon was living peacefully when one day a young girl showed up in his cave. She offered herself as a sacrifice in order to gain favor for her village. He played along as the great ""Evil Dragon, the Demon Lord's Army Leader"" in order to get rid of her. However, his little white lie awoke her hidden powers and his peaceful life suddenly ended. (Source: MU, edited)","['Sequel (ONA) Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming 2nd Season', 'Adaptation (Light Novel) Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei']",Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,,,,,,,
120,,靠你啦！战神系统,War God System! I'm Counting On You!,['ONA'],16,Finished Airing,"Jul 27, 2022 to Nov 2, 2022",,,['bilibili'],"None found,",['Chongzhuo Animation'],Novel,"['Action', 'Comedy', 'Fantasy']",,19 min. per ep.,PG-13 - Teens 13 or older,7.27,#2963,#5185,"19,506",104,5207,"An Lin, an ordinary young man in the city, encounters a powerful practitioner, who gives him a set of God of War system and sends him to the spiritual world to practice. When he first arrived in the spiritual world, An Lin, who had average aptitude, was humiliated as ""the strongest relationship household"". In order to wash away the stigma, the optimistic An Lin improved his cultivation skills with the help of the system. With several outstanding performances, he made a group of close friends and embarked on the road of counterattack. (Source: bilibili)",[],Kao Ni La Zhanshen Xitong,['Martial Arts'],,,,,,
121,,オーバーロード　ぷれぷれぷれあです4,,['ONA'],13,Finished Airing,"Jul 5, 2022 to Sep 27, 2022",,,"None found,","None found,",['Studio PuYUKAI'],['Light novel'],"['Comedy', 'Fantasy']",,2 min. per ep.,PG-13 - Teens 13 or older,6.69,#5982,#5487,"16,810",22,5978,Super deformed parody shorts of Overlord IV streamed on Kadokawa's official YouTube channel.,"['Prequel (ONA) Overlord: Ple Ple Pleiades 3', '']",Overlord: Ple Ple Pleiades 4,['Isekai'],,,,,,
122,Obey Me! 2nd Season,,,['ONA'],12,Finished Airing,"Jul 22, 2022 to Dec 23, 2022",,,['Colored Pencil Animation'],['Crunchyroll'],['Colored Pencil Animation Japan'],Game,"['Comedy', 'Fantasy']",,6 min. per ep.,PG-13 - Teens 13 or older,7.09,#3945,#6130,"12,621",101,4230,"The charming incarnations of the seven deadly sins—brothers Lucifer, Mammon, Leviathan, Satan, Asmodeus, Beelzebub, and Belphegor—can never seem to keep out of mischief. They are demons feared across the Devildom, but, at the Royal Academy of Diavolo, one human transfer student has captured their collective hearts. Whenever the brothers miss them, they engage in ridiculous antics to keep themselves entertained, and they even drag others into their neverending shenanigans. [Written by MAL Rewrite]","['Prequel (ONA) Obey Me!', '']",Obey Me! Season 2,['Mythology'],,,,,,
123,Tianmei De Yaohen,甜美的咬痕,Sweet Bite Marks,['ONA'],12,Finished Airing,"Sep 1, 2022 to Nov 3, 2022",,,"['Tencent Penguin Pictures', 'Kuaikan Manhua']","None found,",['Panda Tower Studio'],['Manga'],"['Drama', 'Romance', 'Supernatural']",,10 min. per ep.,PG-13 - Teens 13 or older,6.56,#6699,#6223,"12,139",97,2988,"This tells the romantic love story of an independent and introverted human girl from hating to falling in love with a vampire prince in an era where vampires ruled. (Source: Tencent, Google translated & edited)","['Adaptation (Manhua) Tianmei de Yaohen', '']",Tian Mei De Yao Hen,['Vampire'],,,,,,
124,Dragon Raja Episode 0,龙族,Dragon Raja: An Invitation From a Foreign Land,['ONA'],1,Finished Airing,"Aug 19, 2022",,,['Tencent Penguin Pictures'],"None found,",['Garden Culture'],Novel,,,47 min.,PG-13 - Teens 13 or older,7.31,#2801,#6426,"11,214",14,5086,Episode 0 of Long Zu.,"['Sequel (ONA) Long Zu', '']",Long Zu Episode 0,['School'],,['Fantasy'],,,,
125,"Battle Through The Heavens 5th, 6th & 7th Seasons",斗破苍穹年番,,['ONA'],157,Currently Airing,"Jul 31, 2022 to ?",,,"['Tencent Penguin Pictures', 'China Literature Limited', 'Wanda Media']","None found,",['Motion Magic'],Novel,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.45,#170,#6957,"9,310",316,3091,Fifth season of Doupo Cangqiong.,"['Prequel (ONA) Doupo Cangqiong: San Nian Zhi Yue', 'Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong', '']",Doupo Cangqiong: Nian Fan,['Martial Arts'],,,,,,
126,,一念永恒 传承篇,A Will Eternal 2nd Season,['ONA'],54,Finished Airing,"Jul 20, 2022 to Jul 12, 2023",,,['Tencent Penguin Pictures'],"None found,",['B.CMAY PICTURES'],Novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",19 min. per ep.,PG-13 - Teens 13 or older,8.16,#455,#7604,"7,405",95,2287,Second season of Yi Nian Yong Heng.,"['Prequel (ONA) Yi Nian Yong Heng', 'Sequel (ONA) Yi Nian Yong Heng 3rd Season', 'Adaptation (Manhua) Yi Nian Yong Heng', '']",Yi Nian Yong Heng: Chuan Cheng Pian,,,,,,,
127,"Mori no Kuma-san, Toumin-chuu ni Chikubi wo Mederaremashita., Caressing the Nipples of My Hibernating Bear, Morikuma",森のくまさん、冬眠中。,Caressing My Hibernating Bear,['ONA'],9,Finished Airing,"Jul 4, 2022 to Sep 12, 2022",,,"['Suiseisha', 'blackflag']",['Ascendent Animation'],['Studio Hokiboshi'],['Manga'],"['Boys Love', 'Hentai']",,6 min. per ep.,Rx - Hentai,6.19,N/A,#7883,"6,810",41,2284,"Nowa the bear lives in the forest and adopts a puppy named Airi. Before going into hibernation, Now was worried that Airi wouldn't wean. A few months after starting his hibernation, Nowa wakes up with a pleasant sensation from Airi, now an adult dog, licking his nipple saying, ""I've been waiting for a long time."" (Source: MAL News)","['Adaptation (Manga) Mori no Kuma-san, Touminchuu.', '']","Mori no Kuma-san, Toumin-chuu.",['Anthropomorphic'],,,,,,
128,,世界の終わりに柴犬と,Doomsday with My Dog,['ONA'],72,Finished Airing,"Aug 2, 2022 to Feb 5, 2023",,,['Kadokawa'],['Sentai Filmworks'],['DLE'],['Web manga'],"['Adventure', 'Sci-Fi', 'Slice of Life']",,1 min. per ep.,G - All Ages,6.47,#7248,#8010,"6,526",15,1369,"The sole surviving human and her canine companion, Haru, wander a desolate wasteland after the destruction of civilization, but this is no dark doomsday tale. Haru, a wise-beyond-his-years talking shiba inu, makes sure his master stays one step ahead of post-apocalyptic pessimism with his clever antics, hilarious observations and philosophical ponderings. She may be the last girl on earth, but with Haru at her side, the road through the apocalypse will never be boring! (Source: Sentai Filmworks)","['Adaptation (Manga) Sekai no Owari ni Shiba Inu to', '']",Sekai no Owari ni Shiba Inu to,['Pets'],,,,,,
129,,Shark'd,,['ONA'],1,Finished Airing,"Sep 18, 2022",,,['Hololive Production'],"None found,",['Tonari Animation'],Mixed media,"['Comedy', 'Fantasy']",,3 min.,PG-13 - Teens 13 or older,7.37,#2476,#8025,"6,499",34,3737,"Finding her life in the Lost City of Atlantis too boring, friendly but impulsive shark girl Gura Gawr swims to shore in search of fun. However, she soon finds out that she cannot enjoy life on the surface peacefully without clothes. Luckily, the nearby Blue Axolotl Beachwear shop presents Gura with a shark-themed outfit that speaks to her inner child. Thanks to a flier posted for a Hololive Production audition, Gura has since become the internet's most beloved VTuber. But that has never stopped her origin story from being any less lovable than her YouTube antics. [Written by MAL Rewrite]",[],Shark'd,['Idols (Female)'],,,,,,
130,,萌妻食神之欢喜追婚,Cinderella Chef 3rd Season,['ONA'],12,Finished Airing,"Jul 5, 2022 to Sep 13, 2022",,,"['bilibili', 'Yuewen Animation & Comics']","None found,",['Wawayu Animation'],Web novel,"['Comedy', 'Drama', 'Gourmet', 'Romance']",,18 min. per ep.,PG-13 - Teens 13 or older,7.48,#2023,#8252,"6,069",19,2183,The third season of Meng Qi Shi Shen.,"['Prequel (ONA) Meng Qi Shi Shen: Zaijie Liangyuan', '']",Meng Qi Shi Shen: Huanxi Zhui Hun,['Historical'],,,,,,
131,,苍兰诀,Love Between Fairy and Devil,['ONA'],12,Finished Airing,"Jul 15, 2022 to Sep 23, 2022",,,"['iQIYI', 'Youliao Studio']","None found,",['Garden Culture'],Web novel,"['Fantasy', 'Romance']",,15 min. per ep.,PG-13 - Teens 13 or older,7.27,#3005,#8319,"5,952",57,1390,"A donghua based on the novel of the same name written by Jiu Lu Fei Xiang. The story revolves around the relationship between Xiao Lanhua, a low-ranking flower fairy, and the powerful ""Moon Supreme"" Dongfang Qingcang. After being locked away for thousands of years, Xiao Lanhua mistakenly revives Dongfang Qingcang. The two of them become connected as a result, with the powerful and stoic Moon Supreme forced to experience everything she does, both physical and emotional.","['Sequel (ONA) Cang Lan Jue Part 2', 'Adaptation (Novel) Cang Lan Jue']",Cang Lan Jue,,,,,,,
132,"Kanojo, Okarishimasu Puchi 2, Rent-a-Girlfriend Chibi 2, Kanojo, Okarishimasu Mini Anime 2","彼女, お借りします ぷち 2",Rent-a-Girlfriend Petit 2nd Season,['ONA'],12,Finished Airing,"Jul 5, 2022 to Sep 16, 2022",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,1 min. per ep.,PG-13 - Teens 13 or older,5.78,#11048,#8957,"4,956",15,1319,Short episodes with super-deformed characters posted on the official Twitter account.,"['Prequel (ONA) Kanojo, Okarishimasu Petit', 'Sequel (ONA) Kanojo, Okarishimasu Petit 3rd Season']","Kanojo, Okarishimasu Petit 2nd Season",,,['Comedy'],,,,
133,,诛仙,Jade Dynasty,['ONA'],26,Finished Airing,"Aug 2, 2022 to Jan 17, 2023",,,['Tencent Penguin Pictures'],"None found,",['Cloud Art'],Web novel,"['Adventure', 'Fantasy']",,22 min. per ep.,PG-13 - Teens 13 or older,7.57,#1685,#9292,"4,417",51,1474,"Zhang Xiaofan, who was tragically orphaned overnight, was accepted as a disciple by Qingyunmen. After five years of hard training, he excelled in the martial arts of the Seven Vessels of the Mastermen. Senior sister Lu Xueqi was in danger and met Baguio, the woman who rescued the demon sect. At the same time, new dangers were also waiting for him. (Source: Tencent Video)","['Sequel (ONA) Zhu Xian 2nd Season', '']",Zhu Xian,['Historical'],,,,,,
134,Battle Through The Heavens: Origin,斗破苍穹 缘起,Fights Break Sphere: Origin,['ONA'],3,Finished Airing,"Jul 17, 2022 to Jul 24, 2022",,,"['Tencent Penguin Pictures', 'China Literature Limited', 'Wanda Media']","None found,",['Motion Magic'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",,29 min. per ep.,PG-13 - Teens 13 or older,7.67,#1367,#9807,"3,770",37,1485,Remake of the first season of Doupo Cangqiong.,"['Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong']",Doupo Cangqiong: Yuanqi,['Martial Arts'],,,,,,
135,Knights of the Zodiac: Saint Seiya,聖闘士星矢：Knights of the Zodiac バトル・サンクチュアリ,Saint Seiya: Knights of the Zodiac - Battle for Sanctuary,['ONA'],12,Finished Airing,"Jul 31, 2022 to Oct 9, 2022",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.25,#8559,#9865,"3,689",12,1554,Second season of Saint Seiya: Knights of the Zodiac.,"['Prequel (ONA) Saint Seiya: Knights of the Zodiac', 'Sequel (ONA) Saint Seiya: Knights of the Zodiac - Battle Sanctuary Part 2', 'Adaptation (Manga) Saint Seiya', '']",Saint Seiya: Knights of the Zodiac - Battle Sanctuary,['Mythology'],['Shounen'],,,,,
136,"Manual of Hundred Demons Season 3, Bai Yao Pu Jing Shi Pia",百妖谱第三季,Fairies Albums 3,['ONA'],12,Finished Airing,"Jul 25, 2022 to Oct 3, 2022",,,"None found,","None found,",['CMC Media'],Novel,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.67,#1363,#9896,"3,652",15,1039,Third season of Bai Yao Pu.,"['Prequel (ONA) Bai Yao Pu 2nd Season', 'Sequel (ONA) Bai Yao Pu 4th Season', 'Adaptation (Manhua) Bai Yao Pu', '']",Bai Yao Pu 3rd Season,['Historical'],,,,,,
137,,リラックマと遊園地,Rilakkuma's Theme Park Adventure,['ONA'],8,Finished Airing,"Aug 25, 2022",,,"['San-X', 'TYO', 'Netflix']","None found,",['dwarf'],Other,,"['Anthropomorphic', 'Iyashikei']",16 min. per ep.,PG - Children,6.83,#5211,#9949,"3,582",7,1360,"Grab your tickets and get in line for a new series of stop-motion adventures with Rilakkuma and Kaoru! Join Rilakkuma, Korilakkuma, Kiiroitori, and Kaoru as they explore an amusement park in its closing hours when Rilakkuma's Theme Park Adventure arrives next year. (Source: Netflix)","['Prequel (ONA) Rilakkuma to Kaoru-san', '']",Rilakkuma to Yuuenchi,,['Kids'],['Slice of Life'],,,,
138,,汉化日记 第三季,God Troubles Me 3rd Season,['ONA'],12,Finished Airing,"Jul 31, 2022 to Oct 9, 2022",,,"['bilibili', 'Liyu Culture', 'Yunyi Animation', 'Haowan Dongman', 'Qizhiying Culture']","None found,",['L²Studio'],Original,"['Comedy', 'Supernatural']",,13 min. per ep.,PG-13 - Teens 13 or older,7.67,#1368,#9970,"3,555",8,1335,Third season of Hanhua Riji.,"['Prequel (ONA) Hanhua Riji 2nd Season', 'Sequel (ONA) Hanhua Riji 4th Season']",Hanhua Riji 3rd Season,,,,,,,
139,,吞噬星空 第三季,Swallowed Star 3rd Season,['ONA'],33,Finished Airing,"Sep 14, 2022 to Apr 26, 2023",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures']","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,21 min. per ep.,PG-13 - Teens 13 or older,8.37,#221,#10416,"3,105",37,1598,Third season of Tunshi Xingkong.,"['Prequel (ONA) Tunshi Xingkong 2nd Season', 'Sequel (ONA) Tunshi Xingkong 4th Season', 'Adaptation (Manhua) Tunshi Xingkong', '']",Tunshi Xingkong 3rd Season,['Martial Arts'],,,,,,
140,"Hataraku Maou-sama!! Mini Anime, The Devil is a Part-Timer! Season 2 Mini Anime",ちいちゃい！魔王さま！！,,['ONA'],24,Finished Airing,"Jul 17, 2022 to Oct 1, 2023",,,"None found,","None found,",['AQUA ARIS'],['Light novel'],,,1 min. per ep.,PG-13 - Teens 13 or older,5.90,#10445,#10519,"3,015",3,1002,Mini anime for Hataraku Maou-sama!! released on Twitter and YouTube.,[],Chiichai! Maou-sama!!,,,['Comedy'],,,,
