,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographic,Demographics
42,FAIRY TAIL（フェアリーテイル）,Fairy Tail,['TV'],175,Finished Airing,"Oct 12, 2009 to Mar 30, 2013",['Fall 2009'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production']",['Funimation'],"['Satelight', 'A-1 Pictures']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1694,#54,"1,790,525","47,056",1035252,"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild. From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member. Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic. [Written by MAL Rewrite]","['Sequel (TV) Fairy Tail (2014)', 'Adaptation (Manga) Fairy Tail Read Manga']",Fairy Tail,,,,,,,['Shounen'],
43,ギルティクラウン,Guilty Crown,['TV'],22,Finished Airing,"Oct 14, 2011 to Mar 23, 2012",['Fall 2011'],Fridays at 01:15 (JST),"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Fujipacific Music', '1IN']",['Funimation'],['Production I.G'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),7.40,#2367,#118,"1,245,661","17,024",649953,"On December 24, 2029—the day colloquially known as the ""Lost Christmas""—the Apocalypse Virus spread across Japan, bringing death to its citizens and plunging the country into utter chaos. In an effort to establish order, the United Nations sends the GHQ to assist with the crisis by containing the outbreak while removing all political autonomy in the process. A decade later, the country still lives under their control, unable to break free from their draconian rule. Frustrated with the state of the nation, a resistance group named the Funeral Parlor aims to liberate Japan from the GHQ. Led by the charismatic Gai Tsutsugami, the group plots to steal a vial containing the ""Void Genome"" to further their goals. The vial falls into the hands of internet vocalist Inori Yuzuriha, who ends up being hunted by the GHQ's Anti-Bodies forces. Having nowhere to go, she seeks refuge in a warehouse where she meets Shuu Ouma—a socially awkward high school student who is a huge fan of her music. Shuu gets dragged into the conflict the moment he rescues Inori, and the Void Genome shatters in his hand, granting him the ""Power of the Kings."" While learning how to control his grand new ability, Shuu must now fight to liberate Japan from its cruel oppressors. [Written by MAL Rewrite]","['Prequel (OVA) Guilty Crown: Lost Christmas - An Episode of Port Town', 'Adaptation (Manga) Guilty Crown']",Guilty Crown,GUILTY CROWN,,,,,,,
44,べるぜバブ,Beelzebub,['TV'],60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",['Winter 2011'],Sundays at 07:00 (JST),"['Pierrot', 'Dentsu', 'Yomiuri Telecasting', 'Shueisha']",['Discotek Media'],['Pierrot Plus'],['Manga'],"['Action', 'Comedy', 'Supernatural']","['Childcare', 'Delinquents', 'Mythology', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.84,#954,#379,"613,664","5,414",287945,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter. One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord! As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine. [Written by MAL Rewrite]","['Adaptation (Manga) Beelzebub', '']",Beelzebub,,,,,,,['Shounen'],
45,銀魂',Gintama Season 2,['TV'],51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",['Spring 2011'],Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","None found,",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#9,#401,"580,810","8,342",246024,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo. [Written by MAL Rewrite]","['Prequel (TV) Gintama', ""Sequel (TV) Gintama': Enchousen"", 'Adaptation (Manga) Gintama', '']",Gintama',Gintama (2011),Gintama Staffel 2,Gintama Temporada 2,Gintama Saison 2,,,['Shounen'],
46,ちはやふる,Chihayafuru,['TV'],25,Finished Airing,"Oct 5, 2011 to Mar 28, 2012",['Fall 2011'],Wednesdays at 00:59 (JST),"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Drama', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",22 min. per ep.,PG-13 - Teens 13 or older,8.18,#418,#500,"477,112","8,146",188880,"As a child, Chihaya Ayase had only one dream: to see her elder sister Chitose become Japan's most successful model. However, upon defending her ostracised classmate Arata Wataya from his bully—Chihaya's childhood friend Taichi Mashima—she discovers the world of competitive karuta and soon becomes enamoured with the sport. Based on the Ogura Hundred Poets anthology, this card game where poems are studied requires excellent memory, agility, and a tremendous endurance from the players. Full of hope, Chihaya joins the Shiranami Society together with the newly reconciled Arata and Taichi, embarking on an exciting journey for the title awarded to the top-ranked female player—Queen of Karuta. Since middle school, Chihaya grew distant from a dispassionate Taichi and separated from Arata. However, in order to improve her skills, Chihaya decides to create a karuta club in her high school. With the help of Taichi, another veteran player, and a few spirited newcomers, Chihaya's new-founded Mizusawa Karuta Club aims for victory in the Omi Shrine's national championship. [Written by MAL Rewrite]","['Sequel (TV) Chihayafuru 2', 'Adaptation (Manga) Chihayafuru Read Manga']",Chihayafuru,Chihayafull,,,,,,['Josei'],
47,バクマン。2ndシーズン,Bakuman. Season 2,['TV'],25,Finished Airing,"Oct 1, 2011 to Mar 24, 2012",['Fall 2011'],Saturdays at 17:30 (JST),"['NHK', 'Shueisha']",['Media Blasters'],['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,8.33,#250,#698,"361,781","1,381",217108,"With the serialization of their new manga, ""Detective Trap,"" the writer-artist team, Akito Takagi and Moritaka Mashiro, better known by their pseudonym Muto Ashirogi, are one step closer to becoming world-renowned mangaka. For Mashiro, however, serialization is just the first step. Having promised to marry his childhood sweetheart and aspiring voice actress, Azuki Miho, once his manga gets an anime adaptation, Mashiro must continue his to popularize Ashirogi's work. A tremendously competitive cast of ambitious mangaka—including the wild genius, Eiji Niizuma; the elegant student, Yuriko Aoki, and her older admirer and partner, Takurou Nakai; the lazy prodigy, Kazuya Hiramaru; and the abrasive artist, Shinta Fukuda—both support and compete against Muto Ashirogi in creating the next big hit. As they adjust to their young and seemingly untested new editor, the dynamic duo struggle to maintain their current serialization, secure the top spot in Shounen Jack, and ultimately, achieve an anime adaptation of their manga. With new rivals and friends, Bakuman. 2nd Season continues Takagi and Mashiro's inspiring story of hard work and young love. [Written by MAL Rewrite]","['Prequel (TV) Bakuman.', 'Sequel (TV) Bakuman. 3rd Season', 'Adaptation (Manga) Bakuman.', '']",Bakuman. 2nd Season,,,,Bakuman 2,,['Otaku Culture'],['Shounen'],
48,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#433,#705,"360,706","15,330",164283,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,Case Closed,,,,['Detective'],['Shounen'],
49,ペルソナ4アニメーション,Persona 4 the Animation,['TV'],25,Finished Airing,"Oct 7, 2011 to Mar 30, 2012",['Fall 2011'],Fridays at 01:30 (JST),"['Aniplex', 'AIC', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Index']",['Sentai Filmworks'],['AIC ASTA'],Game,"['Action', 'Mystery', 'Sci-Fi', 'Supernatural']","['School', 'Super Power']",25 min. per ep.,PG-13 - Teens 13 or older,7.51,#1916,#953,"271,347","2,412",133307,"Serial murders have recently plagued Inaba, with the police struggling to find any leads. Despite this, due to his parents going abroad for work, Yuu Narukami moves to the small town to live with his uncle for a year. He enrolls at Yasogami High School, where he meets and befriends Yousuke Hanamura, Chie Satonaka, and Yukiko Amagi. While hanging out together after school, the group fills Yuu in on the urban legend known as the ""Midnight Channel""—a mysterious TV channel that only appears at midnight on rainy days while the viewer is alone. Curious about the claim, Yuu decides to tune in that night, only to see the next victim of the serial murders appear on the screen instead. He also finds himself being drawn into the TV, which intrigues his newfound friends enough to want to investigate. Yuu ends up falling into the world within the TV, which is blanketed by a thick fog and swarming with hostile creatures known as ""Shadows."" Realizing that this world is somehow connected to the murders, the Investigation Team forms with the goal of uncovering the mystery behind the incidents. [Written by MAL Rewrite]","['Sequel (Special) Persona 4 the Animation: No One is Alone', 'Adaptation (Manga) Persona 4 Read Manga']",Persona 4 the Animation,P4A,,,,,,,
50,灼眼のシャナIII –Final–,Shakugan no Shana: Season III,['TV'],24,Finished Airing,"Oct 8, 2011 to Mar 24, 2012",['Fall 2011'],Saturdays at 01:30 (JST),"['Geneon Universal Entertainment', 'Warner Bros. Japan', 'ASCII Media Works', 'Showgate']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Drama', 'Fantasy', 'Romance']","['School', 'Urban Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1967,#1070,"242,240","1,145",119808,"Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe, but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind. (Source: FUNimation)","['Prequel (OVA) Shakugan no Shana S', 'Adaptation (Manga) Shakugan no Shana', 'Adaptation (Light Novel) Shakugan no Shana', '']",Shakugan no Shana III (Final),"Shakugan no Shana Third, Shakugan no Shana 3",,,,,,,
51,スケットダンス,SKET Dance,['TV'],77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",['Spring 2011'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']","None found,",['Tatsunoko Production'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.20,#393,#1129,"230,775","3,236",86426,"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime."" And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration. However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services. [Written by MAL Rewrite]","['Adaptation (Manga) SKET Dance', '']",SKET Dance,,,,,['Comedy'],['School'],['Shounen'],
52,トリコ,Toriko,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,186",876,52976,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",,,,,,['Shounen'],
53,ファイ・ブレイン 神のパズル,Phi-Brain ~ Puzzle of God,['TV'],25,Finished Airing,"Oct 2, 2011 to Apr 1, 2012",['Fall 2011'],Sundays at 17:30 (JST),['NHK'],['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Mystery', 'Suspense']","['High Stakes Game', 'Strategy Game']",24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3598,#2071,"111,121",233,45478,"Kaito Daimon would be a completely average high school student except for one thing: he's a ""demon"" at solving puzzles. Kaito is so brilliant, in fact, that when he's asked to take some 'special' tests of his unique ability, he immediately suspects that the test itself is a test. Kaito suddenly finds himself caught up in a lethal Philosopher's Puzzle made by the sinister group POG, a murderous maze of trap upon trap, where failing to solve the secret correctly will result in death! Fortunately, Kaito's skills prove up to the first test, both for himself and his childhood friend Nanoha, who is also caught up in the deadly scheme. But now that he has been designated as a Solver, he is pulled into a new life where he must travel the world with other Solvers, attempting to solve the latest deadly riddles left by POG. There's a new conundrum around every corner and each deception could lead to death, but once a riddle has been posed, you can count on Kaito to unfold, unravel and unlock it! (Source: Sentai Filmworks)","['Sequel (TV) Phi Brain: Kami no Puzzle - Orpheus Order-hen', 'Adaptation (Manga) Phi Brain: Saigo no Puzzle', 'Adaptation (Manga) Phi Brain: Kami no Puzzle', '']",Phi Brain: Kami no Puzzle,Phi Φ Brain: Kami no Puzzle,Phi-Brain: Puzzle of God,Phi Brain: Puzzle of God,Phi-Brain: Puzzle of God,,,,
54,ポケットモンスターベストウイッシュ,Pokémon: Black & White,['TV'],84,Finished Airing,"Sep 23, 2010 to Jun 14, 2012",['Fall 2010'],Thursdays at 19:00 (JST),"['TV Tokyo', 'MediaNet', 'Half H.P Studio']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG - Children,6.45,#7409,#2101,"108,600",162,63564,"When Satoshi and his mother accompany Professor Ookido to the distant Isshu region, Satoshi discovers Pokémon that he’s never seen before… and that he can’t wait to catch! He may have Pikachu at his side together with new friends Iris and Dent, but he’ll still need plenty of new Pokémon on his team if he wants to challenge Isshu's expert Gym Leaders. His quest to become a Pokémon Master just got even tougher! (Source: Official site)","['Prequel (TV) Pokemon Diamond & Pearl', 'Sequel (TV) Pokemon Best Wishes! Season 2']",Pokemon Best Wishes!,"Pocket Monsters: Best Wishes!, Black & White, BW: Rival Destinies",Pokémon die Serie: Schwarz und Weiß,Pokémon Negro y Blanco. Temporada 14,Pokémon la Série: Noir et Blanc,,,['Kids'],
55,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1028,#2401,"88,032","1,330",42180,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,Shin Chan,,,['School'],['Seinen'],
56,イナズマイレブン Go,,['TV'],47,Finished Airing,"May 4, 2011 to Apr 11, 2012",['Spring 2011'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio', 'TV Tokyo Music']","None found,",['OLM'],Game,,"['Super Power', 'Team Sports']",24 min. per ep.,G - All Ages,7.02,#4297,#2419,"87,320",312,53738,"Tenma Matsukaze is a new student at Raimon Junior High. Due to his love for soccer, he decides to join the school soccer team, which gained its reputation after the amazing performance shown ten years earlier in the Football Frontier International, a tournament that hosts the best youth teams the world has to offer. Unfortunately, the once renowned school doesn't have the soccer spirit it once enjoyed. This is primarily due to the fact that soccer in Japan is now controlled by a dark entity known as the ""Fifth Sector."" They alone decide the fate of every match, instructing teams to either win or lose. The actions of the Fifth Sector have beaten down the country’s soccer teams, who no longer have a love for the game. Tenma and his teammates will look to shift this paradigm and fight back against their evil oppressors. Thankfully, they will not be alone in this battle, as they will get help from a group known as the ""Resistance."" Cheer on the boys of Inazuma Eleven Go as they fight the good fight!","['Prequel (TV) Inazuma Eleven', 'Sequel (TV) Inazuma Eleven Go: Chrono Stone', 'Adaptation (Manga) Inazuma Eleven Go', '']",Inazuma Eleven Go,,,,,['Sports'],,,
57,遊☆戯☆王ZEXAL,Yu-Gi-Oh! Zexal,['TV'],73,Finished Airing,"Apr 11, 2011 to Sep 24, 2012",['Spring 2011'],Mondays at 19:30 (JST),"['TV Tokyo', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Konami Cross Media NY']",['4Kids Entertainment'],['Gallop'],['Manga'],"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.43,#7524,#2514,"81,880",349,46869,"In the bustling and futuristic city of Heartland, a young boy named Yuuma Tsukumo has a dream that everyone his age wants to achieve—earning the title of the greatest duelist! Sadly, due to his lackluster dueling skills, this dream is far from achievable. But when the school bully, Ryouga ""Shark"" Kamishiro, splits the key given to him by his father into two pieces, he inadvertently sets Yuuma on a collision course with his dream. Retaining one half of the key, Yuuma begins a duel with Shark, but soon realizes that his inexperienced skills are no match for him. In a sudden turn of events, Yuuma's key repairs itself, and the ""Door of Destiny'' appears before him. Using the key to open it, Yuuma is greeted by an alien by the name of Astral—a being only he can see. The bewildered Yuuma soon learns that his memories have been divided into 100 ""Number Cards,"" all of which he must retrieve. However, he is also not the only one looking for them. Bombarded by these revelations, Yuuma, alongside Astral, must defend the world from the upcoming threats that loom over Heartland City—regardless of any divine intervention that may occur. [Written by MAL Rewrite]","['Sequel (TV) Yu☆Gi☆Oh! Zexal Second', 'Adaptation (Manga) Yu☆Gi☆Oh! Zexal']",Yu☆Gi☆Oh! Zexal,"Yugioh, Yuu Gi Ou! Zexal, Yu-Gi-Oh! Zeal, Yu-Gi-Oh! Zexal",Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,,['Strategy Game'],['Shounen'],
58,カードファイト!! ヴァンガード,Cardfight!! Vanguard,['TV'],65,Finished Airing,"Jan 8, 2011 to Mar 31, 2012",['Winter 2011'],Saturdays at 08:00 (JST),"['Dentsu', 'Sotsu', 'Sakura Create', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,7.03,#4260,#3116,"56,181",328,27721,"Taking the world by storm, the card game Cardfight Vanguard has influenced many to integrate card games into their everyday lives. Players of the popular game are called ""cardfighters,"" and they frequently battle each other in card shops. The game has inspired many people, one of which is the quiet and timid Aichi Sendou who is often ridiculed and bullied by his peers. Whenever he feels down, he takes a glance at Blaster Blade—a legendary rare card given to him when he was young—and gains the motivation to move on with his life. However, one day, school bully Katsumi Morikawa notices Aichi's treasure and snatches the card away from him. After a turn of events, Aichi soon discovers that the card is now in the hands of Toshiki Kai, a cardfighter who has become the strongest in town despite having only recently arrived. To make matters worse, Kai refuses to return the card unless Aichi defeats him in a cardfight. Much to everyone's surprise, Aichi rises up to the occasion. As he musters up his courage and pictures himself winning this decisive battle, Aichi begins to find his way into the adventurous world of Cardfight Vanguard. [Written by MAL Rewrite]","['Sequel (TV) Cardfight!! Vanguard: Asia Circuit-hen', 'Adaptation (Manga) Cardfight!! Vanguard']",Cardfight!! Vanguard,,,,,['Action'],['Strategy Game'],,
59,メタルファイト ベイブレード 4D,Beyblade: Metal Fury,['TV'],52,Finished Airing,"Apr 3, 2011 to Apr 1, 2012",['Spring 2011'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],"['Adventure', 'Sports']",,24 min. per ep.,PG - Children,7.06,#4088,#3246,"51,821",206,33236,"In the Cosmos, an unusual event has occurred. Taking a break from their latest triumph over Faust and the Spiral Core, Ginga and Co find themselves saving a boy named Yuki from a mysterious youth named Johannes. Although Yuki is a boy genius and an astronomer, he is a Blader who owns “Anubius”. Yuki says that he has come to tell Ginga and his friends about the voice of the Star Fragment. He witnessed the Star Fragment (a meteor) fall from the sky one day. That single light dwells within Anubius and he says that he heard the voice of the Star Fragment that evening. A great evil is trying to revive the “Black Sun” and ""Nemesis"", the god of destruction, by using the unknown power of the Star Fragment and destroy the world. Ginga and his friends must fight again, just as soon as they get the hang of their new 4D system beys! The episode numbers continue from 103.","['Prequel (TV) Metal Fight Beyblade: Baku', 'Sequel (TV) Metal Fight Beyblade Zero G']",Metal Fight Beyblade 4D,Metal Fight Beyblade 3,,,Beyblade Métal Fury Saison 3,,,['Kids'],
60,ラストエグザイル-銀翼のファム-,"Last Exile: Fam, the Silver Wing",['TV'],21,Finished Airing,"Oct 15, 2011 to Mar 24, 2012",['Fall 2011'],Saturdays at 02:00 (JST),"['CBC Television', 'flying DOG', 'Cyclone Graphics']",['Funimation'],['Gonzo'],Original,"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.06,#4086,#3404,"47,546",103,17803,"""I've made up my mind! I'm going to steal that ship!"" All source of life originates from the Grand Lake. At this very sacred lake, the battle between the Ades Federation and the Turan Kingdom has just begun. The Ades Federation, armed with massive battleships and its sights set on conquering the world, declares war on the Turan Kingdom. With the Federation's troops encroaching on their beloved country, Turan now lies on the brink of collapse. As this is happening, the princesses of Turan look on as a small vanship named Vespa cruises above their heads. ""We shall now commandeer your flagship and take her from this battlefield. The choice is yours. Die here, or survive with us Sky Pirates!"" The Vespa continues to weave through the barrage of bombs, while the fleets of the Federation close in on Turan. What are the motives of Luscinia, the man leading the Ades Federation into the war? And what is the secret behind ""Exile""? (Source: Animax, edited)","['Prequel (TV) Last Exile', 'Adaptation (Manga) Last Exile: Ginyoku no Fam']",Last Exile: Ginyoku no Fam,,,,"Last Exile: Fam, The Silver Wing",,,,
61,機動戦士ガンダムAGE,Mobile Suit Gundam AGE,['TV'],49,Finished Airing,"Oct 9, 2011 to Sep 23, 2012",['Fall 2011'],Sundays at 17:00 (JST),"['Sotsu', 'Lantis', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Level-5', 'ADK']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7281,#4055,"34,154",66,15901,"In A.G. 101 (the 101st year of the Advanced Generation calendar) a mysterious entity known only as ""UE"", or ""unknown enemy"", attacks and destroys the space colony Angel. This brutal attack becomes infamous as the ""The Day the Angel Fell"", and marks the beginning of humanity's war for survival. The series begins in A.G. 108 when the UE attack the space colony Ovan, where Flit Asuno lives with his mother. Flit's mother is killed by the UE, and in her belongings (in an object called a ""AGE Device"") he discovers the blueprints for a powerful weapon from the past - the ancient messiah named ""Gundam."" From these blueprints, Flit spends the next several years studying engineering at an Earth Federation base on the Nora space colony and designing the AGE-1 Gundam. Seven years later, in A.G. 115, Flit completes the Gundam, just as the UE attack Nora. Flit and his lineage's battle piloting the AGE-1 to protect mankind is about to begin. (Source: GoodAnime.net)","['Adaptation (Manga) Kidou Senshi Gundam AGE: First Evolution', 'Adaptation (Manga) Kidou Senshi Gundam AGE: Hajimari no Monogatari', 'Adaptation (Light Novel) Kidou Senshi Gundam AGE', 'Adaptation (Manga) Kidou Senshi Gundam AGE: Second Evolution']",Kidou Senshi Gundam AGE,,,,,,,,
