,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,Demographics
77,Spooky Kitaro,ゲゲゲの鬼太郎 (2007),,,,,['TV'],100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009",['Spring 2007'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Horror']",,23 min. per ep.,G - All Ages,6.94,#4653,#7951,"6,703",13,2197,"The classic tale of Gegege no Kitaro told yet again. The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji. One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver.","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2007),,,,
78,Atashinchi,あたしンち,My Family,,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8234,"6,116",63,2770,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,
79,"Yattaman New Series, Yattaman Remake, Yattaaman 2, Yatterman (2008)",ヤッターマン,,,,,['TV'],60,Finished Airing,"Jan 14, 2008 to Sep 27, 2009",['Winter 2008'],Unknown,"None found,","None found,",['Tatsunoko Production'],Original,"['Adventure', 'Comedy']",,25 min. per ep.,G - All Ages,6.54,#6853,#8838,"5,159",10,1405,Remake of the Yatterman series.,"['Adaptation (Manga) Yatterman', '']",Yatterman,['Parody'],,,
80,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,['Kids'],,
81,"Porufi no Nagai Tabi, The Long Journey of Porfyi, Porfy's Long Journey",ポルフィの長い旅,The Orphans of Simitra,,,,['TV'],52,Finished Airing,"Jan 6, 2008 to Dec 28, 2008",['Winter 2008'],Unknown,"None found,","None found,",['Nippon Animation'],Novel,,,24 min. per ep.,G - All Ages,6.89,#4904,#10026,"3,524",5,640,"Porfy, his younger sister Mina, and their parents live a humble but happy life in the Grecian countryside. They've just started running a gas station, much to Porphy's joy, and it seems like only good things are in store for their future. However, a huge earthquake changes all that, leaving Porfy without a home or a family -- sans Mina, who seems to have disappeared in the commotion. Now, Porfy is determined to find his sister and be able to live together happily again.",[],Porphy no Nagai Tabi,['Historical'],,['Drama'],
82,,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11557,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,['Kids'],,
83,Constructor Rabbit,全力ウサギ,,,,,['TV'],52,Finished Airing,"Jan 5, 2008 to Dec 27, 2008",['Winter 2008'],Unknown,['Sotsu'],"None found,","None found,",['Manga'],,,12 min. per ep.,G - All Ages,6.04,#9719,#13384,"1,265",1,372,"Zenryoku Usagi are hardworking construction builders — who happen to be rabbits — with a simple motto: ""Zenryoku+Dai-ichi"" (""Give everything you've got and be #1."") The animated shorts were aired in Japan within the Chibi Ani Gekijō (Tiny Anime Theater) program on Friday or Saturday mornings, depending on the station. Ikeda and Media Factory have created two books and numerous spinoff goods featuring the characters. (Source: Saikin Anime Jōhō)","['Sequel (TV) Zenryoku Usagi (2023)', '']",Zenryoku Usagi,,['Kids'],['Comedy'],
84,,親子クラブ,,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13602,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,
85,,ぜんまいざむらい,,,,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,5 min. per ep.,G - All Ages,5.85,#10699,#15131,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,,['Kids'],['Comedy'],
86,"Hatarakids Maiham Gumi, Hatara kids My ham Gumi, Master Hamsters",はたらキッズマイハム組,Master Hamsters,,,,['TV'],50,Finished Airing,"Oct 7, 2007 to Oct 5, 2008",['Fall 2007'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Original,,,25 min. per ep.,PG - Children,5.94,#10211,#15667,678,1,134,"Hatara Kids Maihamu Gumi, literally ""Working Kids, My Hamster Team"", is a Japanese anime action series for young children about hamsters who hold down jobs from firefighting to cooking. (Source: Wikipedia)",[],Hatara Kids Mai Ham Gumi,,['Kids'],['Action'],
87,Miracle Mimika,味楽る!ミミカ,Miracle! Mimika,,,,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,10 min. per ep.,G - All Ages,[],#20319,#16051,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,,['Kids'],,
88,,쁘띠쁘띠 뮤즈,,,,,['TV'],26,Finished Airing,"Jan 27, 2008 to Jul 26, 2008",['Winter 2008'],Sundays at 07:30 (JST),"['KBS', 'Seoul Movie']","None found,","None found,",Original,,,25 min. per ep.,G - All Ages,[],#21024,#16368,576,1,,"Two twins, Ara and Ari, aspire into the world of fashion. Ara wants to become a fashion model, while her sister, Ari, wants to become a fashion designer. They meet a man named Yorang, who is the fashion designer in Heaven.",[],Petit Petit Muse,['Mahou Shoujo'],,['Fantasy'],
89,Odenkun,おでんくん,,,,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17005,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,,,['Comedy'],
90,,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17874,#17189,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,['Kids'],['Horror'],
91,Hoshi Shinichi's Short Shorts,星新一 ショートショート,,,,,['TV'],26,Finished Airing,"Nov 11, 2007 to Nov 17, 2008",['Fall 2007'],Unknown,['Directions'],"None found,",['Echoes'],Book,"['Comedy', 'Sci-Fi']",,10 min. per ep.,PG-13 - Teens 13 or older,[],#18683,#17232,483,0,,"This series features stories from the acclaimed sci-fi writer Hoshi Shinichi. The episodes uses animation, live-action footage, computer graphics, and other visual means to re-enact the short stories. Each episode is a collection of several short-short stories by Hoshi Shinichi. Note: This entry includes the pilot and the 25 TV episodes.",[],Hoshi Shinichi Short Short,,,,
92,"Yume-miru Anime On-chan, Yume Miru Anime On-chan, Dreaming Anime On-chan",ユメミル、アニメ「onちゃん」,,,,,['TV'],26,Finished Airing,"Jan 18, 2008 to Aug 22, 2008",['Winter 2008'],Unknown,"None found,","None found,","None found,",Unknown,,,6 min. per ep.,G - All Ages,[],#16182,#17674,445,0,,"A children's series featuring on-chan, the television station HTB's mascot character. On-chan has appeared in parades and various promotions for the station since 1997.","['Prequel (TV Special) On-chan, Yume Power Daibouken!', '']","Yume Miru, Anime: On-chan",,,['Comedy'],
93,,ぷるるんっ! しずくちゃんあはっ☆,,,,,['TV'],51,Finished Airing,"Oct 7, 2007 to Sep 28, 2008",['Fall 2007'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,24 min. per ep.,None,[],#21178,#17670,445,2,,Second season of Pururun! Shizuku-chan.,"['Prequel (TV) Pururun! Shizuku-chan', 'Sequel (TV) Picchipichi Shizuku-chan']",Pururun! Shizuku-chan Aha,,['Kids'],['Comedy'],
94,,まめうしくん,,,,,['TV'],52,Finished Airing,"Oct 6, 2007 to Sep 27, 2008",['Fall 2007'],Unknown,['Sotsu'],"None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,15 min. per ep.,G - All Ages,[],#19998,#18759,363,0,,Mameushi-kun follows the farmland adventures of a calf that is as small as a dust speck. (Source: AniDB),[],Mameushi-kun (TV),,['Kids'],,
95,Bonolon: Fushigina Mori no Iitsutae,森の戦士ボノロン,,,,,['TV'],26,Finished Airing,"Nov 5, 2007 to May 17, 2008",['Fall 2007'],Unknown,"['Four Some', 'Coamix', 'North Stars Pictures']","None found,",['Actas'],Unknown,"['Adventure', 'Fantasy']",,5 min. per ep.,PG - Children,[],#20429,#18823,358,0,,"Bonolon is touted as the warrior who comes from the forest of the great oaks. Despite his huge body size and outwardly orange appearance, Bonolon is only a child of 9 years old. However, notwithstanding his tender age, Bonolon possess a strong sense of justice and strives to become a reliable man. The tears of those people who are depressed or troubled will flow through the roots of the great oaks and communicates their feelings to Bonolon. Bonolon will then appear from the great oaks and help the people solve their problems as well as grant their wishes. (Source: ANN)",[],Mori no Senshi Bonolon,,['Kids'],,
96,"Fuwa and the five rings, 福娃五连环, Fuwa Wu Lianhuan",福娃の五連環,Fuwa,,,,['TV'],54,Finished Airing,"Oct 1, 2007 to Aug 24, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#18072,#21126,224,0,,"Fuwa Beibei encounters the severely injured goddess, Athena. In order to help Athena regain strength, Beibei sets out to find a mysterious wooden box left by Coubertin in 1894, but the worrying thing is that Pixiu who injured his stomach from his glutinous eating habits heard this news too. He thought that this mysterious energy could not only cure his stomach, but also improve his magic, and such begins the journey through time and space of two spirits with different aims. After all the hardships, they found the sixth son of the dragon - Bixi, and after the two's efforts in passing his test, Bixi carries them along 100 years of Olympic history.","['Prequel (TV) Fuwa Aoyun Manyouji', '']",Fuwa no Go Renkan,['Historical'],,,
97,,消失的文明,,,,,['TV'],13,Finished Airing,Apr 2007 to Sep 2008,['Spring 2007'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,PG - Children,[],#15718,#24336,106,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiaoshi de Wenming,,['Kids'],,
98,,다오 배찌 붐힐 대소동,,,,,['TV'],26,Finished Airing,"Nov 15, 2007 to May 15, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,[],#17563,#24733,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dao Baejji Bumhil Daesodong,,['Kids'],,
99,CB,Candy boy -Nonchalant talk of the certain twin sisters in daily life-,,,,,['ONA'],7,Finished Airing,"May 2, 2008 to May 8, 2009",,,['Half H.P Studio'],"None found,",['AIC'],Original,,"['Love Polygon', 'School']",14 min. per ep.,PG-13 - Teens 13 or older,6.76,#5556,#2609,"77,242",360,35361,"Yukino and Kanade Sakurai are twin sisters that live together in a high school dorm. Although they are twins, they tend to act romantic toward each other, holding hands and going on dates. One day, Kanade sees Yukino hanging out with a new girl, Sakuya Kamiyama. Realizing how much time these two spend together, Kanade assumes they are dating, and she begins to distance herself from her sister. Yukino promptly notices and pleads with Kanade not to leave. In reality, Sakuya has only been asking for advice about Kanade, revealing her obsessive love. How will this love triangle play out? [Written by MAL Rewrite]","['Prequel (ONA) Candy☆Boy: Side Story For Archive', 'Sequel (Special) Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron', 'Adaptation (Manga) Candy Boy', '']",Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,,,['Girls Love'],
100,,떳다 그녀!!,There She Is!!,,,,['ONA'],5,Finished Airing,"Apr 20, 2003 to Dec 9, 2008",,,['SamBakZa'],"None found,","None found,",Original,"['Comedy', 'Romance']",,4 min. per ep.,G - All Ages,7.84,#951,#4663,"25,238",155,13959,"The plot revolves around Doki, a female rabbit, meeting, falling in love with, and chasing Nabi, a male cat, in a world where love between the two species is socially unacceptable. The theme of the short is that all love can be accepted and has a chance. Nabi attempts to cure Doki's infatuation for him, but after seeing the extent of her love, he gives in and finds something he can appreciate in her. (Source: Wikipedia)","['Sequel (ONA) Tteotda Keunyeo!! Another Step', '']",Tteotda Keunyeo!!,['Anthropomorphic'],,,
101,Penguin Girl,ペンギン娘♥はぁと,Penguin Musume♥Heart,,,,['ONA'],22,Finished Airing,"Apr 19, 2008 to Nov 14, 2008",,,"['Dwango', 'Good Smile Company', 'Nippon Cultural Broadcasting']","None found,",['Picture Magic'],['Manga'],"['Comedy', 'Ecchi']","['Otaku Culture', 'School']",11 min. per ep.,R+ - Mild Nudity,6.68,#6049,#5331,"18,273",24,6823,"Sakura Nankyoku is a total otaku. Due to a fluke, she gets elected as her class' Student Council President. Everything takes off from there into a series of crazy misadventures revolving around Sakura, her family, and her classmates. (Source: ANN)","['Adaptation (Manga) Penguin Musume', '']",Penguin Musume♥Heart,,['Shounen'],,
102,,チョコレート・アンダーグラウンド,,,,,['ONA'],13,Finished Airing,"Jun 12, 2008 to Sep 4, 2008",,,"['Hexagon Pictures', 'SME Records', 'Muse International', 'Watermark', 'OCC', 'Celsys', 'Graduate School of Film Producing']","None found,","['Production I.G', 'Trans Arts']",Novel,"['Adventure', 'Comedy']",,5 min. per ep.,PG - Children,6.08,#9504,#6108,"12,753",10,5670,"With the establishment of the Good For You Party's authoritarian regime, unhealthy foods and sugar have been banned. As a result, the bakery Smudger Moore's father owns is suffering financially from being unable to sell any of their typical sweet menu items. Smudger's friend Huntley Hunter is also frustrated by the prohibition, as he cannot keep a promise he made to his late father. Angered by the unjust world they live in, the two young boys set out to break the new social order—but the uphill battle they are faced with is a lot more than they bargained for. [Written by MAL Rewrite]","['Adaptation (Manga) Chocolate Underground', '']",Chocolate Underground,,['Kids'],,
103,,マクロスfufonfia,,,,,['ONA'],20,Finished Airing,"May 27, 2008 to Oct 8, 2008",,,['flying DOG'],"None found,",['I was a Ballerina'],Original,,,1 min. per ep.,G - All Ages,5.54,#11996,#10138,"3,398",1,956,"A parody of the Macross Frontier series where the cast of characters are taken and set in present day Tokyo. Ranka starts her new job as a O.L. (Office Lady) at a game development company (Frontier Software) where and her friend Nanase is working. On the first day she has an eventful run in with the president of the company, Sheryl, and Sheryl's personal assistant Grace. Watch as Ranka learns the ways of a pro O.L. the hard way.",[],Macross Fufonfia,['Parody'],,['Comedy'],
104,Hen na Ko chan,へんな子ちゃん,,,,,['ONA'],6,Finished Airing,"Apr 25, 2008 to Jul 3, 2008",,,['Future Vision Music'],"None found,",['Gonzo'],Unknown,,,3 min. per ep.,None,[],#18546,#18438,387,0,,"Hennako-chan is a black comedy series targeted at adult readers. The main character is an eccentric elementary school girl who has telekinetic powers that enable her to manipulate other people, animals, and even plants or objects by just staring at them. The series follows the helter-skelter daily lives of Hennako-chan and the people around her, including her family consisting of her very cracker-barrel parents, hot-to-trot elder sister, and a former stray dog, who are always thrown into frenzy by Hennako-chan's super-natural powers that expose their secrets. (Source: ANN)",[],Hennako-chan,,,['Comedy'],
105,Loosening and Tightening,ユルミとシメル,,,,,['ONA'],1,Finished Airing,"Apr 3, 2008",,,"None found,","None found,",['Opera House'],['Web manga'],"['Comedy', 'Sci-Fi']",,3 min.,G - All Ages,[],#16202,#18538,381,0,,"The Mukai siblings, Sunao and Ai, were having a normal day, when suddenly, a space ship suddenly fell into the yard of their house!? What came from within the ship was a little girl who called herself Yurumi. ""We're from the cosmic repair shop, 'Rutsubo Mechanic Company,'"" said another girl, Yurumi's partner, Shimeru, who stepped out afterwards. And so, in the Mukai household, a comedy of cosmic proportions unfolds! (Source: MU)",[],Yurumi to Shimeru,,,,
106,,テニスの王子様 Original Video Animation 全国大会編 Final,The Prince of Tennis: The National Tournament Finals,,,,['OVA'],7,Finished Airing,"Apr 25, 2008 to Jan 23, 2009",,,"['Production I.G', 'TV Tokyo', 'Bandai Visual', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Shueisha']","None found,",['M.S.C'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.95,#737,#3872,"37,712",53,20249,"After their victory over Shitenhouji Middle School in the semifinals, Ryouma Echizen and the Seishun Academy Boys Tennis Team must now face off against the two-time defending champions of Rikkai University-Affiliated Middle School in order to claim the national title. Rikkai is not only seeking revenge for its team's previous loss to Seishun at the Kanto Regional Tournament, but they also are aiming to win the national title for a third consecutive year. In the conclusion of Tennis no Oujisama, the titular ""Prince of Tennis"" is pitted against the ""Child of God"" in a head-to-head battle for the national championship title. Along the way, Ryouma must teach his opponents and teammates that there is more to tennis than winning. [Written by MAL Rewrite]","['Prequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal', 'Sequel (OVA) Tennis no Oujisama: Another Story - Kako to Mirai no Message', 'Sequel (TV) Shin Tennis no Oujisama', 'Sequel (Movie) Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Oujisama']",Tennis no Oujisama: Zenkoku Taikai-hen - Final,,['Shounen'],['Sports'],
107,Elder Brother's Wife Ijippari,兄嫁はいじっぱり,Lover-in-Law,Ein Liebhaber für alle Fälle,,,['OVA'],2,Finished Airing,"Apr 18, 2008 to Jun 20, 2008",,,['Discovery'],"None found,",['Oz Inc.'],Visual novel,,,25 min. per ep.,Rx - Hentai,7.13,N/A,#4840,"23,101",185,10587,"Based on the game by Tinker Bell. Tsutomu's parents passed away several years ago, before that they ran a flower shop. Now it's run by his older brother's wife, Mai and he is living with them. Tsutomu's brother now works somewhere else, so Mai is left alone and her only support is Tsutomu, who helps her running the flower shop. Because Tsutomu's brother is busy and haven't been home for a while, Mai feels very lonely which Tsutomu notices and decides to support and satisfy Mai while his brother is away. Now there's also Kozue, Mai's friend and senpai who recently got hired as part-time worker. Kozue has noticed Tsutomu and Mai's relationship and she envies them because she is also very lonely, because her husband is rarely home. Mai sympathizes with Kozue and allows her to date Tsutomu. Now what will happen as these three indulge themselves to their desires and feelings? (Source: AniDB)","['Adaptation (Light Novel) Aniyome wa Ijippari', '']",Aniyome wa Ijippari,,,['Hentai'],
108,,そらのいろ、みずのいろ,"Color of Sky, Color of Water",,,,['OVA'],2,Finished Airing,"Jul 28, 2006 to Jun 27, 2008",,,['Nihikime no Dozeu'],"None found,",['Himajin Planning'],Visual novel,,,28 min. per ep.,Rx - Hentai,7.12,N/A,#5366,"17,860",136,7687,"Asa & Natsume are both in love with Hajime Saisho. Instead of fighting over him, they both promised to share him equally. However, both girls have to leave him by the end of the summer. As the summer days go by, they each spend their precious time with Hajime, while the day of their fated departure draws near. (Source: ANN)",[],"Sora no Iro, Mizu no Iro",['Love Polygon'],,['Hentai'],
109,,ストリンジェンド & アッチェレランド ULTIMATUM ～SERA～,,,,,['OVA'],3,Finished Airing,"May 23, 2008 to Oct 31, 2008",,,['Pink Pineapple'],"None found,",['Maboroshi Koubou'],['Manga'],,,28 min. per ep.,Rx - Hentai,7.19,N/A,#5627,"15,790",71,6356,School is a place for learning and gaining knowledge for the sake of the future but very few know of what happens between couples/students behind the scenes which could be considered learning but in a more intimate way. (Source: ANN),"['Prequel (OVA) Stringendo: Angel-tachi no Private Lesson', 'Prequel (OVA) Accelerando: Datenshi-tachi no Sasayaki']",Stringendo+Accelerando Ultimatum Sera,,,['Hentai'],
110,Detective Conan Movie 12 Side-Story OVA: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,名探偵コナンMagic File 2 ～工藤新一 謎の壁と黒ラブ事件～,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,,,,['OVA'],1,Finished Airing,"Apr 19, 2008",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,28 min.,PG-13 - Teens 13 or older,7.51,#1913,#5968,"13,573",22,6270,"Magic File 2 was sold at select retailers (7-11 branded equivalents) in Japan, along with PPV episodes of the show (episodes released long before, such as the NY case). The first disc housed the Movie 12 Side-Story OVA, which features Kudou Shinichi and details a bit of the backstory from the upcoming movie. The second disc was the one with the PPV episodes. (Source: DCTP Forum)",[],Meitantei Conan Magic File 2: Kudou Shinichi Nazo no Kabe to Kuro Lab Jiken,['Detective'],['Shounen'],,
111,"Space Pirate Sara, Space Bandit Sarah, Space Pirates Sala",宇宙海賊サラ,,,,,['OVA'],4,Finished Airing,"Apr 26, 2008 to Feb 20, 2010",,,['Pixy'],"None found,",['Anime Antenna Iinkai'],Visual novel,"['Sci-Fi', 'Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.80,N/A,#6138,"12,603",112,5035,"Sarah is a most terrible pirate knight who dances her way around the galaxy empire that has been ravaged by war. In the galaxy ruled by a number of power-hungry rival warlords, an evil sadistic web is woven around Sarah, who is slowly guided down to her destruction. When the silver knight Sylia comes across the evil aristocrats who have run the gamut of corruption in the galaxy and the slave traders of darkness, the demonic twins, a desperate predicament is visited upon Sarah!! (Source: dlsite)","['Sequel (Special) Uchuu Kaizoku Sara Special', 'Adaptation (Light Novel) Uchuu Kaizoku Sara: Shimai Kishi no Eiyuu Choukyou']",Uchuu Kaizoku Sara,,,,
112,,妻しぼり,Beautiful Sisters,Beautiful Sisters,,,['OVA'],2,Finished Airing,"May 25, 2008 to Sep 25, 2008",,,['MS Pictures'],['Kitty Media'],['T-Rex'],Visual novel,,,29 min. per ep.,Rx - Hentai,7.09,N/A,#6749,"10,081",49,4006,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Light Novel) Tsuma Shibori', '']",Tsuma Shibori,,,['Hentai'],
113,,ルパン三世GREENvsRED,,,,,['OVA'],1,Finished Airing,"Apr 2, 2008",,,"['VAP', 'Tohokushinsha Film Corporation']",['Discotek Media'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Mystery']",,1 hr. 19 min.,PG-13 - Teens 13 or older,6.63,#6315,#6853,"9,710",13,4684,"Yasuo works at a ramen restaurant and is dating the pretty news reporter Yukiko. However, things aren't going well for him financially and after a customer leaves a green jacket behind, Yasuo starts adding to his income by walking the crowded streets of the Tokyo metroplex and stealing people's wallets. With this, he's able to buy his girlfriend a nice ring even though she says he didn't need to buy this for her. Over time, Yasuo becomes obsessed with becoming Lupin to the point that he reads and watches everything regarding him, he even works with Jigen for a time. However, when Yasuo learns of the Ice Cube diamond, he knows that if he can steal this, he will be the real Lupin. (Source: Lupin Wiki, edited)",[],Lupin III: Green vs. Red,['Adult Cast'],['Seinen'],,
114,Tsubomi's Secrets,ないしょのつぼみ,Naisho no Tsubomi,,,,['OVA'],3,Finished Airing,"Apr 25, 2008 to Jun 27, 2008",,,['Happinet Pictures'],['Sentai Filmworks'],['Studio Kikan'],['Manga'],,,27 min. per ep.,PG - Children,6.51,#7012,#7239,"8,497",8,3749,"Tsubomi Tachibana is a fifth grader dealing with rather sensitive issues such as her mother's pregnancy, her first period and the strange feelings she has started to get when she has been around boys. (Source: ANN)","['Adaptation (Manga) Naisho no Tsubomi', '']",Naisho no Tsubomi,['School'],['Shoujo'],['Romance'],
115,Let's Fall in Love The Ero-manga,エロマンガみたいな恋しよう,,,,,['OVA'],2,Finished Airing,"Jun 27, 2008 to Sep 26, 2008",,,['Pink Pineapple'],"None found,",['Flavors Soft'],['Manga'],,,27 min. per ep.,Rx - Hentai,6.86,N/A,#7504,"7,700",17,2729,Based on the manga by Yasui Riosuke.,"['Adaptation (Manga) Ero Manga Mitai na Koi Shiyou', '']",Ero Manga Mitai na Koi Shiyo,,,['Hentai'],
116,Inyouchu Shoku,淫妖蟲・蝕 ～凌触島退魔録～,,,,,['OVA'],2,Finished Airing,"Apr 25, 2008 to Aug 25, 2008",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Anime Antenna Iinkai'],Visual novel,"['Fantasy', 'Hentai']",,26 min. per ep.,Rx - Hentai,6.24,N/A,#7883,"6,833",37,2421,"The demon hunters are back! Mikoto, Sui, and Takeru are sent to investigate a mysterious island where people have been disappearing repeatedly and dark yoma are rumored to be the cause. When the team first arrives it almost feels like a vacation to them, but it doesn't take them long to the feel the presence of something dark and evil...","['Prequel (OVA) Inyouchuu The Animation', 'Sequel (OVA) Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenban', 'Sequel (OVA) Inyouchuu Etsu', 'Adaptation (Light Novel) Inyouchuu Shoku: Ryoushoku Shima Taimaroku']",Inyouchuu Shoku: Ryoushokutou Taimaroku,['Mythology'],,,
117,"Shin Bible Black - Kanzenban - Restored: Rinne, Bible Black: New Testament Complete Version - Restored: Samsara",新バイブルブラック 完全版 「Restored ～輪廻～」,,,,,['OVA'],1,Finished Airing,"Jun 25, 2008",,,"['Milky Animation Label', 'MS Pictures']","None found,",['Studio Jam'],Visual novel,,,1 hr. 58 min.,Rx - Hentai,6.31,N/A,#7939,"6,743",11,2569,A summary of episodes 1-6. 1 hour of material cut out but 4 new scenes (7.5 minutes) added.,[],Bible Black: New Testament Recap,,,['Hentai'],
