,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Themes,German,Demographic,Genre,Spanish,Demographics
23,ドクタースランプ,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Gag Humor'],25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,"Dr. Slump 2, Doctor Slump",,,,['Shounen'],,,
24,ロスト・ユニバース,,['TV'],26,Finished Airing,"Apr 3, 1998 to Sep 25, 1998",['Spring 1998'],Fridays at 18:30 (JST),"['SoftX', 'Studio Tulip']","['ADV Films', 'Nozomi Entertainment']",['E&G Films'],['Light novel'],"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",['Space'],22 min. per ep.,PG-13 - Teens 13 or older,6.99,#4428,#5326,"18,393",63,7323,"Millie Nocturne has one great goal in life: to be the best in the universe - at absolutely everything! But when she tries her hand at being the ""best detective,"" she ends up an unwilling partner with two people who will change her life forever: Kane Blueriver, the psi-blade-wielding master of the starship Swordbreaker, and Canal, the smart-mouthed holographic image of the ship's computer. Join this unlikely trio on their adventures as they hurtle through space facing off against intergalactic crime lords, rogue starships, and hijackers dressed as chickens... and that's just the tip of the asteroid! (Source: RightStuf)","['Adaptation (Light Novel) Lost Universe', 'Adaptation (Manga) Lost Universe']",Lost Universe,,,,,,,,
25,南海奇皇ネオランガ,,['TV'],48,Finished Airing,"Apr 6, 1998 to Sep 28, 1999",['Spring 1998'],Mondays at 19:00 (JST),"['Pony Canyon', 'Marubeni', 'Omnibus Promotion']",['ADV Films'],['Pierrot'],Original,"['Adventure', 'Horror']",['Mecha'],15 min. per ep.,PG-13 - Teens 13 or older,6.54,#6837,#5414,"17,523",43,3663,"An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. (Source: ANN)",[],Neo Ranga,"Nankai Kio Neoranga, Strange World of the South Seas - Neoranga",,,,,,,
26,サイレントメビウス,,['TV'],26,Finished Airing,"Apr 7, 1998 to Sep 29, 1998",['Spring 1998'],Tuesdays at 18:00 (JST),"['Shaft', 'Sotsu', 'Omnibus Promotion']",['Bandai Entertainment'],['Radix'],['Manga'],"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.77,#5464,#5439,"17,250",50,5279,"The year is 2023 and Alien Beings known as ""Lucifer Hawks"" have begun invading earth from another dimension. All that stands between them and the enslavement of the human race is the Attacked Mystification Police Department - a special division of the Tokyo Police staffed by women with amazing paranormal abilities. (Source: ANN)","['Adaptation (Manga) Silent Möbius', '']",Silent Möbius,"Silent Moebius, Silent Mobius",,,,,,,
27,プリンセスナイン 如月女子高野球部,Princess Nine,['TV'],26,Finished Airing,"Apr 8, 1998 to Oct 14, 1998",['Spring 1998'],Wednesdays at 18:00 (JST),['NHK'],"['ADV Films', 'Nozomi Entertainment']",['Phoenix Entertainment'],Original,"['Drama', 'Romance', 'Sports']",['Team Sports'],25 min. per ep.,PG-13 - Teens 13 or older,7.17,#3539,#5964,"13,594",51,4422,"Keiko Himuro, Chairman of the Kisuragi School, puts together an all-girl baseball team led by Ryo Hayakawa, daughter of a legendary pitcher, in hopes of proving that girls can compete just as well as boys. Their goal: Koshien Stadium, where only the best teams get the opportunity to play. (Source: ANN)","['Adaptation (Manga) Princess Nine: Kisaragi Joshikou Yakyuubu', '']",Princess Nine: Kisaragi Joshikou Yakyuubu,,Princess Nine,,,,,Princess Nine,
28,魔法のステージ・ファンシーララ,Magical Stage Fancy Lala,['TV'],26,Finished Airing,"Apr 5, 1998 to Sep 27, 1998",['Spring 1998'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Yomiko Advertising', 'TV Tokyo Music']",['Bandai Entertainment'],['Pierrot'],Original,"['Comedy', 'Drama', 'Romance']",,24 min. per ep.,G - All Ages,7.14,#3689,#6017,"13,301",62,4615,"Miho Shinohara is a care-free third-grader and an aspiring manga artist. One day, she encounters Mogu and Pigu - two lost fairies disguised as stuffed animals. In exchange for staying at her home until they find a way to return to their own world, the fairies give Miho a special sketch pad and pencil that enable her to magically create real objects from what she draws. With the pen, Miho can also transform into Lala, a beautiful teenage girl created from her manga art. As Lala, she is discovered by a talent agency, and so begins her adventures from an ordinary school girl to a model to an idol singer. (Source: ANN)","['Adaptation (Manga) Mahou no Stage Fancy Lala', '']",Mahou no Stage Fancy Lala,,,"['Idols (Female)', 'Mahou Shoujo', 'Music']",,,,,
29,ブレンパワード,,['TV'],26,Finished Airing,"Apr 8, 1998 to Nov 11, 1998",['Spring 1998'],Wednesdays at 19:30 (JST),"['Bandai Visual', 'WOWOW']","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],25 min. per ep.,PG-13 - Teens 13 or older,6.17,#8995,#6243,"12,087",47,3460,"In the not so distant future much of the earth has been submerged under the sea or destroyed by earthquakes. At the center of the turmoil is the mysterious Orphan. Orphan may or may not be the original cause of the cataclysms. Orphan's goal is to raise a ship hidden deep beneath the sea to the surface, but doing so would result in the destruction of all humans except for the small number which are loyal to Orphan. Orphan's agents pilot mysterious mecha known as Grand Cheres, and search the world for mysterious, giant disks which occasionally appear, flying at high speeds and wrecking much of the countryside, or cities, when they hit the ground. After a dying disc almost kills Hime, a Brain Powerd is born from the disc. Brain Powerds are another type of Mecha, similar to but not the same as Grand Cheres. Hime becomes the Brain Powerd's pilot, forming a symbiotic relationship with the living mecha and joins an International Organization dedicated to stopping Orphan, or at the very least saving humanity should Orphan succeed. (Source: AniDB)","['Adaptation (Manga) Brain Powerd', '']",Brain Powerd,Brain Powered,,,,,,,
30,アキハバラ電脳組,Cyber Team in Akihabara,['TV'],26,Finished Airing,"Apr 4, 1998 to Sep 26, 1998",['Spring 1998'],Saturdays at 17:00 (JST),"['TBS', 'GANSIS', 'Audio Tanaka', 'Nichion']",['ADV Films'],['Ashi Productions'],Original,"['Adventure', 'Sci-Fi']",['Mecha'],23 min. per ep.,PG-13 - Teens 13 or older,6.51,#6980,#7106,"8,892",35,3201,"A ""patapi"" is a cute mechanical creature which is like a cyber pet. It can eat, sleep, play, and even help out its owners with some stuff. When Hibari Hanakoganei receives a patapi from a prince in her dreams, she is thrilled and names it ""Densuke"". When mysterious forces try to steal Densuke, Hibari discovers that Densuke is not just an ordinary patapi. Densuke has magical powers that allows it to transform into a powerful cyber-fighter who looks like Hibari. Hibari's friends also receive similar patapis, and together they form the Cyber Team in Akihabara. (Source: AnimeNfo)","['Sequel (Movie) Akihabara Dennou-gumi: 2011-nen no Natsuyasumi', 'Adaptation (Manga) Akihabara Dennou-gumi Patapi!']",Akihabara Dennou-gumi,"Akihabara Cyber Team, Cyber Team in Akihabara, kihabara Dennou Gumi",,,,,,,
31,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
32,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4020,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,,,['Kids'],['Comedy'],El Ninja Boy Rantaró,
33,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2627,#7911,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,,,,['Shoujo'],['Comedy'],Chibi Maruko-chan,
34,白鯨伝説,Hakugei: Legend of the Moby Dick,['TV'],26,Finished Airing,"Apr 9, 1997 to May 12, 1999",['Spring 1997'],Wednesdays at 18:30 (JST),"['Tezuka Productions', 'Sony Music Entertainment', 'Image Kei']",['ADV Films'],"['Studio Junio', 'Annapuru']",Original,"['Adventure', 'Sci-Fi']",['Space'],23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6615,#8536,"5,680",33,1490,A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time?,[],Hakugei Densetsu,"Hakugei: Legend of the Moby Dick, Legend of the White Whale",,,,,,,
35,夢のクレヨン王国,Crayon Kingdom of Dreams,['TV'],70,Finished Airing,"Sep 7, 1997 to Jan 31, 1999",['Fall 1997'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Book,"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,7.23,#3228,#8734,"5,337",27,1656,"The civilians of the Crayon Kingdom have always view their Princess Silver as a twelve-year old girl with a beautiful smile. However, unknown to them, the princess has 12 bad habits. This has created much distress to the Chameleon Prime Minister and the Crayon ministers for it would be embarassing if this gets out. One day, a party was held to celebrate Princess Silver's twelvth birthday. The princess was trying to seek her Prince Charming that she forgot to take notice of her bad habits. One of the boys at the party was so angry that he changed Silver's parents, the King and Queen, into stone. In order to break the curse and save her parents, Silver decided to set on a journey to locate the boy. Together with her companions, Silver begins her adventure.","['Adaptation (Manga) Yume no Crayon Oukoku', '']",Yume no Crayon Oukoku,,,,,,,,
36,爆走兄弟レッツ＆ゴー!! ＭＡＸ,,['TV'],51,Finished Airing,"Jan 5, 1998 to Dec 21, 1998",['Winter 1998'],Mondays at 18:00 (JST),['Shogakukan Productions'],"None found,",['Xebec'],['Manga'],,['Racing'],25 min. per ep.,G - All Ages,6.65,#6179,#9188,"4,621",7,2610,"The story follows the life of Retsuya and Gouki, two brothers with the same objective as Go and Retsu, to race and win championships! The two new brothers are faced with various traps set by an evil organization...together, along with other friends, they try to enjoy their races as much as possible, showing off their competitive spirit and taking down any kind of evil that might put the sport they love so much at risk!","[""Prequel (TV) Bakusou Kyoudai Let's & Go WGP"", ""Adaptation (Manga) Bakusou Kyoudai Let's & Go!! MAX""]",Bakusou Kyoudai Let's & Go MAX,"Bakuso Kyodai Let's & Go!! MAX, Bakusou Kyoudai Lets & Go Max, Bakusou Kyoudai Let's & Go!! MAX",,,,['Kids'],['Action'],,
37,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,['Kids'],,,
38,アンドロイド・アナ　MAICO ２０１０,Android Announcer Maico 2010,['TV'],24,Finished Airing,"Apr 6, 1998 to Sep 28, 1998",['Spring 1998'],Unknown,"['Pony Canyon', 'animate Film', 'Movic']","None found,","['Group TAC', 'Animaruya']",['Manga'],"['Comedy', 'Drama', 'Sci-Fi']",,14 min. per ep.,PG-13 - Teens 13 or older,6.43,#7531,#9264,"4,504",5,1690,"In the year 2010, the Japanese radio industry is in decline. To reverse their flagging ratings, a station staffed with perennial losers makes a daring gamble: to hire the industry's first android on-air host. Maico is cute, but it will take more than novelty to win over the fickle audience -- especially with a crew as inept as this one.","['Adaptation (Manga) Maico 2010', '']",Android Ana Maico 2010,,,"['Adult Cast', 'Showbiz', 'Workplace']",,['Seinen'],,,
39,ふしぎ魔法 ファンファン・ファーマシィー,,['TV'],48,Finished Airing,"Feb 15, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,12 min. per ep.,G - All Ages,7.04,#4195,#9370,"4,331",29,1188,"In a small town, there is a small pharmacy called Fun Fun Pharmacy. Popuri, a girl who recently moved in downtown, discovers this pharmacy and meets Miss Fukiko, who is actually a witch. Miss Fukiko gives Popuri a mysterious bottle that can create magic spirits.","['Adaptation (Manga) Fushigi Mahou Fun Fun Pharmacy', '']",Fushigi Mahou Fun Fun Pharmacy,Mysterious Magic Fun Fun Pharmacy,,,,['Kids'],,,
40,B[ボンバーマン]ビーダマン爆外伝,,['TV'],48,Finished Airing,"Feb 7, 1998 to Jan 31, 1999",['Winter 1998'],Saturdays at 17:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.60,#6472,#9745,"3,860",5,1884,"A long time ago, B-Da City was attacked by an evil force called the Dark B-Da (or dark beings) in their quest to control the entire Blue Solar System. The heroic B-Daman, drawing on their legendary powers and ingenious technology, were able to overthrow the Nol Arc Empire and restore peace to the universe. One thousand years later, the Dark B-Da have finally returned to conquer the Blue Solar System and make it part of their dominion. A young B-Daman called Shirobon, with a strong sense of justice, becomes a defender of B-Da City. Along with the help of his friends, They join the battle against the Dark B-Da who have come to destroy their home! (Source: Bomberman Wiki)","['Sequel (TV) Bomberman B-Daman Bakugaiden Victory', '']",Bomberman B-Daman Bakugaiden,"Bomberman Bedaman Bakugaiden, Bomberman Bidaman Bakugaiden, Bomber Man & Marbleman's Explosive Side Story",,,,,,,
41,グランダー武蔵ＲＶ,,['TV'],39,Finished Airing,"Apr 4, 1998 to Dec 26, 1998",['Spring 1998'],Unknown,['Sotsu'],"None found,",['Nippon Animation'],Unknown,"['Adventure', 'Sports']",,25 min. per ep.,PG-13 - Teens 13 or older,7.05,#4137,#10371,"3,157",10,1476,"Sequel to Grander Musashi. A young but experienced fisherman named Musashi Kazama and his two friends travel around the world in search of seven mysterious objects of fantastic power called ""Legenders"", each one in the form of a fish. Legenders are said to grant anyone who catches them the power to change the world. Unfortunately, Musashi ends up competing with several other fishermen who share his ambition of capturing a Legender. (Source: ANN)","['Prequel (TV) Super Fishing Grander Musashi', '']",Grander Musashi RV,Musashi the Great RV,,,,,,,
42,ビーストウォーズⅡ（セカンド） 超生命体トランスフォーマー,,['TV'],43,Finished Airing,"Apr 1, 1998 to Jan 27, 1999",['Spring 1998'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Takara']","None found,",['Ashi Productions'],Other,"['Action', 'Sci-Fi']",['Mecha'],24 min. per ep.,G - All Ages,6.42,#7561,#10446,"3,102",10,1086,"Beast Wars Second features a new cast of characters set many years in the future, who travel to a post apocalyptic Earth now known as the planet Gaia. The Cybertrons, led by Lio Convoy, are sent to the planet to investigate an unusual change in the planet’s behavior and thus thwart the Destrons, led by Galvatron, who seek to consume the planet’s rich source of energy called Angolmois. (Source: Karyuudo Fansubs)","['Sequel (TV) Chou Seimeitai Transformers Beast Wars Neo', '']",Beast Wars Second Chou Seimeitai Transformers,"Beast Wars II Chou Seimeitai Transformers, Super Robot Life Form Transformers: Beast Wars Second",,,,,,,
43,ＤＴエイトロン,DT Eightron,['TV'],26,Finished Airing,"Apr 18, 1998 to Nov 6, 1998",['Spring 1998'],Saturdays at 02:45 (JST),['Fuji TV'],"None found,",['Sunrise'],Original,"['Action', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.25,#8567,#10582,"2,976",7,914,"Shu is from Datania, a country that makes young children work. He and his friends were trying to escape when they met the Returners. The Returners are some kind of rebels to Datania. Shu goes with the Returners to fight Zero, Nines, and his men who are after DT, a special substance inside humans. (Source: ANN)","['Adaptation (Manga) DT Eightron', '']",DT Eightron,,,,,,,,
44,アリスＳＯＳ,,['TV'],28,Finished Airing,"Apr 6, 1998 to Jan 28, 1999",['Spring 1998'],Unknown,['NHK'],"None found,",['J.C.Staff'],Original,,,19 min. per ep.,G - All Ages,6.04,#9722,#11144,"2,513",1,580,"Takashi loves reading books and especially loves ""Alice's Adventures in Wonderland"". One day, he buys some used books, and he finds one book thrown in. When Takashi opens the book, ""the God of Math"" M-1 appeared. Takashi is told that Alice is kidnapped, and he's asked to rescue her by M-1. And Takashi goes on an adventure in Wonderland to rescue Alice. (Source: ANN)",[],Alice SOS,,,,,,['Adventure'],,
45,超魔神英雄伝ワタル,Super Demon Hero Wataru,['TV'],51,Finished Airing,"Oct 2, 1997 to Sep 24, 1998",['Fall 1997'],Fridays at 17:00 (JST),"None found,","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Comedy']",['Mecha'],24 min. per ep.,G - All Ages,7.00,#4402,#11222,"2,461",11,939,"After the battle with Doakuder at Soukaizan (the ""other"" world where the rainbow has disappeared because of the devils), a demon world Devil came to Genseikai (human world) and stole Wataru's conscience. Because of that, Wataru's heart of justice and his memories of being Kyuuseishu (world savior) vanished. After Shibaraku and Himiko brought him back to Shinbukai (the ""other"" world, where Soukaizan is located), Wataru regained his memories, however his conscience was still missing. To get it back, Kyuuseishu Wataru must return to fight the devils, rescuing all of Soukaizan from catastrophe! Chou Mashin Eiyuuden Wataru is the 3rd work of the Mashin Eiyuuden Wataru TV series by SUNRISE, and is considered as a ""remake"" series of the previous Wataru series. It started airing from October 2, 1997, and ended on September 24, 1998, every Thursday from 6:00 to 6:30pm, with a total of 51 episodes. (Source: AniDB)","['Prequel (TV) Mashin Eiyuuden Wataru', '']",Chou Mashin Eiyuuden Wataru,,,,,,,,
46,熱沙の覇王ガンダーラ,Gandalla: The King of Burning Desert,['TV'],26,Finished Airing,"Apr 11, 1998 to Oct 17, 1998",['Spring 1998'],Saturdays at 01:00 (JST),['Big West'],"None found,",['Ashi Productions'],Original,"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Supernatural']",['Music'],22 min. per ep.,PG-13 - Teens 13 or older,5.67,#11529,#11582,"2,214",5,290,A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known as the desert-god Gandalla.,[],Nessa no Haou Gandalla,"The King of Burning Desert Gandalla, Supreme Ruler of the Hot Sands Gandahara, Netsusa no Hano Gandahara [Gandalla]",,,,,,,
47,ＹＡＴ　安心！宇宙旅行 2,,['TV'],25,Finished Airing,"Apr 11, 1998 to Oct 3, 1998",['Spring 1998'],Saturdays at 18:00 (JST),['NHK'],"None found,",['Group TAC'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.90,#4850,#12364,"1,725",7,844,"The space traveling company, YAT, is thrown into the unknown realms of the outer space. At the same time, the group encounters the psychic, Maron, and scientist, Note. Subsequently, the two of them are attacked by the evil monarch, Ganon. Note was captured and taken away after suffering an attack from one of Ganon's followers, Baras. In order to rescue Note, the group had to use the instantaneous portable machine which Note invented so as to travel to Ganon's planet. However, no one knows where the planet is... (Source: ANN)","['Prequel (TV) YAT Anshin! Uchuu Ryokou', '']",YAT Anshin! Uchuu Ryokou 2,YAT Anshin! Luxury Space Tours 2,,,,,,,
48,はれときどきぶた,Tokyo Pig,['TV'],61,Finished Airing,"Jul 3, 1997 to Sep 29, 1998",['Summer 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Aniplex', 'TV Tokyo Music']","None found,",['Group TAC'],Picture book,,['Parody'],23 min. per ep.,PG - Children,6.49,#7163,#12569,"1,616",7,411,Tokyo Pig is the wacky and crazy story of a young boy named Spencer and his magical pet pig named Sunny. This is the wierd adventures of these two wierdos. (Source: ANN),[],Hare Tokidoki Buta (TV),,,,,,['Comedy'],,
49,ひみつのアッコちゃん 第３期,,['TV'],44,Finished Airing,"Apr 5, 1998 to Feb 28, 1999",['Spring 1998'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],Unknown,"['Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,6.53,#6890,#12628,"1,588",0,574,"In the Kagami household, the old Western palm-sized mirror has been passed from from generations to generations. Akko-chan has been taught about the importance of the mirror and when she finally receives it from her mother, she cherishes it with all her might. One day, in the midst of a disturbance made by Taishou and his gang, Akko-chan accidentally broke the mirror. She made a grave and buried the broken pieces in the backyard. That night, Akko-chan was awakened by a flash of light and a kind voice which belongs to the Queen of the Mirror Kingdom. The Queen expresses her gratitude to Akko-chan for valuing the mirror so much and offers her a gift—a magical compact mirror. Whenever Akko-chan sings the magical words, she will transform into anything she wants. (Source: ANN)",[],Himitsu no Akko-chan 3,"Akko-chan's Secret 3, Secrets of Akko-chan (1998)",,"['Mahou Shoujo', 'School']",,['Shoujo'],,,
50,学級王ヤマザキ,"King of Classroom, Yamazaki",['TV'],54,Finished Airing,"Oct 27, 1997 to Nov 27, 1998",['Fall 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Magic Bus'],['Manga'],,,24 min. per ep.,G - All Ages,6.12,#9249,#12828,"1,490",4,666,"Yamazaki comes to Earth from an other planet, hoping to conquer our planet. But he soon realizes, that in order to conquer the world, he has to conquer a his own classroom first. That's why he comes up with lots of different ideas to get everybody to follow him. Also, he spends most of his time making Tatsuya (the class rep.) miserable. Having his loyal and strange dog Watanabe always by his side, and the help from his grandparents, Yamazaki is always doing crazy things with his class, completely forgetting his primary goal, and only thinking in becoming ""The King of the Class"". (Source: ANN)",[],Gakkyuu Ou Yamazaki,"Gakkyuuou Yamazaki, Gakkyu-oh Yamazaki, King of Classroom, Yamaza",,,,,['Comedy'],,
51,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10326,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,['Kids'],,,
52,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
53,銀河漂流バイファム13,,['TV'],26,Finished Airing,"Mar 21, 1998 to Oct 3, 1998",['Spring 1998'],Sundays at 02:05 (JST),"None found,","None found,",['Sunrise'],Unknown,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],24 min. per ep.,G - All Ages,6.42,#7571,#14117,"1,048",1,186,"On July 27 1996, Mr. Takeyuki Kanda died suddenly at the age of 52. Born August 11 1943, he was known as the director of several animations including VIFAM. Thus in 1998 a new TV series of VIFAM was broadcasted in memory of him. Televised 1998/3/21-1998/10/3 (in Kansai area), it contains 26 episodes, and like Twelve people disappeared it is a sidestory, but some new features are added: new persons, new RV, etc. The story could be inserted between #22 and #26 (#24 and #25 are digests) of VIFAM, and is divided into three parts: Act I (#1-14), Interlude (#15-18), Act II (#19-26), if we name them (in reality Act I and II have little relationship). It could also be the New Testament, but it is now regarded as an apocrypha (or worse, a pseudo-VIFAM). There are several reasons to say so, but to watch the story is the best way to understand them. (Source: u-netsurf.ne.jp/~suemura/vifam/vguide.html)",[],Ginga Hyouryuu Vifam 13,"Galactic Drifter Vifam 13, Round Vernian Vifam 13",,,,,,,
54,超特急ヒカリアン,Super Express Hikarian,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,7 min. per ep.,G - All Ages,6.15,#9077,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,Hikarian: Great Railroad Protector,,,,['Kids'],,,
