,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
23,"Izumo: Flash of a Brave Sword, Izumo: Takeki Ken no Hirameki, Izumo2, Izumo TTnS",IZUMO -猛き剣の閃記-,Izumo: Flash of a Brave Sword,Izumo: Flash of a Brave Sword,Izumo: Flash of a Brave Sword,['TV'],12,Finished Airing,"Apr 3, 2005 to Jun 19, 2005",['Spring 2005'],Sundays at 01:30 (JST),['Tokyo Kids'],['Discotek Media'],"['Trinet Entertainment', 'Studio Kyuuma']",Visual novel,"['Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,6.11,#9328,#5966,"13,585",17,4191,"Yagi Takeru has been living in the Touma family's house since his parents are gone. He was raised by Touma Rokunosuke, the head of the house. He is surrounded by many people such as Yamato Takeshi, his best friend-cum-rival from the kendo club, the Shiratori sisters, Kotono and Asuka, and his childhood friend, Oosu Seri. Life has been blissful until one day, an earthquake strikes the school and everything changes. Takeru awakens to find that the school looks as if it has been abandoned for centuries and reduced to ruins. He also realize that all the teachers and students have disappeared as well. He meets up with Seri and Asuka and they fled from the ruins, only to realize that the town they used to live in is completely empty. Subsequently, people wrapped in cloaks appear before him. They were told that they have been brought to another world. (Source: ANN)","['Prequel (OVA) Izumo (2003)', 'Adaptation (Manga) Izumo: Takeki Tsurugi no Senki']",Izumo: Takeki Tsurugi no Senki,Izumo: Flash of a Brave Sword,"['Isekai', 'Martial Arts']",,,
24,"Fushigi-boshi no Futago-hime, Fushigi Boshi no Futago Hime, Twin Princesses of the Wonder Planet, Twin Princesses of the Mysterious Star, Twin Princess of the Mysterious Planet",ふしぎ星の☆ふたご姫,,,,['TV'],51,Finished Airing,"Apr 2, 2005 to Mar 25, 2006",['Spring 2005'],Saturdays at 10:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Omnibus Promotion']","None found,",['HAL Film Maker'],Original,"['Comedy', 'Fantasy']",['Mahou Shoujo'],24 min. per ep.,G - All Ages,7.28,#2926,#5999,"13,399",80,4967,"In the hollow Mysterious Planet, seven kingdoms co-exist, all of them lit by the Sun's Blessing from the Kingdom of the Sun, in the middle of the planet. The light of the core sun is necessary for the continued existence of all the kingdoms. Yet, something is causing the Sun's Blessing to weaken. If something isn't done, it will be the end of life in the Mysterious Planet. Fortunately, the twin princesses of the Sun Kingdom, Fine and Rein, have been endowed with the magic of the Prominence, and are looking for a way to fix things. (Source: ANN)","['Sequel (TV) Fushigiboshi no☆Futagohime Gyu!', 'Adaptation (Manga) Fushigiboshi no Futagohime']",Fushigiboshi no☆Futagohime,,,,,
25,"Comic Party Revolution TV, Comic Party Revolution (2005)",こみっくパーティー Revolution,Comic Party: Revolution,,,['TV'],13,Finished Airing,"Apr 4, 2005 to Jun 28, 2005",['Spring 2005'],Tuesdays at 02:15 (JST),['AQUAPLUS'],"['ADV Films', 'Funimation']","['Radix', 'Chaos Project']",Visual novel,"['Comedy', 'Drama']",['Otaku Culture'],24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7369,#6555,"10,711",9,4527,"A man-made island sits on the edge of Tokyo, well off the beaten path. The time is drawing near when this island of cold concrete will be set afire with passion. People will gather to draw manga, search for manga, and get passionate about manga! It's a joyous celebration of individuals who've staked their entire youths on doujinshi. It's Comic Party! Kazuki and Mizuki are college students immersing themselves in the otaku subculture. Kazuki has grown more confident in his abilities as a doujinshi (amateur comic) artist, but will all the girls distract him or help him succeed? And what of Taishi's plans for world domination? (Source: ADV Films)","['Prequel (TV) Comic Party', '']",Comic Party Revolution,,,,,
26,Yuki no Jo-Oh,雪の女王,The Snow Queen,,,['TV'],36,Finished Airing,"May 22, 2005 to Feb 12, 2006",['Spring 2005'],Sundays at 19:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['TMS Entertainment'],Book,"['Adventure', 'Drama', 'Fantasy']",,25 min. per ep.,PG - Children,6.97,#4520,#8915,"5,041",16,1308,"Based on the children's story by Hans Christian Andersen. Gerda and Kai have been neighbors and best friends since childhood. Gerda is eleven, Kai twelve. They were happy children who worked and played as they should. All that changed when the Snow Queen's mirror broke. The shards spread all through the world, each containing evil. If a shard went inside your eye, it would turn your heart to ice. A shard went into Kai's eye. After that, he grew cold to those he loved. One night, the Snow Queen came in her carriage and took Kai back to her ice castle at the farthest north point of the world. Everyone in Kai and Gerda's village didn't know where he went and believed he died from drowning in the frozen-over lake. Gerda doesn't believe this, for she dreamed of seeing Kai enter the carriage. When a drunk man admits that he also saw this, Gerda starts realizing that maybe what she saw wasn't a dream. She packs her things and goes on a journey to save Kai and bring him back home. (Source: Wikipedia)",[],Yuki no Joou (TV),,,,,
27,"Yuusha Ou GaoGaiGar Final Grand Glorious Gathering, Yuusha-Oh GaoGaiGar Final Grand Glorious Gathering",勇者王ガオガイガーFINAL Grand Glorious Gathering,King of Braves GaoGaiGar Final Grand Glorious Gathering,,,['TV'],12,Finished Airing,"Apr 11, 2005 to Jun 27, 2005",['Spring 2005'],Unknown,"None found,",['Media Blasters'],['Sunrise'],Original,"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.44,#2214,#9167,"4,646",15,1528,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG - with Guy Shishio and the newly-constructed GaoFighGar - team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh - a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late. (Source: ANN)","['Prequel (TV) Yuusha-Ou GaoGaiGar', '']",Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,,"['Mecha', 'Super Power']",,,
28,,甲虫王者ムシキング ～森の民の伝説～,Mushiking: The Guardians of the Forest,,,['TV'],52,Finished Airing,"Apr 6, 2005 to Mar 29, 2006",['Spring 2005'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['TMS Entertainment'],Card game,,,22 min. per ep.,G - All Ages,6.82,#5215,#9227,"4,556",20,1820,"The story begins with a spaceship struggling to return to its home world, which crash lands onto a dying planet, triggering an explosion of pure energy, generated by the powerful and mysterious life forms that are piloting the craft. This outburst of energy infuses the dying planet with a life-generating force. Popo, the main character of the story, lives happily with his mother on this planet in a remote part of the forest that is populated with praying mantises, ladybugs, beetles and many other insects. Popos greatest desire is to grow up and become stronger, so that he can search for his father who left the family several years before and has not been heard from since. His father was known as the Guardian of the Forest, as he was passionately dedicated to his research on the planet and on the forest in which his family lives. One day, while walking through the forest, Popo witnesses an ominous event. A strange flowing mist appears, completely covering the forest. A mysterious and sinister character, Passer, also appears, condemning Popos father as an enemy of the forest people and the source of all their trouble. Popo races home only to find to his shock and amazement that his mother has been transformed into a half-plant, half human creature. Confused and dismayed over what he has seen, Popo decides that only his father will be able to restore his mother to her human self and rescue the forest from harm. He decides to leave his home in search for his father. However, the evil Adder and his henchmen plot to prevent Popo from achieving his goal with the help of giant beetles who attack the young boy at every turn. Fortunately, Popo has an ally, Mushiking: The King of Beetles! With his overwhelming strength and overpowering fighting style, Mushiking always comes through at the nick of time to save the young boy from defeat and to set him back on his quest. Is Popo able to find his father and to save his mother and the forest? Discovering his destiny as the next Guardian of the Forest, and protected and guided on his journey by Mushiking, Popo's epic quest to reunite with his father now begins! (Source: Official Site)",[],Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,,,,['Fantasy'],
29,New Legend of the Heroes of the Warring Nations - The Ten Sanada Brave Soldiers Sanada 10 TV,新釈 戦国英雄伝説 眞田十勇士 The Animation,,,,['TV'],12,Finished Airing,"May 7, 2005 to Jul 23, 2005",['Spring 2005'],Saturdays at 19:00 (JST),"['G&G Entertainment', 'T.P.O']","None found,","['Group TAC', 'G&G Direction']",Original,"['Action', 'Comedy']",,26 min. per ep.,PG-13 - Teens 13 or older,6.04,#9707,#12028,"1,938",2,286,"In the Fifth Year of the Keicho era, the Tokugawa clan sought to solidify their control of Japan. Hidetada Tokugawa has come to the doorsteps of Ueda Castle with the intentions of having the Sanada clan open its doors to him. But the Sanada and their retainers have other plans... (Source: ANN)","['Prequel (TV Special) Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi', '']",Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,,"['Historical', 'Military', 'Samurai']",,,
30,,太鼓の達人,Taiko Drum Master,,,['TV'],26,Finished Airing,"Apr 4, 2005 to May 15, 2006",['Spring 2005'],Unknown,['Nikkatsu'],"None found,",['Studio Bingo'],Game,,['Video Game'],4 min. per ep.,G - All Ages,5.92,#10331,#13319,"1,294",9,401,A series of four minute claymation shows. Each episode shows the different antics of the various Taiko no Tatsujin characters.,[],Taiko no Tatsujin,,,,,
31,,絶体絶命でんぢゃらすじーさん,,,,['TV'],19,Finished Airing,Apr 2005 to Mar 2006,['Spring 2005'],Unknown,"None found,","None found,","None found,",['Manga'],,,2 min. per ep.,PG - Children,[],#16243,#16226,597,1,,The third series of Zettai Zetsumei Dangerous Jiisan with the gags continuing on.,"['Prequel (TV) Zettai Zetsumei Dangerous Jiisan (2004)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan']",Zettai Zetsumei Dangerous Jiisan (2005),,,['Kids'],['Comedy'],
32,,留守電アワー SODANブラザーズ,,,,['TV'],25,Finished Airing,"Mar 13, 2005 to Aug 2005",['Spring 2005'],Unknown,['WOWOW'],"None found,","None found,",Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#21460,#19473,317,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rusuden Hour: Sodan Brothers,,,,['Comedy'],
33,,ゴキブリちゃん,,,,['TV'],20,Finished Airing,"Mar 21, 2005 to Apr 15, 2005",['Spring 2005'],Not scheduled once per week,"None found,","None found,",['Eiken'],Picture book,,,4 min. per ep.,G - All Ages,[],#18220,#20142,279,0,,"A story about love, friendship, and effort that cockroaches and their friends put into living behind a refrigerator in an ordinary salaryman's family home. Cockroaches who are hated by all humans strive every day to be liked by everyone in the family; will the day when they are accepted by the family come?",[],Gokiburi-chan,,,['Kids'],,
34,NARUTO,ナルト,Naruto,,,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,687","82,496",2044591,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,,['Shounen'],,
35,OP,ONE PIECE,One Piece,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,218","234,795",1420009,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,['Shounen'],,
36,,BLEACH - ブリーチ -,Bleach,,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#704,#35,"2,075,323","78,068",1188975,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,['Shounen'],,
37,,モンスター,Monster,,,['TV'],74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",['Spring 2004'],Wednesdays at 00:40 (JST),"['VAP', 'Nippon Television Network']",['VIZ Media'],['Madhouse'],['Manga'],"['Drama', 'Mystery', 'Suspense']",,24 min. per ep.,R+ - Mild Nudity,8.88,#24,#123,"1,210,754","56,857",459073,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]","['Adaptation (Manga) Monster', '']",Monster,,"['Adult Cast', 'Psychological']",['Seinen'],,
38,Detective Conan,名探偵コナン,Case Closed,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,862","15,329",164349,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,,['Shounen'],,
39,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3320,#1156,"225,899","1,731",140773,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,Yu-Gi-Oh! GX,,['Shounen'],,
40,Initial D 4th Stage,頭文字〈イニシャル〉D FOURTH STAGE,,,Initial D 4ème-Etape,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",['Racing'],27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,537","1,381",112324,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D', '']",Initial D Fourth Stage,Initial D: Supera el Límite de Velocidad Temporada 4,,['Seinen'],,
41,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,Pokémon: Rubin und Saphir,Pokémon Advance,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,927",295,120792,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,Pokémon Advanced,,['Kids'],,
42,Ah! My Goddess! (TV),ああっ女神さまっ,Ah! My Goddess,Oh! My Goddess,Ah! My Goddess,['TV'],24,Finished Airing,"Jan 7, 2005 to Jul 8, 2005",['Winter 2005'],Fridays at 01:55 (JST),"['Bandai Visual', 'TBS', 'Imagine']","['Media Blasters', 'NYAV Post']",['AIC'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.31,#2778,#1532,"165,063","1,149",79260,"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance. [Written by MAL Rewrite]","['Sequel (TV) Aa! Megami-sama! Sorezore no Tsubasa', 'Adaptation (Manga) Aa! Megami-sama!']",Aa! Megami-sama! (TV),,,['Seinen'],,
43,Magister Negi Magi,魔法先生 ネギま！,Negima!,Magister Negi Magi Negima!,Negima! le Maître Magicien,['TV'],26,Finished Airing,"Jan 6, 2005 to Jun 30, 2005",['Winter 2005'],Thursdays at 01:00 (JST),['Starchild Records'],"['Funimation', 'Sentai Filmworks']",['Xebec'],['Manga'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.92,#4741,#1691,"145,255",501,65553,"10-year-old Negi Springfield is a wizard-in-training, and needs only to pass one more test in order to become a Master Wizard. Unfortunately, his final task is a bizarre one—to become a English teacher at an all-females boarding school. As soon as he arrives, he completely embarrasses one of his students, Asuna Kagurazaka, and replaces the teacher she loves, which garners her hatred. To make matters worse, Asuna learns that Negi is a wizard, and promises to tell unless he helps her out. But unfortunately, circumstances force them to work together to do many things, from fighting evil wizards to helping the class pass their final exam, with a lot of humor, magic, and romances thrown in. (Source: ANN, edited)","['Sequel (TV) UQ Holder! Mahou Sensei Negima! 2', 'Adaptation (Manga) Mahou Sensei Negima!']",Mahou Sensei Negima!,,"['Harem', 'School', 'Super Power']",['Shounen'],,
44,,金色のガッシュベル!!,Zatch Bell!,,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Mythology'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1772,#1817,"132,177","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,['Shounen'],,
45,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",今日からマ王！,,,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,722","1,379",43043,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,,,['Shoujo'],,
46,Kidou Senshi Gundam SEED DESTINY,機動戦士ガンダムSEED DESTINY,Mobile Suit Gundam SEED Destiny,Mobile Suit Gundam Seed Destiny,Mobile Suit Gundam Seed Destiny,['TV'],50,Finished Airing,"Oct 9, 2004 to Oct 1, 2005",['Fall 2004'],Saturdays at 18:00 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,"['Action', 'Drama', 'Romance', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),7.17,#3521,#2049,"112,938","1,131",67671,"In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit. Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages. As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him. [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam SEED', 'Prequel (Special) Kidou Senshi Gundam SEED: Hoshi no Hazama de', 'Sequel (OVA) Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai', 'Adaptation (Manga) Kidou Senshi Gundam SEED Destiny']",Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam Seed Destiny,"['Mecha', 'Military', 'Space']",,,
