,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Theme,Demographics
81,,しまじろう ヘソカ,,,,['TV'],99,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",['Spring 2010'],Mondays at 07:30 (JST),['Benesse Corporation'],"None found,",['Pierrot Plus'],Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min. per ep.,G - All Ages,[],#14229,#17510,458,0,,Third season of the Shimajirou children's television series.,"['Prequel (TV) Hakken Taiken Daisuki! Shimajirou', 'Sequel (TV) Shimajirou no Wow!']",Shimajirou Hesoka,,,,
82,,ペンギンの問題 Max,,,,['TV'],50,Finished Airing,"Apr 3, 2010 to Mar 26, 2011",['Spring 2010'],Unknown,['TV Tokyo'],"None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,['Kids'],10 min. per ep.,G - All Ages,[],#21009,#18341,397,0,,The continuation of Penguin no Mondai.,"['Prequel (TV) Penguin no Mondai', 'Sequel (TV) Penguin no Mondai DX?']",Penguin no Mondai Max,,['Comedy'],,
83,,ケシカスくん,,,,['TV'],44,Finished Airing,"Jan 12, 2010 to Apr 1, 2011",['Winter 2010'],Not scheduled once per week,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],,,['Kids'],1 min. per ep.,G - All Ages,[],#19401,#18547,379,0,,Keshikasu-kun is an anthropomorphism anime about stationery. The main character is the eraser Keshikasu who aims to be an idol of the stationary world. He fights against other stationary and erases a mechanical pencil or gets crushed by a permanent marker.,[],Keshikasu-kun,,['Comedy'],,
84,"Ltd. Zoo, Kabushiki Gaisha Zoo",株式会社ZOO,,,,['TV'],12,Finished Airing,"Jan 20, 2010 to Aug 30, 2010",['Winter 2010'],Unknown,"['NHK', 'Milky Cartoon', 'Opera House']","None found,","None found,",Original,,,['Kids'],2 min. per ep.,PG - Children,[],#19171,#19782,298,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kabushiki Kaisha Zoo,,['Comedy'],,
85,,헬로 코코몽,Hello Cocomong,,,['TV'],13,Finished Airing,"Feb 26, 2010 to Feb 25, 2011",['Winter 2010'],Fridays at Unknown,"None found,","None found,","None found,",Original,,,['Kids'],9 min. per ep.,G - All Ages,[],#18530,#20163,278,1,,"I can dance! I can sing! So, I can speak English! Hello Cocomong is a series of musical episodes teaching kids through song and dance. A large amount of episodes are aimed to teach English to Korean speaking children, though the intention is lost with the official English dub of the show.","['Sequel (TV) Hello Cocomong 2', '']",Hello Cocomong,,,['Music'],
86,,쿵푸 공룡 수호대,Kung Fu Dino Posse,,,['TV'],40,Finished Airing,"Nov 12, 2009 to Sep 4, 2010",['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],22 min. per ep.,PG - Children,[],#19669,#21884,181,0,,"In the city of Megalopolis, six dinosaurs are thawed out in the basement of the museum when young aspiring paleontologist and technological genius Edgar Chudley accidentally causes a city wide blackout. One year later, Edgar discovers that four of the dinos have been living in the museum basement and have taught themselves kung fu. They befriend Edgar and the group now work together to foil the plans of the other two dinos, raptor brothers evil Skor and dimwitted Skrap, who hunt for crystals that contain mutant DNA with which Skor can create monstrous dinosaurs to conquer the world. (Source: TVTropes)",[],Kung Fu Gonglyong Suhodae,,['Fantasy'],['Martial Arts'],
87,Bogeulbogeul Kug,보글보글 쿡,Bubble Bubble Cook,,,['TV'],52,Finished Airing,Mar 2010 to May 2011,['Spring 2010'],Unknown,"None found,","None found,",['Studio Vandal'],Original,,,['Kids'],23 min. per ep.,PG - Children,[],#17065,#22088,172,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Bubble Bubble Cook 2nd Season', '']",Bubble Bubble Cook,,['Gourmet'],,
88,,神兽金刚,,,,['TV'],46,Finished Airing,"Jan 15, 2009 to Dec 31, 2010",['Winter 2009'],Tuesdays at 08:30 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,['Kids'],15 min. per ep.,G - All Ages,[],#14113,#22143,170,0,,"Many years ago, the ambitious Dark Emperor who wanted to rule the universe endangered the environment and destroyed peace. In order to stop him, the leader of the universe, Big Dipper King, finally sealed the Dark Emperor under the polar ice rocks after a great battle. In order to prevent the Dark Emperor from breaking the seal, the Big Dipper King discovered the six God Beasts of the Earth under the guidance of the Earth’s monks. Fusing technology and the energy of the Big Dipper, he created six God Beasts Mechas and left behind his son, the Qilin King. The six God Beast Mechas are Qilin, Qinglong, Baihu, Xuanwu, Zhuque, and Yinglong. Only six children with super powers can pilot these God Beasts.","['Sequel (TV) Shen Shou Jin Gang 2: Tianshen De Shou', '']",Shen Shou Jin Gang,,,['Mecha'],
89,,橡皮泥小镇,,,,['TV'],365,Finished Airing,Oct 2009 to Dec 2010,['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],10 min. per ep.,PG - Children,[],#15499,#22364,161,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiangpi Ni Xiao Zhen,,,,
90,,吉祥猫可可,Copy Cat,,,['TV'],26,Finished Airing,Jan 2009 to Jan 2011,['Winter 2009'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],12 min. per ep.,PG - Children,[],#19112,#23592,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jixiang Mao Keke,,['Fantasy'],,
91,,麦圈可可远古大冒险,Maiquan & Keke's Ancient Adventures,,,['TV'],46,Finished Airing,Feb 2010 to Oct 2010,['Winter 2010'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#19967,#23667,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Maiquan Keke Man Youji', 'Sequel (TV) Maiquan Keke Xunbao Ji']",Maiquan Keke Yuangu Da Maoxian,,['Adventure'],,
92,,迪迪帮帮总动员,,,,['TV'],104,Finished Airing,Apr 2010 to May 2011,['Spring 2010'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],9 min. per ep.,PG - Children,[],#17637,#23826,116,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],DiDi Bang Bang Zongdongyuan,,['Fantasy'],,
93,,おべとも学園,,,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,,2 min. per ep.,G - All Ages,[],#20781,#24010,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,['Slice of Life'],['School'],
94,,大奇和童话镇,Daqi and Children Story Town,,,['TV'],200,Finished Airing,Apr 2010 to Jul 2011,['Spring 2010'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],12 min. per ep.,PG - Children,[],#17569,#24151,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Daqi He Tonghua Zhen,,['Fantasy'],,
95,,太昊伏羲,,,,['TV'],26,Finished Airing,Jan 2010 to Feb 2011,['Winter 2010'],Unknown,"None found,","None found,","None found,",Other,,,['Kids'],13 min. per ep.,PG - Children,[],#14676,#24344,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tai Hao Fuxi,,,,
96,"Cat Shit One: The Animated Series, Apocalypse Meow",キャットシットワン,,,,['ONA'],1,Finished Airing,"Jul 17, 2010",,,['International Digital Artist'],"None found,",['Anima'],['Manga'],"['Action', 'Fantasy']","['Anthropomorphic', 'Military']",,21 min.,R - 17+ (violence & profanity),6.89,#4868,#4255,"30,727",82,18478,"The Carrot Military Service special unit, Cat Shit One, is an elite private military fighting force. Members Perkins and Botasky are stationed in the Middle East to conduct reconnaissance on an insurgent base where hostages are being held. However, things quickly escalate when the enemies kill a hostage and mercilessly torture another. Realizing that they cannot wait for their requested backup to arrive, the vastly outnumbered pair of rabbit mercenaries decide to rescue the captives themselves. [Written by MAL Rewrite]","['Adaptation (Manga) Cat Shit One', '']",Cat Shit One,,,,
97,"Baka to Test to Shoukanjuu: Matsuri Special, Baka to Test to Shoukanjuu OVA Special, The Idiot, the Tests, and the Summoned Creatures OVA Special, Baka and Test: Summon the Beasts OVA Special",バカとテストと召喚獣 ～祭～ 選択によって展開が変わる「LIPS映像」,,,,['ONA'],1,Finished Airing,"Aug 29, 2010",,,"None found,","None found,",['SILVER LINK.'],['Light novel'],,,,3 min.,PG-13 - Teens 13 or older,6.75,#5578,#4418,"28,503",11,13027,"A promotional video that was shown to the public at Comiket 78, and uploaded to YouTube and posted on the official website. It was also included with the first Blu-ray/DVD volume of the Matsuri OVA. It is done in the style of a visual novel game played on a Nintendo DS screen. (Source: AniDB)",[],"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",,['Comedy'],['Parody'],
98,Kaichu!,カイチュー!,,,,['ONA'],4,Finished Airing,"Jul 16, 2010 to Oct 2011",,,['Soft Garage'],"None found,","None found,",['Manga'],"['Comedy', 'Sports']",,['Seinen'],4 min. per ep.,PG-13 - Teens 13 or older,5.79,#10985,#6756,"10,040",11,5044,"Tachikawa Tetsuya is a freshman at a new high school and he wants to become a great archer, like his late grandfather, Fudou. One day, a new transfer student joins his class. In a surprise to everyone, it is a cute girl and not a guy like the rumors were saying... The name is Sasaki Gonzaburou, and... ""she""... or maybe ""he""... well, this person has some ""little"" secrets.","['Adaptation (Manga) Kaichuu!', '']",Kaichuu!,,,['Crossdressing'],
99,Ichirinsha,一輪者 ICHIRIN-SHA,,,,['ONA'],1,Finished Airing,"Sep 24, 2010",,,"None found,","None found,",['Nomad'],Original,"['Action', 'Sci-Fi']",,['Seinen'],7 min.,PG-13 - Teens 13 or older,5.91,#10381,#11866,"2,028",0,820,"On a planet very similar to the earth... Here, the missile mechanoids started to have its own will and control, and were driving the human beings into serious danger. Shaleen was the last ICHIRIN-SHA (unicyclist) in the world, traveling the world on his beat up motor unicycle. One day, when Shaleen was running from the attacks of the missile mechanoids, he stops by a ghost town and meets a mysterious girl who was constantly targeted by the mechanoids. Note: Originally meant to be a full length movie, the project was cancelled, but a 7 minutes long trailer was released before that. (Source: AniDB)",[],Ichirin-sha,,,['Mecha'],
100,,あぐかる,Agriculture Angel BARAKI,,,['ONA'],5,Finished Airing,"Sep 17, 2010 to Apr 1, 2014",,,['Medicrie'],"None found,",['Studio PuYUKAI'],Unknown,"['Slice of Life', 'Supernatural']",,,12 min. per ep.,PG - Children,5.19,#12933,#12181,"1,840",1,439,"Set in the eastern Japanese prefecture of Ibaraki, Agukaru centers around Sanae Baraki, a farmer’s daughter who can see spirits. Every day she works on her field together with such spirits to produce the best agricultural goods. However, there is a group that aims for that field. With the blessing of the earth, she transforms into Agriculture Angel Baraki.","['Sequel (ONA) Agukaru: Play with Ibaraki-hen Episode 0', '']",Agukaru,,,,
101,,女子高生信長ちゃん!!,,,,['ONA'],10,Finished Airing,"Aug 12, 2010 to Feb 10, 2012",,,"['TMS Entertainment', 'TMS Music']","None found,","['WAO World', 'MooGoo', 'Studio Ranmaru']",['Manga'],"['Comedy', 'Ecchi']","['Reincarnation', 'School']",,4 min. per ep.,PG-13 - Teens 13 or older,5.77,#11058,#12563,"1,618",1,236,The 16th-century shogun Oda Nobunaga wakes up in a high school girl's body.,"['Adaptation (Manga) Joshikousei Nobunaga-chan!!', '']",Joshikousei Nobunaga-chan!!,,,,
102,Galaxy Express 999: Jikuu wo Koeta Energy no Tabi,銀河鉄道９９９　時空を越えたエネルギーの旅,Galaxy Express 999: Journey with Energy Beyond Space and Time,,,['ONA'],5,Finished Airing,"Jul 24, 2010 to Sep 24, 2010",,,"None found,","None found,",['Toei Animation'],Unknown,"['Adventure', 'Drama', 'Sci-Fi']",,,4 min. per ep.,PG-13 - Teens 13 or older,6.12,#9252,#14171,"1,031",1,182,Five shorts to promote the Japanese electricity company Kyushu Electric Power (Kyuden). Tetsuro and Maetel visit five interplanetary stops (including Earth) and see how each locale deals with energy.,[],Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,,,,
103,,声優刑事,,,,['ONA'],1,Finished Airing,"Aug 4, 2010",,,"None found,","None found,","['MooGoo', 'Studio Ranmaru', 'Sunny Gapen']",Original,,,,3 min.,G - All Ages,4.35,#13700,#14582,920,0,458,A girl who is protecting her city.,[],Seiyuu Deka,,['Comedy'],,
104,,コズミックブレイク,,,,['ONA'],4,Finished Airing,"Sep 9, 2010 to Feb 8, 2012",,,['CyberStep'],"None found,","None found,",Game,,"['Mecha', 'Strategy Game']",,7 min. per ep.,PG-13 - Teens 13 or older,5.82,#10808,#14944,828,1,245,"The game is set in the distant future in a parallel dimension called the Cosmic Ark. There is a race of long-dormant, gigantic robots called Arks, which have suddenly awakened to find their galaxy being ruled by the evil Chaos. Since they lay dormant for aeons, the three remaining great Arks of Wisdom, Courage and Strength have been drained of their energy, and now there is only enough energy remaining for one of them to be revived with the power to vanquish the evil Chaos. In order to accomplish this, three different Unions of followers of each of the great Arks have formed, each competing for the revival of their respective Ark and thereby, for the defeat of the Chaos and the fate of the world. Besides this overarching story, there are several backstories of characters of the game. There is, for example, the background of Crimrose and Ivis, the story of Eihwaz, or the meeting between Eris and Resha among others. (Source: Wikipedia)","['Adaptation (Manga) Cosmic Break', '']",Cosmic Break,,['Drama'],,
105,,usatalk,Usatalk,,,['ONA'],1,Finished Airing,"Aug 6, 2010",,,"None found,","None found,","None found,",Original,,,,1 min.,G - All Ages,3.99,#13772,#15264,751,1,403,Usa greets you. (Source: Official site),[],Usatalk,,['Avant Garde'],,
106,The Red,红领巾侠 THE RED,,,,['ONA'],1,Finished Airing,"Sep 27, 2010",,,"None found,","None found,","None found,",Original,,,,4 min.,PG - Children,5.94,#10213,#16527,558,0,242,Short Chinese animation.,[],Hong Ling Jin Xia,,['Action'],['School'],
107,Around The World in 20 Days,喜羊羊與灰太狼之喜羊羊游世博,Pleasant Goat and Big Big Wolf: Pleasant Goat Touring the Expo,,,['ONA'],20,Finished Airing,"Aug 1, 2010 to ?",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy']",,['Kids'],5 min. per ep.,PG - Children,[],#15455,#21593,199,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xi Yangyang Yu Hui Tailang: Xi yangyang You Shibo,,,,
108,The Bright Eleven,泡芙小姐的金鱼缸,Miss Puff's Goldfish Bowl,,,['ONA'],1,Finished Airing,"Sep 16, 2010",,,"None found,","None found,",['Hutoon Animation'],Original,,,,17 min.,R+ - Mild Nudity,[],#20973,#23402,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Pao Fu Xiaojie De Jin Yugang,,['Slice of Life'],['Adult Cast'],
109,Black Lagoon 3,BLACK LAGOON Roberta's Blood Trail,Black Lagoon: Roberta's Blood Trail,Black Lagoon: Roberta´s Blood Trail,Black Lagoon : Roberta's Blood Trail,['OVA'],5,Finished Airing,"Jun 27, 2010 to Jun 22, 2011",,,"['Shogakukan-Shueisha Productions', 'NBCUniversal Entertainment Japan']",['Funimation'],['Madhouse'],['Manga'],,"['Adult Cast', 'Organized Crime']",['Seinen'],33 min. per ep.,R+ - Mild Nudity,8.02,#642,#826,"313,841","1,431",177914,"Crime never sleeps in Roanapur, and neither does Roberta—a devoted maid and skilled guerilla soldier in service to the Venezuelan Lovelace family. After the assassination of her superior by the US Secret Service, Roberta returns to the city of debauchery in search of vengeance and his killer's head. Meanwhile, young Fernando Garcia Lovelace, the new heir to his father's estate, tails Roberta to Thailand alongside his bodyguard, Fabiola Iglesias. He enlists the help of the Lagoon Company, with the objective of deterring Roberta's warpath and bringing her back to the family. However, with the continued bloodshed and mounting tensions between Roberta, island crime factions, and the US military, it will take a significant amount of strategy—and weaponry—to stop her relentless quest for revenge. [Written by MAL Rewrite]","['Prequel (TV) Black Lagoon: The Second Barrage', 'Adaptation (Manga) Black Lagoon']",Black Lagoon: Roberta's Blood Trail,,['Action'],,
110,BRS OVA,ブラック★ロックシューター,,,,['OVA'],1,Finished Airing,"Jul 24, 2010",,,"['Rakuonsha', 'Good Smile Company']","None found,",['Ordet'],Other,"['Action', 'Drama', 'Fantasy']","['School', 'Super Power']",,52 min.,PG-13 - Teens 13 or older,7.09,#3966,#1425,"176,797",796,107434,"On her first day of junior high school, Mato Kuroi meets Yomi Takanashi. Though Yomi is initially taken aback by Mato's straightforward personality, the pair quickly becomes friends and begin to spend time together daily. As a sign of their friendship, Mato gives Yomi a cell phone charm—a blue star, identical to her own. However, when the two enter their second year, their relationship starts to change. Placed in a different class, Mato begins to spend more time with Yuu Koutari instead, a girl she met through the basketball team. In fact, the former best friends drift apart so much so that Mato cannot find Yomi anywhere, as if she had disappeared entirely. Elsewhere, Black★Rock Shooter is on a quest to vanquish the Dead Master. These two, while opposed, bear a connection not unlike Mato and Yomi. As their stories begin to cross, it seems Yomi's disappearance may have to do with the blue star-shaped charm and the legendary gunslinger herself. [Written by MAL Rewrite]","['Prequel (Music) Black★Rock Shooter', 'Adaptation (Manga) Black Rock-chan', 'Adaptation (Manga) Black★Rock Shooter: Innocent Soul', '']",Black★Rock Shooter (OVA),,,,
111,"Sora no Otoshimono OVA, Sora no Otoshimono Special, Lost Property of the Sky OVA, Misplaced by Heaven OVA",そらのおとしもの プロジェクト桃源郷[ピンク],Heaven's Lost Property OVA,,,['OVA'],1,Finished Airing,"Sep 9, 2010",,,['NTT Docomo'],['Funimation'],['AIC ASTA'],['Manga'],"['Comedy', 'Sci-Fi', 'Supernatural', 'Ecchi']",,['Shounen'],23 min.,PG-13 - Teens 13 or older,7.34,#2610,#2066,"111,627",155,60987,"The gang goes to an indoor swimming pool for some fun in the sun. As expected, all hell breaks loose when Tomoki goes on one of his perverted missions. Meanwhile, Nymph is having some issues with the loss of her master and considers asking Tomoki to be her replacement master. This episode was not aired on TV because it was deemed too dangerous...","['Prequel (TV) Sora no Otoshimono', 'Sequel (TV) Sora no Otoshimono Forte', 'Adaptation (Manga) Sora no Otoshimono', '']",Sora no Otoshimono: Project Pink,,,['Harem'],
112,Shakugan no Shana OVA 2,灼眼のシャナS,Shakugan no Shana S: OVA Series,,,['OVA'],4,Finished Airing,"Oct 23, 2009 to Sep 29, 2010",,,"['Geneon Universal Entertainment', 'ASCII Media Works', 'Showgate']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Drama', 'Fantasy', 'Romance']","['School', 'Urban Fantasy']",,28 min. per ep.,PG-13 - Teens 13 or older,7.33,#2680,#2436,"86,347",101,42204,"Find out what happens when Yuji accidentally triggers a found Treasure Tool while it's pointed at Shana! Then, Yuji teams up with Wilhelmina to stalk their fiery friend—whose secrecy has become unsettling. Finally, in a two-part special, Shana tracks a Denizen's trail by sorting through a Torch's memories for clues. Her sleuth skills reveal a teenage girl's heartwarming last days and a predator with a serious identity crisis! (Source: FUNimation)","['Prequel (TV) Shakugan no Shana II (Second)', 'Sequel (TV) Shakugan no Shana III (Final)', 'Adaptation (Manga) Shakugan no Shana', 'Adaptation (Light Novel) Shakugan no Shana']",Shakugan no Shana S,,,,
113,Aki-Sora: Yume no Naka,あきそら～夢の中～,Aki-Sora: In a Dream,,,['OVA'],2,Finished Airing,"Jul 30, 2010 to Nov 17, 2010",,,"['Frontier Works', 'Akita Shoten']","None found,",['Hoods Entertainment'],['Manga'],,,['Seinen'],24 min. per ep.,R+ - Mild Nudity,5.98,N/A,#2546,"80,533",132,46215,"Siblings Aki and Sora Aoi have been in a secret relationship ever since they confessed their feelings to each other on a rainy day. Sora's twin sister Nami—unaware that his affections lie elsewhere—decides to have him join the Fashion Research Club at school in an attempt to set him up with their classmate, Kana Sumiya. However, Nami's actions mask painful truths. While her motives appear like those of a good sister trying to help her brother finally get a girlfriend, she is harboring secret, forbidden feelings of her own. [Written by MAL Rewrite]","['Prequel (OVA) Aki-Sora', 'Adaptation (Manga) Aki-Sora']",Aki-Sora: Yume no Naka,,['Erotica'],,
114,"Toaru Kagaku no Railgun OVA, Toaru Kagaku no Choudenjihou OVA, A Certain Scientific Railgun OVA",とある科学の超電磁砲 御坂さんはいま注目の的ですから,,,,['OVA'],1,Finished Airing,"Sep 26, 2010",,,"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'ASCII Media Works']","None found,",['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",,34 min.,PG-13 - Teens 13 or older,7.44,#2208,#2785,"69,506",36,35553,"Continuing after the Level Upper incident, another phenomenon torments Misaka. A phenomenon called ""Someone's Watching,"" its effect feels like the electricity in one's body flow backwards. With the help of her friends, Misaka fights against the unknown enemy.",[],Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,,,,
115,Kaminomi: Flag 0,神のみぞ知るセカイ: Flag 0,The World God Only Knows: Flag 0,,,['OVA'],1,Finished Airing,"Sep 17, 2010",,,"None found,",['Sentai Filmworks'],['Manglobe'],['Manga'],"['Comedy', 'Supernatural']",,['Shounen'],1 min.,PG-13 - Teens 13 or older,6.88,#4909,#2835,"66,934",57,32539,"Short prologue OVA, bundled with manga volume vol.10. Elsie receives from Dokurou Skull, hell's branch chief of ""counter measures"", the task to go on earth and capture evil spirits that have escaped from hell.","['Sequel (TV) Kami nomi zo Shiru Sekai', 'Adaptation (Manga) Kami nomi zo Shiru Sekai']",Kami nomi zo Shiru Sekai: Flag 0,,,,
116,,その花びらにくちづけを　あなたと恋人つなぎ,A Kiss for the Petals: Becoming Your Lover,,,['OVA'],1,Finished Airing,"Jul 30, 2010",,,"None found,","None found,",['ChuChu'],Visual novel,"['Girls Love', 'Hentai']",,,22 min.,Rx - Hentai,7.24,N/A,#3148,"54,951",496,25816,"Mai Sawaguchi and Reo Kawamura seem far from friends. Despite Mai constantly trying to get along with Reo, they always end up fighting. However, when Mai questions Reo on whether or not she hates her, Reo ends up confessing instead. Confused and surprised, Mai begins to wonder if she feels the same. After school, she meets Reo again, prepared to give an answer. Agreeing that their feelings are mutual, the two girls begin to use each other to fulfill their sexual desires. [Written by MAL Rewrite]",[],Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,,,['School'],
117,,たまゆら,,,,['OVA'],4,Finished Airing,"Sep 6, 2010 to Dec 6, 2010",,,"['Shochiku', 'TYO Animations', 'flying DOG', 'BIGLOBE', 'RAY']",['Nozomi Entertainment'],['HAL Film Maker'],Original,,"['CGDCT', 'Iyashikei']",,18 min. per ep.,G - All Ages,7.14,#3711,#3455,"46,611",128,16283,"As a child, Fuu ""Potte"" Sawatari and her late father would often visit his hometown of Takehara and take pictures of the surroundings together. Now, five years since their last visit, Fuu and her family have moved to the town so that she can start attending high school. Although her father has been deceased for some time, Fuu carries on his legacy through her love of photography and the pictures she takes with his old camera. Believing that photographs have the power to turn the ordinary into something wonderful, Fuu and her friends grab every opportunity they can to capture the magic of everyday life on film and bring happiness to someone in the world who might need it. [Written by MAL Rewrite]","['Sequel (TV) Tamayura: Hitotose', 'Adaptation (Manga) Tamayura']",Tamayura,,['Slice of Life'],,
118,,くっつきぼし,,,,['OVA'],2,Finished Airing,"Aug 16, 2010 to May 11, 2012",,,"None found,","None found,",['Primastea'],Original,"['Drama', 'Girls Love', 'Supernatural', 'Erotica']",,,22 min. per ep.,R+ - Mild Nudity,5.98,N/A,#3580,"43,856",123,22183,"To Kiiko Kawakami, there was nothing in the world as important to her as Aaya Saitou. Something about her allured Kiiko to the extent that there was no sound sweeter to her ears than Aaya's voice and no sight more beautiful than her hair softly billowing in the wind. It was for that reason she let Aaya in on her secret: last year, she had gained psychic powers from an accident that changed her life. Kuttsukiboshi is a story of infatuation and romance between two girls as their feelings for one another reach the tipping point. Unable to deny their heartfelt desires, the two give into them and make many sweet memories together around the school—testing the bounds of Kiiko's powers and how far they can go without being caught in the midst of their trysts. However, will things remain as they are when Kiiko discovers the love of her life has a dark secret of her own?",[],Kuttsukiboshi,,,,
119,"Toaru Beach no Tokuten Eizo, Toaru Kagaku no Railgun: Episode 13' - Being a Photo Shoot Model Under the Hot Sun Isn't Easy, Is It?",とある科学の超電磁砲(レールガン) 13'話『炎天下の撮影モデルも楽じゃありませんわね。』,,,,['OVA'],1,Finished Airing,"Jul 24, 2010",,,"None found,","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Ecchi']",,,4 min.,PG-13 - Teens 13 or older,6.78,#5456,#3645,"42,502",22,20073,Special beach episode bundled with the official visual book.,[],Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,,,,
120,Kimi to Isshou no Asa,プリンセスラバー! OVA,,,,['OVA'],2,Finished Airing,"Sep 17, 2010 to Oct 22, 2010",,,"['Hoods Entertainment', 'L.']","None found,",['Public Enemies'],Visual novel,,,,27 min. per ep.,Rx - Hentai,6.70,N/A,#3849,"38,175",126,17606,"After his parents are killed in an accident, Teppei Kobayashi is adopted by his grandfather, Isshin Arima. After taking his grandfather's name, Teppei is made the heir to the Arima Financial Combine, one of the leading forces in the Japanese industry. As befits the heir to an industrial empire, he is enrolled in one of Japan's most prestigious international schools. There, Teppei finds himself surrounded by women of noble bearing and status. He quickly falls for Sylvia van Hossen, a European princess and fencing master. But Sylvia is aloof and difficult to read, and his maid, Yuu Fujikura, seems to have her own agenda. Will Teppei become the Princess Lover, or is his romance with Sylvia destined for failure?","['Adaptation (Light Novel) Princess Lover! Sylvia van Hossen no Koiji', '']",Princess Lover! OVA,,['Hentai'],,
121,"Hentai Seiri Seminar, Hen Semi, Abnormal Physiology Seminar, Hen Zemi OVA",変ゼミ,,,,['OVA'],2,Finished Airing,"Jul 23, 2010 to Mar 23, 2011",,,['Starchild Records'],"None found,",['Xebec'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],26 min. per ep.,R+ - Mild Nudity,6.47,#7268,#4370,"29,152",41,11490,"Matsutaka Nanako is a normal university student, who happened to enroll in an Abnormal Physiology seminar. She tries to keep her mental state sound, but other abnormal classmates start to influence her personality... (Source: MU)","['Adaptation (Manga) HenSemi', '']",HenSemi,,,['Adult Cast'],
122,"Queen's Blade OVA, Utsukushiki Toshi-tachi, Utsukushiki Toushi-tachi, Queen's Blade: Beautiful Fighters",クイーンズブレイド 美しき闘士たち,Queen's Blade: Beautiful Warriors,,,['OVA'],6,Finished Airing,"Aug 8, 2010 to Mar 14, 2011",,,"['Genco', 'Media Factory', 'AT-X', 'Hobby Japan']","['Sentai Filmworks', 'NYAV Post']",['Arms'],Other,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,,28 min. per ep.,R+ - Mild Nudity,6.51,#7019,#4766,"24,005",24,8330,Queen's Blade OVA. Contains short stories from the lives of the warriors after the Queen's Blade competition.,"[""Prequel (TV) Queen's Blade: Gyokuza wo Tsugu Mono"", ""Sequel (OVA) Queen's Blade OVA"", 'Sequel (OVA) Vanquished Queens', '']",Queen's Blade: Utsukushiki Toushi-tachi,Queen's Blade: Beautiful Warriors,,,
