,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Themes,French,German,Demographics
30,,神兽金刚,,,['TV'],46,Finished Airing,"Jan 15, 2009 to Dec 31, 2010",['Winter 2009'],Tuesdays at 08:30 (JST),"None found,","None found,","None found,",Original,,['Mecha'],['Kids'],15 min. per ep.,G - All Ages,[],#14113,#22144,170,0,,"Many years ago, the ambitious Dark Emperor who wanted to rule the universe endangered the environment and destroyed peace. In order to stop him, the leader of the universe, Big Dipper King, finally sealed the Dark Emperor under the polar ice rocks after a great battle. In order to prevent the Dark Emperor from breaking the seal, the Big Dipper King discovered the six God Beasts of the Earth under the guidance of the Earth’s monks. Fusing technology and the energy of the Big Dipper, he created six God Beasts Mechas and left behind his son, the Qilin King. The six God Beast Mechas are Qilin, Qinglong, Baihu, Xuanwu, Zhuque, and Yinglong. Only six children with super powers can pilot these God Beasts.","['Sequel (TV) Shen Shou Jin Gang 2: Tianshen De Shou', '']",Shen Shou Jin Gang,"['Action', 'Sci-Fi']",,,,
31,,꼬마버스 타요 (파일럿판),,,['TV'],5,Finished Airing,"Dec 16, 2008 to Jan 13, 2009",['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,,['Racing'],['Kids'],5 min. per ep.,G - All Ages,[],#19476,#22420,159,0,,Pilot episodes of Kkoma Bus Tayo.,"['Sequel (TV) Kkoma Bus Tayo', '']",Kkoma Bus Tayo Pilot,,,,,
32,,吉祥猫可可,Copy Cat,,['TV'],26,Finished Airing,Jan 2009 to Jan 2011,['Winter 2009'],Unknown,"None found,","None found,","None found,",Unknown,['Fantasy'],,['Kids'],12 min. per ep.,PG - Children,[],#19112,#23593,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jixiang Mao Keke,,,,,
33,,星猫漫游记,,,['TV'],26,Finished Airing,Feb 2009 to Feb 2010,['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,['Fantasy'],,['Kids'],12 min. per ep.,PG - Children,[],#15803,#24415,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Xing Mao Man Youji: San Jincun', '']",Xing Mao Man Youji,,,,,
34,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,597,956","115,640",1728599,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,"['Action', 'Adventure', 'Fantasy']",,Naruto Shippuden,Naruto Shippuden,
35,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,380","234,727",1419513,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,"['Action', 'Adventure', 'Fantasy']",,,,
36,Tiger X Dragon,とらドラ！,Toradora!,,['TV'],25,Finished Airing,"Oct 2, 2008 to Mar 26, 2009",['Fall 2008'],Thursdays at 01:20 (JST),"['Genco', 'Starchild Records', 'Yomiko Advertising', 'Magic Capsule', 'TV Tokyo Music']","['NIS America, Inc.']",['J.C.Staff'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,8.05,#604,#25,"2,277,813","57,427",1422301,"Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger."" One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend! Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process. [Written by MAL Rewrite]","['Adaptation (Manga) Toradora!', 'Adaptation (Light Novel) Toradora!']",Toradora!,"['Drama', 'Romance']","['Love Polygon', 'School']",,,
37,,BLEACH - ブリーチ -,Bleach,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,074,732","78,039",1188618,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,"['Action', 'Adventure', 'Supernatural']",,,,
38,,ソウルイーター,Soul Eater,,['TV'],51,Finished Airing,"Apr 7, 2008 to Mar 30, 2009",['Spring 2008'],Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory', 'Fonishia']",['Funimation'],['Bones'],['Manga'],,['School'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.85,#919,#64,"1,686,545","28,434",870205,"Death City is home to the famous Death Weapon Meister Academy (Shibusen), a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise Death Scythes for the Shinigami to wield against the many evils of their fantastical world. These Death Scythes, however, are not made from physical weapons; rather, they are born from human hybrids who have the ability to transform their bodies into Demon Weapons, and only after they have consumed the souls of 99 evil beings and one witch's soul. Soul Eater Evans, a Demon Scythe who only seems to care about what's cool, aims to become a Death Scythe with the help of his straight-laced wielder, or meister, Maka Albarn. The contrasting duo work and study alongside the hot headed Black☆Star and his caring weapon Tsubaki, as well as the Shinigami's own son, Death the Kid, an obsessive-compulsive dual wielder of twin pistols Patty and Liz. As they take on missions to collect souls and protect the city from the world's threats, the Shibusen students work together under the snickering sun to become sounder in mind, body, and soul. [Written by MAL Rewrite]","['Adaptation (Manga) Soul Eater', '']",Soul Eater,"['Action', 'Comedy', 'Fantasy']",,,,
39,,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,Clannad: After Story,Clannad ~After Story~,['TV'],24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",['Fall 2008'],Fridays at 01:59 (JST),"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],['Kyoto Animation'],Visual novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#16,#120,"1,232,203","71,470",676897,"Tomoya Okazaki and Nagisa Furukawa have graduated from high school, and together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds. Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose. [Written by MAL Rewrite]","['Prequel (TV) Clannad', '']",Clannad: After Story,"['Drama', 'Romance']",,Clannad ~After Story~,Clannad ~After Story~,
40,"Kuro Shitsuji, Kuroshitsuzi",黒執事,Black Butler,El Mayordomo Oscuro,['TV'],24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",['Fall 2008'],Fridays at 01:25 (JST),"['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound', 'Hakuhodo DY Media Partners']","['Funimation', 'Aniplex of America']",['A-1 Pictures'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.65,#1423,#121,"1,225,357","23,016",627264,"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye? In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart. [Written by MAL Rewrite]","['Sequel (TV) Kuroshitsuji II', 'Sequel (TV) Kuroshitsuji: Book of Circus', 'Adaptation (Manga) Kuroshitsuji', '']",Kuroshitsuji,"['Action', 'Mystery', 'Supernatural']","['Historical', 'Mythology']",Black Butler,Black Butler,
41,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,512","60,226",408343,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
42,Toaru Majutsu no Kinsho Mokuroku,とある魔術の禁書目録,A Certain Magical Index,A Certain Magical Index,['TV'],24,Finished Airing,"Oct 5, 2008 to Mar 19, 2009",['Fall 2008'],Sundays at 01:35 (JST),"['Square Enix', 'AT-X', 'ASCII Media Works', 'Kadokawa Contents Gate', 'Geneon Entertainment']",['Funimation'],['J.C.Staff'],['Light novel'],,,,23 min. per ep.,R - 17+ (violence & profanity),7.34,#2615,#238,"841,945","5,652",396786,"Academy City, Japan, is at the forefront of science. Besides being 30 years ahead of the world technologically, more than three-fourths of this peculiar city's population consists of students developing their psychic abilities as espers in various institutions. Among these students is Touma Kamijou, a high school boy with the lowest psychic rank of zero, but with a mysterious power no scientist can understand: ""Imagine Breaker,"" which allows him to negate other supernatural abilities. This, however, doesn't affect Kamijou's life in the least as he plays his role as a regular teenager; that is, until he meets the strange Index Librorum Prohibitorum, a young girl who has memorized the entirety of the forbidden grimoires, and now a dangerous organization is hunting Index down. With several magicians looking to harm the girl, Kamijou will defend his new companion at all costs as he discovers a strange new realm of the supernatural. [Written by MAL Rewrite]","['Sequel (TV) Toaru Majutsu no Index II', 'Adaptation (Manga) Toaru Majutsu no Index', 'Adaptation (Light Novel) Toaru Majutsu no Index', '']",Toaru Majutsu no Index,"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",A Certain Magical Index,A Certain Magical Index,
43,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",家庭教師ヒットマンREBORN!,Reborn!,Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.12,#499,#415,"570,848","16,015",264913,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,"['Action', 'Comedy']","['Organized Crime', 'Super Power']",Mon prof le tueur Reborn!,,
44,Detective Conan,名探偵コナン,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#706,"360,796","15,330",164319,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,"['Adventure', 'Comedy', 'Mystery']",,,Case Closed,
45,,スキップ・ビート！,Skip Beat!,,['TV'],25,Finished Airing,"Oct 6, 2008 to Mar 30, 2009",['Fall 2008'],Mondays at 02:00 (JST),"['Sotsu', 'Pony Canyon', 'Hakusensha', 'TV Tokyo Music', 'Omnibus Promotion']",['Pied Piper'],['HAL Film Maker'],['Manga'],,,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,8.07,#575,#928,"277,771","5,262",143874,"Day in and day out, Kyouko Mogami works multiple jobs to support her childhood friend, Shoutarou ""Shou"" Fuwa, in his rise to stardom as an idol. She never complains about her way of life, as she is deeply infatuated with Shou and would go to the ends of the world for him. However, her heart is broken when she overhears Shou talk about how he views her as nothing more than a maid he cares little for. Angered over being used, Kyouko flies into a rage and swears to get revenge on her former crush by entering the world of showbiz to surpass him. Joining the relentless and unforgiving entertainment industry proves to be a challenge, as she continuously meets people who force her out of her comfort zone. But for the sake of vengeance, Kyouko is determined to push herself and rise to the top. [Written by MAL Rewrite]","['Adaptation (Manga) Skip Beat!', '']",Skip Beat!,"['Comedy', 'Drama', 'Romance']","['Love Polygon', 'Showbiz']",,,
46,"ONE OUTS Nobody wins, but I!",ワンナウツ,One Outs,,['TV'],25,Finished Airing,"Oct 8, 2008 to Apr 1, 2009",['Fall 2008'],Unknown,"['VAP', 'Nippon Television Network', 'D.N. Dream Partners']","None found,",['Madhouse'],['Manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,8.32,#258,#1046,"247,232","4,134",119266,"Toua Tokuchi is a prodigy when it comes to both baseball and gambling. Pitching nothing but mediocre fastballs, he has made a name for himself by attaining 499 consecutive victories in the game of One Outs: a one-on-one showdown between a pitcher and a batter. Despite his remarkable abilities, however, Tokuchi sees the sport as nothing more than a way to make some quick money. When Hiromichi Kojima, a legendary hitter for the struggling Saikyou Saitama Lycaons, witnesses Tokuchi's skills firsthand, he realizes that the man might be exactly what the team needs to get out of their slump. Determined to recruit Tokuchi no matter what, Kojima places his own career on the line and defeats Tokuchi at his own specialty—One Outs. Forced to become a Lycaon, Tokuchi soon finds himself at odds with the team's owner, Tsuneo Saikawa. After Saikawa refuses to give him a reasonable salary, Tokuchi proposes a special contract: pitching an out will earn him five million yen, but giving up a run will cost him fifty million. With every game having the potential to either make or break him, Tokuchi must outwit all who stand in his way. [Written by MAL Rewrite]","['Adaptation (Manga) One Outs', '']",One Outs,"['Sports', 'Suspense']","['Adult Cast', 'Psychological', 'Team Sports']",,,
47,,イナズマイレブン,,,['TV'],127,Finished Airing,"Oct 5, 2008 to Apr 27, 2011",['Fall 2008'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio']","None found,",['OLM'],Game,['Sports'],,,24 min. per ep.,G - All Ages,7.74,#1187,#1145,"227,020","4,461",138522,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck. Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?","['Sequel (TV) Inazuma Eleven Go', 'Adaptation (Manga) Inazuma Eleven', 'Adaptation (Manga) Inazuma Eleven: Special', '']",Inazuma Eleven,,"['Super Power', 'Team Sports']",,,
48,"Michiko e Hatchin, Michiko to Hacchin",ミチコとハッチン,Michiko & Hatchin,,['TV'],22,Finished Airing,"Oct 16, 2008 to Mar 19, 2009",['Fall 2008'],Unknown,"['Media Factory', 'Shochiku', 'Yomiko Advertising', 'Fuji TV']",['Funimation'],['Manglobe'],Original,,,,22 min. per ep.,R - 17+ (violence & profanity),7.83,#967,#1225,"211,033","2,553",63533,"Under the unrelenting heat of the South American sun, hardened criminal Michiko Malandro breaks out of a high security prison for the fourth time in search of a man from her past. Michiko finds a clue in the form of Hana Morenos, a young girl trapped under the fists of her abusive foster family. In her powerlessness, Hana fantasizes about the day when she is finally whisked away from her captors by her very own Prince Charming. Little does she know that her fated prince would turn out to be the buxom and husky convict who charges in atop a stolen motorbike, claiming to be her mother. The unlikely duo chase down their dreams in the sun-drenched land of Diamandra, navigating through the cacophony of betrayal, poverty, and child exploitation rings hiding in plain sight. However, wind of Michiko's manhunt soon reaches the ears of criminal syndicate Monstro Preto, and a storm of gang warfare begins brewing over the horizon… Michiko to Hatchin is the story of vibrant people and their clashing agendas, and of all the unlikely human connections drawn together by one elusive man. [Written by MAL Rewrite]",[],Michiko to Hatchin,"['Action', 'Adventure']",,Michiko e Hatchin,Michiko & Hatchin,
49,,キャシャーン SINS,Casshern Sins,,['TV'],24,Finished Airing,"Oct 2, 2008 to Mar 16, 2009",['Fall 2008'],Thursdays at 01:30 (JST),"['Tatsunoko Production', 'Showgate', 'Hakuhodo DY Media Partners', 'USEN', 'Geneon Entertainment', 'Toei Academy']",['Funimation'],['Madhouse'],Other,,['Psychological'],,23 min. per ep.,R - 17+ (violence & profanity),7.50,#1945,#1470,"171,649","1,863",58206,"In a distant future, Earth has become a wasteland and humanity as we know it has died out. All that remains are sentient robots. They were supposed to be able to live forever—until the one called Luna died and the Ruin started. Their bodies will rust, and there is nothing that can be done to fix it. Now the robots are left only to contemplate their deaths, kept going only by the rumor that if they eat the one called Casshern, they will gain immortality. Casshern knows nothing about his past, why he exists, or what he is, but he must find out, or he will face the constant torment of being hunted by robots who don't want to die. Casshern leaves death wherever he goes, but he must face it if he is to find out the truth of this world. [Written by MAL Rewrite]",[],Casshern Sins,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,,
50,"Kidou Senshi Gundam 00 2nd Season, Mobile Suit Gundam 00 2nd Season, Gundam 00 S2",機動戦士ガンダム00 セカンドシーズン,Mobile Suit Gundam 00: Second Season,Mobile Suit Gundam 00 Temporada 2,['TV'],25,Finished Airing,"Oct 5, 2008 to Mar 29, 2009",['Fall 2008'],Sundays at 17:00 (JST),['Mainichi Broadcasting System'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,,,,24 min. per ep.,R - 17+ (violence & profanity),8.07,#568,#1597,"156,167","1,403",96802,"In the year 2311 AD, a world that once saw itself full of inter-continental conflict now stands unified, led by the Earth Sphere Federation (ESF). The ESF established a preventative military task force known as the A-Laws, tasking them with shutting down violent terrorist organizations. As they gain more and more legal authority, the A-Laws begin to twist the law to fit their own agenda, ruling the citizens of Earth with a heavy hand. In response to the fascistic behavior of the A-Laws, the anti-terrorist group Celestial Being reappears. Led by state-of-the-art mobile suits known as Gundam, the pilots of Celestial Being wage a new war with the A-Laws, aiming to stop their tyrannical abuse of power. Setsuna F. Seiei, pilot of the Gundam Exia, helps to lead the charge along with his fellow Gundam Meisters Lockon Stratos, Allelujah Haptism, and Tieria Erde. But in the process, Setsuna stumbles upon a conspiratorial plot spearheaded by a new faction, the Innovators, and must contend with his own old wounds and ghosts of the past in order to save a world that despises him. [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam 00', 'Sequel (Movie) Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer', 'Adaptation (Manga) Kidou Senshi Gundam 00 2nd.Season', 'Adaptation (Manga) Kidou Senshi Gundam 00 Second Season']",Kidou Senshi Gundam 00 Second Season,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",Mobile Suit Gundam 00: Saison 2,Mbile Suit Gundam 00: Second Season,
51,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,Pokémon Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,,,['Kids'],23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,178",537,94722,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Pokémon Diamond and Pearl,Pokémon: Diamant und Perl,
52,"Yuu Gi Ou: Duel Monsters 5DS, Yugioh 5 D's",遊☆戯☆王5D's（ファイブディーズ）,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,['TV'],154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",['Spring 2008'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],['Action'],['Strategy Game'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#1667,"147,902","1,636",85918,"Yuusei Fudou is out to get back what was stolen from him. The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City. In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', ""Adaptation (Manga) Yu☆Gi☆Oh! 5D's""]",Yu☆Gi☆Oh! 5D's,,,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,
