,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Themes,Spanish,Demographics
21,,夏のあらし！,Summer Storm!,,['TV'],13,Finished Airing,"Apr 6, 2009 to Jun 29, 2009",['Spring 2009'],Mondays at 01:30 (JST),"['Starchild Records', 'Rakuonsha']",['Maiden Japan'],['Shaft'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",['Time Travel'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.23,#3209,#3113,"56,283",85,14928,"In modern-day Japan, 13-year-old Hajime Yasaka moves to the countryside to stay with his grandfather. On the way to his new home, a lost Hajime finds himself in a cafe called Ark, where he immediately falls in love with one of the waitresses: the gorgeous Sayoko ""Arashi"" Arashiyama. While Arashi is initially unconcerned with the boy, her attitude quickly changes after she grasps Hajime's hand, leading her to believe they are ""connected."" As it turns out, Arashi is anything but a regular teenager—in reality, she is the ghost of a girl who perished in World War II. By touching a man she connects with, she gains the ability to travel back in time. Delighted to have found someone who can unlock her powers, Arashi asks Hajime to help with her mission: to save civilians from the carnage of the war that claimed her life. Smitten with Arashi, Hajime readily agrees. But as the two get further involved with Arashi's past, they soon discover that she is not the only one able to transcend time. [Written by MAL Rewrite]","['Sequel (TV) Natsu no Arashi! Akinaichuu', 'Adaptation (Manga) Natsu no Arashi!']",Natsu no Arashi!,,,,Natsu no Arashi,
22,,リストランテパラディーゾ,Ristorante Paradiso,,['TV'],11,Finished Airing,"Apr 9, 2009 to Jun 25, 2009",['Spring 2009'],Thursdays at 02:08 (JST),"['Fuji TV', 'Fujipacific Music', 'Sony PCL', 'Omnibus Promotion']",['Nozomi Entertainment'],['David Production'],['Manga'],"['Drama', 'Gourmet', 'Romance']",['Workplace'],,22 min. per ep.,PG-13 - Teens 13 or older,7.29,#2879,#3356,"48,964",177,14458,"When Nicoletta was a little girl, her mother, Olga, abandoned her and ran off to Rome to remarry. Now, 15 years later and a young woman, she travels to Rome with the intention of ruining her mother's life. She tracks Olga down to a restaurant called Casetta dell'Orso, but the second Nicoletta steps through its door, everything changes. It's a peculiar place staffed entirely by mature gentlemen wearing spectacles, and like their clientele, she is helpless against their wise smiles and warm voices. Before Nicoletta realizes it, her plans for vengeance start to fade, and she's swept up in the sweet romance of everyday Italian life. (Source: Right Stuf)","['Adaptation (Manga) Ristorante Paradiso', 'Adaptation (Manga) Gente: Ristorante no Hitobito']",Ristorante Paradiso,,,,,
23,,バスカッシュ！,,,['TV'],26,Finished Airing,"Apr 3, 2009 to Oct 2, 2009",['Spring 2009'],Fridays at 01:25 (JST),['Mainichi Broadcasting System'],['Maiden Japan'],['Satelight'],Original,"['Sci-Fi', 'Sports']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.19,#3408,#3370,"48,390",186,18812,"On the planet Earthdash, its inhabitants gaze on its moon and the technologically advanced lunar city of Mooneyes with awe. Dan JD, a boy living in Rollingtown on Earthdash's surface, gets caught up in Bigfoot Basketball—a fast-paced sport played with giant Bigfoot robots. (Source: AniDB)","['Adaptation (Manga) Basquash!', '']",Basquash!,,,"['Mecha', 'Team Sports']",,
24,,グイン・サーガ,,,['TV'],26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",['Spring 2009'],Sundays at 23:29 (JST),"['Aniplex', 'BIGLOBE', 'Hayakawa Shobou']",['Sentai Filmworks'],['Satelight'],['Light novel'],"['Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.15,#3655,#3502,"45,629",132,15976,"He awakens in the dark forest of a mythical land with some type of leopard mask that he cannot remove. The only thing he remembers is his name—Guin—and that he is a warrior of unimaginable power. And when the two twins of Parros, innocent victims of a civil war arrive, Guin knows what he must do. But the journey to save the children means much more than just slaughtering a few hundred well-trained Mongoul soldiers. Victory means he must battle magical desert tribes, assemble forces that have fought each other for hundreds of hears, and divine a mysterious plan that he is central to. Prepare for a sweeping anime epic of mystery and magic! Of violent clashes and dark double-crosses. Ready yourself for the battle with Guin Saga. (Source: Sentai Filmworks, edited)","['Adaptation (Light Novel) Guin Saga', '']",Guin Saga,,,,,
25,"Chii's Sweet Home 2, Chi's Sweet Home: A New Home",チーズスイートホーム あたらしいおうち,Chi's New Address,Chi's Sweet Home: Chi's New Address,['TV'],104,Finished Airing,"Mar 30, 2009 to Sep 24, 2009",['Spring 2009'],Not scheduled once per week,"None found,",['Discotek Media'],['Madhouse'],['Manga'],,['Pets'],['Seinen'],3 min. per ep.,G - All Ages,7.71,#1257,#4211,"31,362",111,12763,"The Yamadas and Chi move to a new apartment house, where keeping a pet is allowed.","[""Prequel (TV) Chi's Sweet Home"", ""Sequel (OVA) Chi's Sweet Home: Chi to Kocchi, Deau."", ""Adaptation (Manga) Chi's Sweet Home"", '']",Chi's Sweet Home: Atarashii Ouchi,Chi's Sweet Home: Chi's New Address,['Slice of Life'],,Chi's Sweet Home: Chi's New Address,
26,,神曲奏界ポリフォニカcrimsonS,Polyphonica Crimson S,,['TV'],12,Finished Airing,"Apr 5, 2009 to Jun 21, 2009",['Spring 2009'],Unknown,"['Lantis', 'Yomiko Advertising', 'Pony Canyon', 'Magic Capsule', 'SoftBank Creative', 'T.O Entertainment']",['Maiden Japan'],['Diomedéa'],['Light novel'],"['Drama', 'Fantasy', 'Romance']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.11,#3874,#4667,"25,183",41,9228,"The new series will again focus on Corticarte, but it will tie into Ichiro Sakaki and Noboru Kannatsuki's Shinkyoku Sōkai Polyphonica crimson S light novel adaptation, which are set during the Academy years of the storyline. (Source: ANN)","['Sequel (TV) Shinkyoku Soukai Polyphonica', 'Adaptation (Light Novel) Shinkyoku Soukai Polyphonica Crimson S']",Shinkyoku Soukai Polyphonica Crimson S,,,"['Music', 'School']",,
27,Soten Koro,蒼天航路,Beyond the Heavens,,['TV'],26,Finished Airing,"Apr 8, 2009 to Sep 30, 2009",['Spring 2009'],Unknown,['VAP'],"None found,",['Madhouse'],['Manga'],"['Action', 'Adventure']",['Historical'],,23 min. per ep.,R+ - Mild Nudity,7.20,#3380,#5177,"19,658",50,4549,"Souten Kouro's story is based loosely on the events taking place in Three Kingdoms period of China during the life of the last Chancellor of the Eastern Han Dynasty, Cao Cao (155 – March 15, 220), who also serves as the main character. The Three Kingdoms period has been a popular theme in Japanese manga for decades, but Souten Kouro differs greatly from most of the others on several points. One significant difference is its highly positive portrayal of its main character, Cao Cao, who is traditionally the antagonist in not only Japanese manga, but also most novel versions of the Three Kingdoms period, including the original 14th century version, Romance of the Three Kingdoms by Luo Guanzhong. Another significant difference from others is that the storyline primarily uses the original historical account of the era, Records of Three Kingdoms by Chen Shou, as a reference rather than the aforementioned Romance of the Three Kingdoms novel. By this, the traditional hero of Romance of the Three Kingdoms, Liu Bei, takes on relatively less importance within the story and is portrayed in a less positive light. Yet, several aspects of the story are in fact based on the novel version, including the employment of its original characters such as Diao Chan, as well as anachronistic weapons such as Guan Yu's Green Dragon Crescent Blade and Zhang Fei's Viper Blade. A consistent theme throughout the story is Cao Cao's perpetual desire to break China and its people away from its old systems and ways of thinking and initiate a focus on pragmatism over empty ideals. This often puts him at odds with the prevalent customs and notions of Confucianism and those that support them. (Source: Wikipedia)","['Adaptation (Manga) Souten Kouro', '']",Souten Kouro,,,,,
28,"Slap Up Party Arad Senki, Dungeon & Fighter - The Animation, Dungeon & Fighter - Arad Senki",アラド戦記 ～スラップアップパーティー～,,,['TV'],26,Finished Airing,"Apr 4, 2009 to Sep 26, 2009",['Spring 2009'],Saturdays at 02:45 (JST),"['Studio Mausu', 'Sotsu Music Publishing', 'Future Vision Music']","None found,",['Gonzo'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.67,#6086,#5408,"17,537",32,6270,"The anime will follow the adventures of Baron, a man living on continent of Arad in the year 981 after ""the cursed light of Kazan"" has fallen across the land. Thanks to the curse, one of his arms has become possessed. After finding a sword that has been possessed by the spirit Roxy, he embarks on a quest to unravel the secret of the curse and meets various people who also join his party. (Source: ANN)","['Adaptation (Manga) Arad Senki: Slap Up Party', '']",Arad Senki: Slap Up Party,,,,,
29,"Shin Mazinger Shogeki! Z-hen, True Mazinger, Z Mazinger",Ｚマジンガー; 真マジンガー 衝撃！Z編,Mazinger Edition Z: The Impact!,Mazinger Edition Z: The Impact!,['TV'],26,Finished Airing,"Apr 4, 2009 to Sep 26, 2009",['Spring 2009'],Saturdays at 23:20 (JST),"['Bandai Visual', 'Lantis', 'Dynamic Planning']",['Discotek Media'],"['Bee Media', 'Code']",['Manga'],"['Action', 'Drama']",,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.65,#1432,#5489,"16,818",165,5872,"Set in the near future, humanity enters another energy revolution following the discovery of Photon Power. Derived from the ore discovered under the foothills of Mt. Fuji, its intended use was to solve the world's energy problems with its unimaginable power. Seeking this energy is Dr. Hell, a madman craving world domination who with his subordinates Baron Ashura, Count Brocken and Viscount Pygman, commands an army of mechanical beasts excavated from the ruins of ancient Greece to seize the Photon Power Lab for himself. Meeting the attack head on is the hot-blooded teenager Kabuto Kouji, who pilots the Photon Powered robot built by his grandfather, Mazinger Z. But in this battle between Dr. Hell and the Kabuto family, many legends surrounding the Mycenaean Civilization and Bardos Island, as well as the secrets of Mazinger Z remain shrouded in mystery. A new series based on the mecha show that started it all, Mazinger Z. Shin Mazinger Shougeki! Z-Hen starts over from the beginning with a new cast, to tell a new story unrelated to the original show. (Source: shin-mazinger.com)","['Adaptation (Manga) Mazinger Z', 'Adaptation (One-shot) Mazinger Z : Relic of Terror']",Shin Mazinger Shougeki! Z-hen,Mazinger Edition Z: The Impact!,,"['Mecha', 'Super Power']",Mazinger Edition Z: The Impact!,
30,Jewel Pet,ジュエルペット,Jewelpet,,['TV'],52,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 09:30 (JST),"['TV Osaka', 'Sanrio', 'Imagine']","None found,",['Studio Comet'],Original,,,,23 min. per ep.,PG - Children,6.80,#5345,#5910,"13,926",43,4475,"When what looks to be a cluster of shooting stars appear in the sky, Rinko Kougyoku and her friend Minami each make a wish. What the girls truly saw were not stars, but 'Jewel Charms' falling to the Earth. These charms were created by three magicians in a magical world names Jewel Land, each housing one of its many native Jewelpets. Although these creatures are free to roam the world in their original form, the magicians sometimes turn them into charms so that they can be carried around with great ease. Most Jewelpets don't find this troublesome, but once a mischievous bunny by the name of Ruby feels overly claustrophobic, she devises her escape. One day, the magicians decide to move the Jewelpets, and task a pelican with delivering them to the Dream Forest. All is well until a strong gust of wind disorients the bird, who then drops all of the charms that he was carrying. Instead of heading towards the Dream Forest, all the Jewelpets but Ruby fall to Rinko's home city on Earth. Someone must go and retrieve them all, and as Ruby was the worst-behaved of the bunch, she is given the task of going to Earth. When Ruby reaches Earth in the form of a red Jewel Charm, she falls into Rinko's water glass, and thus begins a rather unexpected adventure. Rinko, Minami, and Ruby form an alliance to search and gather all of the fallen charms, encountering strange creatures and tons of helpful allies along the way. Will they be able to succesfully bring the Jewelpets home safely, or is Earth full of more danger than they had expected?","['Sequel (TV) Jewelpet Twinkle☆', 'Adaptation (Manga) Jewel Pet']",Jewelpet,,['Fantasy'],"['Anthropomorphic', 'Mahou Shoujo']",,
31,Gokujo!! Mecha Mote Iincho,極上!!めちゃモテ委員長,The Best!! Extremely Cool Student Council President,,['TV'],51,Finished Airing,"Apr 4, 2009 to Mar 27, 2010",['Spring 2009'],Saturdays at 09:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Ryukyu Asahi Broadcasting']","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],"['Comedy', 'Romance']",['School'],['Shoujo'],24 min. per ep.,PG - Children,6.35,#7973,#7071,"8,985",19,2797,"Mimi Kitagami is a kind, level-headed girl who aims to be the best, coolest student council president of her high school class. However, three trouble-making boys are always causing her grief — and she has a one-sided crush on one of the boys, Ushio Toujou. (Source: ANN)","['Sequel (TV) Gokujou!! Mecha Mote Iinchou Second Collection', 'Adaptation (Manga) Gokujou!! Mecha Mote Iinchou']",Gokujou!! Mecha Mote Iinchou,,,,,
32,"Anne of Green Gables Prequel, Akage no Anne Prequel",こんにちは アン ～Before Green Gables,Before Green Gables,,['TV'],39,Finished Airing,"Apr 5, 2009 to Dec 27, 2009",['Spring 2009'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],Novel,,['Historical'],,20 min. per ep.,G - All Ages,7.63,#1466,#7221,"8,542",50,2494,The story of what happened to Anne Shirley before she was adopted.,"['Sequel (TV) Akage no Anne', '']",Konnichiwa Anne: Before Green Gables,,['Drama'],,,
33,Hige Piyo,"ひげぴよ, ヒゲぴよ",,,['TV'],39,Finished Airing,"Apr 3, 2009 to Feb 19, 2010",['Spring 2009'],Unknown,['Aniplex'],"None found,",['Kinema Citrus'],Original,,,,5 min. per ep.,PG - Children,7.07,#4067,#8168,"6,260",16,2695,"Higepiyo is a little chick with a mustache, who is seeking to aquire masculinity with his friend Hiroshi but ends up being entangled with a skin of heated milk.",[],Higepiyo,,['Comedy'],,,
34,"Marie to Gali, Marie and Gali",マリー & ガリー,,,['TV'],40,Finished Airing,"Mar 31, 2009 to Mar 23, 2010",['Spring 2009'],Tuesdays at 19:25 (JST),['NHK'],"None found,",['Toei Animation'],Original,,['Educational'],,5 min. per ep.,PG-13 - Teens 13 or older,6.38,#7813,#8654,"5,458",11,1483,"Marika is a gothic lolita who somehow ends up in the mysterious town of Galihabara. There she meets different famous scientists like Galileo Galilei, Marie Skłodowska Curie and Sir Isaac Newton.","['Prequel (Special) Marie & Gali Episode Zero', 'Sequel (TV) Marie & Gali ver. 2.0']",Marie & Gali,,['Comedy'],,,
35,,ピーピング・ライフ,Peeping Life: The Perfect Edition,,['TV'],10,Finished Airing,"May 14, 2009 to Aug 11, 2009",['Spring 2009'],Unknown,['CoMix Wave Films'],"None found,","None found,",Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.17,#12965,#10127,"3,410",3,1016,Slice of life comedy about pitfalls of Japanese society.,"['Sequel (OVA) Peeping Life: The Perfect Emotion', '']",Peeping Life,,,,,
36,"Mainichi Kaa-san, Every Day Mom",毎日かあさん,Kaasan: Mom's Life,Kaasan Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],"['Comedy', 'Slice of Life']",['Childcare'],,20 min. per ep.,PG - Children,7.22,#3274,#10187,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,Kaasan Mom's Life,,,Kaasan Mom's Life,
37,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,['Kids'],6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,884",9,739,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,,,
38,"Charady no Jokena Mainichi, Charady's Daily Joke",キャラディのジョークな毎日,,,['TV'],365,Finished Airing,"Apr 1, 2009 to Mar 31, 2010",['Spring 2009'],Unknown,"None found,","None found,","None found,",Original,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.12,#13063,#10853,"2,738",2,880,"A gravure idol, Asada Misako, plays the main character Charady. Other characters are played by the students of Kyoto University of Art and Design Department of Character Designing. It is a short comedy animation about jokes from all parts of the world.",[],Charady no Joke na Mainichi,,['Comedy'],,,
39,"Sugar Bunnies 3, Sugarbunnies",シュガーバニーズ フルール,,,['TV'],26,Finished Airing,"Apr 7, 2009 to Sep 29, 2009",['Spring 2009'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,,,['Kids'],11 min. per ep.,PG - Children,5.98,#10006,#14386,964,3,144,Sequel to Sugar Bunnies Chocolate! Aired inside the anime corner of the Kitty's Paradise TV block.,"['Prequel (Special) Sugar Bunnies Chocolate! Specials', 'Sequel (Special) Sugar Bunnies Fleur Specials']",Sugar Bunnies Fleur,,,,,
40,,うんこさん ツイてる人にしか見えない妖精,,,['TV'],13,Finished Airing,"Mar 18, 2009 to Jul 20, 2009",['Spring 2009'],Unknown,"None found,","None found,",['Kachidoki Studio'],Original,,,,2 min. per ep.,PG - Children,4.81,#13415,#14738,882,2,218,"Anime has as a fairy brown dispenser of some 'of his good fortune to those less fortunate. Unko-san lived on Lucky Island together with her friends, all of them with a different personality and culture.","['Sequel (TV) Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha', '']",Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,,['Comedy'],,,
41,Hadaka no Ookami,ネイキッドウルブズ,,,['TV'],52,Finished Airing,"Apr 6, 2009 to Mar 28, 2010",['Spring 2009'],Unknown,"['Pony Canyon', 'Kyotoma']","None found,",['Kate Arrow'],Original,"['Comedy', 'Sports']",['Combat Sports'],['Kids'],5 min. per ep.,PG - Children,5.67,#11530,#14750,879,4,300,"In the Flash-animated television comedy series, a sumo wrestler named Mikoshiarashi travels around the world to train to become the Yokozuna, the Grand Sumo Champion. He meets colorful characters along the way as he is determined to meet his goals.",[],Naked Wolves,,,,,
42,,뽀롱뽀롱 뽀로로 3,Pororo the Little Penguin 3,,['TV'],52,Finished Airing,"May 4, 2009 to Oct 27, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],5 min. per ep.,G - All Ages,5.71,#11315,#16330,582,0,228,A direct continuation of the second season. This time there are aliens and a robot friend that hangs out with the gang.,"['Prequel (TV) Porong Porong Pororo 2', 'Sequel (TV) Porong Porong Pororo 4']",Porong Porong Pororo 3,,['Sci-Fi'],,Pororo el Pequeño Pingüino Serie 3,
43,,롤링 스타즈,Rolling Stars,,['TV'],26,Finished Airing,"Apr 15, 2009 to Oct 21, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Unknown,,['Team Sports'],['Kids'],26 min. per ep.,PG - Children,[],#21420,#18619,374,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rolling Seutajeu,,['Sports'],,,
44,School of Show Laughter,笑いのSHOW学校,,,['TV'],20,Finished Airing,"Mar 30, 2009 to Mar 8, 2010",['Spring 2009'],Unknown,"['NHK', 'Milky Cartoon', 'Opera House']","None found,","None found,",Original,,,['Kids'],1 min. per ep.,PG - Children,[],#15261,#20181,276,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Warai no Show Gakkou,,['Comedy'],,,
45,,일지매,,,['TV'],26,Finished Airing,"May 5, 2009 to Nov 2, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Other,"['Action', 'Drama', 'Romance']",['Historical'],,Unknown,PG-13 - Teens 13 or older,[],#18868,#20631,251,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Iljimae,,,,,
46,,ニコニコ♪コニーちゃん,,,['TV'],5,Finished Airing,Apr 2009,['Spring 2009'],Unknown,['Fuji TV'],"None found,","None found,",Other,,,['Kids'],10 min. per ep.,G - All Ages,[],#20676,#20847,239,0,,The 8-year old character Connie-chan from the Japanese children's block Ponkikki Kids (successor to the famous Hirake! Ponkikki show) gets her own anime now as a 18-year old attending Tokyo University.,[],Nikoniko♪Connie-chan,,,,,
47,,우리는 명탐정,,,['TV'],52,Finished Airing,Mar 2009 to Feb 2010,['Spring 2009'],Unknown,"None found,","None found,","None found,",Original,,['School'],['Kids'],24 min. per ep.,PG - Children,[],#15138,#22294,164,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ulineun Myeong-tam-jeong,,['Mystery'],,,
48,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,597,956","115,638",1728599,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,,,Naruto Shippuden,
49,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,372","234,727",1419507,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,
50,,BLEACH - ブリーチ -,Bleach,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,074,732","78,039",1188618,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,,
51,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,512","60,226",408343,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,
52,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",家庭教師ヒットマンREBORN!,Reborn!,Mon prof le tueur Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],"['Action', 'Comedy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.12,#500,#415,"570,848","16,015",264913,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,,,"['Organized Crime', 'Super Power']",Reborn!,
