,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,German,Spanish,Demographics
68,陰陽大戦記,The Chronicle of the Big Battle between Yin and Yang,['TV'],52,Finished Airing,"Nov 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:00 (JST),"None found,","None found,",['Sunrise'],['Manga'],"['Adventure', 'Fantasy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.12,#3798,#8016,"6,552",31,2050,"Riku Tachibana is an average 1st year junior high school student who was supposed to be living a peaceful, ordinary life, but just after entering junior high he ends up fighting a duel against a mysterious man calling himself “a Warrior of Earth,” and Riku’s life is changed forever! Riku discovers that he is a survivor of the believed extinct “Warriors of Heaven,” Using a device called “DRIVE” and summoning a Shikigami, or “Divine Beast,” called Kogenta to his side, Riku devotes his life to the battle against the Warriors of Earth! (Source: Sunrise)","['Adaptation (Manga) Onmyou Taisenki', '']",Onmyou Taisenki,Onmyou Tai Senki,,['Shounen'],,,,,
69,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8237,"6,118",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,,
70,デュエル・マスターズ　チャージ,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",,21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,904",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,,,['Kids'],,,,,
71,B-伝説(ビーレジェンド)! バトルビーダマン 炎魂(ファイヤースピリッツ!),Battle B-Daman: Fire Spirits!,['TV'],51,Finished Airing,"Jan 10, 2005 to Dec 26, 2005",['Winter 2005'],Mondays at 18:00 (JST),"['Yomiko Advertising', 'Heewon Entertainment']","None found,","None found,",['Manga'],"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,6.40,#7708,#8536,"5,674",14,2998,"It is not uncommon to wish upon shooting stars. But for B-DaPlayers all around the world, what they seek is not for their wishes to be granted. Gazing upon what many would assume are just rocks shrunk to the size of a pebble by atmospheric entry and fallen to the earth, the fated ones see instead what are known as Strike Shots—powerful marbles originating from the vast and mystical outer space. After achieving triumph in the war against his ultimate foes, Yamato Daiwa continues his journey as a rising B-DaPlayer, looking to obtain a new power worthy of his improved battle gear. [Written by MAL Rewrite]","['Prequel (TV) B-Legend! Battle B-Daman', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman Fire Spirits!,"B-Legend! Battle Bedaman: Fire Spirits, Bedaman: Fire Spirits",,['Kids'],,['Strategy Game'],,,
72,雪の女王,The Snow Queen,['TV'],36,Finished Airing,"May 22, 2005 to Feb 12, 2006",['Spring 2005'],Sundays at 19:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['TMS Entertainment'],Book,"['Adventure', 'Drama', 'Fantasy']",,25 min. per ep.,PG - Children,6.97,#4520,#8915,"5,041",16,1308,"Based on the children's story by Hans Christian Andersen. Gerda and Kai have been neighbors and best friends since childhood. Gerda is eleven, Kai twelve. They were happy children who worked and played as they should. All that changed when the Snow Queen's mirror broke. The shards spread all through the world, each containing evil. If a shard went inside your eye, it would turn your heart to ice. A shard went into Kai's eye. After that, he grew cold to those he loved. One night, the Snow Queen came in her carriage and took Kai back to her ice castle at the farthest north point of the world. Everyone in Kai and Gerda's village didn't know where he went and believed he died from drowning in the frozen-over lake. Gerda doesn't believe this, for she dreamed of seeing Kai enter the carriage. When a drunk man admits that he also saw this, Gerda starts realizing that maybe what she saw wasn't a dream. She packs her things and goes on a journey to save Kai and bring him back home. (Source: Wikipedia)",[],Yuki no Joou (TV),Yuki no Jo-Oh,,,,,,,
73,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9190,"4,612",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,['Kids'],,,,,
74,甲虫王者ムシキング ～森の民の伝説～,Mushiking: The Guardians of the Forest,['TV'],52,Finished Airing,"Apr 6, 2005 to Mar 29, 2006",['Spring 2005'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['TMS Entertainment'],Card game,,,22 min. per ep.,G - All Ages,6.82,#5215,#9227,"4,556",20,1820,"The story begins with a spaceship struggling to return to its home world, which crash lands onto a dying planet, triggering an explosion of pure energy, generated by the powerful and mysterious life forms that are piloting the craft. This outburst of energy infuses the dying planet with a life-generating force. Popo, the main character of the story, lives happily with his mother on this planet in a remote part of the forest that is populated with praying mantises, ladybugs, beetles and many other insects. Popos greatest desire is to grow up and become stronger, so that he can search for his father who left the family several years before and has not been heard from since. His father was known as the Guardian of the Forest, as he was passionately dedicated to his research on the planet and on the forest in which his family lives. One day, while walking through the forest, Popo witnesses an ominous event. A strange flowing mist appears, completely covering the forest. A mysterious and sinister character, Passer, also appears, condemning Popos father as an enemy of the forest people and the source of all their trouble. Popo races home only to find to his shock and amazement that his mother has been transformed into a half-plant, half human creature. Confused and dismayed over what he has seen, Popo decides that only his father will be able to restore his mother to her human self and rescue the forest from harm. He decides to leave his home in search for his father. However, the evil Adder and his henchmen plot to prevent Popo from achieving his goal with the help of giant beetles who attack the young boy at every turn. Fortunately, Popo has an ally, Mushiking: The King of Beetles! With his overwhelming strength and overpowering fighting style, Mushiking always comes through at the nick of time to save the young boy from defeat and to set him back on his quest. Is Popo able to find his father and to save his mother and the forest? Discovering his destiny as the next Guardian of the Forest, and protected and guided on his journey by Mushiking, Popo's epic quest to reunite with his father now begins! (Source: Official Site)",[],Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,,['Fantasy'],,,,,,
75,神鵰俠侶 II 襄陽風雲,Legend of the Condor Hero II,['TV'],26,Finished Airing,"Jan 30, 2005 to Sep 2, 2006",['Winter 2005'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,20 min. per ep.,PG-13 - Teens 13 or older,7.23,#3220,#9558,"4,071",5,1536,Sequel to Shin Chou Kyou Ryo: Condor Hero.,"['Prequel (TV) Shin Chou Kyou Ryo: Condor Hero', 'Sequel (TV) Shin Chou Kyou Ryo: Condor Hero III']",Shin Chou Kyou Ryo: Condor Hero II,Shen Diao Xia Lu II: Xiang Yang Feng Yun,,,,['Historical'],,,
76,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7542,#10461,"3,085",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,,,,
77,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7748,#11558,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,,,,
78,まじめにふまじめ　かいけつゾロリ,,['TV'],97,Finished Airing,"Feb 13, 2005 to Jan 28, 2007",['Winter 2005'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Original,,,24 min. per ep.,PG - Children,6.72,#5775,#12859,"1,473",7,451,"Season 1 focuses on the wizard Nelly and the mysterious Najo as Zorori, Ishishi, and Noshishi help them restore the magic forest in a magical country (episodes 1-50). Season 2 focuses on Puppe's search for the Minus Eel (episodes 51-97). (Source: Wikipedia)","['Prequel (TV) Kaiketsu Zorori', 'Sequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori']",Majime ni Fumajime Kaiketsu Zorori,,['Adventure'],['Kids'],,,,,
79,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,5.92,#10325,#13254,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],,['Anthropomorphic'],,,
80,太鼓の達人,Taiko Drum Master,['TV'],26,Finished Airing,"Apr 4, 2005 to May 15, 2006",['Spring 2005'],Unknown,['Nikkatsu'],"None found,",['Studio Bingo'],Game,,,4 min. per ep.,G - All Ages,5.92,#10331,#13319,"1,294",9,401,A series of four minute claymation shows. Each episode shows the different antics of the various Taiko no Tatsujin characters.,[],Taiko no Tatsujin,,,,,['Video Game'],,,
81,ザ・ワールド・オブ・ゴールデン・エッグス,,['TV'],26,Finished Airing,"Jan 7, 2005 to Dec 9, 2006",['Winter 2005'],Fridays at 22:45 (JST),"None found,","None found,","['Plus Heads', 'Studio Crocodile']",Original,,,13 min. per ep.,PG-13 - Teens 13 or older,6.43,#7519,#13488,"1,237",4,281,The citizens of Turkey's Hill model a bizzare American-esque town and engage in non-sequitur behavior. (Source: ANN),[],The World of Golden Eggs,,['Comedy'],,,['Parody'],,,
82,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13607,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
83,絶体絶命でんぢゃらすじーさん,,['TV'],19,Finished Airing,Apr 2005 to Mar 2006,['Spring 2005'],Unknown,"None found,","None found,","None found,",['Manga'],,,2 min. per ep.,PG - Children,[],#16243,#16226,597,1,,The third series of Zettai Zetsumei Dangerous Jiisan with the gags continuing on.,"['Prequel (TV) Zettai Zetsumei Dangerous Jiisan (2004)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan']",Zettai Zetsumei Dangerous Jiisan (2005),,['Comedy'],['Kids'],,,,,
84,뚜루뚜루뚜 나롱이,,['TV'],52,Finished Airing,Dec 2004 to Jan 2006,['Winter 2005'],Unknown,['Studio Kaab'],"None found,","None found,",Original,,,15 min. per ep.,G - All Ages,[],#15090,#18984,347,0,,"Somewhere in this world, there is a town named Lala in a forest called Lulu. This is the home of Nalong and many other furry little creatures. Nalong lives with his father and 10 brothers, and attends elementary school. His friends are an otter named Ukkya, an ostrich named Tajori, and the Mandu brothers, who were accidentally made by the famous inventor Professor Penguil. (Source: Wikipedia)","['Sequel (TV) Kwaegeol Longman Narongi', '']",Turuturutu Narongi,Nalong: Fly to the Sky,['Adventure'],['Kids'],,,,,
85,パンツぱんくろう,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19434,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,['Kids'],,,,,
86,留守電アワー SODANブラザーズ,,['TV'],25,Finished Airing,"Mar 13, 2005 to Aug 2005",['Spring 2005'],Unknown,['WOWOW'],"None found,","None found,",Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#21460,#19473,317,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rusuden Hour: Sodan Brothers,,['Comedy'],,,,,,
87,NAVIA DRATP,,['ONA'],5,Finished Airing,"Sep 2, 2005 to Oct 27, 2005",,,['Bandai'],"None found,","None found,",Other,,,2 min. per ep.,PG-13 - Teens 13 or older,4.76,#13468,#15545,698,0,269,"Short anime series released online by Bandai to promote their collectible miniatures game series, Navia Dratp.",[],Navia Dratp,,['Fantasy'],,,,,,
88,くわがたツマミ,Stag Beetle Tsumami,['ONA'],84,Finished Airing,"Jul 10, 2005 to Nov 2010",,,"None found,","None found,","None found,",Original,,,3 min. per ep.,G - All Ages,[],#19700,#19183,335,0,,"Tsumami is the half-human, half stag beetle daughter of a female fashion model and a big male stag beetle. She has jaws on top of her head and loves to eat watermelons. She is a troublemaker, causing problems to other people!",[],Kuwagata Tsumami,Kuwagata Tumami,['Comedy'],,,,,,
89,通勤大戦争,Commuters!,['ONA'],1,Finished Airing,"Sep 27, 2005",,,"None found,","None found,","None found,",Original,"['Action', 'Comedy']",,5 min.,PG-13 - Teens 13 or older,[],#15025,#22807,143,0,,"The morning that changed history was a normal morning for them... Seitaro Hongo is a hot-blooded office worker in his twenties. His rival is the ""Hige Baron"". They don't even know each other's real names and have never talked to each other. (Source: Official Website, translated)",[],Tsukin Daisensou,Commuter Great War,,,,['Military'],,,
90,春陽とわたし,,['ONA'],1,Finished Airing,"Aug 10, 2005",,,"None found,","None found,","None found,",Original,,,3 min.,PG-13 - Teens 13 or older,[],#14392,#22856,142,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shunyo to Watashi,"Harunohi, Harunori, Harunori & I",['Supernatural'],,,,,,
91,撲殺天使ドクロちゃん,Bludgeoning Angel Dokuro-chan,['OVA'],4,Finished Airing,"Mar 13, 2005 to Sep 22, 2005",,,"['Showgate', 'Geneon Entertainment']","['Media Blasters', 'Discotek Media']","['HAL Film Maker', 'Nomad']",['Light novel'],"['Comedy', 'Supernatural', 'Ecchi']","['Gag Humor', 'Gore']",26 min. per ep.,R - 17+ (violence & profanity),6.53,#6873,#1231,"209,922",929,113903,"Sakura Kusakabe, a mere junior high student, has committed a horrible crime. Or, rather, he will commit a crime—20 years into the future. The crime in question? He will prevent all women from developing past the age of 12, with immortality as an unintended side effect. As a result, the angel Dokuro Mitsukai is sent from the future as an assassin, armed with with a magical spiked bat named Excalibolg. However, rather than kill him, Dokuro wants to take a different approach. She resolves to be a constant nuisance to Sakura, in an attempt to prevent him from focusing on anything long enough to create his criminal technology. With Dokuro going against orders, the angel Sabato is sent out to complete Dokuro's mission. Between the impulsive Dokuro—who often murders Sakura with her bat before reviving him with the magic words ""Pipiru piru piru pipiru pi""—and the electric baton-wielding Sabato, Sakura's life will never be peaceful again. [Written by MAL Rewrite]","['Sequel (OVA) Bokusatsu Tenshi Dokuro-chan 2', 'Adaptation (Manga) Bokusatsu Tenshi Dokuro-chan', 'Adaptation (Light Novel) Bokusatsu Tenshi Dokuro-chan', '']",Bokusatsu Tenshi Dokuro-chan,Club-To-Death Angel Dokuro-chan,,,Dokuro-Chan,,Bludgeoning Angel Dokoro-chan,Bludgeoning Angel Dokoro-chan,
92,破滅のマルス,Mars of Destruction,['OVA'],1,Finished Airing,"Jul 6, 2005",,,"['Idea Factory', 'King Records', 'Design Factory']","None found,",['WAO World'],Visual novel,"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Military']",19 min.,R - 17+ (violence & profanity),2.23,#13858,#2801,"68,690",294,49578,"Several months after a probe returning from Mars burns up during reentry, strange creatures dubbed ""Ancients"" begin to appear throughout Tokyo. Aggressive and dangerous, they cannot be killed with ordinary weapons. As scientists struggle to find the cause of their sudden appearance, the monsters wreak havoc across the world. Humanity finds hope in the form of the MARS suit—a new weapon developed to take down these enemies. The suit, however, can only be worn by those with specific DNA. Enter Takeru Hinata, an ordinary teen with a troubled past and one of the few capable of piloting the only weapon against the Ancients. With the help of the AAST, a special police force established to defeat the dangerous creatures, the young man battles against demons both personal and global whilst trying to discover the true nature of Earth's new aggressors. [Written by MAL Rewrite]",[],Hametsu no Mars,,,,,,,,
93,鴉 -KARAS-,Karas,['OVA'],6,Finished Airing,"Mar 25, 2005 to Aug 3, 2007",,,"['Shochiku', 'AT-X', 'Magic Capsule', 'Toshiba Entertainment', 'Showgate']",['Manga Entertainment'],['Tatsunoko Production'],Original,"['Action', 'Fantasy', 'Sci-Fi']","['Gore', 'Super Power']",30 min. per ep.,R - 17+ (violence & profanity),7.36,#2508,#2870,"65,662",317,28693,"The world of the humans and the world of the demons (youkai) have overlapped one another, leaving humans to walk the streets of life as they normally would, while demons walk, hidden from the naked eye, down the very same streets. A seemingly young woman named Yurine and her servant, the Karas (from the Japanese word for ""Crow""), have long maintained order and balance between the overlapped worlds, ultimately keeping the demons from interrupting the lives of humans. However, humans have come to forget and jest at the existence of demons, and no longer understand the privilege it is to live without fear. Disgusted by this arrogance, an old Karas turns his back on the laws he had once upheld, and in his human form, named Eko, he creates an army of Mikura, or mechanized demons, to ready an attack on the human race. A young man named Otoha inherits the powers of the Karas and takes his place at the side of Yurine, who claims that his soul called out for her while he lived the life of a human. They live in the world of the demons. It is now up to Otoha to prove himself as a Karas, and restore the balance that Eko threatens to upset. Meanwhile, a superstitious police officer named Sagisaka and his rational new recruit, Kure, follow the trail of the murders dealt by Eko's Mikura, as well as the trail of a rogue Mikura named Nue. The prophecy unfolds from here into a grave revelation for all in the city. (Source: Wikipedia)",[],Karas,"Crow, Raven, Karas: The Prophecy, Karas: The Revelation",,,,,,,
94,攻殻機動隊 Stand Alone Complex - The Laughing Man,Ghost in the Shell: Stand Alone Complex - The Laughing Man,['OVA'],1,Finished Airing,"Sep 23, 2005",,,"['Bandai Visual', 'Animax', 'Kodansha', 'Fonishia']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Mecha', 'Psychological']",2 hr. 40 min.,R - 17+ (violence & profanity),8.06,#587,#3660,"42,066",59,16289,"In 2024, the terrorist incident known as ""The Laughing Man Incident"" occurred in which Ernest Serano, president of the groundbreaking micromachine company, Serano Genomics, was kidnapped and ransomed. One day, the case having remained unsolved for six years, Detective Yamaguchi, who has been investigating ""The Laughing Man Incident,"" sends word that he wants to meet with Togusa from Public Safety Section 9. However, soon after sending this message, Yamaguchi, crucial to the success of the case, dies in an accident. Many days pass and in the midst of a police interview relay concerning suspicions behind interceptors, a forewarning is received from ""The Laughing Man"" of his next crime. The incorporeal hacker begins to move once again. (Source: ANN)","['Sequel (OVA) Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex - The Laughing Man']",Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,,,['Seinen'],Ghost in the Shell: Stand Alone Complex - The Laughing Man,,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex - The Laughing Man,
95,バイブルブラック・オンリー版,Bible Black Only,['OVA'],2,Finished Airing,"Jul 25, 2005 to Apr 25, 2006",,,"['Milky Animation Label', 'Active', 'MS Pictures']","['Media Blasters', 'Kitty Media']",['Studio Jam'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.76,N/A,#5172,"19,737",72,9622,"Bible Black Only explores the sexual misadventures of the supporting cast from the main Bible Black series. Miss Takashiro reminisces on her demonic capture, Itoh reveals her sadistic side, and Saeki is stalked by her classmates. Bible Black Only is a series of stand-alone episodes that do not affect the continuity of the main Bible Black series, and it contains footage that was previously only available on the R2 Bible Black Perfect Collection DVD. (Source: ANN)",[],Bible Black Only Version,,['Hentai'],,,,,,
96,最終兵器彼女Another Love Song,Saikano: Another Love Song,['OVA'],2,Finished Airing,"Aug 5, 2005 to Sep 9, 2005",,,"['CBC Television', 'Tohokushinsha Film Corporation']",['VIZ Media'],['Studio Fantasia'],['Manga'],"['Drama', 'Romance', 'Sci-Fi']",,30 min. per ep.,R+ - Mild Nudity,7.05,#4153,#5248,"18,994",18,8518,"Before Chise became the ""ultimate weapon,"" there was another—Lieutenant Mizuki. A battle-hardened military woman, she volunteered for an experimental procedure after injuries left her unable to return to the battlefield. As the prototype ultimate weapon, Lieutenant Mizuki was highly successful on the battlefield, however, as the first candidate, her development was limited. When a more suitable candidate to become the weapon, Chise, is forced into the military, Lieutenant Mizuki thinks that she is silly, weak, and unsuited for the role. As the only other person to have undergone the procedure, however, Lieutenant Mizuki can hear Chise's thoughts and is the only one who understands her. As the war rages on and Chise's development progresses, Lieutenant Mizuki discovers more about Chise, ultimate weapons, and herself. [Written by MAL Rewrite]",[],Saishuu Heiki Kanojo: Another Love Song,"Saishuuheiki Kanojo OVA, Saikano OVA",,['Seinen'],,,,,
97,星界の戦旗 III,Banner of the Stars III,['OVA'],2,Finished Airing,"Aug 6, 2005",,,['Bandai Visual'],['Funimation'],['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']","['Military', 'Space']",37 min. per ep.,PG-13 - Teens 13 or older,7.62,#1517,#5300,"18,563",60,9641,"Jinto and Lafiel were riding on a light-armed transport ship ""Bokbrusue"" and navigating at the planar space of the Hyde System. This was for Jinto to govern the Hyde System, which returned to Empirial rule after the Union retreated, officially as an Earl. However, the government of Martin, Jinto`s motherland, resisted obstinately against the Empirial rule. On the other side, ""Daiichi Jyuurin Sentai"" (the First Devastation Fleet), formed with the new ship type ""Attack Vessel"", travelled to the Hyde System for drilling practices, but... (Source: ANN)","['Prequel (TV) Seikai no Senki II', 'Adaptation (Light Novel) Seikai no Senki']",Seikai no Senki III,Battle Flag of the Stars III,,,,,,,
98,boin ボイン,Boin,['OVA'],2,Finished Airing,"Aug 25, 2005 to Jan 25, 2006",,,"['Milky Animation Label', 'MS Pictures']","['Kitty Media', 'JapanAnime']",['Shindeban Film'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.59,N/A,#5945,"13,737",47,5478,"Based on a game by Crossnet-Pie. Daisuke Ichijo is a new teacher at Kisaragi Academy, an all female school, and he is assigned to be a job counselor. To find the appropriate job for students, he role-plays with the girl students who wear various uniforms such as a nurse, a shrine maiden, and so on.","['Sequel (OVA) Resort Boin', '']",Boin,Boin Lecture,['Hentai'],,,,,,
99,天地無用！魎皇鬼 第三期 天地晴朗なれど波高し？,,['OVA'],1,Finished Airing,"Sep 14, 2005",,,"['VAP', 'Nippon Television Network']",['Funimation'],['AIC'],Original,"['Action', 'Comedy', 'Sci-Fi']","['Harem', 'Space']",30 min.,PG-13 - Teens 13 or older,7.18,#3473,#6118,"12,717",16,5875,"After a 'modified' ending to the Choubimaru incident, the punishments for the offending parties is metted-out, as well as a surprise marriage proposal by Misao to Mashisu. It almost didn't happen... until Mihoshi and Misao's mother Mitoto steps in and gives her and her family's approval, much to the dismay of FORMER G.P. Marshall Minami Kuramitsu. Otherwise, life goes on as usual for the Masaki clan. But soon when the question of how Tenchi's mother had died is presented, the answer nearly causes a rift between Tenchi, his father and his grandfather, for which only Tenchi's future mother-in-law Rea can solve... as well as the resolution of Noike's unusual secret. (Source: ANN)","['Prequel (OVA) Tenchi Muyou! Ryououki 3rd Season', 'Sequel (OVA) Tenchi Muyou! Ryououki 4th Season']",Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,"Tenchi Muyo! Ryo-Ohki 3rd Season Plus 1, Tenchi Muyo! Ryo Ohki: Final Confrontations",,,,,,,
100,肉嫁 高柳家の人々,,['OVA'],4,Finished Airing,"Aug 25, 2005 to Mar 25, 2007",,,"['Milky Animation Label', 'MS Pictures']",['JapanAnime'],['Studio Soul'],['Manga'],,,27 min. per ep.,Rx - Hentai,7.02,N/A,#6720,"10,148",165,4332,"Mitsuko is a beautiful woman who had just married. She went to her husband's house and began to live with his family, but it was the beginning of her life as a sex slave for most of the males in her husband's family.",[],Nikuyome: Takayanagi Ke no Hitobito,Mistreated Bride,['Hentai'],,,,,,
101,ナースウィッチ小麦ちゃんマジカルてZ,,['OVA'],2,Finished Airing,"Sep 10, 2004 to Sep 22, 2005",,,['Geneon Entertainment'],"None found,",['Tatsunoko Production'],Original,"['Comedy', 'Fantasy']","['Gag Humor', 'Mahou Shoujo', 'Otaku Culture', 'Parody']",26 min. per ep.,PG-13 - Teens 13 or older,6.63,#6323,#7688,"7,264",11,3142,Sequel to the first series.,"['Prequel (OVA) Nurse Witch Komugi-chan Magikarte', '']",Nurse Witch Komugi-chan Magikarte Z,,,,,,,,
102,淫母 －いんぼ－,The Sleazy Family (1),['OVA'],3,Finished Airing,"Jul 29, 2005 to Nov 18, 2005",,,"['D3', 'White Bear', 'Mediabank']",['Kitty Media'],['Anime Antenna Iinkai'],Original,,,10 min. per ep.,Rx - Hentai,6.12,N/A,#8092,"6,402",23,2533,"One day after school, Masaru helps his stepmother Saori pick something up from her sister Miyuki's house. But when Masaru arrives, he catches his stepaunt in the act of pleasuring herself—while calling out his name! Noticing Masaru, Miyuki invites him in and has her way with the inexperienced young man. Soon, the worried Saori checks up on why her sister and stepson are not picking up... [Written by MAL Rewrite]","['Sequel (OVA) Inko', '']",Inbo,,['Hentai'],,,,,,
103,夜勤病棟・参,Night Shift Nurses: Experiment,['OVA'],3,Finished Airing,"Jul 29, 2005 to Jan 27, 2006",,,['Discovery'],['Adult Source Media'],['AT-2'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.15,N/A,#8518,"5,702",8,1987,"Sora was lying in front of a hospital. He was seriously injured, and when he was about to die, a nurse, Yamami Yu, helped him. He was sent into an emergency ward, and he met a beautiful woman, Mikage Reika. She was a director of the hospital, and she asked him to become a test subject. Because he didn't have any relatives, he accepted it. Then, Yagami Yu was supposed to take care of him. Since that day, his fate had changed a lot. (Source: AnimeNfo)","['Prequel (OVA) Yakin Byoutou Ni', 'Adaptation (Light Novel) Yakin Byoutou 3']",Yakin Byoutou San,"Night Shift Nurses 3, Yakin Byoutou 3, NSN 3, Yakin Byoutou Kranke Kodama Ai, Night Shift Nurses Experiment",['Hentai'],,,,,,
