,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,German,Spanish,Demographics,French
80,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7384,"8,008",77,2549,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,['Kids'],,['Comedy'],,El Ninja Boy Rantaró,,
81,,ドッグシグナル,,['TV'],20,Finished Airing,"Oct 22, 2023 to Mar 17, 2024",['Fall 2023'],Sundays at 17:00 (JST),"['NHK', 'NHK Enterprises']","None found,",['Fugaku'],['Manga'],,"['Adult Cast', 'Pets', 'Workplace']",25 min. per ep.,PG-13 - Teens 13 or older,7.08,#3997,#7463,"7,762",34,1512,"After his girlfriend Yuuko breaks up with him, Miyu Samura's luck is at an all-time low. But one day several months later, she reappears and gives Miyu a toy poodle she supposedly cannot take care of. Miyu's knowledge of dogs is nonexistent, and the puppy's rowdiness leaves him in danger of being evicted from his own home. When Miyu decides to take the puppy on a walk, he has a chance encounter with professional dog trainer Shinichirou Niwa and Niwa's well-behaved standard poodle Ourson. In just a matter of minutes, Niwa not only corrects the attitude of Miyu's dog, but also gives Miyu himself stern advice on how to treat his pet properly. Amazed by Niwa's techniques, Miyu decides to quit his job in order to become the trainer's assistant; however, Niwa is not as skillful in dealing with humans as he is with their canine companions. Even so, Miyu refuses to give up on Niwa and his failing business. [Written by MAL Rewrite]","['Adaptation (Manga) Dog Signal', '']",Dog Signal,['Josei'],,['Slice of Life'],,,,
82,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2631,#7918,"6,750",62,2174,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['Shoujo'],['School'],['Comedy'],,Chibi Maruko-chan,,
83,Yuu Gi Ou: Go Rush!!,遊☆戯☆王ゴーラッシュ!!,,['TV'],Unknown,Currently Airing,"Apr 3, 2022 to ?",['Spring 2022'],Sundays at 07:30 (JST),"['TV Tokyo', 'Konami', 'Shueisha']","None found,",['Bridge'],Card game,"['Action', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,5.66,#11557,#7917,"6,752",52,1140,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar."" One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war. With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Yu☆Gi☆Oh! Go Rush!!', '']",Yu☆Gi☆Oh! Go Rush!!,,['Strategy Game'],,,,,
84,,逃走中 グレートミッション,Run For Money: The Great Mission,['TV'],Unknown,Currently Airing,"Apr 2, 2023 to ?",['Spring 2023'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],Other,"['Sci-Fi', 'Suspense']",,23 min.,PG-13 - Teens 13 or older,5.65,#11608,#8213,"6,113",27,773,"Due to Earth's increasing climate crisis, humanity has developed futuristic technology to migrate to the Moon. Tomura Sawyer works as a courier in the higher areas, saving money for his little brother, Haru, who suffers from Smoky Moon Disease - a sickness produced by the smoke and polution from the lower areas. The two siblings dream of moving to the higher, cleaner areas to treat this disease. Tomura takes a gamble to do the impossible: to participate in the TV program ""Run for Money"" and to win against all the other contestants even if he doesn't have the Chrono Bracelet required for it. A producer of said program by the name of Harvest seems to take an interest in Tomura's determination to participate, so she gifts him the Bracelet and allows him to participate. In this glorified game of Tag, Tomura Sawyer must last longer than anyone else without being touched by the enemies in this game — the Hunters.",[],Tousouchuu: Great Mission,,['High Stakes Game'],,,,,
85,,ちいかわ,,['TV'],Unknown,Currently Airing,"Apr 4, 2022 to ?",['Spring 2022'],Fridays at 07:40 (JST),"None found,",['Sentai Filmworks'],['Doga Kobo'],['Web manga'],,,1 min.,G - All Ages,7.60,#1585,#8299,"6,004",139,1495,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible. (Source: HIDIVE, edited)","['Adaptation (Manga) Chiikawa: Nanka Chiisakute Kawaii Yatsu', '']",Chiikawa,['Seinen'],,['Comedy'],,,,
86,,ベイブレードエックス,,['TV'],Unknown,Currently Airing,"Oct 6, 2023 to ?",['Fall 2023'],Fridays at 18:25 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Adventure', 'Sports']",,24 min.,PG - Children,6.81,#5267,#9071,"4,741",45,1148,"At the heart of X City stands the impressive X Tower, an interconnected twin-skyscraper structure that symbolizes the pinnacle of every Beyblade player's dream. The building serves as the official headquarters for professional Beybattles, where competitors strive to ascend all one hundred floors; at its summit, the reigning champions, Team Pendragon, await contenders worthy of challenging their title. Bird Kazami, an amateur Blader, arrives in the city eager to turn professional. However, he and his teammates are crushed in their first qualifying match, prompting his companions to give up and disband their team. Fortunately, Bird is soon approached by the easygoing Ekusu Kurosu. In disguise as ""Kamen X"" to hide his identity as a former member of the undefeated Team Pendragon, Ekusu wants to climb the tower all over again. To complete their new group, they recruit skilled Beyblade expert and savvy social media influencer Multi Nanairo. Driven by their individual goals, the trio wins their preliminary rounds, launching their careers as Team Persona. Bird and his new friends must navigate the world of corporate sponsorships, earn the fickle public's support, and defeat many formidable opponents—all in their quest to reach X Tower's peak. [Written by MAL Rewrite]","['Adaptation (Manga) Beyblade X', '']",Beyblade X,['Kids'],,,,,,
87,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6591,#9182,"4,599",31,1735,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,['Kids'],,,,,,
88,,ぼのぼの,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,5 min.,G - All Ages,6.37,#7891,#10230,"3,275",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),,['Anthropomorphic'],,Bono Bono,Bono Bono,,Bono Bono
89,,ニンジャラ,,['TV'],Unknown,Currently Airing,"Jan 8, 2022 to ?",['Winter 2022'],Saturdays at 07:00 (JST),['TV Tokyo'],['Sentai Filmworks'],['OLM'],Game,,,23 min.,PG - Children,5.57,#11917,#10493,"3,040",24,424,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy. And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... (Source: Official Game website)","['Adaptation (Manga) Ninjala', '']",Ninjala (TV),,,['Action'],,,,
90,,しかるねこ,,['TV'],Unknown,Currently Airing,"Mar 22, 2021 to ?",['Spring 2021'],Unknown,"None found,","None found,","None found,",['Manga'],,,30 sec.,G - All Ages,[],#14192,#11243,"2,433",17,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shikaru Neko', '']",Shikaru Neko,,,['Slice of Life'],,,,
91,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7761,#11546,"2,222",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,['Kids'],,,,,,
92,,ふしぎ駄菓子屋 銭天堂,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,,10 min.,G - All Ages,6.03,#9763,#11791,"2,061",5,203,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,['Kids'],,['Mystery'],,,,
93,PazuDora,パズドラ,Puzzle & Dragon,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,,24 min.,PG - Children,5.84,#10756,#12375,"1,701",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,['Kids'],['Strategy Game'],,,,,
94,Tom and Jerry Play,とむとじぇりーごっこ,Tom and Jerry,['TV'],Unknown,Currently Airing,"Nov 11, 2022 to ?",['Fall 2022'],Unknown,['Warner Bros. Japan'],"None found,","['Fanworks', 'Studio Nanahoshi']",Other,,,1 min.,G - All Ages,6.36,#7952,#13121,"1,353",2,517,"To celebrate ""Cheese Day,"" (November 11 in Japan), Cartoon Network Japan aired an anime spin on Tom and Jerry that combines the fast-paced humor of the original with a cute, ""pop"" worldview. The pair are joined by the diaper-wearing Tuffy Mouse, another recurring character from the classic cartoon. (Source: Crunchyroll)",[],Tom to Jerry Gokko,['Kids'],,['Comedy'],,,,
95,Kamiusagi Rope 4,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,2 min.,G - All Ages,[],#16806,#13287,"1,296",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,,,,,,
96,,オチビサン,,['TV'],24,Finished Airing,"Oct 8, 2023 to Mar 31, 2024",['Fall 2023'],Sundays at 00:00 (JST),"['NHK', 'Studio Pablo']","None found,",['Khara'],['Manga'],,"['Anthropomorphic', 'Iyashikei']",5 min. per ep.,G - All Ages,6.37,#7858,#13929,"1,085",2,291,"""I can help you laugh, but I can't take away the tears you've shed."" In Mametsubu-cho, a town somewhere in the ancient Japanese city of Kamakura, Ochibi-san lives a relaxed, easy life. With his friend Nazeni the dog, Jack the naughty kitten, and Pankui the hungry dog, Ochibi-san's year in Mametsubu-cho is filled with encounters and new discoveries! Flower-viewing in spring, swimming in summer, collecting leaves in fall, and eating yummy food in winter. (Source: Crunchyroll)","['Adaptation (Manga) Ochibi-san', '']",Ochibi-san,['Kids'],,['Slice of Life'],,,,
97,Hana Kappa,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9923,#14248,"1,002",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,['Kids'],,['Comedy'],,,,
98,,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14179,#14323,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],,,,
99,,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14211,#15579,687,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,['Kids'],,,,,,
100,,デュエル・マスターズ WIN 決闘学園（デュエル・ウォーズ）編,,['TV'],49,Finished Airing,"Apr 2, 2023 to Mar 31, 2024",['Spring 2023'],Sundays at 08:30 (JST),"None found,","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,[],#20452,#15652,674,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Duel Masters Win', '']",Duel Masters Win: Duel Wars-hen,['Kids'],,,,,,
101,,マヌ～ルのゆうべ,,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],,,1 min.,PG-13 - Teens 13 or older,[],#17534,#15791,654,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,['Slice of Life'],,,,
102,Rice Monster Pap,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#20832,#16419,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,['Kids'],,,,,,
103,Yowamon,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,1 min.,PG - Children,[],#16116,#16758,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,['Kids'],,,,,,
104,"Dessert Catch! Teenieping, Catch! Teenieping 4th Season",새콤달콤 캐치! 티니핑,,['TV'],26,Finished Airing,"Sep 27, 2023 to Apr 3, 2024",['Fall 2023'],Wednesdays at Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,,11 min. per ep.,PG - Children,[],#19000,#17304,473,0,,"Puffping stole the Magic Sugar Ball! This has created a strange magical phenomenon where all the Dessert Teeniepings get sucked into a mirror which releases them on Earth for Romi to catch! Along with the Royal Dessert Teeniepings, Jellyping, Shashaping, and Fluffyping, Romi will have to accomplish her mission as fast as possible, otherwise, the Cake Castle will inevitably collapse! (Source: Catch Teenieping Wiki)","['Prequel (TV) Alssongdalssong Catch! Tiniping', 'Sequel (Movie) Salangui Hachyuping', 'Sequel (TV) Shooting Star Catch! Tiniping', '']",Saekomdalkom Catch! Tiniping,,['Mahou Shoujo'],['Fantasy'],,,,
105,,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#18456,#18293,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,['Kids'],,,,,,
106,,チキップダンサーズ,,['TV'],26,Finished Airing,"Sep 25, 2023 to Mar 25, 2024",['Fall 2023'],Mondays at 08:45 (JST),"None found,","None found,",['Fanworks'],Original,,,5 min. per ep.,G - All Ages,[],#19910,#18299,396,1,,The third season of Chickip Dancers.,"['Prequel (TV) Chickip Dancers 2nd Season', '']",Chickip Dancers 3rd Season,,,['Slice of Life'],,,,
107,"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",新ニッポンヒストリー,,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,23 min.,G - All Ages,[],#14234,#18531,377,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,,['Historical'],['Comedy'],,,,
108,Happy Smile ♡ Dream,おりがみにんじゃ コーヤン＠きんてれ,,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,,Unknown,PG - Children,[],#18387,#18666,366,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,['Kids'],,['Comedy'],,,,
109,,しゅわわん!,,['TV'],Unknown,Currently Airing,"Mar 22, 2023 to ?",['Spring 2023'],Not scheduled once per week,['NHK'],"None found,",['KOO-KI'],Original,,,5 min.,G - All Ages,[],#14375,#19614,304,0,,"Shuwawan! chronicles the family life of real-life photographer and essayist Harumichi Saitou. Saitou and his wife are both deaf, his children are both hearing, and the family communicates in sign language. The anime draws on Saitou's own Ikuji Manga Nikki (Child-rearing Manga Diary) work. (Source: ANN)",[],Shuwawan!,,['Childcare'],['Slice of Life'],,,,
110,,アイラブみー,,['TV'],Unknown,Currently Airing,"Oct 23, 2022 to ?",['Fall 2022'],Unknown,['NHK'],"None found,",['Oddjob'],Original,,,10 min.,G - All Ages,[],#21441,#19854,290,0,,The second season of I Love Me.,"['Prequel (TV) I Love Me', '']",I Love Me 2nd Season,['Kids'],,,,,,
111,,ようこそ認知症世界へ,,['TV'],Unknown,Currently Airing,"Aug 14, 2022 to ?",['Summer 2022'],Unknown,['NHK'],"None found,","None found,",Original,"['Adventure', 'Slice of Life']",,5 min.,G - All Ages,[],#16103,#20746,242,0,,"Travel through the words of people with dementia by seeing how they experience the everyday and problems they face. (Source: Official site, translated)",[],Youkoso Ninchishou Sekai e,,['Educational'],,,,,
112,,카비온,,['TV'],52,Finished Airing,"Sep 2, 2023 to Nov 9, 2024",['Fall 2023'],Saturdays at 14:45 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,14 min. per ep.,PG - Children,[],#19729,#20778,239,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Cabeon,['Kids'],,,,,,
113,Sinbi Apartment: Ghost Ball Zero Second Season,신비아파트 고스트볼 ZERO: 두 번째 이야기,,['TV'],15,Finished Airing,"Nov 30, 2023 to Mar 14, 2024",['Fall 2023'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Original,"['Fantasy', 'Supernatural']",,26 min. per ep.,G - All Ages,[],#14413,#20796,238,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sinbi Apartment: Ghost Ball Zero', '']",Sinbi Apartment: Ghost Ball Zero - Du Beonjjae Iyagi,['Kids'],,,,,,
114,,최강경찰 미니특공대,,['TV'],26,Finished Airing,"Nov 28, 2023 to May 21, 2024",['Fall 2023'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,"['Anthropomorphic', 'Mecha']",11 min. per ep.,PG - Children,[],#19943,#21482,201,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Choeganggyeongchal Miniforce,['Kids'],,['Action'],,,,
115,,다이노파워즈 2,,['TV'],26,Finished Airing,"Jul 20, 2023 to Mar 14, 2024",['Summer 2023'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#20270,#21745,186,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Dino Powers', '']",Dino Powers 2,['Kids'],['Mecha'],['Action'],,,,
116,,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,18 min.,G - All Ages,[],#17989,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,['Kids'],,['Fantasy'],,,,
117,Hello Carbot X,헬로 카봇 시즌14,,['TV'],26,Finished Airing,"Nov 5, 2023 to May 26, 2024",['Fall 2023'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",11 min. per ep.,PG - Children,[],#21127,#21902,177,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 13', '']",Hello Carbot Season 14,['Kids'],,['Action'],,,,
118,,거멍숲을 지켜라! 버디프렌즈,,['TV'],26,Finished Airing,"Nov 23, 2023 to May 16, 2024",['Fall 2023'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#20792,#22308,160,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Geomeongsupeul Jikyeola! Birdy Friends,['Kids'],,['Adventure'],,,,
119,Miseuteliya 2nd Season,미스테리야 시즌2,Mythteria 2nd Season,['TV'],26,Finished Airing,"Nov 27, 2023 to Feb 20, 2024",['Fall 2023'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#18025,#22415,156,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Mythteria', '']",Mythteria 2nd Season,['Kids'],,['Adventure'],,,,
120,,마카앤로니3,,['TV'],13,Finished Airing,"Oct 28, 2023 to Feb 3, 2024",['Fall 2023'],Unknown,"['Studio BAZOOKA', 'CJ ENM', 'ACOMMZ']","None found,",['Brick Studio'],Original,,,13 min. per ep.,G - All Ages,[],#17448,#22666,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Maca and Roni 2', '']",Maca and Roni 3,['Kids'],,['Comedy'],,,,
121,,MONSTERS 一百三情飛龍侍極,Monsters: 103 Mercies Dragon Damnation,['ONA'],1,Finished Airing,"Jan 22, 2024",,,"None found,","None found,",['E&H Production'],['Manga'],,,25 min.,PG-13 - Teens 13 or older,7.70,#1306,#3490,"45,737",161,28201,"A samurai's path leads him to a young waitress whose hometown was destroyed by a dragon. He doesn't want any trouble, but it finds them anyway. (Source: Netflix)","['Adaptation (Manga) Wanted!', '']",Monsters: Ippyaku Sanjou Hiryuu Jigoku,['Shounen'],,['Fantasy'],,,,
122,,GREAT PRETENDER razbliuto,,['ONA'],4,Finished Airing,"Feb 23, 2024 to Mar 15, 2024",,,"['Production I.G', 'Fuji TV', 'TOHO', 'Fujipacific Music', 'BS Fuji', 'Sound Team Don Juan', 'Hakuhodo DY Media Partners']","None found,",['Wit Studio'],Original,"['Action', 'Adventure', 'Mystery']","['Adult Cast', 'Organized Crime']",22 min. per ep.,R - 17+ (violence & profanity),6.79,#5418,#3828,"38,607",98,8899,"Presumed dead, master con artist and recovering amnesiac Dorothy is discovered by Shanghai Longu-bang, a mob who wants payback for her conning them. With no memories and nowhere to go, she must rely on a local crime underboss to elude Taipei’s criminal underworld all while tracking down leads to her mysterious past. (Source: Crunchyroll)","['Prequel (TV) Great Pretender', '']",Great Pretender: Razbliuto,,,,,,,
123,,SAND LAND: THE SERIES,,['ONA'],13,Finished Airing,"Mar 20, 2024 to May 1, 2024",,,"None found,","None found,","['Sunrise', 'Anima', 'Kamikaze Douga']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1966,#5229,"19,099",53,6788,"In the far future, war has destroyed the entire Earth, leaving only a barren wasteland where the supply of water is controlled by the greedy king. In search of a long-lost lake, Sheriff Rao asked the king of the demons for help...and got the king's son, Beelzebub, and his assistant, Thief. Together the unlikely trio sets off across the desert, facing dragons, bandits and the deadliest foe of all... the King's army itself! (Source: Viz Media)","['Adaptation (Manga) Sand Land', '']",Sand Land: The Series,['Shounen'],,,,,,
