,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genres,Themes,Demographic,Spanish,Demographics
38,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,597,956","115,639",1728599,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,Naruto Shippuden,"['Action', 'Adventure', 'Fantasy']",,['Shounen'],Naruto Shippuden,
39,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],,,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,318","234,719",1419475,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,"['Action', 'Adventure', 'Fantasy']",,['Shounen'],,
40,,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,074,732","78,039",1188618,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,"['Action', 'Adventure', 'Supernatural']",,['Shounen'],,
41,,FAIRY TAIL（フェアリーテイル）,Fairy Tail,['TV'],175,Finished Airing,"Oct 12, 2009 to Mar 30, 2013",['Fall 2009'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production']",['Funimation'],"['Satelight', 'A-1 Pictures']",['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1695,#54,"1,790,884","47,064",1035449,"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild. From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member. Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic. [Written by MAL Rewrite]","['Sequel (TV) Fairy Tail (2014)', 'Adaptation (Manga) Fairy Tail']",Fairy Tail,,,"['Action', 'Adventure', 'Fantasy']",,['Shounen'],,
42,Corpse Demon,屍鬼,Shiki,['TV'],22,Finished Airing,"Jul 9, 2010 to Dec 31, 2010",['Summer 2010'],Fridays at 01:15 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'DAX Production', 'Shueisha']",['Funimation'],['Daume'],['Manga'],,,22 min. per ep.,R - 17+ (violence & profanity),7.72,#1236,#370,"621,431","8,627",267131,"Life is idyllic and unassuming in the small town of Sotoba, a simple place where everyone knows everyone. However, tragedy strikes when Megumi Shimizu, a young girl with high aspirations, unexpectedly passes away from an unnamed illness. Over the torrid summer months, as more unexplained deaths crop up around the village, the town's doctor—Toshio Ozaki—begins to suspect that something more sinister than a mere disease is at play. Toshio teams up with Natsuno Yuuki, an apathetic and aloof teenager, and siblings Kaori and Akira Tanaka, two of Megumi's friends, to unravel the dark mystery behind the deaths in Sotoba. With their combined efforts, the investigation leads them toward an eerie secret pertaining to the new family in the Kanemasa mansion. [Written by MAL Rewrite]","['Adaptation (Manga) Shiki', '']",Shiki,,,"['Horror', 'Mystery', 'Supernatural', 'Suspense']","['Gore', 'Psychological', 'Vampire']",['Shounen'],,
43,Sword Story,刀語,Katanagatari,['TV'],12,Finished Airing,"Jan 26, 2010 to Dec 11, 2010",['Winter 2010'],Tuesdays at 01:10 (JST),"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV']","['NIS America, Inc.']",['White Fox'],['Light novel'],,,49 min. per ep.,R - 17+ (violence & profanity),8.30,#284,#405,"576,984","10,851",219097,"In an Edo-era Japan lush with a variety of sword-fighting styles, Shichika Yasuri practices the most unique one: Kyotouryuu, a technique in which the user's own body is wielded as a blade. The enigmatic seventh head of the Kyotouryuu school, Shichika lives quietly in exile with his sister Nanami until one day—the wildly ambitious strategist Togame barges into their lives. Togame brazenly requests that Shichika help in her mission to collect twelve unique swords, known as the ""Deviant Blades,"" for the shogunate. Shichika accepts, interested in the girl herself rather than petty politics, and thus sets out on a journey. Standing in their way are the fierce wielders of these legendary weapons as well as other power-hungry entities who seek to thwart Togame's objective. In order to prevail against their enemies, the duo must become an unbreakable team as they forge ahead on a path of uncertainty and peril. [Written by MAL Rewrite]","['Adaptation (Light Novel) Katanagatari', '']",Katanagatari,,,"['Action', 'Adventure', 'Romance']","['Historical', 'Martial Arts']",,,
44,"Dragonball Kai, DBK, DB Kai, DBZ Kai",ドラゴンボール改,Dragon Ball Z Kai,['TV'],97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",['Spring 2009'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],,['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,7.76,#1129,#604,"411,492","3,705",253486,"Five years after the events of Dragon Ball, martial arts expert Gokuu is now a grown man married to his wife Chi-Chi, with a four-year old son named Gohan. While attending a reunion on Turtle Island with his old friends Master Roshi, Krillin, Bulma and others, the festivities are interrupted when a humanoid alien named Raditz not only reveals the truth behind Gokuu's past, but kidnaps Gohan as well. With Raditz displaying power beyond anything Gokuu has seen before, he is forced to team up with his old nemesis, Piccolo, in order to rescue his son. But when Gokuu and Piccolo reveal the secret of the seven mystical wish-granting Dragon Balls to Raditz, he informs the duo that there is more of his race, the Saiyans, and they won’t pass up an opportunity to seize the power of the Dragon Balls for themselves. These events begin the saga of Dragon Ball Kai, a story that finds Gokuu and his friends and family constantly defending the galaxy from increasingly more powerful threats. Bizarre, comical, heartwarming and threatening characters come together in a series of battles that push the powers and abilities of Gokuu and his friends beyond anything they have ever experienced.","['Prequel (TV) Dragon Ball', 'Sequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball', '']",Dragon Ball Kai,Dragon Ball Z Kai,Dragon Ball Z Kai,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Shounen'],,
45,,アマガミSS,Amagami SS,['TV'],25,Finished Airing,"Jul 2, 2010 to Dec 24, 2010",['Summer 2010'],Unknown,"['Pony Canyon', 'TBS', 'Movic']",['Sentai Filmworks'],['AIC'],Visual novel,['Romance'],,24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2915,#636,"393,361","2,252",163772,"Two years ago, Junichi Tachibana had a date on Christmas Eve but was stood up instead. Since then, he has had a hard time showing others his true feelings in fear of being rejected again. However, as luck would have it, Junichi may have a second chance at love when he meets several girls whom he becomes romantically interested in: Haruka Morishima, the energetic and popular upperclassman with a love for cute things; Kaoru Tanamachi, his childhood friend who harbors secret feelings for him; Sae Nakata, the timid transfer student who is shy around men; Ai Nanasaki, a girl on the swim team who has a bad first impression of Junichi; Rihoko Sakurai, a childhood friend with a love for sweets; and Tsukasa Ayatsuji, a seemingly perfect class representative who has a hidden dark side. As Christmas Eve approaches, Junichi can only hope that this will be the year he will finally spend the holidays with the one he truly loves. [Written by MAL Rewrite]","['Sequel (TV) Amagami SS+ Plus', 'Adaptation (Manga) Amagami: Precious Diary']",Amagami SS,,,,"['Harem', 'School']",,,
46,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#706,"360,784","15,329",164316,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],,
47,"DenYuDen, DenYuuDen, Densetsu no Yusha no Densetsu, LOLH",伝説の勇者の伝説,The Legend of the Legendary Heroes,['TV'],24,Finished Airing,"Jul 2, 2010 to Dec 17, 2010",['Summer 2010'],Fridays at 02:15 (JST),"['Lantis', 'Media Factory', 'Kadokawa Contents Gate', 'Fujimi Shobo']",['Funimation'],['Zexcs'],['Light novel'],,['Military'],23 min. per ep.,R - 17+ (violence & profanity),7.50,#1950,#830,"312,890","2,023",139897,"""Alpha Stigma"" are known to be eyes that can analyze all types of magic. However, they are more infamously known as cursed eyes that can only bring destruction and death to others. Ryner Lute, a talented mage and also an Alpha Stigma bearer, was once a student of the Roland Empire's Magician Academy, an elite school dedicated to training magicians for military purposes. However, after many of his classmates died in a war, he makes an oath to make the nation a more orderly and peaceful place, with fellow survivor and best friend, Sion Astal. Now that Sion is the king of Roland, he orders Ryner to search for useful relics that will aid the nation. Together with Ferris Eris, a beautiful and highly skilled swordswoman, Ryner goes on a journey to search for relics of legendary heroes from the past, and also uncover the secrets behind his cursed eyes. [Written by MAL Rewrite]","['Adaptation (Manga) Densetsu no Yuusha no Densetsu', 'Adaptation (Light Novel) Densetsu no Yuusha no Densetsu']",Densetsu no Yuusha no Densetsu,,,"['Action', 'Adventure', 'Fantasy']",,,La Leyenda de los Héroes Legendarios,
48,"The Grandson of Nurarihyon, Grandchild of Nurarihyon",ぬらりひょんの孫,Nura: Rise of the Yokai Clan,['TV'],24,Finished Airing,"Jul 6, 2010 to Dec 21, 2010",['Summer 2010'],Tuesdays at 01:44 (JST),"['Yomiuri Telecasting', 'Yomiko Advertising', 'Pony Canyon', 'TOHO', 'Shueisha', 'BS11', 'Hakuhodo DY Media Partners', 'Imagine']",['VIZ Media'],['Studio Deen'],['Manga'],,['Mythology'],24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1578,#920,"280,790","1,384",120732,"Rikuo Nura, a part-youkai and part-human boy, grew up as the young master of the Nura Clan. While he treated the clan, which consists of youkai of all shapes and sizes, like family, he soon learned that he was the only one among his classmates who saw youkai in this light. To most, they were terrifying creatures of folklore who ate children and relished in bloodshed. Taking this to heart, he swore to live his life as a normal human. Normalcy, however, is hard to come by for young Rikuo. Complicating his goal are his youkai attendant, who under the name Tsurara Oikawa, goes to school alongside him; the young onmyouji Yura Keikain; and his close friend Kiyotsugu, who idolizes youkai and hopes to prove their existence. To make matters worse, rival youkai and other entities threaten to harm those Rikuo holds dear. If he wants to protect what's important to him, Rikuo must acknowledge his ancestry—that he is the grandson of the legendary Nurarihyon—and transform at night into a youkai, becoming worthy of being the next leader of the Nura Clan. [Written by MAL Rewrite]","['Sequel (TV) Nurarihyon no Mago: Sennen Makyou', 'Adaptation (Manga) Nurarihyon no Mago']",Nurarihyon no Mago,,Nura: Le Seigneur des Yokai,"['Action', 'Supernatural']",,['Shounen'],,
49,,イナズマイレブン,,['TV'],127,Finished Airing,"Oct 5, 2008 to Apr 27, 2011",['Fall 2008'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio']","None found,",['OLM'],Game,['Sports'],,24 min. per ep.,G - All Ages,7.74,#1187,#1145,"227,020","4,461",138522,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck. Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?","['Sequel (TV) Inazuma Eleven Go', 'Adaptation (Manga) Inazuma Eleven', 'Adaptation (Manga) Inazuma Eleven: Special', '']",Inazuma Eleven,,,,"['Super Power', 'Team Sports']",,,
50,"Yuu Gi Ou: Duel Monsters 5DS, Yugioh 5 D's",遊☆戯☆王5D's（ファイブディーズ）,Yu-Gi-Oh! 5D's,['TV'],154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",['Spring 2008'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],['Action'],['Strategy Game'],24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#1667,"147,902","1,636",85918,"Yuusei Fudou is out to get back what was stolen from him. The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City. In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', ""Adaptation (Manga) Yu☆Gi☆Oh! 5D's""]",Yu☆Gi☆Oh! 5D's,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,,,['Shounen'],Yu-Gi-Oh! 5D's,
51,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],,['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,060","1,330",42184,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,"['Comedy', 'Ecchi']",,['Seinen'],Shin Chan,
52,Sergeant Frog,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],,['Parody'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,"['Comedy', 'Sci-Fi']",,['Shounen'],,
53,,爆丸バトルブローラーズ  New Vestroia,Bakugan: New Vestroia,['TV'],52,Finished Airing,"Mar 2, 2010 to Mar 5, 2011",['Spring 2010'],Unknown,['Nelvana'],"None found,",['TMS Entertainment'],Original,,['Strategy Game'],24 min. per ep.,PG - Children,6.57,#6622,#2774,"69,713",212,43420,"After the final downfall of the rogue Bakugan Naga, peace was brought back to Vestroia. With the help of Danma Kuusou, his companion Pyrus Dragonoid, and other Battle Brawlers, the Infinity and Silent Cores were combined and the realm was recreated. However, New Vestroia will not be given any respite as humanoid alien invaders, the Vestals, arrive and conquer the Bakugan world in one fell swoop. Armed with a fearsome machine capable of restricting Bakugan into their ball forms, they aim to enslave the race as a form of entertainment. Now, the only force standing in their way is the Bakugan Battle Brawlers Resistance—a group of humans, Bakugan, and Vestals who oppose the idea of annihilating a sentient race. Led by Danma, they must venture into enemy-occupied New Vestroia and repel the invaders, to assure the survival of the entire world. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers', 'Sequel (TV) Bakugan Battle Brawlers: Gundalian Invaders']",Bakugan Battle Brawlers: New Vestroia,,,"['Adventure', 'Fantasy']",,,,
54,"Metal Fight Beyblade: Explosion, Metal Fight Beyblade 2, Beyblade: Metal Fusion 2",メタルファイト ベイブレード～爆～,Beyblade: Metal Masters,['TV'],51,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],,,25 min. per ep.,PG - Children,7.04,#4212,#3055,"58,524",207,37648,"Ginga Hagane and his crew of Bladers are back and ready to take on new challenges. The World Championship beckons, and Ginga is more than prepared, now equipped with a new Beyblade, the Galaxy Pegasus W105R2F. And he will be battling with a tag-partner from the USA, Masamune Kadoya. However, Masamune has also set his eyes on the championship, and plans to defeat Gingka. Masamune may be not the only threat to Ginga's path to victory. The world's top Blader Kyoya was chosen alongside Ginga, Masamune, Tsubasa, and Yu to represent Japan, but instead decides to join the African team. Together with his teammate Benkei, he wishes to take down Ginga and the Japanese team. The stage is now set for one of the most dramatic showdowns in Metal Fight Beyblade: Baku.","['Prequel (TV) Metal Fight Beyblade', 'Sequel (TV) Metal Fight Beyblade 4D']",Metal Fight Beyblade: Baku,Beyblade Metal Masters,Beyblade: Metal Masters,"['Adventure', 'Comedy', 'Sports']",,['Kids'],,
55,Digimon Cross Wars,デジモンクロスウォーズ,Digimon Fusion,['TV'],30,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",['Summer 2010'],Tuesdays at 19:27 (JST),['TV Asahi'],['Flatiron Film Company'],['Toei Animation'],Original,,['Isekai'],25 min. per ep.,PG - Children,6.68,#6025,#3232,"52,257",120,27933,"The Digital World is in a state of war, with the evil Bagra Army attempting to collect fragments of the Code Crown. Whoever manages to collect all 108 fragments will become king of the Digital World. An evil group of Digimon, known as the Bagra Army, are determined to get their hands on the Code Crown. Digimon Xros Wars features Taiki Kudou, a soccer-loving middle schooler who will always go out of his way to help people in need. When out with his friends Akari Hinomoto and Zenjirou Tsurugi one day, he hears a voice calling out for help. Investigating the situation, he meets a Digimon named Shoutmon who has been severely wounded in a nearby alley. Using the power of a strange device called a Xros Loader, Taiki manages to save Shoutmon's life, but is pulled into the Digital World alongside Akari and Zenjirou. Determined not to let the evil Bagra have their way, Taiki and his friends join with Shoutmon and other local Digimon to form their own army known as Xros Heart. Now Xros Heart must fight their way across the Digital World to collect Code Crown fragments and defeat the Bagra Army, but Taiki and his friends are not the only humans caught up in this war of monsters…","['Sequel (TV) Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku', 'Adaptation (Manga) Digimon Xros Wars']",Digimon Xros Wars,,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,Digimon 6 Fusión,
56,Heartcatch Pretty Cure!,ハートキャッチプリキュア!,,['TV'],49,Finished Airing,"Feb 7, 2010 to Jan 30, 2011",['Winter 2010'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,,['Mahou Shoujo'],24 min. per ep.,G - All Ages,7.86,#901,#4025,"34,679",658,13268,"Young flower enthusiast Tsubomi Hanasaki is often modest and quiet. But with her family moving to a new town, she aims to reinvent her image at her new school as someone more confident and outgoing. On moving day, she dreams of a mysterious tree in the sky guarded by a warrior named ""Cure Moonlight."" Tsubomi quickly learns that this was no ordinary dream when she encounters two mysterious fairies—Chypre and Coffret—who are being hunted down by a strange woman. When the woman summons a giant monster to attack the city, Tsubomi finds herself transforming into a warrior to fight the enemy! Taking on the alias ""Cure Blossom,"" Tsubomi learns that the woman is part of a villainous group that aims to turn the world into a lifeless desert, with her new duty being to stop it from happening. As Tsubomi continues to battle more monsters and uncover the secrets behind Cure Moonlight, will she find the confidence needed to overcome her timid nature? [Written by MAL Rewrite]","['Adaptation (Manga) Heartcatch Precure!', 'Adaptation (Novel) Shousetsu Heartcatch Precure!']",Heartcatch Precure!,,,"['Action', 'Comedy']",,,,
57,,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,['Anthropomorphic'],25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,"['Comedy', 'Sci-Fi']",,,,"['Kids', 'Shounen']"
58,"Jewelpet Twinkle Star, Jewelpet 2, Jewelpet Tinkle",ジュエルペット てぃんくる☆,,['TV'],52,Finished Airing,"Apr 3, 2010 to Apr 2, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'Sotsu', 'MediaNet', 'Sanrio', ""We've Inc.""]","None found,",['Studio Comet'],Original,['Fantasy'],,24 min. per ep.,PG - Children,7.42,#2248,#5950,"13,683",137,5607,"In Jewel Land, Jewelpets, creatures who has the natural ability to use magic lived in harmony with the Witches, attending the School of Witchcraft and Wizardry to learn to use magic with their Jewel Eyes. However for Ruby, a white Japanese Hare whose magic sometimes fail, is appointed to go to the Human World to search for her partner. But when she used the card the magicians gave her, she was sent to the Human World by accident. In the Human World, A girl named Akari Sakura met her on the beach on her way to school. At first, Akari can't understand her due to her Jewel Land Language until Ruby took a special candy so she could speak and understand human language. As the day passes, Ruby knew about her problems and later apologized. A Jewel Charm appeared on Akari's hand and she realized it that she's chosen by Ruby to be her partner. After that, she decided to enter the Jewel Star Grand Prix, on the prize is that any wish that they wanted will be granted. Will she be the Next Jewel Star and her wish be granted in the end? Or It'll just end in one big disaster... (Source: Wikipedia)","['Prequel (TV) Jewelpet', 'Sequel (Special) Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!', 'Adaptation (Manga) Jewel Pet', '']",Jewelpet Twinkle☆,,,,"['Anthropomorphic', 'Mahou Shoujo', 'School']",,Jewelpet Temporada 2,
