,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Demographic,Theme,Demographics
101,,団地ともお,,,,,['TV'],78,Finished Airing,"Apr 6, 2013 to Feb 7, 2015",['Spring 2013'],Saturdays at 09:30 (JST),"['NHK', 'Shogakukan Music & Digital Entertainment']","None found,","None found,",['Manga'],,,24 min. per ep.,G - All Ages,6.14,#9171,#13732,"1,153",1,184,It's a heartwarming and sometimes nonsense comedy about an elementary school boy Tomoo Kinoshita.,"['Adaptation (Manga) Danchi Tomoo', '']",Danchi Tomoo,['Comedy'],['Seinen'],,
102,Hana Kappa,はなかっぱ,,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9924,#14256,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,['Comedy'],['Kids'],,
103,,しあわせ配達おみくじタネコ,,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14195,#14340,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,['Comedy'],,,
104,"Man Lan, Shalen",侠岚,,,,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9695,#14670,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,,,,
105,,しまじろうのわお!,,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14227,#15593,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,['Kids'],,
106,"Nyanfu, Nyanfull",にゃん符,,,,,['TV'],124,Finished Airing,"Feb 22, 2014 to Sep 29, 2016",['Winter 2014'],Not scheduled once per week,"None found,","None found,",['MMDGP'],Original,,,1 min. per ep.,G - All Ages,[],#20754,#16091,613,1,,"Shorts that feature music note cats. The series premiered on February 22, 2014 on television; the first episode was published on an official YouTube channel that same day. The whole world is in love with character illustrations of cats, dogs, and bears. A brand-new show, and the first of its kind in Japan, featuring nothing but cat characters for cat lovers started airing in February 2014. A variety of cat characters designed by Japan's topnotch creators and illustrators are animated and they are voiced by popular KAWAII (cute) anime voice actors. This show is a must-see not just for the fans of cat characters but for all anime lovers! (Source: YouTube)",[],Nyanfuru,['Comedy'],,['Music'],
107,Flower Fairy,小花仙,,,,,['TV'],52,Finished Airing,"Feb 14, 2014 to May 10, 2014",['Winter 2014'],Unknown,"None found,","None found,",['Taomee'],Game,,,13 min. per ep.,None,[],#15536,#16086,610,0,,"There is a mysterious power of the Holy Spirit hidden in the legendary continent of Labelle, and the way to get power is recorded in the book of flower, guard by numerous flower Fairy Kings,only the legendary magic ambassador is recognized to wake up the power, and use them to defeat evil. For this.The evil force,led by Jakarta,the Queen of Dark had start a war to the continent of Labelle.With the help of the Flower Goddess,Pupula and the tribe of gouring flower fairys, the fate of the continent of Labelle is linked with an Earth girl... Who is the legendary envoy XiaAnAn. (Source: Magical Girl Wiki)","['Sequel (TV) Xiao Hua Xian 2nd Season', '']",Xiao Hua Xian,['Fantasy'],['Kids'],['Mahou Shoujo'],
108,,鉄人28号ガオ!,,,,,['TV'],151,Finished Airing,"Apr 6, 2013 to Mar 26, 2016",['Spring 2013'],Saturdays at 04:52 (JST),['Fuji TV'],"None found,","['Eiken', 'TYO Animations']",['Manga'],,,5 min. per ep.,G - All Ages,[],#14807,#16148,605,0,,"This series of anime shorts, roughly five minutes in length, will focus on protagonist Shoutarou Kaneda's everyday life instead of focusing on battle scenes as previous Tetsujin 28 titles have done. The visuals of the title robot, its nemesis Black Ox, and other elements will have a pop-art style. (Source: ANN)",[],Tetsujin 28-gou Gao!,['Slice of Life'],,['Mecha'],
109,Annyeong Jaduya,안녕 자두야,Hello Jadoo,,,,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,6.16,#9064,#16109,609,3,159,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,['Comedy'],['Kids'],,
110,Rice Monster Pap,ごはんかいじゅうパップ,,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18204,#16431,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,['Kids'],,
111,,출동! 슈퍼윙스,Super Wings,Super Wings,Super Wings. ¡Siempre Cumplimos!,Super Wings,['TV'],52,Finished Airing,"Sep 1, 2013 to Feb 25, 2016",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,5.86,#10651,#16596,547,1,209,"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures. (Source: Official YouTube channel)","['Sequel (TV) Chuldong! Super Wings 2', '']",Chuldong! Super Wings,['Adventure'],['Kids'],['Racing'],
112,,뽀롱뽀롱 뽀로로 5,Pororo the Little Penguin 5,,Pororo el Pequeño Pingüino Serie 5,,['TV'],26,Finished Airing,"Feb 24, 2014 to May 20, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,G - All Ages,5.70,#11405,#16647,543,0,193,The fifth season of Pororo with a focus more on racing.,"['Prequel (TV) Porong Porong Pororo 4', 'Sequel (TV) Porong Porong Pororo 6']",Porong Porong Pororo 5,,['Kids'],['Racing'],
113,Yowamon,よわむしモンスターズ,,,,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,['Kids'],,
114,,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17862,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,['Horror'],['Kids'],,
115,Forest Frenzy of Boonie Bears,熊出没之丛林总动员,Boonie Bears: Forest Frenzy,,,,['TV'],104,Finished Airing,"Jul 13, 2013 to Sep 25, 2014",['Summer 2013'],Unknown,['Fantawild Animation'],"None found,","None found,",Original,,,13 min. per ep.,PG - Children,5.63,#11709,#17351,469,0,161,"Third season of Boonie Bears. Having had a taste of carnival life in town, the Bear Brothers return to the forest to start anew. But aside from the joy of meeting old friends, the bears must again cope with the dull-but-driven Logger Vick! That shiny-pated villain is determined to crush their renewed efforts to protect the forest they love. If he can dispatch the Bear Brothers, Vick will realize his evil dream of riches through total destruction of the forest. Fortunately the Brothers and their friends have a forest full of surprises in store for him! Boonie Bears: Forest Frenzy features Briar and Bramble Bear doing what they do best: creating non-stop laughs for kids around the world! (Source: Official website)","['Prequel (TV) Xiong Chumo: Huanqiu Da Maoxian', 'Sequel (TV) Xiong Chumo: Chunri Dui Dui Peng']",Xiong Chumo: Conglin Zong Dong Yuan,['Comedy'],['Kids'],,
116,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20946,#17398,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,['Comedy'],['Kids'],,
117,,ともだち8にん,,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14949,#17774,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,['Comedy'],['Kids'],,
118,Fight! Oden-kun,がんばれ！おでんくん,The Adventure of Oden-kun,,,,['TV'],102,Finished Airing,"Jan 12, 2013 to Dec 27, 2014",['Winter 2013'],Saturdays at Unknown,['Sotsu'],"None found,",['Kachidoki Studio'],Picture book,,,3 min. per ep.,G - All Ages,[],#18104,#17985,421,2,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Prequel (TV) Oden-kun', '']",Ganbare! Oden-kun,['Comedy'],,,
119,Brinken: Finger Skate Generation,翼空之巅,Brinken: Skate Revolution,,,,['TV'],40,Finished Airing,"Apr 2013 to Apr 2, 2015",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Sports']",,23 min. per ep.,G - All Ages,[],#16023,#18168,405,2,,"In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.",[],Yi Kong Zhi Dian,,['Kids'],,
120,,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20935,#18313,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,['Kids'],,
121,,꼬마버스 타요 3,Tayo the Little Bus Season 3,Tayo Der Kleine Bus Staffel 3,Tayo El Pequeño Autobús 3,,['TV'],26,Finished Airing,"Feb 26, 2014 to May 22, 2014",['Winter 2014'],Not scheduled once per week,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Original,,,11 min. per ep.,G - All Ages,5.55,#11970,#18484,381,0,154,The third season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo 2', 'Sequel (TV) Kkoma Bus Tayo 4']",Kkoma Bus Tayo 3,,['Kids'],['Racing'],
122,Robocar Poli Season 3,로보카 폴리,Robocar Poli 3,,Robocar Poli Temporada 3,Robocar POLI Saison 3,['TV'],26,Finished Airing,"Feb 26, 2014 to May 22, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,5.74,#11203,#19737,300,1,115,"The travel reporter camping car 'Camp', the new Broomstown port authority manager 'Belle', and the cute forklift 'Lifty' are all newcomers to Broomstown. And Bruner has a new cute cousin named 'Bruny'! (Source: Robocar POLI)","['Prequel (TV) Robocar Poli 2', 'Sequel (TV) Robocar Poli 4']",Robocar Poli 3,['Comedy'],['Kids'],['Racing'],
123,,빨간 자전거,Red Bicycle,,,,['TV'],302,Finished Airing,"Jan 22, 2013 to Apr 3, 2015",['Winter 2013'],Unknown,"None found,","None found,","None found,",['Manga'],,,4 min. per ep.,G - All Ages,[],#21138,#21012,229,0,,"Against the backdrop of a rural village with a beautiful landscape, Imhwa-ri, a postman riding a red bicycle, tells the story of our daily life with all of our sadness, joy, pain, and laughter. Let's meet with the postman on a red bicycle! (Source: YouTube)","['Adaptation (Manhwa) The Red Bicycle', '']",Ppalgan Jajeongeo,['Slice of Life'],['Kids'],,
124,"Kijeu CSI Gwahagsusadae, Kids CSI",키즈 CSI 과학수사대,,,,,['TV'],104,Finished Airing,"Jul 9, 2012 to Sep 15, 2014",['Summer 2012'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Mystery']",,23 min. per ep.,G - All Ages,[],#19411,#21373,208,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kijeu CSI,,['Kids'],,
125,Yuhuwa Chingudeul 2nd Season,유후와 친구들 2,,,,,['TV'],28,Finished Airing,"Oct 21, 2013 to May 24, 2014",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#16163,#21705,191,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Yuhuwa Chingudeul', '']",Yuhuwa Chingudeul 2,,['Kids'],,
126,Wondeoboljeu,원더볼즈,,,,,['TV'],26,Finished Airing,"Feb 28, 2014 to Aug 29, 2014",['Winter 2014'],Unknown,['Studio Goindol'],"None found,","None found,",Original,,,3 min. per ep.,PG - Children,[],#15354,#22086,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Wonder Balls Season 2', '']",Wonder Balls,['Comedy'],['Kids'],,
127,,参娃与天池怪兽,,,,,['TV'],78,Finished Airing,Sep 2012 to Oct 2014,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#17117,#24169,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Can Wa Yu Tianchi Guaishou,['Fantasy'],['Kids'],,
128,,두다다쿵,Duda & Dada,,,,['TV'],26,Finished Airing,"Dec 18, 2013 to May 21, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#17813,#24109,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Dudadakung 2nd Season', '']",Dudadakung,['Fantasy'],['Kids'],['Anthropomorphic'],
129,Dinosaurs Are Coming,恐龙来了,,,,,['TV'],26,Finished Airing,Jul 2013 to Oct 2014,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#19527,#24048,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Konglong Laile,['Fantasy'],['Kids'],['Anthropomorphic'],
130,,보글 쿡 원정대,Bubble Cook Expedition,,,,['TV'],52,Finished Airing,"Nov 21, 2013 to Jan 29, 2015",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,,23 min. per ep.,G - All Ages,[],#17059,#24322,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bubble Cook Wonjeongdae,['Gourmet'],['Kids'],,
131,,놓지마 정신줄,Hanging On!,,,,['TV'],26,Finished Airing,"Jan 25, 2014 to Sep 5, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",['Web manga'],,,24 min. per ep.,G - All Ages,[],#20711,#24530,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nohjima Jeongsinjul,['Comedy'],['Kids'],,
132,,꾸러기 케라톱스 코리요,,,,,['TV'],13,Finished Airing,"Feb 17, 2014 to May 26, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",Unknown,,,25 min. per ep.,PG - Children,[],#19478,#24926,95,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kkureogi Kelatobseu Koliyo,['Fantasy'],['Kids'],['Anthropomorphic'],
133,Noragami: Noraneko,ノラネコ,,,,,['ONA'],1,Finished Airing,"Apr 1, 2014",,,['Kodansha'],"None found,","None found,",['Manga'],,,35 sec.,G - All Ages,5.96,#10100,#5883,"14,032",15,4257,"A short video released on April Fool's Day 2014, which reimagines the cast of Noragami with cat ears. The title, Noraneko, means ""stray cat"" in Japanese.",[],Noraneko,['Comedy'],,,
134,Puchimas!!: Petit Petit Idolmaster,ぷちます！！プチプチ・アイドルマスター,PUCHIM@S 2,,,,['ONA'],74,Finished Airing,"Apr 1, 2014 to Jun 30, 2014",,,"None found,",['Funimation'],['Gathering'],['4-koma manga'],"['Comedy', 'Slice of Life']",,2 min. per ep.,PG-13 - Teens 13 or older,7.18,#3482,#7065,"8,979",14,3658,"From the popular game ""THE IDOLM@STER"", comes a petit spinoff cute and soothing 4-koma! The setting is the same 765 Production from the games.","['Prequel (ONA) Puchimas!: Petit iDOLM@STER', 'Adaptation (Manga) Puchimas!: Petit iDOLM@STER']",Puchimas!!: Petit Petit iDOLM@STER,,,['Idols (Female)'],
135,Miss Monochrome: Supporter,「ミス・モノクローム -The Animation-」OVA サッカー篇,,,,,['ONA'],1,Finished Airing,"Jun 17, 2014",,,"None found,","None found,","['SANZIGEN', 'LIDENFILMS']",Original,"['Comedy', 'Slice of Life', 'Sports']",,4 min.,G - All Ages,6.21,#8812,#7260,"8,417",2,4445,Special of Miss Monochrome. It's about football. Aired on the official Miss Monochrome YouTube channel.,[],Miss Monochrome The Animation: Soccer-hen,,,['Idols (Female)'],
136,,逃亡者・毛利小五郎,Detective Conan: The Fugitive Kogorou Mouri,,,,['ONA'],1,Finished Airing,"Apr 30, 2014",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Mystery']",,22 min.,PG-13 - Teens 13 or older,6.97,#4513,#7528,"7,611",2,3201,"File 594 that was never animated. To celebrate Detective Conan Movie 18 premiere, it was animated and streamed on NOTTV. This is where Kogorou Mouri is the fugitive.","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan: Toubousha Mouri Kogorou,,,,
137,"Chao You Bing: Zhi Yongzhe Chuanshuo, Chao Youbing",超有病,,,,,['ONA'],4,Finished Airing,"Apr 25, 2014 to Aug 20, 2014",,,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Fantasy']",,8 min. per ep.,R - 17+ (violence & profanity),5.34,#12572,#8497,"5,718",18,1077,A collection of animation that highlights the Sickness (increasing stupidity) that is plaguing this generation: Chao You Bing,[],Chao You Bing,,,['Parody'],
138,,時季（とき）は巡る～TOKYO STATION～,Passage of Time: Tokyo Station,,,,['ONA'],1,Finished Airing,"Jun 24, 2014",,,"None found,","None found,",['A-1 Pictures'],Original,,,5 min.,G - All Ages,6.52,#6927,#8722,"5,335",4,2648,"Misaki, a 25-year-old woman who is soon to be married, finds an old photo taken at Tokyo Station and an old, broken pocket watch from her late father. Her father worked at Tokyo Station during his life and was a very strict man in her memory, but she saw his smile from the old photo that she's never seen before. Misaki, in attempt to have the old pocket watch repaired, discovers that a watch store existed in Tokyo Station in the past.",[],Toki wa Meguru: Tokyo Station,['Slice of Life'],,,
139,Ace Censorate,王牌御史,,,,,['ONA'],39,Finished Airing,"Jun 27, 2014 to Jan 20, 2016",,,"['Tencent Animation & Comics', 'LAN Studio']","None found,",['Haoliners Animation League'],['Manga'],"['Comedy', 'Fantasy', 'Supernatural']",,9 min. per ep.,PG-13 - Teens 13 or older,6.53,#6916,#9847,"3,730",11,702,"In a world where yin and yang has lost its balance and day merged with night, humans and monsters learn to coexist. Our hardworking censorates do their best to fight the ‘untamed’ monsters in this joyful story. (Source: EIH Scans)","['Prequel (ONA) Wangpai Yushi Di 0 Ji', 'Adaptation (Manhua) Wangpai Yushi']",Wangpai Yushi,,,['School'],
140,School of Monsters! Wolf Girl Won't Give Up,がくモン!〜オオカミ少女はくじけない〜,,,,,['ONA'],3,Finished Airing,"Apr 25, 2014 to Dec 4, 2014",,,"None found,","None found,",['Studio Moriken'],['Manga'],,,6 min. per ep.,PG-13 - Teens 13 or older,6.41,#7657,#10978,"2,637",6,757,"”Wereman"" Shushu's life is turned upside down when her father tells her that despite what she was told her entire life, she is in fact a female, and cannot become a wereman. To be certified as a wereman so she can become a public servant and let her father retire, she enrolls in Monster Academy. There, she meets Juzu, the son of the monster king who founded the school. Although he is feared by everyone due to his status, when her secret is exposed to the monster prince, she finds out that Juzu is in fact stupid, but is kind and just wanted a friend. With all the eyes of the students on Shushu and Juzu, the inconspicuous life Shushu so direly desired goes down the drain. Note: The third episode will begin streaming on December 4, 2014 to celebrate the release of the manga's first compiled book volume, which will ship in Japan the same day. (Source: ANN)","['Adaptation (Manga) Gakumon!: Ookami Shoujo wa Kujikenai', '']",Gakumon!: Ookami Shoujo wa Kujikenai,['Comedy'],['Shounen'],['School'],
141,Wander! Underworld,迷走！アンダーワールド,,,,,['ONA'],1,Finished Airing,"Apr 15, 2014",,,"None found,","None found,",['Pierrot'],['Manga'],"['Action', 'Supernatural', 'Suspense']",,2 min.,R - 17+ (violence & profanity),5.68,#11485,#11172,"2,487",0,1268,"Seita dies after dozing off behind the wheel and wakes up in the underworld. However, the prize that a demon extracts from him is part of his body. (Source: ANN)","['Adaptation (One-shot) Meisou! Underworld', '']",Meisou! Underworld,,,,
142,,恐怖新聞 (2014),Horror News,,,,['ONA'],16,Finished Airing,"Apr 28, 2014 to Aug 1, 2014",,,"None found,","None found,",['Next Media Animation'],Unknown,"['Fantasy', 'Horror', 'Supernatural']",,10 min. per ep.,PG-13 - Teens 13 or older,5.46,#12247,#11412,"2,326",7,455,"Rei Kigata is a first year middle schooler at Ishido Middle School. He is not a believer of any paranormal phenomena such as existence of ghosts or spirits in any kind, but one day at midnight, while he is sleeping, a mysterious newspaper called ""Horror News"" is delivered to his room. The newspaper tells a story in which one of his teachers at the school will get killed in a car accident the following morning and Kigata will be a witness of the accident. The story turns into a fact in the following day and since then, the mysterious newspaper is delivered everyday. He realizes he is haunted by this newspaper and that his life span would be shortened in 100 days every time he reads it. (Source: Crunchyroll, edited)",[],Kyoufu Shinbun (2014),,,['Mythology'],
143,,SHOW BY ROCK!!×JOYSOUND,,,,,['ONA'],4,Finished Airing,"Jun 27, 2014 to May 15, 2016",,,['Sanrio'],"None found,","None found,",Game,,,1 min. per ep.,G - All Ages,5.46,#12238,#11420,"2,321",1,502,A series of cross-promotional shorts with Joysound featuring Show By Rock characters.,[],Show By Rock!! x Joysound,['Comedy'],,['Music'],
144,,ムーンレイカーズ,,,,,['ONA'],1,Finished Airing,"Apr 15, 2014",,,"None found,","None found,",['Pierrot'],['Manga'],"['Drama', 'Sci-Fi']",,2 min.,R - 17+ (violence & profanity),5.51,#12071,#11940,"1,978",1,1050,"An accident leaves Taishi stranded on the lunar surface, unable to return to Earth. A girl helps him in his despair, but he is oblivious to her true identity. (Source: ANN)","['Adaptation (One-shot) Moonrakers', '']",Moonrakers,,,['Space'],
145,,しげる,,,,,['ONA'],1,Finished Airing,"Jun 14, 2014",,,"None found,","None found,","None found,",Original,"['Avant Garde', 'Comedy']",,10 sec.,R+ - Mild Nudity,3.13,#13833,#11995,"1,951",5,1204,Short animation by Sawako Kabuki.,[],Shigeru,,,,
146,,チャンネル5.5,,,,,['ONA'],4,Finished Airing,"Apr 14, 2014 to Jun 18, 2014",,,"None found,","None found,",['DLE'],Unknown,,,4 min. per ep.,PG-13 - Teens 13 or older,4.99,#13226,#14087,"1,050",0,308,"Anime Project Channel 5.5, energy supplement Calorie Mate and Eagle Talon's Frogman have teamed up to present a spoof of the new Ghost in the Shell: Arise series. Though Maaya Sakamoto voices the famous cyborg Motoko Kusanagi in the Arise OVA, Sumire Uesaka stars in the parody. (Source: Crunchyroll)","['Prequel (ONA) Channel 5.5', 'Sequel (ONA) Channel 5.5 3rd Season Prologue']",Channel 5.5 2nd Season,['Comedy'],,['Parody'],
147,Qin's Moon Special: Birdsong in Hollow Valley,秦时明月 特别篇：空山鸟语,,,,,['ONA'],3,Finished Airing,"May 9, 2014 to Jul 8, 2014",,,"None found,","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Fantasy']","['Historical', 'Martial Arts']",26 min. per ep.,PG-13 - Teens 13 or older,6.48,#7244,#14246,"1,006",5,233,Spin-off episodes of the franchise Qin Shi Mingyue focusing on Baifeng.,[],Qin Shi Mingyue: Kong Shan Niao Yu,,,,
148,,神羅万象～天地神明の章～,,,,,['ONA'],1,Finished Airing,"Jun 29, 2014",,,"None found,","None found,",['Sunrise'],Other,"['Action', 'Fantasy']",,22 min.,PG-13 - Teens 13 or older,5.48,#12188,#14472,945,1,158,The ONA produced to celebrate the 10th anniversary of Shinra Bansho Choco from Bandai. Shinra Bansho Choco is a chocolate biscuit sandwich brand that includes a card that features characters of the Gods. (Source: MAL),[],Shinrabanshou: Tenchi Shinmei no Shou,,,,
149,,あぐかる PLAY WITH IBARAKI編,Agriculture Angel BARAKI: Play with Ibaraki,,,,['ONA'],20,Finished Airing,"Jun 6, 2014 to Mar 21, 2015",,,['Studio PuYUKAI'],"None found,","None found,",Original,"['Slice of Life', 'Supernatural']",,7 min. per ep.,G - All Ages,5.49,#12132,#15589,689,0,176,Sanae has now left the countryside to view the tourist wonders of the Ibaraki prefecture. Villains are still after her so her agriculture magic powers still come in hand.,"['Prequel (ONA) Agukaru: Play with Ibaraki-hen Episode 0', '']",Agukaru: Play with Ibaraki-hen,,,,
150,"Eagle Talon, Himitsukessha Taka no Tsume, The Frogman Show",３分で分かる小泉八雲の怪談,,,,,['ONA'],7,Finished Airing,"May 9, 2014 to Jul 8, 2015",,,"None found,","None found,","None found,",Book,"['Comedy', 'Horror', 'Supernatural']","['Historical', 'Parody']",3 min. per ep.,G - All Ages,5.26,#12789,#16595,547,0,163,"Stories from Patrick Lafcadio Hearn's book Kwaidan: Stories and Studies of Strange Things. The Greek-American author was known as Koizumi Yakumo in Japan and is renowned for collecting and publishing stories of Japanese folklore and legends. The shorts were made for a Matsue City tourism promotion, as Hearn taught, lived, and married there. His home is a museum people can visit.","['Sequel (ONA) Heisei Matsue Kaidan', '']",3-pun de Wakaru Koizumi Yakumo no Kaidan,,,,
151,Koushisu!,こうしす！こちら京姫鉄道　広報システム課,,,,,['ONA'],6,Finished Airing,"Apr 9, 2014 to Jan 12, 2024",,,"None found,","None found,","None found,",Unknown,,,16 min. per ep.,PG-13 - Teens 13 or older,[],#19548,#17057,498,1,,Comedy anime about the staff of Keihime Railway Company.,[],KoSys! Kochira Keihime Tetsudou: Kouhou System-ka,['Comedy'],,,
152,Momon's Sandwitch,ももん'ず さんどうぃっち,,,,,['ONA'],8,Finished Airing,"Apr 1, 2014 to Sep 2, 2014",,,"None found,","None found,","None found,",Original,,,2 min. per ep.,G - All Ages,5.74,#11199,#17069,496,0,135,"Momon and her pet Tanu have been close friends since childhood and have always been together. Before long, Momon became an elementary school student, and one day when a new student transfers to her class, their lives begin to change...","[""Prequel (ONA) Momon's Sand Witch Episode 0"", '']",Momon's Sand Witch,['Comedy'],['Kids'],,
