,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genres,Theme,Demographics
38,境界のRINNE,RIN-NE Season 2,RIN-NE Staffel 2,RIN-NE: Temporada 2,RIN-NE Saison 2,['TV'],25,Finished Airing,"Apr 9, 2016 to Sep 24, 2016",['Spring 2016'],Saturdays at 17:30 (JST),"['Shogakukan-Shueisha Productions', 'NHK', 'Shogakukan']",['Sentai Filmworks'],"[""Brain's Base""]",['Manga'],,"['Mythology', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3687,#3947,"36,004",35,14250,"High school student Sakura Mamiya and impoverished death god Rinne Rokudou continue to confront the supernatural. Pulled into the problems of their quirky acquaintances, the pair again find themselves immersed in trouble. Ageha's black cat Oboro seeks revenge for alleged mistreatment and demands Ageha to nullify their contract. When she refuses to do so, a bitter quarrel breaks out between them. Meanwhile, the scheming Damashigami Company shows no sign of halting its wrongdoings, and the bat-like demon Masato continues to commit devious acts to pursue his long-awaited revenge on Rinne. For Sakura and Rinne, these paranormal complications never seem to end. As their saga continues to unfold, they must cope with these unusual circumstances as they appear, all while facing problems of their own. [Written by MAL Rewrite]","['Prequel (TV) Kyoukai no Rinne', 'Sequel (TV) Kyoukai no Rinne 3rd Season', 'Adaptation (Manga) Kyoukai no Rinne', '']",Kyoukai no Rinne 2nd Season,,"['Comedy', 'Supernatural']",,
39,ベイブレードバースト,,,,,['TV'],51,Finished Airing,"Apr 4, 2016 to Mar 27, 2017",['Spring 2016'],Mondays at 17:55 (JST),"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['OLM'],['Manga'],,,['Kids'],24 min. per ep.,PG - Children,6.64,#6264,#3988,"35,181",207,21099,"The story revolves around Valt Aoi and Shu Kurenai as well as their teammates, Rantaro Kiyama, Daina Kurogami and Wakiya Komurasaki at the Beigoma Academy school in Japan. When not studying, the close friends are obsessed with their Beyblade, creating a school bey club later in the season and challenging each other to battles at their Bey Stadium. The friends eventually become friendly rivals as they compete against each other in a competition to claim the title of Japan’s top Blader. (Source: Beyblade Wiki)","['Sequel (TV) Beyblade Burst God', 'Adaptation (Manga) Beyblade Burst']",Beyblade Burst,,"['Adventure', 'Sci-Fi', 'Sports']",,
40,ワガママハイスペック,Wagamama High Spec,,,,['TV'],12,Finished Airing,"Apr 12, 2016 to Jun 28, 2016",['Spring 2016'],Tuesdays at 01:10 (JST),['Hobi Animation'],"None found,",['AXsiZ'],Visual novel,['Comedy'],,,3 min. per ep.,PG-13 - Teens 13 or older,5.38,#12488,#4032,"34,457",30,14375,"The adorable girls of Ousui Academy's student council love to spend time with their crush, Kouki Narumi. But what happens when he isn't around? For the student council, consisting of otaku president Kaoruko Rokuonji; headstrong Ashe Rufflette Sakuragi; quiet computer programmer Toa Narumi; and Toa's best friend, the impish Mihiro Miyase, it means they will have to keep themselves entertained. Wagamama High Spec offers a glimpse into the girls' lives as they get into amusing—and sometimes risqué—hijinks at their school and around town. [Written by MAL Rewrite]",[],Wagamama High Spec,,,['School'],
41,パンでPeace！,Pan de Peace!,,,,['TV'],13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",['Spring 2016'],Sundays at 20:55 (JST),"['Jinnan Studio', 'Contents Seed']","None found,",['Asahi Production'],['4-koma manga'],,"['CGDCT', 'School']",,3 min. per ep.,PG-13 - Teens 13 or older,5.65,#11598,#4090,"33,658",37,15956,"For the airheaded Minami Tani, there is nothing more delightful than delicious bread for breakfast. Bonding over a mutual love for the food, Minami meets the dignified Yuu Aizawa and the upbeat Fuyumi Fukagawa. Joining them is Noa Sakura, a pint-sized girl who sees bread as the ultimate weapon of self-defense. Together, the girls strengthen their bonds of friendship, while striving to sample every kind of bread this world has to offer. [Written by MAL Rewrite]","['Adaptation (Manga) Pan de Peace!', '']",Pan de Peace!,Peace Through Bread!,"['Comedy', 'Gourmet', 'Slice of Life']",,
42,鬼斬,Onigiri,,,,['TV'],13,Finished Airing,"Apr 7, 2016 to Jun 30, 2016",['Spring 2016'],Thursdays at 01:00 (JST),"['Pierrot', 'Being', 'Zack Promotion', 'Bushiroad Music']",['Sentai Filmworks'],['Pierrot Plus'],Game,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.33,#12619,#4172,"32,212",42,10412,"Ancient Japan is under attack by powerful beings called ""Kamikui,"" and it is up to the ""Oni"" and his band of eight beautiful female warriors to stop them. Each of these girls have unique skills, abilities, and personalities. They partner themselves with the Oni, Jin, to stop the miasma of darkness sweeping across Japan. Onigiri follows the escapades of Jin and his merry companions as they strengthen their bonds and fend off the demonic invasion. [Written by MAL Rewrite]","['Adaptation (Manga) Onigiri', '']",Onigiri,"Demon Cutter, Demon Slayer","['Comedy', 'Fantasy']",['Mythology'],
43,アイカツスターズ！,,,,,['TV'],100,Finished Airing,"Apr 7, 2016 to Mar 29, 2018",['Spring 2016'],Thursdays at 18:25 (JST),"['TV Tokyo', 'Echoes']","None found,",['Bandai Namco Pictures'],Original,['Slice of Life'],"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.62,#1490,#4998,"21,425",308,7315,"Yume Nijino has been accepted into Four Stars academy, home of the beautiful and talented S4 idol group. She and the other newcomers are determined to discover their talent, with a choice of specializing in beauty, singing, dancing, or drama. A tough road lies ahead of them, and they must rely on each other to overcome their weaknesses and develop their unique strengths. At the first-years' opening performances, Yume performs stellarly but faints and is unable to remember being on stage at all. Struggling to find her talent, she meets Rola ""Laura"" Sakuraba, and the two develop a friendly rivalry, working together to learn and improve. Though they have their differences, all the students share the same goal: to become the next S4 idol. But hard work and determination, along with teamwork, are needed if they want to join the elite S4. [Written by MAL Rewrite]",[],Aikatsu Stars!,,,,
44,影鰐-KAGEWANI-承,Kagewani -II-,Kagewani -Ⅱ-,Kagewani -Ⅱ-,Kagewani -Ⅱ-,['TV'],13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016",['Spring 2016'],Fridays at 22:40 (JST),['Directions'],"None found,",['Tomovies'],Original,,,,7 min. per ep.,R - 17+ (violence & profanity),6.41,#7648,#5201,"19,467",20,8313,"After surviving the onslaught at Sarugaku headquarters, Sousuke Banba resumes his investigation of the Kagewani monster hybrids. Armed with the ability to harness the Kagewani's power, the researcher now has a means to eliminate the creatures. But despite the benefits of this skill, it has one major drawback: Sousuke now struggles to maintain his sanity, with the power threatening to consume his body. Soon, threats old and new begin to rear their heads, as the upper echelons of Sarugaku become active once again and an assassin with a personal vendetta sets her sights on Sousuke. Nevertheless, he resolutely forges ahead on his mission, determined to track down the origins of the Kagewani and eliminate their threat once and for all. [Written by MAL Rewrite]","['Prequel (TV) Kagewani', '']",Kagewani: Shou,,"['Horror', 'Mystery', 'Supernatural']",,
45,とんかつDJアゲ太郎,,,Tonkatsu DJ Agetaro,Tonkatsu DJ Age-Tarou,['TV'],12,Finished Airing,"Apr 10, 2016 to Jun 26, 2016",['Spring 2016'],Sundays at 22:15 (JST),"['Yomiuri Telecasting', 'DAX Production', 'Shueisha', 'Yomiuri TV Enterprise']","None found,",['Studio Deen'],['Manga'],['Comedy'],,['Shounen'],9 min. per ep.,PG-13 - Teens 13 or older,7.14,#3717,#5748,"14,967",107,6846,"Tonkatsu chef by day, professional DJ by night—this is the aspiration of Agetarou Katsumata, whose family owns a small tonkatsu shop in Shibuya. One night, Agetarou delivers an order to a staff member at a nightclub and gets invited inside as a token of thanks. Although nervous at first, he soon finds himself absorbed by the atmosphere, falling in love with the dancing girls, flashing lights, and groovy music. Agetarou starts visiting the club regularly until a certain night leads him to a chance encounter with a legendary American DJ: Big Master Fly. Putting on a spectacular show, the DJ sparks an epiphany in Agetarou—the groove of mixing music appears to be strikingly similar to the rhythm of preparing tonkatsu. Thenceforth Agetarou sets his sights on becoming a master of both disciplines. With the help of his neighborhood friends and his mentor DJ Oily, Agetarou pursues his dream all the while dealing with familial problems, love issues, and many other kinds of trouble. Tonkatsu DJ Agetarou is a hilarious tale about an impulsive young boy trying to find his own path in life, while still fulfilling his familial and social responsibilities. [Written by MAL Rewrite]","['Adaptation (Manga) Tonkatsu DJ Agetarou', '']",Tonkatsu DJ Agetarou,,,['Music'],
46,うさかめ,Usakame,,,,['TV'],12,Finished Airing,"Apr 12, 2016 to Jun 28, 2016",['Spring 2016'],Tuesdays at 01:05 (JST),"['DAX Production', 'Earth Star Entertainment']","None found,",['Millepensee'],['Manga'],,,['Shounen'],3 min. per ep.,PG-13 - Teens 13 or older,5.76,#11136,#5961,"13,595",8,6530,"The girls of the Usakame High tennis club, Tanaka Kinako, Suzuki Ayako, Sato Kurumi, and Nishiarai-Taishi Nishi, pursue their various dreams... This high school comedy kind of thing starts now. Usakame, the official rival of the high intensity comedy Teekyuu, depicts the mostly ordinary but slightly strange daily lives of four girls who devote themselves to practice. All members of Earth Star Dream, an Earth Star Entertainment idol unit of nationally famous voice actors, appear in the show! Sit back, relax, and enjoy Teekyuu's rival Usakame. (Source: Crunchyroll)","['Adaptation (Manga) Usakame', '']",Usakame,,"['Comedy', 'Sports']",,
47,ラグナストライクエンジェルズ,,,,,['TV'],12,Finished Airing,"Apr 3, 2016 to Jun 19, 2016",['Spring 2016'],Sundays at 00:56 (JST),['Aniplex'],"None found,",['Satelight'],Game,['Action'],,,30 sec. per ep.,PG-13 - Teens 13 or older,4.30,#13711,#5999,"13,394",14,5243,"In the near future, massive hostile beings called ""Fiarem"" are waging war on Earth. To defend the world from this alien threat, Japan unleashes a special team known as ""Ragna Strikers""—six young women wielding advanced weaponry and the ability to grow to gigantic sizes. Ragnastrike Angels follows Ayano Anemori and her friends as they live their daily lives and battle the violent Fiarem. [Written by MAL Rewrite]",[],Ragnastrike Angels,,,,
48,カードファイト!! ヴァンガードG ストライドゲート編,Cardfight!! Vanguard G Stride Gate,Cardfight!! Vanguard G Stride Gate,Cardfight!! Vanguard G Stride Gate,Cardfight!! Vanguard G Stride Gate,['TV'],24,Finished Airing,"Apr 17, 2016 to Sep 25, 2016",['Spring 2016'],Sundays at 10:00 (JST),"None found,","None found,",['TMS Entertainment'],Card game,['Action'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5753,#6507,"10,934",17,5112,The second half of the second season of Cardfight!! Vanguard G series.,"['Prequel (TV) Cardfight!! Vanguard G: GIRS Crisis-hen', 'Sequel (TV) Cardfight!! Vanguard G Next']",Cardfight!! Vanguard G: Stride Gate-hen,,,['Strategy Game'],
49,美少女遊戯ユニットクレーンゲール Crane Game Girls,Crane Game Girls,Crane Game Girls,Crane Game Girls,Crane Game Girls,['TV'],13,Finished Airing,"Apr 6, 2016 to Jun 29, 2016",['Spring 2016'],Wednesdays at 22:00 (JST),"None found,","None found,",['Kyotoma'],Original,,"['Space', 'Strategy Game']",,4 min. per ep.,PG - Children,4.40,#13679,#7250,"8,437",6,4086,"One day, Saya, an agent of the World Space Association, receives a sudden message that says a large number of asteroids are on a collision course with Earth, and it is her mission to stop them. Unfortunately, the only way to save the Earth is by having three people with extraordinary potential demonstrate a new skill on a crane game, which will create a beam of energy able to divert the asteroids. The only three people with enough potential are three high school girls—Asuka, Mirai, and Kyouko. In order to harness their energy, Saya tells them that she has scouted them as idols and has them work at an arcade where she can monitor them. She says to the girls that all successful idols are good at crane games, and that building their skills is their first step in idol training. As the girls learn new crane game techniques, they begin to doubt Saya's intentions but are nonetheless unaware that the fate of the Earth lies in their hands. [Written by MAL Rewrite]","['Sequel (TV) Bishoujo Yuugi Unit Crane Game Girls Galaxy', '']",Bishoujo Yuugi Unit Crane Game Girls,Bishoujo Yuugi Unit Crane Gale: Crane Game Girls,"['Comedy', 'Sci-Fi']",,
50,薄桜鬼～御伽草子～,,,,,['TV'],12,Finished Airing,"Apr 5, 2016 to Jun 28, 2016",['Spring 2016'],Tuesdays at 21:55 (JST),"None found,","None found,",['DLE'],Visual novel,['Supernatural'],"['Historical', 'Samurai']",['Josei'],3 min. per ep.,PG-13 - Teens 13 or older,6.59,#6535,#7960,"6,688",10,2195,"Features the characters from the games in chibi form with a completely new story with the theme: ""A normal everyday that might have existed.""",[],Hakuouki: Otogisoushi,,,,
51,怪盗ジョーカー シーズン,JOKER 3rd Season,,,,['TV'],13,Finished Airing,"Apr 4, 2016 to Jun 27, 2016",['Spring 2016'],Mondays at 19:00 (JST),"['Vega Entertainment', 'Asatsu DK', 'Kids Station', 'Half H.P Studio', 'Tokyo MX']","None found,",['Shin-Ei Animation'],['Manga'],,,['Kids'],24 min. per ep.,PG - Children,7.23,#3196,#8466,"5,763",13,2651,"Third season in the Kaitou Joker anime series. The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure. (Source: ANN)","['Prequel (TV) Kaitou Joker 2nd Season', 'Sequel (TV) Kaitou Joker 4th Season', 'Adaptation (Manga) Kaitou Joker', '']",Kaitou Joker 3rd Season,Mysterious Joker Third Season,"['Adventure', 'Comedy', 'Mystery']",,
52,フューチャーカード バディファイトDDD,Future Card Buddyfight Triple D,,,,['TV'],51,Finished Airing,"Apr 2, 2016 to Mar 25, 2017",['Spring 2016'],Saturdays at 08:00 (JST),['Bushiroad'],"None found,","['Xebec', 'OLM']",Card game,,,,23 min. per ep.,PG - Children,6.59,#6530,#8817,"5,184",10,2555,Third season of Future Card Buddyfight.,"['Prequel (TV) Future Card Buddyfight Hundred', 'Sequel (TV) Future Card Buddyfight Battsu']",Future Card Buddyfight Triple D,,,['Strategy Game'],
53,ねこねこ日本史,Meow Meow Japanese History,Meow Meow Japanese History,Historia Gatuna Japonesa (Neko Neko Nihonshi),Meow Meow Japanese History,['TV'],32,Finished Airing,"Apr 6, 2016 to Feb 22, 2017",['Spring 2016'],Wednesdays at 18:45 (JST),"None found,","None found,",['Joker Films'],['Web manga'],,"['Anthropomorphic', 'Historical', 'Parody', 'Samurai']",['Kids'],9 min. per ep.,G - All Ages,6.23,#8699,#10023,"3,514",8,663,"The story imagines if Japanese historical figures such as Queen Himiko, the warlord Oda Nobunaga, and samurai Sakamoto Ryouma were cats. (Source: ANN)","['Sequel (TV) Neko Neko Nihonshi 2nd Season', 'Adaptation (Manga) Neko Neko Nihonshi']",Neko Neko Nihonshi,,,,
54,ぼのぼの,Bono Bono,Bono Bono,Bono Bono,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],,,,5 min.,G - All Ages,6.37,#7884,#10237,"3,281",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),,"['Comedy', 'Slice of Life']",['Anthropomorphic'],
55,少年アシベ GO！GO！ゴマちゃん,,Shonen Ashibe Go! Go! Goma-chan,Shonen Ashibe Go! Go! Goma-chan,Shônen Ashibe Go! Go! Goma-chan,['TV'],32,Finished Airing,"Apr 5, 2016 to Feb 21, 2017",['Spring 2016'],Tuesdays at 18:45 (JST),"None found,","None found,","['Bridge', 'Husio Studio']",['4-koma manga'],,,['Seinen'],9 min. per ep.,G - All Ages,6.14,#9130,#10490,"3,053",8,987,Shounen Ashibe follows the daily life of first-grader Ashibe Ashiya and his spotted seal pet Goma-chan. (Source: MAL News),"['Sequel (TV) Shounen Ashibe: Go! Go! Goma-chan 2', 'Adaptation (Manga) Shounen Ashibe', 'Adaptation (Manga) Shounen Ashibe: Go! Go! Goma-chan', '']",Shounen Ashibe: Go! Go! Goma-chan,Young Ashibe: Go! Go! Goma-chan,"['Comedy', 'Slice of Life']",['Pets'],
56,デュエル・マスターズVSRF,Duel Masters Versus Revolution Final,,,,['TV'],51,Finished Airing,"Apr 3, 2016 to Mar 26, 2017",['Spring 2016'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Studio Hibari']","None found,",['Ascension'],Original,,,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,5.56,#11945,#12142,"1,861",5,430,"It is the sequel of Versus Revolution, continuing the chain of events after the battle between the Invaders and Revolutionary. It is also the last season and conclusion of the Versus saga in the anime The 'V' mark that was once on Katta Kirifuda's forehead hides a mysterious force. However, the power was sealed off. Even though the impact of removing the seal does not do much, but Hamukatsu starts to talk! Plus more hamsters that are like Hamukatsu starts to appear! They were then told about a secret organization, the ""Rare Killers"", with the members being transfer students of the school! What is the mystery of the hamsters like Hamukatsu and who exactly are the Rare Killers? The final battle is about to start! (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters VSR', 'Sequel (TV) Duel Masters (2017)']",Duel Masters VSRF,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,
57,バトルスピリッツ ダブルドライブ,,,,,['TV'],51,Finished Airing,"Apr 6, 2016 to Mar 29, 2017",['Spring 2016'],Wednesdays at 17:55 (JST),"None found,","None found,",['Bandai Namco Pictures'],Card game,['Fantasy'],,,24 min. per ep.,PG - Children,5.72,#11283,#12224,"1,801",3,395,"Shunta Mogami loves the Battle Spirits game. One day he is transported by a light from a Battle Spirits card to Spirits World, the origin of all Battle Spirits. He meets a girl named Eto, who claims to have summoned him to Spirits World in order to prevent its destruction at the hands of the revived Evil God-King, who once plotted the destruction of Spirits World before being defeated and sealed away. Together with the confident, green-deck-wielding Yoku Albatrosa, who also came from another world, Shunta sets out to find the twelve God-Kings whose power originally sealed the Evil God-King. (Source: ANN)",[],Battle Spirits: Double Drive,Battle Spirits Season 9,,['Strategy Game'],
58,あはれ! 名作くん,Aware! Meisaku-kun,,,,['TV'],230,Finished Airing,"Apr 8, 2016 to Mar 4, 2022",['Spring 2016'],Fridays at 18:20 (JST),"None found,","None found,",['Pie in the sky'],Original,['Comedy'],"['Parody', 'School']",['Kids'],5 min. per ep.,G - All Ages,6.11,#9318,#14431,951,1,213,"A long, long time ago, there was a prestigious school called ""Ryuuguu Elementary School"" that produced many masterpiece characters. One day, an ordinary boy named Meisaku Matsuda enrolled at the school. Little did he know that the place for learning was filled with crazy characters like Sweets, the energetic idiot; Musubi, a rice ball who gets angry when called ""onigiri""; Nokio, a narcissistic self-proclaimed robot; and Bolt, who's clearly faster than a rabbit. Surrounded by such unique characters, will Meisaku be able to graduate as a splendid masterpiece character? (Source: Anime News Network)",[],Aware! Meisaku-kun,Ahare! Meisaku-kun,,,
59,朝だよ！貝社員,,,,,['TV'],744,Finished Airing,"Apr 4, 2016 to Mar 29, 2019",['Spring 2016'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,['Comedy'],,,44 sec. per ep.,G - All Ages,5.59,#11847,#14702,888,2,159,The series follows a variety of employed shellfish who exhibit selfish or odd personality traits. (Source: LiveChart),[],Asa da yo! Kaishain,Clamployee,,['Workplace'],
60,CoCO & NiCO,,,,,['TV'],39,Finished Airing,"Apr 8, 2016 to Feb 3, 2017",['Spring 2016'],Fridays at Unknown,"['Sony Music Entertainment', 'MMDGP', 'Tokyo MX']","None found,",['Kachidoki Studio'],Original,['Comedy'],,['Kids'],1 min. per ep.,G - All Ages,[],#17392,#14939,826,2,,"CoCO and her sister NiCO are under training to become graceful and elegant cat princesses. They are watched over and trained by the strict but caring Lady Oppenheimer. CoCO and NiCO keeps Lady Oppenheimer quite busy as they try their best to learn the ways of a princess, and have fun with a little mischief along the way. (Source: Japan International Broadcasting)",[],CoCO & NiCO,,,,
61,猫も、オンダケ,,,,,['TV'],12,Finished Airing,"Apr 1, 2016 to Jun 17, 2016",['Spring 2016'],Fridays at 15:50 (JST),"['Kadokawa Shoten', 'Kadokawa', 'CUCURI']","None found,",['Studio! Cucuri'],['4-koma manga'],,,,1 min. per ep.,G - All Ages,4.95,#13270,#15398,720,0,199,"The manga is set in Matsuyama City in the southwestern prefecture of Ehime on Shikoku Island during the Showa 40s era (1965-1975). The Onda family includes the big sister Sachiko who is a passionate fan of the idol Hiromi Dō, the little brother Takushi who is terrible at arithmetic, the father Yoshito who works at a factory and is a Yomiuri Giants baseball fan, the mother Natsuko who wants to build a house for the family, and the newest addition — a cat named Mii. (Source: ANN)",[],"Neko mo, Onda-ke",,"['Comedy', 'Slice of Life']",,
62,カミワザ・ワンダ,,,,,['TV'],47,Finished Airing,"Apr 23, 2016 to Mar 25, 2017",['Spring 2016'],Saturdays at 07:00 (JST),['TBS'],"None found,",['TMS Entertainment'],Original,['Sci-Fi'],,['Kids'],24 min. per ep.,PG - Children,[],#19287,#15444,713,0,,"The story is set in a world where every event has been turned into programs, and mysterious monsters known as ""Promin"" maintain the world. However, many Promin who have turned into bugs known as ""Bugmin"" are responsible for many of the world's real-life bugs. Left alone, they may eventually turn into a big problem. The boy Yuuto encounters the space dog Wanda, and the pair use a camera-like device and key items to capture Bugmin. Promin themselves are able to do things like ""accelerate objects,"" ""spew fire,"" or ""create objects,"" through an ability known as ""Kamiwaza"" (miracle), and are able to fend off Bugmin with it. At first, the Bugmin only cause small, bothersome things, but it will soon elevate into a global scale threat. Can one boy and one dog save the world? (Source: ANN)",[],Kamiwaza Wanda,,,,
63,터닝메카드 W,Turning Mecard W,,,,['TV'],26,Finished Airing,"May 19, 2016 to Nov 17, 2016",['Spring 2016'],Thursdays at 17:30 (JST),"None found,","None found,","None found,",Unknown,['Adventure'],"['Mecha', 'Racing', 'Strategy Game']",['Kids'],28 min. per ep.,PG - Children,6.14,#9135,#15809,653,2,199,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Turning Mecard', 'Sequel (TV) Turning Mecard W Season 2']",Turning Mecard W,"Turning Mecard Wing, 터닝메카드 Wing",,,
64,なめこ～せかいのともだち～,,,,,['TV'],26,Finished Airing,"Apr 10, 2016 to Feb 12, 2017",['Spring 2016'],Sundays at 17:00 (JST),"['Zexcs', 'BeeWorks']","None found,",['Studio Deen'],Game,['Comedy'],,['Kids'],3 min. per ep.,G - All Ages,[],#20544,#15929,635,1,,Nameko Forest gathers nameko from all over the world. They form the Nameko Universal Ranger (NUR) to convey the charm of the forest. It's an everyday life of inviting new nameko with unique personalities to the forests. What incident will happen today?,[],Nameko: Sekai no Tomodachi,,,,
65,パンパカパンツ WおNEW！,,,,,['TV'],26,Finished Airing,"Apr 2, 2016 to Oct 15, 2016",['Spring 2016'],Saturdays at 05:25 (JST),['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,['Comedy'],,['Kids'],5 min. per ep.,G - All Ages,[],#20952,#17628,449,0,,Sequel to Panpaka Pants O-New!. It follows a young underwear-wearing pig and his adventures.,"['Prequel (TV) Panpaka Pants O-New!', 'Sequel (TV) Panpaka Pants O New-san']",Panpaka Pants W-O-New!,Panpaka Pantsu W-O-New!,,,
66,机甲兽神之爆裂飞车,Screechers Wild!,,,,['TV'],40,Finished Airing,"Mar 14, 2016 to Apr 21, 2016",['Spring 2016'],Unknown,"None found,","None found,",['Alpha Animation'],Original,,,,23 min. per ep.,PG - Children,5.92,#10313,#17719,441,0,123,"Bang! One day, the Universe exploded! The explosion produced a number of light crystals which scattered in the Earth and became energy coins. Some energy life entities also came to the Earth and existed as mini cars to chase light crystals. Once those mini cars grasped light crystals, they would return to their original forms. A group of evil attempted to plot against the Earth with the super power of light crystals. To protect the Earth, the righteous kids Hawley, Kinson and Yolan help the mini cars of the justice side to collect energy coins. Armed with Eagle Car and Dragon Car, the two brothers are ready to fight against the Commander-K leaded evil force. The war is on… (Source: YouTube)","['Sequel (ONA) Baolie Feiche II: Xing Neng Juexing', '']",Ji Jia Shou Shen: Baolie Feiche,Opti-Morphs,"['Action', 'Adventure']",['Racing'],
67,파워배틀 와치카,Power Battle Watch Car,,Watchcar,,['TV'],13,Finished Airing,"Apr 7, 2016 to Jul 7, 2016",['Spring 2016'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,,['Kids'],26 min. per ep.,G - All Ages,5.92,#10325,#18033,416,1,146,"The series is set in the near future, when an automobile company named JHC Motors is depicted to have created the Watch Cars, which are miniature sentient robotic cars that are supposed to have become good companions to children and adults alike. Watch Cars are depicted to have become a global trend. There is a Battle League where Watch Cars and their trainers battle. Jino, one of the young Watch Car Masters, goes to the Watch Car Battle League with his Watch Car Blue-will, but The Rangers of Darkness an evil force to takeover al the watch cars in The city, Jino and his friends must stop them. (Source: Wiki)","['Sequel (TV) Power Battle Watch Car Season 2', '']",Power Battle Watch Car,,,['Racing'],
68,뽀롱뽀롱 뽀로로 6,Pororo the Little Penguin 6,,"Pororo, el Pequeño Pingüino Serie 6",,['TV'],26,Finished Airing,"Mar 2, 2016 to May 26, 2016",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,5.80,#10935,#18118,411,0,138,"The sixth season of Pororo, many episodes take place in the Summer Islands.","['Prequel (TV) Porong Porong Pororo 5', 'Sequel (TV) Porong Porong Pororo 7']",Porong Porong Pororo 6,,,,
69,それいけ! サブイボマスク,,,,,['TV'],8,Finished Airing,"May 6, 2016 to Jun 24, 2016",['Spring 2016'],Fridays at 21:55 (JST),"None found,","None found,",['DLE'],Other,,,,1 min. per ep.,None,[],#14549,#18442,386,0,,"The story features the Sabuibo Mask live-action film's main character, Sabuibo Mask, attempting to solve various problems in his rural town. (Source: ANN)",[],Sore Ike! Sabuibo Mask,,"['Comedy', 'Slice of Life']",,
70,わしも-wasimo-(第4シリーズ),,,,,['TV'],44,Finished Airing,"Apr 4, 2016 to Sep 13, 2016",['Spring 2016'],Mondays at 18:00 (JST),"None found,","None found,",['Studio Deen'],Picture book,,,['Kids'],10 min. per ep.,G - All Ages,[],#15259,#18700,366,0,,Fourth season of the Washimo series.,"['Prequel (TV) Washimo 3rd Season', 'Sequel (TV) Washimo 5th Season']",Washimo 4th Season,Wasimo 4,"['Comedy', 'Sci-Fi', 'Slice of Life']",['School'],
71,ムズムズエイティーン,,,,,['TV'],20,Finished Airing,"May 3, 2016 to Jan 14, 2017",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,['Slice of Life'],,,2 min. per ep.,G - All Ages,[],#20497,#19188,333,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Muzumuzu Eighteen,Mzmz18,,,
72,猪猪侠 光明守卫者,GG Bond Season 11,,,,['TV'],52,Finished Airing,"Apr 29, 2016 to Aug 24, 2016",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,['Sci-Fi'],,['Kids'],15 min. per ep.,G - All Ages,[],#16363,#19608,307,0,,"Twin City, as legend has it, is an evil city which was born at the time when Crystal City was created. There is a mirror-like lake above the city which has a horrifying power. It enables people to face the darkest side deep within their hearts. This darkness manifests as the person's opposite. The heroes must send these malicious beings back to their realm before they tear Crystal City apart.","['Prequel (TV) Zhu Zhu Xia: Wu Ling Shou Wei Zhe', 'Sequel (TV) Zhu Zhu Xia: Meng Xiang Shou Wei Zhe']",Zhu Zhu Xia: Guang Ming Shou Wei Zhe,GG Bond 11,,['Super Power'],
