,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Genre,Demographics
122,,ともだち8にん,,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14949,#17776,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,['Kids'],['Comedy'],
123,,オトッペ,,,,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,,['Music'],3 min. per ep.,G - All Ages,[],#20907,#17772,435,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,,['Kids'],['Fantasy'],
124,,드래곤에그,Dragon Egg,,,,['TV'],52,Finished Airing,"Nov 6, 2017 to Apr 25, 2019",['Fall 2017'],Mondays at 17:00 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,24 min. per ep.,G - All Ages,[],#17790,#17823,432,1,,"10 years ago, a mysterious stone which looks just like an egg was found. This egg turns out to be an ancient legendary Dragon Egg and it later transformed in to a dragon. People call this the ‘First Hatching’ and found out that they are able to use a dragon’s powerful energy only if they can speak the language of dragon. Soon after they found out this, an international society choose talented children to communicate with dragon and train them to carry out impossible missions. This group of children are called as Knights of Dragon. The Knights of Dragon carry out impossible missions successfully by finding dragons and their language hidden all around the world. Everything working out great only before they got attack from Defectors… (Source: Official YouTube channel)",[],Dragon Egg,,['Kids'],,
125,Frog Prince and Caterpillar Henry,カエル王子といもむしヘンリー,Frog Prince & Henry The Caterpillar,,,,['TV'],130,Finished Airing,"Jul 2, 2018 to Dec 28, 2018",['Summer 2018'],Not scheduled once per week,"None found,","None found,","None found,",Other,"['Comedy', 'Fantasy']",,40 sec. per ep.,G - All Ages,[],#19170,#17951,423,0,,"The story centers on a frog prince cursed by a witch and his servant, a caterpillar named Henry. (Source: ANN)",[],Kaeru Ouji to Imomushi Henry,,,,
126,,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20935,#18313,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,['Kids'],,
127,"Deeky and Carina 2nd Season, Deeky & Carina 2nd Season",ディッキー&カリーナ 2ndシーズン,Caribadix 2nd Season,,,,['TV'],39,Finished Airing,"Apr 1, 2018 to Jan 6, 2019",['Spring 2018'],Sundays at Unknown,"None found,","None found,","None found,",Original,,['Music'],45 sec. per ep.,PG - Children,[],#17143,#18389,391,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Caribadix', '']",Caribadix 2nd Season,,,['Comedy'],
128,,キャラとおたまじゃくし島,,,,,['TV'],40,Finished Airing,"Apr 2, 2018 to Jan 28, 2019",['Spring 2018'],Mondays at 10:15 (JST),"['Dentsu', 'NHK']","None found,",['33 Collective'],Original,"['Adventure', 'Fantasy']",,5 min. per ep.,G - All Ages,[],#17229,#18701,366,0,,"The anime is set on the titular Musical Note Island, where the god of music is said to reside. The island is home to ""instrument animals,"" who are born from music energy, and have parts of their body composed of a musical instrument. One day, a witch arrives at the island. The warrior girl Cara must go on a journey to defeat the witch and win back the peace on the island. (Source: ANN)",[],Chara to Otamajakushi Shima,,['Kids'],,
129,,꼬마버스 타요 5,Tayo the Little Bus Season 5,Tayo Der Kleine Bus Staffel 5,Tayo El Pequeño Autobús Serie 5,,['TV'],26,Finished Airing,"Aug 29, 2018 to Feb 20, 2019",['Summer 2018'],Unknown,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Original,,['Racing'],11 min. per ep.,PG - Children,[],#19462,#18690,366,0,,The fifth season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo 4', 'Sequel (Special) Tayo-ui Gonglyong Adventure', 'Sequel (TV) Kkoma Bus Tayo 6', '']",Kkoma Bus Tayo 5,,['Kids'],,
130,GG Bond 14,猪猪侠 竞球小英雄,GG Bond Season 14: Dodgeball Legend,,,,['TV'],104,Finished Airing,"May 18, 2018 to Mar 28, 2019",['Spring 2018'],Unknown,"None found,","None found,","None found,",Original,"['Sci-Fi', 'Sports']",['Super Power'],15 min. per ep.,G - All Ages,[],#16365,#18768,360,0,,"In honor of the 2018 World Cup, this season of GG Bond focuses on sports team competition, team spirit, and personal growth as they compete in the Meteor League.","['Prequel (TV) Zhu Zhu Xia: Chao Xing Meng Chong', 'Sequel (TV) Zhu Zhu Xia: Konglong Riji', 'Sequel (TV) Zhu Zhu Xia: Shenhai Xiao Yingxiong', '']",Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,,['Kids'],,
131,Wasimo 6,わしも-wasimo-(第6シリーズ),,,,,['TV'],42,Finished Airing,"Apr 2, 2018 to Jan 7, 2019",['Spring 2018'],Unknown,"None found,","None found,","None found,",Picture book,"['Comedy', 'Sci-Fi', 'Slice of Life']",['School'],10 min. per ep.,G - All Ages,[],#15261,#19932,289,0,,Sixth season of the Washimo series.,"['Prequel (TV) Washimo 5th Season', 'Sequel (TV) Washimo 7th Season']",Washimo 6th Season,,['Kids'],,
132,"Sophie Ruby Season 2, SofyRuby Season 2",꿈의 왕국 소피 루비,Dream Kingdom SofyRuby,,,,['TV'],52,Finished Airing,"Oct 21, 2017 to Nov 3, 2018",['Fall 2017'],Unknown,"None found,","None found,","None found,",Unknown,,,12 min. per ep.,G - All Ages,[],#19476,#21613,196,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) SofyRuby', '']",Kkum-ui Wang-gug SofyRuby,,['Kids'],['Comedy'],
133,,타오르지마 버스터,,,,,['TV'],44,Finished Airing,"Jan 7, 2017 to Apr 11, 2019",['Winter 2017'],Unknown,['Studio Goindol'],"None found,","None found,",Original,,['Mecha'],15 min. per ep.,PG - Children,[],#14748,#21977,176,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taoleujima Beoseuteo,,['Kids'],['Comedy'],
134,"Ttobos V, Tobot GD",또봇 V,Tobot: Galaxy Detectives,,,,['TV'],52,Finished Airing,"Jul 12, 2018 to Aug 1, 2019",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Mecha'],11 min. per ep.,PG - Children,[],#14923,#22733,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"[""Prequel (TV) Tobot V: Swag's Secret"", ""Sequel (TV) Tobot V: Swag's Secret"", 'Sequel (TV) Tobot V Season 2', '']",Tobot V,,['Kids'],,
135,,엠버와 함께하는 생활안전 이야기,Daily Life Safety with Amber,,,,['TV'],26,Finished Airing,"Aug 31, 2018 to Nov 23, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,,6 min. per ep.,PG - Children,[],#16551,#23291,127,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Amber wa Hamkkehaneun Saenghwalanjeon Iyagi,"['Educational', 'Racing']",['Kids'],['Comedy'],
136,,헬로 카봇 쿵,,,,,['TV'],26,Finished Airing,"Aug 3, 2018 to Jan 25, 2019",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#18493,#23883,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hello Carbot Kung,"['Mecha', 'Racing']",['Kids'],['Action'],
137,,小鹿杏仁儿,Almond the Deer,,,,['TV'],52,Finished Airing,"Jan 23, 2018 to Jan 15, 2019",['Winter 2018'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#15696,#24162,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Xiaolu Xingren Er 2nd Season', '']",Xiaolu Xingren Er,,['Kids'],['Fantasy'],
138,,좀비덤 2,ZombieDumb 2,,,,['TV'],22,Finished Airing,"Oct 21, 2017 to Feb 9, 2019",['Fall 2017'],Not scheduled once per week,"None found,","None found,",['ANYZAC'],Original,"['Comedy', 'Supernatural']",,13 min. per ep.,PG - Children,[],#16402,#24383,104,0,,The second season of Zombie Dumb.,"['Prequel (TV) Zombie Dumb', 'Sequel (TV) Zombie Dumb 3']",Zombie Dumb 2,,['Kids'],,
139,,파파독 시즌 2,,,,,['TV'],19,Finished Airing,"Aug 8, 2018 to Nov 7, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,14 min. per ep.,G - All Ages,[],#20969,#25470,88,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Papa Dog', 'Sequel (TV) Papa Dog Season 2 Part 2']",Papa Dog Season 2,,['Kids'],,
140,,쥬라기 캅스,Jurassic Cops,,,,['TV'],30,Finished Airing,"May 5, 2018 to Feb 9, 2019",['Spring 2018'],Unknown,"None found,","None found,","None found,",Original,,['Mecha'],11 min. per ep.,PG - Children,[],#19149,#27303,67,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Jyulagi Cops: Jura King', '']",Jyulagi Cops,,['Kids'],['Action'],
141,,バキ,,,,,['ONA'],26,Finished Airing,"Jun 25, 2018 to Dec 17, 2018",,,"None found,",['Sentai Filmworks'],['TMS Entertainment'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.31,#2784,#534,"450,593","2,758",252482,"After emerging victorious from a brutal underground tournament, Baki Hanma continues on his path to defeat his father, Yuujirou, the strongest man in the world. However, he gets no time to rest when the tournament runner, Tokugawa Mitsunari, visits him at school. He reveals to Baki that five incredibly dangerous death row inmates from around the world—all skilled in martial arts—have simultaneously escaped confinement and are heading to Tokyo, each wishing to finally know the taste of defeat. Tokugawa warns that, due to his well-known strength, Baki is bound to encounter them sooner or later, and he will not be their only target. Adapting the first saga of the second manga series, Baki centers on the all-out war between the esteemed martial artists of Japan and those of the dark underground world. [Written by MAL Rewrite]","['Prequel (TV) Grappler Baki: Saidai Tournament-hen', 'Sequel (ONA) Baki: Dai Raitaisai-hen', 'Adaptation (Manga) Baki: New Grappler Baki', 'Adaptation (Manga) Baki Tokubetsu-hen Saga']",Baki,"['Combat Sports', 'Gore']",['Shounen'],['Sports'],
142,"Modao Zushi, Grandmaster of Demonic Cultivation, The Founder of Diabolism, Mo Dao Zu Shi: Qianchen Pian, 魔道祖师 前尘篇, Madou Soshi",魔道祖师,The Master of Diabolism,,,,['ONA'],15,Finished Airing,"Jul 9, 2018 to Oct 6, 2018",,,"['Aniplex', 'Tencent Penguin Pictures']","None found,",['B.CMAY PICTURES'],Web novel,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",,25 min. per ep.,R - 17+ (violence & profanity),8.46,#163,#1070,"242,174","6,938",83695,"Xian: the state of immortality that all cultivators strive to achieve. However, there is a dark energy that lies underneath—the forbidden Mo Dao, or demonic path. Through an unfortunate series of tragedies, this is the path that cultivator Wei Wuxian experiments with during his teachings. His rise in power is accompanied by chaos and destruction, but his reign of terror comes to an abrupt end when the cultivation clans overpower him and he is killed by his closest ally. Thirteen years later, Wei Wuxian is reincarnated in the body of a lunatic and reunited with Lan Wangji, a former classmate of his. This marks the beginning of a supernatural mystery that plagues the clans and threatens to disrupt their everyday life. Mo Dao Zu Shi follows these two men on their mission to unravel the mysteries of the spiritual world. Fighting demons, ghosts, and even other cultivators, the two end up forming a bond that neither of them had ever expected. [Written by MAL Rewrite]","['Sequel (ONA) Mo Dao Zu Shi: Xian Yun Pian', 'Adaptation (Manhua) Mo Dao Zu Shi', 'Adaptation (Novel) Mo Dao Zu Shi', '']",Mo Dao Zu Shi,"['Historical', 'Mythology', 'Reincarnation']",,,
143,,スーパードラゴンボールヒーローズ,,,,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",['Martial Arts'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11258,#2566,"79,112",255,30977,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,['Shounen'],,
144,"Quanzhi Fashi 3rd Season, Quan Zhi Fa Shi 3, Full-Time Magister 3",全职法师Ⅲ,Full-Time Magister 3rd Season,,,,['ONA'],12,Finished Airing,"Oct 12, 2018 to Dec 22, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Action', 'Fantasy']",['School'],18 min. per ep.,PG-13 - Teens 13 or older,7.34,#2650,#3011,"59,893",107,28714,"After the crisis brought forth by the Black Order, Bo City's surviving residents desert the place. With nearby cities providing shelter to the displaced refugees, Mo Fan and his family accept the offer and travel to Mingzhu City, the capital of magic. Mo Fan has little time to settle in when his teacher Tang Yue requests him to assist her with an investigation involving the Black Order. However, Mo Fan agrees only on the condition of having a dark element awakened in him. As he steadily attunes to his newfound powers, Mo Fan prepares to enroll at Mingzhu University, a dream place for all magicians. Along the way, Mo Fan's interactions with the elements steadily surpass his expectations, showing him that this is only the beginning of discoveries within his limitless potential. [Written by MAL Rewrite]","['Prequel (ONA) Quanzhi Fashi II', 'Sequel (ONA) Quanzhi Fashi IV', 'Adaptation (Manhua) Quanzhi Fashi', '']",Quanzhi Fashi III,,,,
145,Aggretsuko: We Wish You a Metal Christmas,アグレッシブ烈子: We Wish You a Metal Christmas,Aggretsuko: We Wish You a Metal Christmas,Aggretsuko: We Wish You a Metal Christmas,Aggretsuko: Feliz Navidad y Próspero Heavy Metal,Aggretsuko: We Wish You a Metal Christmas,['ONA'],1,Finished Airing,"Dec 20, 2018",,,"['Sanrio', 'Netflix']","None found,",['Fanworks'],Other,,['Anthropomorphic'],22 min.,PG-13 - Teens 13 or older,7.23,#3176,#3101,"56,812",40,36433,"Red panda Retsuko, worked to the bone, unleashes her frustration in the form of death metal. Lately, though, she's found another joy—getting the most likes possible on her Instagram posts. In fact, it is said that social media attention can release endorphins. As Christmas falls upon the city, Retsuko's hunger for validation only grows, pushing her to find new ways to embellish and sugarcoat her otherwise drab life for the internet to see. [Written by MAL Rewrite]","['Prequel (ONA) Aggressive Retsuko (ONA)', 'Sequel (ONA) Aggressive Retsuko (ONA) 2nd Season']",Aggressive Retsuko: We Wish You a Metal Christmas,,,['Comedy'],
146,,通灵妃,Psychic Princess,Psychic Princess,Psychic Princess,Psychic Princess,['ONA'],16,Finished Airing,"Nov 30, 2018 to Apr 19, 2019",,,['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],"['Comedy', 'Drama', 'Romance']",['Historical'],20 min. per ep.,PG-13 - Teens 13 or older,7.62,#1522,#3292,"50,799",683,22085,"When Qian Yunshang's marriage to Ye Youming is arranged by the emperor, she is terrified that the bad blood between their families will lead to her being treated miserably in the Ye household. Torn between duty and concern for his daughter, Qian Aotian devises a reckless plan. He summons his firstborn daughter—her existence unknown to all but his own family—to be the stand-in for her younger sister. Due to her unusual powers, Qian Yun Xi was exiled by her family when she was a child. Deprived of filial affection, she made a life of her own amid the wilderness on Mt. Ling Yun. However, everything begins to change when she marries Ye Youming in her sister's stead. Harboring immense contempt for the family of Qian, Ye Youming refuses to acknowledge Qian Yun Xi as his wife and treats her coldly, going so far as to banish her from his palace grounds. But he can only resist her childlike charm and boldness for so long... [Written by MAL Rewrite]","['Sequel (ONA) Tong Ling Fei 2nd Season', '']",Tong Ling Fei,,,,
147,,おとなの防具屋さん,Armor Shop for Ladies & Gentlemen,Armor Shop For Ladies & Gentlemen,Armor Shop for Ladies & Gentlemen,Armor Shop for Ladies & Gentlemen,['ONA'],12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018",,,"['Typhoon Graphics', 'S-TAR7', 'COMICSMART']",['Anime Limited'],['IMAGICA Lab.'],['4-koma manga'],"['Comedy', 'Fantasy', 'Ecchi']",,4 min. per ep.,PG-13 - Teens 13 or older,5.59,#11832,#3544,"44,616",51,15070,"Kautz was looking for a job and suddenly he gets hired by an armor shop. But it's not your run of the mill armor shop, it's an adult armor shop. An ecchi comedy showing the shopkeeper side of selling sexy battle armor.","['Sequel (ONA) Otona no Bouguya-san (Rimen)', 'Adaptation (Manga) Otona no Bouguya-san']",Otona no Bouguya-san,,,,
148,"Osake wa Fuufu ni Natte kara Special, Love is Like a Cocktail Episode 14",お酒は夫婦になってから 14杯め「ゆず熱燗」,Love is Like a Cocktail: Fourteenth Glass - Yuzu Hot Sake,,,,['ONA'],1,Finished Airing,"Oct 6, 2018",,,"None found,","None found,",['Creators in Pack'],['Web manga'],"['Comedy', 'Gourmet', 'Romance']",['Adult Cast'],3 min.,PG-13 - Teens 13 or older,7.05,#4150,#3982,"35,298",30,17011,The Osake wa Fuufu ni Natte kara talk event at the Machi★Asobi vol. 20 event announced that the short series will receive a 14th episode. (Source: MAL News),"['Prequel (TV) Osake wa Fuufu ni Natte kara', 'Adaptation (Manga) Osake wa Fuufu ni Natte kara']",Osake wa Fuufu ni Natte kara: Yuzu Atsukan,,,,
149,False God My Dropkick Episode 12,邪神ちゃんドロップキック 第12話,Dropkick On My Devil! Episode 12,Dropkick on My Devil!! Dash Folge 12,¡Patada Voladora a mi Demonio! Episodio 12 (No Emitido en TV),Dropkick On My Devil! Épisode 12,['ONA'],1,Finished Airing,"Oct 1, 2018",,,"['BookLive', 'ibis Capital Partners', 'Global Solutions']","None found,",['Nomad'],['Web manga'],"['Comedy', 'Supernatural']",,23 min.,PG-13 - Teens 13 or older,7.18,#3448,#3986,"35,195",16,18671,"Making her grand return from space, Jashin-chan still seeks to kill Yurine Hanazono to get back into Hell. However, the attempted murder is put on hold when Yurine drags her out to the beach alongside the rest of her friends. Wasting valuable planning time, Jashin-chan instead finds herself spending the day doing what her summoner and her good friends do: swimming in the ocean, eating shaved ice, fighting a Kraken, and having a barbecue. [Written by MAL Rewrite]","['Prequel (TV) Jashin-chan Dropkick', ""Sequel (TV) Jashin-chan Dropkick'"", 'Adaptation (Manga) Jashin-chan Dropkick', '']",Jashin-chan Dropkick Episode 12,"['Gag Humor', 'Mythology']",,,
150,,ヒーローマスク,,,,,['ONA'],15,Finished Airing,"Dec 3, 2018",,,"['Sotsu', 'Netflix']",['Sentai Filmworks'],['Pierrot'],Original,"['Action', 'Mystery', 'Sci-Fi']",['Detective'],24 min. per ep.,R - 17+ (violence & profanity),6.29,#8349,#4047,"34,216",41,12346,"Now there's a mysterious Mask before James Blood, and the man behind it is one that shouldn't exist. What is the mystery surrounding this mask...? So begins an action-packed crime story set in a beautiful city!","['Sequel (ONA) Hero Mask 2nd Season', '']",Hero Mask,,,,
151,"Mengqi Shishen, Adorable Food Goddess",萌妻食神,Cinderella Chef,,,,['ONA'],12,Finished Airing,"Dec 29, 2018 to Mar 9, 2019",,,"['bilibili', 'China Literature Limited', 'Yuewen Animation & Comics']","None found,",['Wawayu Animation'],Web novel,"['Comedy', 'Drama', 'Gourmet', 'Romance']",,20 min. per ep.,PG-13 - Teens 13 or older,7.33,#2667,#4383,"28,958",167,10037,"Ye Jiayao is a young and talented cook who dreams of becoming a renowned chef one day. As luck would have it, she's magically transported back in time to Imperial China, and in the body of an extremely useless girl. Ye Jiayao is immediately kidnapped and held for ransom, but she manages to use her wits (and her sense of humor) to get whatever she wants. (Source: CBR)","['Sequel (ONA) Meng Qi Shi Shen: Zaijie Liangyuan', '']",Meng Qi Shi Shen,"['Historical', 'Time Travel']",,,
152,"Douluo Dalu Second Season, Soul Land 2nd Season",斗罗大陆,,,,,['ONA'],237,Finished Airing,"Dec 1, 2018 to Jun 10, 2023",,,"['Tencent Penguin Pictures', 'Xuanshi Tangmen']","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",,20 min. per ep.,PG-13 - Teens 13 or older,8.34,#244,#4946,"21,919",473,9619,Second season of Douluo Dalu.,"['Prequel (ONA) Douluo Dalu', 'Sequel (ONA) Douluo Dalu II: Jueshi Tangmen']",Douluo Dalu 2nd Season,"['Historical', 'Martial Arts']",,,
153,,ぷれぷれぷれあです ～クレマンティーヌ逃亡編～,Overlord: Ple Ple Pleiades - Fugitive Clementine,,,,['ONA'],3,Finished Airing,"Nov 23, 2018",,,"None found,","None found,",['Studio PuYUKAI'],['Light novel'],"['Action', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,6.64,#6233,#4981,"21,561",10,8719,"After being revived, Clementine lives undercover as a fugitive. She tries to leave the Kingdom so that she does not get caught by Ainz again. But luck would have it otherwise, as she keeps running into the battle maids. [Written by Fancy_Cane]",[],Overlord: Ple Ple Pleiades - Clementine Toubou-hen,,,,
154,The Night When Me and My Boss Spent the Night at the Capsule Hotel After the Last Train and He Passed His Fever to Me,終電後、カプセルホテルで、上司に微熱伝わる夜。,A Hot Night With My Boss in a Capsule Hotel,,,,['ONA'],12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018",,,"['Studio Mausu', 'Suiseisha']","None found,",['Namu Animation'],['Manga'],,,3 min. per ep.,Rx - Hentai,5.58,N/A,#5109,"20,290",63,6545,"On a night out with coworkers, the new clothes designer Minori Aizawa and her boss, Akihiko Hadano, engage in their usual lighthearted banter. Carried away, they miss the last train and end up having to share a small capsule hotel room. Both tipsy and in close proximity, the two cannot deny their unmistakable attraction to one another, and they spend the night together. Although such intimacy was not in Aizawa's or Hadano's original plan, keeping their hands to themselves grows harder as they work together. In every stolen moment alone, Aizawa and Hadano give in to their deepest desires and dive into the world of pleasure. [Written by MAL Rewrite]","['Adaptation (Manga) Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.', '']","Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.",,['Josei'],['Hentai'],
155,,聖闘士星矢 セインティア翔,,Saint Seiya: Saintia Sho,Saint Seiya: Saintia Sho,,['ONA'],10,Finished Airing,"Dec 10, 2018 to Feb 18, 2019",,,['Toei Animation'],"None found,",['Gonzo'],['Manga'],"['Action', 'Adventure']",,25 min. per ep.,PG-13 - Teens 13 or older,5.64,#11655,#5706,"15,243",36,6017,"The whole Sanctuary was misled into danger due to the civil war instigated by the Gemini Gold Saint, Saga. Our story begins right after the end of those events... This is a story of the girls protecting Athena. These are the records of love and fierce fights they meet while opposing destiny on their way to maturity... (Source: MangaSeven)","['Adaptation (Manga) Saint Seiya: Saintia Shou', '']",Saint Seiya: Saintia Shou,,['Seinen'],,
156,"Road to You: The Road That Goes on to You, Road to You: Promise of the Starry Hill, Road to You: The Snow That Dances in Memories, Road to You: Kimi e to Tsuzuku Michi, Road to You: Hoshifuru Oka no Yakusoku, Road to You: Kioku ni Mau Konayuki",ROAD TO YOU,,,,,['ONA'],3,Finished Airing,"Oct 11, 2017 to Oct 2, 2019",,,['Calf Studio'],"None found,","['Sunrise', 'The Answer Studio', 'Ijigen Tokyo']",Original,"['Drama', 'Romance']",,3 min. per ep.,G - All Ages,6.57,#6664,#6130,"12,637",18,3615,"A trilogy of commercials for Dunlop Tyres Japan created to promote their Winter Maxx line of snow tires. Kimi e to Tsuzuku Michi Amidst a snowfall, a father and daughter, a young couple, and two coworkers must learn to work through their intermingled feelings as they come together for the town's light show on the riverside. Hoshifuru Oka no Yakusoku For Yui's 20th birthday, she and her mother pay a visit to the old observatory they used to go to every year in her youth. As they approach the snowy summit, Yui recalls memories of visiting the spot with her late father. Kioku ni Mau Konayuki A boy and girl fall in love but are forced to break up when the girl decides to move to France to study. Heartbroken, the boy chases after her as she drives away in the snowstorm. [Written by MAL Rewrite]",[],Road to You,,,,
157,"Xiaolu He Xiaolan, Xiao Lv He Xiao Lan, Xiaolv He Xiaolan, Green and Blue, Lil' Green and Lil' Blue",小绿和小蓝,Beryl and Sapphire,,,,['ONA'],72,Finished Airing,"Aug 27, 2018 to Feb 16, 2019",,,['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],"['Boys Love', 'Comedy', 'Drama', 'Sci-Fi']",['School'],12 min. per ep.,PG-13 - Teens 13 or older,7.45,#2164,#6499,"10,954",104,2155,"""I've been holding a few words back for a long time — I like you!"" ""Beryl and Sapphire"" is a popular manhua created by artist Ocarina. Here includes protagonists with the most random names in history — the mild-mannered Beryl (Green) and the easily-embarrassed Sapphire (Blue). At times the closest of friends, at others the worst of enemies… In this donghua where each episode is set in a different world, how would they encounter each other time and again?? Only angst? Too painful! Nothing but fluff? Too sugary! Come watch B&S, the show where you'll never guess the ending… (Source: Guodong Subs)","['Sequel (ONA) Xiao Lu He Xiao Lan 2nd Season', '']",Xiao Lu He Xiao Lan,,,,
158,"Lotte x Bump of Chicken, Shinsekai",ベイビーアイラブユーだぜ,,,,,['ONA'],1,Finished Airing,"Dec 11, 2018",,,"None found,","None found,",['Bones'],Original,,['Music'],3 min.,G - All Ages,7.37,#2488,#6699,"10,192",34,5075,"An aloof junior high school boy meets a cheerful high school girl inside a Lotte shop where they both reach for the same chocolate bar. Before he can react, she takes a different candy instead and leaves with her purchase. Continuing to dwell on the missed connection, the boy hopes that he can meet the girl again and gift her the sweet she originally wanted—with the addition of his feelings. [Written by MAL Rewrite]",[],Baby I Love You Daze,,,['Romance'],
