,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,Demographics
36,Kirakira☆Precure À La Mode,キラキラ☆プリキュアアラモード,Kirakira Pretty Cure A La Mode,Kira Kira☆Pretty Cure a La Mode,Kira Kira☆Pretty Cure a La Mode,Kira Kira☆Pretty Cure a La Mode,['TV'],49,Finished Airing,"Feb 5, 2017 to Jan 28, 2018",['Winter 2017'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Broadcasting', 'ABC Animation', 'Echoes']","None found,",['Toei Animation'],Original,"['Action', 'Gourmet']",,24 min. per ep.,G - All Ages,7.13,#3761,#5775,"14,791",154,5438,"Cheerful teenager Ichika Usami has a passion for sweets that is inspired by her mother's baking. In celebration of her mother's return from overseas, she tries her hand at making a cake herself. She is interrupted when a dog-like fairy named Pekorin crashes into her kitchen. With Pekorin's help, Ichika successfully bakes her cake. Only then enters an imp named Gummy who bursts in and attempt to steal the cake's ""kirakiraru"", a magical power that gives sweets the ability to bring happiness. Though Ichika initially offers her cake to Gummy in order to protect Pekorin, the fairy helps her realize how important the treat is and the love it represents. As the kirakiraru within Ichika's cake grows, it changes into a set of trinkets that transforms her into Cure Whip, a hero known as a Pretty Cure. Using her newfound powers, she goes on to battle kirakiraru thieves whenever they appear. Ichika fights to protect Ichigozaka's sweets and finds colorful new allies along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Kirakira☆Precure à la Mode', '']",Kirakira☆Precure A La Mode,,['Mahou Shoujo'],,
37,,ちょぼらうにょぽみ劇場第三幕「あいまいみー~Surgical Friends~」,Ai-Mai-Mi Surgical Friends,Ai-Mai-Mi Surgical Friends,Ai-Mai-Mi Surgical Friends,Ai-Mai-Mi Surgical Friends,['TV'],12,Finished Airing,"Jan 3, 2017 to Mar 21, 2017",['Winter 2017'],Tuesdays at 23:30 (JST),"['Dream Creation', 'On-Lead']","None found,",['Seven'],['4-koma manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,6.05,#9663,#6512,"10,920",20,4767,Third season of Ai Mai Mii.,"['Prequel (TV) Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe', 'Adaptation (Manga) Ai Mai Mii']",Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,,,['Comedy'],
38,,ちるらん にぶんの壱,Chiruran 1/2,Chiruran 1/2,Chiruran 1/2,Chiruran 1/2,['TV'],12,Finished Airing,"Jan 10, 2017 to Mar 28, 2017",['Winter 2017'],Tuesdays at 01:00 (JST),"['DAX Production', 'Coamix', 'Warner Music Japan', 'SMIRAL Animation', 'Kyoto Broadcasting System']","None found,",['LandQ studios'],['Manga'],"['Action', 'Comedy']",,2 min. per ep.,PG-13 - Teens 13 or older,5.63,#11674,#7394,"7,991",10,3419,"Strong, intense, and cute! The most laid-back Shinsengumi in history arrives!! An official spinoff series by Hashimoto Eiji (manga) and Umemura Shinya (story) of Chiruran Shinsengumi Requiem. Here's the laid-back everyday life of the Shinsengumi warriors. (Source: Crunchyroll)","['Sequel (Special) Chiruran: Nibun no Ichi Special', 'Adaptation (Manga) Chiruran: Shinsengumi Requiem']",Chiruran: Nibun no Ichi,,['Historical'],,
39,Mori no Yousei: Kinoko no Musume,FOREST FAIRY FIVE,Forest Fairy Five,,Forest Fairy Five (Kinoko Musume),,['TV'],13,Finished Airing,"Jan 6, 2017 to Mar 31, 2017",['Winter 2017'],Fridays at 20:00 (JST),"['Showgate', 'Tokyo MX']","None found,","None found,",Picture book,"['Comedy', 'Fantasy']",,10 min. per ep.,PG - Children,3.27,#13832,#9619,"3,991",7,1632,"A beautiful nation, prospering since ancient times, Japan is now known as the Anime Kingdom. There are more than just humans living there; animes truly do exist in Japan. Past the Fairy Ring, to the world of fairies, live anime-chans. There's a Fairy Ring in your town, too. Here. And there. Even in Harajuku. Maybe even in the Ashigara mountains. By some chance, we'll open that door. And we might get to meet the anime-chans. This is the land where you get to meet anime-chans. (Source: Crunchyroll)","['Sequel (TV) Yousei Land Mukashibanashi', '']",Forest Fairy Five,,['Music'],,
40,Sengoku Wildlife Caricatures,戦国鳥獣戯画~乙~,SENGOKUCHOJYUGIGA,Sengoku Choujuu Giga,SENGOKUCHOJYUGIGA Temporada 2,Sengoku Chôjû Giga,['TV'],13,Finished Airing,"Jan 15, 2017 to Apr 9, 2017",['Winter 2017'],Sundays at 01:57 (JST),['King Records'],"None found,",['ILCA'],Original,,"['Historical', 'Mythology', 'Samurai']",3 min. per ep.,PG-13 - Teens 13 or older,5.85,#10690,#10357,"3,161",0,1515,Second season of Sengoku Choujuu Giga.,"['Prequel (TV) Sengoku Choujuu Giga: Kou', '']",Sengoku Choujuu Giga: Otsu,,,['Supernatural'],
41,,超・少年探偵団NEO,,,,,['TV'],13,Finished Airing,"Jan 2, 2017 to Mar 27, 2017",['Winter 2017'],Mondays at 21:55 (JST),['Tokyo MX'],"None found,",['DLE'],Novel,,,4 min. per ep.,PG-13 - Teens 13 or older,5.20,#12922,#10835,"2,752",2,649,The series will follow the descendant of Kobayashi from Edogawa Ranpo's series of detective novels.,[],Chou Shounen Tanteidan Neo,,,['Mystery'],
42,,コチンPa! 第二期,,,,,['TV'],24,Finished Airing,"Dec 6, 2016 to May 16, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Other,,,15 sec. per ep.,G - All Ages,4.51,#13641,#12512,"1,645",1,721,The second season of KochinPa!,"['Prequel (TV) KochinPa!', 'Sequel (TV) Devidol!']",KochinPa! Dainiki,,,['Comedy'],
43,,イナズマデリバリー,Inazma Delivery,,,,['TV'],10,Finished Airing,"Dec 9, 2016 to Feb 10, 2017",['Winter 2017'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,"['Action', 'Comedy', 'Sci-Fi']",,2 min. per ep.,PG-13 - Teens 13 or older,6.23,#8681,#12867,"1,469",4,513,"Inazma Delivery is set in the town of Babiden City, where everything runs on electricity. Hemingway is an earnest young man who works at the delivery company Inazma, which promises to deliver any package to its proper destination. One day, an extraterrestrial lost child in a shark costume named Bytheway appears and asks to be delivered to its home planet, and soon Hemingway and Bytheway are embroiled in all sorts of adventures. (Source: Crunchyroll)","['Sequel (TV) Inazma Delivery: Dougyousha Attack-hen', '']",Inazma Delivery,,,,
44,,HiGH&LOW g-sword,,,,,['TV'],5,Finished Airing,"Mar 27, 2017 to Mar 31, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Other,"['Action', 'Drama']",,56 sec. per ep.,G - All Ages,4.74,#13479,#14312,989,0,316,Based on the High & Low live-action entertainment project.,"['Sequel (Special) High & Low: G-Sword (Special)', 'Adaptation (Manga) High & Low: G-Sword']",High & Low: G-Sword,['Shounen'],,,
45,,ななにんのあやかし-ちみちみ魍魎!! 現代物語-,,,,,['TV'],8,Finished Airing,"Dec 5, 2016 to Jan 29, 2017",['Winter 2017'],Unknown,"None found,","None found,",['DLE'],Original,"['Comedy', 'Supernatural']",,2 min. per ep.,G - All Ages,[],#20556,#15245,753,0,,"This show consists of shorts starring 7 characters created and voiced by the voice actors of the variety show ""Seiyuu Danshi desu ga...?"". The anime will be a slapstick comedy that follows seven spirits that come to the modern world. (Source: ANN)",[],Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,,,,
46,,ピカイア!!,,,,,['TV'],13,Finished Airing,"Feb 26, 2017 to May 27, 2017",['Winter 2017'],Unknown,"['Production I.G', 'NHK', 'NHK Enterprises']","None found,",['OLM'],Original,"['Drama', 'Slice of Life']",,15 min. per ep.,G - All Ages,5.84,#10748,#15356,726,2,170,Second season of Pikaia!.,"['Prequel (TV) Pikaia!', '']",Pikaia!!,['Kids'],,,
47,,戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン-,,,,,['TV'],24,Finished Airing,"Jan 9, 2017 to Jun 19, 2017",['Winter 2017'],Mondays at 18:35 (JST),"None found,","None found,",['Studio 4°C'],Original,,"['Parody', 'Super Power']",2 min. per ep.,G - All Ages,[],#13995,#15779,658,0,,"The anime will be a ""surreal comedy"" that emphasizes Gunma prefecture's self-sufficiency in ingredients for sukiyaki. The story centers around the titular Sukiyaki Force, created by Professor Warishita, who fight against the forces of Kiraida, who have come to Gunma and threaten to destroy the world.","['Sequel (TV) Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?', '']",Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,,,['Comedy'],
48,,東京ふたごアスレチック,Tokyo Twins Athletic Tournament,,,,['TV'],8,Finished Airing,"Dec 30, 2016 to Jan 7, 2017",['Winter 2017'],Unknown,"['TC Entertainment', 'CREi']","None found,",['Ripromo'],Original,"['Comedy', 'Sports']",,6 min. per ep.,G - All Ages,5.88,#10547,#15780,658,4,174,"Having cleared the preliminaries, twenty-four pairs of twins face gargantuan challenges on an enormous athletic field. On this man-made island in Tokyo Bay, the bonds between twins are pushed to the limit in the Ultimate Athletic Tournament! The tournament consists of three insanely difficult obstacle courses. Teamwork and human drama are forged within these grueling challenges. Participants are limited to twins, but exactly what constitutes a ""twin"" is unclear, resulting in some unusual pairings. In the past, controversial appearances have included clones, adopted siblings, or triplets in shifts. (Source: Official Website)",[],Tokyo Futago Athletic,,,,
49,,がん がん がんこちゃん,,,,,['TV'],10,Finished Airing,"Dec 19, 2016 to Mar 27, 2017",['Winter 2017'],Mondays at 18:25 (JST),"None found,","None found,",['10Gauge'],Other,"['Comedy', 'Sci-Fi']",,5 min. per ep.,G - All Ages,[],#18091,#17603,451,0,,"The anime follows a boy named Gen, who time travels from the year 2020 to a distant future where humanity has gone extinct. He begins staying at the Ganko family home in the Rustling Forest, where he has none of the amenities he is used to: no electricity, gas, or running water, as well as no television, smartphones, convenience stores, snacks, or games. (Source: ANN)","['Sequel (TV) Gan Gan Ganko-chan 2nd Season', '']",Gan Gan Ganko-chan,['Kids'],,,
50,,ゆかいなアニマルバス,Funny Animal Bus,,,,['TV'],12,Finished Airing,"Jan 8, 2017 to Mar 26, 2017",['Winter 2017'],Unknown,['TMS Music'],"None found,",['TMS Entertainment'],Original,,,1 min. per ep.,G - All Ages,[],#16166,#18442,387,1,,,"['Sequel (TV) Yukai na Animal Bus 2nd Season', '']",Yukai na Animal Bus,['Kids'],,['Comedy'],
51,Jiomeka Biseuteugadieon,지오메카 비스트가디언,,,,,['TV'],26,Finished Airing,"Feb 27, 2017 to Aug 7, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,11 min. per ep.,PG - Children,[],#18163,#21815,185,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geo Mecha: Captain Dino', '']",Geo Mecha: Beast Guardian,['Kids'],['Mecha'],,
52,,타오르지마 버스터,,,,,['TV'],44,Finished Airing,"Jan 7, 2017 to Apr 11, 2019",['Winter 2017'],Unknown,['Studio Goindol'],"None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#14751,#21988,176,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taoleujima Beoseuteo,['Kids'],['Mecha'],['Comedy'],
53,Seer Eight Season,赛尔号第8季：幻梦战记,,,,,['TV'],30,Finished Airing,"Jan 20, 2017 to Aug 18, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Game,,,18 min. per ep.,PG - Children,[],#21500,#22472,155,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sai Er Hao Season 7: Yuzhou Zhi Yan', 'Sequel (TV) Sai Er Hao Season 9: Pili Jiuchong Tian']",Sai Er Hao Season 8: Huanmeng Zhan Ji,['Kids'],,,
54,,너티너츠,Naughty Nuts,,,,['TV'],26,Finished Airing,"Feb 28, 2017 to May 23, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,G - All Ages,[],#20596,#23371,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Naughty Nuts,,['Anthropomorphic'],['Comedy'],
55,,헬로 카봇 시즌5,,,,,['TV'],52,Finished Airing,"Feb 18, 2017 to Mar 31, 2018",['Winter 2017'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",11 min. per ep.,PG - Children,[],#18506,#23483,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 4', 'Sequel (TV) Hello Carbot Season 6']",Hello Carbot Season 5,['Kids'],,['Action'],
56,,내친구 마카다,,,,,['TV'],52,Finished Airing,"Dec 19, 2016 to Jun 26, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Unknown,,,1 min. per ep.,PG - Children,[],#20524,#23644,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Naechingu Macada,['Kids'],['Anthropomorphic'],['Fantasy'],
57,,이야기 배달부 동개비,,,,,['TV'],12,Finished Airing,"Feb 12, 2017 to Mar 19, 2017",['Winter 2017'],Unknown,"None found,","None found,","None found,",Unknown,,,13 min. per ep.,PG - Children,[],#18906,#24608,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Iyagi Baedalbu Dong-gaebi,['Kids'],,['Fantasy'],
58,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,596,639","115,581",1727772,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,['Shounen'],['Martial Arts'],,
59,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,870","234,559",1418593,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,['Shounen'],,,
60,"Dragon Ball Chou, DB Super, DBS",ドラゴンボール超（スーパー）,Dragon Ball Super,,,,['TV'],131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",['Summer 2015'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.46,#2106,#218,"868,925","10,980",559150,"Seven years after the defeat of Majin Buu, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping threat awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction. Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis search the universe for this mysterious being. Before long, they reach Earth and encounter Gokuu Son, one of the planet's mightiest warriors, and his powerful friends. [Written by MAL Rewrite]","['Sequel (Movie) Dragon Ball Super: Broly', 'Adaptation (Manga) Dragon Ball Super']",Dragon Ball Super,['Shounen'],['Martial Arts'],,
61,Sangatsu no Lion,3月のライオン,March Comes In Like a Lion,March Comes in Like a Lion,March Comes in Like a Lion,March Comes in Like a Lion,['TV'],22,Finished Airing,"Oct 8, 2016 to Mar 18, 2017",['Fall 2016'],Saturdays at 23:00 (JST),"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],['Shaft'],['Manga'],,"['Childcare', 'Strategy Game']",25 min. per ep.,PG-13 - Teens 13 or older,8.37,#216,#311,"702,993","15,995",290249,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall. However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions. [Written by MAL Rewrite]","['Sequel (TV) 3-gatsu no Lion 2nd Season', 'Adaptation (Manga) 3-gatsu no Lion']",3-gatsu no Lion,['Seinen'],,['Drama'],
62,,双星の陰陽師,Twin Star Exorcists,Twin Star Exorcists,Twin Star Exorcists,Twin Star Exorcists,['TV'],50,Finished Airing,"Apr 6, 2016 to Mar 29, 2017",['Spring 2016'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Avex Pictures', 'Shueisha']",['Crunchyroll'],['Pierrot'],['Manga'],"['Action', 'Fantasy', 'Romance']","['Mythology', 'Urban Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2889,#444,"533,145","3,082",222060,"Magano, a parallel realm filled with monsters known as ""Kegare,"" is a place where exorcists deal with all impurities. Benio Adashino is a prodigy exorcist who is recognized for her strength and is summoned to Tokyo by the Exorcist Union. On her way, she plummets into the arms of Rokuro Enmadou, a young exorcist with a troubled past. But the impurities of Magano do not rest. When these two exorcists witness a couple of children stolen by a Kegare, Benio rushes to save them, dragging Rokuro along with her into Magano. Engaged in a fight she is on the verge of being defeated in, Benio is saved by Rokuro, revealing himself capable of being her rival in talent. Sousei no Onmyouji tells the story of two talented exorcists who are destined to become the ""Twin Star Exorcists"" and the prophesised parents of the Miko—the reincarnation of Abe no Seimei—who will cleanse the world of all impurities. [Written by MAL Rewrite]","['Adaptation (Manga) Sousei no Onmyouji', '']",Sousei no Onmyouji,['Shounen'],,,
63,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,659","15,328",164266,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Shounen'],['Detective'],,
64,G-Tekketsu 2nd Season,機動戦士ガンダム 鉄血のオルフェンズ 第2期,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,Mobile Suit Gundam: Iron-Blooded Orphans Staffel 2,Mobile Suit Gundam: Iron-Blooded Orphans Temporada 2,Mobile Suit Gundam: Iron-Blooded Orphans Saison 2,['TV'],25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017",['Fall 2016'],Sundays at 17:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System']",['Funimation'],['Sunrise'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),8.23,#353,#1636,"151,587","1,686",85255,"Tekkadan has now become a direct affiliate of Teiwaz after procuring a new trade agreement with Arbrau. With its newfound funds and prestige, Tekkadan finds both its list of allies and enemies growing. Meanwhile, the flames of the Gjallarhorn power struggle continue to rage in full force. As a part of her efforts to make Mars financially independent from Earth, Kudelia Aina Bernstein founds the Admoss Company and enlists Tekkadan as her business partner. The stakes are getting higher as the Tekkadan family continues to grow. Will Orga, Mikazuki, and the rest of the Tekkadan faction be able to keep up, or will Kudelia's dream of Martian independence die out? [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam: Tekketsu no Orphans', 'Prequel (ONA) Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt', 'Adaptation (Manga) Kidou Senshi Gundam: Tekketsu no Orphans 2', '']",Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,,,,
65,"Pocket Monsters Sun & Moon, Pokémon Sun & Moon",ポケットモンスター サン＆ムーン,Pokémon the Series: Sun & Moon,Pokémon Die TV-Serie: Sonne und Mond Staffel 20,Pokémon Serie: Sol y Luna Temporada 20,Pokémon La Serie: Soleil et Lune Saison 20,['TV'],146,Finished Airing,"Nov 17, 2016 to Nov 3, 2019",['Fall 2016'],Sundays at 18:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Fantasy']","['School', 'Strategy Game']",24 min. per ep.,PG - Children,6.95,#4608,#1923,"122,078",595,65603,"After his mother wins a free trip to the islands, Pokémon trainer Satoshi and his partner Pikachu head for Melemele Island of the beautiful Alola region, which is filled with lots of new Pokémon and even variations of familiar faces. Eager to explore the island, Satoshi and Pikachu run wild with excitement, quickly losing their way while chasing after a Pokémon. The pair eventually stumbles upon the Pokémon School, an institution where students come to learn more about these fascinating creatures. At the school, when he and one of the students—the no-nonsense Kaki—have a run-in with the nefarious thugs of Team Skull, Satoshi discovers the overwhelming might of the Z-Moves, powerful attacks originating from the Alola region that require the trainer and Pokémon to be in sync. Later that night, he and Pikachu have an encounter with the guardian deity Pokémon of Melemele Island, the mysterious Kapu Kokeko. The Pokémon of legend bestows upon them a Z-Ring, a necessary tool in using the Z-Moves. Dazzled by their earlier battle and now in possession of a Z-Ring, Satoshi and Pikachu decide to stay behind in the Alola Region to learn and master the strength of these powerful new attacks. Enrolling in the Pokémon School, Satoshi is joined by classmates such as Lillie, who loves Pokémon but cannot bring herself to touch them, Kaki, and many others. Between attending classes, fending off the pesky Team Rocket—who themselves have arrived in Alola to pave the way for their organization's future plans—and taking on the Island Challenge that is necessary to master the Z-Moves, Satoshi and Pikachu are in for an exciting new adventure. [Written by MAL Rewrite]","['Prequel (TV) Pokemon XY&Z', 'Sequel (TV) Pokemon (2019)']",Pokemon Sun & Moon,['Kids'],,,
66,,TRICKSTER -江戸川乱歩「少年探偵団」より-,Trickster,Trickster,Trickster,Trickster,['TV'],24,Finished Airing,"Oct 4, 2016 to Mar 28, 2017",['Fall 2016'],Tuesdays at 01:05 (JST),"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Asmik Ace', 'JR East Marketing & Communications', 'Sumitomo', 'Akatsuki']",['Funimation'],"['TMS Entertainment', 'Shin-Ei Animation']",Original,"['Drama', 'Mystery', 'Sci-Fi']","['Detective', 'Psychological']",23 min. per ep.,PG-13 - Teens 13 or older,6.25,#8556,#1963,"118,817",255,37795,"Kogorou Akechi is the founder of a private investigation firm known as the Boy Detectives' Club. Together, this group takes on cases both great and small. One of their junior members, Kensuke Hanasaki, is out solving a case one day when he happens upon Yoshio Kobayashi, a mysterious amnesiac boy with an inability to die. After seeing his abilities in action, Kensuke offers Yoshio a deal: join the Boy Detectives' Club and help them solve cases, and in exchange he will find a way to help Yoshio die. The apathetic Yoshio accepts this deal begrudgingly, unaware of how different his life will become. Although he does not have much use for people, he gradually begins to acknowledge the group as he spends more time with them while solving cases. Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori follows Akechi and the rest of the Boy Detectives' Club as they solve the various cases they are given, all while combating a hidden threat from the shadows—""The Fiend with Twenty Faces."" [Written by MAL Rewrite]","['Prequel (OVA) Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA', 'Adaptation (Manga) Trickster']","Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",,,,
67,,オールアウト!!,All Out!!,,,,['TV'],25,Finished Airing,"Oct 7, 2016 to Mar 31, 2017",['Fall 2016'],Fridays at 00:00 (JST),"['Telecom Animation Film', 'Mainichi Broadcasting System', 'Kodansha', 'Asmik Ace', 'Sony Music Entertainment', 'TMS Music']","['Funimation', 'Crunchyroll']","['Madhouse', 'TMS Entertainment']",['Manga'],,"['School', 'Team Sports']",24 min. per ep.,PG-13 - Teens 13 or older,7.04,#4185,#1999,"116,448",392,51647,"Rugby is a sport where anybody can be a star when they hold the ball. The rules are simple: one player has to carry the ball past the goalposts across the field while avoiding the other team, who are allowed to use all their force to knock the enemy down. However, the player can pass to a teammate behind them or kick the ball before they are tackled. Unlike other sports, the game continues even when the person holding the ball is taken down. Kenji Gion is a short but feisty high school freshman at Kanagawa High School. Right after the school's opening ceremony, he meets the tall and timid Sumiaki Iwashimizu, and the two of them get an invitation to observe the rugby club. When Gion watches the match, he realizes that even though big and tall guys have an advantage, there are positions for people of all shapes and sizes. Immediately convinced that he has found a sport he can excel at despite his short stature, he signs up, though Iwashimizu declines. Gion is unable to accept Iwashimizu's excuses and drags him back into the sport. Their training becomes intense as they aim to become the champions of Hanazono, the national high school rugby championships. [Written by MAL Rewrite]","['Adaptation (Manga) All Out!!', '']",All Out!!,['Seinen'],,['Sports'],
