,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographics
96,ふしぎ駄菓子屋 銭天堂,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,,['Kids'],10 min.,G - All Ages,6.03,#9760,#11790,"2,061",5,203,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,,,,,['Mystery'],,
97,おかしなさばくのスナとマヌ,,['TV'],50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",['Winter 2021'],Sundays at 03:20 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],['Manga'],,,,1 min. per ep.,PG - Children,5.71,#11319,#12330,"1,730",6,227,"The story centers on the everyday life of the cats Suna and Manu, who live in a desert — a desert made of sugar instead of sand. (Source: ANN)",[],Okashi na Sabaku no Suna to Manu,,,,,['Comedy'],,
98,パズドラ,Puzzle & Dragon,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,,['Kids'],24 min.,PG - Children,5.84,#10755,#12376,"1,701",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,PazuDora,,,,,['Strategy Game'],
99,せいぜいがんばれ！魔法少女くるみ,,['TV'],25,Finished Airing,"Oct 7, 2020 to Sep 29, 2021",['Fall 2020'],Wednesdays at 23:54 (JST),['Lantis'],"None found,",['Pie in the sky'],Original,,"['Mahou Shoujo', 'Parody']",,4 min. per ep.,G - All Ages,6.30,#8297,#13186,"1,334",2,153,Third season of Seizei Ganbare! Mahou Shoujo Kurumi.,"['Prequel (ONA) Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season', '']",Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,,,,,,
100,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,,2 min.,G - All Ages,[],#16804,#13287,"1,295",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Kamiusagi Rope 4,,,,,,
101,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,['Kids'],10 min.,PG - Children,6.00,#9923,#14246,"1,002",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,Hana Kappa,,,,['Comedy'],,
102,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,,Unknown,None,[],#14177,#14318,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,,,['Comedy'],,
103,あはれ! 名作くん,Aware! Meisaku-kun,['TV'],230,Finished Airing,"Apr 8, 2016 to Mar 4, 2022",['Spring 2016'],Fridays at 18:20 (JST),"None found,","None found,",['Pie in the sky'],Original,,"['Parody', 'School']",['Kids'],5 min. per ep.,G - All Ages,6.12,#9257,#14426,949,1,213,"A long, long time ago, there was a prestigious school called ""Ryuuguu Elementary School"" that produced many masterpiece characters. One day, an ordinary boy named Meisaku Matsuda enrolled at the school. Little did he know that the place for learning was filled with crazy characters like Sweets, the energetic idiot; Musubi, a rice ball who gets angry when called ""onigiri""; Nokio, a narcissistic self-proclaimed robot; and Bolt, who's clearly faster than a rabbit. Surrounded by such unique characters, will Meisaku be able to graduate as a splendid masterpiece character? (Source: Anime News Network)",[],Aware! Meisaku-kun,Ahare! Meisaku-kun,,,,['Comedy'],,
104,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min.,G - All Ages,[],#14209,#15579,687,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,,,
105,カオルの大切なモノ,,['TV'],50,Finished Airing,"Nov 18, 2020 to Oct 27, 2021",['Fall 2020'],Wednesdays at 23:29 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,[],#16826,#15755,659,0,,Spin-off of Kichikujima with super deformed characters.,[],Kaoru no Taisetsu na Mono,,,,,['Comedy'],,
106,マヌ～ルのゆうべ,,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],,,,1 min.,PG-13 - Teens 13 or older,[],#17532,#15789,654,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,,,['Slice of Life'],,
107,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,['Kids'],30 sec.,G - All Ages,[],#20832,#16419,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,Rice Monster Pap,,,,,,
108,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16114,#16758,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,Yowamon,,,,,,
109,のりものまん モービルランドのカークン,,['TV'],104,Finished Airing,"Apr 2, 2020 to Mar 24, 2022",['Spring 2020'],Thursdays at 17:20 (JST),"None found,","None found,",['CloverWorks'],Original,,,['Kids'],5 min. per ep.,PG - Children,[],#18258,#16778,525,0,,"The anime will depict various vehicles as characters in the ""Mobile Land"" island. The protagonist Car-kun arrives at the island as a delivery worker. Through his deliveries, he gets to know the residents of Mobile Land, all while following traffic rules and having his deliveries stopped by the meddling Sabibi. (Source: ANN)",[],Norimono Man: Mobile Land no Car-kun,,,,,['Comedy'],['Racing'],
110,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#20491,#17168,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,,['Horror'],,
111,바이트 초이카,Bite-Choicar,['TV'],26,Finished Airing,"Apr 18, 2020 to May 23, 2021",['Spring 2020'],Saturdays at 07:15 (JST),"None found,","None found,","None found,",Original,,,['Kids'],30 min. per ep.,PG - Children,[],#19604,#17322,472,2,,"Chashin was selected by the legendary choicar ""Stormbone,"" as the strongest racer, and will showcase a new concept of bite racing. Bite racing is a new racing game that never hits a rail with two cars chasing in a match. The bite-free rail running on the track creates a more realistic racing experience. Various types of super cars such as speed type, balance type, and power type create unique racing on 3 types of tracks (crash track, line track, outdoor race). (Source: enewstoday.co.kr)","['Sequel (TV) Bite-Choicar Hyper', '']",Bite-Choicar,,,,,,['Racing'],
112,オトッペ,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,,,['Kids'],3 min. per ep.,G - All Ages,[],#18426,#17781,433,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,,,,,['Fantasy'],['Music'],
113,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#18454,#18290,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,,,
114,新ニッポンヒストリー,,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,,23 min.,G - All Ages,[],#14232,#18539,377,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",,,,['Comedy'],['Historical'],
115,おりがみにんじゃ コーヤン＠きんてれ,,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,,['Kids'],Unknown,PG - Children,[],#18385,#18665,366,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,Happy Smile ♡ Dream,,,,['Comedy'],,
116,시간여행자 루크,Time Traveler Luke,['TV'],52,Finished Airing,"May 9, 2020 to Jul 10, 2021",['Spring 2020'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Action', 'Adventure', 'Sci-Fi']",,['Kids'],11 min. per ep.,PG - Children,[],#14389,#20385,262,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sigan Yeohaengja Luke,,,,,,,
117,キンタマーニドッグ,,['TV'],50,Finished Airing,"Jan 14, 2021 to Dec 26, 2021",['Winter 2021'],Unknown,"None found,","None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,[],#16956,#20685,245,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kintamani Dog,,,,,['Slice of Life'],,
118,赛尔号第11季：裂空沧海,,['TV'],30,Finished Airing,"Jan 8, 2021 to Jul 23, 2021",['Winter 2021'],Unknown,"None found,","None found,","None found,",Game,,,['Kids'],13 min. per ep.,PG - Children,[],#19012,#21632,193,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sai Er Hao Season 10: Bing Feng Yaosai', '']",Sai Er Hao Season 11: Liekong Canghai,Seer Eleventh Season,,,,,,
119,아기상어 올리와 윌리엄,Baby Shark's Big Show!,['TV'],54,Finished Airing,"Dec 25, 2020 to Aug 23, 2022",['Winter 2021'],Unknown,['Pinkfong'],"None found,","None found,",Music,,,['Kids'],11 min. per ep.,PG - Children,[],#19117,#21669,191,0,,"Baby Shark's Big Show! follows Baby Shark and his best friend William as they journey on fun-filled comedic adventures in their community of Carnivore Cove, make new friends, and sing original catchy tunes along the way. (Source: Amazon)",[],Agisang-eo Ollie wa William,Baby Shark Ollie and William,,,,,['Anthropomorphic'],
120,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,['Kids'],18 min.,G - All Ages,[],#17987,#21868,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,,,,['Fantasy'],,
121,바이트초이카 하이퍼,,['TV'],13,Finished Airing,"Feb 6, 2021 to May 8, 2021",['Winter 2021'],Unknown,"None found,","None found,","None found,",Other,,,['Kids'],22 min. per ep.,PG - Children,[],#19605,#23124,131,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Bite-Choicar', '']",Bite-Choicar Hyper,,,,,,['Racing'],
122,헬로 카봇 시즌10,,['TV'],26,Finished Airing,"Feb 3, 2021 to Aug 5, 2021",['Winter 2021'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",['Kids'],11 min. per ep.,PG - Children,[],#21123,#23401,124,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 9', 'Sequel (TV) Hello Carbot Season 11']",Hello Carbot Season 10,Hello Carbot: Bang,,,,['Action'],,
123,인앱,,['TV'],56,Finished Airing,"Nov 21, 2020 to Dec 18, 2021",['Fall 2020'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Action', 'Comedy']",,,7 min. per ep.,G - All Ages,[],#21489,#23699,117,0,,"Inside our small smart device is a world very much like our own, where countless Appmen work to run their apps as smoothly as possible. Each of our thoughtless taps or pretty selfies can easily drive Smart World into chaos. But the same goes the other way – when our smartphone malfunctions our days can easily be ruined. In this oddly balanced back and forth – where what seems small in one world can become huge in the other – are our protagonists Jackie and Robin. These two don’t quite mesh. They are a team with no teamwork. They just don’t seem reliable enough for us to entrust our smart devices. But they do remind us that their, and our ""Smart Life"" can easily become comedy. (Source: WelCon)",[],In:App,,,,,,['Anthropomorphic'],
124,極主夫道,The Way of the Househusband,['ONA'],5,Finished Airing,"Apr 8, 2021",,,['Netflix'],"None found,",['J.C.Staff'],['Web manga'],,"['Adult Cast', 'Gag Humor', 'Organized Crime']",,17 min. per ep.,PG-13 - Teens 13 or older,7.25,#3099,#543,"446,980","2,814",252880,"Who would have ever thought that the most feared gangster of his time now spends his days as a modest househusband? Seemingly giving up the way of the yakuza, the legendary ""Immortal Dragon"" Tatsu, best known for his prolific skirmishes against rival gangs, has abruptly vanished. Unbeknownst to most, however, Tatsu is currently staying at an apartment with his wife, doing his best to live a peaceful life. Donning his trusty apron, Tatsu is now striving to become an efficient homemaker. Because of this, he has mastered the required skills—be it cooking the most delicious dishes, making sure to get the best deals at supermarkets, and everything in between—garnering the surprise of both of his former subordinates and enemies alike. Despite being a man with quite a controversial past, Tatsu's new way of life will only be more eccentric from here on out! [Written by MAL Rewrite]","['Sequel (ONA) Gokushufudou Part 2', 'Adaptation (Manga) Gokushufudou']",Gokushufudou,"The Way of the House Husband, Yakuza goes Houseman",Yakuza goes Hausmann,De Yakuza a Amo de Casa,La Voie du tablier,['Comedy'],,
125,時光代理人,Link Click,['ONA'],11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,,"['bilibili', 'BeDream']",['Funimation'],['LAN Studio'],Original,"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Super Power', 'Time Travel']",,23 min. per ep.,PG-13 - Teens 13 or older,8.73,#52,#586,"418,553","13,151",161167,"It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client's request. But every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do. [Written by MAL Rewrite]","['Sequel (ONA) Shiguang Dailiren II', '']",Shiguang Dailiren,"时光代理人, 時光代理人, Jikou Dairinin, Shi Guang Dai Li Ren",,,,,,
126,終末のワルキューレ,Record of Ragnarok,['ONA'],12,Finished Airing,"Jun 17, 2021",,,"['Mainichi Broadcasting System', 'Warner Bros. Japan', 'KlockWorx', 'Coamix', 'Sammy']",['VIZ Media'],['Graphinica'],['Manga'],"['Action', 'Drama', 'Fantasy']","['Gore', 'Mythology']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.80,#5319,#744,"342,336","1,934",195254,"The gods of the world—from Greek to Norse to Hindu mythology—gather every one thousand years to make one important decision: whether or not to wipe out mankind. Repulsed by humanity's selfishness, the council unanimously votes to destroy all humans. But before the decree is enacted, Brunhilde, one of the 13 Valkyries of Valhalla, interrupts the meeting to give mankind a chance at survival. Brunhilde proposes the idea of enacting Ragnarök, an event in which the strongest 13 mortal warriors fight against 13 gods in one-on-one matches. Although the trial is ridiculed by the gods, the demigod takes advantage of their pride and forces them into an agreement. However, Brunhilde herself must recruit the mightiest heroes throughout humanity's thousand-year history and guide them to victory before they meet their untimely demise. [Written by MAL Rewrite]","['Sequel (ONA) Shuumatsu no Walküre II', 'Adaptation (Manga) Shuumatsu no Walküre']",Shuumatsu no Walküre,"Shuumatsu no Valkyrie, Valkyrie of the End, Valkyrie Apocalypse",Record of Ragnarok,Record of Ragnarok,Valkyrie Apocalypse,,,
127,YASUKE －ヤスケ－,Yasuke,['ONA'],6,Finished Airing,"Apr 29, 2021",,,"None found,","None found,",['MAPPA'],Other,"['Action', 'Fantasy']","['Adult Cast', 'Gore', 'Historical', 'Samurai']",,29 min. per ep.,R - 17+ (violence & profanity),5.75,#11144,#2406,"87,753",251,47937,"A village in danger, a mysterious child, warring daimyo, and the greatest ronin never known all clash in a Japan of magic and mechs. Learn the story of the first African samurai. (Source: Netflix)","['Adaptation (Manga) Yasuke', '']",Yasuke,,,,,,,
128,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11259,#2568,"79,061",256,30945,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,,,,,['Martial Arts'],
129,伍六七之玄武国篇,Scissor Seven (2021),['ONA'],10,Finished Airing,"Jan 21, 2021 to May 5, 2021",,,['AHA Entertainment'],"None found,",['Sharefun Studio'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","['Martial Arts', 'Super Power']",,16 min. per ep.,R - 17+ (violence & profanity),8.42,#188,#2683,"73,579",845,40406,"In order to protect the residents of Xiaoji Island and the peaceful life here, Wu Liuqi and his partners Dabao and Xiaofei embark on a journey to the Xuanwu Kingdom to find out the truth about his identity and a way to save the island. Waiting for them is more unknowns and adventures. (Source: bilibili, edited)","['Prequel (ONA) Wu Liuqi: Zui Qiang Fa Xing Shi', 'Sequel (ONA) Wu Liuqi: Anying Suming']",Wu Liuqi: Xuanwu Guo Pian,"Killer Seven 3, Scissor Seven 3, 伍六七第三季",Scissor Seven Staffel 3,Scissor Seven Temporada 3,Scissor Seven Saison 3,,,
130,幼女戦記 砂漠のパスタ大作戦,Saga of Tanya the Evil: Operation Desert Pasta,['ONA'],1,Finished Airing,"Jun 19, 2021",,,"['Magic Capsule', 'Kadokawa']","None found,",['Nut'],['Light novel'],"['Action', 'Fantasy']","['Isekai', 'Military', 'Reincarnation']",,16 min.,PG-13 - Teens 13 or older,7.46,#2099,#2864,"65,692",129,32919,"The 203rd Air Mage Battalion led by Tanya is forced to fight in the southern desert, the front line. In an effort to provide some food for the harsh conditions, Colonel Rerugen sent dried pasta to the battlefield. Will Tanya and the others be able to eat the delicious pasta under the conditions of water shortage? (Source: AniDB)","['Sequel (Movie) Youjo Senki Movie', '']",Youjo Senki: Sabaku no Pasta Daisakusen,,,,,,,
131,ミニドラ,Miss Kobayashi's Dragon Maid S Short Animation Series,['ONA'],13,Finished Airing,"Apr 7, 2021 to Jun 30, 2021",,,"None found,","None found,",['Kyoto Animation'],['Manga'],"['Slice of Life', 'Supernatural']",,,1 min. per ep.,PG-13 - Teens 13 or older,7.35,#2586,#2917,"63,550",68,37592,Commemoration mini-anime series released on Kyoani YouTube Channel ahead of Kobayashi-san Chi no Maid Dragon S.,[],Mini Dragon,Minidora,,,,,,
132,ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,853","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,"Horogura, HoloGra",,,,['Comedy'],,
133,黒ギャルになったから親友としてみた。,Seduced by My Best Friend,['ONA'],8,Finished Airing,"Apr 5, 2021 to May 24, 2021",,,"['Suiseisha', 'blackflag']",['Ascendent Animation'],['Elias'],['Manga'],"['Boys Love', 'Hentai']",,,6 min. per ep.,Rx - Hentai,6.19,N/A,#3465,"46,272",510,16031,"Shion and Rui are the dream team when it comes to hitting on women. Tonight was going to be another night of hooking up with girls for Shion, but he ended up taking a strange drug. When he woke up... he'd turned into a girl?! Rui came looking for Shion, but didn't recognize him, and started hitting on him... (Source: Suiseisha, translated)","['Adaptation (Manga) Kuro Gal ni Natta kara Shinyuu to Yattemita.', '']",Kuro Gal ni Natta kara Shinyuu to shitemita.,"Fucked By My Best Friend, I Became a Black Gal So I Fucked My Best Friend, Kuro Gal ni Natta kara Shinyuu to Yattemita.",,,,,['Magical Sex Shift'],
134,时光代理人 番外篇 比武招亲,Link Click Episode 5.5,['ONA'],1,Finished Airing,"May 28, 2021",,,"['Haoliners Animation League', 'bilibili', 'BeDream']","None found,",['LAN Studio'],Original,"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Super Power', 'Time Travel']",,22 min.,PG-13 - Teens 13 or older,7.80,#1048,#3424,"47,111",122,26760,"At the Time Photo Studio, partners Lu Guang and Cheng Xiaoshi accept jobs of a peculiar nature. With the aid of their complementary abilities, they are able to leap into photographs—thereby entering the past. One such case involves Liu Siwen, whose only wish is to marry his one true love, Ou Yang. However, her martial arts master father is apprehensive of a suitor who is an outsider and refuses to give his permission unless Liu Siwen defeats him in an honest duel. After years of trying and failing miserably because of his less-than-impressive skills, Liu Siwen finds himself seeking the help of Lu Guang and Cheng Xiaoshi. The two hatch a plan to outwit Ou Yang's father, but what seems simple in theory is rarely as easy to execute in reality… [Written by MAL Rewrite]",[],Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,Shiguang Dailiren Episode 5.5,,,,,,
135,ヘタリア World★Stars,,['ONA'],12,Finished Airing,"Apr 1, 2021 to Jun 17, 2021",,,"['DAX Production', 'Shueisha', 'Soranone']",['Funimation'],['Studio Deen'],['Manga'],,"['Anthropomorphic', 'Gag Humor', 'Historical', 'Parody']",,5 min. per ep.,PG-13 - Teens 13 or older,6.86,#5039,#4912,"22,217",113,8004,"Greece continues to struggle with his nation's financial woes, leaving it up to the other nations to brainstorm ways to restart his economy. This soon kicks off what would be known as the Industrial Revolution, wherein America rises to completely surpass the rest of the world in both technology and economic strength. Fearing that he is losing his influence on the global scale, England begs the other nations for ideas to restore his country's image. At the same time, smaller nations are eager to make their mark with their newfound independence. Czechoslovakia has officially been split into the Czech Republic and Slovakia, leaving the two nations at odds with each other but with a lot of free time. [Written by MAL Rewrite]","['Sequel (Special) Hetalia World★Stars Specials', 'Adaptation (Manga) Hetalia World☆Stars']",Hetalia World★Stars,,,,,['Comedy'],,
136,エデン,,['ONA'],4,Finished Airing,"May 27, 2021",,,"None found,","None found,","['Qubic Pictures', 'CGCG Studio']",Original,"['Fantasy', 'Sci-Fi', 'Slice of Life']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.41,#7643,#5183,"19,557",36,8710,"The sci-fi fantasy series Eden is set thousands of years in the future, where a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe—that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden. (Source: Netflix, edited)","['Adaptation (Manga) Eden', '']",Eden (ONA),,Eden,Edén,Eden,,,
137,Artiswitch（アーティスウィッチ）,,['ONA'],6,Finished Airing,"May 28, 2021 to Sep 10, 2021",,,"None found,","None found,",['Sunrise'],Original,"['Slice of Life', 'Supernatural']",,,8 min. per ep.,PG-13 - Teens 13 or older,7.31,#2786,#5255,"18,873",235,7320,"There is a rumor doing the rounds in Harajuku: somewhere in the back streets of Ura-Harajuku, a witch and her mysterious shop serve those whose wishes have gone unheard, giving them an opportunity to unlock their hearts' greatest desires. Believing this to be an ideal arrangement, the proud apprentice witch Nina strives to fulfill her customers' wishes while her power and influence grow accordingly. However, not all wishes are meant to come true—and not all of them lead to a happy ending. As Nina is compelled to peer deeper into the human psyche, she soon discovers the dark side of a witch's obligations, and her ambitions begin to clash with her wish to comfort the entire world. [Written by MAL Rewrite]",[],Artiswitch,,,,,,['Music'],
