,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,German,Spanish,French,Genre,Demographics
211,Tougijou no Senki: Another Story,闘技場〈コロシアム〉の戦姫～another story～,,['OVA'],2,Finished Airing,"Dec 4, 2015 to Jan 8, 2016",,,['Mary Jane'],"None found,",['Office TakeOut'],['Light novel'],"['Fantasy', 'Hentai']",,,16 min. per ep.,Rx - Hentai,5.90,N/A,#9312,"4,402",6,1668,Based on the erotic novel by Wakatsuki Hikaru and Hima.,"['Adaptation (Light Novel) Colosseum no Senki', '']",Colosseum no Senki: Another Story,,,,,,
212,,武想少女隊ぶれいど☆ブライダーズ THE ANIMATION,,['OVA'],1,Finished Airing,"Oct 30, 2015",,,['Pink Pineapple'],"None found,",['G-Lam'],Visual novel,"['Sci-Fi', 'Hentai']",,,26 min.,Rx - Hentai,5.47,N/A,#9569,"4,053",3,1318,"In the late 21st century, humankind came under a fierce attack from aliens who suddenly appeared via wormholes. They were helpless to fight against them and resigned themselves to imminent death. At that time, an ultimate weapon which could create items out of imagination was discovered in a expansive cave under Japan, along with its young master Ryuusei who was in cryostasis. The indiscriminate alien attacks awoke him and he led the humans to a decisive victory. One year later, while the areas which had been destroyed by the aliens were still being rebuilt, Ryuusei was appointed as the commander of the newly-formed Defence Force of Earth, which was created to fight against space invaders. However, he was the only person who could use the ‘imagination embodiment device’. If something was to happen to him, then calamity would befall the world. So the Defence Force of Earth decided to recruit girls with potential to fight alongside him. Even though they hesitated at first, they each had their own reasons to join Ryuusei. Thus, the special force ‘Blade Briders’ was formed, to protect the Earth against the aliens who have returned. (Source: Hau~ Omochikaeri!)",[],Busou Shoujotai: Blade Briders The Animation,['Space'],,,,,
213,,ヒーローカンパニー,,['OVA'],2,Finished Airing,"Oct 5, 2015",,,"None found,","None found,",['Studio Deen'],['Manga'],,,['Seinen'],14 min. per ep.,None,[],#18542,#14406,959,1,,"""A hero"" is a job that in the face of danger and adversity or from a position of weakness, display courage and the will for self-sacrifice. Would you like to work as such a hero in our company? You may transform, manipulate a huge robot or fight as a squad. Shall we realize your dream in our ""Hero Company""?! (Source: MU)","['Adaptation (Manga) Hero Company', '']",Hero Company,['Super Power'],,,,['Comedy'],
214,,ろぼっとアトム,Little Astro Boy,['OVA'],8,Finished Airing,"Nov 3, 2015",,,['Tezuka Productions'],"None found,","None found,",['Manga'],,,['Kids'],11 min. per ep.,G - All Ages,5.86,#10632,#15125,781,2,174,"Astro Boy appears to be a normal, playful kid, yet he is a robot capable of both flying and incredible strength. Living with his parents in a small town where humans and robots coexist, he has many friends thanks to his cheerful nature. Eager to learn and try new things, Astro and his companions often embark on exciting adventures. But their explorations are met with unexpected troubles when the wicked criminal Hamegg—joined by his accomplices Gora, a pink gorilla robot, and Professor Flau—interferes with their endeavors. As the little robot boy and his group bravely face challenges, their efforts become part of a journey to discover the world's values and wonders. [Written by MAL Rewrite]",[],Robot Atom,,,,,['Sci-Fi'],
215,Mad Max: Fury Road Parody Film,The Planet of Stray Cats,The Planet of Stray Cats,['OVA'],13,Finished Airing,"Nov 11, 2015",,,"None found,","None found,",['Studio Crocodile'],Other,,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#14829,#21205,217,1,,"The Planet of Stray Cats, the ""grown-up"" CG gag comedy anime from studio Plus Heads collaboration with the ""Mad Max: Fury Road"" film. The film's director George Miller himself approved this collaborative short. The anime features the nonsensical, surreal conversations of stray cats on a planet. The only voice cast member, named Monica, ad-libs the dialogue of all the characters.",[],The Planet of Stray Cats,['Parody'],,,,['Sci-Fi'],
216,Onosaka Konishi no OTASUKE 2.5-jigen Animation 3rd Season,小野坂・小西のO+K 2.5次元 アニメーション 第3,,['OVA'],10,Finished Airing,"Dec 23, 2015",,,['Frontier Works'],"None found,",['trenova'],Other,,,,4 min. per ep.,PG-13 - Teens 13 or older,[],#20847,#25143,93,0,,The third season of Onosaka Konishi no O+K 2.5-jigen Animation.,"['Prequel (OVA) Onosaka Konishi no O+K 2.5-jigen Animation 2nd Season', 'Sequel (OVA) Onosaka Konishi no O+K 2.5-jigen Animation 4th Season']",Onosaka Konishi no O+K 2.5-jigen Animation 3rd Season,,,,,['Comedy'],
217,"LWA 2, Little Witch Academia 2",リトルウィッチアカデミア 魔法仕掛けのパレード,Little Witch Academia: The Enchanted Parade,['Movie'],1,Finished Airing,"Oct 9, 2015",,,"['Half H.P Studio', 'Ultra Super Pictures', 'TOHO animation', 'Good Smile Company']","None found,",['Trigger'],Original,"['Adventure', 'Comedy', 'Fantasy']",,,53 min.,G - All Ages,7.74,#1190,#1449,"174,538",330,97955,"You can tell witch training is not going swimmingly for the young sorceresses Akko, Lotte, and Sucy—they face expulsion for screwing up one class too many, and their only way out is if they successfully organize their academy's annual parade through a nearby town. But when they stumble upon the momentous discovery that the objective of the parade is to humiliate witches and commemorate their past subjugation, Akko decides it is time for a change: It is time to show the world how fantastic modern witches truly are! However, with the other girls struggling to keep up with Akko's grandiose ambitions, and everything from mischievous boys to slumbering giants getting in their way, maybe pulling it off will require not only all the magical prowess the pupils of Luna Nova Magical Academy can muster, but also a miracle. [Written by MAL Rewrite]","['Prequel (Movie) Little Witch Academia', '']",Little Witch Academia: Mahoujikake no Parade,['School'],,,,,
218,Digimon tri. 1,デジモンアドベンチャーtri.（トライ）第１章「再会」,Digimon Adventure tri. Reunion,['Movie'],1,Finished Airing,"Nov 21, 2015",,,"['Bandai', 'Ai Addiction']",['Shout! Factory'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Drama']",,,1 hr. 29 min.,PG-13 - Teens 13 or older,7.43,#2232,#1996,"116,842",244,62548,"The gate to the Digital World has been closed for three years. Taichi Yagami and his friends have since moved on, and now that he is in his second year of high school, it is time for him to grow up. While everyone else knows what they want to do with their lives, Taichi remains unsure. Meanwhile, the group drifts further apart as they follow their own paths. One day, a rogue insectoid Digimon called Kuwagamon materializes and disrupts electronics all over the city. Taichi recklessly chases after it and ends up cornered by the attacking Digimon. Suddenly, the Digivice that he still carries—a digital device that serves various purposes including helping one's Digimon partner to evolve—glows, and Agumon appears. The two are able to defeat Kuwagamon, but why did the Digimon cross over to this world in the first place? What is happening in the Digital World, and how exactly does this involve Meiko Mochizuki, the new transfer student in Taichi's class? [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure 02: Diablomon no Gyakushuu', 'Sequel (Movie) Digimon Adventure tri. 2: Ketsui']",Digimon Adventure tri. 1: Saikai,,Digimon Adventure tri. Film - Reunion,Digimon Adventure tri Película: Reunión,Digimon Adventure tri. Film: Reunión,,
219,Girls & Panzer Gekijouban,ガールズ&パンツァー 劇場版,Girls und Panzer der Film,['Movie'],1,Finished Airing,"Nov 21, 2015",,,"['Bandai Visual', 'Lantis', 'Movic', 'Q-Tec', 'Hakuhodo DY Music & Pictures', 'Hakuhodo DY Media Partners']",['Sentai Filmworks'],['Actas'],Original,"['Action', 'Award Winning']","['CGDCT', 'Military', 'School']",,2 hr.,PG-13 - Teens 13 or older,8.18,#420,#2064,"111,623","1,431",60946,"Having won the 63rd National Sensha-dou tournament, the girls from Ooarai Girls Academy managed to prevent their school from closure by the Japanese Ministry of Education. However, new troubles loom on the horizon: a ministry official argues that the deal was not legally binding and that the Ooarai school carrier is to be decommissioned. Students and their families are frustrated with this injustice and overwhelmed with despair; it seems little can be done to save the school. Their last glimmer of hope is a proposed match against the All-Stars University Sensha-dou team, consisting of the most talented students from all over the country. Despite Ooarai being severely outnumbered and clearly outclassed, they accept the challenge. [Written by MAL Rewrite]","['Prequel (TV) Girls & Panzer', 'Sequel (Special) Girls & Panzer Movie Specials']",Girls & Panzer Movie,,Girls & Panzer: Der Film,,,,
220,"Free! Movie, High☆Speed!: Free! Starting Days",映画 ハイ☆スピード！ -Free! Starting Days-,Free! Starting Days,['Movie'],1,Finished Airing,"Dec 5, 2015",,,"['Shochiku', 'Asahi Broadcasting', 'I Will']",['Funimation'],['Kyoto Animation'],['Light novel'],"['Drama', 'Sports']",,,1 hr. 50 min.,PG-13 - Teens 13 or older,7.85,#929,#2282,"96,126",289,44234,"Haruka Nanase and Makoto Tachibana have started middle school and must adjust to the changes that come along with growing up. While Makoto fits in with his classmates and remains positive about swimming, Haruka struggles to befriend others or join his school's swim club, as his previous issues with swimming trouble him. Distancing himself from his lively classmates and the swimming club, he has difficulty deciding which club to join instead. The rest of his classmates, including Makoto, are also hesitant as to which clubs to participate in. After an argument leads them to join the swimming club anyway, the boys strive to hone their skills, harmonize their swimming styles, and refine their conflicting feelings toward swimming and each other. As determination and talent run high, Haruka and Makoto—along with their classmates—discover themselves and improve their talents during their starting days. [Written by MAL Rewrite]","['Sequel (TV) Free!', 'Adaptation (Manga) High☆Speed!', 'Adaptation (Light Novel) High☆Speed!', '']",High☆Speed! Movie: Free! Starting Days,['School'],,,,,
221,Project Itoh,屍者の帝国,The Empire of Corpses,['Movie'],1,Finished Airing,"Oct 2, 2015",,,"None found,",['Funimation'],['Wit Studio'],Novel,,"['Historical', 'Psychological']",,2 hr.,R - 17+ (violence & profanity),6.84,#5153,#2426,"86,791",278,29641,"By the 19th century, humanity has cultivated technology enabling the reanimation of corpses. Unable to experience individual thoughts or emotions, the corpses are programmed by humans to act as laborers in various occupations. This newfound technology, however, comes with a catch. Science may be able to restore the corpses' ability to move, yet it cannot return what every corpse loses at death: the soul. But Doctor Victor Frankenstein, who vanished shortly after his revolutionary work on corpse reanimation, is said to have revived the only corpse in possession of a soul. In pursuit of this scientific knowledge, London medical student John Watson hopes to fulfill his promise to his late partner, Friday. After being scouted by a government agency, Watson is on a hunt to obtain Frankenstein's notes, which he believes hold the key to the secrets of the soul. During his search, Watson uncovers the harsh realities of the developing corpse technology and the price he must pay to advance his research. [Written by MAL Rewrite]","['Adaptation (Manga) Shisha no Teikoku', '']",Shisha no Teikoku,,Project Itoh: The Empire of Corpses,The Empire of Corpses,Project Itoh: The Empire of Corpses,['Sci-Fi'],
222,Project Itoh,<harmony/> ハーモニー,Harmony,['Movie'],1,Finished Airing,"Nov 13, 2015",,,"['Aniplex', 'Dentsu', 'Fuji TV', 'TOHO', 'Sony Music Entertainment', 'Fujipacific Music', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Beyond C.']",['Funimation'],['Studio 4°C'],Novel,,"['Adult Cast', 'Psychological']",,1 hr. 59 min.,R+ - Mild Nudity,6.88,#4965,#2957,"62,312",274,19625,"In 2019, following an uprising in the USA and a subsequent global nuclear war, humanity was decimated by a catastrophe called ""The Maelström."" A half-century after this cataclysmic event—to preserve humankind—the World Health Organization (WHO) has progressively assimilated worldwide political power and completely redefined society: people are now considered public resources and are guaranteed a happier life. The heightened development of medicine, nanomachine technology, and augmented reality promote this greater devotion to human health. Suffocated by the excessive kindness of Japanese society, high school student Miach Mihie decides to oppose the societal values she considers dehumanizing before the health implant surveillance system WatchMe activates itself the day she turns 18. Miach plans to kill herself with two of her friends, Tuan Kirie and Cian Reikadou. However, Cian betrays the pact in disagreement with Miach's intentions, allowing Tuan to survive her suicide attempt, unlike Miach, who is declared dead. Thirteen years later, now a high-ranking inspector of Helix—an organization affiliated with WHO to monitor military conflicts—Tuan is sent back to Japan after her drug smuggling activities in the Niger warzone are discovered by senior Helix inspector Oscar Stauffenberg. On her first day back to the country she tried running away from, thousands of people simultaneously commit suicide. Tuan is now in charge of investigating this wave of mass suicide and exposing the terrorist organization behind the unprecedented attack. [Written by MAL Rewrite]","['Adaptation (Manga) Harmony', 'Adaptation (Novel) Harmony']",Harmony,,Project Itoh: Harmony,,Project Itoh: Harmony,['Sci-Fi'],
223,,亜人　第１部「衝動」,Ajin: Demi-Human Movie 1: Compel,['Movie'],1,Finished Airing,"Nov 27, 2015",,,['TOHO animation'],['Sentai Filmworks'],['Polygon Pictures'],['Manga'],"['Action', 'Horror', 'Mystery', 'Supernatural']",,['Seinen'],1 hr. 44 min.,R - 17+ (violence & profanity),7.42,#2282,#3424,"47,232",49,17297,"For high schooler Kei—and for at least forty-six others—immortality comes as the nastiest surprise ever. Sadly for Kei, such a feat doesn't make him a superhero. In the eyes of both the general public and governments, he's a rare specimen who needs to be hunted down and handed over to scientists to be experimented on for life—a demi-human who must die a thousand deaths for the benefit of humanity. (Source: Vertical)","['Sequel (Movie) Ajin Part 2: Shoutotsu', 'Adaptation (Manga) Ajin']",Ajin Part 1: Shoudou,['Gore'],Ajin: Impulse Teil 1 der Movie,,,,
224,"Aoki Hagane no Arpeggio: Ars Nova Cadenza, Arpeggio of Blue Steel: Ars Nova Movie 2, Gekijouban Aoki Hagane no Arpeggio",劇場版 蒼き鋼のアルペジオ ‐アルス・ノヴァ‐ Cadenza,,['Movie'],1,Finished Airing,"Oct 3, 2015",,,['Sotsu'],"None found,",['SANZIGEN'],['Manga'],"['Action', 'Sci-Fi']",,['Seinen'],1 hr. 44 min.,PG-13 - Teens 13 or older,7.80,#1023,#4167,"32,323",126,13383,"The group of privateers known as the Blue Steel continues their mission to deliver blueprints of the Vibration Warhead Torpedo—a weapon that may turn the tides of war in their favor—to the United States. However, a new threat arises from their enemy, the overwhelming Fleet of Fog in the form of ""The Student Council.,"" This is a group of warships composed of the remaining Mental Models—the ships' humanoid avatars—who have yet to face the unpredictable captain of the Blue Steel, Gunzou Chihaya. As the Blue Steel gets closer to understanding the origins of the authority controlling the enemy, Iona's past starts to reveal why the war began and her reason for siding with humanity. [Written by MAL Rewrite]","['Prequel (Movie) Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC', 'Adaptation (Manga) Aoki Hagane no Arpeggio']",Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,,,,,,
225,,魔法少女まどか★マギカ コンセプトムービー,Puella Magi Madoka Magica Concept Movie,['Movie'],1,Finished Airing,"Nov 27, 2015",,,"None found,","None found,",['Shaft'],Original,"['Drama', 'Suspense']","['Mahou Shoujo', 'Psychological']",,4 min.,PG-13 - Teens 13 or older,7.15,#3612,#4286,"30,259",57,11241,"Contemplating the meaning of happiness, Madoka Kaname and Homura Akemi compose possible answers that lead them to reflect on their own choices. Meanwhile, strange occurrences cause turmoil among the magical girls as they navigate the challenges of their destiny. [Written by MAL Rewrite]",[],Mahou Shoujo Madoka★Magica: Concept Movie,,,,,,
226,Tamayura Kanketsu-hen Movie 3,たまゆら～卒業写真～ 第3部 憧-あこがれ-,,['Movie'],1,Finished Airing,"Nov 28, 2015",,,"['Shochiku', 'flying DOG']","None found,",['TYO Animations'],Original,,"['CGDCT', 'Iyashikei']",,51 min.,G - All Ages,7.79,#1056,#6513,"10,918",12,3913,The third movie of a four-part finale of Tamayura.,"['Prequel (Movie) Tamayura: Sotsugyou Shashin Part 2 - Hibiki', 'Sequel (Movie) Tamayura: Sotsugyou Shashin Part 4 - Ashita']",Tamayura: Sotsugyou Shashin Part 3 - Akogare,,,,,['Slice of Life'],
227,"Wake Up, Girls! Zoku Movie, Wake Up, Girls! 2, WUG! Zoku-hen, WUG! 2","Wake Up, Girls！Beyond the Bottom",,['Movie'],1,Finished Airing,"Dec 11, 2015",,,"['TV Tokyo', 'Tatsunoko Production', 'AT-X', 'TOHO', 'Ultra Super Pictures', 'DIVE II Entertainment', 'Good Smile Company', 'Avex Pictures', 'Lawson HMV Entertainment', 'Hiroshi Planning']","None found,","['Ordet', 'Millepensee']",Original,,"['Idols (Female)', 'Music']",,53 min.,PG-13 - Teens 13 or older,7.19,#3401,#6895,"9,513",17,3799,"Second movie sequel of Wake Up, Girls!.","['Prequel (Movie) Wake Up, Girls! Seishun no Kage', 'Sequel (TV) Wake Up, Girls! Shin Shou']","Wake Up, Girls! Beyond the Bottom",,,,,['Drama'],
228,"Forward:Hamatora, Hamatora Movie",Fw：ハマトラ,,['Movie'],1,Finished Airing,"Nov 14, 2015",,,"['NAZ', '10Gauge']","None found,",['Lerche'],Mixed media,"['Comedy', 'Mystery']",,,1 hr. 8 min.,G - All Ages,6.96,#4552,#6903,"9,493",6,1667,Summary movie of Hamatora The Animation and Re:␣Hamatora.,[],Fw:Hamatora,['Super Power'],,,,,
229,"Girls und Panzer Movie: Understanding Girls und Panzer in 3 Minutes!!, Girls und Panzer der Film Intro, San-pun Chotto de Wakaru!! Girls und Panzer",ガールズ&パンツァー 劇場版 3分ちょっとでわかる!! ガールズ&パンツァー,,['Movie'],1,Finished Airing,"Nov 21, 2015",,,"None found,",['Sentai Filmworks'],['Actas'],Original,,"['CGDCT', 'Military', 'School']",,3 min.,PG-13 - Teens 13 or older,6.60,#6484,#7696,"7,232",11,2330,A 3-minute intro screened in theaters at the start of the movie. It recaps the TV series to give viewers some context before watching the film. (Source: AniDB),[],Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer,,,,,,
230,,みつあみの神様,Pigtails,['Movie'],1,Finished Airing,"Oct 24, 2015",,,"None found,","None found,",['Production I.G'],['Manga'],"['Avant Garde', 'Drama']",,['Seinen'],28 min.,G - All Ages,6.72,#5781,#8557,"5,632",6,2147,"A lone house stands amidst a barren landscape. Here lives a petite pigtailed girl, unfettered by her loneliness. There is rarely anyone for her to meet and interact with, save for the occasional masked visitors from a place unknown. Her only company is the inanimate objects present around her. They tell tales about themselves, the girl, and the unchanging surroundings they view day in and day out—all the while, she remains oblivious to their sentience. One day, the monotony is broken when the girl meets someone who offers her a choice capable of altering many fates, including her own. [Written by MAL Rewrite]","['Adaptation (Manga) Mitsuami no Kamisama', '']",Mitsuami no Kamisama,,,,,,
231,"Go! Princess Precure: Go! Go!! Grand 3-Part Movie!!!, Pumpkin Oukoku no Takaramono, The Pumpkin Kingdom's Treasure, Precure to Refi no Wonder Night!, Precure and Refi's Wonder Night!, Cure Flora to Itazura Kagami, Cure Flora and the Vain Mirror",映画Go! プリンセスプリキュア Go! Go!! 豪華3本立て!!!,,['Movie'],1,Finished Airing,"Oct 31, 2015",,,['Kinoshita Group Holdings'],"None found,",['Toei Animation'],Original,,,,1 hr. 15 min.,G - All Ages,6.73,#5744,#9153,"4,650",5,1998,"Part 1, Cure Flora to Itazura Kagami, is a dialogue-less story featuring Cure Flora and a mischievous ghost in a mirror. Part 2, Pumpkin Oukoku no Takaramono, features the four Precure girls from Go! Princess Precure trying to rescue a princess who is held captive. Part 3, Precure to Refi no Wonder Night!, is set when the Night Kingdom lost its daytime. The Precure team fight to take the daytime back alongside the princess Refi. (Source: Crunchyroll, Edited)",[],Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,['Mahou Shoujo'],,,,,
232,Happy Science Movie 7,UFO学園の秘密,The Laws of the Universe: Part 0,['Movie'],1,Finished Airing,"Oct 10, 2015",,,"None found,","None found,",['HS Pictures Studio'],Original,,,,2 hr. 5 min.,G - All Ages,5.12,#13053,#10221,"3,300",4,902,"Ray, Anna, Tyler, Halle, and Eisuke are five high school students who are suddenly wrapped up in a mysterious incident. An alien species called Grey abducts Halle's sister and embeds her with a special chip inside her brain. The five stand up to save Halle's sister and try to reveal the existence of aliens, but continue to be met with mysterious events. The high school students' story progresses into a shocking development! What truths hide on the dark side of the moon? What are the true intentions of the aliens that are infiltrating America, Russia, and China? What is the true crisis that is closing in on Earth and what hope can we have towards the future!? (Source: HS Pictures Studio)","['Sequel (Movie) Uchuu no Hou: Reimei-hen', '']",UFO Gakuen no Himitsu,['Space'],,,,['Sci-Fi'],
233,"Minimum-Hamatora, Mini Hama Gekijouban Specials, Mini Hama Episodes 9 and 10",劇場版 ミニはま -MINIMUM HAMATORA-,,['Movie'],2,Finished Airing,"Nov 14, 2015",,,"None found,","None found,",['Lerche'],Mixed media,"['Comedy', 'Mystery']","['School', 'Super Power']",,5 min. per ep.,PG-13 - Teens 13 or older,6.00,#9933,#10384,"3,137",2,753,Two special episodes of Mini Hama promoting the Fw:Hamatora movie.,[],Mini Hama: Minimum Hamatora Movies,,,,,,
234,Eiga Youkai Watch 2,映画 妖怪ウォッチ エンマ大王と5つの物語だニャン!,,['Movie'],1,Finished Airing,"Dec 19, 2015",,,['BIGFACE'],"None found,",['OLM'],Game,"['Comedy', 'Supernatural']",,['Kids'],1 hr. 34 min.,G - All Ages,6.82,#5239,#10778,"2,804",8,1136,Second Youkai Watch movie.,"['Prequel (Movie) Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!', 'Sequel (Movie) Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!']",Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,,,,,,
235,Alice in Dream Land,アリス・イン・ドリームランド,,['Movie'],1,Finished Airing,"Dec 19, 2015",,,['Bitgang'],"None found,","None found,",Other,"['Adventure', 'Avant Garde', 'Fantasy']",,,44 min.,G - All Ages,4.90,#13325,#10988,"2,624",1,535,"Alice is summoned by the White Rabbit to save Wonderland from spreading Darkness. However, she knows Alice in Wonderland is a story and that this must be a dream. And so it proves, but at the end, the now grown-up Alice sees the events of her dream begin to unfold for real. (Source: thestreamable)",[],Alice in Dreamland,,,,,,
236,"Tobidasu PriPara: Minna de Mezase! Idol☆Grand Prix, Puri Para, Pri Para, PuriPara, Prism Paradise",とびだすプリパラ　み～んなでめざせ！アイドル☆グランプリ,,['Movie'],1,Finished Airing,"Oct 24, 2015",,,"['Avex Pictures', 'Q-Tec']","None found,",['10Gauge'],Game,,"['Idols (Female)', 'Music', 'School']",,59 min.,PG - Children,6.75,#5631,#11812,"2,054",1,525,"The 2nd PriPara film, unlike the first this shown in stereoscopic 3D.",[],Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix,,,,,['Slice of Life'],
237,"Kidou Senshi Gundam-san: Because I'm a Boy, Mobile Suit Gundam-san: Bouya Dakara sa",機動戦士ガンダムさん 坊やだからさ,Mobile Suit Gundam-san,['Movie'],10,Finished Airing,"Dec 5, 2015 to Nov 3, 2016",,,"None found,","None found,",['Sunrise'],['4-koma manga'],,"['Mecha', 'Parody']",,3 min. per ep.,PG-13 - Teens 13 or older,5.68,#11461,#12767,"1,512",0,308,A new short episode of the Mobile Suit Gundam-san parody series. (Source: ANN),"['Adaptation (Manga) Kidou Senshi Gundam-san', '']",Kidou Senshi Gundam-san (Movie),,,,,['Comedy'],
238,,戦争のつくりかた,What Happens Before War?,['Movie'],1,Finished Airing,"Oct 2, 2015",,,"None found,","None found,",['Saigo no Shudan'],Picture book,,,,7 min.,PG - Children,6.35,#7959,#13298,"1,297",0,654,Short anti-war animation adapting the picture book Sensou no Tsukurikata. It was created by the group NOddIN.,[],Sensou no Tsukurikata,,,,,['Drama'],
239,,映画ちびまる子ちゃん イタリアから来た少年,,['Movie'],1,Finished Airing,"Dec 23, 2015",,,"None found,","None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Slice of Life']",,['Kids'],1 hr. 34 min.,G - All Ages,6.72,#5758,#13950,"1,085",5,391,"When six international students descend on Shimizu for a homestay, an Italian boy takes an unusual liking to Maruko, who isn't too impressed by the situation. Can she put aside her annoyance in order to help him connect to the memory of one of his closest family members? Join the expansive cast of Chibi Maruko-chan as they embark on their first cinematic adventure in 23 years! (Source: MaruChanSubs)",[],Chibi Maruko-chan Movie: Italia kara Kita Shounen,['School'],,,,,
240,Gamba: Gamba and Companions,GAMBA ガンバと仲間たち,Air Bound,['Movie'],1,Finished Airing,"Oct 10, 2015",,,"None found,","None found,",['Shirogumi'],Novel,,,['Kids'],1 hr. 34 min.,PG - Children,5.58,#11872,#14755,875,2,256,"Gamba, a town mouse with a brave, adventurous spirit decides to go on an adventure to discover the ocean. On his way, he meets a troubled child mouse, Chuta. He says his family and other mice have been killed by a clan of weasels living on a nearby island. Chuta asks a group of ship mice, the bravest of their kind, for help, but when they find out that the villain behind this event is the terrifying weasel-leader Noroi, they give up on helping Chuta. However seeing the hopeless Chuta, Gamba promises him to save the island, his family and the other mice. Gamba and his friends team up to go on their adventure to defeat the evil Noroi and his clan. (Source: Varèse Sarabande)",[],Gamba: Gamba to Nakama-tachi,['Anthropomorphic'],,,,['Adventure'],
241,"The Snack World Eiga, The Snack World Movie",スナックワールド,,['Movie'],1,Finished Airing,"Dec 19, 2015",,,['Level-5'],"None found,","['OLM', 'OLM Digital']",Mixed media,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min.,G - All Ages,5.99,#9965,#17699,442,0,114,The Snack World follows a ragtag group of friends who embark on an adventure together. They live in a land similar to traditional fantasy settings but with certain modern twists like cell phones and convenience stores.,[],The Snack World,,,,,,
242,"Sol-lo-tal-chul-gwi, Sollotalchulgwi",솔로탈출귀,My Ghost Girlfriend,['Movie'],1,Finished Airing,"Oct 24, 2015",,,['Korean Academy of Film Arts'],"None found,","None found,",Original,"['Romance', 'Supernatural']",,,1 hr. 24 min.,PG-13 - Teens 13 or older,[],#14454,#17868,429,2,,"After serving his military duty, Jung-hoon, who has never had a girlfriend, returns to college. He has a secret crush on Eun-ji, a member of the school’s paranormal activity research club called Mysteria, in which he also belongs. One day, Jung-hoon meets Ji-sun, a virgin ghost, by chance, and Ji-sun asks him for help with her Scare tests, the exams that she needs to pass in order to be reborn. In return, Jung-hoon makes an arrangement with Ji-sun to help him score points with Eun-ji. While trying to help each other’s problems, the two run into disagreements, but their feelings for each other grow deeper as time passes. (Source: KMDb)",[],Sollo Talchul Gwi,,,,,,
243,,애프터눈 클래스,Afternoon Class,['Movie'],1,Finished Airing,"Oct 31, 2015",,,"None found,","None found,","None found,",Original,,,,3 min.,PG-13 - Teens 13 or older,6.68,#6018,#18476,383,0,191,A student is trying to stay awake in an afternoon class. (Source: IMDB),[],Afternoon Class,['School'],,,,['Comedy'],
244,Narudoma Manner Movie,ナルどマ マナームービー,,['Movie'],1,Finished Airing,"Nov 1, 2015",,,['comico'],"None found,",['Kachidoki Studio'],['Web manga'],,,,Unknown,G - All Ages,[],#20585,#19528,312,0,,"A short manner movie that aired at 109 Cinemas from November 1 to November 30, 2015 before films.","['Adaptation (Manga) Nar Doma', '']",Nar Doma Manner Movie,,,,,['Comedy'],
245,,ディス イズ マイ ハウス,Sugar Lump,['Movie'],1,Finished Airing,"Nov 1, 2015",,,"None found,","None found,","None found,",Original,"['Avant Garde', 'Comedy']",,,13 min.,None,[],#14835,#19774,297,0,,"This is a story of an adolescent boy living in a burning house with his parents. He can't drink black coffee yet he refuses his mother's offer of sugar lump. Rejecting his mother's kindness and ignoring his father's concern, he struggles with his own internal conflicts and continues to perform the minor rebellions of youth. Trying to attract the attention of a girl, the boy crashes a stolen motorcycle. In the aftermath of the accident he finds in his pocket a bill stolen from his mother's purse, now changed into a sugar lump. Rather than mend the relationship with his family, he takes the sugar lump to his friends, but they reject him, throwing the sugar lump away. (Source: airport-anifes.jp)",[],This Is My House,,,,,,
