,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographic,Demographics
37,,マジでオタクなイングリッシュ! りぼんちゃん ~英語で戦う魔法少女~ the TV,,,,,['TV'],10,Finished Airing,"Jul 6, 2013 to Sep 7, 2013",['Summer 2013'],Unknown,"['AIC', 'AIR AGENCY']","None found,",['AIC Frontier'],Original,,,4 min. per ep.,PG-13 - Teens 13 or older,5.31,#12661,#9854,"3,723",2,1213,"The story centers around Ribbon-chan, a girl struggling with English who becomes a magical girl when she makes a contract with a self-described familiar named Toner. She aims to become a super heroine who can fill the Tokyo Dome arena with her singing and dancing. (Source: ANN)","['Prequel (TV) Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo', '']",Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,['Comedy'],['Mahou Shoujo'],,
38,Zinba Monsters,神魄,Zinba,,,,['TV'],52,Finished Airing,"Aug 24, 2013 to Oct 13, 2013",['Summer 2013'],Unknown,['B.CMAY PICTURES'],"None found,",['Alpha Animation'],Unknown,"['Action', 'Adventure', 'Comedy']","['Mythology', 'Super Power']",23 min. per ep.,PG - Children,6.71,#5821,#11973,"1,959",35,746,"The juvenile Kan from the earth is summoned to the Kingdom of Toria , where he encounters attack from the giant creature Zinba, and he's rescued by the linker Shibuki and Uranus. Later, he accidentally gets on the linker squad DUX truck to the maze valley, finding in a cave a golden Zinba. (Source: Lookus English YT Channel, edited)",[],Zinba,,,,
39,Lovely Muco!,ラブリームービー いとしのムーコ,Lovely Movie: Lovely Muuuuuuuco!,Lovely Muuuuuuuco!,Lovely Muuuuuuuco!,Lovely Muuuuuuuco!,['TV'],20,Finished Airing,"Jul 29, 2013 to Dec 23, 2013",['Summer 2013'],Unknown,"None found,","None found,",['Doga Kobo'],['Manga'],,,2 min. per ep.,PG - Children,6.42,#7588,#12611,"1,589",0,361,"The happy daily life of Muco, a not-too-bright Akita dog, and its owner Komatsu-san the glass-blower. (Source: MU)","['Sequel (TV) Lovely Movie: Itoshi no Muco Season 2', 'Adaptation (Manga) Itoshi no Muco']",Lovely Movie: Itoshi no Muco,['Slice of Life'],['Pets'],,
40,,フルーティー侍,,,,,['TV'],13,Finished Airing,"Aug 13, 2013 to Dec 14, 2013",['Summer 2013'],Unknown,['Kids Station'],"None found,",['happyproject'],Original,"['Action', 'Comedy']","['Historical', 'Samurai']",3 min. per ep.,PG - Children,5.49,#12137,#14298,992,2,273,Classic samurai movies and absurd humor collide when fruit-headed warriors cross blades and tempers! (Source: HDIVE),[],Fruity Samurai,,,,
41,,ANISAVA,,,,,['TV'],13,Finished Airing,"Aug 26, 2013 to Jan 13, 2014",['Summer 2013'],Unknown,"None found,","None found,","['TMS Entertainment', 'DLE']",Unknown,"['Comedy', 'Romance']",,5 min. per ep.,PG-13 - Teens 13 or older,5.57,#11896,#14582,918,0,342,"Welcome to the concrete jungle, where it’s a struggle to survive among the animals of the city. Watch Jake the bear, Jenny the cat and their cast of slightly crazy friends as they live, love and try to stay sane in a wild world. (Source: Official website)",[],Anisava,,['Anthropomorphic'],,
42,,にゅるにゅる!!KAKUSENくん,,,,,['TV'],25,Finished Airing,"Jul 9, 2013 to Dec 24, 2013",['Summer 2013'],Unknown,['Yomiuri Telecasting'],"None found,",['DLE'],Unknown,,,2 min. per ep.,G - All Ages,5.63,#11690,#14833,855,1,171,"The anime revolves around little creatures called ""Kakusen"" who live in the skin pores of humans. (Source: ANN)","['Sequel (TV) Nyuru Nyuru!! Kakusen-kun 2nd Season', '']",Nyuru Nyuru!! Kakusen-kun,['Comedy'],,,
43,Forest Frenzy of Boonie Bears,熊出没之丛林总动员,Boonie Bears: Forest Frenzy,,,,['TV'],104,Finished Airing,"Jul 13, 2013 to Sep 25, 2014",['Summer 2013'],Unknown,['Fantawild Animation'],"None found,","None found,",Original,,,13 min. per ep.,PG - Children,5.63,#11665,#17335,471,0,161,"Third season of Boonie Bears. Having had a taste of carnival life in town, the Bear Brothers return to the forest to start anew. But aside from the joy of meeting old friends, the bears must again cope with the dull-but-driven Logger Vick! That shiny-pated villain is determined to crush their renewed efforts to protect the forest they love. If he can dispatch the Bear Brothers, Vick will realize his evil dream of riches through total destruction of the forest. Fortunately the Brothers and their friends have a forest full of surprises in store for him! Boonie Bears: Forest Frenzy features Briar and Bramble Bear doing what they do best: creating non-stop laughs for kids around the world! (Source: Official website)","['Prequel (TV) Xiong Chumo: Huanqiu Da Maoxian', 'Sequel (TV) Xiong Chumo: Chunri Dui Dui Peng']",Xiong Chumo: Conglin Zong Dong Yuan,['Comedy'],,['Kids'],
44,,ゆうとくんがいく,,,,,['TV'],26,Finished Airing,"Jun 14, 2013 to Dec 6, 2013",['Summer 2013'],Unknown,"None found,","None found,",['Shirogumi'],Unknown,,,1 min. per ep.,PG - Children,[],#16208,#18349,395,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yuuto-kun ga Iku,['Sports'],['Team Sports'],['Kids'],
45,,星仔小厨神,,,,,['TV'],40,Finished Airing,Jun 2013 to Dec 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,"['Fantasy', 'Gourmet']",,13 min. per ep.,PG - Children,[],#15820,#23501,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xing Zi Xiao Chu Shen,,,['Kids'],
46,,少年师爷之勇者闯江南,,,,,['TV'],26,Finished Airing,Jul 2013 to Dec 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#14071,#23945,113,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Zhili Wanshitong', 'Sequel (TV) Shaonian Shiye: Zhongyi Man Qiankun']",Shaonian Shiye: Yongzhe Chuang Jiangnan,,['Historical'],['Kids'],
47,Dinosaurs Are Coming,恐龙来了,,,,,['TV'],26,Finished Airing,Jul 2013 to Oct 2014,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#19530,#24063,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Konglong Laile,['Fantasy'],['Anthropomorphic'],['Kids'],
48,,如意酷宝之笨笨猪,,,,,['TV'],52,Finished Airing,Jun 2013 to Sep 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#21452,#25065,94,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ruyi Ku Bao: Ben Ben Zhu,['Fantasy'],,['Kids'],
49,,如意酷宝之怪粒鼠,,,,,['TV'],52,Finished Airing,Jun 2013 to Sep 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#21455,#25192,92,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ruyi Ku Bao: Guai Li Shu,['Fantasy'],,['Kids'],
50,"AoT, SnK",進撃の巨人,Attack on Titan,Attack on Titan,Ataque a los Titanes,L'Attaque des Titans,['TV'],25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",['Spring 2013'],Sundays at 01:58 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],['Manga'],"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",24 min. per ep.,R - 17+ (violence & profanity),8.56,#109,#1,"4,119,103","178,298",2906884,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached. [Written by MAL Rewrite]","['Sequel (TV) Shingeki no Kyojin Season 2', 'Adaptation (Manga) Shingeki no Kyojin']",Shingeki no Kyojin,,,['Shounen'],
51,HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,Hunter x Hunter,Hunter x Hunter,Hunter X Hunter,['TV'],148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",['Fall 2011'],Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#8,"2,983,947","218,611",1853746,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world. [Written by MAL Rewrite]","['Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter (2011),,,['Shounen'],
52,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,596,938","115,598",1727961,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,,['Martial Arts'],['Shounen'],
53,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,495,200","234,607",1418804,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,['Shounen'],
54,"Toaru Kagaku no Railgun 2, Toaru Kagaku no Choudenjihou 2, A Certain Scientific Railgun 2",とある科学の超電磁砲S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,['TV'],24,Finished Airing,"Apr 12, 2013 to Sep 27, 2013",['Spring 2013'],Fridays at 23:30 (JST),"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'Warner Bros. Japan', 'ASCII Media Works']",['Funimation'],['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),8.00,#660,#618,"400,579","3,774",211100,"Mikoto Misaka and her friends are back, investigating rumors across Academy City. Soon, Mikoto discovers something terrifying: horrific experiments are taking place throughout the city, involving the murder of thousands of espers. Moreover, these espers are far from just ordinary people: they are clones of Mikoto herself. Feeling responsible for their treatment, she sets off to put an end to the experiments; however, the forces opposing her are much more dangerous than she anticipated, and Mikoto finds herself up against some of the most powerful espers imaginable. Toaru Kagaku no Railgun S continues the story of the Railgun as she desperately fights to put an end to the inhuman experiments that she believes she helped cause, her life dragged deep into despair in the process. There's never a dull moment in Academy City, but no one ever said all of them would be pleasant. [Written by MAL Rewrite]","['Prequel (TV) Toaru Kagaku no Railgun', 'Sequel (TV) Toaru Kagaku no Railgun T', 'Adaptation (Manga) Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', '']",Toaru Kagaku no Railgun S,,,,
55,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#433,#705,"360,699","15,330",164277,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,['Detective'],['Shounen'],
56,Uchuu Kyodai,宇宙兄弟,Space Brothers,Space Brothers,Uchuu Kyoudai: Space Brothers,Space Brothers,['TV'],99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",['Spring 2012'],Sundays at 07:00 (JST),"['Yomiuri Telecasting', 'Trinity Sound']",['Sentai Filmworks'],['A-1 Pictures'],['Manga'],,"['Adult Cast', 'Space', 'Workplace']",24 min. per ep.,PG-13 - Teens 13 or older,8.48,#150,#1271,"201,169","3,888",54185,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars. Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago. [Written by MAL Rewrite]","['Prequel (Movie) Uchuu Kyoudai: Number Zero', 'Adaptation (Manga) Uchuu Kyoudai']",Uchuu Kyoudai,['Comedy'],,['Seinen'],
57,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",トリコ,Toriko,,,,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,186",877,52976,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,,,['Shounen'],
58,,ムシブギョー 蟲奉行,Mushibugyo,,Mushibugyo,Mushibugyo,['TV'],26,Finished Airing,"Apr 8, 2013 to Sep 30, 2013",['Spring 2013'],Mondays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'Avex Pictures']",['Sentai Filmworks'],['Seven Arcs Pictures'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts', 'Samurai', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,7.29,#2873,#2309,"93,815",188,35738,"A menace of huge monster-like insects is plaguing the land of Edo. Too powerful to be subdued by ordinary folks, the creatures are hunted by the Insect Magistrates—a group of warriors who specialize in various secret arts and combat styles. To bolster their strength, they summon Genjuurou Tsukishima, the master swordsman from the Tsugaru Province. Due to an unfortunate incident, however, Genjuurou is incapable of answering the call and sends his son, Jinbee, to serve in his stead. Determined to atone for the incident caused by his own cowardice, Jinbee agrees to travel to Edo and join the Insect Magistrates. Armed with his fiery spirit and unwavering resolve, Jinbee vows to become a stronger samurai and rid Edo of the insect threat once and for all. [Written by MAL Rewrite]","['Adaptation (Manga) Joujuu Senjin!! Mushibugyou', '']",Mushibugyou,,,['Shounen'],
59,,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1028,#2401,"88,030","1,330",42177,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],['Seinen'],
60,,銀河機攻隊 マジェスティックプリンス,Majestic Prince,Majestic Prince,Majestic Prince,Majestic Prince,['TV'],24,Finished Airing,"Apr 4, 2013 to Sep 19, 2013",['Spring 2013'],Thursdays at 22:30 (JST),"['TV Tokyo', 'Sotsu', 'Kadokawa Shoten', 'KlockWorx', 'Bandai Namco Games', 'TOHO animation']",['Sentai Filmworks'],"['Doga Kobo', 'Orange']",['Manga'],"['Action', 'Sci-Fi']","['Mecha', 'School', 'Space']",23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2722,#3092,"57,046",174,24408,"In the latter half of 21st century, humans leave the Earth and begin to live in space. In order to adapt to the environment in space and deal with the hostile aliens in Jupiter, genetically engineered children called ""Princes"" are artificially raised and trained to be pilots of armed robots ""AHSMB (Advanced High Standard Multipurpose Battle Device). This is a story about one of the teenage ""Princes,"" Hitachi O Izuru, who studies in an academic city Grandzehle. (Source: MAL News)","['Sequel (Special) Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa', 'Adaptation (Manga) Majestic Prince', 'Adaptation (Manga) Ginga Kikoutai Majestic Prince', '']",Ginga Kikoutai Majestic Prince,,,['Seinen'],
61,,イナズマイレブンＧＯ ギャラクシー,,,,,['TV'],43,Finished Airing,"May 8, 2013 to Mar 19, 2014",['Spring 2013'],Wednesdays at 19:00 (JST),"None found,","None found,",['OLM'],Game,,"['Space', 'Super Power', 'Team Sports']",23 min. per ep.,G - All Ages,6.65,#6195,#3218,"52,633",106,30599,"After fighting to free the game of soccer in Japan from the Fifth Sector, the country's soccer squads can once again look forward to stepping onto the field. However, a new challenge will emerge for Japanese players in the form of the Football Frontier International Vision 2, a new tournament that will bring together the best teams each country can assemble. Tenma Matsukaze and his Raimon teammates, Takuto Shindou and Kyousuke Tsurugi, are once again part of the action as they have been selected to play for the Japanese representative, Inazuma Japan. Much to their surprise, the coach selects eight other players that have no previous experience playing soccer! Team Inazuma Japan will have a huge mountain to climb, building chemistry and skills as they go along. What they don’t know is that the tournament will set the stage for something much bigger, something out of this world in Inazuma Eleven Go: Galaxy!","['Prequel (TV) Inazuma Eleven Go: Chrono Stone', '']",Inazuma Eleven Go: Galaxy,['Sports'],,,
62,Saint Seiya Ω,聖闘士星矢Ω,,,,,['TV'],97,Finished Airing,"Apr 1, 2012 to Mar 30, 2014",['Spring 2012'],Sundays at 06:30 (JST),"['Dentsu', 'TV Asahi']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8367,#3272,"51,171",138,25563,"The god of war and guardian of his namesake planet, Mars, was once sealed away by Seiya, but time has passed and his revival is at hand. Meanwhile, Saori Kido (Athena) is raising the boy Kouga, whose life Seiya saved, and he's been training every day to become a Saint in order to prepare for the coming crisis... Unaware of his destiny, when Kouga awakens to the power of his Cosmo hidden inside him, the curtain will rise upon the legend of a new Saint. (Source: ANN)","['Prequel (Movie) Saint Seiya: Tenkai-hen Josou - Overture', 'Adaptation (Manga) Saint Seiya Omega: New Cross Tanjou-hen']",Saint Seiya Omega,,['Mythology'],['Shounen'],
63,Pocket Monsters: Best Wishes Season 2 - Decolora Adventure Da!,ポケットモンスター ベストウイッシュ シーズン２ デコロラアドベンチャー,Pokémon: Black & White: Adventures in Unova and Beyond,Pokémon la Série Staffel 16: Noir et Blanc,Pokémon Negro Y Blanco Aventuras En Unova Y Más Allá,Pokémon la Série Saison 16: Noir et Blanc,['TV'],20,Finished Airing,"Apr 25, 2013 to Sep 26, 2013",['Spring 2013'],Thursdays at 19:00 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG - Children,6.32,#8179,#3358,"48,935",24,26677,"After their encounter with Team Plasma, Satoshi, Iris and Dent start a new journey in the Decolora Islands.","['Prequel (TV) Pokemon Best Wishes! Season 2: Episode N', 'Sequel (TV Special) Pokemon XY SP: Road to Kalos', 'Sequel (TV) Pokemon XY', '']",Pokemon Best Wishes! Season 2: Decolora Adventure,,,['Kids'],
64,"Aikatsu! Idol Katsudou! Idol ga Tsudou!, Aidoru ga Tsudou!, Aikatsu! 2, Idol ga Tsudou! 2",アイカツ！アイドルカツドウ！,,,,,['TV'],178,Finished Airing,"Oct 8, 2012 to Mar 31, 2016",['Fall 2012'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Dentsu']","None found,","['Sunrise', 'Bandai Namco Pictures']",Original,,"['Idols (Female)', 'Music', 'School']",24 min. per ep.,PG - Children,7.47,#2053,#3497,"45,719",918,15215,"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have. Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them? Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!. [Written by MAL Rewrite]","['Sequel (Movie) Aikatsu!: Nerawareta Mahou no Aikatsu! Card', '']",Aikatsu!,['Slice of Life'],,,
65,"Yugioh, Yu-Gi-Oh! Zexal 2nd, Yuu Gi Ou! Zexal Second, Yuu Gi Ou! Zexal II, Yu-Gi-Oh! Zexal Second",遊☆戯☆王ZEXALⅡ（セカンド）,Yu-Gi-Oh! Zexal II,Yu☆Gi☆Oh! Zexal Staffel 2,Yu☆Gi☆Oh! Zexal Temporada 2,Yu☆Gi☆Oh! Zexal Saison 2,['TV'],73,Finished Airing,"Oct 7, 2012 to Mar 23, 2014",['Fall 2012'],Sundays at 17:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Konami Cross Media NY']","None found,",['Gallop'],['Manga'],"['Action', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4787,#3607,"43,113",255,22931,"After defeating a mysterious enemy, Yuuma Tsukumo, along with the help of Kaito Tenjou and Ryouga ""Shark"" Kamishiro, has thwarted the Barians' plans. However, Yuuma is still on a quest to retrieve the Number Cards to restore Astral's memories. The Seven Barian Emperors catch wind of Yuuma and Astral's endeavors and begin to collect the cards themselves to achieve their ultimate goal: destroying Astral's world in exchange for saving their own. Though only five of the emperors are present, they unanimously decide on annihilating Astral and Yuuma once and for all. Elsewhere, with their newfound powers of ZEXAL, Astral and Yuuma work to eliminate the enemy force that threatens Earth and the rest of the universe. Yu☆Gi☆Oh! Zexal Second unveils the mysteries and unpleasant surprises that lie in the wake of Yuuma's adversities. As Astral struggles to accept his past and the consequences it may have brought, will the gods continue to shower their fortune upon Yuuma on yet another perilous adventure? [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Zexal', '']",Yu☆Gi☆Oh! Zexal Second,,['Strategy Game'],['Shounen'],
