,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Themes,Demographic,German,Genre,Demographics
85,,メゾフォルテ,,,['OVA'],2,Finished Airing,"May 25, 2000 to Jun 25, 2001",,,['Green Bunny'],"['Media Blasters', 'SoftCel Pictures']",['Arms'],Original,"['Action', 'Comedy', 'Sci-Fi', 'Hentai']",,30 min. per ep.,Rx - Hentai,6.62,N/A,#3950,"35,958",110,16711,"For some individuals, baseball is more than just a game. Momokitchi Momoi, an underworld boss and the owner of a professional team known as the ""Peach Twisters,"" seems to be the perfect example. There is only one punishment for players who have let him down: death. Terrible as he may sound, there is someone even more wicked than him—his daughter, Momomi. The three members of the Danger Service Agency—Mikura Suzuki, Tomohisa Harada, and Kenichi Kurokawa—are tasked with kidnapping Momokitchi and taking down his criminal empire. Surrounded by armed bodyguards, he is bound to be a risky target. However, born with a gun in hand, Mikura is used to dancing with danger. The only unknown quantity is Momomi, reputed to be a cold-blooded killer with a twisted mind. Should she stand in the DSA's way, Suzuki might finally find herself a worthy opponent. [Written by MAL Rewrite]","['Sequel (TV) Mezzo DSA', '']",Mezzo Forte,,,,,,
86,,エクスドライバー,,,['OVA'],6,Finished Airing,"Jul 25, 2000 to Sep 25, 2001",,,"['Bandai Visual', 'Xebec', 'Dentsu', 'Genco', 'Triangle Staff', 'Ashi Productions']",['Media Blasters'],['Actas'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Racing'],25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6095,#6135,"12,628",36,5225,"eX-Driver is set in the future, where all transportation is easily controlled by AI. Though, like all machines, they tend to break down, lose control, or get re-programmed. This is where three high schoolers with non-AI cars—a Subaru WRX, a Caterham Super 7, and a Lotus Europa—come in to save the day and make sure the public is safe at all times. (Source: ANN, edited)","['Prequel (Movie) eX-Driver: Nina & Rei Danger Zone', 'Sequel (Movie) eX-Driver the Movie']",eX-Driver,,,,,,
87,Mobile Suit Gundam Evolve,ガンダムEVOLVE,Gundam Evolve,,['OVA'],15,Finished Airing,"May 17, 2001 to Jan 26, 2007",,,['Sotsu'],['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']",,7 min. per ep.,PG-13 - Teens 13 or older,6.47,#7264,#6239,"12,093",11,4644,"A series of short films packaged with certain model kits and aired at conventions, the Gundam Evolve series chronicles a number of side-stories, alternative scenes, and even bonus omake from all around the Gundam canon. Featuring a mix of animation media—from traditional cels to 3-D CG rendering to even cel-shaded 2-D animation—these often 3-5 minute shorts cover such events as Domon Kasshu's training (and a bit of a romantic tift with Rain Mikamura) from G Gundam, Amuro Ray battling Quess Paraya from Char's Counterattack, Kamille Bidan training in the Gundam Mk.II from Zeta Gundam, and Canard Pars dueling Prayer Reverie from the Gundam SEED X Astray manga. (Source: ANN)",[],Gundam Evolve,,"['Mecha', 'Military', 'Space']",,,,
88,,愛姉妹～二人の果実～,Immoral Sisters,,['OVA'],3,Finished Airing,"Apr 27, 2001 to Sep 21, 2001",,,"['Pink Pineapple', 'Silky’s']","['NuTech Digital', 'Kitty Media']",['Office Take Off'],Visual novel,,,31 min. per ep.,Rx - Hentai,6.47,N/A,#6442,"11,183",36,4965,"Takedo Nogawa is the spoiled son of a wealthy industrialist. When he was younger, he was infatuated with Yumi Okamoto, his father's personal secretary. But as she was also his father's personal sex toy, Yumi was off limits for Takedo. After he gets into a traffic accident with Yukie Kitazawa, an average housewife, Takedo sees an opportunity to one-up his old man. Per a contract drawn up by Yumi, Takedo allows Yukie to waive her legal fees if she becomes his sex slave. Not to be outdone, the elder Nogawa sicks his secretary on Yukie's teenage daughters, using the contract to exploit them for his own twisted desires. A sick game ensues as father and son compete to strip the Kitazawa women of their dignity. Ai Shimai: Futari no Kajitsu is a story of power and those who abuse it.","['Sequel (OVA) Ai Shimai 2: Futari no Kajitsu', '']",Ai Shimai: Futari no Kajitsu,,,,,['Hentai'],
89,Malice Doll,Malice@doll マリスドール,,,['OVA'],3,Finished Airing,"Apr 27, 2001 to Jun 22, 2001",,,"['GAGA', 'Soeishinsha']",['Arts Magic'],"None found,",Original,"['Horror', 'Sci-Fi']",['Psychological'],26 min. per ep.,R - 17+ (violence & profanity),6.21,#8776,#7074,"8,983",124,2819,"Malice, a sex robot living in an abandoned human city, is assaulted and violated by a mysterious creature. Upon awakening, Malice finds out that she has become human and can pass on her humanity to her fellow machines. However, her gift soon becomes a curse when her fellow robots rage out of control after being exposed to the pleasures of life. (Source: ANN)",[],Malice@Doll,,,,,,
90,,鋼鉄天使くるみ零,,,['OVA'],3,Finished Airing,"Apr 18, 2001 to Jun 20, 2001",,,"['m.o.e.', 'Pony Canyon']","None found,",['OLM'],Original,"['Drama', 'Romance', 'Sci-Fi']",,15 min. per ep.,R+ - Mild Nudity,6.05,#9677,#8454,"5,790",3,2334,"Sometime in the distant future, Kurumi, Saki and Karinka share an apartment with another girl named Excelia. One day, after school, Kurumi tells everyone that she is in love with a man she met named Michihito Kagura, but she doesn't know when she will see him again. (Source: ANN)","['Prequel (TV) Koutetsu Tenshi Kurumi', '']",Koutetsu Tenshi Kurumi Zero,,,,,,
91,,淫獣学園 La☆Blue Girl 復活篇,La Blue Girl Returns,,['OVA'],4,Finished Airing,"May 25, 2001 to May 25, 2002",,,['Green Bunny'],"['Critical Mass Video', 'Kitty Media']",['Arms'],['Manga'],,['Mythology'],29 min. per ep.,Rx - Hentai,6.13,N/A,#8782,"5,251",11,1992,"A race of butterfly-demons named the Mahoroba want to enslave Miko Mido and her sister to steal them the seal case that control the Shikima. Their ultimate goal is to conquer the Shikima Brain, a legendary place of the Shikima realm which is said to confer the power to rule the universe. (Source: ANN)","['Prequel (OVA) Injuu Gakuen EX', 'Adaptation (Manga) La☆Blue Girl']",Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,Le Retour de la Blue Girl,,,,['Hentai'],
92,"Shoya -Virgin Night-, First Night",初夜 -ヴァージン・ナイト-,,,['OVA'],1,Finished Airing,"Jun 25, 2001",,,['Green Bunny'],"None found,",['Shinkuukan'],['Manga'],,,27 min.,Rx - Hentai,6.38,N/A,#9046,"4,815",16,1943,"Tonight, Yuzuru and Azumi are having a critically important date—if they don't become more intimate by the end of it, their relationship may be in trouble. Both of them are conscious about this pressing matter, but while overwhelmed with nervousness and insecurities, they question each other's intentions. [Written by MAL Rewrite]","['Adaptation (Manga) Virgin Night', '']",Virgin Night,,,,,['Hentai'],
93,"Nine O'clock Woman, 9 o'clock Woman",21時の女～ニュースキャスター桂木美紀～,,,['OVA'],3,Finished Airing,"Apr 21, 2001 to Nov 21, 2001",,,['Milky Animation Label'],['Media Blasters'],['Atti Production'],['Manga'],,,29 min. per ep.,Rx - Hentai,5.78,N/A,#9423,"4,259",13,1627,"Miki Katsuragi has finally landed her dream job, as an anchorwoman for the nine o'clock news. Unfortunately, this pretty reporter with a spotless reputation has a very dark secret. She's addicted to masturbation, and she can't stop for even a second! When she is caught using a vibrator on the air by the cue-card holder, she's in real trouble. He's not above a little blackmail, so she's completely under his power. Not only does he show her what the real thing is like, but he also installs a remote-control vibrator into her panties for fun on the air! (Source: AniDB)",[],21-ji no Onna: Newscaster Katsuragi Miki,,,,,['Hentai'],
94,"Dvine [Luv], Dvine Luv",D+VINE[LUV][ディヴァイン ラヴ],,,['OVA'],4,Finished Airing,"May 25, 2001 to Feb 22, 2002",,,['Pink Pineapple'],['NuTech Digital'],['Executive Decision'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.27,N/A,#9697,"3,909",8,1413,"Hyde is a traveling treasure hunter who arrived in Arville with his childhood friend Sakura. Near Arville is a cave, its the largest ruin of the world. Hyde came across a dying man, whom placed a mysterious amulet within Hyde's hands. A week later, the amulet started to glow. (Source: ANN)",[],D+vine Luv,,,,,['Hentai'],
95,,懲らしめ,Punishment,,['OVA'],2,Finished Airing,"Jun 15, 2001 to Sep 14, 2001",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,30 min. per ep.,Rx - Hentai,5.77,N/A,#9759,"3,851",7,1182,"Professor Kayama could have been happy with his job, except that all of the students on campus hate him…and he hates them. Miki Watase is a dark-haired vixen will do anything to raise her grades, but when Professor Kayama refuses play along, she’s determined to have revenge. She gathers her friends – the luscious Hinata, the slutty Arisa, and the beautiful but timid Sachie – and they mix drug- laced alcohol with a snap-shot camera to publicly humiliate Kayama. However, these vivacious little co-eds are about to discover that even a wimpy professor like Kayama has his limits. Now he’s going to teach them a real lesson in humility that will have them each begging for forgiveness. (Source: AniDB)","['Sequel (OVA) Korashime 2: Kyouikuteki Depaga Shidou', 'Adaptation (Light Novel) Korashime']",Korashime,,,,,['Hentai'],
96,,アフロ犬,,,['OVA'],1,Finished Airing,"Jun 25, 2001",,,"['Sunrise', 'San-X']","None found,","None found,",Other,,,28 min.,G - All Ages,5.23,#12865,#9898,"3,679",19,2052,"Afro Ken is a Japanese character created by the San-X company, which creates other anime-style characters such as Kogepan. He is a dog with a rainbow-coloured afro. He is innocent and blameless and always in a good mood. Afro Ken is always willing to try new things. Afro Ken is attracted to objects that look like he does. His hair changes to look like these things as he gets close to them. There is an Afro Ken Family Tree with other dog characters who have outrageous names, such as Techno Ken, Funky Ken, Lord Ken, Super Afro Ken, and Normal Ken. Unlike the others, Normal Ken does not have wild hair. (Source: Wikipedia)",[],Afro-Ken,,,['Kids'],,['Comedy'],
97,"Shame Shrine Andorora, Super Sexy Android",恥宮のアンドローラ,,,['OVA'],1,Finished Airing,"Jun 15, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Original,"['Sci-Fi', 'Hentai']",,24 min.,Rx - Hentai,6.13,N/A,#10018,"3,539",9,1238,"Kenichi, a down on his luck salaryman runs into a beautiful (and naked) woman on his walk home from work and invites her to his home. To Kenichi's great surprise, not only does the woman accept, but she just so happens to be an escaped espionage android named Pinky. With one fateful kiss Pinky's priorities change to pleasing Kenichi in any way possible. (Source: ANN)",[],Shameshrine Andorora,,,,,,
98,,特別授業,Private Sessions,,['OVA'],2,Finished Airing,"May 11, 2001 to Aug 10, 2001",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.37,N/A,#10076,"3,468",6,1036,"Professor Saki used to be a normal woman... until her heart and mind were twisted by her sadistic boyfriend Mikami. Fired from his last teaching job for assaulting one of his students, he forces Saki into getting him a teaching position at her all-girl college. With beautiful buxom ladies everywhere, Mikami's dark desires quickly target his new female students for some very special private sessions - and this time he plans on making Saki help him. Will Saki's misguided love for Mikami drive her to help him trap innocent women in his demented little world.","['Sequel (OVA) Tokubetsu Jugyou 2', 'Adaptation (Light Novel) Tokubetsu Jugyou']",Tokubetsu Jugyou,,,,,['Hentai'],
99,E'l,エル,Elle,,['OVA'],2,Finished Airing,"Apr 25, 2001 to Jul 25, 2001",,,['Green Bunny'],['NuTech Digital'],['Arms'],Visual novel,"['Action', 'Sci-Fi', 'Hentai']",,26 min. per ep.,Rx - Hentai,5.48,N/A,#11005,"2,621",2,899,"The survivors of a global atomic war live in a city dedicated to the survival of the human race. El Miles is part of a group in charge with enforcing the law. While the male members sexually torture suspected female members of the Black Widows, El is in charge with protecting a young and pretty pop singer who is openly trying to seduce her. But it could be that El's reality is simply one big illusion. (Source: ANN)",[],El,,,,,,
100,,名探偵コナン ピラミッドからの挑戦状!,Detective Conan: A Written Challenge from the Pyramids!,,['OVA'],1,Finished Airing,"Jun 22, 2001",,,"None found,","None found,","None found,",['Manga'],,,17 min.,PG-13 - Teens 13 or older,6.51,#7007,#11174,"2,496",1,574,"The Detective Boys receive a letter by airmail when they visit the Moore Detective Agency. The letter was posted in Egypt, and the sender calls themselves Cleopatra. According to the contents, a 4500-year-old pharaoh's curse is in danger of being reawakened. To prevent this, the seven riddles described in the letter must be solved within a short time, all of which relate to pyramids. While Moore is already drunk in the afternoon and of no great help, Ran agrees to assist the children. The Detective Boys then set out to answer the seven questions posed in the letter...",[],Meitantei Conan: Pyramid kara no Chousenjou!,,,,,['Mystery'],
101,,カスタム隷奴,Custom Slave,,['OVA'],1,Finished Airing,"May 25, 2001",,,"None found,",['NuTech Digital'],['G.P Entertainment'],Visual novel,,,28 min.,Rx - Hentai,5.11,N/A,#11562,"2,228",4,767,"Based on the game by Kiss. Arisugawa Academy. An all-girl school well known for its high standards with the upper class. However, there is a dark side to this educational facility. The Chairman of the academy, Takahashi Hiroaki, is actually a member of a secret organization whose prime objective is to cater to the sexual desires of government officials. Mutsuki Sayoko has fallen into the hands of this sinister being, who leads her to the path of libido. A high-class, well-behaved student or a horny, wicked sex slave... which is the true her? (Source: AniDB)",[],Custom Reido,,,,,['Hentai'],
102,,スタイアー ～放課後のアルバム～,,,['OVA'],1,Finished Airing,"May 21, 2001",,,['Milky Animation Label'],['Media Blasters'],['Studio Jam'],['Manga'],,,28 min.,Rx - Hentai,5.43,N/A,#11561,"2,227",1,762,"Makoto has been best friends with the beautiful Une since they were kids. Every school morning, he rides his bike over to her place, picks her up, and takes her to the train station where they catch the train to high school. He`s very much in love with her, but doesn`t do anything until he discovers another guy in his class is about to make a move on her. Is it to late to tell her how he feels? Will fellow female classmate Nonoka confess her love to Makoto?",[],Stairs: Houkago no Album,,,,,['Hentai'],
103,,猟奇の檻～第2章～,The Bizarre Cage,,['OVA'],3,Finished Airing,"Apr 27, 2001 to Nov 22, 2001",,,['Pink Pineapple'],['NuTech Digital'],['Studio Kyuuma'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.68,N/A,#11585,"2,213",1,724,"Masakazu Inouye enters a dark dungeon. The eyes of a girl fill with terror. Gogged and chained, she is unable to defend herself from the horrible assault that follows... It's another day on the job for Takeshi Saito. He recently started working as a security guard for a high-tech amisement park called Fantasien. However, a bad day at work quickly spirals into a nightmarish maze of murder and mystery. It starts when Saito accidentally breaks a guidance display at work. Saito and Tamami are called into the office of Ms. Amano, his sexy boss. Makoto Kashiwara is sent out to repair the display. However, Kashiwara stumbles across a dark secret... (Source: NuTech Digital)",[],Ryouki no Ori 2,,,,,['Hentai'],
104,,プリンセスメモリー,Princess Memory,,['OVA'],2,Finished Airing,"Jun 25, 2001 to Sep 25, 2001",,,['Lemon Heart'],['NuTech Digital'],['Arms'],Visual novel,"['Fantasy', 'Hentai']",,26 min. per ep.,Rx - Hentai,5.41,N/A,#12047,"1,922",3,557,"Collin, a relatively noble but ordinary man - finds himself lured to a cave by a dream in which a beautiful girl named Feelia appeared before him. Even as he was warned off by the elder of his village, he still feels drawn in... and with the arrival of a beautiful adventurer, and just a trace of seduction... in he shall go. But what lies in wait? And what of the mysterious girl who appeared to Collin in his dream? (Source: AniDB)","['Adaptation (Light Novel) Princess Memory', '']",Princess Memory,,,,,,
105,School Girl: Special Lesson,平成女学園 課外レッスン,,,['OVA'],1,Finished Airing,"Apr 27, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Unknown,,,20 min.,Rx - Hentai,4.65,N/A,#12812,"1,496",2,454,"In this school the teachers are only too willing to teach the girls how to really get ahead. Our little school girl is doing poorly and needs help with her grades. And our teachers are there to help, but they have special courses of there own in mind. Watch her as she progresses through a grueling day of lessons which leave her dripping wet! Learning the art of self pleasure as she tackles Masturbation 101. Sex with women can be just as entertaining in Lesbian Linguistics. SM/Bondage class and finally rounding out the day with Sex in history class-where she's drilled over and over again. (Source: Adult Source Media)",[],Heisei Jogakuen Kagai Lesson,,,,,['Hentai'],
106,,淫辱の部屋,Lewd Room,,['OVA'],1,Finished Airing,"Jun 18, 2001",,,['Five Ways'],"None found,",['Blue Cat'],Unknown,,,27 min.,Rx - Hentai,5.04,N/A,#12915,"1,451",1,398,"Kazuki, a wealthy young man, yet struck by a terminal illness, lives in his big mansion with numerous female servants. Among them is Nanase, who fell in love with Kazuki. She is trying her best to make him understand the joys of life. However, ever since Kazuki's sister noticed her feelings, jealousy drives her to discipline Nanase whenever possible in her ""torture chamber""... (Source: AniDB)",[],Injoku no Heya,,,,Lewd Room,['Hentai'],
107,Dora,瞳裸,,,['OVA'],4,Finished Airing,"Jun 18, 2001 to Jan 18, 2002",,,['Five Ways'],"None found,",['Meltdown'],Visual novel,,,28 min. per ep.,Rx - Hentai,4.71,N/A,#13397,"1,264",0,320,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (OVA) Kokudo Ou', '']",Doura,,,,,['Hentai'],
108,,ムーンライトソナタ,,,['OVA'],1,Finished Airing,"Jun 25, 2001",,,['Milky Animation Label'],"None found,",['Studio Jam'],Visual novel,,,28 min.,Rx - Hentai,5.11,N/A,#13710,"1,166",0,315,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Moonlight Sonata,,,,,['Hentai'],
109,Medaka's School,めだかの学校,,,['OVA'],5,Finished Airing,"Apr 10, 2001 to Feb 26, 2005",,,['Office AO'],"None found,","None found,",['Manga'],,,14 min. per ep.,PG - Children,6.21,#8778,#13968,"1,087",0,165,"Medaka is a high school student. She wants to be a doctor, and she’s just transferred to Tanaka Private School on the recommendation of her parents. But she finds that his school looks a bit strange. For example, Pochi is such a smart student who always gets full marks, but he is a dog. And there are other classmates: Nekoko, a cat, who thinks of Pochi as a rival, Misa, a five-years-old girl. Of course, her home room teacher, Mr. Tanaka, is not normal. His face is ... A fish?! (Source: AnimeNfo)","['Adaptation (Manga) Medaka no Gakkou', '']",Medaka no Gakkou,,,,,['Comedy'],
110,Angel Girl Jun,天使のはばたきJUN,,,['OVA'],1,Finished Airing,"Apr 27, 2001",,,['Obtain Future'],"None found,","None found,",Unknown,,,27 min.,Rx - Hentai,4.75,N/A,#14688,897,0,252,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tenshi no Habataki Jun,,,,,['Hentai'],
111,,とうさんまいご,I Lost My Dad!,,['OVA'],6,Finished Airing,"Jun 27, 2001",,,"None found,","None found,","None found,",Picture book,,,4 min. per ep.,G - All Ages,[],#15007,#23046,136,0,,"Episode 1 - Guru Guru Doubutsu Episode 2 - Batta-kun Episode 3 - Akachan Episode 4 - Tou-san Maigo Episode 5 - Shiritori Guru Guru Episode 6 - Umi wa Hiroi ne, Ojii-chan (Source: Official Site)",[],Tousan Maigo,,,['Kids'],,,
112,"Osamu Tezuka's Metropolis, Robotic Angel",メトロポリス,,,['Movie'],1,Finished Airing,"May 26, 2001",,,"['Bandai Visual', 'Dentsu', 'Kadokawa Shoten', 'Imagica', 'Tezuka Productions', 'TOHO', 'King Records']","['Sony Pictures Entertainment', 'Mill Creek Entertainment']",['Madhouse'],['Manga'],"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Detective'],1 hr. 49 min.,PG-13 - Teens 13 or older,7.52,#1897,#2038,"114,035",672,47102,"In the great city of Metropolis, severe community structures and prejudice dominate a world where humans and robots live together. Unrest and violence increase with each new day. Searching for the scientist Dr. Laughton, suspected to violate human rights by trading organs, the Japanese detective Shunsaku Ban and his nephew Kenichi arrive at Metropolis. In the scientist's laboratory, Kenichi discovers a girl without any memory of her past life. He decides to help her, so they run away together. His uncle follows him and penetrates the dark secrets of the city to find Duke Red, the man ruling from the shadows. Meanwhile, Kenichi desperately tries to protect the mysterious girl from the people hunting her. However, Duke Red and his adoptive son have their own deep reasons for chasing the girl. These reasons are connected to her true identity and the struggle for the domination of Metropolis... [Written by MAL Rewrite]","['Adaptation (Manga) Metropolis', '']",Metropolis,,,['Shounen'],,,
113,Detective Conan Movie 05: Countdown to Heaven,名探偵コナン 天国へのカウントダウン,Case Closed Movie 05: Countdown to Heaven,Detective Conan Película 5: Cuenta Regresiva al Cielo,['Movie'],1,Finished Airing,"Apr 21, 2001",,,"['Yomiuri Telecasting', 'TOHO', 'Universal Music Japan', 'Shogakukan', 'Audio Planning U', 'Shogakukan Productions']",['Funimation'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],1 hr. 40 min.,PG-13 - Teens 13 or older,8.11,#506,#2857,"66,354",65,39684,"Conan Edogawa, the Detective Boys, and Professor Hiroshi Agasa decide to visit the Nishitamashi Twin Towers. There they run into Ran Mouri; her closest friend, Sonoko Suzuki; and Ran's father, the famous Kogorou. Learning the trio are attending the towers' grand opening, Conan and company tag along for a private tour of its floors. However, as preparations are finalized for the opening ceremony, their visit takes an unexpected turn—three brutal murders occur, seemingly linked to a mysterious Porsche 356A. Soon after, as Conan and the detectives dive deeper into the case, the towers are rocked by an explosion. With fire rapidly spreading and lives in danger, police desperately seek to evacuate everyone. But when the elevator, their only means to escape goes down, Conan and company are left behind. With help on its way, they frantically try to keep everyone safe, but time is running out if they want to bring the perpetrators to justice. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan: Tengoku e no Countdown', '']",Meitantei Conan Movie 05: Tengoku e no Countdown,Detektiv Conan Film 5: Décompte aux cieux,,['Shounen'],Detektiv Conan Film 5: Countdown zum Himmel,,
114,"Eiga Crayon Shin-chan: Arashi wo Yobu Mouretsu! Otona Teikoku Gyakushuu, Crayon Shin-chan: The Storm Called: The Adult Empire Strikes Back",映画　クレヨンしんちゃん　嵐を呼ぶモーレツ！オトナ帝国の逆襲,,Shin chan Película 9: ¡Los Adultos Contraatacan!,['Movie'],1,Finished Airing,"Apr 21, 2001",,,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,1 hr. 29 min.,G - All Ages,7.90,#830,#6347,"11,596",114,6459,"Adult people all over Japan had been captivated by 20th Century Expo, theme parks that reenacted good old days of the 1970s (the last days of Japan's high economic growth). One day the adults disappeared into the theme parks, leaving their children abandoned. That was a plot by ""Yesterday Once More,"" an organization who despises the 21st century and tries to bring Japan back to the 20th century with the dreams and hopes. Shinnosuke and his parents, Hiroshi and Misae, fight against the plot of ""Yesterday Once More"" in order to live together with family in the 21st century. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle', 'Sequel (Movie) Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen']",Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,,,['Seinen'],,,
115,,忍たま乱太郎 ～星に誓った友情物語の段～,,,['Movie'],1,Finished Airing,"Jun 3, 2001",,,"None found,","None found,","None found,",['Manga'],"['Comedy', 'Sci-Fi']",['Space'],28 min.,G - All Ages,[],#20701,#23262,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nintama Rantarou: Hoshi ni Chikatta Yuujou Monogatari no Dan,,,['Kids'],,,
116,Love Hina Spring Special,ラブひな春スペシャル 〜キミサクラチルナカレ!!〜,Love Hina Spring Movie,Love Hina: Especial de Primavera. Que no caiga la flor del cerezo.,['TV Special'],1,Finished Airing,"Apr 2, 2001",,,"['TV Tokyo', 'Yomiko Advertising']",['Bandai Entertainment'],['Xebec'],['Manga'],"['Adventure', 'Comedy', 'Romance']",,46 min.,PG-13 - Teens 13 or older,7.17,#3527,#3171,"54,314",20,32460,"The tests have come, and Keitaro can only hope to succeed. However, in the final stretch, he fails miserably and daydreams through the test. Assuming that he has failed, he runs away, so the rest of the cast hunts him down on a remote desert island to bring him back. The Toudai entrance exams have finally come (again) for Keitaro. With all his confidence Keitaro sits for the paper, but ends up falling asleep and dreaming about Narusegawa. Waking up with barely any time to complete the paper, Keitaro thinks he will fail the paper and tries to escape from Hinata Lodge and forget all the memories with it. By a stroke of luck he meets Seta, but ends up in a faraway island with the whole cast trying to look for him. (Source: ANN)",[],Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,,,['Shounen'],,,
117,"Mokoto no Sentaku Koikaken, Love Hina: Motoko's Choice, Love or the Sword - Don't Cry","素子のセンタク, 恋か剣... 「泣くな」",Love Hina: Motoko's Choice Between Love or Swords: Don't cry!,"Love Hina OVA. La decisión de Motoko: La espada o el Amor, No Llores.",['Special'],1,Finished Airing,"May 2, 2001",,,"['TV Tokyo', 'Yomiko Advertising']","['Funimation', 'Bandai Entertainment']",['Xebec'],['Manga'],"['Drama', 'Romance']",,24 min.,PG-13 - Teens 13 or older,7.21,#3288,#3809,"39,020",13,22411,"Out of nowhere, Motokos' sister (Tsuroko) appears and is ready to pass on the dojo. However, Motoko is still not quite as strong as her sister and when her big sister finds out about this, she gives Motoko an ultimatum- Motoko must beat her sister or marry Keitaro! (Source: Animelover27)",[],"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",,,['Shounen'],,,
118,DiGi Charat Ohanami Special,Di Gi Charat お花見すぺしゃる,,,['Special'],4,Finished Airing,"Apr 6, 2001",,,['TBS'],['Sentai Filmworks'],['Madhouse'],Original,,,10 min. per ep.,G - All Ages,6.72,#5760,#9629,"3,986",2,1922,The Ohamami Special consisted of four independent episodes of Di Gi Charat with no continuation that aired in Spring 2001 in Japan. • Ohanami Special Episode 1 - The Evil Settles Down • Ohanami Special Episode 2 - Sakura Sakura • Ohanami Special Episode 3 - Long Haired Onii-san-nyu • Ohanami Special Episode 4 - Don't Call me Rabi-en-Rose (Source: AniDB & Wikipedia),"['Prequel (Special) Di Gi Charat Christmas Special', 'Sequel (Special) Di Gi Charat Natsuyasumi Special']",Di Gi Charat Ohanami Special,,,,,['Comedy'],
119,Di Gi Charat Other Specials,Di Gi Charat 梅雨スペシャル,,,['Special'],2,Finished Airing,"Jun 1, 2001",,,"None found,","None found,",['Madhouse'],Original,,,13 min. per ep.,G - All Ages,6.55,#6787,#10546,"3,009",2,1284,"Di Gi Charat (call her Dejiko for short) and Petit Charat (the cute little charat) come down to Earth, where they want to be idols, or something like that. Rabi~en~Rose (a random girl with bunny ears) decides they're in her way of becoming an idol herself. They all end up working at Gamers, where various otaku, children, and humanoid fingers walk in and act like morons. Contains: Gema no Sumika Tsusode shiu Engekidan (ii ne!) (Source: AniDB)",[],Di Gi Charat Tsuyu Specials,,,,,['Comedy'],
120,,グレゴリーホラーショー - The Bloody Karte,,,['Special'],12,Finished Airing,"Apr 7, 2001 to Jun 30, 2001",,,"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,"['Comedy', 'Horror', 'Mystery', 'Supernatural']",['Mythology'],3 min. per ep.,PG-13 - Teens 13 or older,5.82,#10812,#13057,"1,396",0,614,"The fourth series, The Bloody Karte (presented as a side series on the DVDs) is a set of 12 stories about Catherine working in a mysterious hospital. (Source: AniDB)",[],Gregory Horror Show: The Bloody Karte,,,,,,
121,Kyouhaku Special Stage: Dare ga Tameni Kane Hanaru,SPECIAL STAGE 誰がために鐘はなる,The Blackmail: Tomorrow Never Ends - Special Stage,,['Special'],1,Finished Airing,"Apr 27, 2001",,,['Pink Pineapple'],"None found,",['Production D.M.H'],Visual novel,,,35 min.,Rx - Hentai,5.16,N/A,#13574,"1,212",0,340,Events of the original 3 episodes are being retold by Aya.,[],Kyouhaku: Owaranai Ashita - Special Stage,,,,,['Hentai'],
122,"Sekai Meisaku Gekijou Kanketsu Ban: Watashi no Ashinaga Ojisan, World Masterpiece Theater Complete Edition: Watashi no Ashinaga Oji-san",世界名作劇場・完結版 私のあしながおじさん,,,['TV Special'],2,Finished Airing,May 2001,,,['Bandai Visual'],"None found,",['Nippon Animation'],Novel,"['Comedy', 'Romance']",['School'],45 min. per ep.,G - All Ages,6.31,#8209,#15189,769,0,159,A summary of the Watashi no Ashinaga Oji-san full series aired as a TV specials.,[],Watashi no Ashinaga Ojisan Specials,,,,,,
