,Japanese,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,English,Theme,Genre,German,Spanish,French,Demographics
90,宇宙なんちゃらこてつくん,['TV'],64,Finished Airing,"Apr 7, 2021 to Feb 23, 2023",['Spring 2021'],Thursdays at 18:40 (JST),"None found,","None found,",['Fanworks'],['Web manga'],"['Comedy', 'Sci-Fi']",,,9 min. per ep.,G - All Ages,[],#15091,#14754,873,3,,"It follows the daily life of Kotetsu-kun, who aspires to be an astronaut, and friends at the Animal Space Academy as they all pursue their dreams. (Source: ANN)",[],Uchuu Nanchara Kotetsu-kun,,Space Academy,['Space'],,,,,
91,しまじろうのわお!,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min.,G - All Ages,[],#14210,#15577,687,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,,,,
92,マヌ～ルのゆうべ,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],,,,1 min.,PG-13 - Teens 13 or older,[],#17533,#15791,654,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,,['Slice of Life'],,,,
93,ごはんかいじゅうパップ,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,['Kids'],30 sec.,G - All Ages,[],#20832,#16419,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,Rice Monster Pap,,,,,,,
94,よわむしモンスターズ,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16115,#16758,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,Yowamon,,,,,,,
95,えほん寄席,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#20492,#17168,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,['Horror'],,,,
96,オトッペ,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,,,['Kids'],3 min. per ep.,G - All Ages,[],#18427,#17781,433,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,,,['Music'],['Fantasy'],,,,
97,パッコロリン,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#18455,#18290,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,Pakkororin,,,,,,
98,新ニッポンヒストリー,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,,23 min.,G - All Ages,[],#14233,#18530,377,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",,['Historical'],['Comedy'],,,,
99,おりがみにんじゃ コーヤン＠きんてれ,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,,['Kids'],Unknown,PG - Children,[],#18386,#18666,366,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,Happy Smile ♡ Dream,,,['Comedy'],,,,
100,띠띠뽀 띠띠뽀 3,['TV'],26,Finished Airing,"Feb 28, 2022 to May 24, 2022",['Winter 2022'],Unknown,['EBS'],"None found,","['Iconix Entertainment', 'Studio Gale']",Unknown,,,['Kids'],11 min. per ep.,PG - Children,[],#14897,#20497,256,1,,The third season of Titipo Titipo.,"['Prequel (TV) Titipo Titipo 2', '']",Titipo Titipo 3,,Titipo Titipo Season 3,['Racing'],,,,,
101,아기상어 올리와 윌리엄,['TV'],54,Finished Airing,"Dec 25, 2020 to Aug 23, 2022",['Winter 2021'],Unknown,['Pinkfong'],"None found,","None found,",Music,,,['Kids'],11 min. per ep.,PG - Children,[],#19118,#21682,191,0,,"Baby Shark's Big Show! follows Baby Shark and his best friend William as they journey on fun-filled comedic adventures in their community of Carnivore Cove, make new friends, and sing original catchy tunes along the way. (Source: Amazon)",[],Agisang-eo Ollie wa William,Baby Shark Ollie and William,Baby Shark's Big Show!,['Anthropomorphic'],,,,,
102,신비아파트 고스트볼Z,['TV'],24,Finished Airing,"Sep 16, 2021 to Jul 28, 2022",['Fall 2021'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Original,"['Fantasy', 'Supernatural']",,['Kids'],24 min. per ep.,G - All Ages,[],#14410,#21675,191,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sinbi Apartment: Ghost Ball Double X', 'Sequel (TV) Sinbi Apartment: Ghost Ball Zero']",Sinbi Apartment: Ghost Ball Z,,,,,,,,
103,브레드 이발소 3,['TV'],25,Finished Airing,"Dec 25, 2021 to Oct 20, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],10 min. per ep.,PG - Children,[],#19551,#21684,191,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Beuledeu Ibalso 2', 'Sequel (TV) Beuledeu Ibalso 4: Bakery Ppang Stars']",Beuledeu Ibalso 3,,Bread Barbershop 3,['Anthropomorphic'],,,,,
104,むかしばなしのおへや　〜伝えたい日本昔話〜,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,['Kids'],18 min.,G - All Ages,[],#17988,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,,,['Fantasy'],,,,
105,뱀파이어소녀 달자,['TV'],26,Finished Airing,"Jan 4, 2022 to Jun 7, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,,,,12 min. per ep.,G - All Ages,[],#19345,#21960,175,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Baempaieosonyeo Dalja,,,['Vampire'],['Comedy'],,,,
106,天真与功夫袜,['TV'],52,Finished Airing,"Aug 3, 2021 to Jul 26, 2022",['Summer 2021'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Comedy']","['Anthropomorphic', 'Mahou Shoujo', 'Martial Arts', 'Reincarnation']",['Kids'],11 min. per ep.,G - All Ages,[],#14848,#22340,160,0,,"The series follows the adventures of a curious 8-year-old girl named TZ who always dreamed of going on adventures and exploring wonderful places, and then one day she finds an odd-looking sock in her mother’s laundry that…. Talks. It was originally a Kung Fu Master from another world charged with guarding an ancient scroll. When the Master came through a vortex into TZ’s time, his powers were weakened, and he was transformed into a sock. However, when the little girl puts the sock on her foot she transforms into a super heroine – a kick-ass Kung Fu girl, and together they must complete Kung Fu Wa’s mission and follow the ancient scroll to defeat evil and protect their world. (Source: Federation Studios)",[],Tian Zhen Yu Kung Fu Wa,Tianzhen Yu Gongfu wa,Kung Fu Sock,,,,,,
107,메카드볼,['TV'],52,Finished Airing,"Sep 4, 2021 to Oct 8, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing', 'Strategy Game']",['Kids'],13 min. per ep.,PG - Children,[],#17612,#22691,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Mecard Ball Mega', '']",Mecard Ball,,,,['Action'],,,,
108,출동! 슈퍼윙스6,['TV'],39,Finished Airing,"Feb 28, 2022 to Jul 11, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#19995,#22976,136,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Chuldong! Super Wings 5', 'Sequel (TV) Chuldong! Super Wings 7']",Chuldong! Super Wings 6,,Super Wings 6,['Racing'],['Adventure'],,,,
109,티티체리,['TV'],26,Finished Airing,"Dec 30, 2021 to Jul 7, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],11 min. per ep.,PG - Children,[],#14763,#23428,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tea Tea Cherry,,,,,,,,
110,バブル,['ONA'],1,Finished Airing,"Apr 28, 2022",,,"['Warner Bros. Japan', 'Nitroplus', 'Straight Edge', 'STORY', 'Lawson Entertainment']","None found,",['Wit Studio'],Original,"['Action', 'Sci-Fi']",,,1 hr. 40 min.,PG-13 - Teens 13 or older,7.24,#3166,#1143,"227,211","1,540",124891,"Five years ago, gravity-defying bubbles with mysterious powers rained down upon the earth. After a huge explosion of uncertain origin, Tokyo became ground zero, with the city being enclosed in a gigantic bubble. As a result of this ""Bubble Fall"" phenomenon, the metropolis that was once the capital of Japan drowned in a gravity-bending sea; the government declared it a prohibited zone, and the residents abandoned it. Children orphaned by the Bubble Fall now squat illegally in Tokyo, partaking in dangerous parkour team battles across the city's dilapidated buildings. Hibiki—a talented ace in these games with the ability to jump between bubbles—claims he can hear sounds from the Tokyo Tower. Determined to uncover its mysteries, he sets off toward the source, but he falls into the waters below. A strange girl, whom he later nicknames Uta, saves him. But little does Hibiki know that Uta's appearance in his life will reveal the secrets behind the disastrous event that changed their world forever. [Written by MAL Rewrite]","['Adaptation (Manga) Bubble', '']",Bubble,,Bubble,,,,,,
111,ヴァンパイア・イン・ザ・ガーデン,['ONA'],5,Finished Airing,"May 16, 2022",,,"['Production I.G', 'Netflix']","None found,",['Wit Studio'],Original,"['Action', 'Fantasy']","['Military', 'Vampire']",,26 min. per ep.,PG-13 - Teens 13 or older,7.14,#3727,#2523,"81,495",561,35632,"During a winter long ago, near-immortal vampires began plaguing the world. As their population grew at an astounding rate, they promptly threw humanity off its place at the top of the food chain. Desperate to avoid extinction, the surviving humans concentrated in their last safe haven—a small city surrounded by an enormous wall. There, they have waged war against the vampires for many years. In the midst of a particularly brutal attack by the vampires, a human soldier named Momo encounters Fiine, the queen of their enemies. After seeing her try to save Momo's best friend from a rampaging vampire, Momo follows Fiine back to her house. It is there Momo connects with Fiine over their love for music and desire to escape the fighting. Pursuing that goal of escape, the two decide to journey toward a supposed paradise where humans and vampires coexist—despite being uncertain of its existence. However, Momo and Fiine are being targeted by both races, who they must first evade if they hope to reach their destination in one piece. [Written by MAL Rewrite]",[],Vampire in the Garden,,Vampire in the Garden,,,,,,
112,スーパードラゴンボールヒーローズ,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11260,#2568,"79,061",256,30945,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,,['Martial Arts'],,,,,
113,BASTARD!! -暗黒の破壊神-,['ONA'],13,Finished Airing,"Jun 30, 2022",,,"['Warner Bros. Japan', 'Shueisha']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,6.60,#6468,#2624,"76,065",310,31805,"Fifteen years ago, Dark Schneider, a ruthless magician of immeasurable power, sought to conquer the world with an army led by his generals, the Four Divine Kings. However, he was defeated and sealed in the body of a newborn boy. In the present day, the disbanded party of Dark Schneider has reformed with a macabre goal: to resurrect Anthrasax—the god of destruction that nearly annihilated the world four centuries ago—and establish a war-free society. To do so, the Four Divine Kings must break four seals located in four different kingdoms. Targeted for its seal, the kingdom of Metallicana struggles to repel the army commanded by the Four Divine Kings. With hope dwindling, all eyes turn to the daughter of Metallicana's Grand Priest, Yoko Tia Noto. Not only is she aware that her adopted younger brother, Lucien Renlen, is Dark Schneider's prison of flesh, but she also knows the ritual to break the seal. Left with no other choice, Yoko successfully releases Dark Schneider, whose twisted personality has not changed over the years. As the fate of the world depends on where his allegiance lies, Yoko seems to be the only person who has some control over the powerful magician. But convincing Dark Schneider to turn against his old allies and protect those Yoko holds dear may prove to be an impossible feat. [Written by MAL Rewrite]","['Sequel (ONA) Bastard!! Ankoku no Hakaishin Part 2 (ONA)', 'Adaptation (Manga) Bastard!! Ankoku no Hakaishin']",Bastard!! Ankoku no Hakaishin (ONA),,"Bastard‼ Heavy Metal, Dark Fantasy",['Gore'],,,,,
114,最后的召唤师,['ONA'],12,Finished Airing,"Apr 26, 2022 to Jul 5, 2022",,,"['Fuji TV', 'bilibili', 'Bit grooove promotion', 'Happinet Phantom Studios']","None found,",['ASK Animation Studio'],['Web manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",,,22 min. per ep.,PG-13 - Teens 13 or older,6.55,#6780,#2739,"71,381",281,14041,"A talented young cook's encounter with a hungry girl who popped up in his kitchen changes his ordinary life forever. Dora, a summoned spirit and a truly cute goddess, now calls him master. However, he is not interested at all and trying everything he could to get away from the ghostly figure. As fate would have it, when he becomes a summoner by accident, there is no turn back in life. (Source: MU)","['Adaptation (Manhua) Zuihou de Zhaohuan Shi', '']",Zuihou de Zhaohuan Shi,Zui Hou De Zhao Huan Shi,The Last Summoner,['Harem'],,,,,
115,ホロのぐらふぃてぃ,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,852","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,"Horogura, HoloGra",Holo Graffiti,,['Comedy'],,,,
116,スプリガン,['ONA'],6,Finished Airing,"Jun 18, 2022",,,"['Avex Entertainment', 'DAX Production', 'Avex Pictures']","None found,",['David Production'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,['Shounen'],45 min. per ep.,R - 17+ (violence & profanity),6.85,#5087,#3238,"52,003",135,18029,"Deep in the Ararat Mountains of Turkey, a secret organization known as ARCAM has found what is believed to be Noah's Ark. However, the U.S. Machine Corps., a rogue organization of the Pentagon, wants to take over the Ark as a means of global supremacy. Only a special ARCAM operative known as a Spriggan stands in their way. Japanese Spriggan Yu Ominae teams up with French Spriggan Jean-Jacques Mondo to combat members of the U.S. Machine Corps. led by Col. MacDougall—a genetically-enhanced boy with deadly psionic powers. However, they must act fast and stop MacDougall before he uses the Ark for his own agenda. (Source: ANN)","['Adaptation (Manga) Spriggan', '']",Spriggan (ONA),,,['Military'],,Spriggan,Spriggan,Spriggan,
117,僕のヒーローアカデミア,['ONA'],2,Finished Airing,"Jun 16, 2022",,,"None found,","None found,",['Bones'],['Manga'],,"['School', 'Super Power', 'Team Sports']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5181,#3330,"49,652",62,22150,"Episode 1: HLB HLB stands for ""Hero League of Baseball""—it is a baseball league founded by pro-heroes who love baseball! It's game day! The last game of HLB championship is between Gang Orca and Shishido's two rival agencies. They form a team (""Orcas"" and ""Lionels"") to compete. In the world of HLB, there is no rule—using their Quirks is of course accepted; however, just when the game is about to finish, they are interrupted by a villain. Who will be the winner of HLB?! Episode 2: Laugh! As if you are in hell Deku, Bakugo, and Todoroki participate in an internship under the No.1 hero, Endeavor's agency. One of their tasks these days is to find a villain (""Smiley"") who draws doodles in the city; however, since the urgency is so low, they let other pro-heroes solve this case. One day, Smiley draws a doodle on Endeavor's house! Being furious, Endeavor himself and the 1-A trio go out to get the villain' however, Smiley's Quirk turns out to be something ridiculous but powerful... It is to make anyone who looks into his eyes laugh hysterically! Can the team capture the villain and stop laughing?!",[],Boku no Hero Academia (ONA),"Boku no Hero Academia HLA, Heroes League Baseball, Boku no Hero Academia: Warae! Jigoku no You ni",My Hero Academia ONA,,['Sports'],,,,
118,TIGER & BUNNY 2,['ONA'],13,Finished Airing,"Apr 8, 2022",,,"['Bandai Namco Entertainment', ""Toy's Factory"", 'ADK Marketing Solutions']","None found,",['Bandai Namco Pictures'],Original,"['Action', 'Comedy', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Super Power']",,24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2279,#4722,"24,457",99,8421,"With Kotetsu back on the First League, the buddy system is now the big new project of HeroTV. Two heroes fighting crime back to back due to the popularity of the famous duo: Wild Tiger and Barnaby Brooks Jr. With new heroes protecting Sternbild City, the ability of both veteran and rookies will be put to the test as they find what it means to rely on others to do to what is best for the city they are trying to protect.","['Prequel (Movie) Tiger & Bunny Movie 2: The Rising', 'Sequel (ONA) Tiger & Bunny 2 Part 2', 'Adaptation (Manga) Tiger & Bunny 2 The Comic', '']",Tiger & Bunny 2,"Tiger and Bunny 2, Taibani 2",,,,,,,
119,Pokémon LEGENDS アルセウス 雪ほどきし二藍,['ONA'],3,Finished Airing,"May 18, 2022 to Jun 22, 2022",,,['Soranone'],['The Pokemon Company International'],['Wit Studio'],Game,"['Action', 'Adventure', 'Fantasy']",,['Kids'],10 min. per ep.,PG - Children,7.40,#2386,#5391,"17,613",55,7128,"The anime tells the story of a boy named Akio and his encounter with a Hisuian Zorua. When he was younger, Akio's father taught him that people and Pokémon cannot live together. But Akio's interactions with the Zorua might offer a different lesson. (Source: The Pokémon Company)",[],Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,Yuki Hodokishi Futaai,Pokémon: Hisuian Snow,,,,,,
120,兄に付ける薬はない！5,['ONA'],12,Finished Airing,"Jun 29, 2022 to Aug 3, 2022",,,"['Imagineer', 'Tencent Penguin Pictures']","None found,","['Planet Cartoon', 'Fever Creations']",['Web manga'],,,,3 min. per ep.,PG-13 - Teens 13 or older,7.34,#2627,#5548,"16,347",28,5981,"The Shi siblings have a lot on their plates, such as needing to stay frugal, passing their exams, and constantly dealing with each others' antics. Older brother Fen's frivolous demeanor often gets on his younger sister Miao's nerves, leading to physical but comedic altercations. Fortunately, their friends are always around to offer a helping hand. Kai Xin is Fen's well-meaning best friend who rivals Fen's absentmindedness but makes up for it with his athleticism. Miao, on the other hand, is often accompanied by her bubbly companion Miaomiao. The most recent addition to the group is Wan Sui, who is desperate to conceal his wealth but remains tirelessly loyal to his peers—sometimes roping his younger brother Xing into their excursions. Sometimes, the friends' roundabout means of problem-solving backfire. However, no predicament is going to prevent them from discovering how fun high school life can be. [Written by MAL Rewrite]","['Prequel (TV) Ani ni Tsukeru Kusuri wa Nai! 4', 'Adaptation (Manhua) Kuai Ba Wo Ge Dai Zou']",Ani ni Tsukeru Kusuri wa Nai! 5,"Please Take My Brother Away 5, Kuai Ba Wo Ge Dai Zou 5,  快把我哥带走 5",,['School'],['Comedy'],,,,
121,攻殻機動隊 SAC_2045 シーズン２,['ONA'],12,Finished Airing,"May 23, 2022",,,"['Dentsu', 'Kodansha', 'flying DOG', 'Bandai Namco Arts', 'Kassen']","None found,","['Production I.G', 'Sola Digital Arts']",['Manga'],"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.84,#5143,#6251,"11,977",33,4469,"The year is 2045. As a result of the Global Simultaneous Default, an economic disaster that shook every country on Earth to its foundations, as well as the explosive evolution of artificial intelligence, the world has plunged into the Sustainable War, a planned war that can be continued indefinitely. In this near future, the decline has not yet become bad enough that people can sense in their daily lives the risk to human survival posed by A.I. To combat cybercrimes by the Posthumans, a new breed of human being that has suddenly arisen, Public Security Section 9, led by the fully prosthetic cyborg Kusanagi Motoko, makes its way to Tokyo, which was reduced to ruins in a previous war. What they find there are a refugee group that calls itself ""N"" and a hostile American Special Forces unit. As the risk of nuclear war set off by a hijacked submarine grows ever greater, the three-way battle between Public Security Section 9, America, and the Posthumans intensifies. (Source: AniDB)","['Prequel (ONA) Koukaku Kidoutai: SAC_2045', 'Prequel (Movie) Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou']",Koukaku Kidoutai: SAC_2045 Season 2,"Ghost in the Shell: Stand Alone Complex 2045 2nd Season, Koukaku Kidoutai: SAC_2045 2nd Season",Ghost in the Shell: SAC_2045 Season 2,,,,,,
122,ULTRAMAN,['ONA'],6,Finished Airing,"Apr 14, 2022",,,"['Dentsu', 'Tsuburaya Productions', 'Bandai Namco Arts', 'Netflix']","None found,","['Production I.G', 'Sola Digital Arts']",['Manga'],"['Action', 'Sci-Fi']",,['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.64,#6258,#6598,"10,547",24,3999,"A global mass disappearing event takes place among humanity. Rena and Shinjirou simultaneously vanish. In the wake of these events, freelance journalist Kotaro Higashi investigates this mysterious ""disappearance incident."" The aliens behind it are the terrorist organization Dark Star. They transmit a message to those on Earth. ""Give us half of the Earth, or sacrifice half of its people... make your choice."" At the same time, the recently disappeared Rena and Shinjirou are teleported to the Dark Star ship orbiting the Earth. Learning too much, Koutarou is caught in the crossfire between Dark Star and the SSSP, and is almost left for dead.... In the ﬁnal battle, our heroes face oﬀ against the Golden Fortress. Facing this giant mecha destroying the city, ULTRAMAN, SEVEN and TARO are joined by ZOFFY, JACK, and ACE. At long last the 6 ULTRAMAN heroes have assembled! (Source: Official Site)","['Prequel (ONA) Ultraman', 'Sequel (ONA) Ultraman Final', 'Adaptation (Manga) Ultraman', '']",Ultraman Season 2,,,['Super Power'],,,,,
123,暂停！让我查攻略,['ONA'],12,Finished Airing,"May 21, 2022 to Jul 30, 2022",,,"['bilibili', 'Kadokawa']","None found,",['Kung Fu Frog Animation'],Original,"['Comedy', 'Fantasy']",,,18 min. per ep.,PG-13 - Teens 13 or older,6.41,#7633,#7127,"8,760",9,2544,"Because of a mistake in the summoning process, 30-year-old social animal Liu Yinuo was accidentally summoned into the game world. In order to return to reality as soon as possible, Liu Yinuo began to assist the 18-year-old ""brave"" Tian Enya to save the world. With her excellent cognition, Yinuo, who was originally a high-player, was like a duck to water in another world. Enya also grew from a wayward little girl to a mature and reliable big girl. (Source: bilibili, translated)",[],Zanting! Rang Wo Cha Gonglue,"Kouryaku Wanted!: Isekai Sukuimasu!?, 攻略うぉんてっど！～異世界救います!?～",Pause! Let Me Check the Walkthrough First,['Isekai'],,,,,
124,神印王座,['ONA'],26,Finished Airing,"Apr 28, 2022 to Sep 29, 2022",,,"['Tencent Penguin Pictures', 'Xuanshi Tangmen', 'Tianshi Wenhua']","None found,",['Shenman Entertainment'],Web novel,"['Action', 'Adventure', 'Fantasy']",,,20 min. per ep.,PG-13 - Teens 13 or older,8.12,#491,#7231,"8,493",141,3117,"Six thousand years ago, mankind's glorious reign ended as a result of an invasion of the demon race, brought about by the emergence of 72 demon gods. To safeguard the remnants of humanity, the Alliance of Temples appeared to stop the demons' progress and temporarily stabilize the situation. At present, nine-year-old Long Hao Chen is training to become a part of the Knight Temple Hall. Through sheer dedication and the support of his companions, he passes the knight exam. Now, under the tutelage of his teacher Long Xing Yu, Long Hao Chen endures the Holy Resurrection Ritual to ascertain his capability. The ritual reveals that Long Hao Chen is a Son of Light—an individual who possesses a vast amount of spiritual energy. Recognizing his disciple's promising potential, Long Xing Yu urges Long Hao Chen to become a strong knight capable of defeating the Demon Lord alongside him. With countless challenges awaiting him, Long Hao Chen may be the warrior that can end the era of darkness. [Written by MAL Rewrite]","['Sequel (ONA) Shen Yin Wangzuo 2nd Season', 'Adaptation (Manhua) Shen Yin Wangzuo', 'Adaptation (Novel) Shen Yin Wangzuo', '']",Shen Yin Wangzuo,,Throne of Seal,,,,,,
125,彼女、お借りします 第2期 デートムービー,['ONA'],12,Finished Airing,"May 25, 2022 to Sep 25, 2022",,,['TMS Entertainment'],"None found,",['AQUA ARIS'],['Manga'],"['Comedy', 'Romance']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.08,#9527,#7615,"7,389",27,1315,"Date movie shorts posted on the official Twitter account and later included on Blu-ray volumes of Kanojo, Okarishimasu 2nd Season.",[],"Kanojo, Okarishimasu 2nd Season: Date Movie","Kanojo, Okarishimasu 2nd Season Specials",Rent-a-Girlfriend Season 2: Date Movie,,,,,,
126,时空之隙,['ONA'],13,Finished Airing,"Apr 15, 2022 to Jul 2, 2022",,,['bilibili'],"None found,",['B.CMAY PICTURES'],Game,,,,21 min. per ep.,PG-13 - Teens 13 or older,6.68,#6005,#7963,"6,650",44,907,"Unstable energies of the present world and an alternate realm has ripped open a rift of time and space. It is the only passage where monsters from the alternate realm can enter the world. To stop the invading monsters, a group of chosen people step forward to fight and protect the world at the rift. (Source: bilibili)",[],Shikong Zhi Xi,Time and Space,Rift,,['Action'],,,,
127,よふかしのうた ミニ,['ONA'],22,Finished Airing,"Jun 7, 2022 to Oct 2, 2022",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,6.21,#8817,#8409,"5,838",10,1394,Mini anime of Yofukashi no Uta released on the official Twitter.,[],Yofukashi no Uta Mini,Call of the Night Mini Anime,Call of the Night Mini,,['Comedy'],,,,
