,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,German,Spanish,Theme,Demographics
25,"Big O Roger, Big O",THEビッグオー,The Big O,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Mecha', 'Psychological']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,,,,,
26,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,099","1,330",42203,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,Shin Chan,Shin Chan,['School'],
27,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,Doraemon,['Anthropomorphic'],"['Kids', 'Shounen']"
28,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,['Kids'],25 min. per ep.,G - All Ages,7.01,#4329,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,,Hamtaro,Hamtaro,['Anthropomorphic'],
29,,機動天使エンジェリックレイヤー,Battle Doll Angelic Layer,['TV'],26,Finished Airing,"Apr 1, 2001 to Sep 23, 2001",['Spring 2001'],Sundays at 17:20 (JST),"['Dentsu', 'TV Tokyo Music']","['ADV Films', 'Sentai Filmworks']",['Bones'],['Manga'],"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3043,#2998,"60,721",318,29669,"12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.","['Adaptation (Manga) Angelic Layer', '']",Kidou Tenshi Angelic Layer,Angelic Layer,,Angelic Layer,,['Strategy Game'],
30,"Jungle wa Itsumo Hale Nochi Guu, Hare+Guu",ジャングルはいつもハレのちグゥ,Haré+Guu,['TV'],26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001",['Spring 2001'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Sotsu']","['Funimation', 'AN Entertainment']",['Shin-Ei Animation'],['Manga'],,"['Gag Humor', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.80,#1036,#3973,"35,537",423,14853,"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle. (Source: ANN)","['Sequel (OVA) Jungle wa Itsumo Hare nochi Guu Deluxe', 'Adaptation (Manga) Jungle wa Itsumo Haré Nochi Guu']",Jungle wa Itsumo Hare nochi Guu,Haré + Guu,['Comedy'],,,,
31,,ギャラクシーエンジェル,,['TV'],24,Finished Airing,"Apr 8, 2001 to Sep 30, 2001",['Spring 2001'],Sundays at 00:30 (JST),"['Bandai Visual', 'Broccoli']","['Nozomi Entertainment', 'Bandai Entertainment']",['Madhouse'],Mixed media,"['Comedy', 'Sci-Fi']",,,13 min. per ep.,PG-13 - Teens 13 or older,7.01,#4350,#4239,"30,969",200,12259,"The Angel Brigade, an elite branch of the Transbaal Empire military, are assigned to search for The Lost Technology, mysterious items from the past that hold unknown powers. Led by the soon to retire Colonel Volcott O' Huey, the Angel Brigade travel to different planets using their specially designed Emblem Frame ships to search for Lost Technology. Unfortunately, they usually mess up somehow and end up getting into all kinds of weird and troublesome situations. (Source: ANN)","['Sequel (TV) Galaxy Angel Z', 'Sequel (TV) Galaxy Angel 3', 'Sequel (TV) Galaxy Angel 4', 'Adaptation (Manga) Galaxy Angel']",Galaxy Angel,,,,,,
32,"Da!Da!Da!, UFO Baby",だぁ! だぁ! だぁ!,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shoujo'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,,,,['Childcare'],
33,"SP, sispri",シスター・プリンセス,,['TV'],26,Finished Airing,"Apr 4, 2001 to Sep 26, 2001",['Spring 2001'],Unknown,"['Starchild Records', 'TV Tokyo Music', 'GANSIS', 'Omnibus Promotion']","['ADV Films', 'Discotek Media']",['Zexcs'],['Light novel'],"['Comedy', 'Drama', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7767,#4585,"26,416",92,9643,"Wataru Minakami is a top student who failed his high school entrance exam because of a computer glitch. He later discovered that he was accepted to Stargazer Hill Academy, which is located at a mysterious place called Promised Island. At the request of his father, Wataru is whisked away to the island, and before he can settle in, a dozen of cute and charming girls start to flock him and claim to be his younger sisters. As Wataru gets closer to his newfound siblings, a deeper mystery as to why they were sent to the island comes to play. (Source: ANN)","['Sequel (TV) Sister Princess: Re Pure', 'Adaptation (Light Novel) Sister Princess']",Sister Princess,,,,,['Harem'],
34,,超GALS! 寿蘭,Super GALS!,['TV'],52,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",['Spring 2001'],Sundays at 08:30 (JST),['TV Tokyo'],"['ADV Films', 'Nozomi Entertainment']",['Pierrot'],['Manga'],,,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.39,#2408,#4763,"24,054",218,8792,"Sporting designer clothes, make-up, and nails, Ran Kotobuki is the very picture of a trendy, young Shibuya girl, but don't let that fool you. This girl comes from a family of cops, and she’s ready to lay you out flat if you even think about causing trouble in her town! At least, she will... when she’s not distracted with karaoke, shopping, and dodging her homework. Join Ran and her friends as they defend the streets of Shibuya and attempt to shop their way into the history books as the most famous Gals ever! (Source: RightStuf)","['Adaptation (Manga) Gals!', '']",Super GALS! Kotobuki Ran,Super GALS!,['Comedy'],,Super GALS!,,
35,Magical Soldier Louie,魔法戦士リウイ,Rune Soldier,['TV'],24,Finished Airing,"Apr 3, 2001 to Sep 18, 2001",['Spring 2001'],Tuesdays at 18:30 (JST),"None found,",['ADV Films'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.14,#3690,#4771,"24,003",87,9800,"Louie, a brawny student at the mage's guild, is reluctantly accepted by three girls (Merrill-thief, Genie-fighter, and Melissa-priestess) as a companion for their adventuring party. As the foursome explore ruins, battle dark creatures, and make new friends, they also uncover a sinister plot within the kingdom. (Source: ANN)","['Adaptation (Manga) Mahou Senshi Louie: Kouen no Bastard', 'Adaptation (Light Novel) Mahou Senshi Louie']",Mahou Senshi Louie,Louie: Rune Soldier,,Rune Soldier,Louie el Guerrero de las Runas,,
36,More! Useless Witch Doremi,も〜っと！おジャ魔女どれみ,,['TV'],50,Finished Airing,"Feb 4, 2001 to Jan 27, 2002",['Winter 2001'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,,24 min. per ep.,G - All Ages,7.46,#2124,#4822,"23,270",157,11276,"After losing their magical abilities, the girls once again become witches. However, now they have to go through tests from the Witches of the Witch World. They also meet a new member from New York, Momoko.","['Prequel (TV) Ojamajo Doremi Sharp', 'Sequel (TV) Ojamajo Doremi Dokkaan!']",Motto! Ojamajo Doremi,,['Comedy'],,,['Mahou Shoujo'],
37,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,['Comedy'],,Kochikame,,
38,ARMS,プロジェクトアームズ,Project ARMS,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Unknown,"None found,","['VIZ Media', 'Discotek Media']",['TMS Entertainment'],['Manga'],,"['Martial Arts', 'Super Power']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),6.92,#4753,#5637,"15,661",40,4240,"A boy gets involved in an accident when in kindergarten, horribly damaging his arm, but the doctors somehow manage to save it. Now, several years later, his arm seems to be becoming the focus of strange events as it turns out to be more than a normal arm. Meanwhile, a secret organization is out to get hold of him and the power he possess.","['Sequel (TV) Project ARMS: The 2nd Chapter', 'Adaptation (Manga) Arms']",Project ARMS,,['Action'],,,,
39,Figure 17 - Tsubasa and Hikaru,フィギュア17 つばさ&ヒカル,,['TV'],13,Finished Airing,"May 27, 2001 to May 26, 2002",['Spring 2001'],Not scheduled once per week,"['Bandai Visual', 'Genco', 'MediaNet']",['Media Blasters'],['OLM'],Original,"['Sci-Fi', 'Slice of Life']",,,47 min. per ep.,PG-13 - Teens 13 or older,7.19,#3418,#5742,"15,062",85,3981,"Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth. (Source: ANN)","['Adaptation (Manga) Figure 17', '']",Figure 17: Tsubasa & Hikaru,Figure 17,,,,,
40,,スターオーシャンEX,Star Ocean EX,['TV'],26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001",['Spring 2001'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],Game,"['Adventure', 'Fantasy', 'Sci-Fi']",,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,6.58,#6590,#5895,"13,993",30,6412,"Claude C. Kenni, a crewmember on the spaceship Calnus and son of the commander of the ship, is transported to Expel, a backwards planet with swords and magic. He teams up with Rena Lanford, who thinks he is the legendary Warrior of Light, and other characters to investigate the Sorcery Globe, a meteorite that has been causing problems all over the world. (Source: ANN)","['Adaptation (Manga) Star Ocean: The Second Story', '']",Star Ocean EX,,,,,,
41,"ZOE: Dolores, I, Z.O.E Dolores, I","Z.O.E Dolores,i",Zone of the Enders: Dolores,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Saturdays at 02:30 (JST),"['VAP', 'AT-X', 'TV Tokyo Music']",['ADV Films'],['Sunrise'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Mecha', 'Military', 'Space']",,24 min. per ep.,PG-13 - Teens 13 or older,6.92,#4726,#6003,"13,395",37,4519,"49-year-old James Lynx was an officer (LEV pilot) in the United Nations global army, one day he received notification that his wife—a Martian scientist—was killed during a lab experiment. Hateful and resentful for letting her go, his children blamed him and cast him aside, depressed and in despair, James quit the military and took up a job as a transporter between Earth and Mars, he had some slight hope of his wife still being alive and to find her he wanted to be out there. After a few years, he seemed to have given up all hope and turned to drinking, until one day he receives an orbital frame by the name of ""Dolores,"" sent by his dead wife. Once again, he dares to hope and sets off on a wild and wacky adventure to find the truth and to reunite his family. (Source: AniDB)","['Prequel (OVA) Zone of the Enders: 2167 Idolo', '']","Zone of the Enders: Dolores, I",,,,,,
42,"Taiho Shichauzo: Second Season, Taiho Shichau zo 2nd Season, You're Under Arrest: Second Season",逮捕しちゃうぞ SECOND SEASON,You're Under Arrest: Fast & Furious,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Unknown,['Kodansha'],['Sentai Filmworks'],['Studio Deen'],['Manga'],"['Action', 'Comedy']","['Adult Cast', 'Detective', 'Workplace']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.37,#2478,#6212,"12,271",12,4735,"AA! Megami Sama creator, Kosuke Fujishima, is back with the second season of Taiho Schihauzo (You're Under Arrest). Same characters, two policewomen, the gentle Miyuki and the wild Natsumi teamed up together in Bokuto police station`s traffic division. Other characters including Kenichi, the motorcycle cop who has a feeling for Miyuki; Yoriko with her gossip and Aoi, a transvestite. They all ready to take on harmless criminals and costumed weirdos... You think you can have a better police station? (Source: AniDB)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV) Taiho Shichau zo Special', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou']",Taiho Shichau zo: Second Season,,,,,,
43,,POPEE the ぱフォーマー,Popee the Clown,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,"['Avant Garde', 'Comedy']",,,4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,,,,['Gag Humor'],
44,Shen Diao Xia Lu,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,,,,,['Historical'],
45,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
46,,学園戦記ムリョウ,Shingu: Secret of the Stellar Wars,['TV'],26,Finished Airing,"May 8, 2001 to Dec 4, 2001",['Spring 2001'],Unknown,['Starchild Records'],['Nozomi Entertainment'],['Madhouse'],Original,"['Action', 'Adventure', 'Sci-Fi', 'Supernatural']","['Mecha', 'Space']",,25 min. per ep.,PG-13 - Teens 13 or older,6.96,#4553,#7347,"8,202",27,2255,"The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds. With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars! (Source: RightStuf)",[],Gakuen Senki Muryou,Shingu: Secret of the Stellar Wars,,Shingu: Secret of the Stellar Wars,Shingu: Secret of the Stellar Wars,,
47,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,['Comedy'],,El Ninja Boy Rantaró,,
48,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['Comedy'],,Chibi Maruko-chan,['School'],
49,Triangle Session,チャンス　トライアングルセッション,Chance Pop Session,['TV'],13,Finished Airing,"May 21, 2001 to Aug 27, 2001",['Spring 2001'],Mondays at 01:30 (JST),['Avex Entertainment'],['ADV Films'],['Madhouse'],Radio,"['Drama', 'Slice of Life']","['Idols (Female)', 'Music']",,24 min. per ep.,PG-13 - Teens 13 or older,6.44,#7450,#8149,"6,306",15,2174,"This anime is based on a 1999 radio drama about three very different girls: Akari, Yuki and Nozomi; going to see the concert of top pop idol Reika and by going to see this concert their lives are greatly influenced by it. Akari was raised in a very religious background, she is bright and cheerful and a big Reika fan. Yuki is an independent girl who ran away from her home in Hakodate. She is working in the concert hall of Reika's performance. Nozomi is the daughter from a wealthy family in Kobe. She's got one of the VIP seats at the concert. The three girls are so inspired by Reika's performance, that they all enroll in the Akiba music school and endeavor to become pop idols themselves. (Source: AnimeNfo)",[],Chance Triangle Session,Chance Pop Session,,Chance Pop Session,Chance Pop Session,,
50,Princess Comet,Cosmic Baton Girl コメットさん☆,,['TV'],43,Finished Airing,"Apr 1, 2001 to Jan 27, 2002",['Spring 2001'],Sundays at 09:30 (JST),"['Group TAC', 'TV Osaka', 'Yomiko Advertising', 'TOHO']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",,,24 min. per ep.,G - All Ages,7.21,#3332,#8573,"5,612",39,2217,"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince. (Source: ANN)",[],Cosmic Baton Girl Comet-san☆,,,,,,
51,PaRappa the Rapper,パラッパラッパー,,['TV'],30,Finished Airing,"Apr 14, 2001 to Jan 11, 2002",['Spring 2001'],Unknown,"['Aniplex', 'SME Visual Works', 'Fuji TV']","None found,","['J.C.Staff', 'Production I.G']",Game,"['Comedy', 'Fantasy']",,,23 min. per ep.,G - All Ages,6.32,#8176,#8777,"5,258",45,1776,"Parappa is just your ordinary talking dog; he enjoys spending time with his friends, listening to music, and going on adventures. Together with his friends, Parappa gets into many strange situations, all the while learning to navigate through life, get along with his friends, and pine for the girl of his dreams, Sunny Funny. Based on an equally quirky rhythm game, Parappa the Rapper boasts a unique flat style, blasts of color, and a string of strange but charming characters. Among Parappa’s friends are an anthropomorphized blue cat, lamb, and even a flower. Parappa's adventures range from the ordinary to the bizarre. He crosses paths with mischievous baddies, helps resolve questions of friendship and love, and even goes on trips through time itself. Nothing can change Parappa's positive outlook on life.",[],Parappa the Rapper,,,,,,
52,Ask Dr. Rin,Dr.リンにきいてみて！,,['TV'],51,Finished Airing,"Mar 5, 2001 to Feb 25, 2002",['Spring 2001'],Mondays at 18:30 (JST),['Nihon Ad Systems'],"None found,",['Studio Comet'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,['Shoujo'],24 min. per ep.,PG - Children,6.79,#5405,#8941,"5,005",18,1253,"Kanzaki Meirin, a junior high school student, posseses fusui power which can drive away evil spirits away whenever they appeared. She is in fact, the fortune teller Dr. Rin. She is in love with her best friend, soccer club member, Yuuki Asuka. However, Yuuki does not like fortune-telling and superstitious things. (Source: ANN)","['Adaptation (Manga) Dr. Rin ni Kiitemite!', '']",Dr. Rin ni Kiitemite!,,,,,['School'],
