,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
38,瀬戸の花嫁,My Bride is a Mermaid,['TV'],26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",['Spring 2007'],Mondays at 02:00 (JST),"['TV Tokyo', 'Square Enix', 'Sotsu']",['Funimation'],"['Gonzo', 'AIC']",['Manga'],"['Comedy', 'Romance', 'Supernatural']","['Organized Crime', 'Parody', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1410,#762,"337,628","3,003",147531,"During his summer vacation, middle school student Nagasumi Michishio travels to the Seto Inland Sea. One day, while swimming at Mio Sun Beach, his leg suddenly cramps. No one is close enough to notice his desperate screams for help, and so he sinks into the ocean, where he is left to drown alone. Just as he loses consciousness, however, a mermaid appears and saves his life. That night, Nagasumi is visited by his savior, a girl who introduces herself as Sun Seto—a mermaid from a yakuza family. As it turns out, under mermaid law, a mermaid whose identity is revealed to a human must be punished by execution. To avoid this harrowing outcome, the Seto family propose a solution: Nagasumi must marry Sun or die at the hands of Gouzaburou, Sun's father and boss of the Seto clan. Faced with no other option, Nagasumi takes her hand in marriage. Now, the newlyweds face the difficult task of keeping their relationship secret. Between Gouzaburou's unending attempts on Nagasumi's life and the eccentric antics of a slew of antagonists, a genuine and innocent love blossoms between the pair as they adapt to their new life. [Written by MAL Rewrite]","['Sequel (OVA) Seto no Hanayome OVA', 'Adaptation (Manga) Seto no Hanayome']",Seto no Hanayome,The Inland Sea Bride,,['Shounen'],,,,,My Bride is a Mermaid
39,史上最強の弟子 ケンイチ,KenIchi: The Mightiest Disciple,['TV'],50,Finished Airing,"Oct 8, 2006 to Sep 30, 2007",['Fall 2006'],Sundays at 00:55 (JST),"['TV Tokyo', 'Tokyo Movie Shinsha', 'Shogakukan']","['Funimation', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Comedy']","['Martial Arts', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.04,#612,#832,"312,478","3,626",161430,"Whenever he is not getting pummeled in the karate club after school, high schooler Kenichi Shirahama can be found with his head buried in one of the many self-help books he carries with him every day. One day, on the way to school, Kenichi accidentally frightens the new student in his class, leading her to throw him down onto the ground. After apologizing for her violent reflexes, she introduces herself as Miu Furinji and asks Kenichi to be her friend. Later that day, after karate club practice, Kenichi is given an ultimatum by one of the other club members: they will fight next week and the loser has to quit the club permanently. While lamenting his imminent defeat in the upcoming fight, Kenichi witnesses Miu fend off three thugs easily. Fed up with being perpetually bullied by those more powerful than him, he asks Miu for tips on how to become a better fighter. She directs Kenichi to her grandfather's dojo, Ryouzanpaku, where several skilled—albeit strange—masters of extreme martial arts have gathered to hone their abilities. Miu promises that Kenichi will become significantly stronger, but only if he manages to stay alive. With those ominous words looming in his mind and the appearance of a criminal martial arts gang known as ""Ragnarok"" threatening the safety of those around him, Kenichi takes the first step on his journey to become a world-class fighter and a defender of the defenseless. [Written by MAL Rewrite]","['Sequel (OVA) Shijou Saikyou no Deshi Kenichi OVA', 'Adaptation (Manga) Shijou Saikyou no Deshi Kenichi']",Shijou Saikyou no Deshi Kenichi,History's Strongest Disciple Kenichi,,['Shounen'],,,,Kenichi: The Mightiest Disciple,
40,ハヤテのごとく！,Hayate the Combat Butler,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Sundays at 10:00 (JST),"['TV Tokyo', 'Studio Tulip', 'Shogakukan Productions']","['Bandai Entertainment', 'Sentai Filmworks']",['SynergySP'],['Manga'],"['Action', 'Comedy', 'Romance']","['Harem', 'Parody']",24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1976,#1127,"231,544","1,591",99445,"According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt. Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan. Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku! [Written by MAL Rewrite]","['Sequel (OVA) Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!', 'Adaptation (Manga) Hayate no Gotoku!']",Hayate no Gotoku!,Hayate no Gotoku!,,['Shounen'],Hayate the Combat Butler!,,,Hayate the Combat Butler!,Hayate the Combat Butler!
41,精霊の守り人,Moribito - Guardian of the Spirit,['TV'],26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Saturdays at 08:06 (JST),"['Dentsu', 'NHK Enterprises', 'Geneon Entertainment', 'Fonishia']","['VIZ Media', 'Media Blasters', 'Sentai Filmworks', 'Geneon Entertainment USA']",['Production I.G'],Novel,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,8.12,#496,#1155,"225,889","2,801",78642,"On the precipice of a cataclysmic drought, the Star Readers of the Shin Yogo Empire must devise a plan to avoid widespread famine. It is written in ancient myths that the first emperor, along with eight warriors, slew a water demon to avoid a great drought and save the land that was to become Shin Yogo. If a water demon was to appear once more, its death could bring salvation. However, the water demon manifests itself within the body of the emperor's son, Prince Chagum—by the emperor's order, Chagum is to be sacrificed to save the empire. Meanwhile, a mysterious spear-wielding mercenary named Balsa arrives in Shin Yogo on business. After saving Chagum from a thinly veiled assassination attempt, she is tasked by Chagum's mother to protect him from the emperor and his hunters. Bound by a sacred vow she once made, Balsa accepts. Seirei no Moribito follows Balsa as she embarks on her journey to protect Chagum, exploring the beauty of life, nature, family, and the bonds that form between strangers. [Written by MAL Rewrite]","['Adaptation (Manga) Seirei no Moribito', 'Adaptation (Manga) Yami no Moribito', 'Adaptation (Light Novel) Moribito Series', '']",Seirei no Moribito,Guardian of the Sacred Spirit,,,Moribito: Guardian Of The Spirit,,,Guardian of the Spirit,Moribito: Guardíán del Espíritu Sagrado
42,遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3344,#1156,"225,873","1,729",140763,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",,['Shounen'],Yu-Gi-Oh! GX,['Strategy Game'],,,Yu-Gi-Oh! GX
43,ぼくらの,Bokurano,['TV'],24,Finished Airing,"Apr 9, 2007 to Sep 25, 2007",['Spring 2007'],Mondays at 01:30 (JST),"['Sotsu Music Publishing', 'Future Vision Music']",['Discotek Media'],['Gonzo'],['Manga'],"['Action', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological', 'Survival']",23 min. per ep.,R - 17+ (violence & profanity),7.59,#1622,#1302,"196,543","1,201",54782,"As fifteen children at a summer camp enjoy their carefree vacation together, they stumble upon a small cave near the beach. The group finds a mysterious room deep within its caverns, where they meet a strange man who calls himself Kokopelli. The man invites the children to play a game that involves taking turns controlling a robot to protect the Earth against aliens. Thinking it might be an interesting computer game, all but one of the children sign a contract agreeing to play. Later that day, the giant robot appears in person and the children are teleported into its cockpit, where they find Kokopelli, who pilots a fight against a similar robotic creature that has appeared nearby. After winning the battle, Kokopelli tries to apologize but is interrupted as the children are teleported back to the ground in the midst of the carnage. As the bewilderment following the fight settles, the robot suddenly disappears and the children are left scared and confused. Despite seeming like a harmless game at first, the children never anticipated the stakes of this game and how their pasts would intertwine with their decisions going forward. [Written by MAL Rewrite]","['Adaptation (Manga) Bokurano', '']",Bokura no,Bokurano: Ours,,['Seinen'],,,,,Bokurano
44,アイシールド21,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.91,#798,#1355,"189,270","2,064",91279,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,Eyeshield21,['Sports'],['Shounen'],,['Team Sports'],,,
45,ロミオ×ジュリエット,Romeo x Juliet,['TV'],24,Finished Airing,"Apr 5, 2007 to Sep 26, 2007",['Spring 2007'],Thursdays at 01:45 (JST),"['GDH', 'Kadokawa Shoten', 'CBC Television', 'SKY Perfect Well Think', 'Happinet Pictures', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],Book,"['Drama', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1673,#1365,"188,201","1,196",76305,"On the floating continent of Neo Verona, the Montague family slaughters the entire Capulet family and seizes control of the kingdom. The true heir to the throne, Juliet Fiammata Asto Capulet, manages to escape the onslaught and is hidden away by loyalists for 14 years with hope that she may one day overthrow the cruel Montague regime. Despite having forgotten the murder of her entire family, Juliet now secretly protects the oppressed citizens of Neo Verona as a vigilante called the Red Whirlwind. During one of her escapades she meets Romeo Candorebanto Montague, the kind and selfless son of the tyrannical Prince Laertes Montague, and without knowledge of each other's background, they both fall in love at first sight. Unfortunately, however, their destiny is a cursed one: not only does each of the two families wish to obliterate the other, but an ancient secret hidden beneath Neo Verona also threatens their undying love for each other. Will they be able to defy the stars, or is this truly a love that can never be? [Written by MAL Rewrite]","['Adaptation (Manga) Romeo x Juliet Read Manga', '']",Romeo x Juliet,RomeoxJuliet,,,,['Historical'],,,
46,ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,205",537,94734,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",,['Kids'],Pokémon Diamond and Pearl,,,Pokémon: Diamant und Perl,Pokémon Diamond and Pearl
47,電脳コイル,Den-noh Coil,['TV'],26,Finished Airing,"May 12, 2007 to Dec 1, 2007",['Spring 2007'],Unknown,"['Bandai Visual', 'NHK', 'Tokuma Shoten']",['Maiden Japan'],['Madhouse'],Original,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",,25 min. per ep.,G - All Ages,8.02,#640,#1631,"152,185","1,666",44951,"In the near future, augmented reality has become a key part of daily life. A gentle middle school girl named Yuuko ""Yasako"" Okonogi and her family have just moved to Daikoku City despite rumors of people disappearing. There, her grandmother, nicknamed ""Mega-baa,"" runs a shop called Megasia that specializes in illegal tools which interact with parts of the virtual world. Mega-baa also hosts an unofficial detective agency called ""Coil,"" a group of children around Yasako's age who find and handle corruption of the virtual world. Yasako gets involved with the group when Fumie Hashimoto, a playful member of Coil, helps rescue her cyberdog Densuke after getting trapped in virtual space while chasing a mysterious virus. Also investigating these corruptions and viruses is an abrasive hacker named Yuuko Amasawa, who the others take to calling Isako. Can Coil discover the truths behind the mysterious viruses and corruption, and if they can, at what cost? [Written by MAL Rewrite]","['Adaptation (Light Novel) Dennou Coil', 'Adaptation (Manga) Dennou Coil']",Dennou Coil,"Cyber Coil, Coil - A Circle of Children, Denno Coil",,,Dennoh Coil,,,,
48,ヒロイック・エイジ,Heroic Age,['TV'],26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",['Spring 2007'],Mondays at 01:30 (JST),['Starchild Records'],['Funimation'],['Xebec'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#2017,"115,349",656,48101,"When the Golden Race invited other races to join them in the stars, three sentient races answered their call. The Goldens called them the Bronze, Silver and Heroic Tribes. Just before the Gold Tribe left to travel to another Universe, a fourth race appeared, traveling to the stars on their own accomplishments. The Golds named the human race the Iron Tribe. During the passing of time, humanity suffers at the hands of the more dominant races and is now facing extinction. Following a prophecy left by the Gold Tribe, Princess Deianeira sets out to search for the powerful being who might be able to save humankind. She meets a wild haired boy on an abandoned planet—a fateful encounter that will not only change the fortunes of Humanity, but also the fate of the universe. (Source: AniDB)","['Adaptation (Manga) Heroic Age', '']",Heroic Age,,,,,,,,
49,結界師,Kekkaishi,['TV'],52,Finished Airing,"Oct 16, 2006 to Feb 5, 2008",['Fall 2006'],Mondays at 19:00 (JST),"['Yomiuri Telecasting', 'Tohokushinsha Film Corporation']","['VIZ Media', 'Discotek Media']",['Sunrise'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.59,#1612,#2031,"114,463",626,51481,"Yoshimura Sumimura comes from a long line of ""Kekkaishi,"" individuals who have supernatural abilities and are able to destroy evil creatures called Ayakashi that venture into the human realm from time to time. The Ayakashi are demons that look to feast on the power emanating from the land of Karasumori, which also happens to be where Yoshimura's high school is located. Now, Yoshimura must fight to protect his beloved school and hometown. Although, if it were up to him, he would rather be baking cakes than fighting off the ugly characters that show up at night. Thankfully, Yoshimura isn't the only one helping to keep the baddies at bay. His childhood friend and neighbor, Tokine Yukimura, joins him in this righteous battle. Despite the fact that they are from rival clans, these two make a fantastic team. And teamwork is something vital to fighting the evil that is closing in, as the Ayakashi attack in waves, looking to claim the land as their own, and a shadowy organization looks on, ready to pounce when the time is right...","['Adaptation (Manga) Kekkaishi', '']",Kekkaishi,Barrier Master,,['Shounen'],,['Mythology'],,,Kekkaishi
50,爆丸バトルブローラーズ,,['TV'],52,Finished Airing,"Apr 5, 2007 to Mar 27, 2008",['Spring 2007'],Thursdays at 17:30 (JST),['Nelvana'],['Warner Bros. Pictures'],['TMS Entertainment'],Original,"['Action', 'Fantasy']",,24 min. per ep.,PG - Children,6.47,#7236,#2039,"113,871",459,70775,"Mysterious cards came down from the sky one day. Capable of summoning powerful creatures from another dimension, they became the centerpiece of a new game called Bakugan. The game gained instant popularity among children and teenagers, with the best of them competing in a worldwide ranking. Meanwhile, war for domination over Vestroia, the homeland of Bakugan cards, rages on. Invaded by the White Dragon Naga and his servants, the Doom Beings, the realm becomes increasingly destabilized. Dimensions begin to merge and many Bakugan players come to realize that their pastime is not merely a game. Danma Kuusou, one such Bakugan player, intends to become the World Ranking's leader someday. However, during one of his fights he experiences a vision of a clash in Vestroia. The fight suddenly moves to Earth, where Danma comes into possession of a talking, mighty fire Bakugan, Pyrus Dragonoid. He soon gets dragged into the conflict, and together with his Bakugan Brawlers team, must traverse the dimensions and restore balance in a ravaged world. [Written by MAL Rewrite]","['Sequel (TV) Bakugan Battle Brawlers: New Vestroia', '']",Bakugan Battle Brawlers,,,,,['Strategy Game'],,,
51,ながされて藍蘭島,,['TV'],26,Finished Airing,"Apr 5, 2007 to Sep 27, 2007",['Spring 2007'],Thursdays at 01:20 (JST),['Square Enix'],['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.21,#3295,#2136,"105,738",411,45892,"Ikuto Touhohin just had a fight with his old man, one that led him to make a rash decision to run away from home. He boards a ship, deciding to take a vacation, but the ship is suddenly hit by a huge storm—one that sends Ikuto overboard! When he regains consciousness, he realizes he is still alive on some island. An isolated island. An isolated island with nothing but girls. Beautiful girls. Stranded on an island with only girls, no electricity, gas, radio, television, like he was back in the stone age. (Source: AniDB)","['Adaptation (Manga) Nagasarete Airantou', '']",Nagasarete Airantou,"Drift off to Blue Orchid Island, Casted Away - Airan Island",,['Shounen'],,['Harem'],,,Nagasarete Airanto
52,おおきく振りかぶって,Big Windup!,['TV'],25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,"['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']",['Funimation'],['A-1 Pictures'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.87,#883,#2177,"103,144","1,745",42134,"Ren Mihashi was the ace of his middle school's baseball team, but due to his poor pitching, they could never win. Constant losses eventually lead to his teammates bullying him and reached the point where his teammates no longer tried to win, causing Mihashi to graduate with little self-esteem. As a result, Mihashi decides to go to a high school in a different prefecture where he has no intention of playing baseball. Unfortunately, upon his arrival at Nishiura High, he is dragged into joining their new team as the starting pitcher. Although unwilling at first, Mihashi realizes that this is a place where he will be accepted for who he is; with help from the catcher Takaya Abe, he starts to have more confidence in his own abilities. Abe, seeing the potential in Mihashi, makes it a goal to help him become a pitcher worthy of being called an ace. [Written by MAL Rewrite]","['Sequel (TV) Ookiku Furikabutte: Natsu no Taikai-hen', 'Adaptation (Manga) Ookiku Furikabutte']",Ookiku Furikabutte,"Oofuri, Ohkiku Furikabutte, Swing Big!",['Sports'],['Seinen'],,['Team Sports'],,,
53,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1050,#2402,"88,073","1,330",42190,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,['Seinen'],,['School'],,Shin Chan,Shin Chan
54,怪物王女,Princess Resurrection,['TV'],25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",['Spring 2007'],Fridays at 01:55 (JST),"['Imagin', 'Lantis', 'Index', 'Universal Pictures Japan']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],['Manga'],"['Action', 'Comedy', 'Horror', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.96,#4547,#2482,"83,830",216,30323,"When Hiro Hiyorimi tries to save a beautiful young woman from certain death, he ends up a dead hero himself! However, since the drop-dead girl is Hime, daughter of the King of the Monsters, his ""reward"" is to come back as a not-quite-living soldier in her honor guard of horror! That means helping fight off the army of supernatural monstrosities Hime's siblings are unleashing against her in hopes of moving up the ladder of succession. And if facing off with vampires and zombies isn't bad enough, how can anyone be prepared for the REALLY weird ones, like were-sharks, pandas and killer dumplings? This sure as hell isn't the afterlife Hiro was hoping for, but the really sad part is that Hime is the good girl in all of this... or at least as close to good as you can come when you're on the wrong side of the gates of hell! (Source: RightStuf)","['Sequel (Special) Kaibutsu Oujo: Konsui Oujo', 'Adaptation (Manga) Kaibutsu Oujo Read Manga']",Kaibutsu Oujo,"Kaibutsu Ohjo, Monster Princess",,['Shounen'],,['Vampire'],,,
55,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,338","1,281",35925,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,,['Shounen'],,['Parody'],,,
56,地球へ…,Toward the Terra (TV),['TV'],24,Finished Airing,"Apr 7, 2007 to Sep 22, 2007",['Spring 2007'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'SKY Perfect Well Think']",['Bandai Entertainment'],"['Tokyo Kids', 'Minami Machi Bugyousho']",['Manga'],"['Action', 'Drama', 'Sci-Fi']","['Military', 'Space', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.85,#926,#2912,"63,947",841,19202,"When humanity realized that the Earth, or Terra, had been polluted beyond fixing, the planet's governments united under a unique authoritarian system named Superior Domination (SD) and started to colonize space. Centuries later, mankind has given up its freedom in favor of the AI Grand Mother; when someone reaches the age of 14, their memories are wiped and they are automatically assigned a new role in society. Jomy Marquis Shin, a sensitive young man raised by loving parents, is saved from this grim fate by Soldier Blue, the current leader of the Mu race—a new species of human beings blessed with psychic abilities. However, in the eyes of SD, the existence of people like Jomy threatens the new paradigm of humanity. Hunted down by the hounds of the government, Jomy finds solace in the welcoming arms of the Mu, who hide aboard the spaceship Shangri-La. Now the leader of the Mu resistance years later, Jomy embarks on a journey toward Terra to escape from SD's manhunt led by Keith Anyan, an ambitious and ruthless rising star of humanity. Will Jomy and his people manage to reach the cradle of humanity before Keith destroys their last hope? [Written by MAL Rewrite]","['Adaptation (Manga) Terra e...', '']",Terra e... (TV),"Terra e... (2007), Terra he..., Chikyuu he..., Towards the Terra...",,['Shounen'],,,,,
57,エル・カザド,El Cazador de la Bruja,['TV'],26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",['Spring 2007'],Tuesdays at 01:30 (JST),['Victor Entertainment'],['Funimation'],['Bee Train'],Original,"['Adventure', 'Drama', 'Mystery']",,24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3380,#3089,"57,266",265,19076,"Nadie is a bounty hunter with an attitude, and she's got a lock on her next target: Ellis, a young amnesiac girl who is a suspect in the murder of a famous scientist. Nadie manages to apprehend Ellis, but on a whim, decides to accompany her to Wiñay Marka, a place which supposedly holds the key to unlocking Ellis's memories and her mysterious past. However, Nadie cautions Ellis that this does not mean she will go free—once Ellis has found what she is looking for, Nadie will turn her over to the authorities. With Ellis's connection to a gemstone called the Inca Rose as their only guide, the two set off on their journey south through Mexico to search for the mysterious ""Eternal City"" of Wiñay Marka. [Written by MAL Rewrite]","['Adaptation (Manga) El Cazador', '']",El Cazador de la Bruja,"El Cazador, The Witch Hunter",,,,,,,
58,ブルー・ドラゴン,,['TV'],51,Finished Airing,"Apr 7, 2007 to Mar 29, 2008",['Spring 2007'],Saturdays at 09:00 (JST),['Pony Canyon'],['VIZ Media'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,6.40,#7688,#3095,"57,048",116,29236,"As Shu's village was being attacked by an unknown enemy, he and his friends, Jiro and Kluke decide to defend their home. They soon meet warrior Zola and receive the powers of Shadow, an ability that let's them transform their shadow into a powerful monster. Shu receives one of the most powerful monsters, Blue Dragon, and they all set out to defeat their enemy. (Source: ANN)","['Sequel (TV) Blue Dragon: Tenkai no Shichi Ryuu', '']",Blue Dragon,,,,,,,,
