,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Genre,Spanish,Demographics
44,"07 Ghost, Seven Ghost, 7 Ghosts, The Seven Ghosts",セブンゴースト,07-Ghost,['TV'],25,Finished Airing,"Apr 7, 2009 to Sep 22, 2009",['Spring 2009'],Tuesdays at 01:40 (JST),['Ichijinsha'],['Discotek Media'],['Studio Deen'],['Manga'],"['Action', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.18,#3481,#1196,"217,031","2,097",106373,"Barsburg Empire's Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called ""Zaiphon"" to fight, while the types of Zaiphon usable depends on the nature of the soldier. Teito Klein, a student at the academy, is one of the most promising soldiers produced. Although ridiculed by everyone for being a sklave (German for slave) with no memories of his past, he is befriended by a fellow student called Mikage. While preparing for the final exam, Teito uncovers a dark secret related to his past. When an attempt to assassinate Ayanami, a high-ranking official who killed his father, fails, Teito is locked away awaiting punishment. Only wanting the best for Teito, Mikage helps him escape. Teito ends up at the 7th District Church where he is taken in by the bishops. It is here that Teito attempts to evade the grasp of Ayanami and the Military, so he can rediscover his memories and learn why he is the person that can change the fate of the world. [Written by MAL Rewrite]","['Adaptation (Manga) 07-Ghost', '']",07-Ghost,,,"['Military', 'Mythology']",['Josei'],,,
45,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,178",537,94722,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,Pokémon: Diamant und Perl,Pokémon Diamond and Pearl,,['Kids'],,Pokémon Diamond and Pearl,
46,"Yuu Gi Ou: Duel Monsters 5DS, Yugioh 5 D's",遊☆戯☆王5D's（ファイブディーズ）,Yu-Gi-Oh! 5D's,['TV'],154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",['Spring 2008'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],,['Strategy Game'],24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#1667,"147,902","1,636",85918,"Yuusei Fudou is out to get back what was stolen from him. The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City. In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', ""Adaptation (Manga) Yu☆Gi☆Oh! 5D's""]",Yu☆Gi☆Oh! 5D's,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,,['Shounen'],['Action'],Yu-Gi-Oh! 5D's,
47,Battlefield Valkyria: Gallian Chronicles,戦場のヴァルキュリア,Valkyria Chronicles,['TV'],26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",['Spring 2009'],Sundays at 01:35 (JST),"['Aniplex', 'Sega', 'Sakura Create']","None found,",['A-1 Pictures'],Game,"['Action', 'Romance']",['Military'],24 min. per ep.,PG-13 - Teens 13 or older,7.56,#1733,#1788,"134,729",613,55985,"In its expansion west to gain resources, the Europan Imperial Alliance invades the neutral Principality of Gallia, seeking to take control of its vast Ragnite deposits. Their strategic advantage, technological superiority, and military might make opposition nonexistent, so they steamroll through the border of the sleepy principality with ease. As Imperial forces run through his quiet hometown, Welkin Gunther and his younger sister Isara jump into action, banding with the leader of the local militia to push the occupational forces out of the village. Quickly retreating to the Gallian capital, they are organized into a unit with the remnants of the militia, tasked with assisting in repelling the Imperial presence from the country. Though unfamiliar with war, the newly formed Squad Seven must defend their country from annexation. But as the battle rages on through the streets of Gallia, ancient secrets will bring the team closer than they'd ever anticipated. [Written by MAL Rewrite]","['Adaptation (Manga) Senjou no Valkyria: Gallian Chronicles', '']",Senjou no Valkyria,,,,,,,
48,,クロスゲーム,Cross Game,['TV'],50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Drama', 'Romance', 'Sports']",,23 min. per ep.,PG-13 - Teens 13 or older,8.37,#219,#1861,"128,199","3,061",52312,"Kou Kitamura and Aoba Tsukishima are often at odds—even though their families happen to be close friends and business partners. Although the only child of a sports shop owner, Kou has never been interested in playing baseball. Despite this, he possesses an impressive batting ability honed by frequent visits to the local baseball batting center run by the Tsukishima family. On the other hand, Aoba loves to play baseball and is a star player with exceptional pitching form. However, these two seemingly complete opposites share something very important to them—Wakaba Tsukishima, Aoba's older sister and Kou's destined sweetheart. Admired by the quarrelsome duo, Wakaba often finds herself the catalyst to their never-ending rivalry. But whether or not they realize that they have more in common than either would care to admit, only time will tell. The game of baseball may just be what the pair needs to ultimately overcome their own personal struggles. [Written by MAL Rewrite]","['Adaptation (Manga) Cross Game', '']",Cross Game,,,"['School', 'Team Sports']",['Shounen'],,,
49,Hayate the Combat Butler Season 2,ハヤテのごとく!!,Hayate the Combat Butler!!,['TV'],25,Finished Airing,"Apr 4, 2009 to Sep 19, 2009",['Spring 2009'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Action', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1405,#1985,"117,677",462,58293,"Hayate Ayasaki's misfortune continues to hand him the short end of the stick. Now settled into his routine at the Sanzenins' mansion and Hakuou Academy, the butler continues to work as hard as ever in caring for his young mistress Nagi while studying the school's grueling curriculum—all on top of trying his best to survive the multitude of troubles that life relentlessly pushes onto him. The unintentional chick magnet's life is far from quiet, forced to deal not only with Nagi's yet unnoticed infatuation with him, but also the evergrowing string of accidentally seduced girls—most notably, the exceptionally plain Ayumu Nishizawa, a friend of his before he became a butler, and the diligent Hinagiku Katsura, Hakuou's student council president. While one struggles to gain his affection and the other desperately tries to deny her own, both the girls are going to make the boy's life a little more complicated than it already is. [Written by MAL Rewrite]","['Prequel (OVA) Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!', 'Sequel (Movie) Hayate no Gotoku! Heaven Is a Place on Earth', 'Adaptation (Manga) Hayate no Gotoku!', '']",Hayate no Gotoku!!,Hayate the Combat Butler! Season 2,Hayate the Combat Butler Saison 2,"['Harem', 'Parody']",['Shounen'],,Hayate the Combat Butler! Temporada 2,
50,"Shugo Chara Ninenme, Shugo Chara! Second Year",しゅごキャラ！！どきっ,Shugo Chara!! Doki,['TV'],51,Finished Airing,"Oct 4, 2008 to Sep 25, 2009",['Fall 2008'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Satelight'],['Manga'],,,24 min. per ep.,PG - Children,7.42,#2271,#2127,"106,390",586,56447,"Amu Hinamori and the Seiyo Elementary Guardians continue their quest to seek out and purify X Eggs while in pursuit of the elusive Embryo—an egg said to be able to grant any wish. However, the Guardians must secure the Embryo before it falls into the hands of the nefarious Easter Corporation. As part of their plan to lure out the Embryo, Easter hires Lulu de Morcerf, an aloof girl whose ruby necklace gives her the ability to convert Heart Eggs into Mystery Eggs. These strange Mystery Eggs cannot be purified as easily as X Eggs, and they can force its owner to undergo a Character Transformation. With this growing threat, the Guardians must track down its source and put a stop to them before the matter gets out of hand. Facing insurmountable pressure from these two new objectives, will the Guardians be able to recover the Embryo while also dealing with the Mystery Eggs? [Written by MAL Rewrite]","['Prequel (TV) Shugo Chara!', 'Sequel (TV) Shugo Chara! Party!', 'Adaptation (Manga) Shugo Chara!', '']",Shugo Chara!! Doki,,,"['Mahou Shoujo', 'School']",['Shoujo'],['Comedy'],,
51,,メタルファイト ベイブレード,Beyblade: Metal Fusion,['TV'],51,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['Tatsunoko Production'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,25 min. per ep.,PG - Children,6.92,#4744,#2228,"99,250",482,64847,"A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula’s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that’s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade. (Source: Beyblade.com)","['Sequel (TV) Metal Fight Beyblade: Baku', 'Adaptation (Manga) Metal Fight Beyblade']",Metal Fight Beyblade,Bayblade Metal Fusion,Bayblade Metal Fusion,,['Kids'],,Beyblade: Metal Fusion,
52,,咲-Saki-,,['TV'],25,Finished Airing,"Apr 6, 2009 to Sep 28, 2009",['Spring 2009'],Mondays at 02:00 (JST),"['TV Tokyo', 'Square Enix', 'Sotsu', 'Lantis', 'Pony Canyon', 'KlockWorx', 'TV Tokyo Music', 'Kiyosumi High School Mahjong Club', 'Sotsu Music Publishing', 'Future Vision Music']","None found,","['Gonzo', 'Picture Magic']",['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.45,#2148,#2272,"96,914",841,39045,"Due to childhood circumstances, first-year high school student Saki Miyanaga hates anything related to mahjong. When she does play the game, she keeps a low profile to avoid standing out. One day, her friend Kyoutarou Suga drags her along to the school's mahjong club. There, she meets Nodoka Haramura, the champion of the previous year's national middle school mahjong championship, and Yuuki Kataoka, a fellow club member. As the club play a few rounds, Saki attempts to hide her talent. However, the club president, Hisa Takei, notices Saki's unusual playstyle. Realizing her potential, she puts Saki's real ability to the test—proving her to be more talented than expected. This revelation damages Nodoka's pride, and their relationship gets off to a rocky start. Saki ends up joining the club, and after clearing up the misunderstandings between her and Nodoka, friendship blooms between them. As Saki slowly warms up to mahjong once again, she and the rest of her club only have one goal—to win nationals! [Written by MAL Rewrite]","['Sequel (TV) Saki: Zenkoku-hen', 'Adaptation (Manga) Saki']",Saki,,,"['School', 'Strategy Game']",['Seinen'],['Slice of Life'],,
53,"Kemono no Soujya Erin, Kemono no Sou-ja Erin",獣の奏者エリン,The Beast Player Erin,['TV'],50,Finished Airing,"Jan 10, 2009 to Dec 26, 2009",['Winter 2009'],Saturdays at 18:25 (JST),['NHK'],"None found,","['Production I.G', 'Trans Arts']",Novel,"['Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.30,#285,#2376,"89,741","1,500",22030,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war. Within Ake, a village in Tai-Kou tasked with raising the Grand Duke's army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village's head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou. Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating. [Written by MAL Rewrite]","['Adaptation (Manga) Kemono no Souja', 'Adaptation (Novel) Kemono no Souja']",Kemono no Souja Erin,Erin,Erin,,,,Erin,
54,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,067","1,330",42189,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,,['Seinen'],,Shin Chan,
55,,ティアーズ・トゥ・ティアラ,Tears to Tiara,['TV'],26,Finished Airing,"Apr 6, 2009 to Sep 28, 2009",['Spring 2009'],Unknown,"['Dwango', 'Bushiroad', 'Showgate', 'Good Smile Company']",['Sentai Filmworks'],['White Fox'],Visual novel,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3712,#2536,"81,060",179,31755,"As the Holy Empire rises to power, the neighboring lands begin to gradually fall under its control. The Empire's conquest eventually reaches the small island of Erin, home to the Gael tribe. There, a priestess named Riannon is kidnapped to be offered as a living sacrifice to the demon king Arawn, a malevolent being rumored to have caused untold destruction in the past. Riannon's brother, First Warrior Arthur, rescues her, when Arawn suddenly materializes before them as a handsome grey-haired man. Hiding his true identity and remaining enigmatic, Arawn pledges his power and leadership to the tribe's cause and joins Arthur, Riannon, and their merry band of friends—including a talented swordsman, an agile hunter, and a group of ecstatic pixies—as they fight back against the Empire, while uncovering the dark secrets of the land along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Tears to Tiara: Kakan no Daichi', '']",Tears to Tiara,,,,,,,
56,Sergeant Frog,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Parody'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,,['Shounen'],,,
57,,花咲ける青少年,Hanasakeru Seishonen,['TV'],39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",['Spring 2009'],Sundays at 23:01 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Pierrot'],['Manga'],"['Drama', 'Romance']",['Reverse Harem'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1331,#2742,"71,312",608,26937,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride. Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.","['Adaptation (Manga) Hanasakeru Seishounen', '']",Hanasakeru Seishounen,Hanasakeru Seishonen,Hanasakeru Seishonen,,['Shoujo'],,Hanasakeru Seishonen,
58,,シャングリ・ラ,Shangri-La,['TV'],24,Finished Airing,"Apr 6, 2009 to Sep 14, 2009",['Spring 2009'],Mondays at 00:00 (JST),"['NTT Docomo', 'Atelier Musa']",['Funimation'],['Gonzo'],Novel,"['Action', 'Drama', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4171,#2860,"66,237",145,21011,"In a post-apocalyptic society, much of earthquake-riddled Japan has been left to ruin, resulting in an abundance of greenery. Governments manage much of the world's emissions, resulting in a massive class divide and economic disparity. The Japanese government launches ""Project Atlas,"" a utopian city that will replace Tokyo but can only fit a certain amount of people. This limitation means that some people will have to live outside the city in jungles, as refugees. However, with any flawed plan comes those who are willing to challenge it. These include Kuniko Houjou, an heir to a renegade town; Mikuni, a mysterious and powerful child kept in a secret temple; Kunihito Kusanagi, a soldier for the high-tech and exclusive monopoly Atlas; Karin Ishida, a genius economics whiz with her hand in markets across the world; and the villainous Ryouko Naruse, leading Atlas in its domination of this future world. Can this group of rebels, forming a movement known as ""Metal-Age,"" band together to demonstrate that inclusion and teamwork prevail over cruel segregation? [Written by MAL Rewrite]","['Adaptation (Manga) Shangri-La', '']",Shangri-La,,,,,,,
59,,バスカッシュ！,,['TV'],26,Finished Airing,"Apr 3, 2009 to Oct 2, 2009",['Spring 2009'],Fridays at 01:25 (JST),['Mainichi Broadcasting System'],['Maiden Japan'],['Satelight'],Original,"['Sci-Fi', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,7.19,#3408,#3370,"48,390",186,18812,"On the planet Earthdash, its inhabitants gaze on its moon and the technologically advanced lunar city of Mooneyes with awe. Dan JD, a boy living in Rollingtown on Earthdash's surface, gets caught up in Bigfoot Basketball—a fast-paced sport played with giant Bigfoot robots. (Source: AniDB)","['Adaptation (Manga) Basquash!', '']",Basquash!,,,"['Mecha', 'Team Sports']",,,,
60,,グイン・サーガ,,['TV'],26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",['Spring 2009'],Sundays at 23:29 (JST),"['Aniplex', 'BIGLOBE', 'Hayakawa Shobou']",['Sentai Filmworks'],['Satelight'],['Light novel'],"['Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.15,#3655,#3502,"45,629",132,15976,"He awakens in the dark forest of a mythical land with some type of leopard mask that he cannot remove. The only thing he remembers is his name—Guin—and that he is a warrior of unimaginable power. And when the two twins of Parros, innocent victims of a civil war arrive, Guin knows what he must do. But the journey to save the children means much more than just slaughtering a few hundred well-trained Mongoul soldiers. Victory means he must battle magical desert tribes, assemble forces that have fought each other for hundreds of hears, and divine a mysterious plan that he is central to. Prepare for a sweeping anime epic of mystery and magic! Of violent clashes and dark double-crosses. Ready yourself for the battle with Guin Saga. (Source: Sentai Filmworks, edited)","['Adaptation (Light Novel) Guin Saga', '']",Guin Saga,,,,,,,
61,"Chii's Sweet Home 2, Chi's Sweet Home: A New Home",チーズスイートホーム あたらしいおうち,Chi's New Address,['TV'],104,Finished Airing,"Mar 30, 2009 to Sep 24, 2009",['Spring 2009'],Not scheduled once per week,"None found,",['Discotek Media'],['Madhouse'],['Manga'],,['Pets'],3 min. per ep.,G - All Ages,7.71,#1257,#4211,"31,362",111,12763,"The Yamadas and Chi move to a new apartment house, where keeping a pet is allowed.","[""Prequel (TV) Chi's Sweet Home"", ""Sequel (OVA) Chi's Sweet Home: Chi to Kocchi, Deau."", ""Adaptation (Manga) Chi's Sweet Home"", '']",Chi's Sweet Home: Atarashii Ouchi,Chi's Sweet Home: Chi's New Address,Chi's Sweet Home: Chi's New Address,,['Seinen'],['Slice of Life'],Chi's Sweet Home: Chi's New Address,
62,,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Anthropomorphic'],25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,,,"['Kids', 'Shounen']"
63,Soten Koro,蒼天航路,Beyond the Heavens,['TV'],26,Finished Airing,"Apr 8, 2009 to Sep 30, 2009",['Spring 2009'],Unknown,['VAP'],"None found,",['Madhouse'],['Manga'],"['Action', 'Adventure']",['Historical'],23 min. per ep.,R+ - Mild Nudity,7.20,#3380,#5177,"19,658",50,4549,"Souten Kouro's story is based loosely on the events taking place in Three Kingdoms period of China during the life of the last Chancellor of the Eastern Han Dynasty, Cao Cao (155 – March 15, 220), who also serves as the main character. The Three Kingdoms period has been a popular theme in Japanese manga for decades, but Souten Kouro differs greatly from most of the others on several points. One significant difference is its highly positive portrayal of its main character, Cao Cao, who is traditionally the antagonist in not only Japanese manga, but also most novel versions of the Three Kingdoms period, including the original 14th century version, Romance of the Three Kingdoms by Luo Guanzhong. Another significant difference from others is that the storyline primarily uses the original historical account of the era, Records of Three Kingdoms by Chen Shou, as a reference rather than the aforementioned Romance of the Three Kingdoms novel. By this, the traditional hero of Romance of the Three Kingdoms, Liu Bei, takes on relatively less importance within the story and is portrayed in a less positive light. Yet, several aspects of the story are in fact based on the novel version, including the employment of its original characters such as Diao Chan, as well as anachronistic weapons such as Guan Yu's Green Dragon Crescent Blade and Zhang Fei's Viper Blade. A consistent theme throughout the story is Cao Cao's perpetual desire to break China and its people away from its old systems and ways of thinking and initiate a focus on pragmatism over empty ideals. This often puts him at odds with the prevalent customs and notions of Confucianism and those that support them. (Source: Wikipedia)","['Adaptation (Manga) Souten Kouro', '']",Souten Kouro,,,,,,,
64,Fresh Pretty Cure!,フレッシュプリキュア！,,['TV'],50,Finished Airing,"Feb 1, 2009 to Jan 30, 2010",['Winter 2009'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",['Mahou Shoujo'],25 min. per ep.,G - All Ages,7.38,#2449,#5319,"18,434",176,7448,"Love Momozono is a 14-year-old student at Yotsuba Junior Highschool that tends to care more for others than for herself. One day she visits a show of the famous dance unit ""Trinity"" and decides to become a dancer, too. On the same event, subordinates of the Labyrinth Kingdom show up who want to collect the unhappiness of the audience. Love gets the power to change into Cure Peach and fights them. Soon after, she is joined by her good friends Miki, who is Cure Berry, and Inori, who becomes Cure Pine. (Source: ANN)","['Adaptation (Manga) Fresh Precure!', '']",Fresh Precure!,,,,,,,
65,"Slap Up Party Arad Senki, Dungeon & Fighter - The Animation, Dungeon & Fighter - Arad Senki",アラド戦記 ～スラップアップパーティー～,,['TV'],26,Finished Airing,"Apr 4, 2009 to Sep 26, 2009",['Spring 2009'],Saturdays at 02:45 (JST),"['Studio Mausu', 'Sotsu Music Publishing', 'Future Vision Music']","None found,",['Gonzo'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.67,#6086,#5408,"17,537",32,6270,"The anime will follow the adventures of Baron, a man living on continent of Arad in the year 981 after ""the cursed light of Kazan"" has fallen across the land. Thanks to the curse, one of his arms has become possessed. After finding a sword that has been possessed by the spirit Roxy, he embarks on a quest to unravel the secret of the curse and meets various people who also join his party. (Source: ANN)","['Adaptation (Manga) Arad Senki: Slap Up Party', '']",Arad Senki: Slap Up Party,,,,,,,
