,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Themes,Demographics
122,Panpaka Pantsu W-O-New!,パンパカパンツ WおNEW！,,['TV'],26,Finished Airing,"Apr 2, 2016 to Oct 15, 2016",['Spring 2016'],Saturdays at 05:25 (JST),['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,5 min. per ep.,G - All Ages,[],#20952,#17628,449,0,,Sequel to Panpaka Pants O-New!. It follows a young underwear-wearing pig and his adventures.,"['Prequel (TV) Panpaka Pants O-New!', 'Sequel (TV) Panpaka Pants O New-san']",Panpaka Pants W-O-New!,,,,,['Kids'],['Comedy'],,
123,,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,1 min. per ep.,G - All Ages,[],#14949,#17784,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,,,['Kids'],['Comedy'],,
124,,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,1 min.,G - All Ages,[],#20936,#18315,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,['Kids'],,,
125,Wasimo 4,わしも-wasimo-(第4シリーズ),,['TV'],44,Finished Airing,"Apr 4, 2016 to Sep 13, 2016",['Spring 2016'],Mondays at 18:00 (JST),"None found,","None found,",['Studio Deen'],Picture book,"['Comedy', 'Sci-Fi', 'Slice of Life']",10 min. per ep.,G - All Ages,[],#15259,#18700,366,0,,Fourth season of the Washimo series.,"['Prequel (TV) Washimo 3rd Season', 'Sequel (TV) Washimo 5th Season']",Washimo 4th Season,,,,['School'],['Kids'],,,
126,Mzmz18,ムズムズエイティーン,,['TV'],20,Finished Airing,"May 3, 2016 to Jan 14, 2017",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,,2 min. per ep.,G - All Ages,[],#20497,#19188,333,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Muzumuzu Eighteen,,,,,,['Slice of Life'],,
127,GG Bond 11,猪猪侠 光明守卫者,GG Bond Season 11,['TV'],52,Finished Airing,"Apr 29, 2016 to Aug 24, 2016",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,,15 min. per ep.,G - All Ages,[],#16363,#19609,307,0,,"Twin City, as legend has it, is an evil city which was born at the time when Crystal City was created. There is a mirror-like lake above the city which has a horrifying power. It enables people to face the darkest side deep within their hearts. This darkness manifests as the person's opposite. The heroes must send these malicious beings back to their realm before they tear Crystal City apart.","['Prequel (TV) Zhu Zhu Xia: Wu Ling Shou Wei Zhe', 'Sequel (TV) Zhu Zhu Xia: Meng Xiang Shou Wei Zhe']",Zhu Zhu Xia: Guang Ming Shou Wei Zhe,,,,['Super Power'],['Kids'],['Sci-Fi'],,
128,Dan Dan Xiaozi,캡슐보이,Capsule Hero,['TV'],26,Finished Airing,"May 15, 2016 to Dec 2, 2016",['Spring 2016'],Fridays at 14:30 (JST),"None found,","None found,","None found,",Original,,24 min. per ep.,G - All Ages,[],#17139,#19778,295,0,,6.5-centimeter tall Degirdians fall to Earth in their spacecraft while chasing fugitives. Their spaceship transforms into a capsule toy stand near a toy store and a human boy accidentally takes home one of the aliens thinking it's a capsule toy. They befriend a human boy and try to figure out a way to get home all while fighting off the evil alien.,"['Sequel (TV) Capsule Boy 2: Ujuleul Jikyeola', '']",Capsule Boy,,,,,['Kids'],['Sci-Fi'],,
129,"Jeong-geul-eseo Sal-anamgi Maluui Eodeubencheo, Jungle Survival Maru's Adventure",정글에서 살아남기 마루의 어드벤처,Jungle Survival,['TV'],52,Finished Airing,"Aug 31, 2015 to Aug 29, 2016",['Summer 2015'],Unknown,"None found,","None found,","None found,",['Manga'],,12 min. per ep.,PG - Children,[],#18922,#21844,183,2,,"Maru and friends' exciting adventure begin when they were lost in Borneo Jungle. As they explore wild life of Jungle, they happen to get to know Shalamar, a native jungle warrior and Kai, a mysterious boy. All together they travel into the deeper jungle looking for Mr.Rhapa. They never expected to see unknown creatures called Igras, mutated animals due to unbalance of Anima energy in jungle. Unpredictable...jungle adventure begins with Maru, Ara, Gabi, Shalamar and Kai... Wild life of jungle and mutant creatures Igras makes the journey unique and interesting ever. (Source: WelCon)",[],Jeong-geul-eseo Sal-anamgi: Maru Adventure,,,,,['Kids'],['Adventure'],,
130,,翻开这一页,Story in the Book,['TV'],49,Finished Airing,"Oct 3, 2014 to Sep 13, 2017",['Fall 2014'],Unknown,"None found,","None found,","None found,",Original,,13 min. per ep.,G - All Ages,[],#17911,#22261,165,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fan Kai Zhe Yi Ye,,,,,['Kids'],,"['Historical', 'School']",
131,Ray's Fire Station,용감한 소방차 레이,"Fire Engine, Ray",['TV'],26,Finished Airing,"May 30, 2016 to Aug 23, 2016",['Spring 2016'],Unknown,"None found,","None found,","None found,",Original,,13 min. per ep.,PG - Children,[],#16081,#24486,102,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yong-gamhan Sobangcha Ray,,,,['Anthropomorphic'],['Kids'],['Fantasy'],,
132,Quan Zhi Fa Shi,全职法师,Full-Time Magister,['ONA'],12,Finished Airing,"Sep 2, 2016 to Nov 4, 2016",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Action', 'Fantasy']",18 min. per ep.,PG-13 - Teens 13 or older,7.18,#3465,#1670,"147,363",690,62958,"The aloof high schooler Mo Fan has found himself in a universe similar yet distinctly different from his own mundane one; it is a place where magic has replaced the essence of science. Here, the most capable students are taught to master the wonders of spellworking to fend off large devastating beasts that lurk in the forests surrounding the city. Like his previous life, Mo Fan remains the son of a poor laborer and the older step-brother to a crippled sister. Despite these disadvantages, he dreams of attending a magic school to become a magician—a highly respected and lucrative trade—in order to repay his father for his hard work. Mo Fan is accepted into a renowned magic institution. However, rumors spread about his poverty and lack of magical ability, labeling him as the laughing stock of the school. Nonetheless, Mo Fan manages to harness not only the powerful fire element, but also the rare lightning element! Now armed with dual abilities, what dangerous encounters will the versatile mage face? [Written by MAL Rewrite]","['Sequel (ONA) Quanzhi Fashi II', 'Adaptation (Manhua) Quanzhi Fashi']",Quanzhi Fashi,,,,['School'],,,,
133,,planetarian～ちいさなほしのゆめ～,Planetarian: The Reverie of a Little Planet,['ONA'],5,Finished Airing,"Jul 7, 2016 to Aug 4, 2016",,,['Visual Arts'],['Funimation'],['David Production'],Visual novel,"['Drama', 'Sci-Fi']",18 min. per ep.,PG-13 - Teens 13 or older,7.55,#1784,#2226,"99,275",473,42318,"It is thirty years after the failure of the Space Colonization Program. Humanity is nearly extinct. A perpetual and deadly Rain falls on the Earth. Men known as ""Junkers"" plunder goods and artifacts from the ruins of civilization. One such Junker sneaks alone into the most dangerous of all ruins—a ""Sarcophagus City."" In the center of this dead city, he discovers a pre-War planetarium. And as he enters he is greeted by Hoshino Yumemi, a companion robot. Without a single shred of doubt, she assumes he is the first customer she's had in 30 years. She attempts to show him the stars at once, but the planetarium projector is broken. Unable to make heads or tails of her conversation, he ends up agreeing to try and repair the projector... (Source: Steam)","['Prequel (OVA) Planetarian: Snow Globe', 'Sequel (Movie) Planetarian: Hoshi no Hito', 'Adaptation (Light Novel) Planetarian: Chiisana Hoshi no Yume', '']",Planetarian: Chiisana Hoshi no Yume,,,,,,,,
134,,BROTHERHOOD FINAL FANTASY XV,,['ONA'],5,Finished Airing,"Mar 31, 2016 to Sep 18, 2016",,,"['Square Enix', 'RightTracks']","None found,",['A-1 Pictures'],Game,,14 min. per ep.,PG-13 - Teens 13 or older,6.90,#4816,#2410,"87,597",207,44984,"Crown Prince of the Kingdom of Lucis, Noctis Lucis Caelum, sets out on a journey to Caem. His purpose is to meet with Lunafreya Nox Fleuret, an oracle and Noctis' childhood friend, in order to marry her. A strong and silent type, Noctis is accompanied by his friends and Royal Guard Gladiolus, Prompto, and Ignis. The four young men set out on a road trip across the continent in the king's personal convertible, the Regalia. Along the journey, each of them experience various situations which allow them to reflect on their past together, and strengthen their bonds for the future. A prequel to the 2016 video game Final Fantasy XV, Brotherhood: Final Fantasy XV explores the relationships of its four main protagonists and the challenges awaiting them. [Written by MAL Rewrite]","['Prequel (Movie) Kingsglaive: Final Fantasy XV', '']",Brotherhood: Final Fantasy XV,,Brotherhood Final Fantasy XV,,,,['Action'],,
135,,田中くんは今日もけだるげ,Tanaka is Listless Today Too,['ONA'],35,Finished Airing,"Apr 7, 2016 to Jul 1, 2016",,,"None found,","None found,",['SILVER LINK.'],['Manga'],,30 sec. per ep.,PG-13 - Teens 13 or older,7.28,#2904,#3650,"42,254",54,16886,A series of shorts featuring the characters from Tanaka-kun wa Itsumo Kedaruge in chibi form.,[],Tanaka-kun wa Kyou mo Kedaruge,Tanaka-kun is Always Listless,Tanaka-kun wa Itsumo Kedaruge,Tanaka-kun is Always Listless,['School'],,['Comedy'],,
136,One Piece Film: Gold Episode 0,ワンピース フィルム ゴールド ～episode 0～ 711ver.,One Piece Film: Gold Episode 0 - 711 ver.,['ONA'],1,Finished Airing,"Jul 2, 2016",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",10 min.,PG-13 - Teens 13 or older,7.20,#3372,#4545,"26,910",13,13756,"A short web prequel to One Piece Film: Gold featuring the nine Straw hat crew members on the ship, planning what to do when they arrive the Casino.","['Sequel (Movie) One Piece Film: Gold', '']",One Piece Film: Gold Episode 0 - 711 ver.,,,,['Super Power'],['Shounen'],,,
137,,モンスターストライク,Monster Strike,['ONA'],51,Finished Airing,"Oct 10, 2015 to Dec 3, 2016",,,"['Ultra Super Pictures', 'XFLAG']","None found,",['Studio Hibari'],Game,"['Action', 'Fantasy']",8 min. per ep.,PG-13 - Teens 13 or older,6.39,#7748,#4636,"25,568",33,6482,"Ren Homura has just moved back to his hometown of Kaminohara, but he isn't able to remember much about the time he spent there other than vague flashbacks. When he retrieves his cell phone which he had sent to a shop for repairs, he finds that a mysterious game titled “Monster Strike” has been installed on it. Unaware of its purpose or how it got there, Ren decides to open it, an action that will change his life forever as he finds himself suddenly attacked by a strange man. Now trapped on the roof of his school which strangely has been designated as a ""stage,"" Ren is shocked to see the man summon a realistic monster from the game, one that is more than capable of inflicting damage on a human. His only chance of getting out of this situation alive is by summoning the dragon Oragon, who tells Ren that he will crush the opposing monster for him. Unfortunately, it turns out that Oragon is a tiny dragon that is completely useless! [Written by MAL Rewrite]","['Prequel (ONA) Monster Strike: Rain of Memories', 'Prequel (Movie) Monster Strike The Movie: Hajimari no Basho e', 'Sequel (ONA) Monster Strike: Zoku Saishuu-banashi - Pandora no Hako', '']",Monster Strike,,,,['Video Game'],,,,
138,"Twins Spirit Investigators, Tsuin Seishin Tantei",双生灵探,Twin Spirit Detectives,['ONA'],20,Finished Airing,"Aug 25, 2016 to Jan 5, 2017",,,['Tencent Animation & Comics'],"None found,",['B.CMAY PICTURES'],['Manga'],,14 min. per ep.,R - 17+ (violence & profanity),7.14,#3706,#5805,"14,603",31,2950,"There is always more to the world than meets the eye. This is the motto that twin brothers Sun Xiaotu and Sun Xiaohu follow in their lives as paranormal investigators, where what may be terrifying to some is just another day at work. Normally, it is simple for them to separate their daily lives from their job, but when they go to investigate a seemingly typical haunting of a pair of twins, a series of bizarre events throw their perception of the supernatural world into question as they become a target of the hauntings themselves. The further the brothers search for answers to the paranormal mysteries thrown at them, the hazier the lines between truth and fiction become. Through the challenging and sometimes dangerous adventures ahead, one question remains: what kind of secrets are the ghosts trying to hide from them, and are they already more connected to the spirits than they originally thought? [Written by MAL Rewrite]",[],Shuangsheng Lingtan,,,,['Psychological'],,['Mystery'],,
139,,ドリフェス！,Dream Festival!,['ONA'],12,Finished Airing,"Sep 23, 2016 to Dec 16, 2016",,,"['Lantis', 'Bandai', 'Happinet Pictures', 'Bandai Namco Entertainment', 'Amuse', 'Bandai Namco Rights Marketing']","None found,",['Bandai Namco Pictures'],Game,,23 min. per ep.,PG-13 - Teens 13 or older,6.67,#6095,#5817,"14,519",63,5290,"Due to his cheerful personality and ability to smile even through a hard day's work, Kanade Amamiya is suddenly scouted into the idol life by industry legend Haruto Mikami. He joins the agency D-4 Production where he meets fellow high schoolers Shin Oikawa, Junya Sasaki, Itsuki Katagiri, and Chizuru Sawamura, who all aspire to become idols. Inspired by their determination, Kanade embraces this new life. A perfect chance for his debut appears when they are grouped together to perform at the company's Dream Festival. To rise to the top, they must collect Dorika—cards given by the audience that idols use to form their stage outfits—and gain the audience's attention. However, the road to fame is a rocky one, and the boys must form a bond of friendship and trust before they can reach their goals. [Written by MAL Rewrite]","['Sequel (ONA) Dream Festival! R', '']",Dream Festival!,,,,,,,"['Idols (Male)', 'Music']",
140,,トリガーちゃん,,['ONA'],1,Finished Airing,"Aug 22, 2016",,,"None found,","None found,",['Trigger'],Original,,31 sec.,PG-13 - Teens 13 or older,6.21,#8809,#6131,"12,618",6,5136,The fifth anniversary of Trigger has been marked with a Uchuu Patrol Luluco marathon on NND that ended with a special animated sequence featuring mascot Trigger-chan and her buddies Muzzle and Spring. (Source: Crunchyroll),[],Trigger-chan,,,,,,['Action'],,
141,,怪獣娘[かいじゅうがーるず] ~ウルトラ怪獣擬人化計画~,KAIJU GIRLS,['ONA'],12,Finished Airing,"Sep 27, 2016 to Dec 13, 2016",,,"['Pony Canyon', 'Tsuburaya Productions', 'Docomo Anime Store', 'Links']","None found,",['Studio PuYUKAI'],Original,"['Comedy', 'Fantasy']",5 min. per ep.,PG - Children,5.97,#10050,#6662,"10,321",14,4202,"Very rarely is a girl born with two distinct souls: one of a human and the other of a kaiju. These extraordinary individuals, dubbed ""Kaiju Girls,"" possess the form of a normal person and the supernatural abilities of a giant monster. The International Kaiju Rescue and Mentoring Organization, also known as GIRLS, was created to help these Kaiju Girls adjust to their powers and find a place in society. Recently, three young girls have awakened their kaiju halves. The introverted Aki Miyashita obtains the soul of Agira, the serious Reika Shiragane inherits Windom, and the energetic Miku Ushimaru receives Miclas. Together they join the organization GIRLS, where the three each learn how to use their powers and control their monstrous instincts. Through the support of those around them, Agira, Windom, and Miclas each discover what it truly means to be a Kaiju Girl. [Written by MAL Rewrite]","['Sequel (TV) Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season', '']",Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,Kaiju Girls,Kaiju Girls,Kaijû Girls,['Parody'],,,,
142,"Nanatsu no Taizai: Audio Drama - Confession of Sin Dennou Grimoir!, Sin: Nanatsu no Taizai - Tsumi no Kokuhaku Dennou Grimoire!",七つの大罪 「罪の告白 電脳グリモワール!」,,['ONA'],10,Finished Airing,"Sep 30, 2016 to Mar 3, 2017",,,"None found,","None found,",['KIZAWA Studio'],Other,,5 min. per ep.,PG-13 - Teens 13 or older,6.43,#7505,#7998,"6,580",2,1381,Animated audio-dramas released online.,[],Nanatsu no Taizai: Tsumi no Kokuhaku Dennou Grimoire!,,,,['Parody'],,['Comedy'],,
143,,FASTENING DAYS,,['ONA'],1,Finished Airing,"Oct 30, 2014",,,"None found,","None found,",['Studio Colorido'],Original,,11 min.,G - All Ages,6.37,#7890,#8091,"6,388",2,2989,"Yoji and Kei, a boy and girl, live in a town in the not-so-distant future with their foster parent, Anna. But these seemingly ordinary children have a secret hidden even from their unsuspecting mother. Yoji and Kei are superhero defenders of their town! With a flap of their capes, the two of them and their robot bear sidekick, Oscar, protect the citizens in their town with their handmade high-tech machinery. But from what menace? And will our little heroes be able to overcome the crisis about to threaten the town's peaceful everyday serenity? Check out this utterly electrifying near-future animation to find out! (Source: Official website)","['Sequel (ONA) Fastening Days 2', '']",Fastening Days,,,,,['Kids'],,,
144,"Way of Choices 2nd Season, Fighter of the Destiny 2nd Season",择天记 第二季,,['ONA'],12,Finished Airing,"Jul 20, 2016 to Oct 5, 2016",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Action', 'Adventure', 'Fantasy']",19 min. per ep.,PG-13 - Teens 13 or older,6.99,#4445,#9597,"4,017",4,1651,The second season of Ze Tian Ji.,"['Prequel (ONA) Ze Tian Ji', 'Sequel (ONA) Ze Tian Ji 3rd Season']",Ze Tian Ji 2nd Season,,,,,,,,
145,Monster Strike Summer Special,モンスターストライク『マーメイド・ラプソディ』,Monster Strike: Mermaid Rhapsody,['ONA'],1,Finished Airing,"Aug 14, 2016",,,"None found,","None found,","['Studio Hibari', 'Ultra Super Pictures']",Game,"['Action', 'Fantasy']",51 min.,PG-13 - Teens 13 or older,6.64,#6225,#10189,"3,336",2,998,"Minami's father, a former mercenary, is invited to an American naval party. Ren and the gang end up heading to Okinawa with him for summer break. On a sandy beach, Ren meets a mysterious girl.""Help me..."" The girl leaves Ren with those words as she disappears.Ren is drawn to the girl and the meaning of those words. He makes it his mission to save her, and uncover the truth. Who is the girl? Why did she ask Ren for help? The girl's true identity slowly unveils... (Source: YouTube)",[],Monster Strike: Mermaid Rhapsody,,,,['Video Game'],,,,
146,,クレヨンしんちゃん外伝 エイリアン vs. しんのすけ,,['ONA'],13,Finished Airing,"Aug 3, 2016 to Oct 26, 2016",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Ecchi']",8 min. per ep.,G - All Ages,6.72,#5758,#10385,"3,136",7,1325,"Unlike the main television anime series which is mostly set in modern-day Japan, the new series will be a ""sealed room"" suspense comedy set 100 years in the future. The story begins when Shinnosuke and the entire Nohara family wake up from cold sleep to find themselves aboard a space ship drifting in space. The anime will depict the various events that take place inside the ship. (Source: ANN)","['Sequel (ONA) Crayon Shin-chan Gaiden: Omocha Wars', '']",Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,,,,['Space'],['Seinen'],,,
147,,,,['ONA'],1,Finished Airing,"Sep 16, 2016",,,"None found,","None found,","None found,",Original,,1 min.,R - 17+ (violence & profanity),3.57,#13811,#11233,"2,445",1,1351,In the forest ...,[],Dead World,,,,,,['Horror'],,
148,"Spiritual Domain Third Season, Spiritual Field 3, Spirit Realm 3, Ling Yu: Di San Ji",灵域 第三季,,['ONA'],12,Finished Airing,"Jul 21, 2016 to Oct 6, 2016",,,['iQIYI'],"None found,",['Haoliners Animation League'],Novel,,14 min. per ep.,PG-13 - Teens 13 or older,6.59,#6550,#11508,"2,251",2,772,"Qin Lie has pulled up twelve spiritual columns, but the war between the Evil Clan and many tribues is imminent. However, at the most critical moment, the appearance of Li Mu in Tianjian Mountain prevented things from going in the worst direction.","['Prequel (ONA) Ling Yu 2nd Season', 'Sequel (ONA) Ling Yu 4th Season']",Ling Yu 3rd Season,,,,,,['Fantasy'],,
149,,私たち、らくろじ部! 2,,['ONA'],12,Finished Airing,"Aug 1, 2016 to Jan 22, 2017",,,"None found,","None found,",['Doga Kobo'],Card game,,1 min. per ep.,PG-13 - Teens 13 or older,5.58,#11891,#11598,"2,197",2,396,"The comedy shorts follow four girls who are members of the Luck Logic Club, whose activity is playing the Luck & Logic card game.","['Prequel (TV) Watashitachi, Luck Logic-bu!', '']","Watashitachi, Luck Logic-bu! 2",,,,,,['Comedy'],"['School', 'Strategy Game']",
150,Great King of the Grave: Secrets of the Qilin,墓王之王 麒麟决,,['ONA'],20,Finished Airing,"Jul 21, 2016 to Nov 24, 2016",,,"None found,","None found,",['BUILD DREAM'],Original,"['Action', 'Mystery', 'Romance']",18 min. per ep.,PG-13 - Teens 13 or older,6.52,#6928,#13219,"1,325",3,296,"Luo Wu Zi helped Li Si Xiu to build the mound of Qin Shi Huang; the first emperor who united China. His disciples continued to build and safeguard the royal tombstone. In between lies the appearance of the Nine Great Tombstones, also known as Great King of the Graves. For thousands of years, the tombs were never robbed. The outsiders regard these guardians of the tombs like the Tomb Sect. After the death of Luo Wu Zi, the position of Grave King is transferred to his eldest disciple, Mu Rong Xiu. (Source: Ninenovel.net)","['Sequel (ONA) Mu Wang Zhi Wang: Han Tie Dou', '']",Mu Wang Zhi Wang: Qi Lin Jue,,,,,,,"['Historical', 'Martial Arts']",
151,,FASTENING DAYS 2,,['ONA'],1,Finished Airing,"Aug 1, 2016",,,"None found,","None found,",['Studio Colorido'],Original,,9 min.,G - All Ages,6.17,#8997,#13391,"1,261",0,635,A terrible incident suddenly hits a peaceful town. Will our young heroes be able to save everyone from this disaster? An exciting tale of bravery and adventure. (Source: YouTube),"['Prequel (ONA) Fastening Days', 'Sequel (ONA) Fastening Days 3']",Fastening Days 2,,,,,['Kids'],,,
152,"Painting Rivers and Lakes 2, Hua Jiang Hu: Bu Liang Ren 2nd Season",画江湖之不良人II,,['ONA'],40,Finished Airing,"Jul 21, 2016 to Apr 20, 2017",,,"None found,","None found,",['Rocen'],Original,"['Adventure', 'Drama', 'Romance']",20 min. per ep.,R - 17+ (violence & profanity),6.39,#7734,#13465,"1,239",1,313,The continuation of Hua Jianghu: Bu Liang Ren.,"['Prequel (ONA) Hua Jianghu: Bu Liang Ren', 'Sequel (ONA) Hua Jianghu: Bu Liang Ren III']",Hua Jianghu: Bu Liang Ren II,,,,,,,"['Historical', 'Martial Arts']",
153,"The Seven, Zhan Guo Fan",战国FAN,The Seven Warring States Fan,['ONA'],15,Finished Airing,"Jul 20, 2016 to Nov 2, 2016",,,"None found,","None found,",['2:10 Animation'],Original,,13 min. per ep.,R - 17+ (violence & profanity),[],#16251,#13524,"1,223",3,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Zhanguo Fan,,,,,,['Fantasy'],"['Martial Arts', 'Super Power']",
154,,イマノワタシニデキルコト…,,['ONA'],2,Finished Airing,"Sep 29, 2016 to Nov 17, 2016",,,"None found,","None found,",['TYO Animations'],Original,,1 min. per ep.,G - All Ages,5.77,#11093,#14582,918,1,293,"The story takes place in 2102 where future has advanced beyond what was imagined in the 21st century and in 2016. 17-year-old Nami is a high school girl living everyday happily without much thought. A recent increase in guerrilla heavy rains has caused to her start worrying a little. She encounters 10-year-old You, a mysterious girl from the near future. (Source: ANN)",[],Ima no Watashi ni Dekiru Koto...,,,,,,['Sci-Fi'],,
155,,魔法少女? なりあ☆がーるず生でアニメをつくるさま,,['ONA'],12,Finished Airing,"Jul 1, 2016 to Sep 16, 2016",,,['Pony Canyon'],"None found,",['Bouncy'],Original,,41 min. per ep.,PG-13 - Teens 13 or older,5.37,#12513,#14988,818,0,135,"Urara, Hanabi, and Inaho are three girls who aim to become nationally-renowned characters by creating animation of themselves! They chose the magical girl theme to catch the attention of everyone from children to adults! Can they safely become popular characters in a one-cours magical girl anime? (Source: MAL News)",[],Mahou Shoujo? Naria☆Girls Nama de Anime wo Tsukuru Sama,,,,['Mahou Shoujo'],,['Comedy'],,
156,,お父さんは愛の人,,['ONA'],1,Finished Airing,"Jul 26, 2016",,,"None found,","None found,","None found,",Original,"['Drama', 'Slice of Life']",3 min.,G - All Ages,6.38,#7822,#15318,735,1,394,"A Tsutaetai, Kokoro no Tegami (wedding, elderly aid, and funeral company) commissioned work from Tekken showing the love of a father and the complications as he ages.",[],Otousan wa Ai no Hito,,,,,,,,
157,"Littleforestmello, Littleforestmelo, Mello, Melo, Mellow, Sanrio, My Melody",リトルフォレストフェロォ（めろぉ）,Littleforestfellow,['ONA'],3,Finished Airing,"Sep 6, 2016 to Sep 21, 2017",,,['Sanrio'],"None found,","None found,",Original,,2 min. per ep.,G - All Ages,6.13,#9198,#15655,678,2,142,"An introductory anime of Littleforestfellow, who is a rabbit boy and the second cousin of My Melody. He is nicknamed ""Mello"" (めろぉ). He really likes My Melody and likes to collect buttons with her. His birthday is on January 18th, just like My Melody. (Source: Wikia)",[],Littleforestmello,,,,,['Kids'],,,
158,,キティちゃんを探せ！富山市スタンプラリー,Toyama City Stamp Rally: The Search for Hello Kitty!,['ONA'],1,Finished Airing,"Jul 20, 2016",,,"None found,","None found,",['DLE'],Other,,2 min.,G - All Ages,5.24,#12830,#15884,642,0,195,Kitty-chan briefly goes missing.,[],Kitty-chan wo Sagase! Toyama-shi Stamp Rally,,,,,,['Comedy'],,
159,Quan Zhi Fa Shi: Q Ban Xiao Ju Chang,全职法师Q版小剧场,,['ONA'],12,Finished Airing,"Sep 9, 2016 to Dec 2, 2016",,,"None found,","None found,","None found,",Novel,,2 min. per ep.,PG-13 - Teens 13 or older,6.05,#9690,#16224,595,1,124,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Quanzhi Fashi: Q Ban Xiao Juchang 2nd Season', '']",Quanzhi Fashi: Q Ban Xiao Juchang,,,,,,['Comedy'],,
160,"Sanyo Bussan, CRAsuper Umi Monogatari with Momotarou Densetsu",Peeping Life×SANYO,,['ONA'],6,Finished Airing,"Jul 3, 2016 to Jul 6, 2017",,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",5 min. per ep.,G - All Ages,[],#20987,#17657,446,0,,A Peeping Life and Sanyo collaboration made to promote Sanyo's summer ocean themed pachinko line with a Momotarou Densetsu pachinko game machine.,[],Peeping Life x Sanyo,,,,,,,,
161,,夜間学校の裏先生,,['ONA'],1,Finished Airing,"Aug 2, 2016",,,['comico'],"None found,","None found,",['Web manga'],,1 min.,G - All Ages,4.86,#13366,#17930,425,0,198,An animated promotional video for the web manga of the same name.,[],Yakan Gakkou no Ura-sensei,,,,['School'],,['Supernatural'],,
162,Nagoya Railway Special Movie,名古屋鉄道スペシャルムービー,,['ONA'],1,Finished Airing,"Jul 21, 2016",,,"None found,","None found,","None found,",Original,,2 min.,G - All Ages,5.89,#10484,#18543,379,1,123,"A short commissioned by Nagoya Railroad Co., Ltd. (abbr. Meitetsu) as part of their ""Place important feelings on places where important people wait."" campaign. In the short we see a woman and her fiancé on a Nagoya Railroad train to go meet her parents. The woman laments over her youth from having fun as a child with her father on the train, to coldly ignoring him and being mean as a teenager when he comes to pick her up from the station with a spare umbrella on a rainy day. Time healed all wounds and the short ends with the both of them smiling cheerfully as they treasure each other.",[],Nagoya Tetsudou Special Movie,,,,,,['Slice of Life'],,
163,,メガトン級ムサシ パイロット版,,['ONA'],1,Finished Airing,"Jul 27, 2016",,,"None found,","None found,",['OLM'],Game,"['Action', 'Sci-Fi']",13 min.,PG-13 - Teens 13 or older,5.89,#10480,#18541,379,2,111,Pilot episode of Megaton-kyuu Musashi released on YouTube in 2016.,[],Megaton-kyuu Musashi Pilot,,,,['Mecha'],,,,
164,,グランマルシェの迷宮,,['ONA'],1,Finished Airing,"Aug 31, 2016",,,"None found,","None found,","None found,",Game,,2 min.,G - All Ages,5.68,#11494,#19112,337,0,128,"The animated opening for Square Enix's Grand Marche no Meikyuu RPG mobile game which launched for Android and iOS on September 8, 2016.",[],Grand Marche no Meikyuu,,,,['Strategy Game'],,['Fantasy'],,
165,,うさまる,,['ONA'],12,Finished Airing,"Aug 5, 2016 to Oct 21, 2016",,,"None found,","None found,",['Craftar Studios'],Unknown,,5 min. per ep.,G - All Ages,[],#15162,#19158,335,1,,Short adaptation of LINE rabbit sticker.,[],Usamaru,,,,,,['Comedy'],,
