,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Themes,Theme,Spanish,French,German,Demographics
80,彼女と彼女の猫,She and Her Cat: Their Standing Points,['OVA'],1,Finished Airing,"Apr 19, 2002",,,"None found,","['ADV Films', 'GKIDS']",['CoMix Wave Films'],Original,,,4 min.,G - All Ages,7.25,#3106,#2209,"101,024",299,55063,"It was on a rainy spring day that Chobi became a young woman's pet cat. Though he immediately fell in love with the beautiful and kind person who took him in, he can never hope to fully understand the complex world of humans. Over the course of their first year living in the same apartment, Chobi and his new owner live in their own separate worlds⁠—standing alone yet close together. [Written by MAL Rewrite]","['Adaptation (Manga) Kanojo to Kanojo no Neko Read Manga', '']",Kanojo to Kanojo no Neko,Kanojo to Kanojo no Neko,['Slice of Life'],,['Pets'],She and Her Cat,She and Her Cat,She and Her Cat,
81,頭文字〈イニシャル〉D BATTLE STAGE,,['OVA'],1,Finished Airing,"May 15, 2002",,,"['OB Planning', 'Fuji TV']","None found,",['Pastel'],['Manga'],"['Action', 'Drama']",['Seinen'],52 min.,G - All Ages,7.59,#1611,#3702,"41,312",116,20003,There are many street races in the Initial D Series. This OVA has no plot other than to collect all the street races into one stage. The dialog during the original races is left in.,"['Sequel (OVA) Initial D Battle Stage 2', '']",Initial D Battle Stage,,,,['Racing'],,,,
82,スウェットパンチ,Sweat Punch,['OVA'],5,Finished Airing,"Mar 2, 2002 to Jul 1, 2006",,,"['Grasshoppa!', 'Beyond C.']","None found,",['Studio 4°C'],Original,"['Action', 'Fantasy']",,11 min. per ep.,R+ - Mild Nudity,7.27,#2986,#3790,"39,348",190,16373,Sweat Punch is a series of five Studio 4°C shorts collected as a direct-to-DVD package film entitled Deep Imagination.,[],Sweat Punch,"Deep Imagination, Dan Petory Kyoushu no Yuutsu, Professor Dan Petry's Blues, End of the World, Kigeki, Comedy, Higan, Beyond, Garakuta no Machi, Junk Town",,"['Historical', 'Mecha']",,,,,
83,.hack//LIMINALITY,.hack//Liminality,['OVA'],4,Finished Airing,"Jun 20, 2002 to Apr 10, 2003",,,"['Bandai Visual', 'Bandai', 'CyberConnect2']",['Bandai Entertainment'],['Bee Train'],Original,,,33 min. per ep.,PG-13 - Teens 13 or older,6.58,#6600,#4029,"34,662",34,17021,"While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapse in the real world and are sent to the hospital after hearing a mysterious sound. Only Mai recovers, while her friend Kasumi slips into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro, and their acquaintances set off to get to the bottom of this problem before any further harm happens. [Written by MAL Rewrite]",[],.hack//Liminality,Hack OVA,['Mystery'],,['Video Game'],,,,
84,バイブルブラック 外伝,Bible Black Origins,['OVA'],2,Finished Airing,"May 25, 2002 to Aug 25, 2002",,,"['Milky Animation Label', 'Active']",['Media Blasters'],['Studio Jam'],Visual novel,"['Supernatural', 'Hentai']",,28 min. per ep.,Rx - Hentai,6.66,N/A,#4451,"28,103",71,14498,"After their rejected request to create a formal student magic club, Hiroko Takashiro, Saki Shidou, and Rie Morita are forced to continue practicing witchcraft in their free time only. One day, Rie comes across a dusty, hand-written book. Found on a sales pile in an antique shop, the manuscript seems to be nothing more than a foreign curiosity. Upon translating the book, the girls discover simple spells designed to bend an unsuspecting victim to the user's will and impose one's sexual desires on them. Realizing they have come into possession of a mighty weapon, the group begins fulfilling different requests of other students—be it for love, vengeance, or sexual desire. As the situation spirals out of control, the magic club gradually transforms into a cult of blood, lust, and human sacrifice. [Written by MAL Rewrite]","['Sequel (OVA) Bible Black', '']",Bible Black Gaiden,,,,,,Bible Black Origine,,
85,ふしぎ遊戯 -永光伝,Mysterious Play: Eikoden,['OVA'],4,Finished Airing,"Dec 21, 2001 to Jun 25, 2002",,,"None found,","['Media Blasters', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Shoujo'],30 min. per ep.,PG-13 - Teens 13 or older,6.79,#5413,#5280,"18,713",38,9330,"After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship. Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage. Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child. [Written by MAL Rewrite]","['Prequel (OVA) Fushigi Yuugi: Dai Ni Bu', 'Adaptation (Light Novel) Fushigi Yuugi Gaiden']",Fushigi Yuugi: Eikouden,Fushigi Yuugi OVA 3,,,['Isekai'],El Juego Misterioso: Fushigi Yugi Eikoden,Fushigi Yugi Eikoden,,
86,こすぷれCOMPLEX,,['OVA'],3,Finished Airing,"May 25, 2002 to Oct 26, 2002",,,"['Lantis', 'Happinet Pictures']",['ADV Films'],['TNK'],Original,"['Comedy', 'Ecchi']",,29 min. per ep.,R+ - Mild Nudity,5.76,#11101,#5951,"13,682",7,6264,"Every cosplay club in Japan shares the same dream: to take first place at the Cosplay World Series. East Oizumi Academy's club is no different; led by Gorou Yorozuyo, the club's members spend every moment training and preparing for competitions. Still, even with ace cosplayer Chako Hasegawa and the shape-shifting powers of the fairy Delmo on their side, the club must work hard if they want to become the best in Japan. [Written by MAL Rewrite]",[],Cosplay Complex,,,"['Otaku Culture', 'Parody', 'School']",,,,,
87,ゲートキーパーズ21,,['OVA'],6,Finished Airing,"Apr 24, 2002 to Jan 8, 2003",,,"None found,",['Geneon Entertainment USA'],['Gonzo'],Game,"['Action', 'Drama', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.73,#5740,#6424,"11,283",21,4939,"Thirty-two years have passed since the initial defeat of the Invaders. A.E.G.I.S is all but dismantled now and has become an underground organization consisting of only a few Gate Keepers left to save humanity. One of the members, Ayane Isuzu, is sick of society as a whole, though she continues to defeat the Invaders out of spite for her father. Suddenly, she learns of the revival of Machine General (Kikai Shogun) and Devil Count (Akuma Hakushaku), but a mysterious ghost girl now accompanies them. It is up to Ayane and the remnants of A.E.G.I.S to stop them and save humanity once again. (Source: ANN)","['Prequel (TV) Gate Keepers', '']",Gate Keepers 21,Gatekeepers 21,,,['Mecha'],,,,
88,リトルモニカ物語,The Story of Little Monica,['OVA'],2,Finished Airing,"Apr 5, 2002 to Jul 5, 2002",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.41,N/A,#6886,"9,587",23,4247,"Will, an orphan originally from Little Monica, a city of culture and arts, returns to a place he hasn't been in since his childhood to contribute to it and have a reunion with his childhood friend, Celia. What he doesn't know is that during his long absence, things have changed for the worse and Little Monica, once a city of high culture has become a capital of degeneration. The question is can Will resist the temptations offered by the city or will he succumb to it. With a little help from Celia and her sisters Tina and Mei, as well Miss Meow, they just might succeed in returning Little Monica to its former glory. (Source: ANN)",[],Little Monica Monogatari,"Little Monica Story, Tales of Little Monica, Little Monica's Story",['Hentai'],,,,,,
89,ルパン三世『生きていた魔術師』,Lupin III: Return of Pycal,['OVA'],1,Finished Airing,"Apr 3, 2002",,,"['VAP', 'Tohokushinsha Film Corporation']",['Discotek Media'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Mystery']",['Seinen'],49 min.,R+ - Mild Nudity,5.80,#10921,#7908,"6,789",2,2890,"Lupin steals an extraordinary gem from a Mediterranean party, only to be interrupted by Pycal, the trickster ""magician"" who had apparently died fighting Lupin early in his career. Pycal, now armed with real magical abilities, is determined to take revenge. (Source: ANN)",[],Lupin III: Ikiteita Majutsushi,"Rupan Sansei: Ikiteita Majutsushi, Lupin III: Return of the Magician, Lupin III: ~ The Living Magician ~ Return of Pycal",,,['Adult Cast'],,,,
90,股人タクシー,Sex Taxi,['OVA'],5,Finished Airing,"May 25, 2002 to Sep 25, 2004",,,['Milky Animation Label'],['Media Blasters'],['Studio Jam'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.14,N/A,#8358,"5,937",22,2252,"A cabbie got his kicks by blackmailing, raping, and storing women in his ""collection"" back in his old town. Now he is in a new town with new women. He wants to have sex with them. He picks each girl up many times and follows them around. They do not seem to notice it's the same cabbie until it's to late, until he gets all his sources and starts to blackmail them. In his new town his first fare was Satsuki, a member of the archery club. He goes on from there to get twins, a swimmer, a cheer leader, and more.",[],Kojin Taxi,,['Hentai'],,,,,,
91,淫縛学艶,School of Bondage,['OVA'],3,Finished Airing,"Jun 25, 2002 to May 27, 2003",,,['Milky Animation Label'],"['NuTech Digital', 'JapanAnime']",['Studio Jam'],['Manga'],,,28 min. per ep.,Rx - Hentai,6.22,N/A,#8478,"5,756",19,1914,"Keisuke Shimizu, upset over the problems in his household, becomes a delinquent and sees women as only sexual tools. His class representative, Orie Yuki, wants to change his beliefs. To show him the power of true love, Orie agrees to be his sex slave for three months. Orie has no idea what her decision will have on her future, especially since Keisuke's attention is away from his former lover. (Source: ANN)","['Adaptation (Manga) Inbaku Gakuen', '']",Inbaku Gakuen,"School of Masochists, S&M University",['Hentai'],,['School'],,,,
92,女神候補生 スペシャルカリキュラム,,['OVA'],1,Finished Airing,"May 25, 2002",,,['Bandai Visual'],['Discotek Media'],['Xebec'],['Manga'],"['Action', 'Sci-Fi']",,23 min.,PG-13 - Teens 13 or older,6.22,#8714,#9008,"4,892",1,2283,A retelling of the TV series from the point of view of one of the Goddess Pilots. (Source: ANN),[],Megami Kouhosei Special Curriculum,Candidate for Goddess OVA,,"['Mecha', 'Military', 'Space']",,,,,
93,愛は鍵の数だけ… 風俗マンション,Love is the Number of Keys,['OVA'],1,Finished Airing,"May 25, 2002",,,['Milky Animation Label'],['NuTech Digital'],['Concept Films'],Original,,,28 min.,Rx - Hentai,6.22,N/A,#9100,"4,741",15,1922,"Jun is on his own for the first time, as his father has gone overseas for a new job. He stays behind because of schooling and moves into an apartment complex as an assistant manager, only to discover that the place is a sex service apartment.",[],Ai wa Kagi no Kazu dake... Fuuzoku Mansion,"Ai ha Kagi no Kazu dake... Fuuzoku Mansion, Love is the Number of Keys",['Hentai'],,,,,,
94,黒姫 -桎梏の館-,Black Widow,['OVA'],2,Finished Airing,"May 31, 2002 to Mar 28, 2003",,,['Discovery'],['Critical Mass Video'],['Mook Animation'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.78,N/A,#9236,"4,539",10,1749,"A camping trip takes a turn for the wild when the group discovers a mystery mansion in the woods. Excitement turns to thrills of terror as people begin to disappear. Too late, they realize they are trapped in the clutches of a mysterious woman. Who is that woman and will the group of campers be able to escape the remote mansion? (Source: AniDB)",[],Kurohime: Shikkoku no Yakata,The Black Princess,['Hentai'],,,,,,
95,奴隷市場,Slave Market,['OVA'],3,Finished Airing,"May 31, 2002 to Nov 28, 2002",,,['Discovery'],"['Central Park Media', 'Critical Mass Video']","None found,",Visual novel,,,28 min. per ep.,Rx - Hentai,6.10,N/A,#9333,"4,383",13,1496,"While working as an informant for the Venetian government, Casius travels to the grand and lustrous city of Constanivole to meet his longtime friend Falco. As he is giving him a tour of the city, Falco suggests they visit the slave market: a place where captured women are sold at exorbitant prices to wealthy bureaucrats. Casius is initially hesitant to take part in the debauchery, but eventually has a change of heart and buys the girls in order to protect them. Unbeknownst to him, the girls he purchased will soon send him headfirst into a series of tumultuous events. Dorei Ichiba follows Casius as he spends his days in the foreign city with his three slaves—Bianca, a childish woman who calls him 'big brother'; Cecilia, a peasant who ran away from her abusive, blue-blooded fiance; and Myia, a mute girl with dark secrets. As he uncovers their tragic stories while making love to them, he finds himself slowly succumbing to a carnal desire that threatens to change him for good. [Written by MAL Rewrite]","['Adaptation (Light Novel) Dorei Ichiba', '']",Dorei Ichiba,Slave Bazaar,['Hentai'],,,,,,
96,THE UROTSUKI,,['OVA'],3,Finished Airing,"May 3, 2002 to Nov 15, 2002",,,['Digital Works'],['Critical Mass Video'],['Phoenix Entertainment'],Unknown,"['Adventure', 'Fantasy', 'Horror', 'Hentai']",,40 min. per ep.,Rx - Hentai,5.59,N/A,#9452,"4,222",4,1051,"An immortal beast-man of supernatural lusts, Amano Jaku escapes prison to gratify his appetites at Meishin College. But the campus is not just a hotbed of luscious coeds – it’s the breeding ground of a hideous monster! The Ultra God is Amano Jaku’s nemesis, a vile killing machine, and the ancient harbinger of the coming apocalypse. Now, immortals will clash in a battle that will bathe the Earth in innocent blood! (Source: AniDB)","['Adaptation (Manga) Urotsukidouji', '']",The Urotsuki,Urotsukidoji New Saga,,,['Mythology'],,,,
97,学園 恥辱の図式,Debts of Desire,['OVA'],2,Finished Airing,"Jun 7, 2002 to Sep 6, 2002",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.44,N/A,#9728,"3,885",3,1176,"Masaki's in trouble. His rich father is about to disown him! But he's still got one last chance: if he can collect on some old unpaid debts, then all will be forgiven. Masaki may be a slacker, but he's quick to realize that the fastest way to collect is to go after the debtors' hot, busty daughters! And so, Masaki's ""game"" begins. The rules? If the girls can't pay back the debt, they have pay up with all sorts of sexual favors. They'll have to cater to his every carnal demand, fulfill his every fetish... Masaki may not be collecting much money, but he doesn't care – he's surrounded by girls moaning in pleasure and begging for more! (Source: AniDB)","['Sequel (OVA) Gakuen 2', 'Adaptation (Light Novel) Gakuen: Chijoku no Zushiki']",Gakuen: Chijoku no Zushiki,Campus: Scheme of Shame,['Hentai'],,,,,,
98,ガレリアンズ：リオン,,['OVA'],3,Finished Airing,"Apr 24, 2002",,,['Enterbrain'],"None found,","None found,",Game,"['Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",,24 min. per ep.,R - 17+ (violence & profanity),5.37,#12514,#9752,"3,857",9,1518,"In the 26th century, Rion Steiner awakens in a hospital to the sound of a girl's voice in his head. Unable to remember who he is, he uses psychic powers to break out and sets out to discover himself, and the truth behind those who are after him - the Galerians. Their mother Dorothy, the super-computer with a God complex, will not sit idly by, as he holds the only key to the program that can destroy her. [Witten by Ebo]",[],Galerians: Rion,Galerians: Rion (2003),,"['Military', 'Psychological']",,,,,
99,月花美人,,['OVA'],2,Finished Airing,"Apr 26, 2002 to Jul 26, 2002",,,['Discovery'],['Critical Mass Video'],['AT-2'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.07,N/A,#9911,"3,666",7,1253,"The mistress of a boarding house entertains her new tenant in exciting fashion. Full of naughty games, submission and outrageous sex scenes. (Source: AniDB)",[],Gekka Bijin,Maison Plaisir,['Hentai'],,,,,,
100,収穫の夜,The Harvest Night,['OVA'],2,Finished Airing,"May 25, 2002 to Nov 25, 2002",,,['Blue Eyes'],"['NuTech Digital', 'Adult Source Media']","['Arms', 'Triple X']",Original,,,28 min. per ep.,Rx - Hentai,5.93,N/A,#10060,"3,489",8,1287,"There is a bridge that divides the town, separating violence from non-violence, immorality from morality, sexually abusive lifestyles from ordinary lifestyles. There is no order beyond that bridge. (Source: AniDB)",[],Shuukaku no Yoru,Shukaku,['Hentai'],,,,,,
101,ギャラクシーエンジェル ミュージックコレクション 硝煙と紫煙のカスレ,,['OVA'],1,Finished Airing,"Apr 25, 2002",,,"['Bandai Visual', 'Broccoli']",['Bandai Entertainment'],['Madhouse'],Unknown,"['Comedy', 'Sci-Fi']",,13 min.,PG-13 - Teens 13 or older,6.91,#4797,#10079,"3,467",1,1348,"Forte suddenly asks for leave for the day, leaving the Angels, Ranpha in particular, thinking she's off for a date. Meanwhile, Forte meets up with an old acquaintance who wants to ask her opinion on a rather pressing matter of life and death. (Source: Wikipedia)",[],Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,"Galaxy Angel Z: Kasure of Gunpowder & Tobacco Smoke, Galaxy Angel 2 Special, Galaxy Angel Z: Shouen to Shien no Kasure",,,,,,,
102,夜が来る!,Square Of The Moon: The Night Is Coming!,['OVA'],4,Finished Airing,"Apr 25, 2002 to Feb 21, 2003",,,['Green Bunny'],['Critical Mass Video'],['Shinkuukan'],Visual novel,"['Horror', 'Supernatural', 'Hentai']",,30 min. per ep.,Rx - Hentai,5.50,N/A,#10237,"3,291",3,784,"Blue moon suddenly appeared near the moon, they called it True Moon. After 3 years when True Moon shined blue, a monster appeared in front of Ryo. He ran away from the monster, but finally, the monster cornered him. When he began to accept his death, a red eyed girl, Izumi, appeared. She cut the monster to death, and gone. (Source: AnimeNfo)",[],Yoru ga Kuru!,Yoru ga Kuru! Square of the Moon,,"['Mythology', 'Super Power']",,,,,
103,新世紀 淫魔聖伝,Inma Seiden: The Legend of the Beast of Lust,['OVA'],6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",,,['Green Bunny'],"['NuTech Digital', 'Kitty Media']",['Arms'],Original,"['Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.11,N/A,#10325,"3,197",15,846,"As the related Kameyama and Ootori families battle to lead Ootori Academy, sinister goings-on complicate their internal struggle. Terrifying sexual assaults are taking place, with the assailant concealing his identity with a foreboding iron mask. Sena is attacked by tentacles and a demon, and then the masked man appears before Mao, who tries to fight him off. When she fails to succeed, Hitomi Kameyama comes to her rescue, but the horror has just begun. (Source: NuTech Digital)",[],Shinseiki Inma Seiden,Shin Seiki Inma Seiden,,,['School'],,Inma Seiden: the Legend of the Bease of Lust - Cris et Châtiments,,
104,もみじ,My Sex Tutor,['OVA'],4,Finished Airing,"Apr 25, 2002 to Aug 25, 2003",,,['Blue Eyes'],['NuTech Digital'],['Shura'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.16,N/A,#10390,"3,142",10,1102,"Story begins as Momiji's chastity is taken by Kazuto. We learn that Momiji is a girl without a will of her own, while Kazuto is the son of a wealthy and influential family. Kazuto took an interest in Momiji when he saw her at school, and he went out of his way to get her to come live in his house as a maid. (Source: ANN)","['Adaptation (Light Novel) Momiji: ""Watashi... Ningyou ja Arimasen...""', '']",Momiji (OVA),,['Hentai'],,['School'],,,,
105,アンバランス,Sibling Secret: She's the Twisted Sister,['OVA'],3,Finished Airing,"Jun 28, 2002 to Dec 27, 2002",,,['Discovery'],['Critical Mass Video'],['AT-2'],Visual novel,,,30 min. per ep.,Rx - Hentai,5.66,N/A,#10732,"2,851",2,911,"The Hungry Bear is a restaurant where carnal appetites are satisfied to order. The waitress, Mika, has just uncovered the secret life of her late sister, a woman who would perform any sexual act, no matter how bizarre! But the secret's all in the sauce, and Mika vows to service her clientele's insatiable appetite for the exotic! (Source: AniDB)",[],Unbalance,,['Hentai'],,,,,,
106,女王様はＭ奴隷,Queen and Slave,['OVA'],1,Finished Airing,"Apr 18, 2002",,,['Five Ways'],['NuTech Digital'],['Image House'],['Manga'],,,27 min.,Rx - Hentai,5.36,N/A,#10845,"2,749",6,903,"Men are the enemies... As a young girl, Yumi (Yoshimi Terada) watched her mother leave her father, and her father bring in other women. She grew to hate her father and all men. Time has passed, and now Yumi is a nurse. But that is only her day job. Being a queen is her true calling. What will happen when Hiroyuki Ando, a former patient of hers who fell madly in love with her, finds out that she's not the gentle, caring person he thought he knew? (Source: AniDB)","['Adaptation (Manga) Joou-sama wa M Dorei', '']",Joou-sama wa M Dorei,"Jo-oh sama wa M Dorei, The Queen is a Masochist",['Hentai'],,,,,,
107,カミイラ,,['OVA'],3,Finished Airing,"Apr 18, 2002 to Sep 18, 2002",,,['Five Ways'],['NuTech Digital'],['Shinjukuza'],['Manga'],,,27 min. per ep.,Rx - Hentai,5.68,N/A,#11071,"2,573",3,912,"Late 20th century, during a time of rampant social corruption, a criminal market in human sex slavery has become increasingly common. The Japanese government created a specially trained task force to combat these crimes. (Source: AniDB)","['Adaptation (Manga) Kamyla', '']",Kamyla,,['Hentai'],,['Detective'],,,,
108,ナコルル ~あのひとからのおくりもの~,,['OVA'],1,Finished Airing,"May 25, 2002",,,['Atelier Musa'],"None found,",['Arms'],Game,"['Drama', 'Fantasy', 'Supernatural']",,28 min.,R+ - Mild Nudity,5.40,#12427,#11084,"2,559",1,1109,"Nakoruru, finally returned to her home Kamuikotan after a long, fierce battle, receives a warm welcome from dear friends and the village children. Her spirit is uplifted by her reunion with companions Manari and Yantamuu. But as the trauma of battle falls away, Rela appears and challenges Nakoruru and the shadow of misfortune creeps closer... Nakoruru is a popular Ainu girl from SNK's Samurai Spirits fighting game (PC and Dreamcast), now she has her very own OVA series. (Source: AniDB)",[],Nakoruru: Ano Hito kara no Okurimono,,,,['Historical'],,,,
109,flutter of birds～鳥達の羽ばたき～,Virgin Touch,['OVA'],2,Finished Airing,"May 24, 2002 to Aug 23, 2002",,,"['Pink Pineapple', 'Silky’s', 'Himajin Planning']","None found,",['Arms'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.67,N/A,#11129,"2,529",3,879,"Yusaku is heading home for the first time in eight years. He is a medical student about to take on a summer internship in the country working at his uncle's clinic. While on the train, he becomes smitten with a young woman sitting across from him, but is unable to summon the courage to speak to her. When he arrives in his hometown, he is reunited with friends from his childhood, and get introduced to gorgeous nurses, patients, and mysterious young girls. It is only a matter of time before Yusaku runs into the beautiful woman he saw on the train. (Source: AniDB)","['Sequel (OVA) Flutter of Birds II: Tenshi-tachi no Tsubasa', '']",Flutter of Birds: Tori-tachi no Habataki,Flutter of Birds,['Hentai'],,,,,,
110,月陽炎,,['OVA'],3,Finished Airing,"Jun 25, 2002 to Jun 25, 2003",,,['Milky Animation Label'],"None found,",['Ai Yume Mai'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.41,N/A,#11216,"2,467",6,672,Based on the game by Studio Miris.,"['Adaptation (Light Novel) Tsuki Kagerou', '']",Tsuki Kagerou,,['Hentai'],,,,,,
111,学園まりあ ～爆乳ティーチャーズ～,,['OVA'],1,Finished Airing,"Jun 25, 2002",,,['Shinyusha'],"None found,",['Sonsan Kikaku'],['Manga'],,,29 min.,Rx - Hentai,5.18,N/A,#11406,"2,337",3,668,Based on the manga by Aura Seiji (Source: AniDB),[],Gakuen Maria: Bakunyuu Teachers,Schoolmistress Maria,['Hentai'],,,,,,
112,ジェネレーション オブ カオス ネクスト～誓いのペンダント～,,['OVA'],1,Finished Airing,"May 22, 2002",,,['Idea Factory'],"None found,","None found,",Game,"['Action', 'Adventure', 'Fantasy', 'Romance']",,27 min.,PG-13 - Teens 13 or older,3.30,#13839,#11763,"2,093",1,939,"Prologue to the second game in the Generation of Chaos RPG series. Ellile is a knight-in-training in the Kingdom of Fredbarn in the Neverland World. He and Princess Roji are secretly in love, and plan to marry. Lifile, the head of the knights, finds out, and tells Ellile that he's not strong enough to protect Roji, let alone the Kingdom. Ellile becomes frustrated, and comtemplates what to do... During the OVA, there are a few animated shorts dealing with a fourth character, Poro, her robot friend, and the GOC Next cast. (Source: ANN)","['Prequel (OVA) Generation of Chaos', 'Sequel (OVA) Generation of Chaos III: Toki no Fuuin']",Generation of Chaos Next: Chikai no Pendant,,,,['Military'],,,,
113,椿色のプリジオーネ,,['OVA'],3,Finished Airing,"Jun 25, 2002 to Dec 21, 2002",,,['Green Bunny'],"None found,",['Shinkuukan'],Visual novel,,,30 min. per ep.,Rx - Hentai,5.35,N/A,#11860,"2,035",1,596,"Saionji Akitsugu is the heir to his father's immense fortune. But, he hates his father as he holds him responsible for pushing his mother to kill herself. When his father dies, Saionji is the least bit inclined to claim his inheritance. But his newly arrived secretary, Sannomiya Rei convinces him otherwise. He finally arrives at his ancestral home - a palatial mansion brimming with pliant maids who, he presumes, existed for the sole purpose of servicing their now deceased master... (Source: ANN)","['Adaptation (Light Novel) Tsubaki-iro no Purijioone', '']",Tsubaki-iro no Prigione,"Heritage from Father, Camilla-Colored Prison",['Hentai'],,,,,,
114,ディープボイス,,['OVA'],3,Finished Airing,"Apr 25, 2002 to Sep 25, 2002",,,['Milky Animation Label'],"None found,",['Studio Jam'],Visual novel,,,30 min. per ep.,Rx - Hentai,5.33,N/A,#11993,"1,957",0,572,"The story is set in an old Western-style hospital where Takumi is confined. Takumi has gained some strange abilities after he had an accident. He can see the ""deep voices"" of the past events bound in different places in the hospital, and also gets into other people's consciousness on times he is asleep. With Amano Aki, he tries to investigate about the mysterious past in the hospital. At the same time, a doctor, Yanagi Hiroko, tries to study about Takumi's strange ability.","['Adaptation (Light Novel) Deep Voice', '']",Deep Voice,,['Hentai'],,,,,,
115,屈折,,['OVA'],3,Finished Airing,"Feb 22, 2002 to Jul 26, 2002",,,['Pink Pineapple'],"None found,",['AIC'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.69,N/A,#12428,"1,692",0,510,"* Based on a game by Candy House The best friend of a high school boy decides to destroy the perfect world around his friend by taking his stepmother, stepsisters, and female friends from him. Deceit, lust, and revenge are preformed by all parties before it all crashes down. (Source: Fakku)",[],Kussetsu,,['Hentai'],,,,,,
116,螺旋回廊,,['OVA'],2,Finished Airing,"Jun 28, 2002 to Sep 27, 2002",,,['Pink Pineapple'],"None found,",['Studio Kyuuma'],Visual novel,,,27 min. per ep.,Rx - Hentai,5.33,N/A,#12778,"1,509",4,332,"Saeki is an assistant professor at the university, who happened to find a unique site while surfing the net. The site displays abducted woman who have been enslaved for the purpose of fulfilling the desires of EDEN's visitors. The woman are used as tools of pleasure, they are humiliated and abused in all manor imaginable. Has Saeki gotten himself in too deep and how will he fair when EDEN's newest victim is a familiar student from his university. Will he find himself unable to turn away from the darkness that is EDEN? (Source: AniDB)","['Adaptation (Light Novel) Rasen Kairou', '']",Rasen Kairou,,['Hentai'],,,,,,
117,魔法のスターマジカルエミ 雲光る,,['OVA'],1,Finished Airing,"May 25, 2002",,,"None found,","None found,",['Ajia-do'],Original,"['Comedy', 'Slice of Life']",,14 min.,G - All Ages,6.22,#8711,#12801,"1,502",1,625,"Kazuki Mai, an elementary schoolgirl, wanted to be a magician but her skills weren't good enough for here to join her grandparents' Magiccarat troupe. One day she sees a light enter a strange heart-shaped mirror. The light is actually a mirror fairy named Topo, who takes over her favourite stuffed toy, a flying squirrel and gives her a bracelet with the 4 card suits. The bracelet can turn into a bubble wand which transforms Mai into the 18 year old magician Magical Emi, who uses her magic to help people and participate in her grandparents' shows.",[],Mahou no Star Magical Emi: Kumo Hikaru,,,,['Mahou Shoujo'],,,,
118,幼●美少女みるくちゃん,,['OVA'],1,Finished Airing,"May 7, 2002",,,['Obtain Future'],"None found,","None found,",Unknown,,,31 min.,Rx - Hentai,4.93,N/A,#12978,"1,424",2,461,Who ever knew college classes could be so fun? When this college student asked for help she got more than she ever bargained for from her private tutor. She tried to resist at first but gave into the intense pleasure. Forget about class work - let the sexual lesson continue! (anidb),[],You Bishoujo Miruku-chan,My Private Tutor,['Hentai'],,,,,,
119,名探偵コナン 古代恐竜の謎に迫れ!,,['OVA'],1,Finished Airing,"Jun 21, 2002",,,"None found,","None found,","None found,",['Manga'],,,15 min.,PG-13 - Teens 13 or older,6.21,#8779,#13053,"1,398",1,263,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!,Detective Conan: Approaching the Mystery of the Ancient Dinosaurs!,['Mystery'],,,,,,
