,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Synonyms,Spanish,German,French,Genre,Demographics
28,스피드왕 번개,Wings of Dragon,['TV'],26,Finished Airing,"May 18, 1998 to Aug 18, 1998",['Spring 1998'],Unknown,"None found,","None found,","None found,",['Light novel'],,"['School', 'Strategy Game']",24 min. per ep.,None,6.17,#8968,#15068,803,1,264,Lightning Khan and a group of elementary school students compete against another team in a game of rollerblades and RC car racing as they plan to attend the National convention.,[],Seupideuwang Beongae,,,,,,,['Sports'],
29,たこやきマントマン,Takoyaki Capeman,['TV'],77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",['Spring 1998'],Unknown,['Youmex'],"None found,",['Pierrot'],Picture book,"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.12,#9288,#15622,686,2,152,"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story. (Source: ANN)",[],Takoyaki Mant-Man,,,"Takoyaki Mantoman, Takoyaki Mantman",,,,,
30,바이오캅 윙고,Bio Cop Wingo,['TV'],14,Finished Airing,"Apr 24, 1998 to Jul 24, 1998",['Spring 1998'],Unknown,"None found,","None found,","None found,",Original,,,25 min. per ep.,PG - Children,[],#16985,#23557,122,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bio Cop Wingo,,['Kids'],Baiokab Wingo-go,,,,['Fantasy'],
31,ピンカと海のお友達,,['TV'],23,Finished Airing,"Apr 13, 1998 to Sep 21, 1998",['Spring 1998'],Unknown,"None found,","None found,","None found,",Unknown,,,4 min. per ep.,PG - Children,[],#21054,#28040,41,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Pinka to Umi no Otomodachi,,,,,,,,
32,ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,564",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,,['Kids'],"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",Pokémon,Pokémon,Pokémon,,
33,るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin,['TV'],94,Finished Airing,"Jan 10, 1996 to Sep 8, 1998",['Winter 1996'],Wednesdays at 19:30 (JST),"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Media Blasters', 'Aniplex of America']","['Gallop', 'Studio Deen']",['Manga'],"['Action', 'Comedy', 'Romance']","['Historical', 'Samurai']",25 min. per ep.,PG-13 - Teens 13 or older,8.28,#306,#466,"510,267","10,248",242626,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? [Written by MAL Rewrite]","['Prequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Sequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan', '']",Rurouni Kenshin: Meiji Kenkaku Romantan,,['Shounen'],"Samurai X, Wandering Kenshin: Romantic Tales from the Meiji Era","Kenshin, el Guerrero Samurai",Rurouni Kenshin,Kenshin le Vagabond,,
34,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,904","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Detective'],['Shounen'],Detective Conan,,Case Closed,,,
35,星方武侠アウトロースター,Outlaw Star,['TV'],24,Finished Airing,"Jan 9, 1998 to Jun 26, 1998",['Winter 1998'],Fridays at 01:15 (JST),"['Sotsu', 'Victor Entertainment']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,R+ - Mild Nudity,7.83,#972,#1550,"162,964","2,237",64970,"Gene Starwind has always dreamed of piloting his own ship out into the vast sea of stars. Unfortunately, not all dreams come true, as he spends his days working odd jobs alongside his partner, James Hawking, on the small planet Sentinel III instead. However, this all takes a turn when the duo takes on a job from Rachel Sweet who, unbeknownst to them, is actually a treasure-hunting outlaw. Tasked with protecting a mysterious girl known as Melfina, the meeting irrevocably changes the pair's lives as they are sent out into the great unknown aboard the highly advanced ship, Outlaw Star. Seihou Bukyou Outlaw Star follows Gene and his ragtag crew as they brave the final frontier, navigating the stars in search of answers to the mysteries surrounding Melfina. Encountering dangerous bounty hunters, space pirates, Taoist mages, and even catgirls, there is sure to be an exhilarating adventure around every corner. [Written by MAL Rewrite]","['Adaptation (Manga) Outlaw Star', '']",Seihou Bukyou Outlaw Star,['Space'],['Seinen'],"Future Hero Next Generation Outlaw Star, Starward Warrior Knight Outlaw Star",Outlaw Star,,Outlaw Star,,
36,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1030,#2402,"88,104","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,['School'],['Seinen'],,Shin Chan,Shin Chan,,,
37,烈火の炎,Flame of Recca,['TV'],42,Finished Airing,"Jul 19, 1997 to Jul 10, 1998",['Summer 1997'],Saturdays at 18:30 (JST),['Fuji TV'],"['VIZ Media', 'Discotek Media']",['Pierrot'],['Manga'],"['Action', 'Adventure']","['Martial Arts', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,7.34,#2653,#2767,"69,958",270,29060,"Most people think that ninjas are a thing of the past, but Rekka Hanabishi wishes otherwise. Although he comes from a family that makes fireworks, he likes to think of himself as a self-styled, modern-day ninja. Sounds like fun, right? Maybe not. Rekka ends up in lots of fights because he once made the bold announcement that if someone can defeat him, he will become their servant. Then one day, Rekka meets Yanagi Sakoshita, a gentle girl with the ability to heal any wound or injury. Their meeting sets off a chain of events, which culminate into a shocking discovery. Rekka is the last surviving member of a legendary ninja clan that was wiped out centuries ago. Even more astonishing than being an actual ninja, he also wields the power to control fire. What does this mean for Rekka? Who are these strange people after him and Yanagi? Find out in Rekka no Honoo!","['Sequel (Special) Rekka no Honoo: Final Burning', 'Adaptation (Manga) Rekka no Honoo']",Rekka no Honoo,,['Shounen'],Recca no Honoo,Flame of Recca,Flame of Recca,Flame of Recca,,
38,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),['Anthropomorphic'],,,Doraemon,,,,"['Kids', 'Shounen']"
39,金田一少年の事件簿,The File of Young Kindaichi,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,,['Shounen'],"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",,,,['Mystery'],
40,中華一番,,['TV'],52,Finished Airing,"Apr 27, 1997 to Sep 13, 1998",['Spring 1997'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Comedy', 'Drama', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.60,#1589,#5057,"20,930",123,8605,"The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything. The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong. The beginning of the story takes place in Szechuan, Mao's birthplace. After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking. (Source: Wikipedia)","['Sequel (TV) Shin Chuuka Ichiban!', 'Adaptation (Manga) Chuuka Ichiban!']",Chuuka Ichiban!,,['Shounen'],Cooking Master Boy,,,,,
41,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,['Shounen'],"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",Kochikame,,,['Comedy'],
42,ドクタースランプ,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,['Gag Humor'],['Shounen'],"Dr. Slump 2, Doctor Slump",,,,,
43,バーンナップEXCESS,Burn Up Excess,['TV'],13,Finished Airing,"Dec 12, 1997 to Jul 1, 1998",['Winter 1998'],Unknown,['AIC'],['ADV Films'],['Magic Bus'],Original,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi', 'Ecchi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.53,#6875,#6094,"12,811",20,5073,"Follows the exploits of Team Warrior, a special anti-terror wing of the Neo-Tokyo Police force. Team Warrior is comprised of the habitually broke Rio, gun-crazy Maya, computer specialist Lillica, tech-expert Nanvel, piliot/voyeur Yuji, and is led by the enigmatic Maki. The team faces a number of missions, ranging from bodyguard duty, breaking up robbery and arms rackets, and providing security for a very powerful tank. Rio and company continually thwart the terrorist aims of Ruby, an operative for a shadowy cabal of powerful men. Before the final showdown, the circumstances behind the formation of Team Warrior, how the precocious Rio came to join it, and Maki's painful past will be revealed. (Source: ANN)","['Prequel (OVA) Burn Up! W', 'Adaptation (Manga) Burn-Up: Excess & W']",Burn Up Excess,['Detective'],,"Burn Up! X, Burn Up! Excess, Burn-Up Excess",,,,,
44,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
45,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4020,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,['Kids'],"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",El Ninja Boy Rantaró,,,['Comedy'],
46,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2627,#7911,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['School'],['Shoujo'],Maruko-chan,Chibi Maruko-chan,,,['Comedy'],
47,白鯨伝説,Hakugei: Legend of the Moby Dick,['TV'],26,Finished Airing,"Apr 9, 1997 to May 12, 1999",['Spring 1997'],Wednesdays at 18:30 (JST),"['Tezuka Productions', 'Sony Music Entertainment', 'Image Kei']",['ADV Films'],"['Studio Junio', 'Annapuru']",Original,"['Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6615,#8536,"5,680",33,1490,A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time?,[],Hakugei Densetsu,['Space'],,"Hakugei: Legend of the Moby Dick, Legend of the White Whale",,,,,
48,夢のクレヨン王国,Crayon Kingdom of Dreams,['TV'],70,Finished Airing,"Sep 7, 1997 to Jan 31, 1999",['Fall 1997'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Book,"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,7.23,#3228,#8734,"5,337",27,1656,"The civilians of the Crayon Kingdom have always view their Princess Silver as a twelve-year old girl with a beautiful smile. However, unknown to them, the princess has 12 bad habits. This has created much distress to the Chameleon Prime Minister and the Crayon ministers for it would be embarassing if this gets out. One day, a party was held to celebrate Princess Silver's twelvth birthday. The princess was trying to seek her Prince Charming that she forgot to take notice of her bad habits. One of the boys at the party was so angry that he changed Silver's parents, the King and Queen, into stone. In order to break the curse and save her parents, Silver decided to set on a journey to locate the boy. Together with her companions, Silver begins her adventure.","['Adaptation (Manga) Yume no Crayon Oukoku', '']",Yume no Crayon Oukoku,,,,,,,,
49,爆走兄弟レッツ＆ゴー!! ＭＡＸ,,['TV'],51,Finished Airing,"Jan 5, 1998 to Dec 21, 1998",['Winter 1998'],Mondays at 18:00 (JST),['Shogakukan Productions'],"None found,",['Xebec'],['Manga'],,,25 min. per ep.,G - All Ages,6.65,#6179,#9188,"4,621",7,2610,"The story follows the life of Retsuya and Gouki, two brothers with the same objective as Go and Retsu, to race and win championships! The two new brothers are faced with various traps set by an evil organization...together, along with other friends, they try to enjoy their races as much as possible, showing off their competitive spirit and taking down any kind of evil that might put the sport they love so much at risk!","[""Prequel (TV) Bakusou Kyoudai Let's & Go WGP"", ""Adaptation (Manga) Bakusou Kyoudai Let's & Go!! MAX""]",Bakusou Kyoudai Let's & Go MAX,['Racing'],['Kids'],"Bakuso Kyodai Let's & Go!! MAX, Bakusou Kyoudai Lets & Go Max, Bakusou Kyoudai Let's & Go!! MAX",,,,['Action'],
50,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,['Kids'],"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,
51,ふしぎ魔法 ファンファン・ファーマシィー,,['TV'],48,Finished Airing,"Feb 15, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,12 min. per ep.,G - All Ages,7.04,#4195,#9370,"4,331",29,1188,"In a small town, there is a small pharmacy called Fun Fun Pharmacy. Popuri, a girl who recently moved in downtown, discovers this pharmacy and meets Miss Fukiko, who is actually a witch. Miss Fukiko gives Popuri a mysterious bottle that can create magic spirits.","['Adaptation (Manga) Fushigi Mahou Fun Fun Pharmacy', '']",Fushigi Mahou Fun Fun Pharmacy,,['Kids'],Mysterious Magic Fun Fun Pharmacy,,,,,
52,B[ボンバーマン]ビーダマン爆外伝,,['TV'],48,Finished Airing,"Feb 7, 1998 to Jan 31, 1999",['Winter 1998'],Saturdays at 17:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.60,#6472,#9745,"3,860",5,1884,"A long time ago, B-Da City was attacked by an evil force called the Dark B-Da (or dark beings) in their quest to control the entire Blue Solar System. The heroic B-Daman, drawing on their legendary powers and ingenious technology, were able to overthrow the Nol Arc Empire and restore peace to the universe. One thousand years later, the Dark B-Da have finally returned to conquer the Blue Solar System and make it part of their dominion. A young B-Daman called Shirobon, with a strong sense of justice, becomes a defender of B-Da City. Along with the help of his friends, They join the battle against the Dark B-Da who have come to destroy their home! (Source: Bomberman Wiki)","['Sequel (TV) Bomberman B-Daman Bakugaiden Victory', '']",Bomberman B-Daman Bakugaiden,,,"Bomberman Bedaman Bakugaiden, Bomberman Bidaman Bakugaiden, Bomber Man & Marbleman's Explosive Side Story",,,,,
53,フォーチュン·クエストL,Fortune Quest,['TV'],26,Finished Airing,"Oct 18, 1997 to May 23, 1998",['Fall 1997'],Sundays at 01:35 (JST),"None found,",['Media Blasters'],['E&G Films'],Novel,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6532,#10767,"2,826",1,925,"Our story is set in another world, parallel to ours. We meet Pastel, an orphan girl, 18 years old, who lives with a group of adventurers in a small house. Pastel works as a writer and also a ""mapper"", charting towns, the countryside, rivers and mountains with sketches and illustrations. She is highly respected by her friends as her intelligence and honesty are extraordinary. Living in the house with Pastel, we meet Clay, a young swordsman; Trapp, the son of a bandit chieftain; Kitton, literally a working dictionary and a descendant of the Family Kittons; Knoll, a big guy a with tender heart; Whitey, a baby dragon; and Rumy, an infant sorcerer of the tribe ""Elf."" Together this odd group become involved in many mysterious adventures from treasure hunting, to searching for a missing person, to challenging a riddle, to many more unexpected quests. (Source: Enoki Films USA)","['Prequel (OVA) Fortune Quest: Yonimo Shiawase na Boukensha-tachi', '']",Fortune Quest L,,,,,,,,
54,超魔神英雄伝ワタル,Super Demon Hero Wataru,['TV'],51,Finished Airing,"Oct 2, 1997 to Sep 24, 1998",['Fall 1997'],Fridays at 17:00 (JST),"None found,","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Comedy']",,24 min. per ep.,G - All Ages,7.00,#4402,#11222,"2,461",11,939,"After the battle with Doakuder at Soukaizan (the ""other"" world where the rainbow has disappeared because of the devils), a demon world Devil came to Genseikai (human world) and stole Wataru's conscience. Because of that, Wataru's heart of justice and his memories of being Kyuuseishu (world savior) vanished. After Shibaraku and Himiko brought him back to Shinbukai (the ""other"" world, where Soukaizan is located), Wataru regained his memories, however his conscience was still missing. To get it back, Kyuuseishu Wataru must return to fight the devils, rescuing all of Soukaizan from catastrophe! Chou Mashin Eiyuuden Wataru is the 3rd work of the Mashin Eiyuuden Wataru TV series by SUNRISE, and is considered as a ""remake"" series of the previous Wataru series. It started airing from October 2, 1997, and ended on September 24, 1998, every Thursday from 6:00 to 6:30pm, with a total of 51 episodes. (Source: AniDB)","['Prequel (TV) Mashin Eiyuuden Wataru', '']",Chou Mashin Eiyuuden Wataru,['Mecha'],,,,,,,
