,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,French,Demographic,Themes,Spanish,Theme,Genre,Demographics
31,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,#704,#35,"2,075,323","78,070",1188975,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,['Shounen'],,,,,
32,サムライチャンプルー,Samurai Champloo,['TV'],26,Finished Airing,"May 20, 2004 to Mar 19, 2005",['Spring 2004'],Saturdays at 10:30 (JST),"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']","['Funimation', 'Geneon Entertainment USA']",['Manglobe'],Original,"['Action', 'Adventure', 'Comedy']",24 min. per ep.,R - 17+ (violence & profanity),8.51,#138,#109,"1,288,291","39,308",658824,"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son. For their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other. Set in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack. [Written by MAL Rewrite]","['Adaptation (Manga) Samurai Champloo', '']",Samurai Champloo,SAMURAI CHAMPLOO,,,,"['Historical', 'Samurai']",,,,
33,モンスター,Monster,['TV'],74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",['Spring 2004'],Wednesdays at 00:40 (JST),"['VAP', 'Nippon Television Network']",['VIZ Media'],['Madhouse'],['Manga'],"['Drama', 'Mystery', 'Suspense']",24 min. per ep.,R+ - Mild Nudity,8.88,#24,#123,"1,210,754","56,858",459073,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]","['Adaptation (Manga) Monster', '']",Monster,,,,['Seinen'],"['Adult Cast', 'Psychological']",,,,
34,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,864","15,329",164349,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,Case Closed,,['Shounen'],,,['Detective'],,
35,ベック,Beck: Mongolian Chop Squad,['TV'],26,Finished Airing,"Oct 7, 2004 to Mar 31, 2005",['Fall 2004'],Thursdays at 01:30 (JST),"['Marvelous Entertainment', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Funimation'],['Madhouse'],['Manga'],,25 min. per ep.,R - 17+ (violence & profanity),8.29,#296,#716,"356,422","8,778",145417,"Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan. [Written by MAL Rewrite]","['Adaptation (Manga) Beck', '']",Beck,BECK,,Beck: Mongolian Chop Squad,['Shounen'],,Beck: Mongolian Chop Squad,['Music'],['Drama'],
36,スクールランブル,School Rumble,['TV'],26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Starchild Records', 'Media Factory', 'DAX Production']",['Funimation'],['Studio Comet'],['Manga'],"['Comedy', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,7.88,#854,#768,"335,832","5,284",152199,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire. [Written by MAL Rewrite]","['Sequel (TV) School Rumble Ni Gakki', 'Adaptation (Manga) School Rumble']",School Rumble,,,,['Shounen'],"['Gag Humor', 'Love Polygon', 'School']",,,,
37,巌窟王,Gankutsuou: The Count of Monte Cristo,['TV'],24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",['Fall 2004'],Tuesdays at 02:12 (JST),"['GDH', 'TV Asahi', 'Media Factory', 'Sotsu Music Publishing', 'Future Vision Music']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],Novel,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",24 min. per ep.,R - 17+ (violence & profanity),8.11,#518,#1007,"258,987","3,952",76811,"In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance. Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge. [Written by MAL Rewrite]","['Adaptation (Light Novel) Gankutsuou', 'Adaptation (Manga) Gankutsuou']",Gankutsuou,The King of the Cavern,Gankutsuou: The Count of Monte Cristo,Gankutsuou-Le Comte de Monte-Cristo-,,,Gankutsuou: The Count of Monte Cristo,,,
38,遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3320,#1156,"225,899","1,731",140773,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",,Yu-Gi-Oh! GX,['Shounen'],,Yu-Gi-Oh! GX,['Strategy Game'],,
39,頭文字〈イニシャル〉D FOURTH STAGE,,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,537","1,381",112324,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D', '']",Initial D Fourth Stage,Initial D 4th Stage,,Initial D 4ème-Etape,['Seinen'],,Initial D: Supera el Límite de Velocidad Temporada 4,['Racing'],,
40,ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,927",295,120792,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",Pokémon: Rubin und Saphir,Pokémon Advance,['Kids'],,Pokémon Advanced,,,
41,テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,919","3,041",86553,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,"TeniPuri, PoT",,The Prince of Tennis,['Shounen'],,,['School'],['Sports'],
42,砂ぼうず,Desert Punk,['TV'],24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",['Fall 2004'],Tuesdays at 01:30 (JST),"['GDH', 'Pony Canyon', 'CBC Television', 'Omnibus Promotion', 'RKB Mainichi Broadcasting Corporation']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",24 min. per ep.,R - 17+ (violence & profanity),7.36,#2534,#1687,"145,398",858,56668,"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing. [Written by MAL Rewrite]","['Adaptation (Manga) Sunabouzu', '']",Sunabouzu,Sunabozu,Desert Punk,Desert Punk,['Seinen'],,Desert Punk,,,
43,金色のガッシュベル!!,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1772,#1817,"132,177","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,Zatch Bell!,['Shounen'],,,['Mythology'],,
44,舞-HiME,My-Hime,['TV'],26,Finished Airing,"Oct 1, 2004 to Apr 1, 2005",['Fall 2004'],Fridays at 01:30 (JST),"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Fantasy', 'Girls Love']",23 min. per ep.,PG-13 - Teens 13 or older,7.40,#2377,#1969,"118,816","1,142",52855,"While taking a ferry to Fuuka Academy, new students Mai Tokiha and her sickly younger brother, Takumi, spot a girl adrift on the water. Shortly after bringing her aboard, the ferry comes under attack from an assailant who summons a mechanical monster. Despite still recovering from her injuries, Mikoto Minagi fends off the monster using a supernatural sword. Mai soon discovers that Mikoto is a fellow Fuuka Academy student with abilities called HiME (Highly-advanced Materializing Equipment). Female students with HiME are responsible for defending the academy and the local city from the monstrous ""Orphans."" After several incidents at the school involving battles against these mysterious creatures, Mai learns that she is a HiME herself and is capable of summoning a Child, a mechanical creature capable of great utility and firepower. Now burdened with new responsibilities, Mai joins 12 other HiME as they safeguard the school from a threat they know little about all while protecting the ones closest to them. [Written by MAL Rewrite]","['Adaptation (Manga) Mai-HiME', '']",Mai-HiME,My Princess,My-Hime,My-Hime,,"['Mahou Shoujo', 'School']",,,,
45,今日からマ王！,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,722","1,379",43043,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",,,['Shoujo'],,,['Isekai'],,
46,機動戦士ガンダムSEED DESTINY,Mobile Suit Gundam SEED Destiny,['TV'],50,Finished Airing,"Oct 9, 2004 to Oct 1, 2005",['Fall 2004'],Saturdays at 18:00 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,"['Action', 'Drama', 'Romance', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),7.17,#3521,#2049,"112,938","1,131",67671,"In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit. Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages. As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him. [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam SEED', 'Prequel (Special) Kidou Senshi Gundam SEED: Hoshi no Hazama de', 'Sequel (OVA) Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai', 'Adaptation (Manga) Kidou Senshi Gundam SEED Destiny']",Kidou Senshi Gundam SEED Destiny,Kidou Senshi Gundam SEED DESTINY,Mobile Suit Gundam Seed Destiny,Mobile Suit Gundam Seed Destiny,,"['Mecha', 'Military', 'Space']",Mobile Suit Gundam Seed Destiny,,,
47,メジャー （第1シリーズ）,,['TV'],26,Finished Airing,"Nov 13, 2004 to May 21, 2005",['Fall 2004'],Saturdays at 18:00 (JST),"['NHK', 'NHK Enterprises', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],,25 min. per ep.,PG-13 - Teens 13 or older,8.20,#387,#2159,"104,572","1,409",52722,"Gorou Honda, a little boy obsessed with baseball, has always admired his father, Shigeharu. Wishing to follow in his father's footsteps, Gorou dreams of becoming a professional baseball player. In turn, his son's starry-eyed admiration encourages Shigeharu to keep persevering, despite his late wife's death and his unsatisfying position on the second-string team Blue Ocean. Unfortunately, an elbow injury forces Shigeharu off the team, and he falls into despair. However, after an offhand joke from his childhood friend, Shigeharu reevaluates his choices and decides to keep playing, leaving behind his prime position as pitcher and taking up the bat. Now motivated more than ever, Gorou works hard to carve his way in the Japanese Little League. [Written by MAL Rewrite]","['Sequel (TV) Major S2', 'Sequel (Movie) Major Movie: Yuujou no Winning Shot', 'Adaptation (Manga) Major', '']",Major S1,,,,['Shounen'],,,['Team Sports'],['Sports'],
48,学園アリス,Gakuen Alice,['TV'],26,Finished Airing,"Oct 30, 2004 to May 14, 2005",['Fall 2004'],Saturdays at 08:06 (JST),"['Aniplex', 'Sogo Vision']",['Nozomi Entertainment'],['Group TAC'],['Manga'],,25 min. per ep.,G - All Ages,7.64,#1456,#2173,"103,496","1,488",52976,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend! Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru. Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga. [Written by MAL Rewrite]","['Adaptation (Manga) Gakuen Alice', '']",Gakuen Alice,"Campus Alice, Alice Academy",,Alice Academy,['Shoujo'],"['School', 'Super Power']",,,['Comedy'],
49,焼きたて!! ジャぱん,Yakitate!! Japan,['TV'],69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",['Fall 2004'],Unknown,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Nozomi Entertainment'],['Sunrise'],['Manga'],"['Comedy', 'Gourmet']",24 min. per ep.,PG-13 - Teens 13 or older,7.91,#795,#2208,"101,245",927,42264,"While countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution. [Written by MAL Rewrite]","['Adaptation (Manga) Yakitate!! Japan', '']",Yakitate!! Japan,Freshly Baked!! Ja-pan!,,,['Shounen'],,,,,
50,ボボボーボ・ボーボボ,Bobobo-bo Bo-bobo,['TV'],76,Finished Airing,"Nov 8, 2003 to Oct 15, 2005",['Fall 2003'],Unknown,"['Avex Entertainment', 'Dentsu', 'TV Asahi']","['Discotek Media', 'Illumitoon Entertainment']",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,7.50,#1945,#2264,"97,746","1,147",40250,"In a futuristic world, the Maruhage Empire is a militant organization out to steal everyone's hair, and thus their freedom. But a brave man with an afro of gold and nose hairs of steel stands up against their tyranny. Bobobo-bo Bo-bobo, trained in the ways of hair, rescues a teenager named Beauty from the grunts of the Maruhage Empire. Together, they start on a journey to defeat Emperor Tsuru Tsurulina IV. As Bo-bobo meets new friends and battles foes along the way, so too does he begin his quest to save all the hairs of the world! Light-hearted and comical, Bobobo-bo Bo-bobo details a wacky adventure in which Bo-bobo and his companions fight all sorts of villains and deviants within the Maruhage Empire, all the while having a fun and exciting adventure. [Written by MAL Rewrite]","['Adaptation (Manga) Bobobo-bo Bo-bobo', '']",Bobobo-bo Bo-bobo,"Boboboobo Boobobo, Bo-Bobo, Boboboubo Boubobo",,,['Shounen'],"['Gag Humor', 'Parody']",,,,
51,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",21 min.,G - All Ages,7.80,#1030,#2402,"88,081","1,330",42193,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,,['Seinen'],,Shin Chan,['School'],,
