,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Spanish,Themes,Genre,Demographics
27,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,892","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,['Detective'],['Shounen'],,,,
28,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,946",295,120802,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,Pokémon: Rubin und Saphir,Pokémon Advance,,['Kids'],Pokémon Advanced,,,
29,"TeniPuri, PoT",テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,933","3,041",86561,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,,The Prince of Tennis,['School'],['Shounen'],,,['Sports'],
30,Kidou Senshi Gundam SEED,機動戦士ガンダムSEED,Mobile Suit Gundam SEED,['TV'],50,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Saturdays at 18:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),7.74,#1190,#1417,"178,126","3,660",99081,"In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies. Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams. While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it. [Written by MAL Rewrite]","['Sequel (Special) Kidou Senshi Gundam SEED: Hoshi no Hazama de', 'Adaptation (Manga) Kidou Senshi Gundam SEED', 'Adaptation (Light Novel) Kidou Senshi Gundam SEED', '']",Kidou Senshi Gundam SEED,Mobile Suit Gundam Seed,Mobile Suit Gundam Seed,,,Mobile Suit Gundam Seed,"['Mecha', 'Military', 'Space']",,
31,,プリンセスチュチュ,Princess Tutu,['TV'],38,Finished Airing,"Aug 16, 2002 to May 23, 2003",['Summer 2002'],Fridays at 20:30 (JST),"['Memory-Tech', 'GANSIS', 'Marvelous AQL', 'Omnibus Promotion']","['ADV Films', 'Sentai Filmworks']",['HAL Film Maker'],Original,"['Drama', 'Mystery', 'Romance']",16 min. per ep.,PG-13 - Teens 13 or older,8.14,#472,#1430,"176,475","5,207",68341,"In a fairy tale come to life, the clumsy, sweet, and gentle Ahiru seems like an unlikely protagonist. In reality, Ahiru is just as magical as the talking cats and crocodiles that inhabit her town—for Ahiru really is a duck! Transformed by the mysterious Drosselmeyer into a human girl, Ahiru soon learns the reason for her existence. Using her magical egg-shaped pendant, Ahiru can transform into Princess Tutu—a beautiful and talented ballet dancer whose dances relieve people of the turmoil in their hearts. With her newfound ability, Ahiru accepts the challenge of collecting the lost shards of her prince's heart, for long ago he had shattered it in order to seal an evil raven away for all eternity. Princess Tutu is a tale of heroes and their struggle against fate. Their beliefs, their feelings, and ultimately their actions will determine whether this fairy tale can reach its ""happily ever after."" [Written by MAL Rewrite]","['Adaptation (Manga) Princess Tutu', '']",Princess Tutu,,Princesse Tutu,,,,"['Anthropomorphic', 'Love Polygon', 'Mahou Shoujo', 'Performing Arts']",,
32,Digimon Season Four,デジモンフロンティア,Digimon Frontier,['TV'],50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Flatiron Film Company'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",23 min. per ep.,PG - Children,7.16,#3591,#1559,"161,624",611,99413,"With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).","['Adaptation (Manhua) Digimon Frontier', '']",Digimon Frontier,,,['Isekai'],,Digimon 4 Frontier,,,
33,,東京ミュウミュウ,Mew Mew Power,['TV'],52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",['Spring 2002'],Saturdays at 08:00 (JST),"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['4Kids Entertainment'],['Pierrot'],['Manga'],"['Romance', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.10,#3886,#1561,"161,460","1,708",77315,"Ichigo Momomiya expected her date with her crush, Masaya Aoyama, to have a more romantic ending than her falling asleep after she sees a vision of a cat entering her body. Things get even stranger when, the next day, she begins displaying cat-like behaviors such as an intense craving for fish. When Masaya is attacked by a monster, she discovers that she is able to transform into the cat-eared magical girl, Mew Ichigo. After she saves Masaya, two researchers named Ryou Shirogane and Keiichiro Akasaka approach her and reveal they had injected her with Iriomote Cat DNA in order to create a magical girl that can save the world from aliens. Ichigo is tasked with fighting these monsters, but saving the world proves to be just too much for Ichigo to handle by herself. Fortunately, she learns that there are four other girls just like her, and now, Ichigo must find them quickly before the aliens completely take over the planet. [Written by MAL Rewrite]","['Adaptation (Manga) Tokyo Mew Mew Read Manga', '']",Tokyo Mew Mew,,Mew Mew Power,['Mahou Shoujo'],['Shoujo'],,,,
34,"12 Kingdoms, Juuni Kokki",十二国記,The Twelve Kingdoms,['TV'],45,Finished Airing,"Apr 9, 2002 to Aug 30, 2003",['Spring 2002'],Unknown,"['NHK', 'Sogo Vision']","['Media Blasters', 'Discotek Media']",['Pierrot'],Novel,"['Action', 'Adventure', 'Fantasy']",25 min. per ep.,PG-13 - Teens 13 or older,8.01,#649,#1560,"161,575","2,566",47626,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend. But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die. [Written by MAL Rewrite]","['Adaptation (Light Novel) Juuni Kokuki', '']",Juuni Kokuki,The Twelve Kingdoms,Les 12 Royaumes,['Isekai'],,Doce Reinos,,,
35,Hikaru's Go,ヒカルの碁,Hikaru no Go,['TV'],75,Finished Airing,"Oct 10, 2001 to Mar 26, 2003",['Fall 2001'],Unknown,"['TV Tokyo', 'Dentsu', 'Dream Force']",['VIZ Media'],['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.07,#566,#1701,"143,559","2,477",65029,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru. Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning. [Written by MAL Rewrite]","['Sequel (Special) Hikaru no Go: Hokuto Hai e no Michi', 'Adaptation (Manga) Hikaru no Go']",Hikaru no Go,,,,['Shounen'],,"['School', 'Strategy Game']",,
36,GetBackers: Dakkanya,ゲットバッカーズ　奪還屋,Getbackers,['TV'],49,Finished Airing,"Oct 5, 2002 to Sep 20, 2003",['Fall 2002'],Saturdays at 17:30 (JST),"['TBS', 'Kodansha', 'Rondo Robe', 'Rakuonsha']","['ADV Films', 'Sentai Filmworks']",['Studio Deen'],['Manga'],"['Action', 'Mystery', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1697,#1888,"125,541",887,54789,"Mido Ban and Amano Ginji are known as the Get Backers, retrievers with a success rate of 100%. Whatever is lost or stolen, they can definitely get it back. Despite their powerful abilities and enthusiastic behavior, Ban and Ginji are terminally broke no matter what they do simply because few people would actually desire to hire them. As a result, the pair of them tend to do dangerous jobs, often leading to unwanted re-encounters with their old (and dangerous) friends.","['Adaptation (Manga) GetBackers', '']",GetBackers,Getbackers,Get Backers,['Super Power'],['Shounen'],Get Backers,,,
37,"Full Moon o Sagashite, Mangetsu wo Sagashite",満月をさがして,Searching for the Full Moon,['TV'],52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",['Spring 2002'],Saturdays at 07:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","['VIZ Media', 'AnimEigo']",['Studio Deen'],['Manga'],"['Comedy', 'Drama', 'Romance', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,#775,#2047,"113,186","1,868",49083,"Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon. There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left. Full Moon wo Sagashite follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately, what it means to live. [Written by MAL Rewrite]","['Adaptation (Manga) Full Moon wo Sagashite', '']",Full Moon wo Sagashite,,,,['Shoujo'],,"['Music', 'Showbiz']",,
38,"Big O Roger, Big O",THEビッグオー,The Big O,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,,,,,"['Adult Cast', 'Mecha', 'Psychological']",,
39,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",21 min.,G - All Ages,7.80,#1030,#2402,"88,094","1,330",42201,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,['School'],['Seinen'],Shin Chan,,,
40,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,['Anthropomorphic'],,Doraemon,,,"['Kids', 'Shounen']"
41,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,Hamtaro,['Anthropomorphic'],['Kids'],Hamtaro,,,
42,,スパイラル -推理の絆-,Spiral: Bond of Reasoning,['TV'],25,Finished Airing,"Oct 1, 2002 to Mar 25, 2003",['Fall 2002'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Sotsu', 'SME Visual Works', 'Rakuonsha']",['Funimation'],['J.C.Staff'],['Manga'],"['Drama', 'Mystery']",23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3308,#3176,"54,100",300,23521,"Ayumu Narumi has lived all his life in the shadow of his famous detective brother, Kiyotaka. However, Kiyotaka disappeared two years ago, leaving behind his wife Madoka and Ayumu himself, along with a cryptic message about the ""Blade Children."" One day, a girl at Ayumu's school suddenly dies. What seemed like a suicide at first glance turns out to be a murder, and Ayumu is the prime suspect. While investigating the person responsible for framing him, he discovers that the mysterious Blade Children are involved—and they somehow know Kiyotaka personally. Ayumu soon finds out just how dangerous the Blade Children are and learns that, in reality, he and Kiyotaka are intertwined more closely than he had ever believed. [Written by MAL Rewrite]","['Adaptation (Manga) Spiral: Suiri no Kizuna Read Manga', '']",Spiral: Suiri no Kizuna,,,,['Shounen'],,,,
43,,キディ・グレイド,Kiddy Grade,['TV'],24,Finished Airing,"Oct 9, 2002 to Mar 19, 2003",['Fall 2002'],Wednesdays at 01:58 (JST),['gimik'],['Funimation'],['Gonzo'],Original,"['Action', 'Sci-Fi']",23 min. per ep.,R+ - Mild Nudity,7.17,#3519,#3388,"48,057",250,19719,"In the distant future, humanity has taken to the skies and colonized many planets throughout the universe. An agency known as the Galactic Organization of Trade and Tariffs (GOTT) has been formed to maintain order. Within GOTT, a secret squad of enhanced human beings—known as the ES Unit—carry out secret missions to put a stop to major galactic crimes. Two such operatives are the lowly C-ranked Éclair and Lumière. Despite being on the bottom of the totem pole, the pair wield formidable powers: Éclair's superhuman strength and lipstick whip and Lumière's ability to take control of any computer. Together, they can take on any mission that GOTT throws at them. But as they complete more and more missions, the duo begin to uncover a major conspiracy that leaves them questioning everything they know about themselves and the entire galaxy. [Written by MAL Rewrite]","['Sequel (OVA) Kiddy GiRL-AND Pilot', 'Sequel (TV) Kiddy GiRL-AND', 'Adaptation (Manga) Kiddy Grade Reverse', '']",Kiddy Grade,,,,,,"['Mecha', 'Space', 'Super Power']",,
44,"Rockman EXE, MegaMan: NT Warrior",ロックマン エグゼ,MegaMan NT Warrior,['TV'],56,Finished Airing,"Mar 4, 2002 to Mar 31, 2003",['Spring 2002'],Mondays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Half H.P Studio', 'Shogakukan Productions']",['VIZ Media'],['Xebec'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",21 min. per ep.,PG-13 - Teens 13 or older,6.91,#4767,#3703,"41,298",152,20633,"In the year of 20XX, a young boy by the name of Netto Hikari receives a very special gift as he enters the 5th grade. His very own customized net navi, Rockman! Despite Rockman's small size and far more responsible personality, the two boys quickly become the best of friends. A net navi is designed to guide his operator from the inside of his or her PErsonal Terminal, or simply PET for short. Children and adults alike enjoy friendly ""Net Battles"", where they spar their navis against each other to prove their worth. (Source: Official Site)","['Sequel (TV) Rockman.EXE Axess', 'Adaptation (Manga) Rockman EXE', 'Adaptation (Manga) Battle Story Rockman.EXE', '']",Rockman.EXE,MegaMan: NT Warrior Einklinken!,Megaman NT Warrior,['Video Game'],,,,,
45,,サイボーグ009 THE CYBORG SOLDIER,Cyborg 009,['TV'],50,Finished Airing,"Oct 14, 2001 to Oct 13, 2002",['Fall 2001'],Unknown,"['TV Tokyo', 'Shaft', 'Avex Entertainment', ""Brain's Base""]","['Sony Pictures Entertainment', 'Discotek Media']",['Japan Vistec'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3092,#3943,"36,096",192,13418,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","['Sequel (Special) Cyborg 009: The Cyborg Soldier - Kami no Ubugoe', 'Adaptation (Manga) Cyborg 009']",Cyborg 009: The Cyborg Soldier,,,,['Shounen'],,,,
46,"Hoshi no Kirby, Kirby of the Stars",星のカービィ,Kirby: Right Back at Ya!,['TV'],100,Finished Airing,"Oct 6, 2001 to Sep 27, 2003",['Fall 2001'],Saturdays at 19:30 (JST),"['CBC Television', 'Nintendo']",['4Kids Entertainment'],['Studio Sign'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",24 min. per ep.,PG - Children,6.92,#4734,#3956,"35,881",370,18023,"A diminutive pink creature orbiting in space called ""Kirby"" crash lands into Dream Land. Once getting acquainted with the citizens who live there in Cappy Town, he begins to defend the town from the monsters that King Dedede, the self-proclaimed ruler of Cappy Town, orders from the evil Nightmare Enterprises. (Source: ANN)",[],Hoshi no Kirby,,,['Parody'],,,,,
47,,天使な小生意気,Cheeky Angel,['TV'],50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Saturdays at 00:45 (JST),['TV Tokyo'],"None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2275,#4335,"29,569",153,10445,Megumi-chan is a girl with a secret past. She used to be a boy until she met a person she thought was a magic user. This person gave him/her a magical book from which a genie appears to grant one wish when blood is applied to it. Megumi made the wish to be a man in a man's body but the genie has a twist: he grants wishes backwards so he turns Megumi-kun aged 9 to Megumi-chan. Years pass and Megumi enters High School where she immediately beats up the school bully who of course falls in love with her. She is looking for that book again to be able to reverse the spell placed upon her. (Source: ANN),"['Adaptation (Manga) Tenshi na Konamaiki', '']",Tenshi na Konamaiki,,,['Magical Sex Shift'],['Shounen'],,,,
48,,ハングリーハート Wild Striker,,['TV'],52,Finished Airing,"Sep 11, 2002 to Sep 10, 2003",['Fall 2002'],Wednesdays at Unknown,"None found,","None found,",['Nippon Animation'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1825,#4610,"25,996",245,13881,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success. Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons. With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world. [Written by MAL Rewrite]","['Adaptation (Manga) Hungry Heart', '']",Hungry Heart: Wild Striker,,,['Team Sports'],['Shounen'],,,['Sports'],
49,,ドラゴンドライブ,Dragon Drive,['TV'],38,Finished Airing,"Jul 4, 2002 to Mar 27, 2003",['Summer 2002'],Thursdays at 18:00 (JST),"['Bandai Visual', 'Nihon Ad Systems', 'TV Tokyo Music']",['Bandai Entertainment'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",23 min. per ep.,PG - Children,6.69,#5941,#4742,"24,245",57,10090,"If there's one word to describe Reiji Ozora, it would be ""quitter."" He can never find the motivation to finish anything, and loses interest at the drop of a hat. This all changes when his best friend Maiko introduces him to the new game ""Dragon Drive."" In this virtual reality game, each player is assigned a dragon tailored to match their personality and strength. Reiji hopes for a big, strong, scary beast, but instead, he is stuck with Chibi, a cute, friendly-looking dragon smaller than he is. How disappointing—except it turns out that Chibi is the rarest dragon of them all! Reiji finally discovers something he can remain interested in, and works hard to train both himself and his newfound friend. Soon this training will be put to use to save the world, for there are people who have dark aspirations for Dragon Drive!","['Adaptation (Manga) Dragon Drive', '']",Dragon Drive,,,['Isekai'],['Shounen'],,,,
50,Duel Masters 2.0,デュエル・マスターズ,,['TV'],26,Finished Airing,"Oct 21, 2002 to Apr 4, 2003",['Fall 2002'],Unknown,['Shogakukan Productions'],['Hasbro'],"['Studio Hibari', 'A.C.G.T.']",['Manga'],"['Action', 'Comedy', 'Fantasy']",21 min. per ep.,PG-13 - Teens 13 or older,5.84,#10728,#4750,"24,172",40,13409,"The world of Duel Masters is one of five great civilizations. Through a card game, duelists can bring these worlds into existence, making what was previously abstract into reality. These skilled duelists are known as Kaijudo masters. Shobu Kirifuda is the best player at his local playground, and seeks to become a world-class master like his father. His first step on the road to conquest begins with winning a local tournament. Rather, it should have, except he is destroyed by the best Kaijudo master in the world, Knight. Shobu loses, but upon remembering the words of wisdom his father instilled into him, decides to continue on the road of becoming a duelist who can enjoy the game for what it is. And so begins his journey to victory－and as we all know, the journey is the most important part!","['Sequel (TV) Duel Masters Charge', 'Adaptation (Manga) Duel Masters']",Duel Masters,,,['Strategy Game'],['Kids'],,,,
