,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Genres,Demographics,French,Theme,German
26,Mobile Suit Gundam Turn A,∀ガンダム,∀ Gundam,['TV'],50,Finished Airing,"Apr 9, 1999 to Apr 14, 2000",['Spring 1999'],Fridays at 17:00 (JST),"['Sotsu', 'Fuji TV', 'Nakamura Production']",['Nozomi Entertainment'],['Sunrise'],Original,,"['Mecha', 'Military', 'Space']",,24 min. per ep.,PG-13 - Teens 13 or older,7.78,#1091,#3246,"51,938","1,122",18455,"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement. A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll."" To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war. [Written by MAL Rewrite]","['Adaptation (Manga) Turn A Gundam', 'Adaptation (Light Novel) Turn A Gundam']",Turn A Gundam,,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",,,,
27,,モンスターファーム,Monster Rancher,['TV'],48,Finished Airing,"Apr 17, 1999 to Mar 25, 2000",['Spring 1999'],Saturdays at 07:30 (JST),"None found,","['ADV Films', 'Discotek Media']",['TMS Entertainment'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5371,#3432,"47,153",115,24395,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Together, they are searching for a way to revive the Phoenix, which is the only monster capable of stopping the evil Moo. (Source: ANN)","['Sequel (TV) Monster Farm: Legend e no Michi', 'Adaptation (Manga) Monster Farm: Enbanseki no Himitsu']",Monster Farm: Enbanseki no Himitsu,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Monster Rancher,['Isekai'],Monster Rancher
28,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",金田一少年の事件簿,The File of Young Kindaichi,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],['Mystery'],,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,,,,,,
29,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Kochikame,,,,,
30,"Dr. Slump 2, Doctor Slump",ドクタースランプ,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,,"['Comedy', 'Sci-Fi']",,,['Gag Humor'],
31,Collector Yui,コレクター・ユイ,Corrector Yui,['TV'],52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000",['Spring 1999'],Fridays at 18:00 (JST),"['NHK', 'Studio Tron']",['VIZ Media'],['Nippon Animation'],Original,,,,25 min. per ep.,G - All Ages,6.86,#5030,#5339,"18,178",65,7618,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN)","['Adaptation (Manga) Corrector Yui', 'Adaptation (Manga) Corrector Yui']",Corrector Yui,,"['Adventure', 'Comedy', 'Sci-Fi']",,,,
32,Arc,アークザラッド,,['TV'],26,Finished Airing,"Apr 5, 1999 to Oct 11, 1999",['Spring 1999'],Mondays at 19:00 (JST),"['Sony Pictures Entertainment', 'Aniplex', 'Sony Interactive Entertainment']",['ADV Films'],['Bee Train'],Game,,,,22 min. per ep.,R - 17+ (violence & profanity),6.49,#7147,#5419,"17,445",14,6436,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies. (Source: ANN)",[],Arc the Lad,,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",,,,
33,"Nankai Kio Neoranga, Strange World of the South Seas - Neoranga",南海奇皇ネオランガ,,['TV'],48,Finished Airing,"Apr 6, 1998 to Sep 28, 1999",['Spring 1998'],Mondays at 19:00 (JST),"['Pony Canyon', 'Marubeni', 'Omnibus Promotion']",['ADV Films'],['Pierrot'],Original,,,,15 min. per ep.,PG-13 - Teens 13 or older,6.54,#6838,#5414,"17,523",43,3663,"An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. (Source: ANN)",[],Neo Ranga,,"['Adventure', 'Horror']",,,['Mecha'],
34,"Gokudo-kun Manyuki, Jester the Adventurer",ゴクドーくん漫遊記,Gokudo,['TV'],26,Finished Airing,"Apr 2, 1999 to Sep 24, 1999",['Spring 1999'],Fridays at 18:30 (JST),['SoftX'],"['Media Blasters', 'Discotek Media']",['Trans Arts'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,7.40,#2365,#5507,"16,693",145,6407,"It all starts when Gokudou steals a pouch from a fortuneteller, thinking that it contains a gem. Instead, it turns out to be a rock, from which emerges Djinn. The genie grants Gokudou the standard three wishes, but our anti-hero doesn't think heavily about his wishes. Gokudou does get his wishes, though not exactly in the fashion that he expected. The best thing he gets out of his wishes is Honou no Maken, a magical sword that enables its owner to do fire attacks and it can be summoned from anywhere in the world. Even with an enchanted sword, Gokudou doesn't get much respect. He gets turned into a woman by Djinn, who is also a shapeshifter. He is followed by Rubette La Late, a potential love interest who is more interested in adventure, karaoke and outperforming Gokudou. He gets whapped on the head a lot, especially by the fortuneteller who reappears throughout the series just to plague Gokudou it seems. Later in the series, he gets another sidekick, a former evil magician named Prince, who is more handsome and a better womanizer than Gokudou. (Source: AnimeNfo)","['Adaptation (Light Novel) Gokudou-kun Manyuuki', '']",Gokudou-kun Manyuuki,Jester: El Aventurero,"['Adventure', 'Comedy', 'Fantasy']",,,,
35,,ベターマン,,['TV'],26,Finished Airing,"Apr 2, 1999 to Oct 1, 1999",['Spring 1999'],Fridays at 01:15 (JST),['Victor Entertainment'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,,"['Mecha', 'Psychological']",,24 min. per ep.,R - 17+ (violence & profanity),6.58,#6605,#5527,"16,565",81,4877,"Keita Aono is an ordinary high school student who loves to chat with his friends about military technology and the girls in their class. One day, Keita is surprised and delighted by a new transfer student in his class, his childhood friend Hinoki Sai. But when Keita tries to catch up with Hinoki after school, he accidentally wanders into Bottom World—an underground amusement park whose opening was canceled due to an unexplained tragedy. As Keita explores the area, he eventually finds Hinoki in the cockpit of a strange robot. She is here on behalf of Akamatsu Industries, a company contracted with the secretive international organization Mode Warp to investigate strange cases of violence worldwide. After joining Hinoki in the robot, the pair attempt to defend themselves against the various attractions of Bottom World, which have come to life and become violent. However, they are unable to escape until a man with transforming powers—dubbed ""Betterman""—joins their struggle. Faced with an enemy he does not understand and a slew of mysterious new technology, Keita joins Akamatsu Industries in a fight against a force they call ""Algernon."" [Written by MAL Rewrite]","['Adaptation (Manga) Betterman', '']",Betterman,,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi']",,,,
36,Sensual Phrase,快感 フレーズ,,['TV'],44,Finished Airing,"Apr 20, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 00:20 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],,"['Music', 'Showbiz']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2727,#5816,"14,549",109,4419,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.","['Adaptation (Manga) Kaikan♥Phrase', '']",Kaikan Phrase,,"['Drama', 'Romance']",,,,
37,,パワーストーン,,['TV'],26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",['Spring 1999'],Saturdays at 17:00 (JST),['Avex Entertainment'],['ADV Films'],['Pierrot'],Game,,,,24 min. per ep.,PG - Children,6.46,#7320,#7104,"8,897",19,4270,"An ancient legend tells of a magical Powerstone that granted its owner any wish desired. Adventurers from all over the globe clash as they seek this mystical gem. Based upon the Dreamcast game, POWERSTONE tries to entertain us with the story behind the game's premise. The plot begins with our hero, Fokker, training to be a fighter like his idol, Vargas. (Source: AniDB)",[],Power Stone,,"['Adventure', 'Comedy', 'Fantasy']",,,['Historical'],
38,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],,,,24 min.,G - All Ages,6.14,#9127,#7129,"8,810",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,"['Comedy', 'Slice of Life']",,,,
39,,天使になるもんっ！,I'm Gonna Be an Angel!,['TV'],26,Finished Airing,"Apr 7, 1999 to Sep 29, 1999",['Spring 1999'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Broccoli', 'Yomiko Advertising']",['Synch-Point'],['Pierrot'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.78,#5456,#7173,"8,670",50,2829,"Yuusuke was just a normal kid going to high school. Then one day, the cute and behaloed Noelle fell, quite literally, into his life, naked as a baby and every bit as innocent. Before he can even fathom what's just happened, Yuusuke is inducted into a rather odd family of otherworldly beings. Papa is a Frankenstein monster with a taste for calisthenics. Mama is a gorgeous lady with a penchant for ""round objects"" -- really! The eldest sister, Sara, is literally invisible; the brother, Gabriel, is a teenage vampire with an attitude problem; and the youngest sister, Ruka, loves inventing things. There's a disapproving Grandma, who's a witch to the nth degree, and her vulture familiar. All Yuusuke wanted was for the beautiful Natsumi to even notice his attention, but now he has an angel-in-training to follow him wherever he goes. And Noelle, too, has a guide on her path to being an angel, the mysterious Michael. (Source: AnimeNfo)","['Adaptation (Manga) Tenshi ni Naru mon!', '']",Tenshi ni Narumon!,,"['Comedy', 'Fantasy', 'Romance']",,,['Vampire'],
40,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],['Comedy'],,['Kids'],10 min.,G - All Ages,7.08,#4019,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,El Ninja Boy Rantaró,,,,,
41,EDENsBOwY,エデンズ　ボゥイ,,['TV'],26,Finished Airing,"Apr 6, 1999 to Sep 24, 1999",['Spring 1999'],Tuesdays at 18:00 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['ADV Films'],['Studio Deen'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7376,#7603,"7,461",7,2923,"Yorn gazes up at two massive cities floating in the sky and dreams of discovering their mysteries. Without warning, those mysteries come looking for him. Edenic assassins murder his father and Yorn is next on the hit list. A nameless old man and a mysterious young girl help Yorn on his quest to find his long-lost mother and the truth. Known as the God Hunter, Yorn leads a race against the dark designs of the technological overlords.","[""Adaptation (Manga) Eden's Bowy"", '']",Eden's Bowy,,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",,,,
42,,神八剣伝,,['TV'],26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",['Spring 1999'],Unknown,['TV Tokyo'],"None found,",['Public & Basic'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3547,#7723,"7,195",24,2620,"Based on the long cherished, classic Japanese novel Nanso Satomi Hakkenden by Bakin Kyokutei Takizawa (1767), a modified version of it was made into animation. Taking place in the future, during this time wars were occuring in heaven, mostly for possession between the eight moons created by the savior Fuse that surrounded God's land. When the war ended, there was only one ruling family - that of the Oowaris, and the remaining son gained control of all the moons of heaven, except for one. Meiten, the moon of the pope, where people refrained from war and were therefore out of it's terms. Eight people. Each from one of the eight moons. Each possessing one of the jewels - the elements that compose Earth. They are those who are destined to become saviors of humanity. All of them have sacrificed for these jewels, and are determined to complete their duty to Queen Fuse who entrusted these to them. When the mad emperor Kai threatens to revive a ghost who wants to prevent the restoration of Earth, these eight must battle using the powers given by their jewels in order to create Earth and defeat those who want to prevent it. So they all go to Kusanagi, the ship in the center of God's land. They must gather the jewels in the key called Yatsufusa at Kusanagi's center, in order to create Earth. (Source: AniDB)",[],Shin Hakkenden,,"['Action', 'Adventure', 'Sci-Fi']",,,['Martial Arts'],
43,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],['Comedy'],,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7912,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Chibi Maruko-chan,,,,['School'],
44,"Chosoku Spinner, Super Sonic Spinners, Super Speed Spinner",超速スピナー,Super YoYo,['TV'],22,Finished Airing,"Nov 30, 1998 to Sep 10, 1999",['Fall 1998'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],['Manga'],['Sports'],,['Shounen'],22 min. per ep.,G - All Ages,6.65,#6184,#8065,"6,461",11,3073,"Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo. It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship! [Written by MAL Rewrite]","['Adaptation (Manga) Chousoku Spinner', '']",Chousoku Spinner,,,,,,
45,Starship Girl Yamamoto Yohko (TV),それゆけ!宇宙戦艦　ヤマモト・ヨーコ,,['TV'],26,Finished Airing,"Apr 4, 1999 to Sep 26, 1999",['Spring 1999'],Sundays at 09:30 (JST),['Kadokawa Shoten'],"None found,",['J.C.Staff'],Novel,,,,25 min. per ep.,PG-13 - Teens 13 or older,6.55,#6768,#8111,"6,370",8,1382,"In the year 2999: humanity is split into two factions, Terra and Ness, in a war fought by starships. One of the foremost of the pilots is the cocky teenager Yamamoto Yohko, and during one of her missions, she and her crew are sucked into a temporal anomaly (a la Star Trek) that sends her back to our time. Amnesiac, she only thinks of herself as a typical high school student - until a course of events sends her back to her ship the TA-29, with her newfound friends fighting at her side in a war that looks suspiciously like an arcade game (complete with 100 yen ignition costs!). (Source: AniDB)","['Adaptation (Manga) Soreyuke! Uchuu Senkan Yamamoto Youko', '']",Soreyuke! Uchuu Senkan Yamamoto Youko (1999),,"['Action', 'Adventure', 'Sci-Fi']",,,,
46,,スーパードール リカちゃん,,['TV'],52,Finished Airing,"Oct 6, 1998 to Sep 28, 1999",['Fall 1998'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Genco']","None found,",['Madhouse'],Other,,,,25 min. per ep.,G - All Ages,6.63,#6341,#8947,"4,999",4,1835,"Licca is in grave danger once she finds out that she is the princess of the Doll Kingdom. Now, the evil Dr. Scarecrow is after her and her throne. So Licca's grandmother gives her a set of dolls. When needed, the dolls will transform into larger versions known as the Doll Knights. Together, they will protect Licca. (Source: AnimeNfo)",[],Super Doll Licca-chan,La Princesa Licca★,"['Adventure', 'Comedy']",,,,
47,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,,,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,"['Comedy', 'Fantasy']",,,,
48,"Masou Kishin Psybuster, Psybuster",魔装機神サイバスター,Cybuster,['TV'],26,Finished Airing,"May 3, 1999 to Oct 25, 1999",['Spring 1999'],Mondays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Nihon Ad Systems', 'Omnibus Promotion']","['Discotek Media', 'Geneon Entertainment USA']",['Ashi Productions'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.06,#9614,#9538,"4,104",2,1325,"In an enviromentally wrecked future Tokyo, a young man named Ken Ando joins an organization called DC. Little does he realize that his fate and that of Earth will be linked to a mysterious mecha from another world. (Source: ANN)",[],Masou Kishin Cybuster,,"['Action', 'Adventure', 'Sci-Fi']",,,['Mecha'],
49,Drill for Princess,D4 プリンセス,,['TV'],24,Finished Airing,"Apr 6, 1999 to Sep 28, 1999",['Spring 1999'],Unknown,['Pony Canyon'],"None found,",['Daume'],['Manga'],,,,8 min. per ep.,PG-13 - Teens 13 or older,6.10,#9407,#9626,"3,992",4,1343,"Doris Ruridou is young princess who had just entered Teito Academy. She is also a Panzer, a person with special abilities and fights with a weapon called a ""tool"". Shortly after entering, her older sister shows up to teach her how to fight as a Panzer against other Panzers who challenge her. (Source: ANN)","['Adaptation (Manga) D4 Princess', '']",D4 Princess,,"['Action', 'Comedy', 'Sci-Fi']",,,['Mecha'],
50,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,,,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,"['Comedy', 'Slice of Life']",,,,
51,,キティズパラダイス,Hello Kitty's Paradise,['TV'],16,Finished Airing,"Jan 5, 1999 to Sep 28, 1999",['Winter 1999'],Unknown,['Bones'],['ADV Films'],['Sanrio'],Original,['Fantasy'],,['Kids'],20 min. per ep.,G - All Ages,6.69,#5958,#10540,"3,009",13,963,"Hello Kitty and her twin sister Mimi (aka Mimmy) are in kindergarten and have regular adventures ""over the rainbow"" (in their imaginations) or around their home and neighborhood.",[],Kitty's Paradise,Hello Kitty's Paradise,,,Le Paradis d'Hello Kitty,,
52,Transformers: Beast Wars Neo,超生命体トランスフォーマー ビーストウォーズ・ネオ,Beast Wars Neo,['TV'],35,Finished Airing,"Feb 3, 1999 to Sep 29, 1999",['Winter 1999'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Takara']","None found,",['Ashi Productions'],Other,,"['Mecha', 'Space']",,23 min. per ep.,G - All Ages,6.44,#7450,#10588,"2,972",3,1024,"Beast Wars Neo was a television series that aired in Japan in 1999, in support of the toyline of the same name. It directly follows Beast Wars II. The show follows the adventures of a crew of Maximals, commanded by Big Convoy, as they compete with Magmatron's evil Predacons to collect the Angolmois energy capsules, scattered at the end of Beast Wars II.","['Prequel (TV) Beast Wars Second Chou Seimeitai Transformers', '']",Chou Seimeitai Transformers Beast Wars Neo,,"['Action', 'Adventure', 'Sci-Fi']",,,,
53,"Bomberman Bedaman Bakuretsu Gaiden V, Bomber Man & Bidaman Bakugaiden V, B Bidaman Bakugaiden V, B-Daman Bakugaiden Victory",B[ボンバーマン]ビーダマン爆外伝V[ビクトリー],,['TV'],50,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,['Sci-Fi'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7250,#11072,"2,573",0,1148,"The sequel to B.B-DAMAN BAKUGAIDEN starts when SHIRO BOM and AO BOM are members of the B-da cops who protect the peace of B-da Union. One day, they see a space ship being chased by space pirate and they crash into the wilderness. Princess (AKA BOM) whose kingdom has been attached was lying beside a shining gem with mysterious power called ""Crysmond"". The enemy is after this gem! Joined by KIIRO BOM and KURO BOM, B-daman’s adventure to protect the Crysmond from the Devil Veders starts… (Source: d-rights)","['Prequel (TV) Bomberman B-Daman Bakugaiden', '']",Bomberman B-Daman Bakugaiden Victory,,,,,,
54,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,,,['Kids'],10 min.,G - All Ages,6.39,#7744,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,,,
55,"Bakukyu Renpatsu!! Super Bedaman, Bakukyuu Renpatsu!! Super B-Daman, Blast Ball Rapid Fire!! Super B-Daman",爆球連発!!スーパービーダマン,,['TV'],18,Finished Airing,"Jan 4, 1999 to Sep 27, 1999",['Winter 1999'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Xebec'],['Manga'],['Adventure'],,['Kids'],40 min. per ep.,G - All Ages,6.22,#8731,#12132,"1,877",7,864,"Tamago Tosaka is a fifth-grader who loves nothing more than a B-Daman battle. One day, Ganma Nishibe, a talented bead-warrior, is transferred to Tamago's school. Their B-Daman battles set the stage for this story. Beginning as rivals, the two come together to prepare for the B-Daman championships. The two boys come to trust and help one another as they work toward their shared goal. (Source: d-rights)","['Adaptation (Manga) Bakukyuu Renpatsu!! Super B-Daman', '']",Bakukyuu Renpatsu!! Super B-Daman,,,,,['Strategy Game'],
