,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Theme,Demographic,Genre,Demographics
24,"Mousou Kagaku Series Wandaba Style, Scientific Wild Fancy Series Wandabastyle, Wacky Science Fiction Series Wandaba Style",妄想科学シリーズ ワンダバスタイル,Mousou Kagaku Series: Wandaba Style,,,,['TV'],12,Finished Airing,"Apr 5, 2003 to Jun 21, 2003",['Spring 2003'],Unknown,"None found,","['ADV Films', 'Maiden Japan']",['TNK'],Original,"['Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,5.99,#9985,#9355,"4,354",3,1594,"Genius scientist Tsukumo Susumu knows each and every single theory behind aerodynamics that exists on earth despite being only 13 years old. He wants to travel to the moon without the use of fossil fuels that power rockets. So begins his heavy research using his knowledge in the laws of physics, scientific theory and his wild imagination. His test subjects are the unpopular idol group Mix JUICE (Himawari, Yuri, Ayame, Sakura). They come up with all sorts of crazy ideas to become the first humans to successfully hold a concert on the face of the moon. Will the four girls from Mix JUICE be able to struggle their way to the moon successfully? (Source: AniDB)",[],Mousou Kagaku Series: Wandaba Style,,,,,
25,,潜水艦スーパー99,,,,,['TV'],13,Finished Airing,"May 8, 2003 to Jul 31, 2003",['Spring 2003'],Unknown,"['TV Tokyo', 'Pony Canyon', 'AT-X', 'Tsuburaya Productions']","['Enoki Films', 'Discotek Media']",['Vega Entertainment'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.21,#8797,#10796,"2,800",1,957,"Dr. Oki , the genius scientist who designed a new type of submarine is missing. His son, Susumu, smells an evil scheme of unknown group. He knows everything of his father's submarine called ""Super 99"" – equipment, weapons, functions and capacity. Susumu thinks that to find his father is to reveal the secret organization, Helmet Party, and stop their conspiracy. With the help of his friends and Marine Corps, he sets out to an underwater quest, not knowing how dangerous his endeavour is… (Source: ANN)","['Adaptation (Manga) Submarine Super 99', '']",Submarine Super 99,,['Military'],['Shounen'],,
26,,FIRESTORM　ファイアーストーム,,,,,['TV'],26,Finished Airing,"Apr 6, 2003 to Sep 28, 2003",['Spring 2003'],Sundays at 09:00 (JST),"['Madhouse', 'TV Tokyo']",['Enoki Films'],['Trans Arts'],Original,"['Action', 'Adventure', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,5.46,#12233,#12509,"1,652",1,313,"It is the year 2104 AD. The terrible war is over and peace seemed close in the world. However, there is one thing that can bring down this peace. That is the criminal organisation who's power and actions are widespread across the world... The Black Orchid. From the main countries of the world, the ""Storm Force"" was formed to take down the Black Orchid. They are also known under the code name ""Fire Storm"". (Source: AniDB)",[],Firestorm,"['Mecha', 'Military']",,,,
27,"Croquette!, Corokke!",コロッケ！,Croket!,,,,['TV'],104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005",['Spring 2003'],Mondays at 18:30 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",20 min. per ep.,G - All Ages,6.88,#4949,#12563,"1,618",4,614,"The ""Forbidden Treasure"" is an extraordinary artefact who can grant any wishes. The people seeking it are called the Bankers, and our hero, Corokke, is one of them.","['Adaptation (Manga) Croket!', '']",Croket!,,,['Kids'],,
28,,時空冒険記　ゼントリックス,Zentrix,,,Zentrix,['TV'],26,Finished Airing,"Apr 5, 2003 to Sep 27, 2003",['Spring 2003'],Unknown,['Imagi'],['Bandai Entertainment'],"None found,",Original,"['Adventure', 'Sci-Fi']",25 min. per ep.,PG - Children,6.25,#8528,#13268,"1,313",6,455,"The series is set in Zentrix City, a seemingly ""perfect"" city. Emperor Jarad is a scientist who with the help of scientists Dr. Roark and Dr. Coy, created a super-computer called OmnicronPsy, which manages all of the city's higher and day-to-day functions, controlling a wide variety of machines and robots, allowing humankind to live a seemingly ""perfect"" life. However OmnicronPsy, using His super-intelligence, decides that it would make a better ruler than Jarad, and starts to break down the coding that stops him from revolting and harming the Royal Family. Discovering this, Jarad and Dr. Roark head back in time 7 years to stop the revolt from ever happening. To accomplish this they plan to shut down the six Zentrium chips that power OmnicronPsy. Upon discovering this, Jarad's daughter and only heir, Princess Megan, proceeds to follow him to the past while OmnicronPsy concurrently undoes his restriction codes and sends his Robo Guards to hunt her down.",[],Jikuu Boukenki Zentrix,,['Mecha'],,,
29,"Plusters, Journey of Adventure: PLUSTERWORLD",冒険遊記プラスターワールド,Adventure Hero Pluster World,,,,['TV'],52,Finished Airing,"Apr 3, 2003 to Mar 25, 2004",['Spring 2003'],Thursdays at 18:00 (JST),['TV Tokyo'],"None found,","['Actas', ""Brain's Base""]",Original,"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,G - All Ages,6.23,#8667,#13495,"1,235",4,312,"According to the legend, the once peaceful ""Pluster World"" plunged into chaos and darkness due to the manifestation of the evil MINASUTA. At that time, selected Plusters were combined with humans, and successfully sealed away the evil MINASUTA. It was then believed that the peace which had returned would continue forever. Greenery and trees filled the land, flowers bloomed everywhere, living creatures soar in the blue sky, run on the land, and swim in the seas. However, this peacefulness was once again lost due to reappearance of the MINASUTA... Now, the fusion of Plusters and Humans once again opens the door for a hot adventure! (Source: aniDB)",[],Bouken Yuuki Pluster World,,,,,
30,Kasumin 3rd Series,カスミン (第3シリーズ),,,,,['TV'],26,Finished Airing,"Apr 9, 2003 to Oct 1, 2003",['Spring 2003'],Unknown,['NHK'],"None found,",['OLM'],Unknown,,25 min. per ep.,PG - Children,6.23,#8683,#14259,"1,009",2,399,"Kasumi Haruno is a fourth grade student. She came to Kasumi Town to see off her zoologist parents on their trip to Africa to do research. In the center of the town, surrounded by forest, is the large mansion belonging to the Kasumi family where Kasumi will be staying from now on. Kasumi passes through the mansion's gate right away, but a strange atmosphere emanates from somewhere in the Kasumi Forest. When he finally makes it to the mansion, there are talking appliances! It would seem that members of the Kasumi family were youkai called ""Henamon"". Kasumi never dreamed she would end up living with a family of Henamon. She is very busy doing the cooking, laundry, and cleaning in exchange for living there. Surrounded by mysterious companions, what will become of Kasumi's new life? (Source: AniDB)","['Prequel (TV) Kasumin 2nd Season', '']",Kasumin 3rd Season,,,['Kids'],['Fantasy'],
31,Little Bebil in Wonderland,ワンダーベビルくん,,,,,['TV'],30,Finished Airing,"Apr 11, 2003 to Feb 6, 2004",['Spring 2003'],Unknown,"['Aniplex', 'Dentsu', 'NHK', 'MICO']","None found,",['Radix'],Unknown,"['Comedy', 'Fantasy']",25 min. per ep.,G - All Ages,[],#15372,#15241,758,0,,No synopsis has been added for this series yet. Click here to update this information.,[],Wonder Bebil-kun,,,,,
32,"Tank Knights Portriss, Mugen Senki Fortress",無限戦記ポトリス,,,,,['TV'],52,Finished Airing,"Apr 5, 2003 to Mar 27, 2004",['Spring 2003'],Unknown,"['TV Tokyo', 'Bandai Visual']","None found,","['Sunrise', 'Dongwoo A&E']",Unknown,"['Action', 'Sci-Fi']",25 min. per ep.,PG - Children,6.10,#9372,#15734,667,1,126,"In a raving world, legendary knights stood up. Will they become gods of war or world saviors? Three Portriss Knights and sole human boy are now going to change the World! Portriss Planet, home of where robots live in peace. However, this peacefulness was ruined by the sudden appearance of a Dictator ""Dark Portriss"". Dark Portriss plans to attain infinite powers through the use of the ""Space-time destroying Cannon"". The only ones able to stop this are the Portriss Knights! A boy, Yuuma, accidentally got into the Portriss World, and the Portrisses` adventure begins! (Source: AniDB)",[],Mugen Senki Portriss,,['Mecha'],,,
33,,かっぱまき,Kappamaki and the Sushi Kids,,,,['TV'],130,Finished Airing,"Mar 31, 2003 to Sep 26, 2003",['Spring 2003'],Unknown,"None found,","None found,",['Trans Arts'],Unknown,"['Comedy', 'Slice of Life']",3 min. per ep.,G - All Ages,[],#19321,#18043,418,1,,"Kappamaki and his sushi friends are cute-cool-charming characters who soothe your grating feelings and heal your weary heart. They are all adorable characters originally made with clay by Miss Eri Okamoto. Kappamaki and the Sushi Kids are living in a small and peaceful village surrounded by unspoiled nature - flowers, fields, green forest with a crystal-clear river flowing through it. All the inhabitants including Kappamaki and his friends are naïve, honest and tenderhearted. There is a school, a park, houses, business offices and shops just like an ordinary small village anywhere. A friendly guy says that it is a typical Alpine village with the glamour of Paris and the atmosphere of Venice... Is it, really?! OK. Let's take a closer look... Oh, my goodness! The village looks as if it is made of sushi tools - The banks of the canals are sushi pails. The buildings are piled-up sushi baskets etc... This series of animated shorts is full of humorous mishaps and heart-warming tales giving smiles and chuckles to everybody. They are also educational and entertaining describing friendship and kindness. So, please enjoy the mind-healing tales in this fantasy land. (Source: AniDB)",[],Kappamaki,,,,,
34,,梅四エッキス,,,,,['TV'],13,Finished Airing,"May 2, 2003 to Jul 27, 2003",['Spring 2003'],Unknown,"None found,","None found,",['TMS Entertainment'],Original,,4 min. per ep.,PG-13 - Teens 13 or older,[],#15150,#24221,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Umeyon Ekisu,,,,['Comedy'],
35,NARUTO,ナルト,Naruto,,,,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,967,172","82,512",2044904,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despise him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,['Martial Arts'],['Shounen'],,
36,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,568","234,838",1420237,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,['Shounen'],,
37,Inu Yasha,犬夜叉,InuYasha,,Inuyasha,,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,189","19,337",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",,['Shounen'],,
38,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,,,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,191","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,['Strategy Game'],['Shounen'],,
39,"Ghost in the Shell SAC, Ghost in the Shell: Stand Alone Complex",攻殻機動隊 STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,Ghost In The Shell : Stand Alone Complex,Ghost in The Shell: Stand Alone Complex,['TV'],26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",['Fall 2002'],Fridays at 15:30 (JST),"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Animax', 'Kodansha', 'Trilogy Future Studio', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",25 min. per ep.,R - 17+ (violence & profanity),8.42,#188,#607,"409,436","8,764",168075,"In the not so distant future, mankind has advanced to a state where complete body transplants from flesh to machine is possible. This allows for great increases in both physical and cybernetic prowess and blurring the lines between the two worlds. However, criminals can also make full use of such technology, leading to new and sometimes, very dangerous crimes. In response to such innovative new methods, the Japanese Government has established Section 9, an independently operating police unit which deals with such highly sensitive crimes. Led by Daisuke Aramaki and Motoko Kusanagi, Section 9 deals with such crimes over the entire social spectrum, usually with success. However, when faced with a new A level hacker nicknamed ""The Laughing Man,"" the team is thrown into a dangerous cat and mouse game, following the hacker's trail as it leaves its mark on Japan. [Written by MAL Rewrite]","['Sequel (TV) Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'Adaptation (Light Novel) Koukaku Kidoutai: Stand Alone Complex', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex Read Manga', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex - The Laughing Man']",Koukaku Kidoutai: Stand Alone Complex,"['Adult Cast', 'Detective', 'Mecha', 'Military']",,['Seinen'],,
40,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,892","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,['Detective'],['Shounen'],,
41,Wolf Rain,ウルフズレイン,Wolf's Rain,,,,['TV'],26,Finished Airing,"Jan 7, 2003 to Jul 29, 2003",['Winter 2003'],Tuesdays at 02:10 (JST),"['Bandai Visual', 'Asatsu DK', 'Fuji TV']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",23 min. per ep.,PG-13 - Teens 13 or older,7.79,#1060,#755,"340,120","5,799",135578,"In a dying world, there exists an ancient legend: when the world ends, the gateway to paradise will be opened. This utopia is the sole salvation for the remnants of life in this barren land, but the legend also dictates that only wolves can find their way to this mythical realm. Though long thought to be extinct, wolves still exist and live amongst humans, disguising themselves through elaborate illusions. A lone wolf named Kiba finds himself drawn by an intoxicating scent to Freeze City, an impoverished town under the rule of the callous Lord Orkham. Here, Kiba discovers that wolves Hige, Tsume, and Toboe have been drawn in by the same aroma. By following the fragrance of ""Lunar Flowers,"" said to be the key to opening the door to their ideal world, the wolves set off on a journey across desolate landscapes and crumbling cities to find their legendary promised land. However, they are not the only ones seeking paradise, and those with more sinister intentions will do anything in their power to reach it first. [Written by MAL Rewrite]","[""Sequel (OVA) Wolf's Rain OVA"", ""Adaptation (Manga) Wolf's Rain""]",Wolf's Rain,,,,,
42,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,Pokémon: Rubin und Saphir,Pokémon Advanced,Pokémon Advance,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,946",295,120800,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,,,['Kids'],,
43,"TeniPuri, PoT",テニスの王子様,The Prince of Tennis,,,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,933","3,041",86561,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,,['School'],['Shounen'],['Sports'],
44,Kidou Senshi Gundam SEED,機動戦士ガンダムSEED,Mobile Suit Gundam SEED,Mobile Suit Gundam Seed,Mobile Suit Gundam Seed,Mobile Suit Gundam Seed,['TV'],50,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Saturdays at 18:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),7.74,#1190,#1417,"178,126","3,660",99081,"In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies. Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams. While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it. [Written by MAL Rewrite]","['Sequel (Special) Kidou Senshi Gundam SEED: Hoshi no Hazama de', 'Adaptation (Manga) Kidou Senshi Gundam SEED', 'Adaptation (Light Novel) Kidou Senshi Gundam SEED', '']",Kidou Senshi Gundam SEED,"['Mecha', 'Military', 'Space']",,,,
45,,プリンセスチュチュ,Princess Tutu,,,Princesse Tutu,['TV'],38,Finished Airing,"Aug 16, 2002 to May 23, 2003",['Summer 2002'],Fridays at 20:30 (JST),"['Memory-Tech', 'GANSIS', 'Marvelous AQL', 'Omnibus Promotion']","['ADV Films', 'Sentai Filmworks']",['HAL Film Maker'],Original,"['Drama', 'Mystery', 'Romance']",16 min. per ep.,PG-13 - Teens 13 or older,8.14,#472,#1432,"176,466","5,207",68341,"In a fairy tale come to life, the clumsy, sweet, and gentle Ahiru seems like an unlikely protagonist. In reality, Ahiru is just as magical as the talking cats and crocodiles that inhabit her town—for Ahiru really is a duck! Transformed by the mysterious Drosselmeyer into a human girl, Ahiru soon learns the reason for her existence. Using her magical egg-shaped pendant, Ahiru can transform into Princess Tutu—a beautiful and talented ballet dancer whose dances relieve people of the turmoil in their hearts. With her newfound ability, Ahiru accepts the challenge of collecting the lost shards of her prince's heart, for long ago he had shattered it in order to seal an evil raven away for all eternity. Princess Tutu is a tale of heroes and their struggle against fate. Their beliefs, their feelings, and ultimately their actions will determine whether this fairy tale can reach its ""happily ever after."" [Written by MAL Rewrite]","['Adaptation (Manga) Princess Tutu', '']",Princess Tutu,"['Anthropomorphic', 'Love Polygon', 'Mahou Shoujo', 'Performing Arts']",,,,
46,"12 Kingdoms, Juuni Kokki",十二国記,The Twelve Kingdoms,The Twelve Kingdoms,Doce Reinos,Les 12 Royaumes,['TV'],45,Finished Airing,"Apr 9, 2002 to Aug 30, 2003",['Spring 2002'],Unknown,"['NHK', 'Sogo Vision']","['Media Blasters', 'Discotek Media']",['Pierrot'],Novel,"['Action', 'Adventure', 'Fantasy']",25 min. per ep.,PG-13 - Teens 13 or older,8.01,#649,#1560,"161,575","2,566",47626,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend. But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die. [Written by MAL Rewrite]","['Adaptation (Light Novel) Juuni Kokuki', '']",Juuni Kokuki,,['Isekai'],,,
47,GetBackers: Dakkanya,ゲットバッカーズ　奪還屋,Getbackers,Getbackers,Get Backers,Get Backers,['TV'],49,Finished Airing,"Oct 5, 2002 to Sep 20, 2003",['Fall 2002'],Saturdays at 17:30 (JST),"['TBS', 'Kodansha', 'Rondo Robe', 'Rakuonsha']","['ADV Films', 'Sentai Filmworks']",['Studio Deen'],['Manga'],"['Action', 'Mystery', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1697,#1888,"125,541",887,54789,"Mido Ban and Amano Ginji are known as the Get Backers, retrievers with a success rate of 100%. Whatever is lost or stolen, they can definitely get it back. Despite their powerful abilities and enthusiastic behavior, Ban and Ginji are terminally broke no matter what they do simply because few people would actually desire to hire them. As a result, the pair of them tend to do dangerous jobs, often leading to unwanted re-encounters with their old (and dangerous) friends.","['Adaptation (Manga) GetBackers', '']",GetBackers,,['Super Power'],['Shounen'],,
