,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Genre,Theme,Spanish,German,Demographics
82,KASHURA II,,['ONA'],1,Finished Airing,"Dec 21, 2001",,,"None found,","None found,",['Anon Pictures'],Original,"['Action', 'Comedy', 'Romance']","['Music', 'Samurai']",,3 min.,G - All Ages,[],#19338,#21133,224,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Kashura: Cardinal Funk', '']",Kashura II,,,,,,,
83,るろうに剣心 -明治剣客浪漫譚- 星霜編,Samurai X: Reflection,['OVA'],2,Finished Airing,"Dec 19, 2001 to Mar 20, 2002",,,['SME Visual Works'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],['Manga'],"['Drama', 'Romance']","['Historical', 'Samurai']",['Shounen'],42 min. per ep.,R - 17+ (violence & profanity),7.96,#716,#2424,"86,996",383,47563,"Kaoru goes to the harbor every day to see if Kenshin has returned. After a while, she starts looking back at her life with Kenshin and all the things that have happened. (Source: ANN)","['Prequel (TV) Rurouni Kenshin: Meiji Kenkaku Romantan', '']",Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,"Rurouni Kenshin: Seisouhen, Rurouni Kenshin OVA 2",Kenshin Le Vagabond : Seisou-Hen (Le Chapitre de l'expiation),,,Kenshin el Guerrero Samurai Final,,
84,バイブルブラック,Bible Black,['OVA'],6,Finished Airing,"Jul 21, 2001 to Jun 25, 2003",,,"['Milky Animation Label', 'Active']",['Media Blasters'],['Studio Jam'],Visual novel,,,,28 min. per ep.,Rx - Hentai,6.58,N/A,#2807,"68,472",580,35686,"Every school has secrets, but few leave a stain that won't wash out. In a certain school, there was once a fun club centered around magic but had turned into murder and a lust for power. Sealed and willfully forgotten, the resulting evil of that day remained chained in the school's basement. Twelve years later, high school student Taki Minase, while inspecting the place where the incident took place, uncloaks the secret plastered in blood—a book of magic called ""Black Bible."" Trying his luck with its love curses, he soon finds out the magic proves real and easily penetrates the hearts and bodies of his fellow classmates. The resulting intercourse leaves the student body very vocal, and Minase's acts do not go unnoticed. What was at first a simple stroke of curiosity becomes much larger and harder to control. Fully swallowed by the unshackled darkness, everyone he knows becomes a victim, including his childhood friend Kurumi Imari. Torn apart, Minase finally realizes his mistakes and that he must reverse them in time if he ever hopes for him and Imari to come together. [Written by MAL Rewrite]","['Prequel (OVA) Bible Black Gaiden', 'Sequel (OVA) Bible Black: New Testament', 'Adaptation (Light Novel) Bible Black: La Noche de Walpurgis', '']",Bible Black,Bible Black: Night of the Walpulgiss,,['Hentai'],,,,
85,ぷにぷに☆ぽえみぃ,Puni Puni Poemy,['OVA'],2,Finished Airing,"Mar 7, 2001 to Dec 19, 2001",,,['Victor Entertainment'],['ADV Films'],['J.C.Staff'],Original,"['Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']","['Gag Humor', 'Mahou Shoujo', 'Parody']",,30 min. per ep.,R+ - Mild Nudity,6.52,#6935,#4020,"34,740",112,18198,"Poemi ""Kobayashi"" Watanabe has a body full of wasteful energy and an airheaded attitude toward every aspect in her life. Though directionless, she speeds ahead at full throttle to achieve her dream of becoming a famous voice actress. However, when mysterious aliens come to Earth and upend Poemi's life, she must utilize every ounce of her power—including magic which she gains from a magic fish—if she wants to save the world. [Written by MAL Rewrite]",[],Puni Puni☆Poemii,,,,,,,
86,ふしぎ遊戯 -永光伝,Mysterious Play: Eikoden,['OVA'],4,Finished Airing,"Dec 21, 2001 to Jun 25, 2002",,,"None found,","['Media Blasters', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Adventure', 'Drama', 'Fantasy', 'Romance']",,['Shoujo'],30 min. per ep.,PG-13 - Teens 13 or older,6.79,#5413,#5281,"18,713",38,9330,"After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship. Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage. Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child. [Written by MAL Rewrite]","['Prequel (OVA) Fushigi Yuugi: Dai Ni Bu', 'Adaptation (Light Novel) Fushigi Yuugi Gaiden']",Fushigi Yuugi: Eikouden,Fushigi Yuugi OVA 3,Fushigi Yugi Eikoden,,['Isekai'],El Juego Misterioso: Fushigi Yugi Eikoden,,
87,エンジェル・ブレイド,,['OVA'],3,Finished Airing,"Dec 14, 2001 to Apr 11, 2003",,,['Digital Works'],"['Central Park Media', 'Critical Mass Video']","['Front Line', 'Studio G-1Neo']",Original,"['Action', 'Hentai']",,,29 min. per ep.,Rx - Hentai,6.35,N/A,#6382,"11,430",51,4615,"The surface of Earth has been rendered unlivable. Due to years upon years of pollution, humanity has been forced to build cities to rise above the planet's filthy surface and adapt to this new way of life. Not only this, but there is also a thriving kingdom of mutants lurking below the billowing clouds of smog and pollution. The leader of these mutated monstrosities is a powerful, busty woman known as Phantom Lady. She dispatches her minions to attack the people above, taking advantage of and raping young women. The police are fully aware of these demon rapists, but know nothing of their origins or how to stop them. Their only hope lays within their city's mysterious, magical, and sexually explicit savior, Angel Blade. With her deadly sword, provocative costume, and strong sense of justice, this jiggling juggernaut of justice will appear whenever necessary to vanquish the Phantom Lady's demonic horde－if she can gain control of her hormones, that is!","['Sequel (OVA) Angel Blade Punish!', '']",Angel Blade,The Destroyer of Darkness,,,['Mythology'],,,
88,顔のない月,Moonlight Lady,['OVA'],5,Finished Airing,"Dec 8, 2001 to Jul 23, 2004",,,['Pink Pineapple'],['Media Blasters'],"['Imagin', 'ORADA COMPANY']",Visual novel,,,,29 min. per ep.,Rx - Hentai,6.60,N/A,#6460,"11,135",48,4710,"Suzuna is the only daughter of the Kuraki family. She is training hard to become a priestess. Tomomi brings her to the house of her husband-to-be. The mansion is under a strange spell, releasing the sexual desires of everyone inside.","['Adaptation (Manga) Kao no Nai Tsuki Comic Collection', '']",Kao no nai Tsuki,"Kaotsuki, No Surface Moon",,['Hentai'],,,,
89,怪童丸,,['OVA'],1,Finished Airing,"Dec 19, 2001",,,"['Aniplex', 'SME Visual Works']",['Manga Entertainment'],['Production I.G'],Original,"['Action', 'Fantasy']",,,46 min.,R - 17+ (violence & profanity),5.55,#11962,#7280,"8,377",6,3837,"This story takes place during the Heian Period of Japan`s history, when evil spirits still resided in the forests, mountains and rivers. A girl, accompanied by her loved one, battles against these evil spirits, while she is disguised as man. This brave woman, aka ""Kaidomaru"", with a Chinese character ""Flame"" tatooed on her upper arm, was one of the ""Four Devas"". Kaidomaru fights for the honor of her lost love, Raikou Minamotono, who had sacrified his life in order to protect the capital Kyoto, from the evils deeds of a ""princess"" cursed by a malicious ogre. The princess, whom Kaidomaru used to play with as a child, has now become her ultimate enemy. (Source: Production I.G.)",[],Kai Doh Maru,"Kaidoumaru, Kaidomaru",,,['Historical'],,,
90,うさぎちゃんで ＣＵＥ!!,,['OVA'],3,Finished Airing,"Nov 9, 2001 to Apr 26, 2002",,,['Pink Pineapple'],"None found,",['Chaos Project'],['Manga'],"['Action', 'Comedy', 'Romance', 'Ecchi']",,,26 min. per ep.,R+ - Mild Nudity,5.58,#11888,#7358,"8,169",10,2965,"Mikami Inaba was fighting a person from another school on her school's rooftop. As they fought, her friend Haru appeared. Seeing Mikami distracted, the man charged at her, causing both of them to break the nearby rabbit cages & fall off the roof. As Mikami fell, she desperately grabbed the rabbit. Suddenly, a flash or pink light appeared. Mikami fused with the rabbit, and gained another personality, called Mimika. Now, Mikami only appears when various people threaten her and her friends. Otherwise, she takes on the form of Mimika. (Source: ANN)","['Adaptation (Manga) Usagi-chan de Cue!!', '']",Usagi-chan de Cue!!,"Usagichan, It's my rabbit and it's Cue!",,,,,,
91,Canvas ～セピア色のモチーフ～,,['OVA'],2,Finished Airing,"Dec 25, 2001 to Mar 25, 2002",,,['Groove Corporation'],"None found,",['Studio Kyuuma'],Visual novel,"['Comedy', 'Romance']",,,30 min. per ep.,R+ - Mild Nudity,5.65,#11617,#7436,"7,883",0,3181,"Asou Daisuke is a high school student and a gifted artist - but he is currently suffering from a block, which keeps him from painting. His childhood friend, Tachibana Amane, who loves him deeply, persuades him to do a portrait of Kimikage Yurina, a girl with a heart condition, before Yurina undergoes surgery. In the process of rediscovering his art, Daisuke also realises the love that he and Amane feel for each other. (Source: ANN)",[],Canvas: Sepia-iro no Motif,Canvas: Motif Of Sepia,,,['Visual Arts'],,,
92,Memories Off (メモリーズオフ),,['OVA'],3,Finished Airing,"Nov 21, 2001 to Mar 6, 2002",,,"None found,","None found,",['E&G Films'],Visual novel,"['Drama', 'Romance']",,,31 min. per ep.,PG-13 - Teens 13 or older,5.76,#11121,#7724,"7,192",3,2597,"Tomoya Mikami's life changed one day when his girlfriend Ayaka was hit by a car and killed on her way to meet Tomoya. He blamed himself for her death and never was the same after the accident. He began acting callously towards Yue and his other friends. Furthermore, every time Tomoya gets involved with a new girl, he sees images of Ayaka in his dreams. He decides he needs to find a way to say goodbye to his lost love once and for all, while dealing with several side romances at the same time. (Source: ANN)","['Sequel (OVA) Memories Off 2nd', '']",Memories Off,,,,,,,
93,義母,Stepmother's Sin,['OVA'],2,Finished Airing,"Oct 5, 2001 to Jan 11, 2002",,,['Digital Works'],"['Central Park Media', 'Critical Mass Video']",['Y.O.U.C'],Visual novel,"['Drama', 'Hentai']",,,29 min. per ep.,Rx - Hentai,5.88,N/A,#8306,"6,018",24,2376,"Yusuke's been very naughty. He's seduced his father's fiancee; transforming her into a debased slave to his own twisted desires. But as his hold on her tightens, his sanity slips, and the forbidden family fun descends into a nightmare of lust! Trapped in madness of their own creation, they will pay the ultimate price for a stepmother's sin! (Source: RightStuf)",[],Gibo,,,,,,,
94,Hi・Me・Go・To,,['OVA'],1,Finished Airing,"Dec 29, 2001",,,['Pink Pineapple'],"None found,",['Chaos Project'],Original,,,,27 min.,Rx - Hentai,6.19,N/A,#8949,"4,998",12,1452,"Takashi has a loving girlfriend, but when it comes time to do the dirty deed, he finds himself unable to perform. On a train ride following this incident, Takashi discovers his teacher, Misaki, getting touched by a subway groper. Strangely though, instead of getting upset, Misaki seems to be enjoying it. And much to his own surprise, Takashi does too. Thus begins Takashi's journey as a pupil to his teacher in a most carnal sense when they meet on the train every morning. As he explores his desires with his teacher, Takashi becomes a more confident lover. But will his new knowledge help Takashi become closer to his beloved girlfriend? Or scare her away?",[],Hi.Me.Go.To,"Himegoto, Hi Me Go To",,['Hentai'],,,,
95,爆発寸前!! 天使のカウントダウン,Countdown to Delight,['OVA'],1,Finished Airing,"Oct 25, 2001",,,['Shinyusha'],['Media Blasters'],['Sonsan Kikaku'],['Manga'],"['Comedy', 'Hentai']",,,29 min.,Rx - Hentai,5.44,N/A,#9309,"4,414",11,1860,"Motoki is a junior-high student who can't ever concentrate on homework because of his sisters loud lesbian sex in the other rooms, he doesn't think life can get much worse.....until he gets a tutor and falls in love with her, from which he becomes a sex slave for her. (Source: ANN)",[],Bakuhatsu Sunzen!! Tenshi no Countdown,"Baku Hatsu, Kitty Pleasure Pack #2 (1)",,,,,,
96,それゆけまりんちゃん,,['OVA'],3,Finished Airing,"Dec 14, 2001 to Mar 28, 2003",,,['Pink Pineapple'],"None found,",['Studio G-1Neo'],['Manga'],"['Sci-Fi', 'Hentai']",,,28 min. per ep.,Rx - Hentai,6.60,N/A,#9403,"4,287",18,1504,"This 3 part hentai bishoujo OVA series is about an evil doctor that tries to collect the sperm of 100 guys, and the woman, Marin, that tries to stop her evil sister from accomplishing this. Based on the hentai manga of the same name. ""For the bright future of Japan, I shall take your semen!""","['Adaptation (Manga) Soreyuke Marin-chan', '']",Soreyuke Marin-chan,Marine A Go-Go,,,,,,
97,キカイダー０１　THE ANIMATION,Kikaider 01: The Animation,['OVA'],4,Finished Airing,"Nov 21, 2001 to Mar 20, 2002",,,['SME Visual Works'],['Bandai Entertainment'],"['Radix', 'Studio OX']",Other,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,['Shounen'],27 min. per ep.,PG-13 - Teens 13 or older,6.76,#5520,#10021,"3,532",8,1638,"Ever since the fall of the DARK organization, Jiro has been wandering everywhere and wondering if he would ever see Mitsuko again or not. During his journey Jiro meets a beautiful girl named Rieko who is protecting Akira, a little boy from the evil Professor Gill. Ironicly, he's the son of Professor Gill, but he is also the key to Gill’s menacing secret weapon and his plans to conquer the world. (Source: ANN)","['Prequel (TV) Jinzou Ningen Kikaider The Animation', 'Sequel (Special) Guitar wo Motta Shounen: Kikaider vs. Inazuman', 'Adaptation (Manga) Jinzou Ningen Kikaida', '']",Kikaider 01 The Animation,,,,['Mecha'],,,
98,名探偵コナン 謎のすい星怪獣を追え!,Detective Conan: Chase the Mysterious Comet Monster!,['OVA'],1,Finished Airing,"Nov 9, 2001",,,['Shogakukan'],"None found,","None found,",['Manga'],,,,14 min.,G - All Ages,6.43,#7499,#10197,"3,338",1,867,A short story about Conan and the Detective Boys.,"['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan: Nazo no Suisei Kaijuu wo Oe!,,,['Mystery'],,,,
99,続・恋姫,,['OVA'],2,Finished Airing,"Nov 22, 2001 to Feb 22, 2002",,,['Pink Pineapple'],"None found,",['Studio Hibari'],Visual novel,"['Fantasy', 'Supernatural', 'Hentai']",,,31 min. per ep.,Rx - Hentai,6.36,N/A,#10204,"3,331",9,1210,"Musashi had come back to his village again. He had lost his memory about the four princesses who had been his childhood friends, and also forgot that he had sexual intercourse with them. Though he lost his memory, the village and his grand mother's house made him regain familiarity. He was welcomed at his grandmother's home, and met a girl named Tamamo. She said she was his childhood friend, but he couldn't recall her at all. At night, he was lured by a strange smell, and did things with Tamamo. However it was the beginning of the plot of a person who wanted to get revenge on the village leader using Musashi. (Source: AnimeNfo)","['Prequel (OVA) Koihime', '']",Zoku Koihime,Koihime 2,,,['Harem'],,,
100,新世紀 淫魔聖伝,Inma Seiden: The Legend of the Beast of Lust,['OVA'],6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",,,['Green Bunny'],"['NuTech Digital', 'Kitty Media']",['Arms'],Original,"['Supernatural', 'Hentai']",,,27 min. per ep.,Rx - Hentai,6.11,N/A,#10325,"3,197",15,846,"As the related Kameyama and Ootori families battle to lead Ootori Academy, sinister goings-on complicate their internal struggle. Terrifying sexual assaults are taking place, with the assailant concealing his identity with a foreboding iron mask. Sena is attacked by tentacles and a demon, and then the masked man appears before Mao, who tries to fight him off. When she fails to succeed, Hitomi Kameyama comes to her rescue, but the horror has just begun. (Source: NuTech Digital)",[],Shinseiki Inma Seiden,Shin Seiki Inma Seiden,Inma Seiden: the Legend of the Bease of Lust - Cris et Châtiments,,['School'],,,
101,アスガルド～歪曲のテスタメント～,F-Force,['OVA'],3,Finished Airing,"Oct 26, 2001 to Apr 5, 2002",,,['Discovery'],['Critical Mass Video'],['Mook Animation'],Visual novel,,,,28 min. per ep.,Rx - Hentai,5.61,N/A,#10362,"3,165",5,968,"The gorgeous, supernaturally powered Alicia has been kidnapped by demons and enslaved for their unspeakably perverted pleasures. Her only hope for survival is a team of busty barbarians known as the F-Force. Each fabulous fighting female has her own style and deadly weapon of choice, but all share a love of danger and excitement - and there will be plenty of both as they fight to rescue their comrade from the ravages of evil! (Source: RightStuf)",[],Asgaldh: Waikyoku no Testament,Asgaldh: The Distortion Testament,Les Guerrières d'Asgard,['Hentai'],,Asgaldh: The Distortion Testament - F-Force,,
102,ZERO SUM GAME -SEX CRIME-,Zero Sum Game,['OVA'],1,Finished Airing,"Oct 25, 2001",,,['Blue Eyes'],"None found,","None found,",['Manga'],,,,29 min.,Rx - Hentai,5.21,N/A,#10544,"3,010",5,1014,"Yuuka's boyfriend/husband has a brother in the band ""Zero Sum"" as the lead singer. After a request, she and her husband Yazaki got tickets to go backstage at a concert. However afterwards, all the band members, except Keith the leader, kidnapped her and raped her on the roof top all as a scheme by Keith who is madly in love with his brother. Now she can't forget nor can she get away. (Source: ANN)","['Adaptation (Manga) Sex Crime', '']",Zero Sum Game: Sex Crime,Sex Crime: Zero Sum Game,,['Hentai'],,,,
103,フーリガン,,['OVA'],2,Finished Airing,"Oct 9, 2001 to Feb 8, 2002",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,,26 min. per ep.,Rx - Hentai,5.63,N/A,#10651,"2,919",2,972,"Five girls. One guy. Seven Holy Dildos. It all started when our hero, Yukito, was trying to score with his favorite blond bombshell, Olga. Things were just heating up when one of her science experiments exploded, and it screwed up all of time and space. Now, only one thing can save the world: the Seven Holy Dildos! Now it's up to Yukito to find and collect each of Seven Holy Dildos from the beautiful maidens who posses them! To win these seven sabers, Yukito must face off against their lusty owners in a sensual skirmish, where sex is the name of the game, and the winner is the one who can keep going the longest! He'll be battling it out with the lovely shrine sisters Yuka and Yuki... the foxy ninja Victoria... the sweet and spicy Hiromi... so many women, so little time! It's a tough job, but it`s up to Yukito to get his freak on and save the universe! (Source: AniDB)",[],Hooligan,"Hooligan: Quest for the Seven Holy Dildos, Hurigan",,['Hentai'],,,,
104,フラッシュバックゲーム,,['OVA'],3,Finished Airing,"Oct 18, 2001 to Apr 18, 2001",,,['Five Ways'],['NuTech Digital'],['Blue Cat'],Original,,,,28 min. per ep.,Rx - Hentai,5.42,N/A,#10711,"2,874",4,903,"Mizuho, Noriko and Yuri are three friends that go to a beauty spa that Yuri won in a competition. They relax there and have fun until they try one of the new treatments, where they see un a shining light. This light bring back their traumatic memories such as rapes of squads and sexual abuse in childhood. (Source: ANN)",[],Flashback Game,"Flash Back Game, Flashback",,['Hentai'],,,,
105,帰ってきたコートの中の天使達,Angels in the Court 2,['OVA'],2,Finished Airing,"Oct 26, 2001 to Jan 25, 2002",,,['Pink Pineapple'],"None found,",['P core'],Visual novel,,,,27 min. per ep.,Rx - Hentai,5.64,N/A,#10905,"2,702",3,803,Akira Motoura and his team or rather his harem travels to a hot spring resort to train for the upcoming volleyball game. This time they got two new rookies to strengthen their effort. Little they know that they being lured in a trap set by the two beutiful newcomers.,"['Prequel (OVA) Court no Naka no Tenshi-tachi', '']",Kaette Kita Court no Naka no Tenshi-tachi,,,['Hentai'],,,,
106,靡・淫導師 美傀 -淫辱の学園-,Mija Beautifull Demon,['OVA'],2,Finished Airing,"Dec 18, 2001 to Aug 28, 2002",,,['Five Ways'],['NuTech Digital'],['AMGA'],Unknown,,,,27 min. per ep.,Rx - Hentai,5.27,N/A,#11032,"2,599",3,869,"A pentagram appears in the school grounds of St. Moses Academy, and the demon of lust Mija is unleashed into the world to resurrect the dark paradise on earth once more. Her role is to covert humans to her debauchery... to reveal the hidden lusts and carnal pleasures to her human converts. Sara Tadeshina starts her investigation. Given only cryptic clues to guide her investigation, Sara tried to get to the bottom of her mysterious mission. Meanwhile, a young student, Mayu, is dragged into Mija realm. Under Mija spell, Mayu learns about the pleasures of the flesh. Kotaro, secretly nursing feelings for Mayu, sees a disturbing change in her behaviour. He follows Mayu and bravely enters Mija den to try to save his love. Will Sara be in time to save both Mayu and Kotaro? Will she be able to defeat Mija and her converts? Follow the sexy adventures of Sara, Mayu and Kotaro to find out! (Source: AniDB)",[],Bi-Indoushi Miija: Injoku no Gakuen,"Princesse Demonia, Mija",,['Hentai'],,,,
107,ゼロの者,Zero no Mono,['OVA'],1,Finished Airing,"Oct 21, 2001",,,['Milky Animation Label'],['NuTech Digital'],['Studio March'],['Manga'],,,,29 min.,Rx - Hentai,5.34,N/A,#11052,"2,588",5,961,"Steamy days and nights of sexual experimentation result from a glance among strangers passing in the street. A young man, enslaved by his own obsessive erotic wants, is magnetically attracted to an innocent-looking schoolgirl he observes outside of his home. Unable to control himself, he throws some of his most private bodily fluid on her, a liquid sign of his sexual desire. Surprisingly, she responds favourably to this bizarre come-on, and the two end up living in their own illicit world for the next several days. (Source: yahoo movies)","['Adaptation (Manga) Onnanoko no Shiru', '']",Zero no Mono,,,['Hentai'],,,,
108,奥様は女子校生,,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Obtain Future'],"None found,","None found,",Unknown,,,,20 min.,Rx - Hentai,5.11,N/A,#11319,"2,397",3,551,How the students and teachers become intimate and end up having physical relationships.,[],Okusama wa Joshikousei,,,['Hentai'],,,,
109,魔法遊戯 3D,,['OVA'],1,Finished Airing,"Dec 29, 2001",,,"['Starchild Records', 'Imagica', 'Omnibus Promotion']","['ADV Films', 'Sentai Filmworks']",['AIC'],Original,,,,28 min.,PG-13 - Teens 13 or older,5.59,#11827,#11322,"2,393",1,1028,"Padudu is a 12-year-old apprentice witch, chosen to represent her town in the coliseum. Donning her magical fish costume, which keeps her warm and fed, she sets off on her journey. But on the way she's swept away by a river to Dance Valley. Mayor Koffy captures her and throws her into the dungeon, hoping to eliminate the competition for Dance Valley's own coliseum candidate. Luckily for Padudu, this dungeon holds the mysterious witch Nonononn. They join together in a magical fight for survival. At the end of Blue Gender Trailer, the Magical witchland word came out! (Source: AniDB)",[],Mahou Yuugi 3D,"Magical Witchland, 3D Magical Play",,['Comedy'],,,,
110,美しき獲物たちの学園,Sin Sorority,['OVA'],2,Finished Airing,"Oct 21, 2001 to Jan 25, 2002",,,['Milky Animation Label'],['Central Park Media'],['Shindeban Film'],Visual novel,,,,29 min. per ep.,Rx - Hentai,5.40,N/A,#11394,"2,342",5,754,"A plucky coed dreams of new friends and college glory days. Her dream becomes a raunchy reality when she's inducted into an erotic sorority. To become a member, she performs outrageous acts of debauchery as her sexy sisters instruct her in the arts of lust!","['Adaptation (Light Novel) Utsukushiki Emono-tachi no Gakuen', '']",Utsukushiki Emono-tachi no Gakuen,,,['Hentai'],,,,
111,好きだよっ！,,['OVA'],2,Finished Airing,"Dec 7, 2001 to Mar 8, 2002",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,,30 min. per ep.,Rx - Hentai,5.84,N/A,#11407,"2,336",3,883,"Based on the game by Ather. True love or just true lust? As one of the most handsome guys on campus, Jun has never had any trouble finding a girl who wants to have a good time, but while the sex is always hot, something just seems to be missing... love. Jun's search to find that special someone leads him to the Shinbashi sisters, his good childhood friends! Should he go for Reina, the gorgeous blonde who overflows with kindness? How about Lina, the perky and agile sports girl who's had a crush on Jun for years? And then there's the mysterious Mina, the fiery redhead with a sharp tongue and a hot body who's just reappeared in his life... Three very different sisters, but all have the same needs and desires. Will Jun ever be able to pick just one? (Source: AniDB)",[],Suki da yo!,I Love You,,['Hentai'],,,,
112,レザーマン,Leatherman,['OVA'],5,Finished Airing,"Nov 18, 2001 to Oct 18, 2002",,,['Five Ways'],['JapanAnime'],['Aiti St.'],['Manga'],,,,25 min. per ep.,Rx - Hentai,5.89,N/A,#11689,"2,145",5,678,"Stuffing an old bag full of contents from a safe, Cruz hops on his motorcycle and faces an uncertain future. (Source: AniDB)",[],Leatherman,"Sexbomb, Black Hole e no Michi",,['Hentai'],,,,
113,ナチュラル2 デュオ,,['OVA'],4,Finished Airing,"Nov 25, 2001 to Jul 24, 2003",,,['Green Bunny'],['Adult Source Media'],['Arms'],Visual novel,,,,28 min. per ep.,Rx - Hentai,5.98,N/A,#11862,"2,033",0,643,"Chisato and Kuu lost their parents years ago and were taken in by an Old man and his grandson, Chisato and Kuu became good friends with his grandson however he left and never came back. Now. Years later Chisato met up with her ""Onii-chan"" her lost love. (Source: ANN)","['Adaptation (Light Novel) Natural 2: Duo: Niisama no Soba ni', 'Adaptation (Light Novel) Natural 2 Duo: Oniichan to no Kizuna']",Natural 2: Duo,Natural Obsessions 2,,['Hentai'],,,,
114,女子大エッチ相談室,University Girls: Special Counseling,['OVA'],1,Finished Airing,"Dec 15, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Original,,,,21 min.,Rx - Hentai,3.58,N/A,#11909,"2,005",1,732,"Madoka goes to her counselor for advice on her classes, and the help she is given will take her to a new place of erotic heights. Watch these girls embark on a path of forbidden love. (Source: AniDB)",[],Joshidai: Ecchi Soudanshitsu,,,['Hentai'],,,,
115,乱交調教 メイドになった少女,Rancou Chokyo - Orgy Training,['OVA'],1,Finished Airing,"Nov 18, 2001",,,['Five Ways'],['NuTech Digital'],['Aiti St.'],['Manga'],,,,28 min.,Rx - Hentai,5.37,N/A,#11963,"1,971",2,686,"Born into a wealthy family, a young man is overpowered by his brute, cruel father. Shy and inexperienced, his first date turns out badly after he is rejected when trying to have sex with his date. Feeling depressed, he is walking to school when he comes across a beautiful girl, lost in his neighborhood. He soon finds out that she is the new family maid. Knowing his father's predatory ways, the boy sits helplessly as his father rapes the new maid later that night. When the girl brings him dinner one day, the boy is overcome by his desire for her, and tries to have his way with her. Will he be able to confess his feelings for her, or will he turn out to be a predatory man just like his father? Will the girl accept his advances? What will fate bring for the girl and the boy?",[],Rankou Choukyou: Maid ni Natta Shoujo,Rancou Choukyo,,['Hentai'],,,,
116,ミニスカ学園,Girl's Locker Room Lust,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Original,,,,19 min.,Rx - Hentai,4.26,N/A,#12006,"1,951",1,739,"Under the uniforms of this girls volleyball team is ripe juicy fruit ready to be picked, and they're ready to get into the action. Now that's what we call team sports. Watch as these little volleyball sluts bring some of the football players back to the locker room with them and clothes start falling off. They should have known what would happen if they bring boys into the girls' locker room! (Source: AniDB)",[],Mini Skirt Gakuen,Mini Skirt Jogakuen,,['Hentai'],,,,
117,メイド召しませ,,['OVA'],1,Finished Airing,"Dec 1, 2001",,,['Obtain Future'],"None found,","None found,",Unknown,,,,28 min.,Rx - Hentai,4.53,N/A,#12705,"1,551",0,561,"Mahya, a new timer in the delivery maid service, is sent to Professor Takahata's residence from the company to do maid service. However, what she doesn't know is that she is going to be tricked and tormented by the male student, calling himself, ""Professor Takahata""! (anidb)",[],Maid Meshimase,Mahya the Servant,,['Hentai'],,,,
118,プリマドンナ舞,Naughty College School Girls,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Unknown,,,,28 min.,Rx - Hentai,4.53,N/A,#12896,"1,458",2,437,"Mai and her gymnastics trainer are secretly in love with each other. Unfortunately she has a boyfriend while her teacher is married to the daughter of the school’s director. Despite all that and the fact that they are teacher and student they both give in to their desires and everything works just fine between them… Too bad the wife finds out – and she’s not happy that she lost her husband to a little girl. She persuades Mai’s boyfriend to help her, and together they carry out a plan to punish and publicly humiliate Mai… (Source: AniDB)",[],Prima Donna Mai,,,['Hentai'],,,,
119,蒼い妖精,,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Obtain Future'],"None found,","None found,",Unknown,,,,23 min.,Rx - Hentai,5.07,N/A,#13233,"1,325",0,353,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Aoi Yousei,,,['Hentai'],,,,
120,家庭教師　美少年狩り,Naughty College School Girls,['OVA'],1,Finished Airing,"Dec 21, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Unknown,,,,19 min.,Rx - Hentai,4.47,N/A,#13490,"1,237",0,337,No synopsis has been added for this series yet. Click here to update this information.,[],Kateikyoushi Bishounen Kari,,,['Hentai'],,,,
