,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Theme,Demographic,Demographics
172,ヴァンキッシュド・クイーンズ,,,,['OVA'],4,Finished Airing,"Mar 29, 2013 to Sep 30, 2014",,,['Genco'],"None found,","['Arms', 'Hoods Entertainment']",Other,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,5.98,#10009,#5639,"15,627",17,4476,Vanquished Queens OVAs depict what happened to various characters who were absent in Queen's Blade: Rebellion and what happened to them after Queen's Blade: Utsukushiki Toushitachi.,"[""Prequel (OVA) Queen's Blade: Utsukushiki Toushi-tachi"", ""Sequel (TV) Queen's Blade: Rebellion""]",Vanquished Queens,Queen's Blade,,,,,
173,コードギアス 双貌のオズ ピクチャードマラ,Code Geass: Oz the Reflection Picture Drama,,,['OVA'],5,Finished Airing,"Jan 10, 2013",,,"None found,","None found,",['Sunrise'],['Manga'],"['Action', 'Drama', 'Supernatural']","['Mecha', 'Military', 'School']",3 min. per ep.,PG-13 - Teens 13 or older,6.22,#8738,#5703,"15,270",6,3576,"Code Geass: Soubou no Oz Picture Drama following the lives of two characters from opposite sides of the barricades: Orpheus Zevon—young theorist from KMF searching for the killer of his mistress and Oldrin Zevon—protiteristické member unit of the British Empire ""Glindyni knights."" Drama quite obviously inspired by the classic story of The Wizard of Oz.","['Adaptation (Manga) Code Geass: Soubou no Oz', '']",Code Geass: Soubou no Oz Picture Drama,,,,,,
174,聖ヤリマン学園援交日記 THE ANIMATION,,,,['OVA'],1,Finished Airing,"Feb 22, 2013",,,['Pink Pineapple'],"None found,",['Seven'],Visual novel,,,31 min.,Rx - Hentai,7.11,N/A,#5706,"15,264",114,6246,"Saiki Yasuo is a 45-year-old office worker. After 20 years of marriage, his wife asked for a divorce and left him. Now, depressed, he spends the nights drinking alone, until one night a girl from the St. Marian Academy approaches him looking for a client. (Source: VNDB)","['Sequel (OVA) Shin Sei Yariman Gakuen Enkou Nikki The Animation', 'Adaptation (Light Novel) Sei Yariman Gakuen Enkou Nikki']",Sei Yariman Gakuen Enkou Nikki The Animation,"Saint Slut Academy Dating Diary, Sei Yariman Gakuen Enkou Nikki",,['Hentai'],,,
175,姉恋 スキ・キライ・ダイスキ。,Sizzling Siblings,,,['OVA'],2,Finished Airing,"Feb 15, 2013 to May 17, 2013",,,['Pashmina'],['Kitty Media'],['Studio Prokion'],['Manga'],,,25 min. per ep.,Rx - Hentai,6.90,N/A,#5874,"14,104",75,6167,"Yoshiharu Hayami has always been in love with his older sister Sana. However, his sister decides to leave their house for certain reasons, leaving Yoshiharu worried that his feelings for her might go unnoticed. Unwilling to let go of her, he musters up his courage to confess, as well as taking something very important to her... [Written by MAL Rewrite]","['Adaptation (Manga) Ane Koi', '']",Ane Koi: Suki Kirai Daisuki.,,,['Hentai'],,,
176,フォルト!!S(サービス)~新たなる恋敵(ライバル)~,,,,['OVA'],1,Finished Airing,"Feb 22, 2013",,,"['Cotton Doll', 'Lune-Pictures']","None found,",['T-Rex'],Visual novel,,,26 min.,Rx - Hentai,6.94,N/A,#5967,"13,575",40,5297,"After a tumultuous summer vacation, Shuuichi begins the second school term while under the constant love assault from Ai and Mio. One day the tennis club leader Reiko announced that they will participate in the school festival at the end of the month, which they decided to run a cosplay cafe after much wrangling. Afterwards, she decided that she wanted to run as a candidate for next term's student council. That wasn’t the end of his tumultuous days as a transfer student suddenly appeared in his class... (Source: AniDB)","['Prequel (OVA) Fault!!', '']",Fault!! Service: Aratanaru Rival,,,['Hentai'],['School'],,
177,未亡人日記 ~憧れのあの女（ひと）と一つ屋根の下~,,,,['OVA'],1,Finished Airing,"Jan 25, 2013",,,['Pink Pineapple'],"None found,",['Ishibashi Planning'],Visual novel,,,22 min.,Rx - Hentai,6.96,N/A,#6112,"12,726",74,5239,Based on the erotic game by Orcsoft.,[],Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,,,['Hentai'],,,
178,相思相愛ノート THE ANIMATION,,,,['OVA'],2,Finished Airing,"Feb 22, 2013 to May 31, 2013",,,['Pink Pineapple'],"None found,",['T-Rex'],['Manga'],,,28 min. per ep.,Rx - Hentai,7.23,N/A,#6334,"11,626",61,4354,"Based on the manga by Fukudahda. Asoka Madoka is invited to karaoke by her friends where she is introduced to Miyamoto who she happens to know from before. The two other girls depart with two other boys. Then, Asoka and Miyamota make out, rent a love hotel, and do what needs to be done. Ai-chan is a girl who happens to be into a smell fetish who likes Namikawa. After school, when there is no one around, the two of them have some fun.","['Adaptation (Manga) Soushisouai Note', '']",Soushisouai Note The Animation,,,['Hentai'],,,
179,黒と金の開かない鍵。,,,,['OVA'],2,Finished Airing,"Feb 28, 2013 to May 30, 2013",,,"None found,","None found,",['An DerCen'],Visual novel,,,29 min. per ep.,R+ - Mild Nudity,5.45,N/A,#6464,"11,090",36,4186,"Katagiri Kanade is a hikikomori who spent her days lazing off in her room. Her specialty is her broad imagination which often leads to various wild delusions. One night a weird cowboy guy appeared in her dream, saying that he's her heart's hero. Due to his encouragement, Kanade decided to try and go have a haircut the next day. It was then when she met a mysterious guy who cut her hair in the park, giving her courage to resume her school days. Right after her haircut, a guy approaches Kanade who turns out to be her former classmate, Sudou Yukio. Kanade used to like him back then, and he was happy to meet her again. Kanade lives with her non blood-related brother, Sonomura Ikuto. Despite Ikuto's warning, Kanade went looking for the mysterious guy who cut her hair the next day. She found him in the park, where he introduced himself as Hasui Tomoomi. He's a professional hairdresser and owns a salon named Azalea nearby. Since Kanade was absent from school for so long, her homeroom teacher, Konno Chihiro, offered to help her with her studies. Having these guys around her, what will happen to Kanade's life from now on? (Source: Love-Coloured Sky)",[],Kuro to Kin no Akanai Kagi.,Kuro to Kin no Hirakanai Kagi.,,['Erotica'],,['Josei'],
180,Chu(治癒)してあげちゃう ~押しかけお姉さんの性交恥療~,,,,['OVA'],2,Finished Airing,"Feb 22, 2013 to Jun 28, 2013",,,"None found,","None found,",['PoRO'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.93,N/A,#6715,"10,145",41,3896,Based on the erotic game by Syrup: Honey Sweet.,[],Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,,,['Hentai'],,,
181,Wanna. SpartanSex Spermax!!!,,,,['OVA'],2,Finished Airing,"Feb 22, 2013 to Sep 27, 2013",,,"None found,","None found,",['Suzuki Mirano'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.66,N/A,#6904,"9,502",41,3515,Based on the erotic game by Guilty eX.,[],Wanna. SpartanSex Spermax!!!,,,['Hentai'],,,
182,窓視相愛 ~純愛メロウより~,Pure Mellow Love,,,['OVA'],1,Finished Airing,"Jan 18, 2013",,,"['MS Pictures', 'Pashmina']",['Kitty Media'],['Studio Prokion'],['Manga'],,,26 min.,Rx - Hentai,6.70,N/A,#7152,"8,713",29,3763,"Asuka has been having internet sex with her childhood friend, Ryou, but is bothered by the fact that he hasn't noticed that it's her, until he unknowingly confesses to her.","['Adaptation (Manga) Junai Mellow', '']",Soushi Souai: Junai Mellow yori,,,['Hentai'],,,
183,緋色の欠片 突撃! 隣のイケメンズ,,,,['OVA'],1,Finished Airing,"Mar 28, 2013",,,"['Bandai Visual', 'Lantis']","None found,",['Studio Deen'],Visual novel,"['Comedy', 'Supernatural']",,11 min.,PG-13 - Teens 13 or older,6.68,#6032,#7219,"8,542",11,2769,"Bundled with Hiiro no Kakera Taizen, a comprehensive illustration book on the six-year history of Idea Factory's Hiiro no Kakera romance game franchise, the OVA reveals the private lives of the five main characters.",[],Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,,,,['Reverse Harem'],['Josei'],
184,秘湯めぐり 隠れ湯 舞桜編,,,,['OVA'],2,Finished Airing,"Feb 2, 2013 to May 3, 2013",,,['Mary Jane'],"None found,",['Kantou Douga Kai'],Visual novel,,,15 min. per ep.,Rx - Hentai,6.31,N/A,#7233,"8,508",33,3305,Based on the erotic game Zoku Hitou Meguri by Riddle Soft.,"['Sequel (OVA) Shin Hitou Meguri', '']",Hitou Meguri Kakure Yu: Mao-hen,,,['Hentai'],,,
185,魔法少女えれな,Magical Girl Elena,,,['OVA'],3,Finished Airing,"Jul 8, 2011 to Feb 22, 2013",,,"['Valkyria', 'Anime Antenna Iinkai']","None found,","['Studio Fantasia', 'Rabbit Gate']",Visual novel,"['Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.42,N/A,#7359,"8,118",53,3005,"With the help from a mysterious creature, Elena turns herself into a magical girl in order to beat Zoid, a tentacle monster, and save her sister, Emile. Since then, to protect her sister and to keep peace on Earth, Elena fights against ugly creatures as a magical girl; however, what awaits her is a harsh destiny: immoral days of naughty humiliations, and her battle eventually involves her sister and her dead mother. Can Elena exterminate the tentacle monster, or will she be driven crazy, losing all sense of reasoning to the ecstasy? (Source: DLsite, edited)",[],Mahou Shoujo Elena,Mahou Shoujo Erena,,,,,
186,公開便所 THE ANIMATION,,,,['OVA'],2,Finished Airing,"Mar 22, 2013 to Jun 28, 2013",,,['Pink Pineapple'],"None found,",['Office TakeOut'],['Manga'],"['Drama', 'Hentai']","['Psychological', 'School']",26 min. per ep.,Rx - Hentai,6.08,N/A,#7544,"7,585",33,2686,"Every month, one random girl becomes a comfort station as students and staff from around the school use the comfort station for pleasure.","['Adaptation (Manga) Koukai Benjo', '']",Koukai Benjo The Animation,Public Toilet,,,,,
187,理－コトワリ－ ~キミの心の零れた欠片~,,,,['OVA'],2,Finished Airing,"Mar 29, 2013 to May 31, 2013",,,"None found,","None found,",['Nihikime no Dozeu'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.51,N/A,#7628,"7,387",20,2502,"Mishiro Tamanashi can see the spiritual being called Sanshishi. Ever since he met this entity, his life has changed.",[],Kotowari: Kimi no Kokoro no Koboreta Kakera,,,['Hentai'],,,
188,えびてん 公立海老栖川高校天悶部 OAD,,,,['OVA'],1,Finished Airing,"Jan 26, 2013",,,"['AIC', 'AMG MUSIC']",['Sentai Filmworks'],['AIC Classic'],['Manga'],"['Comedy', 'Ecchi']","['Parody', 'School']",26 min.,PG-13 - Teens 13 or older,6.29,#8338,#8113,"6,350",3,2302,Blu-ray disc bundled with the fourth volume of the manga.,"['Adaptation (Manga) Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu', '']",Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,Ebiten: Kouritsu Ebi Sugawa Koukou Tenmonbu OAD,,,,['Shounen'],
189,"マリッジブルー 「婚約者がいるのに, どうしてこんな男に......」",,,,['OVA'],1,Finished Airing,"Mar 22, 2013",,,['Lune-Pictures'],"None found,",['Rabbit Gate'],Visual novel,,,25 min.,Rx - Hentai,6.26,N/A,#8504,"5,714",16,2233,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",,,['Hentai'],,,
190,D-spray,,,,['OVA'],1,Finished Airing,"Mar 29, 2013",,,"['Lune-Pictures', 'Angelfish']","None found,",['Schoolzone'],Visual novel,,,26 min.,Rx - Hentai,6.36,N/A,#9011,"4,868",13,1863,Based on the erotic game by Undermoon.,[],D-Spray,,,['Hentai'],,,
191,あさこげっちゅ!!,,,,['OVA'],2,Finished Airing,"Jan 26, 2013",,,"None found,","None found,",['SILVER LINK.'],['4-koma manga'],"['Comedy', 'Romance', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,5.69,#11414,#9317,"4,399",0,2207,Unaired anime bundled with the limited edition of the 9th volume of the manga.,"['Adaptation (Manga) Chitose Get You!!', '']",Asako Get You!!,Chitose Get You!! OVA (2013),,,['School'],['Seinen'],
192,アイドル候補生,,,,['OVA'],1,Finished Airing,"Feb 13, 2013",,,"None found,","None found,",['Lyrics'],Original,,,19 min.,Rx - Hentai,5.77,N/A,#9893,"3,671",5,1414,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Idol Kouhosei,,,['Hentai'],,,
193,キラ☆キラ 5th Anniversary Live Anime KICK START GENERATION,,,,['OVA'],1,Finished Airing,"Mar 27, 2013",,,"['Lantis', 'Media Factory']","None found,",['SILVER LINK.'],Visual novel,,,26 min.,G - All Ages,6.35,#7982,#11147,"2,499",6,860,"Based on the visual novel by Overdrive. The what-if story reunites the Second Literature Club Band members Kirari, Chie, Shikanosuke, and Sarina, several months after the concert in the d2b vs Deardrops ~Cross the Future~ fan disk. (Source: ANN)",[],Kirakira 5th Anniversary Live Anime: Kick Start Generation,,,,['Music'],,
194,TIGER & BUNNY SPECIAL EDITION,,,,['OVA'],2,Finished Airing,"Dec 21, 2012 to Jan 9, 2013",,,"None found,","None found,",['Sunrise'],Unknown,"['Action', 'Comedy', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Super Power']",1 hr. 35 min. per ep.,PG-13 - Teens 13 or older,6.07,#9549,#11870,"2,024",2,499,Recap compilation of the Tiger & Bunny series with some new sequences and new narration from the viewpoint of the characters Barnaby and Kotetsu.,[],Tiger & Bunny Recaps,"Tiger & Bunny: Special Edition - Side Bunny, Tiger & Bunny: Special Edition - Side Tiger",,,,,
195,転校生は公認会計士！,,,,['OVA'],1,Finished Airing,Mar 2013,,,"None found,","None found,",['TYO Animations'],Original,,,17 min.,PG-13 - Teens 13 or older,[],#14801,#18968,347,2,,A video produced for middle and high school students showcasing the role of CPAs and the importance of audits. The anime aims to make accounting an attractive occupation.,[],Tenkousei wa Kounin Kaikeishi!,The Transfer Student is a Certified Public Accountant!,,['Slice of Life'],['School'],,
196,みこすり半劇場,,,,['OVA'],1,Finished Airing,"Mar 21, 2013",,,['Liverpool'],"None found,","None found,",Unknown,,,27 min.,R+ - Mild Nudity,[],#20245,#19205,332,0,,Based on the same name gag yonkoma manga by Tenho Iwatani.,"['Adaptation (Manga) Mikosuri Han-Gekijou', '']",Mikosuri Han-Gekijou,,,['Comedy'],['Parody'],,
197,リトルウィッチアカデミア,,,,['Movie'],1,Finished Airing,"Mar 2, 2013",,,"['Half H.P Studio', 'Ultra Super Pictures']","None found,",['Trigger'],Original,"['Adventure', 'Comedy', 'Fantasy']",,26 min.,PG-13 - Teens 13 or older,7.79,#1071,#807,"318,204","1,372",177915,"For young witches everywhere, the world-renowned witch Shiny Chariot reigns as the most revered and celebrated role model. But as the girls age, so do their opinions of her—now just the mention of Chariot would get a witch labeled a child. However, undeterred in her blind admiration for Chariot, ordinary girl Atsuko Kagari enrolls into Luna Nova Magical Academy, hoping to someday become just as mesmerizing as her idol. However, the witch academy isn't all the fun and games Atsuko thought it would be: boring lectures, strict teachers, and students who mock Chariot plague the campus. Coupled with her own ineptness in magic, she's seen as little more than a rebel student. But when a chance finally presents itself to prove herself to her peers and teachers, she takes it, and now it's up to her to stop a rampaging dragon before it flattens the entire academy. [Written by MAL Rewrite]","['Sequel (Movie) Little Witch Academia: Mahoujikake no Parade', 'Adaptation (Manga) Little Witch Academia']",Little Witch Academia,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012, LWA",,,['School'],,
198,デス・ビリヤード,Death Billiards,,,['Movie'],1,Finished Airing,"Mar 2, 2013",,,['Three S Studio'],['Funimation'],['Madhouse'],Original,"['Drama', 'Fantasy', 'Suspense']","['Adult Cast', 'High Stakes Game', 'Psychological']",25 min.,R - 17+ (violence & profanity),7.87,#892,#1051,"245,593",341,140359,"Two men have just arrived at a location known as Quindecim and are unable to remember how they got there. They are immediately greeted by a young woman who escorts them to a small bar, where a bartender awaits them. They are told that they will have to participate in a game, randomly chosen by roulette, and will be unable to leave until its completion; if they refuse, the consequences will be dire. In addition to the rules of the game, the two men are told to play as if their lives are at stake. The game that has been chosen is billiards. But there's more to it than just pocketing pool balls, as the two are about to find out the outcome could mean life or death. [Written by MAL Rewrite]",[],Death Billiards,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012",,,,,
199,ベルセルク 黄金時代篇Ⅲ 降臨,Berserk: The Golden Age Arc III - The Advent,Berserk: Das goldene Zeitalter III,Berserk: L'Age d'Or Partie III - L'Avent,['Movie'],1,Finished Airing,"Feb 1, 2013",,,"['VAP', 'Hakusensha', 'Movic', 'Yahoo! Japan', 'Lucent Pictures Entertainment', 'Good Smile Company', 'Beyond C.', 'KDDI']",['VIZ Media'],['Studio 4°C'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military', 'Psychological']",1 hr. 50 min.,R+ - Mild Nudity,8.21,#379,#1103,"235,574","1,659",147501,"The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember. Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days. [Written by MAL Rewrite]","['Prequel (Movie) Berserk: Ougon Jidai-hen II - Doldrey Kouryaku', 'Sequel (TV) Berserk', 'Adaptation (Manga) Berserk', '']",Berserk: Ougon Jidai-hen III - Kourin,"Berserk Movie, Berserk Saga, Berserk: Golden Age Arc III - Descent",Berserk: La Edad de Oro III. El Advenimiento,,,['Seinen'],
200,ドラゴンボールZ 神と神,Dragon Ball Z: Battle of Gods,Dragon Ball Z Film 14: Kampf der Götter,Dragon Ball Z Film 14: Battle of Gods,['Movie'],1,Finished Airing,"Mar 30, 2013",,,"['Toei Video', 'Fuji TV', 'Bandai', 'Bandai Namco Games', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 25 min.,PG-13 - Teens 13 or older,7.41,#2302,#1124,"232,317",298,159229,"Following the defeat of a great adversary, Gokuu Son and his friends live peaceful lives on Earth. Meanwhile, in space, Beerus the God of Destruction awakens from his long slumber, having dreamed of an entity known as a Super Saiyan God. With the help of his assistant, Whis, Beerus looks for this powerful being, as he wishes to fight a worthy opponent. After discovering that the Saiyan home planet was destroyed, he tracks down the remaining Saiyans on Earth, looking for Gokuu specifically. Having only heard of the Super Saiyan God in legends, Gokuu and his comrades summon Shen Long the Eternal Dragon, who they find out is afraid of Beerus. After learning the secret of the Super Saiyan God, an intense battle between Gokuu and Beerus commences, the immense power of which puts the Earth in terrible danger. [Written by MAL Rewrite]","['Sequel (Movie) Dragon Ball Z Movie 15: Fukkatsu no ""F""', '']",Dragon Ball Z Movie 14: Kami to Kami,,Dragon Ball Z  Película 14: Battle of Gods,,['Martial Arts'],['Shounen'],
201,劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）,Hunter x Hunter: Phantom Rouge,,,['Movie'],1,Finished Airing,"Jan 12, 2013",,,"['VAP', 'Nippon Television Network', 'TOHO animation', 'Shueisha', 'Hiroshima Television']",['VIZ Media'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 36 min.,PG-13 - Teens 13 or older,7.28,#2936,#1235,"208,973",325,119130,"After completing their work at Yorknew City, Leorio Paladiknight and Kurapika investigate the rumored sightings of a boy with scarlet red eyes, as they believe this person to be a member of the now non-existent Kurta Clan. Kurapika hopes to find another survivor of the clan besides himself, but instead ends up losing both his eyes after an attack from someone who seems to be his childhood friend. Leorio tends to Kurapika's wounds, and then sends for both Gon Freecss and Killua Zoldyck to help retrieve Kurapika's eyeballs. However, their search brings them face-to-face with the infamous group of thieves known as Phantom Troupe—the same people who massacred the entire Kurta Clan five years ago for their scarlet eyes, which change color during moments of rage. Hunter x Hunter Movie 1: Phantom Rouge follows the boys' quest to locate their friend's eyes and catch the thief, causing them to delve deep into Phantom Troupe's past. And in doing so, they encounter a mysterious girl who appears to be linked to it all… [Written by MAL Rewrite]","['Adaptation (Manga) Hunter x Hunter: Kurapika Tsuioku-hen', 'Adaptation (Light Novel) Gekijouban Hunter x Hunter: Phantom Rouge']",Hunter x Hunter Movie 1: Phantom Rouge,"Gekijouban Hunter x Hunter: Hiiro no Genei, HxH Movie",Hunter x Hunter: Phantom Rouge,,,['Shounen'],
202,劇場版 とある魔術の禁書目録 エンデュミオンの奇蹟,A Certain Magical Index the Movie: The Miracle of Endymion,A Certain Magical Index: Der Film,A Certain Magical Index: Le Film,['Movie'],1,Finished Airing,"Feb 23, 2013",,,"['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'Warner Bros. Japan', 'ASCII Media Works']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",1 hr. 30 min.,R - 17+ (violence & profanity),7.40,#2348,#1764,"136,613",183,70561,"In the scientifically advanced Academy City, a miracle is about to occur: the completion of the world's first space elevator, ""Endymion."" Meanwhile, a certain high school student, Touma Kamijou, and his companion Index are going about their daily lives when they encounter and befriend Arisa Meigo, a cheerful and ambitious singer. When strange occurrences begin taking place throughout the city, they lead to the discovery of an intricate plot surrounding Arisa and Endymion. Things only get more complicated when the Stiyl Magnus appears, signifying that the magical world is somehow involved too... [Written by MAL Rewrite]","['Adaptation (Manga) Toaru Majutsu no Index: Endymion no Kiseki', '']",Toaru Majutsu no Index Movie: Endymion no Kiseki,Gekijouban Toaru Majutsu no Kinsho Mokuroku,A Certain Magical Index la Película: The Miracle of Endymion,,,,
203,劇場版 花咲くいろは HOME SWEET HOME,Hanasaku Iroha the Movie: Home Sweet Home,Hanasaku Iroha the Movie: Home Sweet Home,Hanasaku Iroha the Movie: Home Sweet Home,['Movie'],1,Finished Airing,"Mar 9, 2013",,,"['Sotsu', 'Lantis', 'Infinite']","['NIS America, Inc.']",['P.A. Works'],Original,,,1 hr. 6 min.,PG-13 - Teens 13 or older,7.83,#963,#2301,"94,522",102,36640,"Ohana Matsumae has been working at Kissui Inn as a waitress for a while now. However, she realizes that she is starting to lose her desire to sparkle, having grown accustomed to the routines of her job. As this was a desire she had when she first moved to the inn, the realization bothers her. While having Yuina Wakura—Ohana's classmate, friend, and the daughter of rival Fukuya Inn's owner—under her as an apprentice, Ohana stumbles upon some old archives that mention her mother, Satsuki. Ohana does not know much about her mother, but these archives could shed some light on her past. Besides learning more about her mother, it is business as usual at Kissui Inn—though with a couple of challenges to test Ohana and the staff of the inn. [Written by MAL Rewrite]",[],Hanasaku Iroha Movie: Home Sweet Home,Hanasaku Iroha: Home Sweet Home,Hanasaku Iroha the Movie: Home Sweet Home,['Drama'],['Workplace'],,
204,だれかのまなざし,Someone's Gaze,,,['Movie'],1,Finished Airing,"Feb 10, 2013",,,['The Answer Studio'],"None found,",['CoMix Wave Films'],Original,,,6 min.,G - All Ages,7.31,#2787,#2698,"73,199",91,38499,"In near-future Japan, Aya Okamura lives alone in an apartment away from her parents. Her mother has worked overseas ever since her childhood, so her aging father Kouji and their cat Mii-san are the only ones left in their family home. After a tiring day, Aya declines her father's invitation for dinner by lying that she is still at work. Yet that very night, she receives another call with sudden news that may bring this separated family closer. [Written by MAL Rewrite]",[],Dareka no Manazashi,,,['Slice of Life'],,,
205,アルヴ・レズル -機械仕掛けの妖精たち-,,,,['Movie'],1,Finished Airing,"Mar 2, 2013",,,"None found,","None found,",['Zexcs'],['Light novel'],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",,24 min.,R - 17+ (violence & profanity),6.20,#8832,#4544,"26,917",17,11961,"One day, when Remu Mikage is on a video call with his sister, Shiki, who has traveled to the futuristic Okinotori-island Mega Float City for school, she confesses that both the audio and visuals of her are completely artificial. In order to be more efficient in her studies, Shiki has used neural-linked nanomachines to upload her consciousness onto a computer and is storing her physical body in a ""body pool."" While shocked, Remu is supportive of his sister's decision, until the disaster known as the ""Early Rapture"" happens. The Early Rapture causes everyone who has uploaded their consciousnesses to either fall into a coma or perish. Remu visits his sister's empty apartment one last time, but is shocked when Shiki arrives at the door. With no memory of her family or past, and being pursued by a violent group of researchers, Shiki and her brother are forced to flee using her newfound power of nanomachine manipulation. [Written by MAL Rewrite]","['Adaptation (Manga) Arve Rezzle: Kikaijikake no Yousei-tachi', 'Adaptation (Light Novel) Arve Rezzle: Kikaijikake no Yousei-tachi']",Arve Rezzle: Kikaijikake no Yousei-tachi,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012, Aruvu Rezuru, Aruvu Rezuru: Kikai Jikake no Yousei-tachi, Aruvu Rezuru: Mechanized Fairies, Arve Rezzle: Mechanized Fairies, Arve Rezzle: Kikaijikake no Yoseitachi",,,,,
206,龍-RYO-,,,,['Movie'],1,Finished Airing,"Mar 2, 2013",,,"None found,","None found,",['Gonzo'],Original,"['Action', 'Drama']","['Historical', 'Samurai']",26 min.,PG-13 - Teens 13 or older,5.80,#10930,#5936,"13,793",4,6641,"During the turbulent end of the Tokugawa era, many children became war orphans. One of these orphans, a nameless son of a samurai, ends up meeting Ryouma Sakamoto, a man working against the Bakufu government. Impressed by the orphan's skill with a blade, Ryouma gives him the name ""Ryo"" and lets him travel by his side. [Written by MAL Rewrite]",[],Ryo,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012",,,,,
207,スタードライバー THE MOVIE,,,,['Movie'],1,Finished Airing,"Feb 9, 2013",,,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Bandai Namco Entertainment', 'Fonishia']","None found,",['Bones'],Original,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'School']",2 hr. 30 min.,PG-13 - Teens 13 or older,6.62,#6354,#6014,"13,300",10,3757,"Star Driver takes place on the fictional Southern Cross Isle. One night, a boy named Takuto washes up on shore swimming from the mainland. He later enrolls in Southern Cross High School as a freshman and makes new friends. (Source: Official website)",[],Star Driver the Movie,,,,,,
208,映画 ドラえもん のび太のひみつ道具博物館[ミュージアム],,,,['Movie'],1,Finished Airing,"Mar 9, 2013",,,"['TV Asahi', 'Asatsu DK', 'TOHO']","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,1 hr. 44 min.,PG - Children,7.60,#1590,#6958,"9,333",13,6020,"On a normal afternoon, Doraemon's bell was stolen by Kaito Deluxe, a thief from the 22nd Century. Determined to get it back, Nobita and co. decides to pursue him and take back the bell that is hidden inside the 22nd Century's Secret Gadget Museum. (Source: ANN)",[],Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Doraemon: Nobita no Himitsu Dougu Hakubutsukan,Doraemon Película 33: Doraemon y Nobita Holmes en el misterioso Museo del Futuro,,,,"['Kids', 'Shounen']"
