,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographic,German,Demographics
24,"Zoids Classic, Zoids: Chaotic Century, Zoids: Guardian Forces",ゾイド,Zoids,,,['TV'],67,Finished Airing,"Sep 4, 1999 to Dec 23, 2000",['Fall 1999'],Saturdays at 18:00 (JST),['Shogakukan Productions'],['VIZ Media'],['Xebec'],Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],25 min. per ep.,PG-13 - Teens 13 or older,7.37,#2484,#3240,"52,091",289,26864,"In a remote desert on the Planet Zi, a boy named Van discovers an abandoned, dilapidated facility. Inside, he finds an opaque cocoon that breaks on its own, and a dinosaur-like robot known as an ""Organoid"" emerges from the shell. Van names the creature Zeke and claims it for himself, but a group of bandits come after him to seize the Organoid. The bandits are equipped with ""Zoids,"" beast-like mechanical units that are used for combat. Van is able to fend off his pursuers by reviving and fusing with an old Zoid dubbed the ""Shield Liger."" Van returns to the facility with Zeke in tow and finds a new cocoon. He is ecstatic that he may have obtained another Organoid, but when the cocoon breaks, a girl emerges from it instead. Unaware of her origins, the girl only remembers that her name is Fiona and that she has to locate an object called the ""Zoid Eve."" Determined to solve the mystery behind her existence, Fiona ventures out alongside Van and Zeke to uncover what the Zoid Eve truly is. The trio runs across many friends and foes in their adventure, encountering various dangers and experiencing slices of light-heartedness as they travel. [Written by MAL Rewrite]","['Adaptation (Manga) Kijuushin Seiki Zoids', '']",Zoids,,,,,
25,Mobile Suit Gundam Turn A,∀ガンダム,∀ Gundam,,,['TV'],50,Finished Airing,"Apr 9, 1999 to Apr 14, 2000",['Spring 1999'],Fridays at 17:00 (JST),"['Sotsu', 'Fuji TV', 'Nakamura Production']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.78,#1091,#3246,"51,931","1,122",18454,"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement. A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll."" To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war. [Written by MAL Rewrite]","['Adaptation (Manga) Turn A Gundam', 'Adaptation (Light Novel) Turn A Gundam']",Turn A Gundam,,"['Mecha', 'Military', 'Space']",,,
26,,モンスターファーム,Monster Rancher,,Monster Rancher,['TV'],48,Finished Airing,"Apr 17, 1999 to Mar 25, 2000",['Spring 1999'],Saturdays at 07:30 (JST),"None found,","['ADV Films', 'Discotek Media']",['TMS Entertainment'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5371,#3431,"47,153",115,24395,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Together, they are searching for a way to revive the Phoenix, which is the only monster capable of stopping the evil Moo. (Source: ANN)","['Sequel (TV) Monster Farm: Legend e no Michi', 'Adaptation (Manga) Monster Farm: Enbanseki no Himitsu']",Monster Farm: Enbanseki no Himitsu,,,,Monster Rancher,
27,,無限のリヴァイアス,Infinite Ryvius,,Infinite Ryvius,['TV'],26,Finished Airing,"Oct 6, 1999 to Mar 29, 2000",['Fall 1999'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Yomiko Advertising']","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Award Winning', 'Drama', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.41,#2321,#3465,"46,537",346,13063,"The year is AD 2225. Kouji Aiba and Aoi Housen are serving as astronauts in-training in Liebe Delta which is located on the edge of the Geduld Sea. When saboteurs with unknown intents suddenly strike during a routine dive procedure, the space station plummets into the Geduld, a plasma field that links all the planets like a nervous system and crushes any ship that strays too far into it. With all the adults onboard killed, the young astronauts will have to survive this long journey home in midst of the growing tension amongst each other. Meanwhile the organizers of the sabotage look on and prepare to attack once more.","['Adaptation (Manga) Mugen no Ryvius', '']",Mugen no Ryvius,,"['Mecha', 'Military', 'Psychological', 'Space']",,,
28,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",金田一少年の事件簿,The File of Young Kindaichi,,,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,['Mystery'],,['Shounen'],,
29,,鋼鉄天使くるみ,Steel Angel Kurumi,,"Kurumi, l'Ange d'Acier",['TV'],24,Finished Airing,"Oct 5, 1999 to Apr 4, 2000",['Fall 1999'],Tuesdays at 19:00 (JST),['Pony Canyon'],['ADV Films'],['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",,15 min. per ep.,R+ - Mild Nudity,6.74,#5682,#4584,"26,415",72,10767,"During Japan's Taisho Era (1912-1926), a scientist named Ayanokoji developed the Steel Angel - an artificial humanoid with superhuman physical abilities. While the Imperial Army wanted to use the Steel Angel as a new means of modern warfare, Ayanokoji wanted his creation to be a new step in the future of mankind. Thus, he defied orders from the Army and secretly made the Steel Angel codenamed ""Kurumi"". Then one day, a young boy named Nakahito Kagura snuck into Ayanokoji's house as a dare by his friends and stumbled upon Kurumi's lifeless body. A sudden attack by the Imperial Army shook the house, causing Kurumi to fall on Nakahito. At that moment, their lips met, and Kurumi woke up from ""the kiss that started a miracle"". (Source: ANN)","['Sequel (TV) Koutetsu Tenshi Kurumi 2', 'Adaptation (Manga) Koutetsu Tenshi Kurumi']",Koutetsu Tenshi Kurumi,,"['Historical', 'Mecha', 'Military']",,,
30,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,Kochikame,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],,
31,Sorcerous Stabber Orphen Revenge,魔術士オーフェンRevenge,Orphen 2: Revenge,,,['TV'],23,Finished Airing,"Oct 2, 1999 to Mar 25, 2000",['Fall 1999'],Saturdays at 17:00 (JST),"['Kadokawa Shoten', 'TBS']","['ADV Films', 'Sentai Filmworks']",['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.75,#5606,#5192,"19,565",25,7742,Orphen and his gang has set out on an all new adventure with many monsters to battle and no peace and quiet. But a new friend has joined the group. Her name Lycorus who was sent to find Orphen. Many mysterious shadows are overhanging over head. (Source: ANN),"['Prequel (TV) Majutsushi Orphen', '']",Majutsushi Orphen: Revenge,,,,,
32,Collector Yui,コレクター・ユイ,Corrector Yui,,,['TV'],52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000",['Spring 1999'],Fridays at 18:00 (JST),"['NHK', 'Studio Tron']",['VIZ Media'],['Nippon Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,G - All Ages,6.86,#5030,#5339,"18,178",65,7618,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN)","['Adaptation (Manga) Corrector Yui', 'Adaptation (Manga) Corrector Yui']",Corrector Yui,,,,,
33,Sensual Phrase,快感 フレーズ,,,,['TV'],44,Finished Airing,"Apr 20, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 00:20 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],"['Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2727,#5816,"14,549",109,4419,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.","['Adaptation (Manga) Kaikan♥Phrase', '']",Kaikan Phrase,,"['Music', 'Showbiz']",['Shoujo'],,
34,"Jibaku-kun: Twelve World Story, Bucky: Searching for world 0, Bucky",ジバクくん,Bucky: The Incredible Kid,,,['TV'],26,Finished Airing,"Oct 5, 1999 to Mar 28, 2000",['Fall 1999'],Tuesdays at 18:30 (JST),['TV Tokyo'],['Enoki Films'],['Trans Arts'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG-13 - Teens 13 or older,7.34,#2633,#5843,"14,345",69,6792,"Bucky, the protagonist of the history, is a normal boy that lives in the first world. He lives with a single and humble ambition: to dominate the world (in the sense of the whole planet). He is very certain and he would certainly die to reach his dream. One day he meets with Spark, the Great Child of Primas (World One). Spark is known as the strongest Great Child of all of the worlds, and he is a successor's search. After finding Bucky and talk a little with him, Spark without apparent reason choose Bucky his successor. Bucky has just become a Great Child and to win the company of Jibaki, the spirit of the first world. (Source: Wikipedia)","['Adaptation (Manga) Jibaku-kun', '']",Jibaku-kun,,,,,
35,"Ningyou Zoushi Ayatsuri Sakon, Puppet Master Sakon, Tales of Puppetmaster Sakon",人形草紙あやつり左近,,,,['TV'],26,Finished Airing,"Oct 8, 1999 to Mar 31, 2000",['Fall 1999'],Tuesdays at 18:30 (JST),['WOWOW'],"None found,",['TMS Entertainment'],['Manga'],"['Mystery', 'Suspense']",['Detective'],25 min. per ep.,R - 17+ (violence & profanity),7.34,#2634,#6074,"12,942",63,3737,"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them. (Source: AnimeNfo)","['Adaptation (Manga) Karakurizoushi Ayatsuri Sakon', '']",Karakuri Zoushi Ayatsuri Sakon,,,['Shounen'],,
36,"Dai-Guard, Daiguard",地球防衛企業ダイ・ガード,Dai-Guard: Terrestrial Defense Corp.,,Terrestorial Defense Corp. Dai-Guard,['TV'],26,Finished Airing,"Oct 5, 1999 to Mar 28, 2000",['Fall 1999'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Victor Entertainment', 'TV Tokyo Music']","['ADV Films', 'Discotek Media']",['Xebec'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.10,#3896,#6616,"10,540",34,3461,"Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world. (Source: ANN)",[],Chikyuu Bouei Kigyou Dai-Guard,,"['Mecha', 'Military']",,,
37,,サイボーグクロちゃん,,,,['TV'],66,Finished Airing,"Oct 2, 1999 to Jan 6, 2001",['Fall 1999'],Saturdays at 08:00 (JST),"['Public & Basic', 'Imagine']","None found,",['Studio Bogey'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min. per ep.,PG - Children,7.15,#3645,#6736,"10,120",66,4846,"Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet. (Source: ANN)","['Adaptation (Manga) Cyborg Kuro-chan', '']",Cyborg Kuro-chan,,,,,
38,,ワイルドアームズ トワイライトヴェノム,Wild Arms,,Wild Arms,['TV'],22,Finished Airing,"Oct 18, 1999 to Mar 27, 2000",['Fall 1999'],Mondays at 19:00 (JST),"['Aniplex', 'WOWOW', 'SME Visual Works', 'Sony Interactive Entertainment']",['ADV Films'],['Bee Train'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Vampire'],22 min. per ep.,PG-13 - Teens 13 or older,6.62,#6368,#7055,"9,033",14,3499,"This anime is based on a playstation game under the same title. The story is about four people who travel the desolated land of Filgaea and carve themselves a legendary story while they're at it. These adventurers are Sheyenne Rainstorm, a gunslinger who holds the legendary weapon called ARMs; Kiel Aromax, a scientist who looks like he should be carrying a sword; Roleta Oratorio the Crest Sorceress, a magic-user who uses cards called Crests to cast spells; and Mirabelle Graceland, one of the Noble Red, which are a family of vampiric creatures who live alongside human beings They also travel with cute little intelligent furry things, from the Popepi Pipepo Tribe, named Isaac and Jerusha. (Source: AniDB)",[],Wild Arms: Twilight Venom,,,,,
39,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,
40,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,['Comedy'],,['Kids'],,
41,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['Comedy'],,['Shoujo'],,
42,,トラブルチョコレート,,,,['TV'],20,Finished Airing,"Oct 8, 1999 to Mar 24, 2000",['Fall 1999'],Saturdays at 02:00 (JST),"['Avex Entertainment', 'TV Asahi', 'animate Film', 'Robot Communications', 'Step Eizou']",['VIZ Media'],['AIC'],Radio,"['Comedy', 'Romance', 'Sci-Fi']",,23 min. per ep.,G - All Ages,6.48,#7227,#8005,"6,585",21,2411,"Cacao, a student at Micro Grand Academy, wakes up one morning to find a girl made of wood sleeping in bed with him. She is Hinano, a tree spirit who possessed the body of a wooden puppet after Cacao messed up his magic teacher's spell. Having taken an instant liking to Cacao, Hinano enrolls in his school. Between Hinano, monsters, two strange twins and their four-eyed cat master, a demon boy, odd teachers and students, and the fact that he may have the potential to be one of the greatest magic users of all time, Cacao's life seems to have taken several turns for the worse...and the weird. (Source: ANN)","['Adaptation (Manga) Trouble Chocolate: The Comic', '']",Trouble Chocolate,,,,,
43,Omishi Magical Theater Risky Safety,臣士魔法劇場 リスキー★セフティ,,,,['TV'],24,Finished Airing,"Oct 5, 1999 to Apr 4, 2000",['Fall 1999'],Tuesdays at 19:00 (JST),['Pony Canyon'],['AN Entertainment'],['APPP'],['Manga'],,,10 min. per ep.,PG - Children,6.57,#6655,#8953,"4,995",6,1643,"An apprentice shinigami (Japanese Death God), Risky, is determined to take Moe's life. However, Risky is magically joined with an apprentice angel, Safety, so Risky turns into Safety whenever someone says something nice. As an apprentice shinigami can only take someone's life when that person is really depressed, Risky has quite a problem taking Moe's soul, while dealing with Safety, who often cheers Moe up. (Source: ANN)","['Adaptation (Manga) Omishi Magical Theater: Risky★Safety', '']",Omishi Mahou Gekijou: Risky★Safety,['Comedy'],,['Shounen'],,
44,,グレゴリーホラーショー,Gregory Horror Show,,,['TV'],25,Finished Airing,Oct 1999 to Mar 2000,['Fall 1999'],Fridays at 23:55 (JST),"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,"['Comedy', 'Horror', 'Mystery', 'Supernatural']",['Mythology'],2 min. per ep.,PG-13 - Teens 13 or older,6.62,#6392,#9090,"4,756",75,1816,"The first series is a set of 25 stories about a male businessman arriving at the hotel after taking a train home from work. He encounters the mysterious owner of the hotel, an old mouse known as Gregory, who suggests that he stay a while. Soon, the man becomes drawn into a bizarre series of events taking place within Gregory House as he tries desperately to escape from this bizarre purgatory. (Source: Wikipedia)","['Sequel (TV) Gregory Horror Show: The Second Guest', 'Adaptation (Manga) Gregory Horror Show: Another World']",Gregory Horror Show,,,,,
45,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,['Kids'],,
46,,キョロちゃん,,,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,7.28,#2944,#10081,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,,,,
47,,どーもくん,,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,
48,,未来少年コナンII　タイガアドベンチャー,Future Boy Conan 2: River Adventure,,,['TV'],24,Finished Airing,"Oct 16, 1999 to Apr 1, 2000",['Fall 1999'],Unknown,"None found,","None found,",['Nippon Animation'],Unknown,"['Adventure', 'Drama', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.45,#7398,#11109,"2,543",0,612,"An adventure story about ""Ooparts Egg"" and a huge stone statue called ""Oobats"" which was excavated from the remains of ancient times around two thousand years ago. Taiga travels around the world with his father, archeologist Dr. Daino. They come to South America to investigate ancient ruins discovered by treasure hunters. There they find a stone statue of a gigantic bird which is more than 50 meters long. How was this statue made more than 20,000 years ago? Who made it and for what purpose? To their surprise, the stone bird wakes up and flies away before their very eyes. They discover that this stone bird is called ""Oobats"" and that when it has ""Ooparts Egg"", it becomes a dangerous weapon which could destroy the whole universe. The stone bird in the ruins wakes up and flies away to seek Ooparts Egg! Taiga must not allow this to happen... (Source: AnimeNfo)",[],Mirai Shounen Conan 2: Taiga Daibouken,,,,,
49,,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,
50,,しましまとらのしまじろう,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],,
51,,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
52,"Re Re Re no Tensai Bakabon, Rerere's Genius Bakabon",レレレの天才バカボン,,,,['TV'],24,Finished Airing,"Oct 19, 1999 to Mar 21, 2000",['Fall 1999'],Unknown,"['TV Tokyo', 'Yomiko Advertising']","None found,",['Pierrot'],['Manga'],,['Gag Humor'],25 min. per ep.,G - All Ages,6.09,#9457,#13783,"1,139",1,457,"This story contains a lot of humor and edgy jokes that attract an audience ranging from toddlers to adults. Bakabon and his father turn common sense on its head. After all, common sense, that we take for granted, is frequently nonsensical, but comical. Bakabon's father has his own philosophy and he leaves no stone unturned in his quest for answers. Bakabon joins him in his philosophical quests which drive the people in their town crazy. (Source: pierrot.jp)","['Prequel (TV) Heisei Tensai Bakabon', 'Adaptation (Manga) Tensai Bakabon']",Rerere no Tensai Bakabon,['Comedy'],,,,
53,"Weekly! Story Land, Shuukan! Story Land",週刊ストーリーランド,,,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,"['Comedy', 'Drama', 'Slice of Life']",,25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13972,"1,085",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,,['Seinen'],,
