,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,Genre,Demographics
29,Detective Conan,名探偵コナン,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,905","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,Case Closed,,,
30,,クレヨンしんちゃん,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,103","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,Shin Chan,,
31,,ドラえもん,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,Doraemon,,"['Kids', 'Shounen']"
32,Useless Witchgirl Doremi,おジャ魔女どれみ,Magical DoReMi,Magical DoReMi,['TV'],51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 08:30 (JST),['Asahi Broadcasting'],['4Kids Entertainment'],['Toei Animation'],Original,,['Mahou Shoujo'],,24 min. per ep.,G - All Ages,7.32,#2742,#3019,"59,647",760,25654,"Harukaze Doremi considers herself to be the unluckiest girl in the world. Her parents are always fighting, her little sister makes fun of her, and her crush pines after another girl. If only Doremi could just wave a magic wand, she would have a much better life—or so she used to think. After a mishap with a real witch, Doremi becomes an apprentice witch herself, and it turns out she's pretty horrible at that, too. Now she and her two friends must study to become better at magic so they can become good witches. That is, if they can focus on their magic studies! The three apprentices will need all the luck they can get if they want to pass the witch exams and become full-fledged witches. Only then will Doremi's debt to the witch Majorika be repaid. Until then, Doremi will remain a useless little witch girl!","['Sequel (TV) Ojamajo Doremi Sharp', 'Adaptation (Manga) Ojamajo Doremi']",Ojamajo Doremi,,Magical DoReMi,Magical DoReMi,['Comedy'],
33,"Phantom Thief Jeanne, Divine Wind Thief Jeanne",神風怪盗ジャンヌ,,,['TV'],44,Finished Airing,"Feb 13, 1999 to Jan 29, 2000",['Winter 1999'],Saturdays at 18:28 (JST),"['TV Asahi', 'Toei Advertising']","None found,",['Toei Animation'],['Manga'],"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.47,#2070,#3040,"59,155",545,29427,"A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy.","['Adaptation (Manga) Kamikaze Kaitou Jeanne', '']",Kamikaze Kaitou Jeanne,"['Mahou Shoujo', 'Mythology', 'Reincarnation']",,,,
34,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",金田一少年の事件簿,The File of Young Kindaichi,,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,,,,['Mystery'],
35,,デビルマンレディー,The Devil Lady,,['TV'],26,Finished Airing,"Oct 10, 1998 to May 8, 1999",['Fall 1998'],Sundays at 01:40 (JST),['Dynamic Planning'],"['ADV Films', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Drama', 'Horror', 'Suspense']",['Psychological'],,24 min. per ep.,R+ - Mild Nudity,6.60,#6477,#4495,"27,577",115,7137,"Fudo Jun is a beautiful supermodel who is idolized by many. She also has a dark secret that not even she knows about at first, for within her veins run the genes that hold the next step in the evolution of mankind. The same blood as the beastlike superhumans that terrorize the city. Unlike the rest of them, though, Jun has managed to hold a tenuous grip onto her humanity, and she is recruited by the mysterious Asuka Ran, member of a secret organization within the government, aimed at controlling, if not eliminating, these berserk destroyers of mankind. Jun, as Devilman Lady, must now exterminate her own kind, but how much longer can she keep her sanity in a situation she never chose in the first place? (Source: ANN)","['Adaptation (Manga) Devilman Lady', '']",Devilman Lady,,,,,
36,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"['Adult Cast', 'Detective', 'Gag Humor']",,Kochikame,['Comedy'],
37,"Dr. Slump 2, Doctor Slump",ドクタースランプ,,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Gag Humor'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,,,,,
38,"Nankai Kio Neoranga, Strange World of the South Seas - Neoranga",南海奇皇ネオランガ,,,['TV'],48,Finished Airing,"Apr 6, 1998 to Sep 28, 1999",['Spring 1998'],Mondays at 19:00 (JST),"['Pony Canyon', 'Marubeni', 'Omnibus Promotion']",['ADV Films'],['Pierrot'],Original,"['Adventure', 'Horror']",['Mecha'],,15 min. per ep.,PG-13 - Teens 13 or older,6.54,#6838,#5414,"17,523",43,3663,"An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. (Source: ANN)",[],Neo Ranga,,,,,
39,"Jiku Tantei Genshi-kun, Flint Hammerhead",時空探偵ゲンシクン,Flint the Time Detective,,['TV'],39,Finished Airing,"Oct 1, 1998 to Jun 24, 1999",['Fall 1998'],Thursdays at 18:00 (JST),"['Nihon Ad Systems', 'Sanrio']",['Saban Entertainment'],['Group TAC'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi']",['Time Travel'],,25 min. per ep.,PG - Children,6.32,#8161,#6597,"10,594",21,5385,"It is the 25th century. The dark lord has 'infected' history with time-devices that could damage history beyond repair. Genshi and his father lived in the prehistorics when they got turned into fossiles. They are discovered and Genshi gets turned back to his original state. With the help of his father, a boy Tony and a girl Sara he has to travel trough time to bring the time-devices back to the land of time so history will be saved. (Source: ANN)",[],Jikuu Tantei Genshi-kun,,,,,
40,,サザエさん,Mrs. Sazae,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9127,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,
41,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4019,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,El Ninja Boy Rantaró,['Comedy'],
42,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7912,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,Chibi Maruko-chan,['Comedy'],
43,"Chosoku Spinner, Super Sonic Spinners, Super Speed Spinner",超速スピナー,Super YoYo,,['TV'],22,Finished Airing,"Nov 30, 1998 to Sep 10, 1999",['Fall 1998'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],['Manga'],,,['Shounen'],22 min. per ep.,G - All Ages,6.65,#6184,#8065,"6,461",11,3073,"Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo. It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship! [Written by MAL Rewrite]","['Adaptation (Manga) Chousoku Spinner', '']",Chousoku Spinner,,,,['Sports'],
44,"Hakugei: Legend of the Moby Dick, Legend of the White Whale",白鯨伝説,Hakugei: Legend of the Moby Dick,,['TV'],26,Finished Airing,"Apr 9, 1997 to May 12, 1999",['Spring 1997'],Wednesdays at 18:30 (JST),"['Tezuka Productions', 'Sony Music Entertainment', 'Image Kei']",['ADV Films'],"['Studio Junio', 'Annapuru']",Original,"['Adventure', 'Sci-Fi']",['Space'],,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6615,#8536,"5,680",33,1490,A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time?,[],Hakugei Densetsu,,,,,
45,,スーパードール リカちゃん,,,['TV'],52,Finished Airing,"Oct 6, 1998 to Sep 28, 1999",['Fall 1998'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Genco']","None found,",['Madhouse'],Other,"['Adventure', 'Comedy']",,,25 min. per ep.,G - All Ages,6.63,#6341,#8947,"4,999",4,1835,"Licca is in grave danger once she finds out that she is the princess of the Doll Kingdom. Now, the evil Dr. Scarecrow is after her and her throne. So Licca's grandmother gives her a set of dolls. When needed, the dolls will transform into larger versions known as the Doll Knights. Together, they will protect Licca. (Source: AnimeNfo)",[],Super Doll Licca-chan,,,La Princesa Licca★,,
46,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,
47,,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,
48,,キティズパラダイス,Hello Kitty's Paradise,Le Paradis d'Hello Kitty,['TV'],16,Finished Airing,"Jan 5, 1999 to Sep 28, 1999",['Winter 1999'],Unknown,['Bones'],['ADV Films'],['Sanrio'],Original,,,['Kids'],20 min. per ep.,G - All Ages,6.69,#5958,#10540,"3,009",13,963,"Hello Kitty and her twin sister Mimi (aka Mimmy) are in kindergarten and have regular adventures ""over the rainbow"" (in their imaginations) or around their home and neighborhood.",[],Kitty's Paradise,,,Hello Kitty's Paradise,['Fantasy'],
49,Transformers: Beast Wars Neo,超生命体トランスフォーマー ビーストウォーズ・ネオ,Beast Wars Neo,,['TV'],35,Finished Airing,"Feb 3, 1999 to Sep 29, 1999",['Winter 1999'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Takara']","None found,",['Ashi Productions'],Other,"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,G - All Ages,6.44,#7450,#10588,"2,972",3,1024,"Beast Wars Neo was a television series that aired in Japan in 1999, in support of the toyline of the same name. It directly follows Beast Wars II. The show follows the adventures of a crew of Maximals, commanded by Big Convoy, as they compete with Magmatron's evil Predacons to collect the Angolmois energy capsules, scattered at the end of Beast Wars II.","['Prequel (TV) Beast Wars Second Chou Seimeitai Transformers', '']",Chou Seimeitai Transformers Beast Wars Neo,"['Mecha', 'Space']",,,,
50,"Bomberman Bedaman Bakuretsu Gaiden V, Bomber Man & Bidaman Bakugaiden V, B Bidaman Bakugaiden V, B-Daman Bakugaiden Victory",B[ボンバーマン]ビーダマン爆外伝V[ビクトリー],,,['TV'],50,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7250,#11072,"2,573",0,1148,"The sequel to B.B-DAMAN BAKUGAIDEN starts when SHIRO BOM and AO BOM are members of the B-da cops who protect the peace of B-da Union. One day, they see a space ship being chased by space pirate and they crash into the wilderness. Princess (AKA BOM) whose kingdom has been attached was lying beside a shining gem with mysterious power called ""Crysmond"". The enemy is after this gem! Joined by KIIRO BOM and KURO BOM, B-daman’s adventure to protect the Crysmond from the Devil Veders starts… (Source: d-rights)","['Prequel (TV) Bomberman B-Daman Bakugaiden', '']",Bomberman B-Daman Bakugaiden Victory,,,,['Sci-Fi'],
51,,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7744,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,
52,Dr. Dokkiri,どっきりドクター,Startling Doctor,,['TV'],26,Finished Airing,"Oct 21, 1998 to Jun 23, 1999",['Fall 1998'],Wednesdays at 19:30 (JST),"None found,","None found,",['Pierrot'],['Manga'],,['School'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.56,#6700,#12016,"1,947",3,748,"Haruka Nishikikoji is an overweight doctor that never seems to attract any girls. Fate finds a way as he lands a job as a doctor in an elementary school, wherein his workplace can be found on top of the schools' roof and the actual clinic looks like a medieval castle. Just when everything seems to go downhill, a surprise came one day, her first love Koizumi Miyuki, applies as her soon to be nurse.",[],Dokkiri Doctor,,,,['Comedy'],
53,"Bakukyu Renpatsu!! Super Bedaman, Bakukyuu Renpatsu!! Super B-Daman, Blast Ball Rapid Fire!! Super B-Daman",爆球連発!!スーパービーダマン,,,['TV'],18,Finished Airing,"Jan 4, 1999 to Sep 27, 1999",['Winter 1999'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Xebec'],['Manga'],,['Strategy Game'],['Kids'],40 min. per ep.,G - All Ages,6.22,#8731,#12132,"1,877",7,864,"Tamago Tosaka is a fifth-grader who loves nothing more than a B-Daman battle. One day, Ganma Nishibe, a talented bead-warrior, is transferred to Tamago's school. Their B-Daman battles set the stage for this story. Beginning as rivals, the two come together to prepare for the B-Daman championships. The two boys come to trust and help one another as they work toward their shared goal. (Source: d-rights)","['Adaptation (Manga) Bakukyuu Renpatsu!! Super B-Daman', '']",Bakukyuu Renpatsu!! Super B-Daman,,,,['Adventure'],
54,"Chisana Kyoujin Mikuroman, The Small Giant Microman, Microman MagnePowers",小さな巨人ミクロマン,,,['TV'],52,Finished Airing,"Jan 4, 1999 to Dec 27, 1999",['Winter 1999'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Pierrot'],Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,G - All Ages,6.33,#8065,#12388,"1,712",3,595,3 kids meet 5 micro-sized superheroes from another world who enlist in their aid in fighting off alien invaders.,[],Chiisana Kyojin Microman,"['Mecha', 'Super Power']",,,,
55,Super Inventor Kanipan,超発明BOYカニパン,,,['TV'],21,Finished Airing,"Feb 5, 1999 to Jun 25, 1999",['Winter 1999'],Fridays at 18:00 (JST),"None found,",['Saban Entertainment'],['Studio Comet'],Original,"['Adventure', 'Comedy', 'Romance']",['Mecha'],,30 min. per ep.,G - All Ages,6.62,#6377,#12606,"1,596",2,599,"Cho Hatsumei Boy Kanipan is a continued story from Hatsumei Boy Kanipan. Kanipan is now a teenager, and still a famous inventor. But one day, a mysterious ship fell from the sky and crashed at a beach. Inside was a female humanoid that has forgotten all about herself. It is up to Kanipan to revive the humanoid's memory, and he accidentally discover that his planet is in great danger as he strived. (Source: ANN)","['Prequel (TV) Hatsumei Boy Kanipan', '']",Chou Hatsumei Boy Kanipan,,,,,
56,,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,
57,,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12200,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
58,"Soukou Kyuujo Butai RESTOL, Restol, The Special Rescue Squad, RESTOL SRS",레스톨 특수 구조대,"RESTOL, The Full-Armed Rescue Squad",,['TV'],26,Finished Airing,"Jan 29, 1999 to Jul 23, 1999",['Winter 1999'],Unknown,"None found,","None found,",['Seoul Movie'],Unknown,"['Action', 'Adventure']",,,25 min. per ep.,G - All Ages,5.95,#10148,#13994,"1,080",1,235,"It is the year 2035, a world filled with advanced science and technology, sophisticated computer systems, audio/video multimedia converstions,world government unification, network wars by hackers, and the future world controlled by one huge multinational company. A 14-year old named Kang Maru, a boy with excellent manuevering skills in a RESTOL simulation game, was chosen by GEONOID, a company with the task of protecting the earth against natural calamities, to pilot RESTOL 03, one of the 5 RESTOLs, to rescue people in different calamities. Now, he and his teammates faces different challenges in their duty, including being hacked their space-based rescue station R-SAT.",[],Restol: Teugsu Gujo Dae,"['Detective', 'Mecha']",,,,
59,Hikarian: Great Railroad Protector,超特急ヒカリアン,Super Express Hikarian,,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,['Kids'],7 min. per ep.,G - All Ages,6.15,#9076,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,,,,
60,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",さくらももこ劇場 コジコジ,Coji-Coji,,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,,25 min. per ep.,G - All Ages,6.28,#8386,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,,,,,
