,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Spanish,Demographics
22,"PuriPuri, PriPri",プリンセス・プリンセス,Princess Princess,,,['TV'],12,Finished Airing,"Apr 6, 2006 to Jun 22, 2006",['Spring 2006'],Thursdays at 03:10 (JST),['TV Asahi'],['Media Blasters'],['Studio Deen'],['Manga'],,"['Crossdressing', 'School']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,6.97,#4510,#2839,"66,898",270,30109,"Tooru Kouno's attractive appearance draws unexpected attention on his first day at an all-boys school. Having to transfer to a school without girls has been bad enough, but adding to his list of frustrations are boys staring at him all day long. However, he hopes that there may be girls around, since he ran into a lovely pink-haired girl on campus earlier that day. After being escorted to his dorm by his classmate, Yuujirou Shihoudani, he meets a student named Mikoto Yutaka, who looks eerily similar to the girl he saw previously. To his shock, he realizes Mikoto is the girl and confronts him about this revelation. Yuujirou divulges that he and Mikoto crossdress as part of their job: a school tradition in which attractive first years are chosen as idols called ""Princesses"" in order to boost the morale of the students—and because of his looks, Tooru has been chosen by the student council as their third Princess! [Written by MAL Rewrite]","['Adaptation (Manga) Princess Princess', '']",Princess Princess,['Comedy'],,,
23,Kami-sama Kazoku,神様家族,,,,['TV'],13,Finished Airing,"May 18, 2006 to Aug 10, 2006",['Spring 2006'],Thursdays at 22:30 (JST),"['Animax', 'Sony Music Entertainment']","None found,",['Toei Animation'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']","['Mythology', 'School']",,25 min. per ep.,PG-13 - Teens 13 or older,7.09,#3924,#3347,"49,348",88,22723,"Samatarou is not just an average high-school boy, the truth is that he is the son of a god, his mother is a goddess and his sisters are candidates to become goddesses. They are living in the human world, because they want their boy to learn about the human customs and the habits of the creatures that they are protecting, so that in this way Samatarou will become a better god. Tenko is a angel assigned to look after Samatarou. She's born the same day, same year as Samatarou and have been close friends ever since. Life seems normal but things start to change with the appearance of a transfer student named Kumiko. Samatarou falls in love with her and from now on, things will be a lot more different for him. His decision of making her fall in love with him without using his powers will put him in trouble.","['Adaptation (Manga) Kamisama Kazoku', 'Adaptation (Light Novel) Kamisama Kazoku']",Kamisama Kazoku,,,,
24,"Shinigami no Ballad.: Momo the Girl God of Death, Shinigami's Ballad",しにがみのバラッド。,"Momo, Girl God of Death",,,['TV'],6,Finished Airing,"Mar 3, 2006 to Apr 7, 2006",['Spring 2006'],Fridays at 00:30 (JST),['Pony Canyon'],['Maiden Japan'],"['Group TAC', 'Ginga Ya']",['Light novel'],"['Drama', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.88,#4933,#3384,"48,129",88,19735,"A girl wrapped in white, her name is Momo...in her hand lies a blunt yet shiny scythe. By her side is a winged black cat by the name of Daniel. Carrying the souls of humans, the girl's existence parallels to that of a ""Death God"" or ""Shinigami"". At the instant when this white Death God touches the hearts of humans, the world is filled with kindness and grief... (Source: ANN)","['Adaptation (Manga) Shinigami no Ballad.', 'Adaptation (Light Novel) Shinigami no Ballad.']",Shinigami no Ballad.,,['Psychological'],,
25,,TOKKÔ[特公],Tokko,Tokko,,['TV'],13,Finished Airing,"Apr 16, 2006 to Jul 30, 2006",['Spring 2006'],Unknown,"['WOWOW', 'Shochiku']",['Manga Entertainment'],"['AIC Spirits', 'Group TAC']",['Manga'],"['Action', 'Horror', 'Mystery', 'Supernatural']","['Adult Cast', 'Detective', 'Gore']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.52,#6946,#3415,"47,477",104,21882,"""Shindou Ranmaru has just graduated from police academy and assigned to Tokko: Special Mobile Investigation Force. On the day of his graduation, he meets the half-naked girl he has been seeing in his dreams. Her name is Rokujo Sakura and she works for a secret group within Tokki, known as Tokko: Special Public Safety Task Force. Shindou ends up joining Tokko to avenge his parents' death, and solve the mysterious mass murder of residents in his hometown of Machida. Meanwhile, bottomless pits begin appearing around Japan, and mysterious creatures emerge from them. Could these events be linked to Machida Massacre?"" (Source: DVD Complete Series Back Cover)","['Adaptation (Manga) Tokkou', '']",Tokkou,,,,
26,Netherworld Battle Chronicle: Disgaea,魔界戦記ディスガイア,Disgaea,Disgaea,Disgaea,['TV'],12,Finished Airing,"Apr 5, 2006 to Jun 21, 2006",['Spring 2006'],Wednesdays at 00:15 (JST),"['Nippon Ichi Software', 'Geneon Entertainment']","['Funimation', 'Geneon Entertainment USA']",['OLM'],Game,"['Action', 'Comedy', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5870,#3504,"45,547",146,21070,"An angel arrives in Hell! A demon lord is awakened! There are penguins everywhere! What’s going on here? Angel assassin-in-training Flonne is on a quest to destroy the demon Overlord. Instead of accomplishing her mission, the ditzy Flonne manages to wake Laharl, the demon lord and heir to the throne, from his two year slumber. Now the pair, along with Laharl’s not-so-faithful vassal Etna and her army of explosive souls in penguin costumes, must restore order to the crumbling Netherworld. Based on the events of the game Disgaea: Hour of Darkness, Makai Senki Disgaea follows Laharl’s journey to squash the demon rebellion, reclaim the throne, and destroy anyone who stands in his path. Or, you know, let them join him on his travels if they really want. Just remember: Laharl is a demon lord. There’s no way he’ll ever show kindness, compassion, or love... right?","['Adaptation (Manga) Makai Senki Disgaea', '']",Makai Senki Disgaea,,['Mythology'],Disgaea,
27,"Shimuun, Simoon",シムーン,,,,['TV'],26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",['Spring 2006'],Tuesdays at 01:30 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Media Blasters'],['Studio Deen'],Original,"['Drama', 'Fantasy', 'Girls Love', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.41,#2329,#3532,"44,888",438,12434,"The verdant, peaceful country of Simulacrum resides on the planet of Daikuuriku. The country owes its existence to flying machines called Simoun and their holy Sibylla pilots. Powered by ancient artifacts, these ships can utilize Ri Maajon, frighteningly powerful abilities that can tear the very sky apart. Aaeru is a wilful girl who joins the ranks of the Sibylla priestesses at Chor Tempest in hopes of being able to pilot a Simoun one day. But soon after she enlists, Simulacrum is plunged into a war, as hostile nations desperately try to claim the technology for themselves. Hoping to save their respective lands from doom, these nations at peril believe the Simoun are the key to preventing disaster. Now struggling against their enemies and dealing with personal losses, the girls of Chor Tempest have no choice but to adapt to their situation if they are to have any chance at unraveling the mysteries that lie at the heart of their country: the Simoun and the Ri Maajon. [Written by MAL Rewrite]","['Adaptation (Manga) Simoun', '']",Simoun,,['Military'],,
28,Joshi Kousei: Girl's High,女子高生 GIRL'S HIGH,High School Girls,Girl's High,Girl's High,['TV'],12,Finished Airing,"Apr 4, 2006 to Jun 20, 2006",['Spring 2006'],Tuesdays at 01:30 (JST),"['Genco', 'Showgate', 'Futabasha', 'Geneon Entertainment']",['Media Blasters'],['Arms'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,6.56,#6716,#3802,"39,128",71,15380,"Eriko and her friends Yuma and Ayano are excited about entering high school. Their excitement leads to their breaking of the rules when they toured the school before the opening ceremony. They find out their preconceptions about the all female school may not be as true as they had first thought. Despite that, Eriko and her friends are joined by new friends. They aim to get through high school life together. (Source: ANN)","['Adaptation (Manga) Joshikousei: Girls-High', '']",Joshikousei: Girl's High,,['School'],Girl´s High,
29,"Roar of the Machine God Demonbane, Kishin Houkou Demonbane (2006)",機神咆吼デモンベイン,,,,['TV'],12,Finished Airing,"May 19, 2006 to Aug 18, 2006",['Spring 2006'],Fridays at 00:00 (JST),"['WOWOW', 'Kadokawa Shoten']","None found,",['Viewworks'],Visual novel,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']","['Harem', 'Mecha']",,25 min. per ep.,R - 17+ (violence & profanity),6.52,#6916,#3862,"37,859",39,13801,"Kurou Daijuuji is a poor detective living in Arkham City. One day, he was requested by Ruri Hado of Hado Financial Group, to search for a magic book. While he initially refused, Ruri offered him a large sum of money upon completion of her request, in which bribed Kuro to accept. As Kurou searches for the book, he unexpectedly runs into Al, a pretty girl that is actually a powerful grimoire. They forge a contract with each other, bestowing Kuro with powerful magic. Soon afterwards, Al also activates Demonbane, a deus machina owned by the Hado Financial Group, to combat the mechanical menace from the Black Lodge. With this, the war between the Hado Financial Group and the Black Lodge begins.... (Source: ANN)","['Adaptation (Light Novel) Zanmataisei Demonbane', 'Adaptation (Manga) Kishin Houkou Demonbane']",Kishin Houkou Demonbane (TV),,,,
30,,ゼーガペイン,Zegapain,,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'Atelier Musa']","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Romance', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2910,#3958,"35,809",170,11547,"Average high school student Kyou Sogoru is an avid swimmer living in beautiful Maihama City. He spends his days hanging out with friends, swimming, and playing video games. However, his normal life turns upside down when a beautiful and mysterious girl named Shizuno Misaki approaches him with a strange request—jump into their school's pool together. This fateful leap transports Kyou into a war-torn world where humans pilot impressive humanoid robots known as Zegas to fight against malicious aliens known as Gards-Orm. To spearhead this endeavor, humans have formed Cerebrum, a rebel organization working to prevent the Gards-Orm from eradicating humankind. As Kyou participates in combat operations, meets his fellow Zega pilots, and witnesses countless deaths, he begins to question the true nature of this world as well as his own life. [Written by MAL Rewrite]","['Sequel (Movie) Zegapain: STA', '']",Zegapain,,['Mecha'],,
31,"Magipoka, Renkin Sankyu Magical? Pokan, Renkin 3-kyuu Magical? Pokan",錬金3級 まじかる?ぽか〜ん,,,,['TV'],12,Finished Airing,"Apr 4, 2006 to Jun 20, 2006",['Spring 2006'],Unknown,"['Genco', 'Lantis', 'Media Factory']","None found,",['Remic'],Original,"['Comedy', 'Ecchi']","['CGDCT', 'Gag Humor', 'Parody', 'Vampire']",,23 min. per ep.,R+ - Mild Nudity,6.94,#4626,#4001,"34,983",140,10948,"Renkin San-kyuu Magical? Pokaan follows the daily lives of four young girls. There is just one catch: they are anything but normal. This group of friends—the energetic werewolf Liru, the joyful witch-in-training Uma, the motherly android Aiko, and the seductive vampire Pachira—are actually princesses from the netherworld who have traveled to the human world in search of a new home. Unfortunately, their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined. As they attempt to adapt to their brand new lifestyle, they cause all sorts of trouble, and end up attracting the unwanted attention of a woman by the name of Dr. K-Ko. The scientist believes that these new residents of Earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community. Every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer. [Written by MAL Rewrite]","['Adaptation (Manga) Renkin 3-kyuu Magical? Poka~n', '']",Renkin San-kyuu Magical? Pokaan,,,,
32,,きらりん☆レボリューション,Kirarin Revolution,,,['TV'],153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",['Spring 2006'],Fridays at 18:00 (JST),"['MediaNet', 'Sony Music Entertainment', 'Shogakukan Productions']","None found,","['SynergySP', 'G&G Entertainment']",['Manga'],"['Comedy', 'Drama', 'Romance']",,['Shoujo'],22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4007,#4051,"34,228",275,14290,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","['Adaptation (Manga) Kirarin☆Revolution', '']",Kirarin☆Revolution,,['Showbiz'],,
33,Himawari,ひまわりっ!,Himawari!,,Himawari à l'école des Ninjas,['TV'],13,Finished Airing,"Apr 9, 2006 to Jul 2, 2006",['Spring 2006'],Sundays at 00:30 (JST),"['Genco', 'Starchild Records', 'Tohokushinsha Film Corporation']",['Maiden Japan'],['Arms'],Original,"['Adventure', 'Comedy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.30,#8253,#4645,"25,517",16,8065,"Himawari Hinata recently transfered to Shinobi Gakuen to train to become the best kunoichi she can be. She wanted to be a ninja ever since she was saved by one when she was little. On her first day, she meets Hayato Madenokoji (a new transfer teacher) who saves her life. Hayato does not possess any ninja skills or traits, he is teaching the ninjas about normal society to pay off his debt. However, Himawari notices that Hayato bares the same mark on his neck as the ninja who saved her when she was young. (Source: ANN)","['Sequel (TV) Himawari!!', 'Adaptation (Manga) Himawari Den!']",Himawari!,,['Martial Arts'],,
34,,Soul Link,,,,['TV'],12,Finished Airing,"Apr 2, 2006 to Jun 25, 2006",['Spring 2006'],Unknown,"['Mellow Head', 'Geneon Entertainment']",['Discotek Media'],['Picture Magic'],Visual novel,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['Military', 'Space']",,25 min. per ep.,R - 17+ (violence & profanity),6.09,#9461,#4812,"23,405",20,8719,"Aizawa Ryota was in the 3rd grade of the preparatory course of Central Military Academy. In 2045 AD, he went to a space station, Aries, for the training with his classmates including Nagase Saka and Nittak Kazuhiko. However, the station was attacked by a terrorist group, Hallarax. Now they must find a way back to earth. (Source: ANN)","['Adaptation (Manga) Soul Link - Signal-Code: 0', '']",Soul Link,,,,
35,The Third: The Girl with the Blue Eye,ザ・サード 蒼い瞳の少女,,,The Third,['TV'],24,Finished Airing,"Apr 14, 2006 to Oct 27, 2006",['Spring 2006'],Fridays at 00:30 (JST),['Kadokawa Shoten'],"['Nozomi Entertainment', 'Kadokawa Pictures USA']",['Xebec'],['Light novel'],"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),7.29,#2893,#4863,"22,877",94,8325,"In the distant future, because of an interplanetary war that had continued on for centuries, civilizations were ruined. Human beings have lost everything, and only 1/5th of the population survived. A strange breed of humans, ''The Third'' is said to have appeared just after the war. They possess a third eye, as their name suggests, that appear as oval-shaped red pupils called ""space eyes'' over their conventional two eyes. Using them, they can control computer systems and so on, and as such, rule the world by their superior power over technology. In this world, there is a young woman named Honoka; she is a ""jack-of-all-trades"" sellsword, and she accepts any job except murder. One day, she happens to find and rescue a young man named Ikus in the desert. Entering his world, and accepting a job from him, the adventure begins for Honoka and Ikus. (Source: BestAnime, modified)","['Adaptation (Manga) The Third: Sabaku no Hoshi no Apprentice Girl', 'Adaptation (Light Novel) The Third']",The Third: Aoi Hitomi no Shoujo,,,,
36,Nishi no Yoki Majo,西の善き魔女 Astraea Testament,The Good Witch Of The West,The Good Witch of the West: Astraea Testament,La sorcière de L'ouest: Astraea Testament,['TV'],13,Finished Airing,"Apr 8, 2006 to Jul 1, 2006",['Spring 2006'],Saturdays at 01:45 (JST),"['Mellow Head', 'Imagica', 'Mag Garden', 'Tablier Communications', 'On The Run', 'Geneon Entertainment']",['Maiden Japan'],['HAL Film Maker'],['Light novel'],"['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.67,#6064,#5083,"20,556",49,6554,"On Filiel's 15th birthday, she received her mother's necklace as a memento from her obstinate astronomer father. Her common and tedious life was turned into a life of conspiracies. With her new life, many adventures await. (Source: ANN)","['Adaptation (Manga) Nishi no Yoki Majo', 'Adaptation (Light Novel) Nishi no Yoki Majo']",Nishi no Yoki Majo: Astraea Testament,,,,
37,"Ray Project, Ray: The Animation",RAY THE ANIMATION,Ray The Animation,,,['TV'],13,Finished Airing,"Apr 5, 2006 to Jun 28, 2006",['Spring 2006'],Unknown,"['Tohokushinsha Film Corporation', 'RKB Mainichi Broadcasting Corporation']",['Maiden Japan'],['OLM'],['Manga'],"['Drama', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.60,#6489,#5649,"15,589",16,4477,"If you have enough money, you can buy anything. So why wait for an organ you need to become available? Raised to be harvested for parts, Ray had already lost her eyes when renegade surgeon Black Jack rescued her. Now, ten years later, she has grown up to be a surgeon herself. And thanks to the unique artificial eyes she received as replacements, she has a reputation for performing incredible medical operations that no one else could even attempt. But unknown to any but a select few, her surgical endeavors are only part of a greater mission: to discover what happened to the other children she was raised with, and to find the men who stole the eyes she was born with and to bring them to justice. (Source: The Anime Network)","['Adaptation (Manga) Ray', '']",Ray The Animation,,['Medical'],,
38,BJ21,ブラック・ジャック21,,,,['TV'],17,Finished Airing,"Apr 10, 2006 to Sep 4, 2006",['Spring 2006'],Unknown,"['Avex Entertainment', 'Yomiuri Telecasting']","None found,",['Tezuka Productions'],['Manga'],"['Action', 'Drama']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1828,#5829,"14,410",67,5525,"No direct-relation sequel to original Black Jack. Black Jack attempts to find out the conspiracy, of why he was involved in the bombfield accident that killed his mother, while he uncovers secrets of Organization and Project ""Noir"", which, his father and other famous doctors were involved in...","['Prequel (TV) Black Jack (TV)', 'Adaptation (Manga) Black Jack']",Black Jack 21,,['Medical'],,
39,"Garakan, Garasu no Kantai, Glass Fleet",ガラスの艦隊～La legende du vent de l'univers～,Glass Fleet,,,['TV'],24,Finished Airing,"Apr 5, 2006 to Sep 22, 2006",['Spring 2006'],Wednesdays at 02:40 (JST),"['Sotsu', 'Asahi Broadcasting', 'Sotsu Music Publishing']",['Funimation'],"['Gonzo', 'Satelight']",Original,"['Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6972,#6054,"13,054",19,4007,"The People's Army led by Michel stands against Vetti's newly founded empire. Upon seeing how strong the Glass Battleship is, Michel tries to get Cleo, the captain of the Glass Battleship, to help People's Army overthrow Vetti's empire. And together they fight against Vetti's empire. (Source: ANN)",[],Glass no Kantai: La Legende du Vent de l'Univers,,,,
40,,IGPX -Immortal Grand Prix-,IGPX: Immortal Grand Prix Season 2,,IGPX Immortal Grand Prix,['TV'],13,Finished Airing,"May 20, 2006 to Aug 26, 2006",['Spring 2006'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Discotek Media']",['Production I.G'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Racing']",,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3102,#6268,"11,947",27,5750,"Team Satomi has just been deemed as the winners for the IG-2 lower league and now join the top IG-1 competition. But it's not going to be easy. Young pilots Takeshi, Liz, Amy, and River are going to have to be a team to be number 1, however one thing leads to another with these four. Most important of all, their opponents overwhelm Team Satomi in every aspect, including strategy and skill, as well as funding. One thing is for sure, this is not going to be an easy year for ""Team Satomi.""","['Prequel (TV) IGPX: Immortal Grand Prix (2005)', '']",IGPX: Immortal Grand Prix (2005) 2nd Season,,,,
41,Spider Riders: The Heroes of Oracle,スパイダーライダーズ ～オラクルの勇者たち～,Spider Riders,Spider Riders,Spider Riders,['TV'],26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",['Spring 2006'],Wednesdays at 17:30 (JST),"['TV Tokyo', 'Yomiko Advertising', 'YTV', 'Cookie Jar Entertainment']",['Funimation'],['Bee Train'],Novel,"['Action', 'Adventure']",,,23 min. per ep.,PG - Children,6.56,#6682,#6649,"10,391",36,4406,"Underneath the surface of the Earth lies the Inner World, a realm where a war rages on between intelligent spiders and the invading humanoid insects known as Insectors. However, the spiders are not alone, as ""Spider Riders""—humans from the Outer World, known as Earthens in the Inner World, that are chosen by the Oracle—fight alongside them. Filled with wondrous tales of a mysterious pyramid and entrusted with his grandfather's journal, a young boy called Hunter Steele sets out on an exploration. There, his destined meeting with the Oracle occurs, and he is transported into the Inner World as a Spider Rider. Finding himself lost and confused in the middle of a forest, Hunter crosses paths with a giant spider named Shadow. Although reluctant, Shadow agrees to fight by his side. He then meets Corona—a skilled Spider Hunter and kind girl with a penchant for normal life. She shows him the ropes of being a Spider Rider, and educates him about the fate of the Inner World if the Insectors continue their tyrannical reign. Thus begins the story of Hunter Steele, a heedless young boy on a quest to save the Inner World. But his task of retrieving the four Oracle Keys holding the Oracle's true power will lead him to an ultimate clash against Mantid, leader of the Insectors. [Written by MAL Rewrite]","['Sequel (TV) Spider Riders: Yomigaeru Taiyou', '']",Spider Riders: Oracle no Yuusha-tachi,,['Mecha'],,
42,Dream Users,夢使い,,,,['TV'],12,Finished Airing,"Apr 9, 2006 to Jun 25, 2006",['Spring 2006'],Sundays at 02:30 (JST),"['Pony Canyon', 'Happinet Pictures']","None found,",['Madhouse'],['Manga'],"['Drama', 'Fantasy', 'Slice of Life']",,,24 min. per ep.,PG - Children,6.43,#7524,#6782,"9,963",15,3025,"When people dream, they express their utmost desires and emotions within the confines of their mind; but when their strong emotions cross the border into reality, the dream can turn into an uncontrollable nightmare. Touko and Rinko are sisters known as ""yume tsukai"" (dream users), and their job is to take care of these nightmares. Using toys as weapons, the girls must both destroy the nightmare and return the dream to its rightful owner before the nightmare does any sort of serious damage. Have no fear, Touko and Rinko are here! (Source: Anime-Planet)","['Adaptation (Manga) Yume Tsukai', '']",Yume Tsukai,,,,
43,"Love Get Chu - Miracle Seiyuu Hakusho, Rabugetsu Chu",ラブゲッCHU ～ミラクル声優白書～,,,,['TV'],25,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Radix'],Visual novel,"['Comedy', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.50,#7091,#7010,"9,173",9,2415,"Five girls came to a training school to become voice actresses holding each thought in her mind. Momoko - she wanted to be a voice actress to meet her favorite voice actor. Rinka - she is an armature voice actress, but she didn't have special purpose to become voice actress. Yurika - she likes anime very much. Tsubasa - she was a girl in love, and acted only as a boy. Amane - she found a deadlock as a actress and tried to find another way. They managed to get over the difficulty to become voice actress although they couldn't perform as main characters yet. There is a love romance with a boy works for an anime company, and you can catch a glimpse of situations of anime industries. (Source: ANN)",[],Love Get Chu,,['Showbiz'],,
44,Sasami: Maho Shojo Club,砂沙美 -魔法少女クラブ-,Sasami Magical Girls Club,Sasami Magical Girls Club,Sasami Magical Girls Club,['TV'],13,Finished Airing,"Apr 13, 2006 to Jul 13, 2006",['Spring 2006'],Unknown,"['VAP', 'AIC', 'BeSTACK', 'D.N. Dream Partners']",['Funimation'],['AIC Spirits'],Unknown,,"['Mahou Shoujo', 'School']",,25 min. per ep.,PG - Children,6.58,#6584,#7005,"9,191",17,3087,"In this world lives a group of people who call themselves ""Majo"" or ""Magical Girls."" They hide their powers so as to assimilate into society. They have been living together in harmony with humans for many years, as had their predecessors long before them. Sasami has had magical powers since her birth. However, at the age of three, she was told by her parents never to use her innate powers, and from then on, she kept them secret. On the first day of a new school term, newly transferred teacher Wajuu arrives, and from then on, Sasami's life begins to change tremendously. (Source: ANN, edited)","['Sequel (TV) Sasami: Mahou Shoujo Club 2', '']",Sasami: Mahou Shoujo Club,,,Sasami Magical Girls Club,
45,"Gundou Musashi, MUSASHI -GUN-, Musashi-GUNDOH, Musashi: The Way of the Gun",GUN道 MUSASHI,Gun Samurai,,Musashi,['TV'],26,Finished Airing,"Apr 9, 2006 to Oct 8, 2006",['Spring 2006'],Sundays at 09:30 (JST),['TBS'],"None found,",['ACC Production'],Original,"['Adventure', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,5.46,#12233,#7108,"8,882",23,1368,"The war over control of a unified Japan, the Sengoku Era, is over and the Toyotomi army has won. Toyotomi has allowed his rival, Tokugawa, to live but since that final battle an evil ayakashi named Yasha reveals to Tokugawa that history says that he should have won the war instead of Toyotomi. Tokugawa agrees to the evil ayakashi power Yasha offers him, and the only person who can stop Tokugawa from ruling Japan and killing Princess Kaguya, who is the link to this alternate present, is Musashi Miyamoto, a young and brash man who follows the way of ""Gun-do"", which mixes together swordfighting with gunplay. (Source: ANN)",[],Gun-dou Musashi,,['Samurai'],,
46,Rockman EXE Beast Plus,ロックマンエグゼビースト+（プラス）,,,,['TV'],26,Finished Airing,"Apr 8, 2006 to Sep 30, 2006",['Spring 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Strategy Game']",,10 min. per ep.,PG - Children,6.79,#5380,#7754,"7,121",6,2590,"Beast+ continues from where Beast left off, though it is marketed as a stand-alone series. Episodes are reduced to approximately ten minutes in length, airing in the thirty minute time-slot Oha Coliseum alongside the Saru Getchu anime. Beast+ consists of a string of arcs beginning with the appearance of the Professor and Zero (both from Mega Man Network Transmission). (Source: Wikipedia)","['Prequel (TV) Rockman.EXE Beast', '']",Rockman.EXE Beast+,,,,
47,"Fushigi-boshi no Futago-hime Gyu!, Fushigi Boshi no Futago Hime Gyu!",ふしぎ星の☆ふたご姫,Twin Princesses of the Wonder Planet,,,['TV'],52,Finished Airing,"Apr 1, 2006 to Mar 31, 2007",['Spring 2006'],Saturdays at 10:00 (JST),['Nihon Ad Systems'],"None found,","['J.C.Staff', 'HAL Film Maker']",Original,"['Comedy', 'Fantasy']",,,24 min. per ep.,G - All Ages,7.13,#3750,#7805,"6,992",29,2693,"Fine and Rein are sent to the Royal Wonder Academy on the Royal Wonder Planet in order to study to become better princesses. They plan to make many friends, but unfortunately, the competition and cold nature of the students and teachers make things impossible. The twins also become Universal Princesses when touching the legendary Soleil Bell, releasing two angels named Pyupyu and Kyukyu to help aid them. Unfortunately, an evil force manifested in a painting doesn't seem to be satisfied about the Universal Princesses... (Source: ANN)","['Prequel (TV) Fushigiboshi no☆Futagohime', '']",Fushigiboshi no☆Futagohime Gyu!,,['Mahou Shoujo'],,
48,,おねがいマイメロディ くるくるシャッフル！,,,,['TV'],52,Finished Airing,"Apr 2, 2006 to Mar 25, 2007",['Spring 2006'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,,22 min. per ep.,PG - Children,7.33,#2672,#7999,"6,592",37,2013,A continuation of Onegai My Melody.,"['Prequel (TV) Onegai My Melody', 'Sequel (TV) Onegai My Melody Sukkiri♪']",Onegai My Melody: Kurukuru Shuffle!,,,,
49,"Tottoko Hamutarou Hai!, Tottoko Hamutarou: Norisuta Haai!",とっとこハム太郎は〜い!,Hamtaro Hai!,,,['TV'],77,Finished Airing,"Apr 5, 2006 to Mar 28, 2008",['Spring 2006'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,,,['Kids'],5 min. per ep.,PG - Children,6.75,#5628,#8403,"5,860",9,2306,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. (Source: Wikipedia)","['Prequel (TV) Tottoko Hamtarou', '']",Tottoko Hamtarou Hai!,['Adventure'],['Anthropomorphic'],,
