,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
122,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11262,#2567,"79,108",255,30974,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,,,,,['Martial Arts'],,
123,ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3100,"56,859","1,892",17911,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,,"Horogura, HoloGra",,,,,['Comedy'],
124,Cannon Busters,Cannon Busters,['ONA'],12,Finished Airing,"Aug 15, 2019",,,['Netflix'],['Funimation'],"['Satelight', 'Yumeta Company']",Other,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),6.43,#7542,#3575,"43,878",114,22000,"Follow the adventures and exploits of S.A.M, a high-end, royal-class friendship droid who's joined by a quirky, discarded maintenance robot and a brash, deadly fugitive. Together, the unlikely trio embarks on an unforgettable journey in a fantastic and dangerous world in search of S.A.M's best friend, the heir to a powerful kingdom under siege. (Source: Official Website)",[],Cannon Busters,,,,,,,,
125,アナザー・ワールド,,['ONA'],3,Finished Airing,"Sep 13, 2019 to Oct 4, 2019",,,"None found,","None found,",['Graphinica'],Original,,,10 min. per ep.,PG-13 - Teens 13 or older,7.09,#3960,#3913,"36,674",60,16562,"On the surface, high school students Naomi Katagaki and Ruri Ichigyou seem to be polar opposites. In contrast to Naomi's shy and timid personality, Ruri strikes fear in her classmates due to being rather cold and outspoken. Nevertheless, both Naomi and Ruri nourish a strong passion for reading, which gradually draws the two closer. As Naomi spends more time with Ruri, he discovers that she has a sweet side and is not as intimidating as everyone thinks. Subsequently, he develops genuine feelings for Ruri and decides to confess his love to her, which she happily reciprocates. However, their wholehearted relationship is disrupted when Ruri gets struck by lightning, causing her to enter a coma. Wanting to see her smile again, Naomi resolves to return Ruri to her everyday life—no matter how great the lengths he must stride are. [Written by MAL Rewrite]",[],Another World,,,,,,,['Sci-Fi'],
126,指先から本気の熱情-幼なじみは消防士-,Fire in His Fingertips: My Childhood Friend is a Fireman,['ONA'],8,Finished Airing,"Jul 8, 2019 to Sep 2, 2019",,,"['Studio Mausu', 'Suiseisha']",['Ascendent Animation'],['Studio Hokiboshi'],['Web manga'],"['Comedy', 'Hentai']",['Josei'],6 min. per ep.,Rx - Hentai,6.21,N/A,#4396,"28,815",175,11319,"Ryou Fujihashi wakes up to her apartment burning. Trapped within a deadly blaze with no means of escape, Ryou frantically makes as much noise as possible to alert her neighbors. Fortunately, someone has called the fire department, and they are speedily able to rescue her. In a strange twist of fate, one of the firefighters turns out to be her childhood friend, Souma Mizuno. Although she was once interested in him, her crush was short-lived due to Souma's infamous womanizing ways. But with Ryou left homeless and all her possessions lost, Souma opens his home to her. Moving in with her childhood friend means Ryou has to build boundaries—physical ones—because to cross them means to jump straight into Souma's lustful arms. But due to his persistent interest in her, Ryou realizes he might just reignite the burning flames of passion between them. Getting close with Souma, however, means constant interaction with the rest of the sexy, muscular fire department—and although Souma's heart is set on Ryou, can she stop hers from wandering? [Written by MAL Rewrite]","['Sequel (ONA) Yubisaki kara Honki no Netsujou 2: Koibito wa Shouboushi', 'Adaptation (Manga) Yubisaki kara Honki no Netsujou: Charao Shouboushi wa Massugu na Me de Watashi wo Daita']",Yubisaki kara Honki no Netsujou: Osananajimi wa Shouboushi,,,,,,,,
127,むぎゅっと！ブラッククローバー,Squishy! Black Clover,['ONA'],8,Finished Airing,"Jul 1, 2019 to Aug 19, 2019",,,"None found,","None found,",['DLE'],['Manga'],"['Comedy', 'Fantasy']",['Shounen'],7 min. per ep.,PG-13 - Teens 13 or older,6.45,#7405,#5098,"20,401",41,7847,SD Black Clover short comedy specials released exclusively on dTV.,[],Mugyutto! Black Clover,,,Squishy! Black Clover,Squishy! Black Clover,Squishy! Black Clover,['Parody'],,
128,聖闘士星矢: Knights of the Zodiac,Knights of the Zodiac: Saint Seiya,['ONA'],12,Finished Airing,"Jul 19, 2019 to Jan 23, 2020",,,['Netflix'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,5.20,#12919,#5180,"19,602",47,8571,"Zeus had a daughter named Athena, the goddess of war. A group of youths flocked to Athena fighting to protect her amidst heroic battles as her ""Saints"". Their proof of being a Saint laid with the battle protector known as Sacred Cloth. After a virtual eternity, a new struggle is about to unfold now again over the Cloth. A boy named Seiya has crossed way over to Greece to undergo the training to become a Saint and obtained the Cloth, Bronze cloth, the lowest position among Saints. Every Saint takes a constellation as their tutelary god. And Seiya's guardian star is Pegasus. Now, the saints gather together from all over the world to participate in the ""Galatic War"" - championship of Saints, aiming at the Gold Cloth, the symbol of ruler of the Saints. The curtain for Galatic War has been cut open. During the death battle between the Saints, Phoenix, the Black Saint, suddenly appeared on the scene and runs off with Gold Cloth in front of a full house in his ambition to become ruler of the world. Seiya and his fellow bronze cloth warriors go after Phoenix and his ""Shadow Army"" to retrieve the lost Gold Cloth... The battles waged among the saints, the strongest young men on earth, begin now! (Source: Toei Animation)","['Sequel (ONA) Saint Seiya: Knights of the Zodiac - Battle Sanctuary', 'Adaptation (Manga) Saint Seiya']",Saint Seiya: Knights of the Zodiac,,,Saint Seiya: Die Krieger des Zodiac,Saint Seiya: Los Caballeros del Zodiaco,SAINT SEIYA : Les Chevaliers du Zodiaque,['Mythology'],,
129,銀魂 ～モンスターストライク編～,,['ONA'],2,Finished Airing,"Aug 29, 2019 to Sep 4, 2019",,,"['Sunrise', 'XFLAG']","None found,",['Bandai Namco Pictures'],['Manga'],"['Action', 'Comedy']",,11 min. per ep.,PG-13 - Teens 13 or older,7.50,#1955,#5504,"16,699",23,5537,Collaboration anime between Gintama and Monster Strike.,[],Gintama: Monster Strike-hen,"['Parody', 'Samurai']",Gintama x Monster Strike,,,,,,
130,女武神的餐桌,Cooking with Valkyries,['ONA'],10,Finished Airing,"Jun 28, 2019 to Aug 30, 2019",,,['miHoYoAnime'],"None found,","['Blade', 'Thundray']",Game,"['Comedy', 'Gourmet']",,5 min. per ep.,PG-13 - Teens 13 or older,7.09,#3935,#5797,"14,646",74,5088,Join the table with Valkyries this summer for a feast of mouth-watering food and heartwarming memories.,"['Sequel (ONA) Nu Wushen de Canzhuo II', '']",Nu Wushen de Canzhuo,,"Valkyrie no Shokutaku, 戦乙女の食卓",,,,,,
131,ヒーローマスク,Hero Mask,['ONA'],9,Finished Airing,"Aug 23, 2019",,,"['Sotsu', 'Netflix']",['Sentai Filmworks'],['Pierrot'],Original,"['Action', 'Mystery', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),6.49,#7170,#5946,"13,712",17,5658,"The investigation on masks is still ongoing as Connor is still on the loose. New clues and movements starts appearing after a simple bus crashes in which only one girl survives completely untact. Who is she and how is she related to the case? SSC continue to investigate but, after Steven's death the police director - Richard put resignation, new director is suspicious of SSC. He place a new agent in SSC team...","['Prequel (ONA) Hero Mask', '']",Hero Mask 2nd Season,,Hero Mask Part 2,Hero Mask Teil 2,Hero Mask Parte 2,Hero Mask Partie 2,['Detective'],,
132,みにゆり,,['ONA'],4,Finished Airing,"Sep 25, 2019 to Oct 16, 2019",,,"None found,","None found,","['W-Toon Studio', 'DMM.futureworks']",['Manga'],"['Comedy', 'Girls Love']",,5 min. per ep.,PG-13 - Teens 13 or older,6.74,#5691,#6411,"11,305",10,4822,Mini Yuri is a four-episode series with a runtime of 5 minutes per episode. The short anime was realeased online and features mini characters. (Source: MAL News),"['Adaptation (Manga) Yuru Yuri', '']",Mini Yuri,"['CGDCT', 'Gag Humor', 'School']",,,,,,,
133,斗破苍穹 第三季,Fights Break Sphere 3rd Season,['ONA'],12,Finished Airing,"Jul 21, 2019 to Sep 29, 2019",,,"None found,","None found,",['Motion Magic'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.88,#866,#6788,"9,906",59,4921,"To obtain the Magic Flame, Xiao Yan and his teacher went to a desert full of snakes, which angered the Master of the Snake Tribe, Yue Mei. When Xiao Yan was on the very edge of death, he was rescued by the Master of Fight, whose face was hidden by a mask. As it turned out, he was also looking for the Magic Flame. The Snake Tribe refused to hand over the Magic Flame to the Master of Fight, but when he attacked the Queen of the tribe, it turned out that it was just a shell, and the real queen is preparing to absorb the Magic Flame in order to become the God of Fight. The Snake Tribe attacked those who dared to raise their hand against their queen, while Xiao Yan was able to find traces of the Magic Flame in the midst of the battle and hunt down the Queen...","['Prequel (ONA) Doupo Cangqiong 2nd Season', 'Sequel (ONA) Doupo Cangqiong 4th Season', 'Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong']",Doupo Cangqiong 3rd Season,"['Martial Arts', 'Mythology']",Battle Through the Heavens 3rd Season,,,,,,
134,汉化日记,God Troubles Me,['ONA'],12,Finished Airing,"Jul 21, 2019 to Sep 29, 2019",,,"['bilibili', 'Liyu Culture', 'Yunyi Animation', 'Haowan Dongman', 'Qizhiying Culture']","None found,","['L²Studio', 'TrioPen Studio']",Original,"['Comedy', 'Slice of Life', 'Supernatural']",,14 min. per ep.,PG-13 - Teens 13 or older,7.44,#2189,#7008,"9,151",66,2827,"In the twenty-first century, gods and demons can no longer maintain equilibrium due to the rapid development of people in society. In an effort to restore proper order, the gods began to take care of the world, for which they will send a group of gods and monsters to the world to find the ""key"" to salvation. Su Moting is a girl with the personality of a ""demon child"". When her parents asked her to leave their house so that she could become independent, the girl meets the beautiful and charming god Tianjin and the mysterious demon cat Dukui. So begins the new hectic life of Su Moting.","['Sequel (ONA) Hanhua Riji 2nd Season', '']",Hanhua Riji,,"Han Hua Ri Ji, Man's Diary",,,,,,
135,ゼノンザード THE ANIMATION,,['ONA'],1,Finished Airing,"Sep 10, 2019",,,"None found,","None found,",['8bit'],Game,"['Action', 'Sci-Fi']",,27 min.,PG-13 - Teens 13 or older,6.55,#6774,#7438,"7,828",8,2677,"The year 20XX. Humans called ""Concodes"" and ultra-high-performance AI called ""Codeman"" team up as buddies to compete in the card battle game ZENOZARD. People are going wild with excitement at the world championships, THE ZENON. One day, Souta Azuma, an average high school student, is challenged to a battle by a mysterious woman, Eilietta Lash. She reveals that she’s a Codeman and that her intent is to team up with Souta and participate in THE ZENON. Souta reluctantly agrees. Souta and Eilietta’s first opponent turns out to be the super-famous player Shion Saionji, who attends Souta’s school, and her buddy, Ash Claude. (Source: Official YouTube)","['Sequel (ONA) Zenonzard The Animation', '']",Zenonzard The Animation Episode 0,,,,,,['Strategy Game'],,
136,大主宰,The Grand Lord,['ONA'],12,Finished Airing,"Aug 7, 2019 to Oct 17, 2019",,,['iQIYI'],"None found,","['Foch Film', 'TrioPen Studio']",Web novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.57,#6625,#7610,"7,407",21,1646,"The Great Thousand World. It is a place where numerous planes intersect, a place where many clans live and a place where a group of lords assemble. The Heavenly Sovereigns appear one by one from the Lower Planes and they will all display a legend that others would desire as they pursue the road of being a ruler in this boundless world. In the Endless Fire Territory that the Flame Emperor controls, thousands of fire blazes through the heavens. Inside the Martial Realm, the power of the Martial Ancestor frightens the heaven and the earth. At the West Heaven Temple, the might of the Emperor of a Hundred Battles is absolute. In the Northern Desolate Hill, a place filled with thousands of graves, the Immortal Owner rules the world. A boy from the Northern Spiritual Realm comes out, riding on a Nine Netherworld Bird, as he charges into the brilliant and diverse world. Just who can rule over their destiny of their path on becoming a Great Ruler? In the Great Thousand World, many strive to become a Great Ruler. (Source: Nsubs)","['Adaptation (Manhua) Da Zhu Zai', '']",Da Zhu Zai,"['Historical', 'Martial Arts']",The Great Ruler,,,,,,
137,少女前线 人形小剧场,Girls' Frontline,['ONA'],24,Finished Airing,"Jul 28, 2019 to Dec 30, 2019",,,"None found,","None found,",['Big Firebird Culture'],Game,"['Comedy', 'Sci-Fi']",,3 min. per ep.,PG-13 - Teens 13 or older,6.74,#5640,#7933,"6,743",40,2222,"Tactical Dolls, or ""T-Dolls"", are militarized androids that rivals the strengths of human soldiers. These T-Doll girls are unstoppable fighters on the battlefield who can engage in any risky operations given to them. Although ruthless warriors in combat, they become more playful and joyful dolls in the dormitories. The daily lives of eight T-Dolls are followed along with cute interactions, lively games, ranting commanders, and many other wholesome events deployed right at your front lines. [Written by Zattochi4]","['Sequel (ONA) Shaonu Qianxian: Renxing Xiao Juchang 2', '']",Shaonu Qianxian: Renxing Xiao Juchang,"['Anthropomorphic', 'Military']","Dolls' Frontline, Shao Nu Qian Xian, Dollfro: Iyashi-hen, Dollfro: Kyouran-hen",,,,,,
138,『デジモンサヴァイブ』プロローグムービー,Digimon Survive - Opening Movie,['ONA'],1,Finished Airing,"Jul 22, 2019",,,['Bandai Namco Entertainment'],"None found,",['Toei Animation'],Game,"['Fantasy', 'Mystery']",,3 min.,G - All Ages,6.48,#7182,#8105,"6,359",6,1946,"A prologue movie released on Bandai Namco's official YouTube channels for the eventual 2020 release of the Digimon Survive game. The movie was first shown at the Anime Expo's panel ""The Future of Digimon"" and then later posted online.",[],Digimon Survive: Prologue Movie,,,,,,['School'],,
139,灵笼: INCARNATION,Ling Cage,['ONA'],6,Finished Airing,"Jul 13, 2019 to Sep 21, 2019",,,['bilibili'],"None found,",['YHKT Entertainment'],Original,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense']",,30 min. per ep.,R - 17+ (violence & profanity),7.36,#2513,#8342,"5,937",40,1611,"In the not-too-distant future, the human world has long been overpopulated. Humanity marched to the stars in search of a new home, and just as this was going on, the moon's alignment caused massive earthquakes to ripple across the world, lasting several decades. Humanity was demolished. When the land finally recovered, humanity reemerged to face this strange yet familiar world. Will we, who once lorded over this domain, still remain the masters of this world? (Source: Yu Alexius Anime Portal)","['Sequel (ONA) Ling Long: Incarnation Middle Chapter', '']",Ling Long: Incarnation,,Spirit Cage: Incarnation,,,,['Mythology'],,
140,少女☆寸劇(コント) オールスタァライト,,['ONA'],26,Finished Airing,"Jul 5, 2019 to Dec 27, 2019",,,"None found,","None found,","['Kinema Citrus', 'IMAGICA Lab.']",Original,,,3 min. per ep.,PG-13 - Teens 13 or older,6.28,#8396,#9990,"3,551",2,1167,Chibi shorts based on Shoujo☆Kageki Revue Starlight.,[],Shoujo☆Conto All Starlight,"['Music', 'Performing Arts', 'School']",,,,,,['Comedy'],
141,ありふれた職業で世界最強 ピクチャードラマ,Arifureta: From Commonplace to World's Strongest Picture Drama,['ONA'],13,Finished Airing,"Jul 8, 2019 to Oct 7, 2019",,,"None found,","None found,","None found,",['Light novel'],"['Comedy', 'Fantasy']",,1 min. per ep.,PG-13 - Teens 13 or older,6.06,#9595,#10341,"3,172",3,1107,"An online motion graphic spin-off series that provides a comedic interpretation of events that have occurred in conjunction with the Anime. These episodes were originally posted on the series' official Twitter page on a weekly basis that coincided with the debut of each of the anime's episodes, and were later included in the Blu-ray BOX sets. The voice cast for the Picture Dramas is the same as the Anime cast. (Source: Arifureta Wiki)",[],Arifureta Shokugyou de Sekai Saikyou Picture Drama,,,,,,,,
142,SDガンダムワールド 三国創傑伝,SD Gundam World: Sangoku Soketsuden,['ONA'],10,Finished Airing,"Jul 26, 2019 to Mar 25, 2021",,,"None found,",['Nozomi Entertainment'],['Sunrise'],Original,,,15 min. per ep.,PG - Children,5.69,#11404,#10503,"3,042",6,688,"As if led by fate, after meeting Guan Yu Nu Gundam and Zhang Fei God Gundam, Liu Bei Unicorn Gundam resolves to save the world. Repeated warfare has destroyed countries that once prospered gloriously, leaving the land in ruins. Just when revival is in sight, an epidemics of the mysterious Yellow Zombie Virus breaks out. The virus carriers lose themselves and start attacking people. The survivors are forced to live inside fortified cities for protection relying on a form of energy known as ""Trinity."" However, this finite energy has caused social stratification and much conflict. Each fortified city is isolated by walls, and each country is ruled by a lord. The lord Dong Zhuo has been acting in an outrageous manner since the passing of the previous lord. As if drawn together by destiny, Liu Bei Unicorn Gundam meets Guan Yu Nu Gundam and Zhang Fei God Gundam, and decides to save the world. Eventually, the passion of the three young men will bring about great change in the world. The new heroes unveil a new chapter in history! (Source: Official Site)","['Prequel (TV) SD Gundam Sangokuden Brave Battle Warriors', '']",SD Gundam World: Sangoku Souketsuden,"['Historical', 'Mecha']",,SD Gundam World: Sangoku Soketsuden,SD Gundam World Sangoku Soketsuden,SD Gundam World: Sangoku Soketsuden,,['Action'],
143,微睡みのヴェヴァラ,Vevara in Your Dream,['ONA'],1,Finished Airing,"Jul 2, 2019",,,"None found,","None found,",['Arch'],Original,,,10 min.,PG - Children,6.47,#7292,#11088,"2,553",6,743,Sana suddenly awakes and is transported to a dream world by someone or something? What she experiences will change her life in the real world forever (Source: Official Website),[],Madoromi no Vevara,,,,,,,['Fantasy'],
144,爱在西元前,,['ONA'],12,Finished Airing,"Jul 13, 2019 to Aug 31, 2019",,,"None found,","None found,",['Taikong Works'],Music,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",,14 min. per ep.,PG-13 - Teens 13 or older,6.37,#7878,#11096,"2,546",12,291,"Some aliens come to the Earth and one of them, become Babilonia's King, building the Babel Tower in order to come back to his world. But, due to technical failures his spaceship explodes, killing the main female character. The male lead and his troop stay in the Earth to find a way to come back. The female main character reincarnates 2500 years ago and met with him one more time. Then, what will happen now? (Source: tvtime.com)","['Sequel (ONA) Ai Zai Xiyuan Qian 2nd Season', '']",Ai Zai Xiyuan Qian,,Immemorial Love For You,,,,,,
145,苗床デモンズグラウンド,,['ONA'],1,Finished Airing,"Jul 26, 2019",,,['BOMB! CUTE! BOMB!'],"None found,","None found,",Game,"['Fantasy', 'Hentai']",,15 min.,Rx - Hentai,5.44,N/A,#11158,"2,496",3,998,"Lu Luu had went missing after heading to the town castle and Eliza and the gang went out to look for her. There they found a girl named Jard bound up and violated... To their horror, they discovered that the Acklem knights capture female adventurers and offer them to monsters as human seed beds... and they were next... (Source: hanime)",[],Naedoko Demon's Ground,,,,,,['Mythology'],,
146,ジュラしっく！,Jurassic!,['ONA'],1,Finished Airing,"Aug 24, 2019",,,"None found,","None found,",['Toei Animation'],Picture book,,,1 min.,G - All Ages,6.34,#8010,#11199,"2,469",3,1128,"Toei Animation announced a new short anime on Friday titled ""Jurassic!"" that will debut streaming on YouTube in mid-August. Most of the staff for the anime are comprised of the younger staff at Toei Animation. The anime is also the first in a series of new projects for the studio featuring the younger staff. The Real-Size Koseibutsu Zukan (Real-Size Extinct Creatures Picture Book) book by Ken Tsuchiya is inspiring the anime, and Tsuchiya is serving as the anime's ""extinct creatures supervisor."" (Source: ANN)",[],Jurassic!,,,,,,['Historical'],['Fantasy'],
147,ホークのお悩み相談室,Hawk's Trouble Consultation Room,['ONA'],39,Finished Airing,"Aug 1, 2019 to Oct 9, 2019",,,['VAP'],"None found,",['Studio Deen'],['Manga'],,,30 sec. per ep.,PG-13 - Teens 13 or older,5.00,#13213,#12825,"1,486",0,477,The series of shorts featuring Hawk posted on official Twitter account.,[],Hawk no Onayami Soudanshitsu,,,,,,,['Comedy'],
148,テイルズ オブ ザ レイズ エバーラスティング デスティニー,Tales of the Rays: Everlasting Destiny,['ONA'],1,Finished Airing,"Jul 4, 2019",,,['Bandai Namco Entertainment'],"None found,",['Bandai Namco Pictures'],Game,,,15 min.,G - All Ages,5.96,#10088,#13151,"1,351",1,273,"Bandai Namco announced a new short anime titled Tales of the Rays: Everlasting Destiny. The anime will tell a story featuring the ""other side"" of the rescue of Ickx from the second chapter of the game (Mirrage Prison), showing the actions of Stahn and Leon, and will connect to the game's new story ""Fairy's Requiem"" which is the 3rd arc in the game app. (Source: ANN)",[],Tales of the Rays: Everlasting Destiny,,,,,,['Strategy Game'],['Fantasy'],
149,Girl X,The Girl and the Monster,['ONA'],5,Finished Airing,"Jul 26, 2019 to Dec 2, 2021",,,"None found,","None found,","None found,",Original,"['Comedy', 'Horror']",,1 min. per ep.,PG-13 - Teens 13 or older,5.13,#13037,#13195,"1,336",0,758,"A woman is relaxing at home, where she is joined by a peculiar blue creature. Initially terrified, she quickly grows fond of it, and the two form a bond. However, it would be wise of her not to let her guard down just yet. [Written by MAL Rewrite]",[],Girl X,,,,,,,,
150,西行纪之集结篇,The Westward 2nd Season,['ONA'],22,Finished Airing,"Sep 28, 2019 to Jan 31, 2020",,,['Tencent Penguin Pictures'],"None found,",['BYMENT'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,14 min. per ep.,PG-13 - Teens 13 or older,7.01,#4339,#13248,"1,316",5,508,"The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of heaven, the journey to West begin again. (Source: White Cloud Pavilion)","['Prequel (ONA) Xi Xing Ji', 'Sequel (ONA) Xi Xing Ji: Suming Pian', 'Adaptation (Manhua) Xi Xing Ji', '']",Xi Xing Ji: Jijie Pian,"['Historical', 'Martial Arts']","Xi Xing Ji 2nd Season, Journey to the West, Westbound, Westbound Discipline",,,,,,
151,うごいてハミだせ！まちカドまぞく,,['ONA'],12,Finished Airing,"Aug 1, 2019 to Oct 17, 2019",,,"None found,","None found,",['AQUA ARIS'],['4-koma manga'],,,35 sec. per ep.,PG-13 - Teens 13 or older,5.51,#12073,#13987,"1,078",1,306,Short specials published on the official Twitter in which Lilith gives insight commentary about the characters and the background of Machikado Mazoku.,[],Ugoite Hamidase! Machikado Mazoku,,,,,,['Mahou Shoujo'],['Comedy'],
152,万国志,Wings of the World,['ONA'],16,Finished Airing,"Sep 23, 2019 to Jan 20, 2020",,,"None found,","None found,",['LX Animation Studio'],Original,"['Action', 'Adventure', 'Romance']",,21 min. per ep.,R - 17+ (violence & profanity),6.47,#7250,#14192,"1,020",5,228,"1663 Common Era, the youngest leader of the Ming dynasty's navy Lu Changfeng is to escort an official to capture criminals but was attacked by a ghost fleet and sea beasts, causing the entire envoy to be sunk. Lu Changfeng was saved by a mysterious girl from the ocean bottom and followed her to the international center of commerce of the Age of Sail: Luzon. At the time, over 70% of the Ming dynasty's silver was obtained from Luzon, and this tiny island determined the fate of several nations. Spanish settlers cruelly ruled, and people of all walks of life, under the guidance of Song Yingxing, constructed the international finance center: the Kingdom of Wan. Despite disagreements with Song Yingxing, Lu Changfeng still chose to join Song's team: 天工, participating in the struggle against Spanish settlers with others. Both factions used bleeding-edge technological inventions in their battle. To resist the enemy genius Vesalius‘s weapon, Song Yingxing manipulates Lu Changfeng, bringing out his days fighting Vesalius in Korea, etc. (Source: medium.com)",[],Wan Guo Zhi,,,,,,['Historical'],,
153,なぜなにデンドログラム,,['ONA'],20,Finished Airing,"Sep 27, 2019 to Apr 17, 2020",,,"None found,","None found,","None found,",Unknown,,,4 min. per ep.,PG-13 - Teens 13 or older,5.62,#11717,#14550,925,0,242,"A series of short specials where Cheshire, Nemesis and Shu explain the world of VRMMO Infinite Dendrogram.","['Prequel (ONA) Naze Nani Dendrogram Episode 0', '']",Naze Nani Dendrogram,,,,,,['Video Game'],['Fantasy'],
154,CUE! ショートアニメ,,['ONA'],12,Finished Airing,"Sep 7, 2019 to Aug 17, 2022",,,"None found,","None found,","['Yumeta Company', 'Graphinica']",Game,,,3 min. per ep.,PG-13 - Teens 13 or older,5.82,#10815,#14603,913,1,160,"Short anime released in the mobile app, and then later bundled with the Blu-ray volumes of Cue!.",[],Cue! Short Anime,,,,,,,['Comedy'],
155,超普通都市カシワ伝説Z,,['ONA'],10,Finished Airing,"Jul 12, 2019 to Sep 13, 2019",,,"None found,","None found,",['Super Normal Studio'],Original,"['Comedy', 'Fantasy']",,3 min. per ep.,None,5.24,#12827,#15047,804,0,186,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Chou Futsuu Toshi Kashiwa Densetsu', 'Sequel (TV) Chou Futsuu Toshi Kashiwa Densetsu R']",Chou Futsuu Toshi Kashiwa Densetsu Z,,The Legend of Super Normal City Kashiwa Z,,,,,,
156,书灵记,,['ONA'],30,Finished Airing,"Sep 10, 2019 to Dec 20, 2019",,,"None found,","None found,",['Suoyi Technology'],Web novel,,,10 min. per ep.,PG-13 - Teens 13 or older,6.24,#8646,#15152,771,2,183,"In the boundary of Pazhou, there are hundreds of scholars, Tang poetry and Song poetry, all have Shuling 30,000 years ago, the gods named Nancheng Library descended from the sky, and the books in the Pazhou continent were born. Shu Ling, ""The Analects of Confucius"", ""Tang Poetry"", ""Song Song"", ""Compendium of Materia Medica"", and perhaps ""Three-Year Examination of Five-Year College Entrance Examination""; After 30,000 Years, Gu Qi must wake up from ""Three hundred Tang Poems"" Riding on ""Shan Hai Jing"", I decided to go to Miss Liaozhai, talk about how to levy (zheng) clothing (jiu) world – um, everyone is good, My name is Gu Qi, my emotional intelligence is low, my mind has Pit,I also like to say that I am very honest… But nothing, you can't beat me! (Source: Kurina)","['Sequel (ONA) Shu Ling Ji 2nd Season', '']",Shu Ling Ji,,,,,,['Martial Arts'],,
157,なぜなにデンドログラム,,['ONA'],1,Finished Airing,"Aug 23, 2019",,,"None found,","None found,","None found,",Unknown,,,1 min.,PG-13 - Teens 13 or older,5.63,#11698,#15277,744,0,242,"Episode 0 of series of short specials where Cheshire, Nemesis and Shu explain the world of VRMMO Infinite Dendrogram.","['Sequel (ONA) Naze Nani Dendrogram', '']",Naze Nani Dendrogram Episode 0,,,,,,['Video Game'],['Fantasy'],
158,SONODA,Sonoda,['ONA'],1,Finished Airing,"Jul 25, 2019",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.39,#12443,#15351,729,0,322,A soundless stop-motion paint on glass by Koji Yamamura showcasing the seasons. It is stated to have been created in 1988 early in his career but it is unknown if it was ever publicly showcased prior to Yamamura uploading this piece to his own YouTube channel in 2019.,[],Sonoda,,Spring / Summer / Fall / Winter,,,,,['Slice of Life'],
