,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genres,Synonyms,Theme,Spanish,Demographics
85,ロマンスは剣の輝きII,Romance is in the Flash of the Sword II,,['OVA'],6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",,,['Lemon Heart'],"['NuTech Digital', 'Adult Source Media']","['Arms', 'Triple X']",Visual novel,,,,29 min. per ep.,Rx - Hentai,6.07,N/A,#11356,"2,363",5,667,"Keith is an honorable thief, but also a descendant of the legendary Shadow Blade. Employed as a guide for a sultry seductress - he finds himself soon wrapped up in much more than he bargained for. A one-night stand turns into the resurrection ritual for a demon?! He's really got his work cut out for him... (Source: AnimeOnDVD)",[],Romance wa Tsurugi no Kagayaki II,,"['Action', 'Comedy', 'Fantasy', 'Hentai']",,['Mythology'],,
86,ヴィシャス,Vicious,,['OVA'],2,Finished Airing,"Jan 18, 2001 to May 1, 2001",,,['Five Ways'],['NuTech Digital'],['KKC Animation Production'],['Manga'],['Hentai'],,,28 min. per ep.,Rx - Hentai,5.85,N/A,#11395,"2,341",4,849,"Angela, a beautiful young woman, is trapped in a loveless existence. Hate is the only word to describe her feelings for her cold-blooded father who forces himself on the family maid, Bridget. However, along with her budding adolescence she finds lust and love with John, the Butler. (Source: AniDB)","['Adaptation (Manga) Vicious', '']",Vicious,,,,,,
87,トレス・マリアス 3人の聖処女,Holy Virgins,,['OVA'],2,Finished Airing,"Mar 16, 2001 to Jun 13, 2001",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,['Hentai'],,,31 min. per ep.,Rx - Hentai,5.43,N/A,#11609,"2,195",2,710,"The locals know all about Dr. Fuwa. His reputation for taking advantage of his female patients has left him little to do except his nurse Megumi. When he`s suddenly called in to investigate a mysterious illness that`s been affecting the nuns on a remote island, Dr. Fuwa`s certainly not above having a little fun with the patients – each and every one of them a cute little nun-in-training. But will he be able to uncover the truth behind their terrible condition? (Source: AniDB)",[],Tres Marias: Sannin no Sei Shojo,,,,,,
88,淫夢2,Inmu 2: Flesh Dreams,,['OVA'],2,Finished Airing,"Mar 23, 2001 to Jun 22, 2001",,,['Pink Pineapple'],['NuTech Digital'],['PP Project'],Original,['Hentai'],,,30 min. per ep.,Rx - Hentai,5.61,N/A,#12089,"1,904",0,596,"Sometimes the things we fear most are what we truly want. Enter the world of INMU and come face to face with your darkest fears and your wildest dreams. First Night Youri is not sure she's ready to lose her virginity to her boyfriend. Frustrated, her boyfriend regularly visits a massage parlor in order to get off. Even stranger, the masseuse looks just like Youri. Somehow, Youri is turned on by this betrayal and ends up submitting to her darker side. Second Night A voyeur spies on a sexy nurse in her apartment. His obsession walks the line between fantasy and reality as he's consumed with lust. His passion brings to life a mysterious being which possesses him. When he becomes one of her patients, the man and the being merge, unleashing a full-on assault on his object of desire. Third Night A man playing a fantasy card game discovers that he can enter the game world and take control of the women on the cards. He eventually pushes his luck by merging fantasy and reality and finds that he's reached the point of no return. Fourth Night Caught between fantasy and reality, a young man is seduced by his stepmother and they share a sexual encounter. Once is not enough for this guy as he becomes the seducer. Now he wonders if it was all a dream, or if he's become the victim caught in his stepmother's web. (Source: AnimeOnDVD)","['Prequel (OVA) Inmu: Ikenie no Utage', '']",Inmu 2,,,"Inmu 2: Chijoku no Kaniku Matsuri, Inmu 2: Houkou no Niku Dorei",,,
89,変貌 モラルハザード,,,['OVA'],1,Finished Airing,"Mar 23, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Unknown,['Hentai'],,,22 min.,Rx - Hentai,4.40,N/A,#12558,"1,623",3,601,"One day while walking home from school, a young college girl is followed by a creepy old man. She runs to a nearby park in an attempt to get away from him, but is captured by someone hiding in the shadows. The pervert strips her naked and mercilessly has his way with her! Another man, hearing her cries for help, comes to her aid and chases the pervert away. But as our girl quickly gathers up her clothes and turns to get dressed, her rescuer starts having lusty thoughts of his own! Schoolgirls bring out the animal in everyone... and watch how these guys treat our schoolgirl like a bitch in heat! Who can I believe... Somebody help me...",[],Henbou Moral Hazard,,,Moral Hazard,,,
90,微熱姫 懺悔の章,,,['OVA'],1,Finished Airing,"Mar 18, 2001",,,['Five Ways'],"None found,",['Office AO'],['Manga'],['Hentai'],,,29 min.,Rx - Hentai,4.96,N/A,#13411,"1,256",2,344,"By sheer chance, Mikan manages to get a recording of her best friend, Nodoka, and her teacher having sex. After watching it, she decides that she wants to see more. (Source: AniDB)",[],Binetsu Hime: Zange no Shou,,,,,,
91,らめんちゃいにゃん,,,['OVA'],1,Finished Airing,"Feb 14, 2001",,,"None found,","None found,",['Ishikawa Pro'],Original,,,,5 min.,PG-13 - Teens 13 or older,5.39,#12479,#16818,526,1,245,"Chai Nyan is a 14-year-old girl who came all the way from China to spread the way of Ramen! However, a drunk named Yoiyoi refuses to accept that Chai Nyan's ramen shop neither sells alcohol nor allows drinking. And so, the drunk decides to destroy the shop with robots and so on. Will Chai Nyan be able to weather this storm? (Source: AniList)",[],Ramen Chai-nyan,,"['Action', 'Comedy']",Ramen Chainyan,['Mecha'],,
92,さばくの国の王女さま,The Princess of the Desert Kingdom,,['OVA'],1,Finished Airing,Mar 2001,,,['Shinano Kikaku'],"None found,",['Toei Animation'],Unknown,,,,26 min.,G - All Ages,5.61,#11768,#17324,476,1,147,"When the spring that supplies water to her kingdom dries up, the Princess decides to go into the desert in search of a faraway oasis that is said to exist. The Princess and her animal friends face many challenges in their journey to save the draught-stricken kingdom.",[],Sabaku no Kuni no Oujosama,,"['Adventure', 'Fantasy']",,,,
93,頭文字〈イニシャル〉D THIRD STAGE,,Initial D Stage 3,['Movie'],1,Finished Airing,"Jan 13, 2001",,,['OB Planning'],['Funimation'],['Studio Deen'],['Manga'],,,['Seinen'],1 hr. 44 min.,PG-13 - Teens 13 or older,7.91,#804,#1322,"193,974",705,120095,"Takumi Fujiwara is a skilled street racer, but he suffers a crushing loss against the team Emperor's leader Kyoichi Sudou due to his AE86 experiencing an engine failure. Doubting his abilities, the recent high school graduate is then approached by the Akagi RedSuns' team leader Ryousuke Takahashi, who proposes the formation of a professional street racing team. Although it would be the ideal way to improve as a street racer, Takumi remains undecided. Does the young street racer have what it takes to become a professional? Perhaps Ryousuke and the RedSuns can help him reevaluate his own doubts and misconceptions concerning street racing. However, first and foremost, Takumi decides to settle the score with Kyoichi Sudou... [Written by MAL Rewrite]","['Prequel (TV) Initial D Second Stage', 'Sequel (TV) Initial D Fourth Stage', 'Adaptation (Manga) Initial D Read Manga', '']",Initial D Third Stage,,"['Action', 'Drama', 'Romance']",,['Racing'],Initial D: Supera el Límite de Velocidad Temporada 3,
94,ワンピース ねじまき島の冒険,One Piece: Clockwork Island Adventure,One Piece Film 2: L'Aventure de L'île de L'horloge,['Movie'],1,Finished Airing,"Mar 3, 2001",,,"['Fujipacific Music', 'Shueisha']","None found,",['Toei Animation'],['Manga'],,,['Shounen'],55 min.,PG-13 - Teens 13 or older,7.08,#4022,#2126,"106,691",40,61876,"Informed by the Thief Brothers his ship has been stolen by the Trump Kyoudai (Trump Siblings) who have set up base on Clockwork Island. Monkey D. Luffy, Captain of the Going Merry and aspiring Pirate King works with his crew - Usopp, Zoro, Sanji and Nami to battle their way up Clockwork Island to reclaim their ship. (Source: ANN)",[],One Piece Movie 02: Nejimaki-jima no Daibouken,One Piece Film 2: Abenteuer auf der Spiralinsel!,"['Action', 'Adventure', 'Fantasy']","One Piece: Nejimakijima no Bouken, One Piece: Nejimaki Shima no Bouken",,One Piece Película 2: Aventura en la Isla Espiral,
95,デジモンアドベンチャー02 ディアボロモンの逆襲,Digimon Adventure 02: Revenge of Diaboromon,,['Movie'],1,Finished Airing,"Mar 3, 2001",,,['Bandai'],['Saban Brands'],['Toei Animation'],Original,,,['Kids'],30 min.,PG - Children,7.26,#3029,#3154,"54,908",36,31356,"After the events of 02, everything is finally getting back to normal. That is, until a strangely familiar icon starts showing up on computer systems around the Japan. And not just computer systems... TVs, mobile phones, video games; anything with a screen with online capabilities. And this icon seems to be looking for somone... Yagami Taichi, and Ishida Yamato, who defeated it several years before. Yes, it turns out that this jellyfish digimon is in fact Diablomon, the Virus-type Digimon that was defeated in the second movie. But this time, he's learned to make himself physical, and is sending thousands of copies of himself into the real world. Koushiro and Ken devise a plan to rid the world of the virus once and for all, but it'll take the help of all the Destined, past and present. Once again, it's a race against time to put a stop to Diablomon's plot... but even that is cloaked in shadow. Will the revival of Omegamon be enough to stop Diablomon a second time, or will the millions of copies prove enough of a power boost to shrug off the ""Digimon Champion of Justice""? Of course, he hasn't seen the new breed of Chosen, nor the new techniques. It's a fight to the finish, with the destruction of Tokyo resting on the line. (Source: AniDB)","['Prequel (TV) Digimon Adventure 02', 'Sequel (Movie) Digimon Adventure tri. 1: Saikai']",Digimon Adventure 02: Diablomon no Gyakushuu,,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']","Digimon Adventure 02: Return of Diablomon, Digimon Adventure 02: Diablomon Strikes Back",,,
96,映画 ドラえもん のび太と翼の勇者たち,Doraemon the Movie: Nobita and the Winged Braves,,['Movie'],1,Finished Airing,"Mar 10, 2001",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,,1 hr. 31 min.,PG - Children,7.27,#3009,#7747,"7,130",2,4122,"Nobita and his friends gathered at Shizuka's house when they heard about the news about missing flocks of bird species. Nobita believed they were taken away by winged creatures and became obsessed on flying on his own. He created mechanical wings and upon the experiment he encountered an actual winged creature flying out of a time-space distortion. Upon helping him whose name is Gusuke, Nobita and his friends were sucked into the distortion and reached Gusuke's home, Birdpia or the world where the winged creatures live. (Source: ANN)","['Adaptation (Manga) Daichouhen Doraemon', '']",Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,,"['Adventure', 'Fantasy']",Doraemon: Nobita's Winged Heroes,,Doraemon Película 22: Doraemon en el Mágico Mundo de las Aves,"['Kids', 'Shounen']"
97,ドラえもん がんばれ！ジャイアン！！,Doraemon: Ganbare! Gian!!,,['Movie'],1,Finished Airing,"Mar 10, 2001",,,['Tokyo Movie Shinsha'],"None found,",['Shin-Ei Animation'],Unknown,,,,26 min.,PG - Children,6.56,#6701,#11716,"2,132",0,838,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Doraemon: Ganbare! Gian!!,,"['Adventure', 'Comedy', 'Fantasy']",,,,"['Kids', 'Shounen']"
98,ドラミ＆ドラえもんズ 宇宙（スペース）ランド危機イッパツ！,,,['Movie'],1,Finished Airing,"Mar 10, 2001",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,,16 min.,PG - Children,6.55,#6790,#11775,"2,088",0,983,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dorami & Doraemons: Space Land's Critical Event,,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Dorami & Doraemons: Space Land Kiki Ippatsu!,,,"['Kids', 'Shounen']"
99,オモヒデ,A Memory,,['Movie'],1,Finished Airing,"Jan 1, 2001",,,"None found,","None found,","None found,",Original,,,,4 min.,G - All Ages,[],#20836,#21396,209,0,,"A short clay/crayon animation by Tomayasu Murata. While the robot is cleaning, it finds a picture. It's his precious memories. (Source: Official Youtube Channel)",[],Omoide,,"['Sci-Fi', 'Slice of Life']",,,,
100,ワンピース ジャンゴのダンスカーニバル,One Piece: Django's Dance Carnival,,['Special'],1,Finished Airing,"Mar 3, 2001",,,"None found,","None found,",['Toei Animation'],['Manga'],,,['Shounen'],6 min.,PG-13 - Teens 13 or older,7.12,#3798,#3541,"44,749",28,24320,"Mirror Ball Island is throwing the largest dance festival in the East Blue. While outlaw hypnotist Jango is enjoying the festivities, he is found and cornered by a Marine captain. He narrowly escapes by hypnotizing the entire island to ""dance until they drop."" Unfortunately, pirate Monkey D. Luffy and his Straw Hat Crew get caught in the commotion and are also forced to dance the night away. [Written by MAL Rewrite]",[],One Piece: Jango no Dance Carnival,,"['Comedy', 'Fantasy']",,,,
101,HAND MAID メイ「あきらめません」,,Hand Maid May: Never Give Up,['Special'],1,Finished Airing,"Feb 23, 2001",,,"None found,",['Discotek Media'],['Ashi Productions'],Original,,,,27 min.,PG-13 - Teens 13 or older,6.71,#5835,#6984,"9,280",9,4797,Special episode.,"['Prequel (TV) Hand Maid May', '']",Hand Maid May: Akiramemasen,,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","Hand Maid May Special, Hand Maid May: Never Give Up",['Harem'],Hand Maid May. Capítulo Especial: ¡No me rendiré!,
102,トップをねらえ！ GunBuster,Gunbuster Renewal EX,,['Special'],3,Finished Airing,"Nov 25, 2000 to Mar 25, 2001",,,"None found,",['Discotek Media'],['Gainax'],Original,,"['Mecha', 'Space']",,2 min. per ep.,PG-13 - Teens 13 or older,5.70,#11395,#7682,"7,279",1,2757,A series of Gunbuster shorts included in the DVD release.,[],Top wo Nerae! Gunbuster Specials,,"['Action', 'Sci-Fi']",,,,
103,タッチ CROSS ROAD～風のゆくえ,,,['TV Special'],1,Finished Airing,"Feb 9, 2001",,,"['VAP', 'Kodansha', 'TOHO', 'Toho Music']","None found,",['Group TAC'],['Manga'],,,['Shounen'],1 hr. 30 min.,PG-13 - Teens 13 or older,6.81,#5307,#9747,"3,857",2,1825,"Trying to find his own game of baseball, and not that of his brothers, Tatsuya moves to America and pitches for a poor, struggling minor league baseball team called the Emeralds. Meanwhile, Minami is still in Japan, trying to find her own path after quitting gymnastics. Inspired by a photograph of her final performance, she becomes the photographers assisstant. (Source: ANN)","['Prequel (TV Special) Touch: Miss Lonely Yesterday - Are kara, Kimi wa...', '']",Touch: Cross Road - Kaze no Yukue,,"['Romance', 'Sports']",Touch: Crossroad - Kaze no Yukue,['Team Sports'],Touch Bateadores: Cross Road (Caminos Encontrados),
104,チャイナさん 短編集,Spirit of Wonder: China-san Short Stories,,['Special'],3,Finished Airing,"Jan 25, 2001 to Jan 23, 2004",,,['Toshiba EMI'],"None found,",['Ajia-do'],['Manga'],,,['Seinen'],13 min. per ep.,R+ - Mild Nudity,6.58,#6589,#10368,"3,163",4,1073,Three short stories featuring China-san.,[],Spirit of Wonder: China-san Tanpenshuu,,"['Comedy', 'Sci-Fi']","Scientific Boys Club, China-san: Specials, Shrinking of Miss China, Planet of Miss China, Sake Cup of Miss China, Drinking of Miss China",,,
105,世界名作劇場・完結版 赤毛のアン,,,['TV Special'],2,Finished Airing,"Feb 11, 2001 to 2001",,,['BS Fuji'],"None found,",['Nippon Animation'],Novel,['Drama'],,,45 min. per ep.,G - All Ages,6.26,#8489,#13051,"1,398",2,325,"A summary of the Akage no Anne full series aired as a TV specials. Anne is an orphan full of imagination. When she arrives at her new home she learns that sometimes you have to be a sensible person too; at the same time her unique character changes, or at least attracts, the people around her. The story covers Anne's growth from about eleven to seventeen years old as she makes friends, goes to school and studies. At a difficult point in her life, Anne will have to make a hard choice and perhaps find a new dream. (Source: AniDB)",[],Akage no Anne Specials,,,"Sekai Meisaku Gekijou Kanketsu Ban: Akage no Anne, World Masterpiece Theater Complete Edition: Anne of Green Gables",['Historical'],,
106,世界名作劇場・完結版 トム・ソーヤーの冒険,,,['TV Special'],2,Finished Airing,Feb 2001,,,['Bandai Visual'],"None found,",['Nippon Animation'],Unknown,,,,45 min. per ep.,G - All Ages,6.29,#8311,#14967,827,2,233,A summary of the Tom Sawyer no Bouken full series aired as a TV specials.,[],Tom Sawyer no Bouken Specials,,"['Adventure', 'Drama']","World Masterpiece Theater Complete Edition: The Adventures of Tom Sawyer, Sekai Meisaku Gekijou Kanketsu Ban: Tom Sawyer no Bouken, World Masterpiece Theater",['Historical'],,
107,２１世紀まんがはじめて物語,,,['TV Special'],1,Finished Airing,"Mar 30, 2001",,,"None found,","None found,",['Tokyo Kids'],Unknown,,,['Kids'],30 min.,G - All Ages,5.91,#10362,#15451,714,3,168,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Manga Hajimete Omoshiro Juku', '']",21-seiki Manga Hajimete Monogatari,,"['Adventure', 'Comedy', 'Sci-Fi']",,['Educational'],,
108,クレヨンしんちゃん Specials,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],,,['Seinen'],48 min.,G - All Ages,[],#17451,#15463,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,"['Comedy', 'Ecchi']",,['School'],,
109,世界名作劇場・完結版 母をたずねて三千里,,,['TV Special'],2,Finished Airing,2001,,,"None found,","None found,",['Nippon Animation'],Unknown,,,,45 min. per ep.,G - All Ages,6.10,#9413,#16171,606,0,142,A summary of the Haha wo Tazunete Sanzenri full series aired as a TV specials.,[],Haha wo Tazunete Sanzenri Specials,,"['Adventure', 'Drama', 'Slice of Life']","Sekai Meisaku Gekijou Kanketsu Ban: Haha wo Tazunete Sanzenri, Sekai Meisaku Gekijou Kanketsu Ban: Haha o Tazunete Sanzenri, World Masterpiece Theater Complete Edition: Marco - From the Apennines to the Andes",,,
110,世界名作劇場 完結版 ペリーヌ物語,,,['TV Special'],2,Finished Airing,"Jan 28, 2001 to 2001",,,['BS Fuji'],"None found,",['Nippon Animation'],Novel,['Drama'],,,45 min. per ep.,G - All Ages,[],#21017,#16655,543,0,,A summary of the full series aired as a TV specials.,[],Perrine Monogatari Specials,,,"Sekai Meisaku Gekijou Kanketsu Ban: Perrine Monogatari, The Story of Perrine",['Historical'],,
111,世界名作劇場・完結版 ピーターパンの冒険,,,['TV Special'],2,Finished Airing,2001,,,['Fuji TV'],"None found,",['Nippon Animation'],Unknown,,,,45 min. per ep.,G - All Ages,5.77,#11069,#16593,552,1,136,A summary of the full series aired as a TV specials.,[],Peter Pan no Bouken Specials,,"['Adventure', 'Fantasy']","Sekai Meisaku Gekijou Kanketsu Ban: Peter Pan no Bouken, World Masterpiece Theater Complete Edition: Peter Pan & Wendy",,,
112,世界名作劇場・完結版 南の虹のルーシー,,,['TV Special'],2,Finished Airing,Mar 2001,,,['Bandai Visual'],"None found,",['Nippon Animation'],Unknown,,,,45 min. per ep.,G - All Ages,[],#20272,#17474,462,0,,A summary of the Minami no Niji no Lucy full series aired as a TV specials.,[],Minami no Niji no Lucy Specials,,"['Adventure', 'Drama', 'Slice of Life']","Sekai Meisaku Gekijou Kanketsu Ban: Minami no Niji no Lucy, World Masterpiece Theater Complete Edition: Lucy-May of the Southern Rainbow",,,
