,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Demographic,Spanish,Genre,German,Demographics
23,デジモンフロンティア,Digimon Frontier,,['TV'],50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Flatiron Film Company'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",,23 min. per ep.,PG - Children,7.16,#3590,#1559,"161,613",611,99409,"With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).","['Adaptation (Manhua) Digimon Frontier', '']",Digimon Frontier,Digimon Season Four,['Isekai'],,Digimon 4 Frontier,,,
24,東京ミュウミュウ,Mew Mew Power,Mew Mew Power,['TV'],52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",['Spring 2002'],Saturdays at 08:00 (JST),"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['4Kids Entertainment'],['Pierrot'],['Manga'],"['Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.10,#3886,#1561,"161,451","1,708",77315,"Ichigo Momomiya expected her date with her crush, Masaya Aoyama, to have a more romantic ending than her falling asleep after she sees a vision of a cat entering her body. Things get even stranger when, the next day, she begins displaying cat-like behaviors such as an intense craving for fish. When Masaya is attacked by a monster, she discovers that she is able to transform into the cat-eared magical girl, Mew Ichigo. After she saves Masaya, two researchers named Ryou Shirogane and Keiichiro Akasaka approach her and reveal they had injected her with Iriomote Cat DNA in order to create a magical girl that can save the world from aliens. Ichigo is tasked with fighting these monsters, but saving the world proves to be just too much for Ichigo to handle by herself. Fortunately, she learns that there are four other girls just like her, and now, Ichigo must find them quickly before the aliens completely take over the planet. [Written by MAL Rewrite]","['Adaptation (Manga) Tokyo Mew Mew Read Manga', '']",Tokyo Mew Mew,,['Mahou Shoujo'],['Shoujo'],,,,
25,十二国記,The Twelve Kingdoms,Les 12 Royaumes,['TV'],45,Finished Airing,"Apr 9, 2002 to Aug 30, 2003",['Spring 2002'],Unknown,"['NHK', 'Sogo Vision']","['Media Blasters', 'Discotek Media']",['Pierrot'],Novel,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,8.01,#649,#1560,"161,562","2,566",47626,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend. But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die. [Written by MAL Rewrite]","['Adaptation (Light Novel) Juuni Kokuki', '']",Juuni Kokuki,"12 Kingdoms, Juuni Kokki",['Isekai'],,Doce Reinos,,The Twelve Kingdoms,
26,ヒカルの碁,Hikaru no Go,,['TV'],75,Finished Airing,"Oct 10, 2001 to Mar 26, 2003",['Fall 2001'],Unknown,"['TV Tokyo', 'Dentsu', 'Dream Force']",['VIZ Media'],['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Supernatural']","['School', 'Strategy Game']",23 min. per ep.,PG-13 - Teens 13 or older,8.07,#566,#1701,"143,557","2,477",65028,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru. Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning. [Written by MAL Rewrite]","['Sequel (Special) Hikaru no Go: Hokuto Hai e no Michi', 'Adaptation (Manga) Hikaru no Go']",Hikaru no Go,Hikaru's Go,,['Shounen'],,,,
27,ラーゼフォン,RahXephon,,['TV'],26,Finished Airing,"Jan 21, 2002 to Sep 11, 2002",['Winter 2002'],Mondays at 16:25 (JST),"['Media Factory', 'Victor Entertainment', 'Asatsu DK', 'Fuji TV']","['ADV Films', 'Sentai Filmworks']",['Bones'],Original,"['Action', 'Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']","['Mecha', 'Music', 'Psychological']",23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2504,#1913,"123,638",983,44337,"The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians. Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world. [Written by MAL Rewrite]","['Adaptation (Manga) RahXephon', 'Adaptation (Light Novel) RahXephon']",RahXephon,,,,,,,
28,藍より青し,Ai Yori Aoshi,,['TV'],24,Finished Airing,"Apr 11, 2002 to Sep 26, 2002",['Spring 2002'],Unknown,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.10,#3892,#2034,"114,265",472,54923,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.","['Sequel (TV) Ai Yori Aoshi: Enishi', 'Adaptation (Manga) Ai yori Aoshi']",Ai Yori Aoshi,Bluer Than Indigo,['Harem'],['Seinen'],,,,
29,満月をさがして,Searching for the Full Moon,,['TV'],52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",['Spring 2002'],Saturdays at 07:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","['VIZ Media', 'AnimEigo']",['Studio Deen'],['Manga'],"['Comedy', 'Drama', 'Romance', 'Supernatural']","['Music', 'Showbiz']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,#775,#2047,"113,186","1,868",49081,"Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon. There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left. Full Moon wo Sagashite follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately, what it means to live. [Written by MAL Rewrite]","['Adaptation (Manga) Full Moon wo Sagashite', '']",Full Moon wo Sagashite,"Full Moon o Sagashite, Mangetsu wo Sagashite",,['Shoujo'],,,,
30,レイヴ,Rave Master,Rave Master,['TV'],51,Finished Airing,"Oct 13, 2001 to Sep 28, 2002",['Fall 2001'],Unknown,"['TBS', 'Kodansha']",['Tokyopop'],['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3360,#2165,"103,797",380,42015,"Fifty years ago, malevolent stones known as Dark Brings brought about the ""Overdrive,"" a calamitous event that destroyed one-tenth of the world. In the present day, the nefarious organization Demon Card seeks the Dark Brings' power for their all but innocent intentions. Haru Glory, a sword-wielding silver-haired teenager, inherits the title of Rave Master: the person who wields the power of the legendary Rave Stones, artifacts capable of destroying the Dark Brings. However, the many Rave Stones were scattered across the globe as a result of the Overdrive, allowing Demon Card to continue their malpractices. Groove Adventure Rave follows Haru, his strange dog Plue, the fiery blonde Ellie, and the infamous thief Musica, as they embark on a great journey that will take them around the vast world, searching for the Rave Stones that will finally end Demon Card's injustice. [Written by MAL Rewrite]","['Adaptation (Manga) Rave Read Manga', '']",Groove Adventure Rave,Groove Adventure Rave,,['Shounen'],,,,
31,THEビッグオー,The Big O,,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Mecha', 'Psychological']",24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,843","1,013",39646,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,"Big O Roger, Big O",,,,,,
32,クレヨンしんちゃん,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1030,#2402,"88,093","1,330",42201,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],['Seinen'],Shin Chan,,Shin Chan,
33,爆転シュート　ベイブレード2002,Beyblade V-Force,,['TV'],51,Finished Airing,"Jan 7, 2002 to Dec 30, 2002",['Winter 2002'],Mondays at 18:00 (JST),"['TV Tokyo', 'd-rights']","['Nelvana', 'Discotek Media']",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,21 min. per ep.,PG - Children,6.74,#5661,#2748,"70,911",123,44404,"The Bladebreakers have to join forces once again because a mysterious group under the lead of Oozuma has defeated them, but the real enemy is not Oozuma. The real threath is formed by a group of people who use cyber-BitBeasts to capture the original ones from the Bladebreakers. (Source: ANN)","['Prequel (TV) Bakuten Shoot Beyblade', 'Sequel (TV) Bakuten Shoot Beyblade G Revolution']",Bakuten Shoot Beyblade 2002,Beyblade 2002,,['Shounen'],Beyblade Vforce,,,
34,ドラえもん,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39827,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,['Anthropomorphic'],,Doraemon,,,"['Kids', 'Shounen']"
35,とっとこハム太郎,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,641",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",['Anthropomorphic'],['Kids'],Hamtaro,,Hamtaro,
36,キャプテン翼 (2001),Captain Tsubasa,Olive et Tom: Captain Tsubasa Le Retour,['TV'],52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002",['Fall 2001'],Unknown,"['Madhouse', 'TV Tokyo', 'Dentsu']","None found,",['Group TAC'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#2989,"61,324",332,38132,"Tsubasa Oozora loves everything about soccer: the cheer of the crowd, the speed of the ball, the passion of the players, and the excitement that comes from striving to be the best soccer player he can be. His goal is to aim for the World Cup, and to do that, he’s spent countless hours practicing soccer, ever since the moment he could walk on two legs. Now, as he plays for the Barcelona team in a fierce game, it seems as though his dreams are on the verge of coming true. Captain Tsubasa: Road to 2002 tells the story of how Tsubasa climbed his way through the ranks, featuring his roots in the town of Nankatsu as well as his epic journey to master the art of soccer.","['Prequel (TV) Captain Tsubasa J', 'Adaptation (Manga) Captain Tsubasa', 'Adaptation (Manga) Captain Tsubasa: Road to 2002', '']",Captain Tsubasa: Road to 2002,"Captain Tsubasa (2001), Road to World Cup 2002, Road to Dream",['Team Sports'],['Shounen'],Campeones: Hacia el Mundial,['Sports'],,
37,ロックマン エグゼ,MegaMan NT Warrior,Megaman NT Warrior,['TV'],56,Finished Airing,"Mar 4, 2002 to Mar 31, 2003",['Spring 2002'],Mondays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Half H.P Studio', 'Shogakukan Productions']",['VIZ Media'],['Xebec'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,21 min. per ep.,PG-13 - Teens 13 or older,6.91,#4767,#3704,"41,296",152,20633,"In the year of 20XX, a young boy by the name of Netto Hikari receives a very special gift as he enters the 5th grade. His very own customized net navi, Rockman! Despite Rockman's small size and far more responsible personality, the two boys quickly become the best of friends. A net navi is designed to guide his operator from the inside of his or her PErsonal Terminal, or simply PET for short. Children and adults alike enjoy friendly ""Net Battles"", where they spar their navis against each other to prove their worth. (Source: Official Site)","['Sequel (TV) Rockman.EXE Axess', 'Adaptation (Manga) Rockman EXE', 'Adaptation (Manga) Battle Story Rockman.EXE', '']",Rockman.EXE,"Rockman EXE, MegaMan: NT Warrior",['Video Game'],,,,MegaMan: NT Warrior Einklinken!,
38,王ドロボウ JING,Jing: King of Bandits,King of Bandit Jing,['TV'],13,Finished Airing,"May 15, 2002 to Aug 14, 2002",['Spring 2002'],Unknown,['Aniplex'],['ADV Films'],['Studio Deen'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3534,#3798,"39,194",210,15039,"Jing may appear to be a young boy, but his remarkable skills make him one of the most feared thieves on the planet. Along with his feathered partner Kir, Jing travels from town to town, stealing anything of value regardless of the amount of security. But when he's in a pinch, he has one more trick up his sleeve: Kir bonds with Jing's right arm to perform the effectively deadly ""Kir Royale"" attack. And because of all this, Jing is infamously known by many as the ""King of Bandits.""","['Sequel (OVA) Ou Dorobou Jing in Seventh Heaven', 'Adaptation (Manga) Ou Dorobou Jing']",Ou Dorobou Jing,King of Bandit Jing,,['Shounen'],,,King of Bandit Jing,
39,サイボーグ009 THE CYBORG SOLDIER,Cyborg 009,,['TV'],50,Finished Airing,"Oct 14, 2001 to Oct 13, 2002",['Fall 2001'],Unknown,"['TV Tokyo', 'Shaft', 'Avex Entertainment', ""Brain's Base""]","['Sony Pictures Entertainment', 'Discotek Media']",['Japan Vistec'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3092,#3943,"36,093",192,13416,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","['Sequel (Special) Cyborg 009: The Cyborg Soldier - Kami no Ubugoe', 'Adaptation (Manga) Cyborg 009']",Cyborg 009: The Cyborg Soldier,,,['Shounen'],,,,
40,星のカービィ,Kirby: Right Back at Ya!,,['TV'],100,Finished Airing,"Oct 6, 2001 to Sep 27, 2003",['Fall 2001'],Saturdays at 19:30 (JST),"['CBC Television', 'Nintendo']",['4Kids Entertainment'],['Studio Sign'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,6.92,#4734,#3956,"35,881",370,18022,"A diminutive pink creature orbiting in space called ""Kirby"" crash lands into Dream Land. Once getting acquainted with the citizens who live there in Cappy Town, he begins to defend the town from the monsters that King Dedede, the self-proclaimed ruler of Cappy Town, orders from the evil Nightmare Enterprises. (Source: ANN)",[],Hoshi no Kirby,"Hoshi no Kirby, Kirby of the Stars",['Parody'],,,,,
41,天地無用! GXP,,Tenchi Muyo! GXP,['TV'],26,Finished Airing,"Apr 2, 2002 to Sep 25, 2002",['Spring 2002'],Wednesdays at 00:55 (JST),"['VAP', 'BeSTACK', 'Nippon Television Network']",['Funimation'],['AIC'],Original,"['Action', 'Comedy', 'Sci-Fi']","['Detective', 'Harem', 'Mecha', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3716,#4147,"32,822",141,15282,"From crashing his bike to falling in lakes, Seina Yamada just cannot shake the bad luck that follows him. But his fortune begins to change when he is forcibly recruited into the Galaxy Police and ends up capturing the most pirates in the force. Now, Seina is no longer just the unfortunate boy from Earth; he is a man that pirates have come to fear. Despite his reputation, Seina is still the same clumsy guy, but at least he has Amane Kaunaq, a former model, and Kiriko Masaki, his long time friend, to keep him together. With their help, Seina sets out on an adventure in the hopes of becoming a great Galaxy Police Officer. [Written by MAL Rewrite]","['Adaptation (Light Novel) Shin Tenchi Muyou! Ryououki Gaiden: Tenchi Muyou! GXP', '']",Tenchi Muyou! GXP,"Tenchi Muyou, Tenchi Muyo! GXP",,,Tenchi Muyo! GXP,,Tenchi Muyo! GXP,
42,東京アンダーグラウンド,Tokyo Underground,,['TV'],26,Finished Airing,"Apr 2, 2002 to Sep 24, 2002",['Spring 2002'],Tuesdays at 18:30 (JST),['TV Tokyo Music'],"['Discotek Media', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Romance', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.58,#6592,#4245,"30,890",48,12157,"Under the capital city of Tokyo, Japan, there exists a large, vast, and unknown world known as Underground. There, people known as Elemental Users exist; people who have the ability to control the elements: Fire, Water, Lightning, Magnetism, Freeze, etc. Meet Rumina Asagi and his best friend Ginnosuke Isuzu, two average high school freshmen who reside in Tokyo. When they meet Gravity User, Chelsea Rorec, and the Miko of Life, Ruri Sarasa, their whole lives change into one big adventure. (Source: ANN)","['Adaptation (Manga) Tokyo Underground', '']",Tokyo Underground,,['Super Power'],['Shounen'],,,,
43,天使な小生意気,Cheeky Angel,,['TV'],50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Saturdays at 00:45 (JST),['TV Tokyo'],"None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2275,#4335,"29,568",153,10445,Megumi-chan is a girl with a secret past. She used to be a boy until she met a person she thought was a magic user. This person gave him/her a magical book from which a genie appears to grant one wish when blood is applied to it. Megumi made the wish to be a man in a man's body but the genie has a twist: he grants wishes backwards so he turns Megumi-kun aged 9 to Megumi-chan. Years pass and Megumi enters High School where she immediately beats up the school bully who of course falls in love with her. She is looking for that book again to be able to reverse the spell placed upon her. (Source: ANN),"['Adaptation (Manga) Tenshi na Konamaiki', '']",Tenshi na Konamaiki,,['Magical Sex Shift'],['Shounen'],,,,
44,りぜるまいん,,,['TV'],24,Finished Airing,"Apr 3, 2002 to Dec 22, 2002",['Spring 2002'],Unknown,['m.o.e.'],"None found,","['Madhouse', 'Imagin']",['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,15 min. per ep.,R+ - Mild Nudity,6.50,#7107,#4580,"26,447",50,11091,"Iwaki Tomonori is an average 15-year-old boy who likes older women. He happens to have a crush on his teacher, but soon thereafter, learns she has become engaged. He heads home brokenhearted, only to find a 12-year-old girl named Rizel at his home, who he learns the Japanese government has married him to against his will. Furthermore, he learns Rizel is no ordinary girl; she is a biochemically engineered human, and her creators (her ""papa""s, as they are often referred to) promise to waive multiple bills of Iwaki's parents in exchange to be allowed to stay at their house, and thus Iwaki's life with Rizel begins.","['Adaptation (Manga) Rizelmine', '']",Rizelmine,,['School'],,,,,
45,ぴたテン,Pita-Ten,,['TV'],26,Finished Airing,"Apr 7, 2002 to Sep 29, 2002",['Spring 2002'],Sundays at 09:30 (JST),['Broccoli'],['Nozomi Entertainment'],['Madhouse'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,G - All Ages,6.92,#4752,#4681,"25,091",89,11140,"Kotarou was pretty much supposed to be your average boy, worried about the pressures of education while enjoying a simple life with his friends. Much to his despair, he one day finds the overly cheerful Misha at his door, asking to be friends out of nowhere. Even more shocking is that Misha is an apprentice angel, yet she does more bad then good. Along with Kotarou's school friends Takashi and Koboshi and the so called devil Shia (once again being able to do more good then bad), the group of friends spend their days getting into all sorts of adventures and troubles.","['Adaptation (Manga) Pita-Ten', 'Adaptation (Light Novel) Pita-Ten']",Pita Ten,Pitaten,['School'],['Shounen'],Pita-Ten,,Pita-Ten,
46,わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,Mirmo!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",['School'],['Shoujo'],,,,
47,こちら葛飾区亀有公園前派出所 (1996),,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",,['Shounen'],Kochikame,['Comedy'],,
