,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
156,トゥー,,['OVA'],2,Finished Airing,"Oct 2, 2009",,,"None found,",['Funimation'],['Oxybot'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",['Seinen'],43 min. per ep.,PG-13 - Teens 13 or older,6.32,#8128,#8362,"5,920",4,2204,"Elliptical Orbit: Fifteen years after its last contact with our world, a space freighter known as the Flying Dutchman requests permission to dock at a remote moon base. This mysterious ship carries liquid protons: a power source essential to the survival of Earth’s population. But before the precious cargo can be delivered, the base is ambushed by galactic terrorists who seek to destroy the new form of energy and issue a death sentence to all of humanity. Symbiotic Planet: Against a backdrop of intergalactic colonization and bizarre alien life forms, Aon and Elena – star-crossed lovers from rival countries competing for valuable natural resources – struggle to build a life together despite the objections of their superiors. Their budding romance is thwarted by an outbreak of alien fungus and the interference of a cutthroat militaristic madman. To survive, the young couple must maintain their faith in each other and learn to trust the unique creatures which inhabit this strange and wondrous new world. (Source: Funimation)","['Adaptation (Manga) 2001-ya Monogatari', '']",TO,"2001 Ya Monogatari, Tooo, To - A Space Fantasy, T.O. 2001 Nights, Elliptical Orbit, Symbiotic Planet",,,['Space'],,,,
157,爆乳BOMB,,['OVA'],3,Finished Airing,"Oct 9, 2009 to Dec 15, 2009",,,['ChiChinoya'],"None found,",['Studio Ten Carat'],Original,,,17 min. per ep.,Rx - Hentai,6.12,N/A,#8457,"5,786",21,2099,A nurse that takes the job one step further by making her patients happy with special treatement. A housewive who is decieved by one of her neighboors to sign an unpayable debt and then she falls in the hand of the yakuza who make her perform as a sex toy. And a female teacher that can't hold her desires any longer and get herself some pleasure in the school bath but she was caught by some students and now she's the most popular sex dump of the town. (Source: ANN),[],Bakunyuu Bomb,Exploding Tits BOMB,,,,,,['Hentai'],
158,好きです鈴木くん!!,,['OVA'],2,Finished Airing,"Dec 18, 2009 to Jul 26, 2010",,,"None found,","None found,","None found,",['Manga'],,,15 min. per ep.,PG-13 - Teens 13 or older,5.92,#10329,#8590,"5,568",9,2631,"The story of the manga centers on four classmates who just entered the same junior high school together. On the first day of school, a boy named Hikaru Suzuki sees a talented girl named Sayaka performing lines from a drama on the school's rooftop, and he cannot take his eyes off her. Even as Hikaru becomes interested in Sayaka, his longtime friend Chihiro secretly pines for him. On top of that, a boy named Shinobu Suzuki — no relation to Hikaru — is falling for Chihiro. (Source: ANN)","['Adaptation (Manga) Suki desu Suzuki-kun!!', '']",Suki desu Suzuki-kun!!,"I Love You, Suzuki-kun!!, I Like You, Suzuki-kun!!",,,,,,['Romance'],
159,ワルキューレ調教・ザーメンタンクの戦乙女10人姉妹,,['OVA'],2,Finished Airing,"Dec 21, 2009 to Mar 26, 2010",,,"None found,","None found,",['PoRO'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.34,N/A,#8598,"5,554",7,2019,"Based on erotic game by MBS Truth. The Valkyrie are charged with maintaining peace between the realm of gods, the realm of humans and the realm of the dead. The peace has started to breakdown and one of the Valkyrie has been possessed by a vengeful force. (Source: ANN)","['Adaptation (Light Novel) Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai: Seishi wo Hossuru Megami no Shikyuu', '']",Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,,,,,,,['Hentai'],
160,狂った教頭 断罪の学園,,['OVA'],1,Finished Airing,"Dec 25, 2009",,,"None found,","None found,",['Studio 9 Maiami'],Visual novel,,,27 min.,Rx - Hentai,5.30,N/A,#10626,"2,934",1,918,"The story about a school where all teaching staff - sexual maniacs. Coming to power, demure-teacher succumbed to the temptations of all at once. ""We too are fossilized in its traditional"" - he said the teachers. It appeared in the Tokyo School of debauchery, lust and sex.",[],Kurutta Kyoutou: Danzai no Gakuen,,,,['School'],,,['Hentai'],
161,ときめきメモリアル4 ORIGINAL ANIMATION -始まりのファインダー,,['OVA'],1,Finished Airing,"Dec 3, 2009",,,"None found,","None found,",['Asahi Production'],Visual novel,,,35 min.,PG-13 - Teens 13 or older,6.03,#9782,#11285,"2,416",1,770,OVA added to new PSP game Tokimeki Memorial 4.,[],Tokimeki Memorial 4 OVA,Tokimeki Memorial 4 Original Animation -Hajimari no Finder-,,,['Harem'],,,,
162,けものとチャット,,['OVA'],1,Finished Airing,"Oct 23, 2009",,,['Usagi Ou'],"None found,",['Indeprox'],['4-koma manga'],,,28 min.,PG-13 - Teens 13 or older,5.94,#10219,#11531,"2,242",0,924,"Chacha Kenomoto wants nothing more than to be an ordinary high schooler, but she is hiding a secret—she can speak to cats. Often crass and rude, the cats around the neighborhood enjoy disrupting Chacha's day by following her everywhere she goes. While Chacha struggles to dodge the community cats' never-ending antics, her best friend Mito Azuma struggles to understand why Chacha believes her gift is more of a curse. [Written by MAL Rewrite]","['Adaptation (Manga) Kemono to Chat', '']",Kemono to Chat,"Kemocha, Chatting with Creatures",,,,,,['Comedy'],
163,少女ファイト 野良犬たちのおでかけ,,['OVA'],1,Finished Airing,"Oct 23, 2009",,,"None found,","None found,",['Production I.G'],['Manga'],"['Comedy', 'Sports']",['Seinen'],29 min.,PG-13 - Teens 13 or older,5.84,#10703,#14114,"1,046",1,125,"The story follows Neri Ooishi, a high school girl who is a talented volleyball player. She once was the captain of an elementary school team that went all the way to the national tournament. However, she spent three years as an alternate at a junior high school renowned for its volleyball program. Now she is in high school with new teammates, and she gets a chance to prove herself again. The sixth manga volume will have a ""special edition"" that will ship with the anime DVD on October 23. Nihonbashi herself is writing the script for the anime, and Prodution I.G is animating it.","['Adaptation (Manga) Shoujo Fight', '']",Shoujo Fight: Norainu-tachi no Odekake,"Girls Fight, Shoujo Fight: Nora Inu-tachi no Odekake",,,,,"['School', 'Team Sports']",,
164,滋賀ッツマン,Shigutsman,['OVA'],1,Finished Airing,"Nov 8, 2009",,,"None found,","None found,","None found,",Original,,['Kids'],2 hr. 3 min.,G - All Ages,[],#14216,#21487,205,0,,"A Shiga prefecture promotional anime. It stars a superhero named Shigutsman, a portmanteau of ""shiga"" prefecture, ""guts,"" and ""man"" who lives in Shiga prefecture with other superheroes. Because there is so much peace, the superheroes don't have much to do besides go to community center meetings.",[],Shigutsman,"Shiga ttsu Man, Shigattsuman",,,['Super Power'],,,,
165,ワンピース　フィルム　ストロングワールド,One Piece Film: Strong World,['Movie'],1,Finished Airing,"Dec 12, 2009",,,"None found,",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],1 hr. 55 min.,PG-13 - Teens 13 or older,8.05,#600,#976,"266,431",481,165902,"Upon hearing news that islands in East Blue are being destroyed, Monkey D. Luffy and his crew go to investigate. On their way, however, an outlandish pirate ship appears out of the sky, helmed by the infamous pirate Shiki ""the Golden Lion""—a man who ate the Float-Float Fruit and the first ever prisoner to escape from Impel Down. In his quest to defeat the World Government, Shiki kidnaps Nami to be his own navigator and sends the rest of the Straw Hat Pirates to his floating islands as hostages, leaving her in a dilemma. Separated in a land under Shiki's absolute control, Luffy and his crew must survive the mystifying terrain in order to bring back their navigator and friend. [Written by MAL Rewrite]","['Prequel (OVA) One Piece Film: Strong World Episode 0', '']",One Piece Film: Strong World,One Piece Movie 10,One Piece Película 10: Strong World,One Piece Film 10: Strong World,,One Piece Film 10: Strong World,,,
166,東のエデン 劇場版I The King of Eden,Eden of The East the Movie I: The King of Eden,['Movie'],1,Finished Airing,"Nov 28, 2009",,,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Fonishia']",['Funimation'],['Production I.G'],Original,"['Mystery', 'Romance', 'Sci-Fi', 'Suspense']",,1 hr. 22 min.,PG-13 - Teens 13 or older,7.53,#1843,#1452,"174,471",142,100004,"After preventing Japan's destruction, Akira Takizawa made one final request to become the ""King of Japan,"" before he erased his memories once again and disappeared. Leaving Saki Morimi with his cellphone, the only clue she has in regards to Akira's whereabouts is the message, ""I'll be waiting where our journey started."" Six months later, rumors have spread about Akira, and Saki's search leads her to New York City. However, Saki is not the only person who goes to investigate—with several billion yen burning a hole in their pockets and a challenge to ""save Japan,"" the remaining Seleção are not far behind. Some are willing to help Akira achieve his goals, but a few are making dangerous moves in order to eliminate him and achieve their own picture of a better Japan. With rising stakes and new revelations, the game is still on. [Written by MAL Rewrite]","['Prequel (TV) Higashi no Eden', 'Prequel (Movie) Higashi no Eden: Air Communication', 'Sequel (Movie) Higashi no Eden Movie II: Paradise Lost', 'Adaptation (Light Novel) Shousetsu Higashi no Eden Gekijouban']",Higashi no Eden Movie I: The King of Eden,Higashi no Eden: Gekijouban I The King of Eden,,Eden of the East: The King of Eden,,Eden of the East: Der König von Eden,"['Adult Cast', 'Psychological']",,
167,いばらの王,King of Thorn,['Movie'],1,Finished Airing,"Oct 9, 2009",,,"['TV Tokyo', 'Bandai Visual', 'Dentsu', 'Kadokawa Pictures Japan', 'Enterbrain', 'Sony PCL']",['Funimation'],['Sunrise'],['Manga'],"['Action', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",['Seinen'],1 hr. 49 min.,R+ - Mild Nudity,6.86,#5044,#2574,"79,010",174,36890,"""Medusa,"" a deadly virus becomes a worldwide epidemic. In order to escape from this deadly virus, a handful of people are chosen to be put into a cold sleep, laying in a capsule hoping for the future cure. Kasumi, a teenage girl is one of the 160 chosen for this procedure, and is guided to a Cold Sleep Capsule Center (CSCC) inside an ancient castle. Understanding that it is hardly possible, Kasumi goes to sleep still anticipating for a reunion with her twin sister Shizuku, who also is infected with the virus. As Kasumi and the others awake, they notice that the CSCC is not as they remembered. Just like the story of ""Sleeping Beauty,"" the castle is covered with thorn, and the awaken are attacked by unknown creatures and monsters! How long were they asleep? Where did the monsters come from? What has happened to the world? Abandoned in the midst of an enigma, the escapade of the seven survivors begins... (Source: kingofthorn.net)","['Adaptation (Manga) Ibara no Ou', '']",Ibara no Ou,Ibara no Oh,El Rey Espino: King of Thron,Le Roi des Ronces,,King of Thorn,"['Gore', 'Psychological', 'Survival']",,
168,テイルズ オブ ヴェスペリア,Tales of Vesperia ~The First Strike~,['Movie'],1,Finished Airing,"Oct 3, 2009",,,"['Bandai Visual', 'Fonishia']",['Funimation'],['Production I.G'],Game,"['Action', 'Adventure', 'Fantasy']",,1 hr. 50 min.,PG-13 - Teens 13 or older,7.55,#1751,#3320,"50,259",140,22657,"Ten years after the Great War against the demon-beasts, the empire rules over the world and prosperity relies on the massive use of aer. Yuri Lowell and Flynn Scifo are two young men who have just enrolled the ranks of the prestigious Imperial Knights. One day, they are sent to the town of Ceazontania, where abnormal aer activity has reportedly caused the proliferation of horribly mutated beasts, with serious threat for the whole region. Meanwhile, the Knights Supreme Commander Alexei Denoia and the naive Princess Estellise are involved in a behind-the-curtains struggle for power in the capital. The situation in Ceazontania deteriorates as the garrison of Imperial Knights finds that they cannot expect any immediate support from the capital. Then, Niren Fedrok, commander of the Imperial Knights in Ceazontania, takes an unexpected decision that is going to change Yuri and Flynn's destiny forever. What are the secrets behind the extraordinary events that are happening around Yuri and Flynn? Will they be able to defend the innocent people of Ceazontania and stay true to their beliefs? (Source: Funimation)","['Adaptation (Manga) Tales of Vesperia', '']",Tales of Vesperia: The First Strike,,,,['Military'],,,,
169,劇場版 マクロスＦ 虚空歌姫 ～イツワリノウタヒメ～,Macross Frontier: The False Songstress,['Movie'],1,Finished Airing,"Nov 21, 2009",,,"['Bandai Visual', 'Big West', 'KlockWorx', 'Bandai Namco Games']","None found,","['Satelight', '8bit']",Original,"['Action', 'Romance', 'Sci-Fi']",,1 hr. 59 min.,PG-13 - Teens 13 or older,7.78,#1086,#4174,"32,156",56,16525,"Half retelling of the original Frontier series, half new story. Conspiracies arise within the Frontier government when Sheryl Nome arrives to the colonial fleet for her concert and is soon marked as a spy for Galaxy while childhood friends, Alto Saotome and Ranka Lee both try to achieve their dreams as the battle between Frontier and the Vajra draws closer. This movie serves as part one of the Frontier retelling and will conclude with the second, The Wings of Goodbye.","['Sequel (Movie) Macross F Movie 2: Sayonara no Tsubasa', '']",Macross F Movie 1: Itsuwari no Utahime,"Macross Frontier the Movie, Gekijouban Macross F: Itsuwari no Utahime",,,,,"['Mecha', 'Military', 'Music', 'Space']",,
170,レイトン教授と永遠の歌姫,Professor Layton and the Eternal Diva,['Movie'],1,Finished Airing,"Dec 19, 2009",,,"None found,","['VIZ Media', 'Discotek Media']","['OLM', 'P.A. Works']",Game,"['Adventure', 'Mystery']",,1 hr. 39 min.,PG - Children,7.63,#1467,#4288,"30,326",188,16661,"Professor Hershel Layton—renowned archaeologist, puzzle-solver, and extraordinary gentleman—and his young aspiring apprentice Luke Triton receive a mysterious letter from his former student Janice Quatlane containing tickets to an opera at the Crown Petone. They soon discover that it is no ordinary opera, but rather a devious game for the legendary Fountain of Youth—the giver of eternal life. However, this only scratches the surface of an unfolding mystery that the pair must solve together in order to survive. Despite being faced with complex puzzles and fervent competition, Professor Layton and his trusted assistant Luke never forget to uphold the standards of true gentlemen... And a true gentleman never leaves a puzzle unsolved. [Written by MAL Rewrite]",[],Layton Kyouju to Eien no Utahime,"Professor Layton and the Eternal Songstress, Professor Layton: The First Movie",El Profesor Layton y la Diva Eterna,Professeur Layton et la Diva Éternelle,,Professor Layton and the Eternal Diva,,,
171,テイルエンダーズ,,['Movie'],1,Finished Airing,"Oct 16, 2009",,,"None found,","None found,",['Picograph'],Original,"['Action', 'Adventure', 'Sci-Fi']",,27 min.,PG-13 - Teens 13 or older,6.69,#5981,#5072,"20,753",33,9689,"Tomoe Shiro, a formidable racer with a very promising career, experiments a U-turn when a serious accident puts his life at stake. He recovers miraculously though when his heart is replaced with the engine of his own racing car. However, because of that very reason, race regulations demote him to the category of a mere mechanical part of the vehicle and is deprived from the right to participate as a pilot in regular races. Only in a far away colonial planet, along with a multitude of other charismatic pilots also vetoed from participating in regular competitions, will he be given the opportunity to race for his pride and the money of the prize. And so this exciting rally starts!! (Source: Official website)",[],Tailenders,,,,['Racing'],,,,
172,人間失格 ディレクターズカット版,,['Movie'],1,Finished Airing,"Dec 12, 2009",,,"None found,","None found,",['Madhouse'],Novel,,,1 hr. 29 min.,R - 17+ (violence & profanity),7.49,#2014,#6332,"11,645",47,2404,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ningen Shikkaku: Director's Cut-ban,"Aoi Bungaku Movie, No Longer Human Movie Recap",,,,,"['Historical', 'Psychological']",['Drama'],
173,仏陀再誕,The Rebirth of Buddha,['Movie'],1,Finished Airing,"Oct 17, 2009",,,"None found,","None found,",['Group TAC'],Book,"['Romance', 'Supernatural']",,1 hr. 54 min.,PG-13 - Teens 13 or older,5.88,#10515,#7653,"7,335",8,3239,"17-year-old Sayako Amanokawa aspires to become a journalist, just like Kanemoto, an elite newspaper writer she looks up to. But Kanemoto, shamed from an erroneous report about a corruption scandal, jumps in front of a train and commits suicide. Since that incident, Sayako suddenly becomes able to see spirits and almost loses her life. However, from that near-fatal incident she experiences something extraordinary. The journalist inside her stirred, she embarks to find out about the truth. But the forces that stand in her way turn out to be much more formidable than she ever imagined. (Source: ANN)",[],Buddha Saitan,Happy Science Movie 5,,,['Psychological'],,,,
174,映画 フレッシュプリキュア！おもちゃの国は秘密がいっぱい！？,,['Movie'],1,Finished Airing,"Oct 31, 2009",,,"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",,1 hr. 10 min.,G - All Ages,6.70,#5916,#8459,"5,781",1,2640,"After resolving the problems in the Labyrinth Kingdom, Love Momozono and her friends live a happy life and continue their dance training. Suddenly, the town children's toys start to go missing and the girls agree to help find them. Love Momozono's stuffed rabbit then comes to life and tells the Cures that the Toymajin is responsible. The Fresh Pretty Cure cast then travel to the Kingdom of Toys to save the day! (Source: bakabt)",[],Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,Fresh Pretty Cure! Movie: The Kingdom of Toys has Lots of Secrets!?,,,['Mahou Shoujo'],,,,
175,宇宙戦艦ヤマト 復活篇,,['Movie'],1,Finished Airing,"Dec 12, 2009",,,['TOHO'],"None found,","None found,",Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,2 hr. 15 min.,PG-13 - Teens 13 or older,6.95,#4583,#8916,"5,037",7,1895,"A crisis is approaching Earth with the expansion of a moving black hole, in the year 2220. A plan is devised to move over 300-million people from Earth. When the latest transportation fleet is attacked, Space Battleship Yamato comes to its defense, the ship is now commanded by Susumu Kodai, also aboard is daughter Miyuki, child of Susumu and Yuki. (Source: FUNimation)","['Prequel (Movie) Uchuu Senkan Yamato: Kanketsu-hen', '']",Uchuu Senkan Yamato: Fukkatsu-hen,"Space Battleship Yamato: Rebirth Chapter, Space Battleship Yamato Resurrection, Space Battleship Yamato: Revival",,,,,"['Adult Cast', 'Military', 'Space']",,
176,JAA meets 横浜,,['Movie'],1,Finished Airing,"Oct 16, 2009",,,['Takun Manga Box'],"None found,","None found,",Original,"['Avant Garde', 'Comedy']",,20 min.,G - All Ages,4.17,#13748,#15214,762,0,396,An anthology work produced by the Japan Animation Association for their Into Animation 5 festival held at the Yokohama Red Brick Warehouse.,[],JAA Meets Yokohama,"Akai Kutsu! Onnanoko!, Into Animation 5",,,,,,,
177,こまねこ のクリスマス　―迷子になったプレゼント―,A Komaneko Christmas: The Lost Present,['Movie'],1,Finished Airing,"Nov 7, 2009",,,"None found,","None found,",['dwarf'],Unknown,"['Comedy', 'Fantasy']",,19 min.,G - All Ages,6.18,#8937,#15961,631,0,248,"Komaneko is a female kitten who lives with her grandfather in their mountain home, where Komaneko loves to make handicraft. Komaneko is looking forward to Christmas when she can see her papa and mama, and an early present arrives at her home. The present is a cute doll, but included with the doll is a letter, ""We can't be home for Christmas."" Despondent but determined, Komaneko and her friend, Rajiboo set off on an adventure together. (Source: ANN)",[],Komaneko no Christmas: Maigo ni Natta Present,,,,,,,,
178,Peeping Life劇場オリジナル版,,['Movie'],5,Finished Airing,"Dec 1, 2009 to Feb 5, 2010",,,['CoMix Wave Films'],"None found,","None found,",Original,"['Comedy', 'Slice of Life']",,1 min. per ep.,PG - Children,5.34,#12583,#16098,614,0,183,The Peeping Life comedy anime series spawned five shorts for Japanese theaters. Each of the five shorts was running on the lobby monitors in T-Joy's theater chain for two weeks before being replaced by the next short. In Tokyo's Shinjuku Wald 9 cinema complex the shorts were run on the complex's actual theater screens. They were then included in the Peeping Life: The Perfect Emotion's DVD release.,[],Peeping Life: Gekijou Original-ban,"Peeping Life Gekijou Original Han, Peeping Life Gekijou Original Ban, Peeping Life: Gekijou Original Han",,,,,,,
179,오디션,,['Movie'],1,Finished Airing,"Dec 21, 2009",,,"None found,","None found,","None found,",['Manga'],,,1 hr. 36 min.,PG-13 - Teens 13 or older,[],#16686,#17812,435,0,,"A cartoon by CHUN Gye-young, which was one of the most popular cartoons in the late 1990’s, is made into an animation after 8 years of work. The film’s leading characters, with appearances typical for girls’ cartoons, are already popular as various licensed products. Four musical prodigies, who never had a chance to get a music education, meet in a band called ‘Recycled Band’. In the band, they open their minds to each other and follow their dreams in music. (Source: Hancinema.net)","['Adaptation (Manhwa) Audition', '']",Audition,O-di-syeon,,,['Music'],,,,
180,きかんしゃやえもん,,['Movie'],1,Finished Airing,"Oct 3, 2009",,,"None found,","None found,",['Toei Animation'],Unknown,,['Kids'],31 min.,None,[],#19424,#18470,384,0,,"Animated 3D movie based on a bestseller picture book by Agawa Hiroyuki, illustrated by Okabe Fuyuhiko and published in 1959 by Iwanami Shoten Publishing.",[],Kikansha Yaemon,,,,,,,['Fantasy'],
181,로망은 없다,What Is Not Romance?,['Movie'],1,Finished Airing,"Dec 10, 2009",,,['Korean Academy of Film Arts'],"None found,","None found,",Original,,,1 hr. 6 min.,PG-13 - Teens 13 or older,[],#21423,#18749,364,0,,"Hwang Soon-bok is a father of four who isn’t gifted with great looks. He likes to make plans on family occasions which, in most cases, end in disaster. His wife, Koh Young-sook, is a nice-looking lady with bit of a temper. And, there are three daughters and a son who got their looks and personalities from both parents. The family is sitting around a table eating late-night delivery food on the night of the parents’ wedding anniversary. The kids want to hear about how they got married and father and mother each tell their different versions of the story. (Source: Korean Film Biz Zone)",[],Romangeun Eobsda,Ro-mang-eun Eobs-da,,,,,,['Drama'],
182,李獻計歷險記,Lee's Adventures,['Movie'],1,Finished Airing,"Dec 5, 2009",,,"None found,","None found,","None found,",Original,,,20 min.,R - 17+ (violence & profanity),[],#19802,#23139,133,0,,A video game nerd must beat through the game in order to time travel and meet his ex-girlfriend once more before they were apart. (Source: IMDb),[],Li Xianji Lixian Ji,,,,['Adult Cast'],,,['Adventure'],
183,球道,Fair Ways,['Movie'],1,Finished Airing,"Oct 29, 2009",,,"None found,","None found,","None found,",Original,"['Drama', 'Fantasy', 'Sports']",,1 hr. 20 min.,PG-13 - Teens 13 or older,[],#21303,#23661,120,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Qiudao,,,,,,,,
184,神兵小将：电影版,,['Movie'],1,Finished Airing,"Oct 1, 2009",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Fantasy']",['Kids'],1 hr. 25 min.,PG - Children,[],#14099,#24664,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shen Bing Xiaojiang Movie,,,,,,,,
185,太阳使者,,['Movie'],1,Finished Airing,"Oct 20, 2009",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,1 hr. 20 min.,PG-13 - Teens 13 or older,[],#14705,#25133,94,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taiyang Shizhe,,,,,,,,
186,鋼の錬金術師,Fullmetal Alchemist: Brotherhood OVA Collection,['Special'],4,Finished Airing,"Aug 26, 2009 to Aug 25, 2010",,,"['Aniplex', 'Square Enix']","['Funimation', 'Aniplex of America']",['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Shounen'],15 min. per ep.,PG-13 - Teens 13 or older,8.00,#669,#1539,"163,708",202,77259,"Amazing secrets and startling facts are exposed for the first time in the Fullmetal Alchemist: Brotherhood OVA Collection, a new assortment of stories set in never-before-seen corners of the FMA universe. Join Ed and Al as they chase rumors of successful human transmutation into a web of shocking family drama and lies. Sneak a glance at hidden sides of Winry and Hawkeye's personalities. Survive the frigid north with a young Izumi Curtis as she fights to gain a deeper understanding of alchemy. Explore the legendary friendship shared by Mustang and Hughes and watch them grow from military school rivals into hardened brothers transformed by the horrors of the Ishvalan War. You thought you knew the whole story. You thought all the tales were told. The Fullmetal Alchemist: Brotherhood OVA Collection offers proof: You were wrong. (Source: FUNimation)","['Adaptation (Manga) Fullmetal Alchemist 20th Anniversary Book', 'Adaptation (Manga) Fullmetal Alchemist Chronicle']",Fullmetal Alchemist: Brotherhood Specials,"Moumoku no Renkinjutsushi, The Blind Alchemist, Shinpuru na Hitobito, Simple People, The Tale of Teacher, Tales of the Master, Yet Another Man's Battlefield, FMA",,Fullmetal Alchemist: Brotherhood OAV Collection,['Military'],Fullmetal Alchemist: Brootherhood OVA Collection,,,
187,ブラック・ラグーン オマケ,,['Special'],7,Finished Airing,"Dec 23, 2009 to Mar 25, 2010",,,"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions', 'Geneon Entertainment USA']",['Funimation'],['Madhouse'],['Manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,6.76,#5550,#2839,"66,762",96,33625,"Special omake episodes from the Blu-Ray releases, showing the heroines and foes in funny, uncommon situations.","['Adaptation (Manga) Black Lagoon', '']",Black Lagoon Omake,,,,,,,['Comedy'],
188,狼と香辛料II ホロのショートアニメ,Spice and Wolf II Specials,['Special'],2,Finished Airing,"Oct 7, 2009 to Nov 4, 2009",,,"['Movic', 'Kadokawa Pictures Japan']",['Funimation'],"[""Brain's Base"", 'Marvy Jack']",['Light novel'],,,3 min. per ep.,PG-13 - Teens 13 or older,7.05,#4150,#2938,"63,100",150,29925,Extra short anime featuring Holo from BD volumes 1 and 2.,[],Ookami to Koushinryou II: Holo no Short Anime,"Ookami to Koushinryou 2 Specials, Spice and Wolf 2 Specials",,,['Adult Cast'],,,['Supernatural'],
189,ナルト サ・クロスローズ,,['Special'],1,Finished Airing,"Oct 12, 2009",,,"None found,","None found,",['Pierrot'],Original,"['Action', 'Fantasy']",['Shounen'],27 min.,PG-13 - Teens 13 or older,6.78,#5447,#3133,"55,508",36,25344,"The operation to find a missing person goes awry when Kakashi Hatake falls victim to a suspicious trap and gets separated from his students Naruto Uzumaki, Sasuke Uchiha, and Sakura Haruno. To make matters worse, the trio is ambushed by mysterious ninjas who capture Sakura, prompting Naruto and Sasuke to give chase. As the two boys engage in a dangerous battle, not even Sasuke's troubling discovery about the mission can deter them from their endeavor to reunite the team and accomplish their task. [Written by MAL Rewrite]",[],Naruto: The Cross Roads,Naruto's 10th Anniversary,,,,,,,
190,灼眼のシャナたん,,['Special'],4,Finished Airing,"Oct 23, 2009 to Sep 29, 2010",,,"None found,",['Funimation'],['J.C.Staff'],['Light novel'],,,5 min. per ep.,PG-13 - Teens 13 or older,6.85,#5083,#4732,"24,320",3,10877,Shana-tan specials bundled with the Shakugan no Shana S Blu-ray and DVD. Episodes #1: Shakugan no Shana-tan G #2: Shakugan no Shana-tan 2dos #3: Shakugan no Shana-tan 3tri #4: Shakugan no Shana-tan FRONTIER,"['Prequel (Special) Shakugan no Shana-tan II (Second)', 'Sequel (Special) Shakugan no Shana-tan III (Final): Final Destruction']",Shakugan no Shana-tan S,"Shakugan no Shana-tan G, Shakugan no Shana-tan Dos, Shakugan no Shana-tan Tri, Shakugan no Shana-tan Frontier",,,['Parody'],,,['Comedy'],
191,かのこん ～真夏の大謝肉祭～,Kanokon: The Great Midsummer Carnival Specials,['Special'],2,Finished Airing,"Nov 25, 2009 to Dec 22, 2009",,,"None found,","None found,",['Xebec'],['Light novel'],,,3 min. per ep.,R+ - Mild Nudity,6.47,#7278,#5117,"20,266",14,7746,DVD/BD specials featuring more excessive fan-service than the OVA.,[],Kanokon: Manatsu no Dai Shanikusai Specials,"Kanokon R Specials, Kanokon OVA Specials",,,,,,['Ecchi'],
192,ひだまりスケッチ×365,,['Special'],3,Finished Airing,"Mar 25, 2009 to Oct 25, 2009",,,['Lantis'],['Sentai Filmworks'],['Shaft'],['4-koma manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.72,#1250,#5297,"18,588",10,9540,Special episodes of Hidamari Sketch x 365.,"['Prequel (TV) Hidamari Sketch x 365', 'Sequel (TV) Hidamari Sketch x ☆☆☆', 'Adaptation (Manga) Hidamari Sketch', '']",Hidamari Sketch x 365 Specials,Hidamari Sketch x 365 EX,,,,,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",['Slice of Life'],
193,うみねこのなく頃に,Umineko: When They Cry Specials,['Special'],26,Finished Airing,"Oct 23, 2009 to Oct 24, 2010",,,['Frontier Works'],"None found,",['Studio Deen'],Visual novel,,,1 min. per ep.,PG-13 - Teens 13 or older,6.28,#8396,#5479,"16,947",20,5357,DVD and BD specials of Umineko no Naku Koro ni containing the parody dubbing by the original cast.,[],Umineko no Naku Koro ni Specials,"Uraneko, When They Cry 3 Specials",,,['Parody'],,,['Comedy'],
