,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Theme,French,Genre,Demographics
26,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,177","5,011",259893,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,,['Strategy Game'],Yu-Gi-Oh!,,
27,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,874","15,330",164355,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,['Detective'],,,
28,Ghost In The Shell S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,['TV'],26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",['Winter 2004'],Unknown,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network', 'Fonishia']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),8.51,#142,#1116,"233,647","3,213",106502,"Following the closure of the ""Laughing Man"" case, Section 9 is re-established by Japan's newly elected Prime Minister, Youko Kayabuki, to combat the persistent threat of cyber-terrorism. A group calling themselves ""The Individual Eleven"" has begun committing acts of terror across Japan. While Motoko Kusanagi, Daisuke Aramaki, Batou, and the other members of Section 9 investigate this new menace, the Japanese government faces a separate crisis, as foreign refugees displaced by the Third World War seek asylum in Japan. But as the members of the special-ops team continually encounter Gouda Kazundo—a leading member of the Cabinet Intelligence Service—in their hunt, they begin to suspect that he may be involved, and that the events of the refugee crisis and The Individual Eleven may be more connected than they realize... [Written by MAL Rewrite]","['Prequel (TV) Koukaku Kidoutai: Stand Alone Complex', 'Sequel (TV Special) Koukaku Kidoutai: Stand Alone Complex - Solid State Society']",Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,,Ghost in the Shell: Stand Alone Complex 2nd GIG,,
29,Initial D 4th Stage,頭文字〈イニシャル〉D FOURTH STAGE,,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",,['Seinen'],27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,556","1,382",112334,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D Read Manga', '']",Initial D Fourth Stage,,Initial D: Supera el Límite de Velocidad Temporada 4,['Racing'],Initial D 4ème-Etape,,
30,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,936",295,120794,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,Pokémon: Rubin und Saphir,Pokémon Advanced,,Pokémon Advance,,
31,"Heaven and Earth, Tenjo Tenge",天上天下,Tenjho Tenge,['TV'],24,Finished Airing,"Apr 2, 2004 to Sep 17, 2004",['Spring 2004'],Fridays at 02:42 (JST),['TV Asahi'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Action', 'Drama', 'Supernatural', 'Ecchi']","['Delinquents', 'Martial Arts', 'School', 'Super Power']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),6.86,#5016,#1317,"194,780",618,92389,"For some people, high school represents the opportunity for a fresh start. You can take new classes and make new friends. For Souichiro Nagi and Bob Makihara, though, high school means something different: the chance to become the top fighters in the entire student body! Too bad Toudou Academy is the hardest possible place to realize their dreams. Their new high school is no ordinary academic institution. Rather than concentrating on classic subjects like math and science, Toudou Academy was created for the sole purpose of reviving the martial arts in Japan! As a result, Souichiro's aspirations to become top dog are cut short when he runs afoul of Masataka Takayanagi and Maya Natsume. The two upperclassmen easily stop the freshmen duo's rampage across school, but rather than serving as a deterrent, it only stokes their competitive fire. What kind of monstrous fighters attend Toudou Academy? Are there any stronger than Masataka and Maya? And why in the world is Maya's younger sister stalking Souichiro? Learn the answers to these questions and more in Tenjou Tenge!","['Sequel (OVA) Tenjou Tenge: The Ultimate Fight', 'Adaptation (Manga) Tenjou Tenge']",Tenjou Tenge,Tenjo Tenge,Tenjho Tenge,,Tenjo Tenge,,
32,"TeniPuri, PoT",テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,921","3,041",86555,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,,,['School'],The Prince of Tennis,['Sports'],
33,,金色のガッシュベル!!,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1771,#1817,"132,183","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,['Mythology'],Zatch Bell!,,
34,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",今日からマ王！,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,['Shoujo'],25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,731","1,379",43045,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,,,['Isekai'],,,
35,"Aishiteru ze Baby, Love You Baby, Babe, My Love, I Love You, Baby",愛してるぜ ベイベ★★,,['TV'],26,Finished Airing,"Apr 3, 2004 to Oct 9, 2004",['Spring 2004'],Sundays at 19:00 (JST),"['Animax', 'Toei Video']","None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Drama', 'Romance']",,['Shoujo'],25 min. per ep.,PG-13 - Teens 13 or older,7.43,#2225,#2146,"105,466",554,54653,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride.","['Adaptation (Manga) Aishiteruze Baby★★', '']",Aishiteruze Baby★★,,,['Childcare'],Babe My Love,,
36,"Boboboobo Boobobo, Bo-Bobo, Boboboubo Boubobo",ボボボーボ・ボーボボ,Bobobo-bo Bo-bobo,['TV'],76,Finished Airing,"Nov 8, 2003 to Oct 15, 2005",['Fall 2003'],Unknown,"['Avex Entertainment', 'Dentsu', 'TV Asahi']","['Discotek Media', 'Illumitoon Entertainment']",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Parody']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.50,#1945,#2264,"97,756","1,147",40256,"In a futuristic world, the Maruhage Empire is a militant organization out to steal everyone's hair, and thus their freedom. But a brave man with an afro of gold and nose hairs of steel stands up against their tyranny. Bobobo-bo Bo-bobo, trained in the ways of hair, rescues a teenager named Beauty from the grunts of the Maruhage Empire. Together, they start on a journey to defeat Emperor Tsuru Tsurulina IV. As Bo-bobo meets new friends and battles foes along the way, so too does he begin his quest to save all the hairs of the world! Light-hearted and comical, Bobobo-bo Bo-bobo details a wacky adventure in which Bo-bobo and his companions fight all sorts of villains and deviants within the Maruhage Empire, all the while having a fun and exciting adventure. [Written by MAL Rewrite]","['Adaptation (Manga) Bobobo-bo Bo-bobo', '']",Bobobo-bo Bo-bobo,,,,,,
37,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1029,#2402,"88,085","1,330",42196,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,Shin Chan,['School'],,,
38,Sergeant Frog,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,352","1,283",35928,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,['Parody'],,,
39,Bakuretsu Tenshi,爆裂天使,Burst Angel,['TV'],24,Finished Airing,"Apr 7, 2004 to Sep 15, 2004",['Spring 2004'],Tuesdays at 02:12 (JST),"['GDH', 'TV Asahi', 'Imagica']",['Funimation'],['Gonzo'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.78,#5422,#2689,"73,631",239,32006,"In Japan's not-too-distant future, crime has become so common that the government has legalised firearms for citizens to use in self-defence. To combat this new wave of wrongdoing, the Recently Armed Police of Tokyo was established in hopes of hunting down criminals with lethal force. Kyohei Tachibana is a gifted culinary student who dreams of saving up enough money to become a pastry chef in France. When four young mercenaries ask him to be their cook, he's forced into making a tough choice. As Jo, Meg, Sei, and Amy take on the bloodiest jobs in the chaotic city of Tokyo, Kyohei accepts an imminent descent into the world of crime—and he'll do a lot more than just cooking!","['Prequel (OVA) Bakuretsu Tenshi: Infinity', ""Adaptation (Manga) Bakuretsu Tenshi: Angel's Adolescence""]",Bakuretsu Tenshi,Burst Angel,,['Mecha'],,,
40,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,025",669,39823,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,Doraemon,['Anthropomorphic'],,,"['Kids', 'Shounen']"
41,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,640",280,30614,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,Hamtaro,['Anthropomorphic'],Hamtaro,,
42,We Are Pretty Cure,ふたりはプリキュア,Pretty Cure,['TV'],49,Finished Airing,"Feb 1, 2004 to Jan 30, 2005",['Winter 2004'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Production', 'Asahi Broadcasting']",['4Kids Entertainment'],['Toei Animation'],Original,"['Action', 'Comedy']",,,24 min. per ep.,G - All Ages,7.10,#3899,#3135,"55,508",377,21126,"Middle school students Nagisa Misumi and Honoka Yukishiro are the epitome of dissimilarity. Popular with their classmates, Nagisa is the school's energetic star lacrosse player, while Honoka is the soft-spoken ""Queen of Intelligence."" As unrelated as they may seem, Nagisa and Honoka live double lives as the ""emissaries of light"": Cure Black and Cure White of Pretty Cure. With the assistance of two fairies, Mipple and Mepple, the girls fight against the Dotsuku Zone—an evil force that has invaded the Garden of Light. In order to prevent the Dotsuku Zone from taking over the Garden of Rainbows as well, the pair must work together to find seven Prism Stones and restore the Prism Hopish to drive out the vile forces. With strong foes standing in their way, Nagisa and Honoka learn to work together and harness their newfound powers in order to save the worlds from further ruin. [Written by MAL Rewrite]","['Sequel (TV) Futari wa Precure: Max Heart', 'Adaptation (Manga) Futari wa Precure']",Futari wa Precure,Pretty Cure,Pretty Cure,['Mahou Shoujo'],Pretty Cure,,
43,,RAGNARÖK THE ANIMATION,Ragnarok the Animation,['TV'],26,Finished Airing,"Apr 7, 2004 to Sep 29, 2004",['Spring 2004'],Wednesdays at 01:30 (JST),"['Gonzo', 'Frontier Works']",['Funimation'],['G&G Entertainment'],Game,"['Action', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7411,#3274,"51,218",129,24874,"A great evil is sweeping over the realm; an evil that the young swordsman Roan and his life-long companion, the acolyte Yufa, must face head on! For these two travel toward their destiny, from the highest towers to the depths of the underworld, through forest and desert alike. With an ever-growing cast of fellow heroes, fate will grasp these travelers by their very souls and propel the band of skilled adventurers towards a noble end. Or ignoble, if they don't watch their step! Monsters are afoot and the way rife with danger and magic, the path forward may be unclear... But where will is strong, there is a way! Lessons wait in the depths of darkness, and good must prevail. The journey starts now! (Source: FUNimation Entertainment)",[],Ragnarök The Animation,,,,Ragnarok The Animation,,
44,,マーメイドメロディーぴちぴちピッチピュア,,['TV'],39,Finished Airing,"Apr 3, 2004 to Dec 25, 2004",['Spring 2004'],Unknown,"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]","None found,","['Actas', 'Synergy Japan']",['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Mahou Shoujo', 'Music']",['Shoujo'],24 min. per ep.,PG - Children,7.22,#3280,#3410,"47,534",264,25231,"After the final battle against Gaito, Sara had given her life to remain with him. The sea world is now at peace, but only with six mermaid princesses. While Caren, Noel, and Coco have returned to their kingdoms, it should be time for Lucia, Hanon, and Rina to do the same. After all, Mitsuki Tarou is leaving for Germany, and Doumoto Kaito is heading to Hawaii. Lucia is devestated, and when things couldn't get any worse, Kaito is lost at sea! Worst of all, a strange angel named Michel has appeared, wanting the mermaids to join him. But on the lighter side, Sara's spirit tells Lucia of Sara's successor, a young mermaid named Seira. The mermaids are in for another adventure!","['Prequel (TV) Mermaid Melody Pichi Pichi Pitch', 'Adaptation (Manga) Pichi Pichi Pitch: Mermaid Melody']",Mermaid Melody Pichi Pichi Pitch Pure,,,,,,
45,,マドラックス,,['TV'],26,Finished Airing,"Apr 6, 2004 to Sep 28, 2004",['Spring 2004'],Tuesdays at 01:30 (JST),['Victor Entertainment'],['ADV Films'],['Bee Train'],Original,"['Drama', 'Mystery', 'Supernatural']","['Military', 'Psychological']",,24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4363,#3577,"43,940",157,14053,"In the country of Gazth-Sonika, civil war rages. There, a mercenary called Madlax plies her trade, with almost supernatural skill. In the seemingly peaceful country of Nafrece, Margaret Burton lives a tranquil life. As separate as their lives may seem, the two are connected by ties of mystery, and by a holy book that is also sought by the shadowy organisation, Enfant. As Margaret and Madlax follow the path of their destiny, they come ever closer to uncovering the truth - with no guarantee that it is a truth they can bear to learn. (Source: ANN)",[],Madlax,,,,,,
46,"Pokemon Housoukyoku, Shuukan Pokemon Housoukyoku, Pokemon Hoso, Pocket Monsters Housoukyoku",ポケットモンスター サイドストーリー,Pokémon Chronicles,['TV'],16,Finished Airing,"Dec 3, 2002 to Sep 28, 2004",['Winter 2003'],Tuesdays at 19:00 (JST),['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],20 min. per ep.,PG - Children,6.89,#4904,#4080,"33,852",15,16955,"While Satoshi continues on his quest to become the best, many others will experience their own unique journey through the Pokémon world—researchers, professors, Gym Leaders, Team Rocket members, Trainers, and even Pokémon. Some are familiar faces and others are strangers at first, but what they all have in common is a love of adventure—especially when it involves Pokémon! (Source: Official site)",[],Pokemon Side Stories,,Pokémon Chronicles,,Pokémon Chronicles,,
47,"Mahou Shoujo-tai Alice, Mahou Shoujotai, Magic-Girl Squad: Alice, Magical Girl Squad Arusu",魔法少女隊アルス,Tweeny Witches,['TV'],40,Finished Airing,"Apr 9, 2004 to Mar 4, 2005",['Spring 2004'],Fridays at 18:20 (JST),"['Sogo Vision', 'Tohokushinsha Film Corporation', 'Beyond C.']",['Media Blasters'],['Studio 4°C'],Original,"['Adventure', 'Comedy', 'Fantasy']",,,9 min. per ep.,PG-13 - Teens 13 or older,7.03,#4227,#4185,"31,972",89,7090,"Arusu believes in magic. With all her heart, she believes that magic is possible and that it can be used for good deeds and fun games. But suddenly, she finds herself transported into another world, ruled by a mysterious elite of witches—and these witches don't seem to be in it for the fun. They're hard at work capturing sprites, the native magical beings of the world, and forcing them into slavery. Once Arusu realizes that her new surroundings aren't just a dream, she sets out to change things. (Source: ANN)",[],Mahou Shoujo-tai Arusu,,,['Isekai'],,,
48,"Uninhabited Planet Survive, Survivants, Survive! - Uninhabited Planet, Uninhabited Planet SURVIVE, Uninhabited Planet Survival",無人惑星サヴァイヴ,,['TV'],52,Finished Airing,"Oct 16, 2003 to Oct 28, 2004",['Fall 2003'],Unknown,['NHK'],"None found,","['Madhouse', 'Telecom Animation Film']",Original,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Slice of Life']",,,25 min. per ep.,G - All Ages,7.72,#1235,#4204,"31,570",325,10908,"The story is set in the 22nd century where space travel, planet colonization and anti-gravity basketball are practically everyday things. Planet Earth has become uninhabitable, and therefore people live in colonies on the surrounding planets. On a school field trip, a mistake causes the protagonist, a young transfer student named Luna, her pet robot, and six of her classmates to be thrown through a gravity storm and crash land on a seemingly uninhabited planet. There, with Luna as their leader, the robot cat Chako, the lone wolf Kaoru, the spoiled rich boy Howard, the shy Sharla, the obedient Bell, the prideful musician Menori and the young genius Shingo must fight for their survival. But is the planet really uninhabited, or is there someone or something out there, waiting in the shadows? (Source: Wikipedia)",[],Mujin Wakusei Survive,,,,,,
