,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Genre,Theme,Themes,German,Demographics
70,お伽草子,Otogi Zoshi: The Legend of Magatama,['TV'],26,Finished Airing,"Jul 7, 2004 to Mar 30, 2005",['Summer 2004'],Unknown,"['VAP', 'Nippon Television Network']",['Media Blasters'],['Production I.G'],Original,"['Adventure', 'Drama', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4762,#5258,"18,914",48,4716,"The year is 972 A.D. in Kyoto, the capital of ancient Japan. Kyoto is becoming a corrupt and run-down city; selfish samurai and onmyoji, who care only about gaining political power are everywhere. To make matters worse the city is suffering from famine and widespread disease. Unable to ignore the condition of the city any longer, the Imperial Court decides to send Minamoto no Raiko, a famous samurai well-known for his archery skills, to recover a legendary gem said to hold mysterious power to save the world. However Raiko also falls ill to disease. Instead his youngest sister, Hikaru, decides secretely to make the journey in his place. Hikaru meets many people, and has many adventures while on her trip for the legendary gem. (Source: ANN)","['Adaptation (Manga) Otogizoushi', '']",Otogizoushi,,,Legend Of The Magatama,,['Historical'],,,
71,B-伝説(ビーレジェンド)! バトルビーダマン,Battle B-Daman,['TV'],52,Finished Airing,"Jan 5, 2004 to Dec 27, 2004",['Winter 2004'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights', 'Heewon Entertainment']",['Hasbro'],['Nippon Animation'],['Manga'],"['Adventure', 'Fantasy']",['Kids'],22 min. per ep.,PG - Children,6.31,#8218,#5822,"14,467",30,8063,"Upon the creation of marble launching machines known as B-Daman, people started to participate in the competitive sport B-DaBattles. However, B-Daman contain hidden powers which enhance marble shooting that can be misused for combative purposes. One night, a certain object residing behind the walls of a restaurant calls upon Yamato Daiwa—a boy raised by cats. Yamato has been having visions of the object which resembles a machine familiar to everyone. Little does he know, hidden behind the walls is not a mere machine, but the fate of the world. [Written by MAL Rewrite]","['Sequel (TV) B-Legend! Battle B-Daman Fire Spirits!', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman,"Bedaman, Battle B'Daman",,,,['Strategy Game'],,,
72,SDガンダムフォース,,['TV'],52,Finished Airing,"Jan 7, 2004 to Dec 29, 2004",['Winter 2004'],Wednesdays at 18:00 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Bandai Entertainment'],['Sunrise'],Original,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,5.40,#12435,#6770,"9,988",11,4763,"The land of Neotopia is attacked by the Dark Axis, evil invaders from another dimension who wish to conquer this land. Neotopia's answer: the secret Super Dimensional Guard and their defenders, the Gundam Force. Led by Captain Gundam, the Gundam Force and its team of Gundams with special abilities are aided by a boy named Shute as they stop at nothing to defend the land from the Dark Axis and to defeat them once and for all. (Source: ANN)",[],SD Gundam Force,Superior Defender Gundam Force,,,,['Mecha'],,,
73,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,812",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
74,アガサ・クリスティーの名探偵ポワロとマープル,Agatha Christie's Great Detectives Poirot and Marple,['TV'],39,Finished Airing,"Jul 4, 2004 to May 15, 2005",['Summer 2004'],Sundays at 19:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['OLM'],Novel,,,25 min. per ep.,G - All Ages,6.87,#4962,#7248,"8,474",26,2612,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.","['Adaptation (Manga) Agatha Christie no Meitantei Poirot to Marple', '']",Agatha Christie no Meitantei Poirot to Marple,,,,['Mystery'],['Historical'],,,
75,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,['Kids'],10 min.,G - All Ages,7.08,#4017,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",El Ninja Boy Rantaró,,['Comedy'],,,,
76,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,Chibi Maruko-chan,,['Comedy'],['School'],,,
77,トランスフォーマー スーパーリンク,Transformers Energon,['TV'],51,Finished Airing,"Jan 9, 2004 to Dec 24, 2004",['Winter 2004'],Fridays at 18:00 (JST),"None found,",['Hasbro'],['Actas'],Other,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9304,#8179,"6,246",16,3069,"It has been 10 years since the fateful battle with Unicron. Many of the Decepticons who fought in the battle against Unicron have joined forces with the Autobos to mine for Energon, an alternate energy source. But a new source of evil has a risen, Alpha Q who plans to steal the Energon from the Autobots with the help of Scorponok and the Terrorcons. This new evil is trying to revive Megatron and Unicron in order to rekindle the old flames of war. (Source: ANN)","['Prequel (TV) Chou Robot Seimeitai Transformers Micron Densetsu', 'Sequel (TV) Transformers Galaxy Force']",Transformers Superlink,,,Transformers Energon : La Bataille de L'Energon,,,"['Mecha', 'Space']",,
78,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8235,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,,
79,デュエル・マスターズ　チャージ,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",['Kids'],21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,905",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,,,,,,,,
80,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],24 min.,PG - Children,6.58,#6587,#9190,"4,612",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,,
81,かいけつゾロリ,Kaiketsu Zorori,['TV'],52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",['Winter 2004'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Unknown,"['Adventure', 'Comedy']",,24 min. per ep.,PG - Children,7.08,#4004,#9507,"4,143",45,1617,"Adapted from the popular storybooks of the same name by Yutaka Hara, Kaiketsu Zorori follows the adventures of a scheming fox named Zorori, who is determined to become the King of Mischief with his very own castle and beautiful bride. Although Zorori is notorious for his pranks and tricks, his conniving plots often backfire and end up helping his targets, and despite appearing to be villainous and immoral, he is actually caring and sentimental. Nevertheless, Zorori has the wits, intelligence, and dexterity to always find a solution out of the most hopeless of situations. Travelling with a pair of twin boar bandits, Ishishi and Noshishi, he continues on his journey to make his deceased mother proud.","['Sequel (TV) Majime ni Fumajime Kaiketsu Zorori', '']",Kaiketsu Zorori,,,Zorori - Le Magnifique,,,,,
82,スウィート・ヴァレリアン,,['TV'],18,Finished Airing,"Aug 1, 2004 to Dec 19, 2004",['Summer 2004'],Sundays at 07:00 (JST),['Aniplex'],"None found,",['Madhouse'],Original,"['Action', 'Comedy']",,3 min. per ep.,G - All Ages,5.82,#10848,#9669,"3,945",6,1213,"The Stress Team floats over the city, locating stressed out people and transforming them into monsters. To combat this, three girls reluctantly transform into the Sweet Valerians, bunny defenders of justice. (Source: ANN)","['Adaptation (Manga) Sweet Valerian', '']",Sweet Valerian,Sweet Valerians,,,,,,,
83,レジェンズ 甦る竜王伝説,Legendz: Tale of the Dragon Kings,['TV'],50,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"None found,","None found,",['Gallop'],Unknown,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,7.33,#2661,#9786,"3,810",48,1478,"When a crafty toy company ""Wiz"" also known in this show as Dark Wiz Company, finds crystals with the faint DNA of monsters known as ""Legendz"" are found and made into a battle game. A young boy named Shu receives one these crystals known as ""soul figures"" from his father after a baseball game. Legendz rapidly became popular and more and more children played it. Wiz employeys start to track down Shu for his special soul figure, for his soul figure can revive real legendz not just the little kiddy digital images! How will Shu fight his way to victory and claim this soul figure as his own? (Source: TV.com)","['Adaptation (Manga) Legendz', '']",Legendz: Yomigaeru Ryuuou Densetsu,,,,,,,,
84,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,085",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,,,
85,モンキー・パンチ　漫画活動大写真,,['TV'],12,Finished Airing,"Aug 1, 2004 to Jun 25, 2005",['Summer 2004'],Not scheduled once per week,['WOWOW'],"None found,",['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Ecchi']",['Seinen'],51 min. per ep.,R+ - Mild Nudity,6.79,#5370,#10744,"2,841",9,742,"It's an animated variety show featuring the works of Monkey Punch that aired on WOWOW with the episodes being 52 minutes long. 12 episodes were aired between July 31, 2004 to June 25, 2005 and received a DVD exclusive 15 minute long special called Crime Mate. (Source: Wikipedia, Lupin III Wiki)","['Adaptation (Manga) Color Girl', 'Adaptation (Manga) Dracula-kun', 'Adaptation (Manga) Up Up Balloon', 'Adaptation (Manga) Bakumatsu Yankee']",Monkey Punch: Manga Katsudou Daishashin,Mankatsu,,Monkey Punch: Mankatsu,,,"['Gag Humor', 'Parody']",,
86,Get Ride! アムドライバー,,['TV'],51,Finished Airing,"Apr 5, 2004 to Mar 28, 2005",['Spring 2004'],Mondays at 18:30 (JST),"['Nihon Ad Systems', 'Illumitoon Entertainment']","None found,",['Studio Deen'],Original,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.25,#8573,#10905,"2,704",5,716,"In the future, human beings are attacked by beings called the Bug-chine, which appeared a few years back. No normal human weapon can defeat the Bug-chine, but there is hope. It is the AMDrivers that will save the earth. They are solders using the latest ""AM Technology"". With overwhelming power, they will beat the Bug-chine one after another and become heroes, as well as capture the hearts of their fans. (Source: ANN)",[],Get Ride! AMDriver,AM Driver,,,,['Mecha'],,,
87,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",['Kids'],10 min.,G - All Ages,6.39,#7748,#11558,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,,
88,マシュマロ通信 <タイムス>,,['TV'],52,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Sundays at 09:30 (JST),"['Studio Comet', 'Seoul Movie']","None found,","None found,",['Manga'],,,24 min. per ep.,G - All Ages,6.68,#6001,#12326,"1,747",9,664,"The series focuses on 7 children and a sheep-like character. Together, they work together as a team and hang out together. They wear various fashion through the series. They also have different colored hair. Sandy, a girl who has a pet sheep-like character named Cloud and 6 other children, Jasmine, Lime, Basil, Clove, Nattsu, and Cinnamon, became friends, they become a news reporter team. Each episode has the children dressed in various clothes. (Source: ANN)","['Adaptation (Manga) Marshmellow Tsuushin', '']",The Marshmallow Times,"Mashumaro Taimusu, The Raspberry Times",,,['Slice of Life'],,,,
89,コロッケ！,Croket!,['TV'],104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005",['Spring 2003'],Mondays at 18:30 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],20 min. per ep.,G - All Ages,6.88,#4949,#12563,"1,618",4,614,"The ""Forbidden Treasure"" is an extraordinary artefact who can grant any wishes. The people seeking it are called the Bankers, and our hero, Corokke, is one of them.","['Adaptation (Manga) Croket!', '']",Croket!,"Croquette!, Corokke!",,,,,,,
90,モンキー ターン V,,['TV'],25,Finished Airing,"Jul 4, 2004 to Dec 19, 2004",['Summer 2004'],Sundays at 00:55 (JST),['TV Tokyo'],"None found,","['OLM', 'AIC']",['Manga'],"['Action', 'Drama']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7289,#13236,"1,326",2,481,Sequel to Monkey Turn.,"['Prequel (TV) Monkey Turn', 'Adaptation (Manga) Monkey Turn']",Monkey Turn V,,,,,['Racing'],,,
91,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],23 min. per ep.,G - All Ages,5.92,#10324,#13255,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,['Anthropomorphic'],,,
92,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12200,#13608,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
93,絶体絶命でんぢゃらすじーさん,,['TV'],51,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"['Shogakukan', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],,['Kids'],5 min. per ep.,PG - Children,5.76,#11136,#15426,718,2,148,"Grandpa Danger is a world where the great protector is Grandpa Danger! He's an expert at falling off of cliffs, dealing with a principal who suffers from a severe inferiority complex, and escaping the hidden dangers of sleep! He's a nonsensical, utterly disgusting, relentless prankster. Grandpa Danger's excessive phlegm and farts frustrate Grandson to hilarious extremes, and make you laugh until your stomach splits! (Source: AniDB)","['Prequel (TV) Zettai Zetsumei Dangerous Jiisan', 'Sequel (TV) Zettai Zetsumei Dangerous Jiisan (2005)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan', '']",Zettai Zetsumei Dangerous Jiisan (2004),Grandpa Danger,,,['Comedy'],,,,
94,ポストペットモモ便,,['TV'],24,Finished Airing,"Jul 4, 2004 to Jan 9, 2005",['Summer 2004'],Unknown,"None found,","None found,","None found,",Unknown,,['Kids'],3 min. per ep.,G - All Ages,5.30,#12712,#16271,588,0,184,"Momo and Komomo can deliver mail from anyone, to anyone. To anywhere in the world, the galaxy, or the universe. Under the sea, high up in the clouds, and around the corner. To the past, the present, or the future. They both work tirelessly to insure that the important letters of people are delivered, while Komomo also works hard to keep the ever distracted Momo on task. (Source: ANN)",[],PostPet Momobin,Post Pet Momobin,,,['Comedy'],,,,
95,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,['Kids'],2 min. per ep.,PG - Children,5.99,#9951,#16832,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,,['Comedy'],,,,
96,パンツぱんくろう,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",['Kids'],1 min. per ep.,G - All Ages,[],#20968,#19439,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,,,,,,,
97,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,['Kids'],11 min. per ep.,PG - Children,[],#18178,#23287,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,,,
98,검정 고무신 3기,,['TV'],26,Finished Airing,"Jun 16, 2004 to Jan 5, 2005",['Summer 2004'],Unknown,"None found,","None found,","None found,",['Manga'],,['Kids'],24 min. per ep.,PG - Children,[],#18182,#25462,90,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geomjeong-gomusin 2nd Season', 'Sequel (TV) Geomjeong-gomusin 4th Season']",Geomjeong-gomusin 3rd Season,,,,['Comedy'],,,,
99,大鱼海棠,,['ONA'],1,Finished Airing,"Dec 28, 2004",,,"None found,","None found,",['B&T'],Original,"['Adventure', 'Drama', 'Romance', 'Supernatural']",,7 min.,G - All Ages,5.91,#10371,#12712,"1,549",1,555,"In 2004, Liang Xuan produced a flash short film which was the prototype of the animated film Da Yu Hai Tang, which won the DIGIID Award of Intel 2004 China Digital Festival.",[],Da Yu Hai Tang,Big Fish & Begonia,,,,,,,
100,悪いのを倒せ!!サラリーマンマン,Salaryman Man,['ONA'],1,Finished Airing,Nov 2004,,,"None found,","None found,","None found,",Original,,,2 min.,PG - Children,5.07,#13147,#15176,773,2,427,"When the company president finds himself in a pinch, Salaryman Man is there to save the day!",[],Warui no wo Taose!! Salaryman Man,Defeat the Evil One!! Salaryman Man,,,['Comedy'],['Parody'],,,
101,Rattenjaeger,Ushigaer,['ONA'],1,Finished Airing,"Dec 30, 2004",,,"None found,","None found,","None found,",Original,,,8 min.,G - All Ages,6.00,#9940,#20052,283,0,112,"A short story depicting a fierce pursuit of a mouse, a dog, and a fully automatic pest control machine. (Source: YouTube description, translated)",[],Ushigaeru,Rattenjaeger,,,['Action'],,,,
102,トップをねらえ2！DIEBUSTER,Gunbuster 2,['OVA'],6,Finished Airing,"Oct 3, 2004 to Aug 25, 2006",,,['Bandai Visual'],"['Discotek Media', 'Bandai Visual USA']",['Gainax'],Original,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",,29 min. per ep.,R+ - Mild Nudity,7.59,#1631,#2522,"81,720",886,37744,"Generations have passed since the war with the Space Monsters started, and none remain who know how it began, with even records of those times being scarce. It is a lost cause, but humanity still fights against them, relying on the ""Topless"": a group of elite space pilots with special powers that allow them to use the Buster Machines—the last hope against the Space Monsters. Nono, a girl from a remote Martian town, has heard tales all her life of the legendary pilot ""Nono-Riri,"" and wants nothing more than to leave her humble life behind and follow in the footsteps of her idol. Though she has no idea of the dangers that lie ahead, nothing will stop her from achieving her dream. While Nono is down on her luck, she chances upon the lonesome Topless pilot Lal'C Melk Mark, and decides to stake her entire future on following Lal'C, no matter the cost. [Written by MAL Rewrite]","['Prequel (OVA) Top wo Nerae! Gunbuster', 'Adaptation (Manga) Top wo Nerae 2!', 'Adaptation (Manga) Top wo Nerae! Next Generation', '']",Top wo Nerae 2! Diebuster,"Aim for the Top! 2, DieBuster",,,,,"['Mecha', 'Space']",,
103,センシティブ・ポルノグラフ,,['OVA'],1,Finished Airing,"Dec 20, 2004",,,['Digital Works'],['Media Blasters'],['Phoenix Entertainment'],['Manga'],"['Boys Love', 'Comedy', 'Drama', 'Hentai']",,30 min.,Rx - Hentai,6.65,N/A,#3468,"46,451",174,26646,"For four young men, love and intimacy are in the air, even though they may not be aware of it. Sensitive Pornograph holds within it two tales of sexual romance for two different couples of men. The first is a tale between two manga artists, Seiji Yamada and Sono Hanasaki. Both are familiar with each other's work, though upon meeting each other, Seiji is shocked to find out that Sono is actually a man, ten years his senior. Love quickly blossoms between the two, but will soon be tested when Seiji begins to hear rumors about Sono's past sexual exploits. In the second tale, Koji Ueno is a part-time pet sitter, hired to take care of a rabbit named Aki for a new client. To Koji's complete surprise though, not only is there no rabbit in the house, but the only thing in the apartment is a bound and gagged man in the closet who says that he is Aki. More troubling than this is that Aki informs Koji that they are both in danger of upsetting the client, and the only way for Koji to get out safely is for them to make love together. Two stories, four men, and the one emotion of love that unites them all in the new twists their lives have taken.","['Adaptation (Manga) Sensitive Pornograph', '']",Sensitive Pornograph,,,,,,,,
104,天空断罪スケルターヘブン,Skelter Heaven,['OVA'],1,Finished Airing,"Dec 8, 2004",,,"None found,","None found,",['Idea Factory'],Visual novel,,,19 min.,PG-13 - Teens 13 or older,1.88,#13861,#3733,"40,704",119,28749,"When a mysterious entity suddenly appears in the center of Tokyo, the Alta Mira Agency is tasked to repel the extraterrestrial threat. Otsuya Funagai must guide his all-female unit of ""Battle Sole"" pilots to take down the strange being no matter the cost. However, his intimate relationship with one of the pilots, Rin Ichikawa, may spell trouble for the team and the mission itself. [Written by MAL Rewrite]",[],Tenkuu Danzai Skelter+Heaven,,,,['Sci-Fi'],['Mecha'],,,
105,Re:キューティーハニー,,['OVA'],3,Finished Airing,"Jul 24, 2004 to Sep 25, 2004",,,['Toei Video'],['Discotek Media'],"['Gainax', 'Toei Animation']",['Manga'],"['Action', 'Comedy', 'Girls Love', 'Sci-Fi', 'Ecchi']",,45 min. per ep.,R+ - Mild Nudity,7.13,#3778,#4178,"32,147",194,12164,"The last words spoken to Honey Kisaragi by her father before his death at the hands of the mysterious organization Panther Claw have shaped her way of life. It is the sole reason she still continues to fight for the sake of others. The energetic Inspector Natsuko Aki does her absolute best to apprehend the members of Panther Claw and bring them to justice, but they are simply too much for the police to handle. The only one who can give these criminals a run for their money is the sexy warrior of love and justice, Cutie Honey—the secret alter ego of Kisaragi. Although Natsuko refuses to acknowledge vigilantes, her relationship with Honey progresses for the better as the strong-headed detective realizes the true intentions behind Honey's actions. Overtime, Honey grows more fearful of her burning desire for revenge; meanwhile, Natsuko wants to protect her friend, a sentiment that clashes with her ideals of upholding the law. If they ever hope to stand a chance against the menacing Panther Claw, the duo will have to put aside their differences and stand together. [Written by MAL Rewrite]","['Adaptation (Manga) Cutie Honey a Go Go!', '']",Re: Cutie Honey,Re: Cutey Honey,,,,,,,
