,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genre,Themes,Demographic,Spanish,Demographics
35,Ozuma,オズマ,Ozma,['TV'],6,Finished Airing,"Mar 17, 2012 to Apr 21, 2012",['Spring 2012'],Unknown,"['WOWOW', 'Pony Canyon', 'Planet', 'Viki', 'Slow Curve', 'Cyclone Graphics']","None found,","['Gonzo', 'LandQ studios']",Original,"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.07,#9542,#5610,"15,923",8,7360,"In the far future, the elevated irradiation from the sun has destroyed the environment of the earth and the birthrate of humans has drastically decreased. The government controls society with an army of cloned soldiers called ""Ideal Children (IC)"". Sam Coyne is a trader in a desert. One day, he saves a beautiful woman Maya, who has been chased by Theseus, a corps of IC. He shelters her in his trade ship, but the destroyers of Theseus surround Sam and Maya.",[],Ozma,,,,,,,
36,Hometown Rebuilding: Folktales from Japan,ふるさと再生 日本の昔ばなし,Folktales from Japan,['TV'],258,Finished Airing,"Apr 1, 2012 to Mar 26, 2017",['Spring 2012'],Sundays at 09:00 (JST),"['TV Tokyo', 'Sony Music Entertainment', 'Peter Pan Creation']","None found,",['Tomason'],Other,,['Historical'],24 min. per ep.,G - All Ages,6.93,#4666,#6444,"11,153",26,2789,"Like in any culture, Japanese kids grow up listening to the stories repeatedly told by their parents and grandparents. The boy born from a peach; the princess from the moon who is discovered inside a bamboo; the old man who can make a dead cherry tree blossom, etc. These short stories that teach kids to see both the dark and bright sides of life have passed traditional moral values from generation to generation. Each half-hour episode of Folktales from Japan consists of three self-contained stories, well-known and unknown, with a special focus on heartwarming stories that originate from Tohoku, the northern region heavily touched by the earthquake of 2011. May this program help cheer up earthquake victims and cast a light of hope for them? (Source: Crunchyroll)","['Sequel (TV) Furusato Meguri: Nippon no Mukashibanashi', '']",Furusato Saisei: Nippon no Mukashibanashi,Folktales from Japan,Folktales from Japan,['Supernatural'],,['Kids'],Historias Tradicionales Japonesas para la Reconstrucción de los Pueblos,
37,Kuromajyo-san ga Toru!!,黒魔女さんが通る!!,Here Comes the Black Witch!!,['TV'],60,Finished Airing,"Apr 4, 2012 to Feb 19, 2014",['Spring 2012'],Unknown,['NHK'],"None found,",['Shin-Ei Animation'],Novel,"['Comedy', 'Slice of Life']",['School'],7 min. per ep.,PG - Children,6.55,#6745,#6667,"10,303",9,2979,"Kurotori Chiyoko, a 5th-grader in elementary school, loves the occult. One day, a friend requests her to do a love fortune-telling. Chiyoko tries to summon Cupid, but thanks to a stuffy nose, accidentally summons a witch named Gyubid instead! From that day on, Chiyoko starts learning witchcraft from Gyubid, the self-proclaimed hottest instructor of the magic world. The training regimen is tough, and punishment for slacking is harsh. Fortunately, Chiyoko is able to keep her extra-curricular studies secret, aided by the fact that no one else can see Gyubid. (Source: AnimeNfo.com)","['Adaptation (Light Novel) Kuromajo-san ga Tooru!!', '']",Kuromajo-san ga Tooru!!,,,,,,,
38,Shibainuko-san,しばいぬ子さん,,['TV'],26,Finished Airing,"Apr 1, 2012 to Sep 23, 2012",['Spring 2012'],Sundays at 22:27 (JST),"['DAX Production', 'Takeshobo', 'Dream Creation']","None found,",['Hotline'],['Manga'],,,1 min. per ep.,G - All Ages,5.71,#11318,#6675,"10,261",10,3978,"Chako Ishibashi is a normal middle schooler at a normal school having normal school days. However, there is one oddity in Chako's everyday life—the student sitting at the desk next to her, Shibainuko-san. What is it about her that Chako finds strange? The answer is simple: Shibainuko-san doesn't look like a human at all. Instead, she looks just like a Shiba Inu! Polite, well-meaning, and with the mannerisms of both a dog and a human, Shibainuko-san is loved by all. However, Chako notices that her classmates seem oblivious to Shibainuko-san's physical appearance. Can a dog go to school and be a normal student? Join Chako and her best friend Naho on bite-sized misadventures with their unusual classmate, who may or may not actually be a dog. [Written by MAL Rewrite]","['Adaptation (Manga) Shibainuko-san', '']",Shiba Inuko-san,,,['Comedy'],,,,
39,,プリティーリズム ディアマイフューチャー,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Saturdays at 10:00 (JST),"None found,","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,,23 min. per ep.,PG - Children,6.72,#5786,#6783,"9,929",29,4077,"It is three years after the legendary Prism Queen Cup, and Aira Harune, Rizumu Amamiya, and Mion Takamine have become famed Prism Stars, spreading the glamor and radiance of Prism Shows wherever they perform. However, they encounter an unexpected challenge from a passionate and lively girl, Mia Ageha, who has publicly declared her intent to defeat Aira and become the greatest Prism Star. Sensing her potential, the Prism Show agency Pretty Top recruits Mia alongside three other aspiring Prism Stars—Karin Shijimi, Reina Miyama, and Ayami Ooruri—to form an idol group, Prizmmy. But the road to stardom is not easy: Mia has to deal with an old friend's unexpected appearance, this time as her rival, as well as navigate her way through the alluring yet conniving world of Prism Shows. Nevertheless, with her friends and team by her side, Mia is all the more fired up to march forward and carve the future for herself. [Written by MAL Rewrite]","['Prequel (TV) Pretty Rhythm: Aurora Dream', 'Sequel (TV) Pretty Rhythm: Rainbow Live']",Pretty Rhythm: Dear My Future,,,['Sports'],"['Idols (Female)', 'Music']",,,
40,Yurumeitsu 3D,ゆるめいつ 3でぃ,,['TV'],13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012",['Spring 2012'],Unknown,"['DAX Production', 'Takeshobo', 'Right Gauge', 'Dwango Music Entertainment']","None found,",['C2C'],['4-koma manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,6.27,#8476,#7161,"8,680",10,4197,"Yurume, an 18-year-old ""ronin"" and recent high school graduate, has high hopes of being accepted and attending Tokyo University. She moves into an apartment complex, the Maison du Wish, located on the outskirts of Tokyo where other ronins living there are studying for upcoming college acceptance exams.","['Sequel (TV) Yurumates 3D Plus', 'Adaptation (Manga) Yurumates']",Yurumates 3D,Yurumates3Dei,Yurumates3Dei,,,['Seinen'],Yurumate3Dei,
41,,ガッ活!,,['TV'],25,Finished Airing,"Apr 3, 2012 to Sep 18, 2012",['Spring 2012'],Tuesdays at Unknown,['Fanworks'],"None found,",['NHK'],Original,,['School'],5 min. per ep.,G - All Ages,6.43,#7545,#7581,"7,509",8,2836,"In a fictional school, ""Tender Tank"" Rareko is constantly opening absurd yet strangely enthusiastic debates, this way creating a lively classroom life. Bringing up tremendous themes, she and her classmates exchange words like sword-strokes, and here and there even a profound remark is slipped in. A fun and informative debate comedy, packed into only five minutes each time. (Source: AniDB)","['Sequel (TV) Gakkatsu! 2nd Season', 'Adaptation (Manga) Comic Gakkatsu!']",Gakkatsu!,,,['Comedy'],,,,
42,,ジュエルペットきら☆デコッ!,,['TV'],52,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,"['TV Tokyo', 'Sotsu', 'Sanrio']","None found,",['Studio Comet'],Original,,,24 min. per ep.,PG - Children,6.73,#5688,#8886,"5,068",20,1703,"In the Legends of Jewel Land, the Jewelpets were born from the love and caring of their queen, Jewelina. However a strange meteor crashes into the Mirror Ball, destroying it into a million pieces and its fragments called ""Deco Stones"" were all scattered in Jewel Land. In the present time, Ruby, a dimwitted Rabbit Jewelpet and owner of the Kira Kira Shop, has a thing on sparkly decorations and loves to collect anything that sparkles and shines. However, when she and the others learn about the legend of the Mirror Ball and the Deco Stones, they all decided to go and search for them, until they all meet 5 strange individuals called the KiraDeco 5. The group also has the same goal on wanting to collect the Deco Stones and they befriended the Jewelpets, especially to one of their members: Pink Oomiya. Now, the group need to gather all the Deco Stones and stop the Eternal Darkness from taking over the human world. (Source: ANN)","['Prequel (TV) Jewelpet Sunshine', 'Sequel (TV) Jewelpet Happiness']",Jewelpet Kira☆Deco!,,,['Fantasy'],"['Anthropomorphic', 'Mahou Shoujo']",,,
43,,爆TECH！爆丸,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",['Manga'],,['Strategy Game'],5 min. per ep.,PG - Children,5.87,#10568,#9174,"4,635",6,2116,"Bakugan is the card game for a new generation. In ""Baku TECH"" passionate warriors fight each other and risk their life for Bakugan.","['Sequel (TV) Baku Tech! Bakugan Gachi', 'Adaptation (Manga) Baku Tech! Bakugan']",Baku Tech! Bakugan,,,['Action'],,['Shounen'],,
44,,忍者ハットリくん （2012年版）,,['TV'],52,Finished Airing,"May 13, 2012 to Feb 16, 2015",['Spring 2012'],Not scheduled once per week,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,,24 min. per ep.,G - All Ages,6.70,#5883,#10337,"3,182",1,1773,Remake of the Ninja Hattori-kun series.,"['Adaptation (Manga) Ninja Hattori-kun', '']",Ninja Hattori-kun (2012),,,['Comedy'],,,,
45,"On a Stormy Night: Secret Friends, One Stormy Night",あらしのよるに ひみつのともだち,,['TV'],26,Finished Airing,"Apr 4, 2012 to Sep 26, 2012",['Spring 2012'],Unknown,"['Bandai Visual', 'Dentsu', 'TV Osaka', 'MediaNet', 'AT-X', 'Duckbill Entertainment', 'Baku Enterprise']","None found,",['Sparky Animation'],Book,"['Adventure', 'Drama']",['Anthropomorphic'],23 min. per ep.,G - All Ages,6.65,#6172,#10762,"2,821",7,858,"A new anime adaptation by Sparky Animation, Duckbill Entertainment, Baku Enterprise and Bandai Visual of the book Arashi no Yoru ni (One Stormy Night...) by Kimura Yuuichi.","['Adaptation (Manga) Arashi no Yoru ni', '']",Arashi no Yoru ni: Himitsu no Tomodachi,,,,,,,
46,,ゴン,,['TV'],50,Finished Airing,"Apr 2, 2012 to Mar 25, 2013",['Spring 2012'],Mondays at 18:00 (JST),['Kodansha'],"None found,",['Daewon Media'],['Manga'],"['Action', 'Adventure']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.97,#10041,#11300,"2,399",8,941,"The Gon series features the completely wordless adventures of the irascible title character, a tiny fictional dinosaur, as he interacts with the natural world. Gon somehow survived the extinction of his fellow dinosaurs and interacts with paleolithic animals. (Source: Wikipedia)","['Sequel (TV) Gon 2nd Season', 'Adaptation (Manga) Gon']",Gon,,,,,['Kids'],,
47,,デュエル・マスターズ ビクトリーV,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,['Shogakukan-Shueisha Productions'],"None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,5.83,#10793,#13270,"1,312",3,345,"This series continues the adventures of Katta Kirifuda, Bucyake and Yohdel throughout the school season. They meet new classmates such as Leo to duel against. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Victory', 'Sequel (TV) Duel Masters Victory V3']",Duel Masters Victory V,,,,,['Kids'],,
48,Eagle Talon NEO,秘密結社鷹の爪 NEO,,['TV'],38,Finished Airing,"Apr 6, 2012 to Feb 15, 2013",['Spring 2012'],Unknown,"None found,","None found,",['DLE'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,6.07,#9575,#15435,715,1,162,"Eagle Talon, a secret society based in Kojimachi, Tokyo, with plans for world domination, isn't a secret society anymore! In fact, it's a famous society, known by just about every household in Japan there is, because Eagle Talon went nation-wide with golden time on NHK!","['Prequel (OVA) Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko', 'Sequel (TV) Himitsukessha Taka no Tsume MAX']",Himitsukessha Taka no Tsume NEO,,,['Comedy'],"['Parody', 'Super Power']",,,
49,,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14235,#15596,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,['Kids'],,
50,,ズモモとヌペペ,,['TV'],32,Finished Airing,"Apr 3, 2012 to Feb 26, 2013",['Spring 2012'],Unknown,"None found,","None found,",['Egg'],Unknown,,,5 min. per ep.,PG - Children,[],#16426,#17275,479,2,,No synopsis has been added for this series yet. Click here to update this information.,[],Zumomo to Nupepe,,,['Comedy'],,,,
51,,リトル・チャロ～東北編～,Magical Journey: Little Charo in Tohoku,['TV'],12,Finished Airing,"Apr 7, 2012 to Jun 30, 2012",['Spring 2012'],Saturdays at 09:20 (JST),['NHK'],"None found,",['Spooky graphic'],Original,,['Educational'],10 min. per ep.,G - All Ages,[],#19838,#17343,473,0,,"Charo venture around Tono, Iwate, a city in Japan's Tohoku (Northeast) region, attempting to find the Eight-Starred Note in order to prevent the reappearance of the Tenaga-Ashinaga monster of local legend. (Source: ANN)",[],Little Charo: Touhoku-hen,,,,,['Kids'],,
52,,パンダのたぷたぷ,,['TV'],431,Finished Airing,"Apr 2, 2012 to Nov 29, 2013",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,30 sec. per ep.,G - All Ages,[],#20947,#17662,444,0,,"A short anime featuring the zodiac animals with a panda named Taputapu as the main character. Each episode is focuses on having a proverb, moral, or uplifting value.",[],Panda no Taputapu,,,,,['Kids'],,
53,,miniロペ,,['TV'],4,Finished Airing,"May 4, 2012 to May 25, 2012",['Spring 2012'],Fridays at 22:55 (JST),"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,4 min. per ep.,G - All Ages,[],#20277,#17986,422,0,,"A short broadcast of Kamiusagi Rope meant to promote the feature film that was released during the middle as well as promote features of the Nihon Eiga Senmon Channel (Japanese Movie Specialty Channel) which is a luxury TV channel that specializes in broadcasting films that costs about 700 yen a month. Rope and Akira talk about what ""mono"" sound is and what does the ""service"" feature actually do.",[],Mini Rope,,,,,,,
54,,パブー＆モジーズ,Paboo & Mojies,['TV'],52,Finished Airing,"Apr 2, 2012 to Mar 2, 2013",['Spring 2012'],Not scheduled once per week,"None found,",['Nelvana'],['Dongwoo A&E'],Original,,,11 min. per ep.,G - All Ages,[],#20935,#18528,380,0,,"Paboo is a fun loving and curious boy panda, and he and his group of larger-than-life friends explore and problem-solve in their quirky, imaginative and sometimes zany world! Each episode sees the Mojies (Japanese for letters of the alphabet) and Pappy (the Mojies book fairy of course!) help Paboo to discover the Magic Word and solve the problem of the day! (Source: Nelvana)",[],Paboo & Mojies,,,,,['Kids'],,
55,,ぬっこ。,,['TV'],24,Finished Airing,"Apr 2, 2012 to Sep 19, 2012",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#20754,#18766,361,0,,The new Nukko. anime is an adolescent school story revolving around Nukko and Nukko's slightly(?) oddball friends. (Source: ANN),[],Nukko.,,,['Comedy'],,,,
56,,リボンちゃん,,['TV'],24,Finished Airing,"Apr 4, 2012 to Mar 27, 2013",['Spring 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,Unknown,None,[],#21369,#19009,345,0,,An anime short series inspired by soft drink company Sapporo Beverage's mascot character Ribbon-chan. The story center on the soda-loving young girl named Ribbon-chan and her pet dog Citron. Note: The series aired on Wednesdays during episodes of the Nori Suta Max television program. (Source: ANN),[],Ribbon-chan,,,['Comedy'],,,,
57,,ペンギンの問題POW,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,1 min. per ep.,G - All Ages,[],#21004,#21157,221,0,,Final Season of Penguin no Mondai.,"['Prequel (TV) Penguin no Mondai DX?', '']",Penguin no Mondai POW,,,,,['Kids'],,
58,,少年师爷之侠义欢乐行,,['TV'],26,Finished Airing,May 2012 to Nov 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,['Historical'],14 min. per ep.,PG - Children,[],#14070,#23643,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Zhihui Kuaile Xia', 'Sequel (TV) Shaonian Shiye: Ren Shanxing Tianxia']",Shaonian Shiye: Xiayi Huanle Xing,,,,,['Kids'],,
59,,东南特卫队,,['TV'],52,Finished Airing,May 2012 to May 2013,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,14 min. per ep.,PG - Children,[],#17708,#23711,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dongnan Te Weidui,,,,,['Kids'],,
60,,笨笨悠游记之麻辣夏令营,,['TV'],50,Finished Airing,Apr 2012 to Aug 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#16908,#24468,102,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Ben Ben You Youji: Chuanyue Huaxia', '']",Ben Ben You Youji: Mala Xialingying,,,,,['Kids'],,
61,,十二生肖之龙行天下,,['TV'],40,Finished Airing,May 2012 to Oct 2012,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#14173,#24915,96,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shi Er Shengxiao: Long Xing Tianxia,,,['Fantasy'],,['Kids'],,
62,HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,['TV'],148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",['Fall 2011'],Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#8,"2,983,947","218,618",1853746,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world. [Written by MAL Rewrite]","['Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter (2011),Hunter x Hunter,Hunter X Hunter,,,['Shounen'],Hunter x Hunter,
63,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,597,064","115,600",1728052,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,Naruto Shippuden,,,['Shounen'],Naruto Shippuden,
64,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,495,272","234,615",1418855,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,['Shounen'],,
65,,FAIRY TAIL（フェアリーテイル）,Fairy Tail,['TV'],175,Finished Airing,"Oct 12, 2009 to Mar 30, 2013",['Fall 2009'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production']",['Funimation'],"['Satelight', 'A-1 Pictures']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1695,#54,"1,790,481","47,057",1035226,"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild. From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member. Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic. [Written by MAL Rewrite]","['Sequel (TV) Fairy Tail (2014)', 'Adaptation (Manga) Fairy Tail Read Manga']",Fairy Tail,,,,,['Shounen'],,
66,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#705,"360,704","15,330",164281,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,,,['Shounen'],,
67,,スケットダンス,SKET Dance,['TV'],77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",['Spring 2011'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']","None found,",['Tatsunoko Production'],['Manga'],,['School'],24 min. per ep.,PG-13 - Teens 13 or older,8.20,#393,#1129,"230,775","3,236",86426,"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime."" And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration. However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services. [Written by MAL Rewrite]","['Adaptation (Manga) SKET Dance', '']",SKET Dance,,,['Comedy'],,['Shounen'],,
68,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",トリコ,Toriko,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,186",877,52976,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,,,,,['Shounen'],,
69,,アクエリオンEVOL,Aquarion Evol,['TV'],26,Finished Airing,"Jan 9, 2012 to Jun 25, 2012",['Winter 2012'],Unknown,"['Media Factory', 'Bandai', 'Tohokushinsha Film Corporation', 'Overlap']",['Funimation'],"['Satelight', '8bit']",Original,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4047,#2100,"108,610",417,45917,"12,000 years after the events in Genesis Aquarion, humans live on the star Vega under constant threat of trans-dimensional beings called Abductors. These enemies originate from Vega’s sister star Altair and raid Vega for human life. As a countermeasure, an organization known as Neo-DEAVA formed to combat the Abductors. They pilot advanced mecha suits called Aquaria and are strictly separated by gender. Boys and girls are not allowed contact; they are even restrained from fighting on the same battlefield. However, events take a shocking turn when an advanced Abductor mecha suit joins the fray. Two teenagers, Mikono and Amata, are dragged into the conflict. Unknowingly, Amata performs a taboo when he summons an Aquaria and initializes what is called the Forbidden Union between male and female Aquaria. Neo-DEAVA is shocked, and the repercussions of Amata’s actions are much farther reaching than he realizes. How was he able to summon an Aquaria? Where did he learn to form a Forbidden Union? And why was Mikono also able to pilot the mecha suit?","['Prequel (TV) Sousei no Aquarion', 'Sequel (TV) Aquarion Logos', 'Adaptation (Manga) Aquarion Evol', '']",Aquarion Evol,,,,,,,
