,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Genre,Themes,Demographics
34,"Ohedo Rocket, Ooedo Rocket",大江戸ロケット,Oh! Edo Rocket,,,,['TV'],26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",['Spring 2007'],Wednesdays at 02:00 (JST),"['Sunny Side Up', 'Index', 'Universal Pictures Japan']",['Funimation'],['Madhouse'],Other,"['Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",['Historical'],24 min. per ep.,PG-13 - Teens 13 or older,7.19,#3439,#6003,"13,380",35,4818,"In Edo in the mid-1800's, fireworks maker Seikichi Tamaya and his friends struggle to live under the harsh morality laws imposed by the strict city councilor, which ban all luxuries, including fireworks. One day, a strange girl stops by Sekichi's shop with an equally strange request: she wants Sekichi to build a firework that can reach the moon. (Source: ANN)",[],Oh! Edo Rocket,,,,
35,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi Specials,攻殻機動隊 STAND ALONE COMPLEX タチコマな日々,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,,,,['TV'],12,Finished Airing,"May 2, 2007 to Apr 13, 2008",['Spring 2007'],Unknown,"None found,","None found,",['Production I.G'],['Manga'],"['Comedy', 'Sci-Fi']",['Mecha'],3 min. per ep.,PG - Children,7.19,#3431,#6096,"12,803",7,3769,"Tachikoma TV series that aired on Animax. Unlike the previous ""Tachikoma na Hibi,"" which were auxiliary episodes to the main Ghost in the Shell SAC and 2nd GIG, the special version has longer stories based on various Japanese and Orthodox folklore. Later re-released on a BD box with all the Tachikoma shorts.",[],Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),,,,
36,,ムーンライトマイル 1stシーズン -Lift off-,,,,Moonlight Mile Saisons 1,['TV'],12,Finished Airing,"Mar 4, 2007 to May 27, 2007",['Spring 2007'],Unknown,"None found,","['ADV Films', 'Funimation']",['Studio Hibari'],['Manga'],"['Adventure', 'Drama', 'Sci-Fi']",['Space'],25 min. per ep.,R+ - Mild Nudity,7.11,#3854,#6274,"11,917",20,3433,"After scaling Mt. Everest, mountain climbing partners Saruwatari Gorou and ""Lostman"" Jack F. Woodbridge see the ISA Space Station, and each vows to make the trek into outerspace. When Helium 3, a new energy source, is discovered on the moon, NASA forms a new project named ""Nexus"" to harness that energy for use on earth. This is the story of the two and the paths they take to see their dream become a reality in the quest to harness the next-generation energy source. (Source: ANN)","['Sequel (TV) Moonlight Mile 2nd Season: Touch Down', 'Adaptation (Manga) Moonlight Mile']",Moonlight Mile 1st Season: Lift Off,,,,
37,Engage Planet Kiss Dum,キスダム -ENGAGE planet-,,,,,['TV'],26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",['Spring 2007'],Unknown,['Bandai Visual'],"['Maiden Japan', 'Bandai Visual USA']",['Satelight'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6917,#6336,"11,633",14,3260,"In A.D. 2031, humans are enjoying a prosperous existence until strange life forms called Hardians appear. They suddenly begin to multiply and assault the human population. As a countermeasure, mankind organizes the N.I.D.F. to investigate the Hardians and protect themselves. A fighter pilot, Aiba Shu, begins to become involved in the battle against the lifeforms. Rurika Yuno, one of Earth's foremost scientists, investigates the Hardians and hears rumors about the ""Book of a Dead Man."" What is the secret of this tome, and what relation does it have to the Hardians? Now, the fight for mankind's survival begins. (Source: AnimeNfo)","['Sequel (Special) Kiss Dum R: Meguriahi', '']",Kiss Dum: Engage Planet,,['Sci-Fi'],"['Mecha', 'Military']",
38,Wellber Story: Sisters of Wellber,ウエルベールの物語 Sisters of Wellber,,,,,['TV'],13,Finished Airing,"Apr 4, 2007 to Jun 27, 2007",['Spring 2007'],Unknown,"['Production I.G', 'Avex Entertainment', 'Nagoya Broadcasting Network']","None found,",['Trans Arts'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",['Historical'],24 min. per ep.,PG-13 - Teens 13 or older,6.60,#6475,#6680,"10,262",7,3054,"10 years since the great war, tensions were mounting within the country of Wellber, which was barely capable of keeping peace, as war could commence at any time with its neighboring country, Sangatras. In order to avoid warfare, the king of Wellber, Haidel planned on marrying off his daughter, Princess Rita, to Sangatras` Prince Guernia. However, Rita stabbed her groom to be and ran away. Infuriated, Sangatras` King Ranbahnhof threatens to wage war unless Rita is captured and publicly executed within 14 days. In order to avoid the worst case scenario, Rita decides to head for the neutral country of Greedom. Meanwhile, the woman thief Tina sneaks into Castle Wellber, seeking its treasures, when she happens to witness the stabbing of Guernia by Rita. Whether it be by coincidence or necessity, Tina receives information that the ""Wasp Man"" she was after is in Greedom, her sworn enemy who took the life of her parents. Tina agrees to become Rita`s bodyguard as they head out to Greedom. Shouldering their fate and destiny, the two meet, leave, and set out on their journey. What awaits them is war or peace, vengeance or death... (Source: AniDB)","['Sequel (TV) Wellber no Monogatari: Sisters of Wellber Zwei', '']",Wellber no Monogatari: Sisters of Wellber,,,,
39,,鋼鉄三国志,,,,,['TV'],25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,['Nihon Ad Systems'],"None found,",['Picture Magic'],Unknown,,['Historical'],23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8350,#6949,"9,402",14,2783,"The Imperial Seal has been passed down through the generations since ancient times. It confers great power unto the warriors that it chooses. This is the story of those warriors. It is a time of chaos and of civil war. It is a time when great armies clash in titanic battles and great heroes carve their names in history. It is also a time of death and destruction, when the people of the land live in constant fear of the sword. Onto this stage steps the reluctant Rikuson (Lu Xun), whose family had been the guardians of the Imperial Seal up until it was stolen by Sonsaku. At the behest of his mentor Rikuson offers his services to Sonsaku with the intention of confirming the will of the Imperial Seal. However, assassins strike down Sonsaku and the Imperial Seal is lost. So begins, Rikuson’s journey to recover the Imperial Seal and discover his destiny. (Source: AniDB)","['Sequel (Special) Koutetsu Sangokushi Special', '']",Koutetsu Sangokushi,,['Adventure'],,
40,"Kaze no Shojo Emily, Emily of the New Moon",風の少女エミリー,,,,,['TV'],26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Unknown,['NHK'],"None found,",['TMS Entertainment'],Novel,,['Historical'],25 min. per ep.,G - All Ages,7.35,#2578,#7255,"8,445",28,2926,"Based on the Emily of New Moon novel by Lucy Maud Montgomery. Emily is an orphan who gets sent to live with her relatives on Prince Edward Island, after her father dies. In New Moon she lives with her Aunt Elizabeth, Aunt Laura, and Cousin Jimmy, and learns to adapt with the help of her imagination and new friends. (Source: ANN)",[],Kaze no Shoujo Emily,,['Drama'],,
41,"Kotetsu Shin Jeeg, Steel Jeeg (2007), Kotetsushin Jeeg",鋼鉄神ジーグ,,,,,['TV'],13,Finished Airing,"Apr 5, 2007 to Jul 12, 2007",['Spring 2007'],Unknown,"['Dynamic Planning', 'Kyoraku Industrial Holdings']","None found,",['Actas'],Original,,['Mecha'],23 min. per ep.,PG-13 - Teens 13 or older,6.88,#4913,#7593,"7,484",11,2868,"Kotetsushin Jeeg takes place fifty years after the original and features a new cast of characters—primarily the new main character Kenji Kusanagi, a high school student who becomes Kotetsushin Jeeg to fight the sudden reappearance of ""Haniwa Genjin"" (""Haniwa Phantom Gods"", or clay robots) from the Jamada Empire ruled by Queen Himika. Other characters include Tsubaki Tamashiro (grandaughter of Miwa Uzuki); and Kyou Misumi. Other main characters from the original series also appear.","['Prequel (TV) Koutetsu Jeeg', '']",Koutetsushin Jeeg,,['Sci-Fi'],,
42,"Apo Mekhanes Theos Gigantic Formula, Mechanical Divine War Gigantic Formula, War Gods Battle: Gigantic Formula",機神大戦 ギガンティック・フォーミュラ,,,,,['TV'],26,Finished Airing,"Apr 5, 2007 to Sep 27, 2007",['Spring 2007'],Unknown,"['Bandai Visual', 'TV Tokyo Music']","None found,","[""Brain's Base""]",Original,,['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5431,#7614,"7,424",8,2467,"2035 A.D. The heads of ancient giant idols were excavated all over the world. Using those twelve stones statues, Humanity had barely overcome the threat of extinction called the ""Equatorial Winter"". But the stone statues had forced Humanity to construct colossal suits of armor as their bodies and demanded that the humans fight each other. (Source: ANN)",[],Kishin Taisen Gigantic Formula,,['Sci-Fi'],,
43,,セイント・ビースト～光陰叙事詩天使譚～,,,,,['TV'],13,Finished Airing,"Apr 4, 2007 to Jun 27, 2007",['Spring 2007'],Wednesdays at 02:00 (JST),"['Avex Entertainment', 'Lantis', 'Marvelous AQL']","None found,","['Tokyo Kids', 'Yuhodo']",Mixed media,,,25 min. per ep.,PG-13 - Teens 13 or older,6.29,#8367,#7641,"7,368",10,2527,"A long time ago, Zeus, the great god, created a three–tier hierarchy of angels, top, middle and lower, although they were supposed to be equal. Also, Zeus appointed 6 angels as Saint Beasts who govern the animals of Earth. They were: Go, the seiyu; Shin, the genbu; Rei, the suzaku; Guy, the byakko; Yuda, the kirin; and Ruka, the hooh. However, Kira, the shooting star, and Maya, the fuga, didn’t attend the selection tests and left for the Earth. The six angels fulfilled their tasks faithfully. However, because of Zeus’s increasingly tyrannical acts, they begin to mistrust him. (Source: AnimeNfo)","['Sequel (TV) Saint Beast: Seijuu Kourin-hen', '']",Saint Beast: Kouin Jojishi Tenshi Tan,,['Fantasy'],,
44,Spooky Kitaro,ゲゲゲの鬼太郎 (2007),,,,,['TV'],100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009",['Spring 2007'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Horror']",,23 min. per ep.,G - All Ages,6.94,#4643,#7951,"6,704",13,2197,"The classic tale of Gegege no Kitaro told yet again. The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji. One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver.","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2007),,,,
45,,スパイダーライダーズ ～よみがえる太陽～,Spider Riders: Resurrected Sun,,,,['TV'],26,Finished Airing,"Apr 14, 2007 to Oct 13, 2007",['Spring 2007'],Saturdays at 17:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'Cookie Jar Entertainment']","None found,",['Bee Train'],Novel,"['Action', 'Adventure']",['Mecha'],23 min. per ep.,PG - Children,6.70,#5913,#8795,"5,220",8,2309,"The battle against the Insectors to save the Inner World rages on, as Hunter Steele and the Spider Riders defend Arachna. With the help of his friends—Igneous, an intelligent young royal officer of Arachna's military; Magma, a foolhardy warrior; and Corona, a kind-hearted girl—crisis has been averted—but not for long. News of the Kingdom of Nuuma being attacked by the Insectors is soon brought to the attention of the Spider Riders, who are reluctant to leave Arachna undefended. But past favors need to be repaid, so they decide to travel across the Inner Ocean to protect the Kingdom of Nuuma. Entrusted with finding four of the Oracle's keys locked away by the leader of the Insectors, Hunter and his friends strive to bring about peace once and for all. Spider Riders: Yomigaeru Taiyou is the epic conclusion to the Spider Riders series. Will the four Oracle Keys find their way to Hunter and the Spider Riders, or will Mantid and the Insectors finally have their wish granted, conquering the Inner World for themselves? [Written by MAL Rewrite]","['Prequel (TV) Spider Riders: Oracle no Yuusha-tachi', '']",Spider Riders: Yomigaeru Taiyou,,,,
46,,おねがい マイメロディ すっきり♪,,,,,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 24, 2008",['Spring 2007'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,10 min. per ep.,PG - Children,6.95,#4609,#9600,"4,020",11,955,The third series of Onegai My Melody.,"['Prequel (TV) Onegai My Melody: Kurukuru Shuffle!', 'Sequel (TV) Onegai♪My Melody Kirara★']",Onegai My Melody Sukkiri♪,,,,
47,,ゼロ デュエル・マスターズ,,,,,['TV'],12,Finished Airing,"Apr 9, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,"None found,","None found,",['SynergySP'],Original,"['Adventure', 'Comedy', 'Sports']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,6.01,#9895,#10738,"2,842",1,998,"It is featured in an alternate universe where Shobu had lost his duel against Hakuoh in their duel back in the Season 1 episode ""Just Duel It"". A mysterious organization is interested in fledgling duelist Shobu Kirifuda's ability to bring Duel Master creatures to life. With the support of his friends, Shobu duels with passion, discipline, and heart as he strives to be like his father and become the next Kaijudo master. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Charge', 'Sequel (TV) Duel Masters Zero']",Zero Duel Masters,['Kids'],,,
48,"Shoujo Changumu no Yume, Janggeum's Dream, Changumu no Yume - Dae Jang Geum, 장금이의 꿈",少女チャングムの夢,,,,,['TV'],26,Finished Airing,"Mar 14, 2007 to Sep 19, 2007",['Spring 2007'],Unknown,['Heewon Entertainment'],"None found,","None found,",Other,"['Adventure', 'Comedy', 'Gourmet']",['Historical'],24 min. per ep.,None,7.29,#2889,#11325,"2,387",14,957,Second season of Jang Geum's Dream.,"[""Prequel (TV) Dae Jang Geum: Jang Geum's Dream"", '']",Dae Jang Geum: Jang Geum's Dream 2,,,,
49,,太極千字文,Tai Chi Chasers,,,,['TV'],39,Finished Airing,"Apr 29, 2007 to Jan 20, 2008",['Spring 2007'],Unknown,"['KBS', 'Iconix Entertainment']",['4Kids Entertainment'],"['Toei Animation', 'JM Animation']",Other,"['Action', 'Adventure', 'Fantasy']",,27 min. per ep.,PG - Children,6.35,#7969,#12125,"1,877",8,609,"After a strange and devastating attack on his home, a young boy named Rai is shocked to discover he's a secret descendent of the Tigeroids: an ancient race of peaceful beings locked in a struggle with the ruthless and cunning Dragonoids. In a parallel universe called Suhn, the Tigeroids and Dragonoids are battling furiously to recover 500 lost tai chi characters. Whoever retrieves these precious and potent symbols will possess the ultimate power to rule their realm…and destroy their enemies. As Rai hones his innate tai chi skills to fight the Dragonoids, he must find the lost tai chi and battle to become one of the champion Tai Chi Chasers! (Source: 4Kids Entertainment)",[],Taichi Senjimon,,,,
50,,シュガーバニーズ,Sugar Bunnies,,,,['TV'],26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",['Spring 2007'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,,,11 min. per ep.,G - All Ages,6.01,#9882,#12905,"1,451",7,253,"Random cutesy edutainment tales aimed at small children, featuring animated speaking plushy toys. Aired inside the anime corner of the Kitty's Paradise TV block.","['Sequel (Special) Sugar Bunnies: Taisetsu na Tomodachi e...', '']",Sugar Bunnies,['Kids'],,,
51,"Revbahaf Kingdom Rebuilding Story, The Legend of Prince Van, Revbahaf: The Story of Rebuilding the Kingdom",르브바하프 왕국 재건설기,,,,,['TV'],26,Finished Airing,"May 21, 2007 to Nov 26, 2007",['Spring 2007'],Unknown,['Studio Kaab'],"None found,","None found,",Unknown,"['Comedy', 'Drama']",,20 min. per ep.,None,[],#21367,#14722,888,1,,"Three people are hiding out in a cabin by the foothills. Van is the prince from the now-defunct Revbahaf Kingdom, Kona – his hand maiden, and Sian – his philosopher and tutor. Chased by enemies, these three individuals earn the kindness of Aaron, who feeds them at the cabin. By helping out with Aaron’s chores, the former royal family learns to live a peaceful life getting by, rather than plotting a revenge on the neighboring country which invaded them. Together they try to rebuild the Kingdom of Revbahaf. (Source: Manhwa101)",[],Revbahaf Wang-gug Jaegeon-soelgi,,,,
52,,やさいのようせい N.Y.SALAD,,,,,['TV'],26,Finished Airing,"Apr 5, 2007 to May 17, 2007",['Spring 2007'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Unknown,,,5 min. per ep.,G - All Ages,[],#16005,#16529,559,0,,It is based on N.Y.SALAD written by Yoshitaka Amano. It depicts lives of vegetable fairies at a kitchen in N. Y.,"['Sequel (TV) Yasai no Yousei: N.Y.Salad 2nd Series', '']",Yasai no Yousei: N.Y.Salad,['Kids'],,,
53,,トレジャーガウスト,,,,,['TV'],5,Finished Airing,"Jun 11, 2007 to Jun 15, 2007",['Spring 2007'],Unknown,['TV Tokyo'],"None found,",['SynergySP'],Other,,['Strategy Game'],5 min. per ep.,PG-13 - Teens 13 or older,5.29,#12727,#16721,537,1,125,"Based on a set of toys called Treasure Gaust, the anime was based off of the manga serialized in corocoro with the main character being an anime original character.",[],Treasure Gaust,,,,
54,Robikero,ロビーとケロビー,Robby & Kerobby,,,,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Unknown,"['Aniplex', 'Yomiko Advertising', ""We've Inc.""]","None found,",['A-1 Pictures'],Original,,,10 min. per ep.,G - All Ages,[],#21389,#17407,466,0,,A story of the adventures of Robby and Kerobby along with their other friends.,[],Robby to Kerobby,['Kids'],['Comedy'],,
55,Chibinacs,チビナックス2.0,,,,,['TV'],25,Finished Airing,"Apr 14, 2007 to Oct 13, 2007",['Spring 2007'],Saturdays at 21:54 (JST),"None found,","None found,","None found,",Other,,,3 min. per ep.,G - All Ages,[],#17286,#20141,279,0,,The second season of Chibinacs with a brand new protagonist.,"['Prequel (TV) Chibinacs', 'Sequel (TV) Chibinacs 3']",Chibinacs 2.0,,['Comedy'],,
56,"Coro Coro Animal, Colo Colo Animal, Koro Koro Animal, Korokoro Animal",コロコロアニマル,,,,,['TV'],60,Finished Airing,"Mar 22, 2007 to Jul 27, 2007",['Spring 2007'],Unknown,['Milky Cartoon'],"None found,","None found,",Unknown,,,1 min. per ep.,PG - Children,[],#17417,#20075,282,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) ColoColo Animal 2', '']",ColoColo Animal,['Kids'],,,
57,,火星娃冒险乐园,,,,,['TV'],53,Finished Airing,May 2007 to Aug 2007,['Spring 2007'],Unknown,"None found,","None found,","None found,",Unknown,,,11 min. per ep.,PG - Children,[],#18793,#22781,144,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Huo Xing Wa: Maoxian Leyuan,['Kids'],,,
58,,消失的文明,,,,,['TV'],13,Finished Airing,Apr 2007 to Sep 2008,['Spring 2007'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,PG - Children,[],#15719,#24270,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiaoshi de Wenming,['Kids'],,,
59,DN,デスノート,Death Note,,,,['TV'],37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",['Fall 2006'],Wednesdays at 00:56 (JST),"['VAP', 'Nippon Television Network', 'Shueisha', 'D.N. Dream Partners']",['VIZ Media'],['Madhouse'],['Manga'],"['Supernatural', 'Suspense']",['Psychological'],23 min. per ep.,R - 17+ (violence & profanity),8.62,#89,#2,"4,067,624","178,685",2851388,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten. For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder. Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead. [Written by MAL Rewrite]","['Adaptation (Manga) Death Note', '']",Death Note,['Shounen'],,,
60,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,598,340","115,649",1728837,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,['Shounen'],,,
61,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,770","234,763",1419753,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,['Shounen'],,,
62,,コードギアス 反逆のルルーシュ,Code Geass: Lelouch of the Rebellion,Code Geass: Lelouch of the Rebellion,"Code Geass: Lelouch, el de la Rebelión",Code Geass: Lelouch of the Rebellion,['TV'],25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",['Fall 2006'],Fridays at 01:25 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),8.70,#61,#22,"2,344,065","111,804",1451059,"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence. Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all. [Written by MAL Rewrite]","['Sequel (TV) Code Geass: Hangyaku no Lelouch R2', 'Adaptation (Manga) Code Geass: Hangyaku no Lelouch']",Code Geass: Hangyaku no Lelouch,,,"['Mecha', 'Military', 'School', 'Super Power']",
63,,BLEACH - ブリーチ -,Bleach,,,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#703,#35,"2,075,036","78,052",1188805,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,['Shounen'],,,
64,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,,,,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,655","60,228",408387,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,['Shounen'],,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",
65,"D. Gray-man, D. Grey-man",ディー・グレイマン,D.Gray-man,,,,['TV'],103,Finished Airing,"Oct 3, 2006 to Sep 30, 2008",['Fall 2006'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment']",['Funimation'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Urban Fantasy'],23 min. per ep.,PG-13 - Teens 13 or older,8.00,#662,#303,"710,696","13,697",291835,"Losing a loved one is so painful that one may sometimes wish to be able to resurrect them—a weakness that the enigmatic Millennium Earl exploits. To make his mechanical weapons known as ""Akuma,"" he uses the souls of the dead that are called back. Once a soul is placed in an Akuma, it is trapped forever, and the only way to save them is to exorcise them from their vessel using the Anti-Akuma weapon, ""Innocence."" After spending three years as the disciple of General Cross, Allen Walker is sent to the Black Order—an organization comprised of those willing to fight Akuma and the Millennium Earl—to become an official Exorcist. With an arm as his Innocence and a cursed eye that can see the suffering souls within an Akuma, it's up to Allen and his fellow Exorcists to stop the Millennium Earl's ultimate plot: one that can lead to the destruction of the world. [Written by MAL Rewrite]","['Sequel (TV) D.Gray-man Hallow', 'Adaptation (Manga) D.Gray-man']",D.Gray-man,['Shounen'],,,
