,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,French,Theme,German,Themes,Genre,Demographics
82,,快刀乱麻 THE ANIMATION,Samurai: Hunt for the Sword,['OVA'],2,Finished Airing,"Nov 26, 1999 to Dec 23, 1999",,,"None found,",['Media Blasters'],"['AIC', 'animate Film']",Visual novel,"['Action', 'Adventure']",,28 min. per ep.,PG-13 - Teens 13 or older,5.81,#10893,#10644,"2,926",1,1158,"It is the late Edo period, and there are many who desire to usurp the Tokugawa shogunate. Shinjuro Tateoka is the unassuming son of a notable dojo's leader. When his father Tessyusai is suddenly sent on a mission by the shogunate, the dojo's management falls into Shinjuro's hands. After losing most of its regular students, the dojo welcomes several young girls into its walls. Despite the changes, life at the swordsmanship school is surprisingly peaceful—until the shogunate calls upon all prominent dojos to patrol the city following a slew of burglaries. Now facing a group of cunning thieves who seem to have greater aims than just stealing a few treasures, Shinjuro struggles to find a balance between his exciting life with beautiful women and the needs of the government. [Written by MAL Rewrite]",[],Kaitouranma The Animation,,,,,"['Martial Arts', 'Samurai']",,
83,MeiKing,めい・king,,['OVA'],4,Finished Airing,"Oct 29, 1999 to Jan 19, 2001",,,['Digital Works'],['Critical Mass Video'],['Phoenix Entertainment'],Visual novel,"['Adventure', 'Comedy', 'Fantasy', 'Hentai']",,31 min. per ep.,Rx - Hentai,5.97,N/A,#11135,"2,522",1,776,"Cain Asbell was an unremarkable guy until he rescued Princess Charlotte. He goes from pauper to Lord, but there's a catch. Cain has to make his land the most prosperous in the country within 5 years. If he fails, he'll lose everything. But if he succeeds, Cain will gain the Princess Charlotte's hand in marriage. During his quest for success, he faces slavers and bandits. But being a Lord isn't all bad -- he has the right to choose any woman he wants to go to bed with him.",[],Mei King,,,,,,,
84,"Dokyusei 2 Special, Classmates 2 Special: Graduation, Graduate",同級生２ Special　卒業生,,['OVA'],3,Finished Airing,"Sep 10, 1999 to Mar 10, 2000",,,['Pink Pineapple'],"None found,","None found,",Unknown,,,28 min. per ep.,R+ - Mild Nudity,5.10,#13095,#11648,"2,171",2,632,Based on the game by ELF.,"['Prequel (OVA) Doukyuusei 2', '']",Doukyuusei 2 Special: Sotsugyousei,,,,,"['Harem', 'School']",['Ecchi'],
85,Tail of Two Sisters,Charm Point 1 ～シスターズ輪舞～,,['OVA'],1,Finished Airing,"Nov 30, 1999",,,['Shinyusha'],['Media Blasters'],"None found,",['Manga'],,,29 min.,Rx - Hentai,5.53,N/A,#11790,"2,078",0,710,"Two sisters attend the same college, one as a teacher and one as a student. Both of them, however, date college boys the same age. The younger sister has a big problem, because her boyfriend never seems ready to satisfy her. Her older sister`s trouble is just the opposite! (Source: AniDB)",[],Charm Point 1: Sister's Rondo,,,,,,['Hentai'],
86,,姉妹いじり,Slave Sisters,['OVA'],2,Finished Airing,"Dec 17, 1999 to Mar 17, 2000",,,['Digital Works'],['Critical Mass Video'],"['Y.O.U.C', 'Phoenix Entertainment']",Visual novel,,,30 min. per ep.,Rx - Hentai,5.63,N/A,#11868,"2,028",3,584,"Two sisters are orphaned, their parents left them only debts, in order to pay them and get themselves a comfortable life, they have to become slaves for a dark organization, and they begin their training under the guide of a man who uses words and reasoning as his only tools, and he is determined to make them the perfect slaves, if he succeds, he will be able to retire from that organization. (Source: ANN)",[],Shimai Ijiri,,,,,,['Hentai'],
87,,ありさ☆Good Luck,,['OVA'],1,Finished Airing,"Oct 30, 1999",,,"None found,","None found,",['Venet'],Original,"['Action', 'Comedy']",,28 min.,PG-13 - Teens 13 or older,5.45,#12262,#12106,"1,895",5,818,"Arisa, a 16-year-old high school girl, accidentally has an extreme fighting suit that her brother invented implanted in her body. It's a slightly embarrassing suit that makes her emit an H voice when she transforms. Moreover, from that day on, Arisa is forced against her will to fight a secret society of evil. ""Oh, I want to tell my feelings to Matsumoto-senpai, the man of my dreams, but only when I do so, I transform into an H battle suit."" (Source: AllCinema, translated)",[],Arisa☆Good Luck,,,,,,,
88,,無人島物語ＸＸ,Desert Island Story XX,['OVA'],4,Finished Airing,"Dec 10, 1999 to Jun 23, 2000",,,['Pink Pineapple'],['NuTech Digital'],['Triple X'],Visual novel,,,27 min. per ep.,Rx - Hentai,5.33,N/A,#12639,"1,583",3,463,"This time around, nine survivors end up stranded on an island. A mystery explosion happens on the Island in a laboratory. Aoi and Shiori are amongst the survivors of six girls and three men. They are all isolated and stranded with no means of communication. These girls find out that the purpose of the laboratory is to transplant one's thoughts and emotions into the body of a victim. No one has come to rescue them and the beautiful girls are attacked one by one as they struggle for survival.","['Prequel (OVA) Mujintou Monogatari X', '']",Mujintou Monogatari XX,,,,,,['Hentai'],
89,,スパイラル・オーヴァ,,['OVA'],1,Finished Airing,"Oct 18, 1999",,,['Five Ways'],"None found,",['Meltdown'],['Manga'],,,29 min.,Rx - Hentai,5.40,N/A,#13441,"1,251",1,328,Based on the manga by Saitani Umetarou.,"['Adaptation (Manga) Spiral Over', '']",Spiral Over,,,,,,['Hentai'],
90,Sister Marina,もぎたてマリナちゃん,,['OVA'],1,Finished Airing,"Dec 18, 1999",,,['Five Ways'],"None found,","None found,",['Manga'],,,28 min.,Rx - Hentai,5.02,N/A,#14258,"1,011",1,272,"After getting caught sneaking into a church to steal, Marina becomes a nurse on a mission.",[],Mogitate Marina-chan,,,,,,['Hentai'],
91,,まどから★おくりもの,,['OVA'],4,Finished Airing,"Nov 26, 1999",,,"None found,","None found,","None found,",Picture book,,['Kids'],5 min. per ep.,G - All Ages,[],#19945,#22970,139,0,,Episode 1 - Yukidaruma Episode 2 - Tenshi-sama ga Orite Kuru Episode 3 - Mado Kara★Okurimono Episode 4 - Momi no Ki Sonomi wo Kazarinasai (Source: Official Site),[],Mado Kara★Okurimono,,,,,,,
92,,カスタムロボ,,['OVA'],1,Finished Airing,"Dec 8, 1999",,,"None found,","None found,","None found,",Game,"['Action', 'Comedy', 'Sci-Fi']",['Shounen'],7 min.,PG - Children,[],#17464,#27150,70,0,,"This is an animation made to promote the video game Custom Robo (1999, Nintendo 64). This video was given away as a gift to readers of Shogakukan's manga magazine, Korokoro Comic. (Source: YouTube)",[],Custom Robo The Animation,,,['Mecha'],,,,
93,,ストリートファイターZERO THE ANIMATION,Street Fighter Alpha: The Movie,['Movie'],1,Finished Airing,"Dec 22, 1999",,,['Capcom'],['Manga Entertainment'],['Plum'],Game,"['Action', 'Drama']",,1 hr. 30 min.,PG-13 - Teens 13 or older,6.50,#7042,#5410,"17,543",28,10375,"Ryu, the current Street Fighter champion, must overcome the power of the ""Dark Hadou"" which consumed Akuma, the brother of his sensei, Gouken. Plus, he deals with the unexpected arrival of Shun, a young boy who proclaims to be his long-lost brother. (Source: ANN)","['Sequel (Movie) Street Fighter Alpha: Generations', '']",Street Fighter Zero The Animation,Street Fighter Alpha La Película,,,,"['Martial Arts', 'Super Power']",,
94,Kochikame Movie 1,こちら葛飾区亀有公園前派出所　ＴＨＥ　ＭＯＶＩＥ,Kameari Park Precinct,['Movie'],1,Finished Airing,"Dec 23, 1999",,,"None found,","None found,",['Gallop'],['Manga'],"['Action', 'Comedy', 'Mystery']",['Shounen'],1 hr. 34 min.,PG-13 - Teens 13 or older,7.10,#3907,#11120,"2,537",0,911,"The wicked multi-billionaire, Shinatora, builds wretched, ugly buildings. The explosives genius calling himself Benten has targeted Shinatora's empire and begins to destroy the monstrosities that are wiping out whole sections of downtown Tokyo. In cooperation with the local police force, the FBI has sent Lisa Hoshino, a bomb disposal expert, and her robot assistant, Dandy, on a lecture tour of Japan. Ryotsu is reluctantly paired with Lisa to protect the people of the Kameari district. Why does Benten only target Shinatora's buildings? What is his next target? Another email warning arrives at the Katsushika Police Station. Benten's next target is the newly built, gigantic amusement park, Shinatora World. Lisa and Ryotsu hurry to the scene. What they find is a huge Soviet-era rocket armed with a massive bomb powerful enough to obliterate the entire area of Katsushika. What can Ryotsu do? (Source: AniDB)",[],Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,,,,,"['Adult Cast', 'Detective', 'Gag Humor']",,
95,,リボンの騎士 (1999),,['Movie'],1,Finished Airing,"Dec 4, 1999",,,"None found,","None found,",['Tezuka Productions'],Unknown,,,8 min.,G - All Ages,6.06,#9624,#14947,830,1,222,Initially screened at Kyoto Tezuka Osamu World in Kyoto Station.,"['Sequel (Movie) Benkai to Ushiwakamaru', 'Adaptation (Manga) Ribbon no Kishi', 'Adaptation (Manga) Ribbon no Kishi (1963)', '']",Ribbon no Kishi (1999),,,,,,['Adventure'],
96,,弁慶と牛若丸,Benkei and Ushiwakamaru,['Movie'],1,Finished Airing,"Dec 4, 1999",,,"None found,","None found,",['Tezuka Productions'],Unknown,,,7 min.,PG - Children,[],#16926,#19687,304,0,,"This is the story of the extraordinary Benkei, who after having met his enemy Yoshitsune in his childhood (then named 'Ushiwaka') came to guard him as a lifetime partner in later years.","['Prequel (Movie) Ribbon no Kishi (1999)', '']",Benkai to Ushiwakamaru,,,,,"['Historical', 'Samurai']",['Comedy'],
97,One Piece Recap,緊急企画ワンピース完全攻略法,"One Piece: Emergency Planning, A Perfect Strategy for the One Piece",['TV Special'],1,Finished Airing,"Dec 22, 1999",,,"['Fuji TV', 'TAP']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],24 min.,PG-13 - Teens 13 or older,7.06,#4094,#5223,"19,312",10,7579,"This is the first recapitulation episode, covering the first five episodes with only the difference being that the episode follows the manga storyline and begins with Luffy and Shanks at the bar. Also, in the ending, the current Straw Hats have a small conversation about their goals. (Source: One Piece Wikia)",[],One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou,,,,,,,
98,Aoyama Goushou Tanpen-shuu,青山剛昌短編集,Gosho Aoyama's Collection of Short Stories,['Special'],7,Finished Airing,"Mar 17, 1999 to Dec 22, 1999",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Shounen'],20 min. per ep.,PG-13 - Teens 13 or older,7.28,#2915,#7964,"6,688",9,3083,"GOSHO collection reveals the origin of the smash hit ""Detective Conan."" ""GO"" into his world, and we will ""SHO"" you SEVEN romantic and exciting stories created by GOSHO AOYAMA. WAIT FOR ME (30 min.) A genius inventor, who is still a high school student, has a girlfriend two years older than him. One day, he invents a time machine and attempts to go two years back into the past, to become the same age as her. However, it is she who ultimately uses the machine to travel through time! TEN PLANETS IN THE NIGHT SKY (10 minutes) Meet Baby Conan! Yukiko Kudo is looking for her missing husband. The only clue to find him again is to decipher a mysterious message left for her. Their baby, Shinichi Kudo, one who later becomes the famous high school Detective Conan, will at this age already be offering some important hints for her. THE WANDERING RED BUTTERFLY (7 minutes) A handsome detective, Yusaku Kitakata, receives phone calls from a mysterious woman day after day, with a new case each day. He of course solves them one by one. But the biggest mystery is who is this mysterious woman? PLAY IT AGAIN (30 minutes) Thanks to the mystical powers of a Cherry Blossom Tree, a 70-year-old man with a secret sword technique goes back into the past and becomes the same age as his granddaughter. While enjoying his youth for the second time around, he notices that a player is after his granddaughter. SANTA CLAUS IN SUMMER (30 minutes) Keisuke, a young man of 17, accidentally activates the Earth Destruction System. The destiny of the Earth now depends on whether he can stop the system within 24 hours. However, suddenly amnesia strikes him and he forgets the pin number to stop the system. The time is running out... DETECTIVE GEORGE’S SPECIAL CASE (30 minutes) A girl is fleeing from men in black. She runs into a detective agency and discovers that the detective there is a super-miniature-size, cool dude. He risks his life trying to solve a case for this client. Will they come through in the end? MAKING OF DETECTIVE CONAN (7 minutes) Do you know how to make animation? Everybody wants to see the workings of an animation studio. Based on the concept of Detective Conan, the three sub-characters visit the animation studio of Detective Conan. This episode will surely catch the hearts of Detective Conan fans! (The actual animation is also involved in this special.) (Source: TMS Entertainment, LTD)","['Adaptation (Manga) Aoyama Goushou Tanpenshuu', '']",Aoyama Goushou Tanpenshuu,,,['Detective'],,,,
99,"Dual! Parallel Trouble Adventures Special, Dual Parallel! Trouble Adventures - Final Frontier, Dual! Parallel Lunlun Monogatari Special",デュアル！ぱられルンルン物語「ファイナル・フロンティア」,,['Special'],1,Finished Airing,"Dec 22, 1999",,,"None found,",['Geneon Entertainment USA'],['AIC'],Original,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",,29 min.,PG-13 - Teens 13 or older,6.83,#5190,#8383,"5,900",8,3047,"Peace has been brought to both earths, and everyone is living out their lives as normal citizens. But how normal could life be for war hero Kazuki living with five beautiful women under the same roof... Apparently, he doesn't need to wait long to find out. An ancient artifact that is the key to their adventures in the parallel universes forces Kazuki to hop in the saddle yet again, but this time it's outer space or bust. (Source: ANN)","['Prequel (TV) Dual! Parallel Lun-Lun Monogatari', '']",Dual! Parallel Runrun Monogatari Special,,,,,"['Harem', 'Isekai', 'Mecha']",,
100,,クレヨンしんちゃん Specials,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['Seinen'],48 min.,G - All Ages,[],#17453,#15465,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,['School'],,,,
101,,世紀末伝説 ワンダフルタツノコランド,Wonderful Tatsunoko Land,['Special'],1,Finished Airing,Dec 1999,,,"None found,","None found,",['Tatsunoko Production'],Unknown,"['Adventure', 'Comedy']",['Kids'],30 min.,PG - Children,[],#13977,#17493,460,0,,"The excessive adventure begins when a mysterious flying life-form, UBO came to ""Tatsunoko Anime World Island"" where all the Tatsunoko animation characters live. TV special animation program featuring all-star Tatsunoko characters. (Source: Official Website)",[],Seikimatsu Densetsu: Wonderful Tatsunoko Land,,,,,,,
102,Shouta's Sushi,将太の寿司 心にひびくシャリの味,,['TV Special'],1,Finished Airing,"Oct 11, 1999",,,['Studio Comet'],"None found,","None found,",Unknown,,['Shounen'],54 min.,G - All Ages,[],#14340,#17961,424,0,,"Shouta no Sushi is about a young boy who dreams of being a sushi chef just like his father. The anime steps away from the competitive nature of the manga and focuses on self-sufficiency and policy issues of agriculture, forestry, and fisheries in Japan in order to educate the population (as it was funded by the Ministry of Agriculture, Forestry and Fisheries) using the popular franchise as a proxy.","['Adaptation (Manga) Shouta no Sushi', '']",Shouta no Sushi: Kokoro ni Hibiku Shari no Aji,,,,,,['Gourmet'],
103,,手塚治虫アカデミー大賞,,['Special'],1,Finished Airing,"Dec 31, 1999",,,"None found,","None found,","None found,",Unknown,,,25 min.,G - All Ages,[],#20885,#22699,148,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Osamu Tezuka Academy Award,,,,,,['Fantasy'],
104,,びっくりくん,,['Special'],1,Finished Airing,"Nov 21, 1999",,,"None found,","None found,","None found,",Original,"['Comedy', 'Supernatural']",,1 min.,PG - Children,[],#16958,#27441,67,0,,A pilot film included with the Eiken TV Anime Shudaika Taizenshuu LD and DVD.,[],Bikkuri-kun Pilot,,,,,,,
105,,なるへそくん,,['Special'],1,Finished Airing,"Nov 21, 1999",,,"None found,","None found,",['TCJ'],['Manga'],"['Action', 'Comedy', 'Supernatural']",['Shounen'],2 min.,PG - Children,[],#20606,#27511,66,0,,A pilot film for the manga Naruheso-kun by Aooni Yamane. It was included with the Eiken TV Anime Shudaika Taizenshuu LD and DVD.,[],Naruheso-kun Pilot,,,['Super Power'],,,,
106,,それいけ!アンパンマン アンパンマンとメリークリスマス,,['TV Special'],1,Finished Airing,"Dec 17, 1999",,,"None found,","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],48 min.,PG - Children,[],#14507,#27931,51,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Anpanman to Merry Christmas,,,,,"['Anthropomorphic', 'Super Power']",,
