,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
44,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",トリコ,Toriko,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,186",876,52976,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,,,,['Shounen'],,,
45,,ナルトSD ロック・リーの青春フルパワー忍伝,Naruto Spin-Off: Rock Lee & His Ninja Pals,['TV'],51,Finished Airing,"Apr 3, 2012 to Mar 26, 2013",['Spring 2012'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3525,#2194,"102,505",307,51212,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe training to hone his hand-to-hand combat skills. Whenever necessary, he also resorts to creative fighting techniques. With the constant support of his teammates Neji Hyuuga and Tenten, Lee readily embraces daring adventures as opportunities to advance on his path toward excellence. [Written by MAL Rewrite]","['Adaptation (Manga) Rock Lee no Seishun Full-Power Ninden', '']",Naruto SD: Rock Lee no Seishun Full-Power Ninden,,Rock Lee no Seishun Full-Power Ninden,Naruto Spin-Off: Rock Lee & His Ninja Pals,['Shounen'],,['Parody'],
46,Eureka Seven Astral Ocean,エウレカセブンAO,,['TV'],24,Finished Airing,"Apr 13, 2012 to Nov 20, 2012",['Spring 2012'],Fridays at 01:55 (JST),"['Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Games', 'Sammy', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'Fonishia']",['Funimation'],['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.64,#6270,#2240,"98,810",199,43395,"The story is set on Okinawa's isolated island of Iwado, which has seen a growing movement advocating a return to an autonomous government. Ao Fukai, a 12-year-old boy with a missing father, lives on the island with an old doctor named Toshio and is about to enter middle school. Ao's mother was taken away a decade ago by unknown individuals. Naru Arata, Ao's 12-year-old childhood friend and the story's heroine, lives with her father, older sister, and grandmother. She has a ""Yuta"" power awakened within her due to an incident when she was young. A mysterious entity called ""Secret"" suddenly appears and launches an attack on the Scub Coral lifeform on the island. Ao launches a certain military FP called ""Nirvash"" aboard a Japanese military transport in his fervent desire to protect the island. (Source: FUNimation)","['Prequel (TV) Koukyoushihen Eureka Seven', ""Sequel (ONA) Eureka Seven AO: One More Time - Lord Don't Slow Me Down"", 'Adaptation (Manga) Eureka Seven AO', '']",Eureka Seven AO,,,,,,['Mecha'],
47,"Polar Bear Café, Shirokuma Café",しろくまカフェ,Polar Bear Cafe,['TV'],50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013",['Spring 2012'],Thursdays at 17:30 (JST),"['TV Tokyo', 'Avex Entertainment']","None found,",['Pierrot'],['Manga'],,"['Anthropomorphic', 'Iyashikei', 'Workplace']",24 min. per ep.,G - All Ages,7.89,#849,#2253,"98,021",988,24317,"Situated near the local zoo and owned by the charismatic polar bear Shirokuma, Shirokuma Cafe is a popular spot for animals and humans alike, allowing them to sit back and relax after a hard day of work. Whether it's a cold beverage or the latest item on his menu, Shirokuma finds joy in being able to serve his customers, often striking up conversations about various subjects. Together with the sarcastic Penguin and the clumsy Panda, they form an odd trio who get themselves caught up in all sorts of misadventures with their other friends such as Grizzly, a bar owner, and Sasako, a human who works at the cafe. From dealing with unrequited love, outdoor camping trips, karaoke sessions, and even the secret to brewing delicious coffee, there's always something bound to be happening in Shirokuma Cafe! [Written by MAL Rewrite]","['Adaptation (Manga) Shirokuma Café', '']",Shirokuma Cafe,Poler Bear's Cafe,Shirokuma Cafe: Polar Bear´s Cafe,,['Josei'],['Slice of Life'],,
48,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1028,#2401,"88,031","1,330",42179,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,Shin Chan,,['Seinen'],,['School'],
49,"Yugioh, Yuu Gi Ou! Zexal, Yu-Gi-Oh! Zeal, Yu-Gi-Oh! Zexal",遊☆戯☆王ZEXAL,Yu-Gi-Oh! Zexal,['TV'],73,Finished Airing,"Apr 11, 2011 to Sep 24, 2012",['Spring 2011'],Mondays at 19:30 (JST),"['TV Tokyo', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Konami Cross Media NY']",['4Kids Entertainment'],['Gallop'],['Manga'],"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.43,#7524,#2514,"81,880",349,46869,"In the bustling and futuristic city of Heartland, a young boy named Yuuma Tsukumo has a dream that everyone his age wants to achieve—earning the title of the greatest duelist! Sadly, due to his lackluster dueling skills, this dream is far from achievable. But when the school bully, Ryouga ""Shark"" Kamishiro, splits the key given to him by his father into two pieces, he inadvertently sets Yuuma on a collision course with his dream. Retaining one half of the key, Yuuma begins a duel with Shark, but soon realizes that his inexperienced skills are no match for him. In a sudden turn of events, Yuuma's key repairs itself, and the ""Door of Destiny'' appears before him. Using the key to open it, Yuuma is greeted by an alien by the name of Astral—a being only he can see. The bewildered Yuuma soon learns that his memories have been divided into 100 ""Number Cards,"" all of which he must retrieve. However, he is also not the only one looking for them. Bombarded by these revelations, Yuuma, alongside Astral, must defend the world from the upcoming threats that loom over Heartland City—regardless of any divine intervention that may occur. [Written by MAL Rewrite]","['Sequel (TV) Yu☆Gi☆Oh! Zexal Second', 'Adaptation (Manga) Yu☆Gi☆Oh! Zexal']",Yu☆Gi☆Oh! Zexal,Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,['Shounen'],,['Strategy Game'],
50,,エリアの騎士,The Knight in the Area,['TV'],37,Finished Airing,"Jan 7, 2012 to Sep 29, 2012",['Winter 2012'],Saturdays at 06:00 (JST),"['TV Asahi', 'Imagine']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sports']","['School', 'Team Sports']",25 min. per ep.,PG-13 - Teens 13 or older,7.16,#3573,#2582,"78,375",226,36260,"Kakeru and Suguru are brothers who both have a flaming passion for soccer. However, while Suguru becomes a rising star in the Japanese youth soccer system, Kakeru decides to take on a managerial role after struggling on the field. But due to a cruel twist of fate, Kakeru ends up reevaluating the role he has chosen. In hopes of one day being able to enter the World Cup by becoming a member of the national team, Kakeru trains harder than anyone else. He isn’t alone in this quest for glory, though. Kakeru's childhood friend, Nana, is a soccer prodigy of her own, with the wicked nickname “Little Witch”. She is a top-ranked player and is already playing for Nadeshiko Japan, the Japanese women’s national team. Nana's success gives Kakeru the extra push he needs to reach for his goals. Soccer and adolescent fervor combine for an epic, emotional ride. Check it out for yourself in Area no Kishi!","['Adaptation (Manga) Area no Kishi', '']",Area no Kishi,,,,['Shounen'],,,
51,,イナズマイレブンGO クロノ・ストーン,Inazuma Eleven Go: Chrono Stones,['TV'],51,Finished Airing,"Apr 18, 2012 to May 1, 2013",['Spring 2012'],Wednesdays at 19:00 (JST),"None found,","None found,",['OLM'],Game,,"['Super Power', 'Team Sports', 'Time Travel']",23 min. per ep.,G - All Ages,7.28,#2938,#2937,"63,049",381,37764,"Inazuma Eleven Go: Chrono Stone is set after the Holy Road Soccer Tournament. The hero of of the moment, Tenma Matsukaze, traveled all over Japan to teach soccer to kids. He returns to Raimon Junior High School after completing his mission, but to his surprise, it's no longer the same Raimon Junior High that he remembers. The soccer club is non-existent, and the members of the champion team in the Holy Road Soccer Tournament have no recollection of taking part in the tournament. They neither remember Tenma nor the game of soccer they loved. As Tenma is baffled by this twist, Alpha, the leader of the Route Agents and captain of Protocol Omega team, suddenly appears before him. Alpha declares that he and his team are responsible for wiping out passion for soccer in Raimon along with the memories of the soccer club members: and Tenma himself is next. That's when a strange boy named Fei Rune appears just in time to save him. Just who is Fei, and why does Alpha want to eliminate soccer for good? Tenma knows that he needs to do everything in his power to emerge victorious. It's a battle that could seal the fate of soccer forever.","['Prequel (TV) Inazuma Eleven Go', 'Sequel (TV) Inazuma Eleven Go: Galaxy']",Inazuma Eleven Go: Chrono Stone,,,,,['Sports'],,
52,Saint Seiya Ω,聖闘士星矢Ω,,['TV'],97,Finished Airing,"Apr 1, 2012 to Mar 30, 2014",['Spring 2012'],Sundays at 06:30 (JST),"['Dentsu', 'TV Asahi']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8366,#3272,"51,171",138,25563,"The god of war and guardian of his namesake planet, Mars, was once sealed away by Seiya, but time has passed and his revival is at hand. Meanwhile, Saori Kido (Athena) is raising the boy Kouga, whose life Seiya saved, and he's been training every day to become a Saint in order to prepare for the coming crisis... Unaware of his destiny, when Kouga awakens to the power of his Cosmo hidden inside him, the curtain will rise upon the legend of a new Saint. (Source: ANN)","['Prequel (Movie) Saint Seiya: Tenkai-hen Josou - Overture', 'Adaptation (Manga) Saint Seiya Omega: New Cross Tanjou-hen']",Saint Seiya Omega,,,,['Shounen'],,['Mythology'],
53,"Phi Brain: Kami no Puzzle Dai 2 Series, Phi Φ Brain: Kami no Puzzle Second Season, Phi Brain: Kami no Puzzle 2nd Season",ファイ・ブレイン ～神のパズル オルペウス・オーダー編,Phi-Brain ~ Puzzle of God: The Orpheus Order,['TV'],25,Finished Airing,"Apr 8, 2012 to Sep 23, 2012",['Spring 2012'],Sundays at 17:30 (JST),['NHK'],['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Mystery', 'Suspense']","['High Stakes Game', 'Strategy Game']",24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3121,#3332,"49,684",45,22187,"The puzzles get tougher and even more deadly as Kaito Daimon continues his battle against the power hungry Givers of the POG. And with one team member already switching sides, will Kaito have what it takes to keep solving the deadly puzzle traps put before him and reach the fabled Puzzle of God? More importantly, will he be able to solve the puzzles AND maintain his sanity? (Source: Sentai Filmworks)","['Prequel (TV) Phi Brain: Kami no Puzzle', 'Sequel (TV) Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen']",Phi Brain: Kami no Puzzle - Orpheus Order-hen,Phi Brain Staffel 2,Phi Brain Temporada 2,Phi Brain Saison 2,,,,
54,Smile Pretty Cure!,スマイルプリキュア,Glitter Force,['TV'],48,Finished Airing,"Feb 5, 2012 to Jan 27, 2013",['Winter 2012'],Sundays at 08:30 (JST),['Saban Brands'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,6.84,#5152,#3382,"48,110",433,24349,"To teenager Miyuki Hoshizora, fairy tales are a world of wondrous encounters and happy endings. Inspired by her love for these stories, she lives every day searching for happiness. While running late on her first day of school as a transfer student, Miyuki meets Candy—a mysterious fairy from the world of fairy tales, Märchenland. However, when Candy disappears as quickly as she appeared, Miyuki is left believing the encounter was only a dream. After an eventful first day, Miyuki finds a mysterious library at school. While combing through the bookshelves, she is transported next to Candy, who claims to be searching for the so-called legendary warriors, Precure. When forced to protect Candy's and everyone else's happiness, Miyuki transforms into ""Cure Happy,"" one of the Precure warriors! As Cure Happy, Miyuki is now tasked with finding the other legendary warriors and protecting the world from destruction, all while possibly discovering her very own happy ending. [Written by MAL Rewrite]","['Adaptation (Manga) Smile Precure!: Precure Collection', '']",Smile Precure!,,,,,['Action'],['Mahou Shoujo'],
55,,機動戦士ガンダムAGE,Mobile Suit Gundam AGE,['TV'],49,Finished Airing,"Oct 9, 2011 to Sep 23, 2012",['Fall 2011'],Sundays at 17:00 (JST),"['Sotsu', 'Lantis', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Level-5', 'ADK']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7281,#4055,"34,154",66,15901,"In A.G. 101 (the 101st year of the Advanced Generation calendar) a mysterious entity known only as ""UE"", or ""unknown enemy"", attacks and destroys the space colony Angel. This brutal attack becomes infamous as the ""The Day the Angel Fell"", and marks the beginning of humanity's war for survival. The series begins in A.G. 108 when the UE attack the space colony Ovan, where Flit Asuno lives with his mother. Flit's mother is killed by the UE, and in her belongings (in an object called a ""AGE Device"") he discovers the blueprints for a powerful weapon from the past - the ancient messiah named ""Gundam."" From these blueprints, Flit spends the next several years studying engineering at an Earth Federation base on the Nora space colony and designing the AGE-1 Gundam. Seven years later, in A.G. 115, Flit completes the Gundam, just as the UE attack Nora. Flit and his lineage's battle piloting the AGE-1 to protect mankind is about to begin. (Source: GoodAnime.net)","['Adaptation (Manga) Kidou Senshi Gundam AGE: First Evolution', 'Adaptation (Manga) Kidou Senshi Gundam AGE: Hajimari no Monogatari', 'Adaptation (Light Novel) Kidou Senshi Gundam AGE', 'Adaptation (Manga) Kidou Senshi Gundam AGE: Second Evolution']",Kidou Senshi Gundam AGE,,,,,,,
56,,銀河へキックオフ!!,Victory Kickoff!!,['TV'],39,Finished Airing,"Mar 26, 2012 to Feb 26, 2013",['Spring 2012'],Unknown,"['NHK', 'Nihon Ad Systems', 'NHK Enterprises']","None found,",['TYO Animations'],Novel,,,25 min. per ep.,PG - Children,7.20,#3357,#4425,"28,376",148,12852,"The story follows a boy who was in a soccer team, but it was disbanded due to not enough players. However, after the boy meets a female professional soccer player, he aims to bring his soccer team back. (Source: AniDB)","['Adaptation (Manga) Ginga e Kickoff!!', '']",Ginga e Kickoff!!,,,Victory Kickoff,,['Sports'],['Team Sports'],
57,Cardfight!! Vanguard: Asia Circuit Chapter,カードファイト!! ヴァンガード アジアサーキット編,Cardfight!! Vanguard Asia Circuit,['TV'],39,Finished Airing,"Apr 8, 2012 to Jan 2, 2013",['Spring 2012'],Sundays at 10:00 (JST),"['TV Tokyo', 'Dentsu', 'Sotsu', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5399,#4539,"26,949",36,14843,"Following their intense battle in the national tournament, Team Q4 disbands, with everyone returning to their regular lives. While paying a visit to Card Capital, Aichi Sendou notices an unfamiliar customer in the shop. After teaching the secretive boy about Cardfight Vanguard, he realizes that his usual deck has become entirely different. Although it contains a variety of units Aichi has never seen before, everyone insists that the cards are the same ones that he has always been using. Moreover, the strange boy disappears without a trace, leaving Aichi further puzzled. As Aichi gets accustomed to the new bizarre deck, he aims to unravel the mystery behind the incident and the peculiar boy. [Written by MAL Rewrite]","['Prequel (TV) Cardfight!! Vanguard', 'Sequel (TV) Cardfight!! Vanguard: Link Joker-hen', 'Adaptation (Manga) Cardfight!! Vanguard', '']",Cardfight!! Vanguard: Asia Circuit-hen,Cardfight!! Vanguard Asia Circuit,Cardfight!! Vanguard Asia Circuit Temporada 2,Cardfight!! Vanguard Asia Circuit,,['Action'],['Strategy Game'],
58,Parallel World Samurai,戦国コレクション,Sengoku Collection,['TV'],26,Finished Airing,"Apr 6, 2012 to Sep 28, 2012",['Spring 2012'],Fridays at 01:45 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'ZERO-A']",['Nozomi Entertainment'],"[""Brain's Base""]",Game,"['Comedy', 'Fantasy']","['Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,6.40,#7686,#4611,"25,957",31,7665,"Sengoku Collection revolves around many samurai who are accidentally removed from a parallel universe inhabited by well-known historic characters. Unlike the historical war period known to us, all inhabitants in this unique world look like high school girls. Coming from the medieval era and finding themselves totally amazed by everything they encounter in modern day Tokyo, the girls become best friends through their adventures. (Source: Crunchyroll)",[],Sengoku Collection,,Sengoku Collection (Parallel World Samurai),,,,,
59,Chibi☆Devil! Chibi Devi!,ちび☆デビ！,,['TV'],75,Finished Airing,"Oct 10, 2011 to Feb 17, 2014",['Fall 2011'],Mondays at 18:20 (JST),"['Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Slice of Life', 'Supernatural']","['Childcare', 'Mythology']",5 min. per ep.,PG - Children,6.91,#4794,#4914,"22,214",80,7691,"Sawada Honoka is a 14-year-old girl who is very timid. She easily gets bullied by other classmates. Honoka is a non-believer in God, Angels, and Devils. Though one day, a devil baby was dropped into her room while she was sleeping. What will Honoka believe in now? (Source: PocketScans)","['Adaptation (Manga) Chibi☆Devi!', '']",Chibi☆Devi!,,,,['Shoujo'],,,
60,,ポヨポヨ観察日記,Poyopoyo,['TV'],52,Finished Airing,"Jan 8, 2012 to Dec 30, 2012",['Winter 2012'],Sundays at Unknown,"['DAX Production', 'Dream Creation', 'Möbius Tone']","None found,",['Studio Deen'],['4-koma manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,PG - Children,7.63,#1470,#4959,"21,814",152,9804,"Moe Sato is a young lady who finds a cat and starts taking care of him. Named Poyo due to his round shape, he quickly becomes a dear member of the Sato family. (Source: ANN)","['Adaptation (Manga) Poyopoyo Kansatsu Nikki', '']",Poyopoyo Kansatsu Nikki,Poyopoyo,Poyopoyo,Poyopoyo,['Seinen'],,['Pets'],
61,,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.72,#1247,#5000,"21,410",239,9585,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,,['Anthropomorphic'],"['Kids', 'Shounen']"
62,,メタルファイト ベイブレード ZEROG,Beyblade: Shogun Steel,['TV'],38,Finished Airing,"Apr 8, 2012 to Dec 23, 2012",['Spring 2012'],Unknown,"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],"['Adventure', 'Sports']",,12 min. per ep.,PG - Children,6.03,#9763,#5545,"16,388",17,8852,"Seven years after the Nemesis Crisis, much of the world has been devastated and ruined after the tragic fighting. As a result, most people lost faith and interest in Beyblading. Otori Tsubasa, who became leader of the WBBA, made it his life goal to ensure humanity could restore itself, as well as restore the popularity of Beyblading. He created the Zero-G battling style as a result, and hopes a new generation of bladers will rise up to accept the sport once again. One of these is a teenager named Zero Kurogane, who aims to become the top blader after having a destined encounter with the hero of the Nemesis Crisis, Ginga Hagane.","['Prequel (TV) Metal Fight Beyblade 4D', 'Sequel (Special) Metal Fight Beyblade Zero G Specials', 'Adaptation (Manga) Metal Fight: Beyblade - Zero G', '']",Metal Fight Beyblade Zero G,,,,['Kids'],,,
63,Hometown Rebuilding: Folktales from Japan,ふるさと再生 日本の昔ばなし,Folktales from Japan,['TV'],258,Finished Airing,"Apr 1, 2012 to Mar 26, 2017",['Spring 2012'],Sundays at 09:00 (JST),"['TV Tokyo', 'Sony Music Entertainment', 'Peter Pan Creation']","None found,",['Tomason'],Other,,,24 min. per ep.,G - All Ages,6.93,#4666,#6444,"11,153",26,2789,"Like in any culture, Japanese kids grow up listening to the stories repeatedly told by their parents and grandparents. The boy born from a peach; the princess from the moon who is discovered inside a bamboo; the old man who can make a dead cherry tree blossom, etc. These short stories that teach kids to see both the dark and bright sides of life have passed traditional moral values from generation to generation. Each half-hour episode of Folktales from Japan consists of three self-contained stories, well-known and unknown, with a special focus on heartwarming stories that originate from Tohoku, the northern region heavily touched by the earthquake of 2011. May this program help cheer up earthquake victims and cast a light of hope for them? (Source: Crunchyroll)","['Sequel (TV) Furusato Meguri: Nippon no Mukashibanashi', '']",Furusato Saisei: Nippon no Mukashibanashi,Folktales from Japan,Historias Tradicionales Japonesas para la Reconstrucción de los Pueblos,Folktales from Japan,['Kids'],['Supernatural'],['Historical'],
64,Kuromajyo-san ga Toru!!,黒魔女さんが通る!!,Here Comes the Black Witch!!,['TV'],60,Finished Airing,"Apr 4, 2012 to Feb 19, 2014",['Spring 2012'],Unknown,['NHK'],"None found,",['Shin-Ei Animation'],Novel,"['Comedy', 'Slice of Life']",,7 min. per ep.,PG - Children,6.55,#6745,#6667,"10,303",9,2979,"Kurotori Chiyoko, a 5th-grader in elementary school, loves the occult. One day, a friend requests her to do a love fortune-telling. Chiyoko tries to summon Cupid, but thanks to a stuffy nose, accidentally summons a witch named Gyubid instead! From that day on, Chiyoko starts learning witchcraft from Gyubid, the self-proclaimed hottest instructor of the magic world. The training regimen is tough, and punishment for slacking is harsh. Fortunately, Chiyoko is able to keep her extra-curricular studies secret, aided by the fact that no one else can see Gyubid. (Source: AnimeNfo.com)","['Adaptation (Light Novel) Kuromajo-san ga Tooru!!', '']",Kuromajo-san ga Tooru!!,,,,,,['School'],
65,Shibainuko-san,しばいぬ子さん,,['TV'],26,Finished Airing,"Apr 1, 2012 to Sep 23, 2012",['Spring 2012'],Sundays at 22:27 (JST),"['DAX Production', 'Takeshobo', 'Dream Creation']","None found,",['Hotline'],['Manga'],,,1 min. per ep.,G - All Ages,5.71,#11318,#6675,"10,261",10,3978,"Chako Ishibashi is a normal middle schooler at a normal school having normal school days. However, there is one oddity in Chako's everyday life—the student sitting at the desk next to her, Shibainuko-san. What is it about her that Chako finds strange? The answer is simple: Shibainuko-san doesn't look like a human at all. Instead, she looks just like a Shiba Inu! Polite, well-meaning, and with the mannerisms of both a dog and a human, Shibainuko-san is loved by all. However, Chako notices that her classmates seem oblivious to Shibainuko-san's physical appearance. Can a dog go to school and be a normal student? Join Chako and her best friend Naho on bite-sized misadventures with their unusual classmate, who may or may not actually be a dog. [Written by MAL Rewrite]","['Adaptation (Manga) Shibainuko-san', '']",Shiba Inuko-san,,,,,['Comedy'],,
66,,プリティーリズム ディアマイフューチャー,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Saturdays at 10:00 (JST),"None found,","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,"['Idols (Female)', 'Music']",23 min. per ep.,PG - Children,6.72,#5786,#6783,"9,929",29,4077,"It is three years after the legendary Prism Queen Cup, and Aira Harune, Rizumu Amamiya, and Mion Takamine have become famed Prism Stars, spreading the glamor and radiance of Prism Shows wherever they perform. However, they encounter an unexpected challenge from a passionate and lively girl, Mia Ageha, who has publicly declared her intent to defeat Aira and become the greatest Prism Star. Sensing her potential, the Prism Show agency Pretty Top recruits Mia alongside three other aspiring Prism Stars—Karin Shijimi, Reina Miyama, and Ayami Ooruri—to form an idol group, Prizmmy. But the road to stardom is not easy: Mia has to deal with an old friend's unexpected appearance, this time as her rival, as well as navigate her way through the alluring yet conniving world of Prism Shows. Nevertheless, with her friends and team by her side, Mia is all the more fired up to march forward and carve the future for herself. [Written by MAL Rewrite]","['Prequel (TV) Pretty Rhythm: Aurora Dream', 'Sequel (TV) Pretty Rhythm: Rainbow Live']",Pretty Rhythm: Dear My Future,,,,,['Sports'],,
67,Cross Fight Bedaman,クロスファイト ビーダマン,B-Daman Crossfire,['TV'],52,Finished Airing,"Oct 2, 2011 to Sep 30, 2012",['Fall 2011'],Unknown,"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['SynergySP'],Unknown,,,14 min. per ep.,G - All Ages,6.55,#6785,#6924,"9,452",47,5199,"A rumor has spread amongst the children worldwide regarding the popular B-Daman matches: A select group will be allowed to participate in an upcoming secret competition, known as ""Cross Fight""! (Source: translated and adapted from official site by Cranston)","['Sequel (TV) Cross Fight B-Daman eS', '']",Cross Fight B-Daman,,B-Daman Crossfire,,['Kids'],,['Strategy Game'],
68,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9124,#7130,"8,795",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
