,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,Theme,German,Spanish,Demographics,French
90,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,['Kids'],10 min.,G - All Ages,7.07,#4072,#7379,"7,966",77,2545,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,['Comedy'],,,El Ninja Boy Rantaró,,
91,わんだふるぷりきゅあ!,Wonderful Precure!,['TV'],50,Finished Airing,"Feb 4, 2024 to Jan 26, 2025",['Winter 2024'],Sundays at 08:30 (JST),['ABC Animation'],"None found,",['Toei Animation'],Original,,,23 min. per ep.,G - All Ages,7.56,#1706,#7534,"7,509",87,1759,"The Wonderful Precure! anime is set in Animal Town, a town where animals and people live together in harmony. Second-year junior high school student Iroha Inukai is best friends with her dog named Komugi. Out for a walk one day, Iroha and Komugi encounter a mysterious creature named Garugaru, who goes on a rampage in the city. Komugi suddenly transforms into a Pretty Cure named Cure Wonderful, to protect Iroha. (Source: ANN)","['Adaptation (Manga) Wonderful Precure!', '']",Wonderful Precure!,,,['Action'],['Mahou Shoujo'],,,,
92,シンカリオン チェンジ ザ ワールド,,['TV'],39,Currently Airing,"Apr 7, 2024 to Feb 2, 2025",['Spring 2024'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment', 'TV Tokyo Music']","None found,","['Production I.G', 'Signal.MD']",Other,"['Action', 'Sci-Fi']",['Kids'],23 min. per ep.,PG-13 - Teens 13 or older,5.64,#11598,#7740,"7,028",34,645,"Once upon a time, an unidentified enemy, the Unknown, suddenly appeared. The ""Super Evolutionary Railway Development Agency,"" had developed the ""Shinkalion,"" a robot that transforms into a bullet train, as a countermeasure against this threat. (Source: Official Website, translated)",[],Shinkalion: Change the World,,"['Mecha', 'School']",,,,,,
93,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['Shoujo'],23 min.,G - All Ages,7.34,#2619,#7913,"6,699",61,2164,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,,['Comedy'],['School'],,Chibi Maruko-chan,,
94,遊☆戯☆王ゴーラッシュ!!,,['TV'],Unknown,Currently Airing,"Apr 3, 2022 to ?",['Spring 2022'],Sundays at 07:30 (JST),"['TV Tokyo', 'Konami', 'Shueisha']","None found,",['Bridge'],Card game,"['Action', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,5.65,#11595,#7925,"6,678",52,1128,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar."" One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war. With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Yu☆Gi☆Oh! Go Rush!!', '']",Yu☆Gi☆Oh! Go Rush!!,Yuu Gi Ou: Go Rush!!,,,['Strategy Game'],,,,
95,逃走中 グレートミッション,Run For Money: The Great Mission,['TV'],Unknown,Currently Airing,"Apr 2, 2023 to ?",['Spring 2023'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],Other,"['Sci-Fi', 'Suspense']",,23 min.,PG-13 - Teens 13 or older,5.64,#11603,#8216,"6,055",27,769,"Due to Earth's increasing climate crisis, humanity has developed futuristic technology to migrate to the Moon. Tomura Sawyer works as a courier in the higher areas, saving money for his little brother, Haru, who suffers from Smoky Moon Disease - a sickness produced by the smoke and polution from the lower areas. The two siblings dream of moving to the higher, cleaner areas to treat this disease. Tomura takes a gamble to do the impossible: to participate in the TV program ""Run for Money"" and to win against all the other contestants even if he doesn't have the Chrono Bracelet required for it. A producer of said program by the name of Harvest seems to take an interest in Tomura's determination to participate, so she gifts him the Bracelet and allows him to participate. In this glorified game of Tag, Tomura Sawyer must last longer than anyone else without being touched by the enemies in this game — the Hunters.",[],Tousouchuu: Great Mission,,,,['High Stakes Game'],,,,
96,ちいかわ,,['TV'],Unknown,Currently Airing,"Apr 4, 2022 to ?",['Spring 2022'],Fridays at 07:40 (JST),"None found,",['Sentai Filmworks'],['Doga Kobo'],['Web manga'],,['Seinen'],1 min.,G - All Ages,7.50,#1956,#8484,"5,671",121,1388,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible. (Source: HIDIVE, edited)","['Adaptation (Manga) Chiikawa: Nanka Chiisakute Kawaii Yatsu', '']",Chiikawa,,,['Comedy'],,,,,
97,ベイブレードエックス,,['TV'],Unknown,Currently Airing,"Oct 6, 2023 to ?",['Fall 2023'],Fridays at 18:25 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Adventure', 'Sports']",['Kids'],24 min.,PG - Children,6.78,#5435,#9151,"4,590",41,1099,"At the heart of X City stands the impressive X Tower, an interconnected twin-skyscraper structure that symbolizes the pinnacle of every Beyblade player's dream. The building serves as the official headquarters for professional Beybattles, where competitors strive to ascend all one hundred floors; at its summit, the reigning champions, Team Pendragon, await contenders worthy of challenging their title. Bird Kazami, an amateur Blader, arrives in the city eager to turn professional. However, he and his teammates are crushed in their first qualifying match, prompting his companions to give up and disband their team. Fortunately, Bird is soon approached by the easygoing Ekusu Kurosu. In disguise as ""Kamen X"" to hide his identity as a former member of the undefeated Team Pendragon, Ekusu wants to climb the tower all over again. To complete their new group, they recruit skilled Beyblade expert and savvy social media influencer Multi Nanairo. Driven by their individual goals, the trio wins their preliminary rounds, launching their careers as Team Persona. Bird and his new friends must navigate the world of corporate sponsorships, earn the fickle public's support, and defeat many formidable opponents—all in their quest to reach X Tower's peak. [Written by MAL Rewrite]","['Adaptation (Manga) Beyblade X', '']",Beyblade X,,,,,,,,
98,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],24 min.,PG - Children,6.57,#6617,#9161,"4,580",31,1735,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,,
99,ぼのぼの,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,5 min.,G - All Ages,6.37,#7854,#10211,"3,263",20,757,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),,,,['Anthropomorphic'],Bono Bono,Bono Bono,,Bono Bono
100,ひみつのアイプリ,,['TV'],Unknown,Currently Airing,"Apr 7, 2024 to ?",['Spring 2024'],Sundays at 10:00 (JST),"None found,","None found,","['OLM', 'Dongwoo A&E']",Game,,,23 min.,PG - Children,6.24,#8641,#10372,"3,096",19,375,"Ever since she was a child, Himari Aozora has adored the world of the idol princesses known as AiPri. Long ago, Himari made a promise with her best friend, Mitsuki Hoshikawa, that they would debut as AiPris together. However, Himari has grown to be incredibly shy, and she has all but given up on her dream. Both girls enroll as first years at Paradise Private Academy. On the first day of school, Himari gets lost on her way back to the dormitory and stumbles upon a room radiating a pink light. She falls into the room, and a bracelet clasps onto her wrist, transporting her to the AiPriVerse—the world where AiPris perform. Himari accidentally enters the newcomer auditions for the AiPriVerse, and her performance impresses Paradise Academy's Student Council. They offer to become her producers, with the condition that she will conceal her status as an AiPri. Little does Himari know that Mitsuki herself is also an AiPri and has been hiding it from her! Their childhood dream of performing together gradually comes to fruition—even as the academy's principal threatens to ban AiPri from school grounds entirely. [Written by MAL Rewrite]",[],Himitsu no AiPri,,"['Idols (Female)', 'Music']",,,,,,
101,ニンジャラ,,['TV'],Unknown,Currently Airing,"Jan 8, 2022 to ?",['Winter 2022'],Saturdays at 07:00 (JST),['TV Tokyo'],['Sentai Filmworks'],['OLM'],Game,,,23 min.,PG - Children,5.55,#11924,#10465,"3,023",23,421,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy. And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... (Source: Official Game website)","['Adaptation (Manga) Ninjala', '']",Ninjala (TV),,,['Action'],,,,,
102,しかるねこ,,['TV'],Unknown,Currently Airing,"Mar 22, 2021 to ?",['Spring 2021'],Unknown,"None found,","None found,","None found,",['Manga'],,,30 sec.,G - All Ages,[],#14084,#11230,"2,409",17,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shikaru Neko,,,['Slice of Life'],,,,,
103,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",['Kids'],10 min.,G - All Ages,6.39,#7741,#11518,"2,213",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,,
104,ふしぎ駄菓子屋 銭天堂,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,['Kids'],10 min.,G - All Ages,6.03,#9784,#11790,"2,034",5,202,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,,,['Mystery'],,,,,
105,パズドラ,Puzzle & Dragon,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,['Kids'],24 min.,PG - Children,5.84,#10732,#12348,"1,689",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,PazuDora,,,['Strategy Game'],,,,
106,とむとじぇりーごっこ,Tom and Jerry,['TV'],Unknown,Currently Airing,"Nov 11, 2022 to ?",['Fall 2022'],Unknown,['Warner Bros. Japan'],"None found,","['Fanworks', 'Studio Nanahoshi']",Other,,['Kids'],1 min.,G - All Ages,6.35,#7982,#13124,"1,330",2,515,"To celebrate ""Cheese Day,"" (November 11 in Japan), Cartoon Network Japan aired an anime spin on Tom and Jerry that combines the fast-paced humor of the original with a cute, ""pop"" worldview. The pair are joined by the diaper-wearing Tuffy Mouse, another recurring character from the classic cartoon. (Source: Crunchyroll)",[],Tom to Jerry Gokko,Tom and Jerry Play,,['Comedy'],,,,,
107,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,2 min.,G - All Ages,[],#16651,#13265,"1,281",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Kamiusagi Rope 4,,,,,,,
108,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,['Kids'],10 min.,PG - Children,6.00,#9928,#14205,996,0,170,Story about Kappa with flowers on their heads.,[],Hanakappa,Hana Kappa,,['Comedy'],,,,,
109,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14071,#14269,976,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],,,,,
110,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],8 min.,G - All Ages,[],#14103,#15523,682,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,,,,
111,ちびゴジラの逆襲,Chibi Godzilla Raids Again Season 2,['TV'],Unknown,Currently Airing,"Apr 3, 2024 to ?",['Spring 2024'],Wednesdays at 07:05 (JST),['TOHO'],"None found,",['Pie in the sky'],Original,,['Kids'],2 min.,G - All Ages,[],#19777,#15575,674,2,,Sequel to Chibi Godzilla no Gyakushuu.,"['Prequel (TV) Chibi Godzilla no Gyakushuu', '']",Chibi Godzilla no Gyakushuu 2nd Season,,,['Fantasy'],,,,,
112,マヌ～ルのゆうべ,,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],,,1 min.,PG-13 - Teens 13 or older,[],#17381,#15741,648,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,['Slice of Life'],,,,,
113,용이산다,The Dragon Next Door,['TV'],Unknown,Currently Airing,"Aug 27, 2024 to ?",['Summer 2024'],Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Fantasy']",,Unknown,PG-13 - Teens 13 or older,[],#15933,#15791,640,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manhwa) The Dragon Next Door', '']",Yongisanda,,,,,,,,
114,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",['Kids'],30 sec.,G - All Ages,[],#20719,#16383,560,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,Rice Monster Pap,,,,,,,
115,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,['Kids'],1 min.,PG - Children,[],#15977,#16697,522,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,Yowamon,,,,,,,
116,ジェオチャム,,['TV'],24,Finished Airing,"Jul 13, 2024 to Dec 21, 2024",['Summer 2024'],Saturdays at 06:00 (JST),['Sanrio'],"None found,",['Fanworks'],Original,,,1 min. per ep.,G - All Ages,[],#16477,#16769,516,2,,"The first animation of Sanrio character ""JOCHUM"" jointly developed by Sanrio and JO1. 11 friends living in the share house ""JOCHUM'S HOUSE"" where dreams are said to come true if you live in this house. Everyone has a dream and is fighting hard towards their dreams every day while living a leisurely life today!",[],Jochum,,,['Slice of Life'],['Anthropomorphic'],,,,
117,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,['Kids'],1 min.,G - All Ages,[],#18301,#18227,393,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,,,,
118,最強王図鑑 ～The Ultimate Battles～,,['TV'],50,Finished Airing,"Jan 6, 2024 to Dec 14, 2024",['Winter 2024'],Saturdays at 07:00 (JST),"None found,","None found,",['OLM Digital'],Book,,['Kids'],5 min. per ep.,G - All Ages,[],#18870,#18275,390,5,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Sai-Kyo-Oh! Zukan: The Ultimate Tournament', '']",Sai-Kyo-Oh! Zukan: The Ultimate Battles,,,['Action'],,,,,
119,新ニッポンヒストリー,,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,23 min.,G - All Ages,[],#14126,#18552,368,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",,['Comedy'],['Historical'],,,,
120,おりがみにんじゃ コーヤン＠きんてれ,,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,['Kids'],Unknown,PG - Children,[],#18232,#18638,360,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,Happy Smile ♡ Dream,,['Comedy'],,,,,
121,しゅわわん!,,['TV'],Unknown,Currently Airing,"Mar 22, 2023 to ?",['Spring 2023'],Not scheduled once per week,['NHK'],"None found,",['KOO-KI'],Original,,,5 min.,G - All Ages,[],#14264,#19604,297,0,,"Shuwawan! chronicles the family life of real-life photographer and essayist Harumichi Saitou. Saitou and his wife are both deaf, his children are both hearing, and the family communicates in sign language. The anime draws on Saitou's own Ikuji Manga Nikki (Child-rearing Manga Diary) work. (Source: ANN)",[],Shuwawan!,,,['Slice of Life'],['Childcare'],,,,
122,アイラブみー,,['TV'],Unknown,Currently Airing,"Oct 23, 2022 to ?",['Fall 2022'],Unknown,['NHK'],"None found,",['Oddjob'],Original,,['Kids'],10 min.,G - All Ages,[],#21319,#19835,285,0,,The second season of I Love Me.,"['Prequel (TV) I Love Me', '']",I Love Me 2nd Season,,,,,,,,
123,新西游历险记,,['TV'],52,Currently Airing,"Jan 19, 2024 to ?",['Winter 2024'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy']",,14 min. per ep.,PG-13 - Teens 13 or older,[],#15628,#20351,257,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xin Xiyou Lixian Ji,,,,['Martial Arts'],,,,
124,ようこそ認知症世界へ,,['TV'],Unknown,Currently Airing,"Aug 14, 2022 to ?",['Summer 2022'],Unknown,['NHK'],"None found,","None found,",Original,"['Adventure', 'Slice of Life']",,5 min.,G - All Ages,[],#15964,#20752,235,0,,"Travel through the words of people with dementia by seeing how they experience the everyday and problems they face. (Source: Official site, translated)",[],Youkoso Ninchishou Sekai e,,,,['Educational'],,,,
125,카비온,,['TV'],Unknown,Currently Airing,"Sep 2, 2023 to ?",['Fall 2023'],Saturdays at 14:45 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Kids'],14 min.,PG - Children,[],#19617,#20758,233,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Cabeon,,,,,,,,
126,おはよう！ うんこ先生,,['TV'],Unknown,Currently Airing,"Jul 26, 2024 to ?",['Summer 2024'],Fridays at 16:00 (JST),"None found,","None found,","None found,",['Manga'],,,2 min.,PG - Children,[],#18148,#20905,227,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ohayou! Unko-sensei,Good Morning Mr. Poop!,,['Comedy'],,,,,
127,笑うレッドリスト,,['TV'],Unknown,Currently Airing,"Aug 14, 2024 to ?",['Summer 2024'],Unknown,['NHK'],"None found,","None found,",Original,,,5 min.,G - All Ages,[],#15122,#21155,211,0,,"Endangered animals complain about humans! The animals' complaints reveal the relationship between nature and humans! (Source: NHK, translated)",[],Warau Red List,,,['Comedy'],['Educational'],,,,
128,라바 인 마스,,['TV'],Unknown,Currently Airing,"Jan 13, 2024 to ?",['Winter 2024'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Sci-Fi']",['Kids'],3 min.,G - All Ages,[],#17124,#21173,209,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Larva Family', '']",Larva in Mars,,"['Gag Humor', 'Space']",,,,,,
129,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,['Kids'],18 min.,G - All Ages,[],#17834,#21840,174,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,,['Fantasy'],,,,,
130,おしりたんてい,,['TV'],15,Finished Airing,"Apr 6, 2024 to Nov 16, 2024",['Spring 2024'],Saturdays at 09:00 (JST),"None found,","None found,",['Toei Animation'],Picture book,"['Comedy', 'Fantasy', 'Mystery']",,20 min. per ep.,PG - Children,[],#18250,#22103,164,0,,Eighth season of Oshiri Tantei.,"['Prequel (TV) Oshiri Tantei 7th Season', 'Sequel (TV) Oshiri Tantei 9th Season']",Oshiri Tantei 8th Season,Butt Detective,,,['Detective'],,,,
131,헬로 카봇 시즌15,Hello Carbot Star Guardian,['TV'],26,Currently Airing,"Jun 30, 2024 to ?",['Summer 2024'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],11 min. per ep.,PG - Children,[],#21012,#22488,148,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 14', '']",Hello Carbot Season 15,,"['Mecha', 'Racing']",['Action'],,,,,
132,메탈카드봇S,Metal Cardbot S,['TV'],26,Currently Airing,"Aug 26, 2024 to ?",['Summer 2024'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Kids'],11 min. per ep.,PG - Children,[],#17563,#23036,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Metal Cardbot', '']",Metal Cardbot S,,,,,,,,
133,캐리야! 학교가자,,['TV'],26,Currently Airing,"May 4, 2024 to ?",['Spring 2024'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],13 min. per ep.,PG - Children,[],#19663,#24879,92,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Carrie! Haggyogaja,,,,['School'],,,,
