,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Synonyms,Theme,Demographics
184,ぼくたちは勉強ができない「渚に失せものありて先人は艶然と[X]する」,We Never Learn: BOKUBEN - The Predecessor [X] with Elegance with the Missing Item on the Beach,,,,['OVA'],1,Finished Airing,"Nov 1, 2019",,,"['Aniplex', 'Movic', 'Shueisha', 'BS11', 'ADK']",['Aniplex of America'],"['Silver', 'Arvo Animation']",['Manga'],,"['Harem', 'School']",['Shounen'],25 min.,PG-13 - Teens 13 or older,7.27,#3002,#2786,"69,402",78,33017,"The episode adapts chapters 48 and 49, which follow Yuiga and Asumi going on a fake date, and Yuiga encountering his teacher Mafuyu Kirisu after she accidentally loses her swimsuit top. (Source: MAL News)","['Adaptation (Manga) Bokutachi wa Benkyou ga Dekinai', '']",Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,"['Comedy', 'Romance']",Bokutachi wa Benkyou ga Dekinai OVA,,
185,アイベヤ THE ANIMATION,,,,,['OVA'],1,Finished Airing,"Nov 29, 2019",,,['Pink Pineapple'],"None found,",['Seven'],Visual novel,['Hentai'],,,27 min.,Rx - Hentai,7.26,N/A,#5917,"13,895",86,6563,"With his parents abroad and his house in renovation all of a sudden, Kouta Kazama ends up staying at the home of his neighbor, Aki Hayama, sharing a room with her. Being childhood friends, they used to be very close, but now, as a man and woman sleeping together, it might not take too long for them to realize their true feelings for each other. [Written by MAL Rewrite]","['Adaptation (Light Novel) Aibeya: Osananajimi no Ie de, Honto no Koi wo Shiru Tame no Dousei Seikatsu', '']",Aibeya The Animation,,,,
186,らぶりー♡,Lovely Aina-chan,,,,['OVA'],2,Finished Airing,"Nov 8, 2019 to Feb 7, 2020",,,['Mary Jane'],"None found,",['New Generation'],['Manga'],['Hentai'],,,14 min. per ep.,Rx - Hentai,7.10,N/A,#6339,"11,593",63,5057,"Andou Aina is an active girl who likes teasing her home room teacher, Tanaka. He is asked by Aina if he is a virgin one day, and she decides to take his virginity. And like this, he is grabbed by a girl who is much younger than he is…","['Adaptation (Manga) Lovely♡', '']",Lovely ♡,,Lovely Heart,,
187,キスハグ,,,,,['OVA'],2,Finished Airing,"Dec 27, 2019 to Feb 28, 2020",,,"['Queen Bee', 'Mediabank']","None found,",['Blue bread'],['Manga'],['Hentai'],,,19 min. per ep.,Rx - Hentai,6.67,N/A,#6637,"10,420",29,4109,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Kiss Hug', '']",Kiss Hug,,,,
188,屈辱,,,,,['OVA'],2,Finished Airing,"Nov 1, 2019 to Dec 6, 2019",,,['Lune-Pictures'],"None found,",['T-Rex'],Visual novel,['Hentai'],,,16 min. per ep.,Rx - Hentai,6.85,N/A,#6897,"9,508",37,3852,"Humiliation is a story about a young man that got his way into a presigeous elite academy. Though he is looked down upon by most, he has the ability to manipulate peoples minds and bodily functions. And he will use his power to get his way at all costs.","['Sequel (OVA) Kutsujoku 2 The Animation', '']",Kutsujoku,,Humiliation,,
189,ボクと彼女[女医]の診察日誌 THE ANIMATION,,,,,['OVA'],1,Finished Airing,"Dec 20, 2019",,,['Pink Pineapple'],"None found,",['Studio 1st'],Visual novel,['Hentai'],,,23 min.,Rx - Hentai,7.05,N/A,#7033,"9,064",35,4106,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (OVA) Boku to Nurse no Kenshuu Nisshi The Animation', '']",Boku to Joi no Shinsatsu Nisshi The Animation,,,,
190,ラブホリック ~魅惑の乙女と白濁カンケイ~ THE ANIMATION,,,,,['OVA'],2,Finished Airing,"Nov 29, 2019 to Dec 20, 2019",,,['Pink Pineapple'],"None found,",['Seven'],Visual novel,,,,18 min. per ep.,Rx - Hentai,7.21,N/A,#7079,"8,937",38,3821,"Based on the erotic game by Atelier Kaguya Bare & Bunny. In a world where humans and demi-humans coexist, Taichi Amano has by accident drank some blood of Kuon Aoe, the most popular girl in the school. Drinking her blood changed his body to have a special constitution which awakens demi-humans. In exchange for protecting Taichi from whoever would target him, the Aoe house made him cooperate with awakening Kuon... (Source: VNDB)","['Sequel (OVA) Mama x Holic: Miwaku no Mama to Amaama Kankei - The Animation', '']",Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation,"['Fantasy', 'Hentai']",,['Urban Fantasy'],
191,真夜中のオカルト公務員 袋小路とあの子と俺と,"Midnight Occult Civil Servants: The Blind Alley, the Boy, and I",,,,['OVA'],1,Finished Airing,"Nov 22, 2019",,,"None found,","None found,",['LIDENFILMS'],['Manga'],,"['Adult Cast', 'Mythology', 'Workplace']",['Shoujo'],25 min.,PG-13 - Teens 13 or older,6.82,#5220,#7731,"7,162",3,2630,"Bundled with the limited edition 12th manga volume. Miyako Arata is newly assigned to the Shinjuku Ward Nocturnal Community Relations Division. Each of Tokyo's 23 wards has one such department, established to mitigate paranormal and occult-related events. Arata's special skill is the understanding of non-human speech, and the story begins with him encountering a youkai at Shinjuku Imperial Gardens who refers to him as the legendary Heian-era exorcist, Abe no Seimei. (Source: Mayonaka No Occult Wikia)","['Prequel (TV) Mayonaka no Occult Koumuin', 'Sequel (OVA) Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki/Sakura no Mori no Mankai no Shita', 'Adaptation (Manga) Mayonaka no Occult Koumuin', '']",Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,"['Mystery', 'Supernatural']",Mayonaka no Occult Koumuin OVA,,
192,しごカレ ~エッチな女子大生とドキx2ラブレッスン!! THE ANIMATION,,,,,['OVA'],1,Finished Airing,"Oct 25, 2019",,,['Pink Pineapple'],"None found,",['Shion'],Visual novel,['Hentai'],,,26 min.,Rx - Hentai,6.65,N/A,#8004,"6,561",15,2370,"Suou Akira was able to recover from an incurable disease, but now he must pass exams to stay in school. He gets help and the people who end up tutoring him are all college girls!","['Adaptation (Light Novel) Shigokare: Ecchi na Joshidaisei to Doki x2 Love Lesson!!', '']",Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,,,,
193,のぞき彼女,,,,,['OVA'],4,Finished Airing,"Dec 27, 2019 to Aug 27, 2021",,,"None found,","None found,",['Nur'],Original,['Hentai'],,,25 min. per ep.,Rx - Hentai,5.99,N/A,#8341,"5,942",16,2093,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nozoki Kanojo,,,,
194,"人妻, 蜜と肉",,,,,['OVA'],4,Finished Airing,"Nov 29, 2019 to May 29, 2020",,,"['Queen Bee', 'Mediabank']","None found,",['Blue bread'],['Manga'],['Hentai'],,,20 min. per ep.,Rx - Hentai,6.21,N/A,#8368,"5,906",19,2331,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Hitozuma, Mitsu to Niku', '']","Hitozuma, Mitsu to Niku",,,,
195,ヴァルキリーハザード,,,,,['OVA'],1,Finished Airing,"Dec 27, 2019",,,['Mousou Jitsugen Media'],"None found,","None found,",['Manga'],['Hentai'],,,19 min.,Rx - Hentai,5.14,N/A,#11355,"2,359",2,814,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Valkyrie Hazard,,,,
196,僕のヒーローアカデミア THE MOVIE　ヒーローズ：ライジング,My Hero Academia: Heroes Rising,My Hero Academia: Heroes Rising,My Hero Academia: El Despertar de los Héroes,My Hero Academia: Heroes Rising,['Movie'],1,Finished Airing,"Dec 20, 2019",,,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'TOHO', 'Sony Music Entertainment', 'Nippon Television Network', 'Shueisha', 'Toho Music']",['Funimation'],['Bones'],['Manga'],['Action'],,['Shounen'],1 hr. 44 min.,PG-13 - Teens 13 or older,7.94,#748,#388,"597,995","1,824",350043,"Izuku ""Deku'' Midoriya and his fellow students in Class 1-A of UA High's hero course have been chosen to participate in a safety program on Nabu Island. To further improve their skills and gain experience in more ordinary heroics, the students aid the kind citizens with small services and everyday chores. With the low crime rate in the quiet community, all seems well and good, but the rise of a new villain threatens to put the students' courage to the test and challenge their capabilities as heroes. A merciless villain by the name of Nine is in search of a certain ""quirk"" needed to fulfill his diabolical plan—creating a society where only those with the strongest quirks reign supreme. As his attack on Nabu Island endangers the lives of the residents, securing the citizens becomes the first priority for Class 1-A; defeating Nine along with his wicked accomplices is also imperative. A straightforward strategy is formulated until a young boy named Katsuma Shimano, whom Deku had befriended, suddenly requires particular protection. Concerned for the boy's wellbeing, Deku and his classmates must now devise a plan to ensure Katsuma's safety at all costs. With Nine wreaking havoc to find the catalyst for his ill-intended schemes and the heroes desperate to defend Katsuma from harm, will Deku and his friends be able to come out victorious, or will they find themselves unable to escape a hopeless situation? [Written by MAL Rewrite]","['Sequel (Special) Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni', 'Adaptation (Light Novel) Boku no Hero Academia the Movie: Heroes:Rising']",Boku no Hero Academia the Movie 2: Heroes:Rising,,My Hero Academia the Movie 2: Heroes:Rising,['Super Power'],
197,Re：ゼロから始める異世界生活『氷結の絆』,Re:ZERO -Starting Life in Another World- The Frozen Bond,Re:ZERO -Starting Life in Another World- The Frozen Bond,Re:ZERO - Starting Life in Another World - The Frozen Bond,Re:ZERO -Starting Life in Another World- The Frozen Bond,['Movie'],1,Finished Airing,"Nov 8, 2019",,,"['TV Tokyo', 'AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa']","None found,",['White Fox'],['Light novel'],,,,1 hr. 16 min.,PG-13 - Teens 13 or older,7.59,#1623,#899,"289,839",675,150170,"Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago. Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate? [Written by MAL Rewrite]","['Sequel (TV) Re:Zero kara Hajimeru Isekai Seikatsu', 'Adaptation (Manga) Re:Zero kara Hajimeru Isekai Seikatsu: Hyouketsu no Kizuna', 'Adaptation (Light Novel) Re:Zero kara Hajimeru Zenjitsutan', '']",Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,"['Drama', 'Fantasy', 'Suspense']",Re:Zero kara Hajimeru Isekai Seikatsu OVA 2,['Psychological'],
198,冴えない彼女の育てかた Fine,Saekano the Movie: Finale,,,,['Movie'],1,Finished Airing,"Oct 26, 2019",,,['Aniplex'],"None found,",['CloverWorks'],['Light novel'],,"['Harem', 'Otaku Culture', 'School']",,1 hr. 54 min.,PG-13 - Teens 13 or older,8.42,#186,#1320,"194,014","2,673",88442,"With the second Winter Comiket just around the corner, Blessing Software has been vigorously producing its new game, ""How to Raise a Boring Girlfriend."" Despite Utaha Kasumigaoka and Eriri Spencer Sawamura leaving the circle, Megumi Katou and Tomoya Aki are hopeful that, by sticking to Tomoya's original vision for the game, their upcoming creation will exceed Blessing Software's previous installment. With the addition of new members Iori and Izumi Hashima, development ensues—but not without its share of setbacks. Things rarely go as planned in the dating sim industry, with numerous obstacles forcing Tomoya to decide between helping his friends or completing the game. Saenai Heroine no Sodatekata Fine draws the series to a close as Tomoya selects his final route, both within his personal life and Blessing Software. [Written by MAL Rewrite]","['Prequel (TV) Saenai Heroine no Sodatekata ♭', 'Adaptation (Manga) Saenai Heroine no Sodatekata', 'Adaptation (Manga) Saenai Heroine no Sodatekata: Egoistic-Lily', 'Adaptation (Light Novel) Saenai Heroine no Sodatekata']",Saenai Heroine no Sodatekata Fine,"['Comedy', 'Romance']","Saenai Heroine no Sodatekata Movie, Saekano: How to Raise a Boring Girlfriend Movie",,
199,空の青さを知る人よ,Her Blue Sky,Her Blue Sky,Her Blue Sky,,['Movie'],1,Finished Airing,"Oct 11, 2019",,,"['Aniplex', 'Fuji TV', 'TOHO', 'Kadokawa', 'STORY']","None found,",['CloverWorks'],Original,,"['Music', 'Time Travel']",,1 hr. 46 min.,PG-13 - Teens 13 or older,7.47,#2087,#1851,"128,600",419,46439,"High school student Aoi Aioi lives with her elder sister, Akane, after a tragic accident took their parents away 13 years ago. Because Akane has since been taking care of her single-handedly, Aoi wants to move to Tokyo after her graduation to relieve her sister's burden and pursue a musical career, inspired by Akane's ex-boyfriend Shinnosuke ""Shinno"" Kanamuro. Shinno was part of a band until he left for Tokyo to become a professional guitarist after the sisters' parents passed away, and he was never to be seen again. One afternoon, while Aoi practices her bass in a guest house, she gets startled by the 18-year-old version of Shinno from 13 years ago! As if by coincidence, the current 31-year-old Shinno also returns to the town, but he has changed drastically. There are now two Shinno's in existence, but why is the Shinno from the past present? Sora no Aosa wo Shiru Hito yo revolves around these four individuals as they confront their inner feelings toward each other and make decisions that will affect their lives from here on out. [Written by MAL Rewrite]","['Adaptation (Manga) Sora no Aosa wo Shiru Hito yo', '']",Sora no Aosa wo Shiru Hito yo,"['Drama', 'Romance', 'Supernatural']",The Person Who Knows How Blue the Sky Is,,
200,BLACKFOX,Blackfox,,,,['Movie'],1,Finished Airing,"Oct 5, 2019",,,['Infinite'],['Crunchyroll'],['Studio 3Hz'],Original,['Action'],,,1 hr. 30 min.,PG-13 - Teens 13 or older,6.68,#6026,#2490,"83,477",143,34938,"Rikka Isurugi has spent her life training in the way of the ninja with her grandfather Hyoe while following in the footsteps of her father, the esteemed researcher Allen. His work has culminated in a set of cutting- edge drones equipped with artificial intelligence and incredible technical capabilities; although Allen plans to develop these drones for civilian use, there are others who have more sinister ideas in mind. On Rikka's 16th birthday, things are forever changed when a paramilitary group raids the Isurugi house in search of the drone technology, killing Allen and Hyoe while Rikka manages to escape with the drones. Months pass, and Rikka is now an ordinary girl working as a private detective while sharing an apartment with another girl, Melissa. But when night falls, she dons her grandfather's fox mask and mercilessly hunts down those responsible for the attack. With the anger she felt that day driving her forward, Rikka will not rest until her family's killers receive the justice that they deserve. [Written by MAL Rewrite]",[],Black Fox,,,,
201,フラグタイム,,,,,['Movie'],1,Finished Airing,"Nov 22, 2019",,,"['WOWOW', 'Sotsu', 'Pony Canyon', 'Fuji TV']",['Sentai Filmworks'],"['Tear Studio', 'East Fish Studio']",['Manga'],,"['School', 'Super Power']",,1 hr.,PG-13 - Teens 13 or older,6.56,#6713,#3316,"50,179",121,19993,"Misuzu Moritani is an introvert who has always had difficulty interacting with her classmates, quickly becoming flustered whenever someone tries to talk to her. Sometimes, she will use her ability to stop time for three minutes to escape troublesome social situations. One day, as Misuzu watches the suspended environment around her, she observes that her classmate, Haruka Murakami, is somehow able to move despite her temporal influence. From that moment on, Misuzu experiences new wonders as she explores more of the world she has long avoided; no matter where time may take her, Misuzu can count on Haruka to always be at her side. [Written by MAL Rewrite]","['Adaptation (Manga) Fragtime', '']",Fragtime,"['Girls Love', 'Supernatural']","Frag Time, Flagtime, Flag Time",,
202,Re:ゼロから始める異世界生活 氷結の絆 マナームービー,Re:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie,"Re.ZERO, Starting Life In Another World, Bünde aus Eis",Re:ZERO -Starting Life in Another World- The Frozen Bond,Re:ZERO -Starting Life in Another World- The Frozen Bond,['Movie'],1,Finished Airing,"Nov 8, 2019",,,['White Fox'],"None found,",['Studio PuYUKAI'],['Light novel'],['Fantasy'],,,3 min.,G - All Ages,7.55,#1788,#3419,"47,323",93,20132,A manner movie shown before Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna.,[],Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,,Re:ZERO: Starting Life in Another World - Frozen Bonds - Manner Movie,,
203,ルパン三世 THE FIRST,Lupin III: The First,,,,['Movie'],1,Finished Airing,"Dec 6, 2019",,,"['TOHO', 'HOTZIPANG', 'Abe Shuuji Jimusho']",['GKIDS'],"['TMS Entertainment', 'Marza Animation Planet']",['Manga'],,,['Seinen'],1 hr. 32 min.,PG-13 - Teens 13 or older,7.80,#1038,#4007,"34,865",185,18599,"The iconic ""gentleman thief"" Lupin III returns in an action-packed, continent-spanning adventure, as Lupin III and his colorful underworld companions race to uncover the secrets of the mysterious Bresson Diary, before it falls into the hands of a dark cabal that will stop at nothing to resurrect the Third Reich. The gang undertakes trap-filled tombs, aerial escapades, and daring prison escapes with the trademark wit and visual finesse that have made Lupin the 3rd one of the most storied animation franchises in the world, in a thrilling new caper that is sure to delight fans old and new. (Source: GKIDS, edited)",[],Lupin III: The First,"['Action', 'Adventure', 'Comedy', 'Mystery']",Lupin Sansei: The First,['Adult Cast'],
204,ぼくらの7日間戦争,Seven Days War,,Seven Days War,,['Movie'],1,Finished Airing,"Dec 13, 2019",,,"['Dentsu', 'GAGA', 'Universal Music Japan', 'GYAO!', 'Kadokawa', 'Yomiuri Shimbun', 'Global Solutions', 'Sony Music Solutions', 'TBS Radio']",['Crunchyroll'],['Ajia-do'],Novel,,,,1 hr. 27 min.,G - All Ages,6.63,#6297,#4158,"32,495",55,10795,"Mamoru Suzuhara is an introverted high school student who spends his free time reading up on modern warfare. Upon discovering that his crush, Aya Chiyono, is reluctantly moving away with her family next week, he musters enough courage to ask her to run away with him. Consequently, Mamoru, Aya, and four of their fellow classmates set out and camp in the abandoned Satomi Coal Factory. After enjoying themselves during their first day there, they come to the surprising conclusion that they may not be alone in the factory. Bokura no Nanokakan Sensou, based on the novel of the same name, is a coming-of-age story about an act of rebellion that evolves into a full-out war against the adults. Meanwhile, the children struggle to open up about their feelings and protect what they hold dear. [Written by MAL Rewrite]","['Adaptation (Manga) Bokura no Nanokakan Sensou', '']",Bokura no Nanokakan Sensou,"['Action', 'Comedy', 'Drama']","7 Days War, Our Seven-Day War",,
205,銀河英雄伝説 Die Neue These 星乱 第3章,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3,,La Leyenda de los Héroes de la Galaxia: La Nueva Tesis. Stellar War Parte 3,,['Movie'],4,Finished Airing,"Nov 29, 2019",,,['Shochiku'],"None found,",['Production I.G'],Novel,,"['Adult Cast', 'Military', 'Space']",,25 min. per ep.,R - 17+ (violence & profanity),8.28,#299,#4450,"28,050",109,13873,"At the behest of Admiral Yang Wen-li, defected intelligence officer Commander Baghdash makes an emergency broadcast announcing that the National Salvation Military Council staged a coup under the direction of the Galactic Empire. Despite the lack of physical evidence, this debilitating declaration inspires former Rear Admiral Andrew Lynch to reveal his own role in sowing discord within the Free Planets Alliance. A fatal shootout between Lynch and Admiral Dwight Greenhill acts as the final death knell to the short-lived period of martial rule. Within the Galactic Empire, footage of Duke Otto von Braunschweig's nuclear bombing of Westerland results in the dissolution of the Lippstadt League. Marquis Reinhard von Lohengramm's decision to allow the massacre for personal gain creates a rift between him and High Admiral Siegfried Kircheis, souring the taste of their inevitable victory. Now on the cusp of achieving absolute power, Reinhard is embattled by his apparent personal failings and the heavy responsibilities of leadership. Though the civil wars in both the Alliance and the Empire are coming to a close, neither side can ever regain what is lost. Yang Wen-li and Reinhard von Lohengramm each take bitter solace in the knowledge that just on the other side of the galaxy is a worthy opponent—and a true equal. [Written by MAL Rewrite]","['Prequel (Movie) Ginga Eiyuu Densetsu: Die Neue These - Seiran 2', 'Sequel (Movie) Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu', 'Adaptation (Manga) Ginga Eiyuu Densetsu', 'Adaptation (Manga) Ginga Eiyuu Densetsu']",Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"['Drama', 'Sci-Fi']","The Legend of the Galactic Heroes: The New Thesis - Stellar War Part 3, Ginga Eiyuu Densetsu: Die Neue These 2nd Season",,
206,銀河英雄伝説 Die Neue These 星乱 第2章,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 2,Legend of the Galactic Heroes: Die Neue These Second,La Leyenda de los Héroes de la Galaxia: La Nueva Tesis. Stellar War Parte 2,Legend of the Galactic Heroes: Die Neue These Second,['Movie'],4,Finished Airing,"Oct 25, 2019",,,['Shochiku'],"None found,",['Production I.G'],Novel,,"['Adult Cast', 'Military', 'Space']",,25 min. per ep.,R - 17+ (violence & profanity),8.17,#442,#4499,"27,438",57,13970,"Marquis Reinhard von Lohengramm's plot to destabilize the Free Planets Alliance succeeds when the treacherous former Rear Admiral Arthur Lynch instigates a coup on Heinessen. Equipped with a plan crafted by Reinhard himself, Lynch encourages his longtime friend Admiral Dwight Greenhill to supervise the National Salvation Military Council's toppling of the civilian government. Seeking to defend democracy and restore the Alliance constitution, Admiral Yang Wen-li faces off against his fellow citizens—and, regrettably, the father of his devoted adjutant Lieutenant Frederica Greenhill. Now with the Free Planets Alliance thoroughly occupied with their own internal matters, the forces of the Galactic Empire can safely suppress the newly formed Lippstadt League led by Duke Otto von Braunschweig. However, with his friend and loyal subordinate High Admiral Siegfried Kircheis fighting far away in the noble-controlled frontier regions, Reinhard increasingly relies on the advice of the ruthless Vice Admiral Paul von Oberstein, whose influence within the esteemed Lohengramm admiralty steadily grows. Though bloodshed is inevitable on both sides of the galaxy, Yang Wen-li of the Alliance and Reinhard von Lohengramm of the Empire each ask themselves the same questions: how will history look back on their actions? Will the ends justify the means? [Written by MAL Rewrite]","['Prequel (Movie) Ginga Eiyuu Densetsu: Die Neue These - Seiran 1', 'Sequel (Movie) Ginga Eiyuu Densetsu: Die Neue These - Seiran 3', 'Adaptation (Manga) Ginga Eiyuu Densetsu', 'Adaptation (Manga) Ginga Eiyuu Densetsu']",Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Drama', 'Sci-Fi']",Ginga Eiyuu Densetsu: Die Neue These 2nd Season,,
207,HUMAN LOST 人間失格,,Human Lost,Human Lost,,['Movie'],1,Finished Airing,"Oct 22, 2019",,,['Slow Curve'],['Funimation'],['Polygon Pictures'],Novel,,,,1 hr. 49 min.,R - 17+ (violence & profanity),5.78,#11044,#5041,"21,000",42,4239,"Half a century after a devastating war that brought Japan on the brink of destruction, a centralized network named Sound Health Everlasting Long Life (SHELL) has become the basis of the new society. Thanks to cutting-edge research on nanomachines and medical treatment, people are guaranteed a life free of diseases, but they are expected to work 19 hours a day in return. Moreover, when someone disconnects from the SHELL system, an extremely rare phenomenon called ""Human Lost"" takes place, transforming humans into monsters—""Lost""—that need to be destroyed, lest society will collapse for good. However, in this society where the fear of pain and death is absent, antisocial behavior is on the rise. Factory worker Takeichi plans to besiege the Ministry of Interior to protest against his inhumane living conditions and manages to convince his friend, the unknown painter Youzou Ooba, to join his cause. But when their suicide operation inevitably fails, Takeichi is left with a body beyond repair and mutates into a Lost, with Youzou immediately following suit. In the ensuing fight, a member of the dispatch team, Yoshiko Hiiragi, uses her ability to detect the Lost and discovers that Youzou has the unique capacity to return to human form. As the third person who survived after becoming a Lost unit, Youzou soon joins Yoshiko in investigating the recent outburst of Human Lost phenomena that threaten the last chances civilization has to be reborn. [Written by MAL Rewrite]","['Adaptation (Manga) Ningen Shikkaku', 'Adaptation (Manga) Ningen Shikkaku', 'Adaptation (Manga) Ningen Shikkaku', '']",Human Lost: Ningen Shikkaku,"['Drama', 'Sci-Fi', 'Suspense']",No Longer Human,['Psychological'],
208,キミだけにモテたいんだ。,,,,,['Movie'],1,Finished Airing,"Oct 25, 2019",,,"None found,","None found,",['Signal.MD'],Original,,,,54 min.,PG-13 - Teens 13 or older,5.30,#12701,#7029,"9,077",10,1256,"The story revolves around five boys who each possess a trait that have negative effects on them. The handsome boys owe a monetary debt to Sakiko Horinomiya, a girl from a rich family. Wanting the money back, she makes them enter the ""Motemen Koshien"" contest, so they can pay her back using the prize money. (Source: MAL News)",[],Kimi dake ni Motetainda.,"['Drama', 'Slice of Life']",,['School'],
209,ストライクウィッチーズ 劇場版 501部隊発進しますっ!,,Strike Witches: 501st Joint Fighter Wing Take Off!,,Strike Witches: 501st Joint Fighter Wing Take Off!,['Movie'],1,Finished Airing,"Oct 4, 2019",,,"None found,",['Funimation'],"['Acca effe', 'Giga Production']",['Manga'],,"['CGDCT', 'Military']",['Shounen'],30 min.,PG-13 - Teens 13 or older,6.71,#5814,#7822,"6,944",6,1881,"Yoshika Miyafuji spends her days peacefully after returning to her hometown. Her former superior officer Mio Sakamoto and others arranged for Yoshika to study abroad at a medical school in Europe. Yoshika returns to Europe with Shizuka Hattori, who was Sakamoto's student at the naval academy. As Yoshika returns to Europe and new signs of Neuroi emerge, the other former members of the 501st Joint Fighter Wing, who were scattered in various locations, also begin to gather again. A powerful Neuroi then appears before Yoshika and Shizuka. (Source: ANN)","['Adaptation (Manga) Strike Witches: Dai-501 Tougou Sentou Koukuudan', '']",Strike Witches: 501 Butai Hasshin Shimasu! Movie,"['Comedy', 'Sci-Fi']",,,
210,劇場版 ガンダム Gのレコンギスタ I 行け！コア・ファイター,Gundam Reconguista in G I: Go! Core Fighter,,,,['Movie'],1,Finished Airing,"Nov 29, 2019",,,"None found,","None found,",['Sunrise'],Original,,"['Mecha', 'Space']",,1 hr. 30 min.,PG-13 - Teens 13 or older,6.55,#6803,#8959,"4,969",4,1789,The first summary movie of the Gundam: G no Reconguista series.,"['Sequel (Movie) Gundam: G no Reconguista Movie II - Bellri Gekishin', 'Adaptation (Manga) Gundam: G no Reconguista']",Gundam: G no Reconguista Movie I - Ike! Core Fighter,"['Action', 'Sci-Fi']","G-Reco Movie 1, Gekijouban Gundam G no Reconguista 1, Gundam: G no Reconguista Movie 1 - Go! Core Fighter",,
211,映画スター☆トゥインクルプリキュア 星のうたに想いをこめて,,,,,['Movie'],1,Finished Airing,"Oct 19, 2019",,,"None found,","None found,",['Toei Animation'],Original,['Action'],,,1 hr. 12 min.,G - All Ages,7.79,#1054,#9002,"4,885",19,2050,"When a meteor shower causes a mysterious star-shaped alien to land in Lala Hagoromo and Hikaru Hoshina's home, the girls find themselves having to take care of the mischievous creature whom they name ""Yuma."" Although their relationship gets off to a rocky start, Lala and Yuma eventually connect through their similar passions for music and exploration. However, when strange alien hunters targeting Yuma arrive on Earth, the girls learn that there is more to Yuma than what meets the eye. In protecting Yuma, the Star☆Twinkle Precure find themselves entangled in an astronomical battle where the fate of the galaxy is at stake! Will Yuma feel the Precure's emotions through their melody, and can they make the necessary sacrifices to defend everything they love? [Written by MAL Rewrite]",[],Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,,,['Mahou Shoujo'],
212,蒼穹のファフナー Dead Aggressor THE BEYOND,,,,,['Movie'],3,Finished Airing,"Nov 8, 2019",,,['King Records'],"None found,","['Production I.G', 'I.Gzwei']",Original,,"['Mecha', 'Military']",,25 min. per ep.,PG-13 - Teens 13 or older,7.30,#2830,#9186,"4,606",4,1084,Episodes 4-6 of the Soukyuu no Fafner: Dead Aggressor - The Beyond series.,"['Prequel (Movie) Soukyuu no Fafner: Dead Aggressor - The Beyond', 'Sequel (Movie) Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3']",Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2,"['Action', 'Drama', 'Sci-Fi']",,,
