,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,Demographics
39,,装神少女まとい,Matoi the Sacred Slayer,Matoi the Sacred Slayer,Matoi the Sacred Slayer,Matoi the Sacred Slayer,['TV'],12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016",['Fall 2016'],Tuesdays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Movic', 'Half H.P Studio', 'Q-Tec', 'Medicos Entertainment', 'Infinite', 'Kyoto Broadcasting System']",['Sentai Filmworks'],['White Fox'],Original,['Supernatural'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.71,#5809,#4345,"29,459",33,9126,"Matoi Sumeragi wishes for nothing more than to lead a normal life away from the spotlight. She is quite satisfied alternating between school and her part-time job at her best friend Yuma Kusanagi's family shrine. But this routine life is permanently disturbed when a Night—an evil extra-dimensional entity—attacks the shrine. Matoi is able to drive it off after unwittingly calling upon the powers of a god, the natural enemies of the Nights. Matoi and Yuma are soon joined by Claris Tonitolus, an experienced exorcist from the Vatican, and agent Haruka Luciela, who works for the secretive Night defense organization IATO. Despite not knowing the perpetrator behind these attacks nor their motive, Matoi must come to master this newfound power in order to protect both the people around her and the once normal life she holds so dear. [Written by MAL Rewrite]","['Sequel (Special) Soushin Shoujo Matoi: Kabushiki Gaisha Knight Busters', '']",Soushin Shoujo Matoi,,,
40,,信長の忍び,Ninja Girl & Samurai Master,Ninja Girl & Samurai Master,,Ninja Girl & Samurai Master,['TV'],26,Finished Airing,"Oct 4, 2016 to Mar 28, 2017",['Fall 2016'],Tuesdays at 21:55 (JST),"None found,","None found,",['TMS Entertainment'],['4-koma manga'],['Comedy'],,,3 min. per ep.,PG-13 - Teens 13 or older,7.11,#3866,#4421,"28,440",37,10536,"Rescued from nearly drowning in a river, a young Chidori yearns to pay back her savior's kindness. Though her cute and innocent appearance might not show it, she is actually a highly skilled ninja, so years later, Chidori and her friend Sukezou come to serve under the man who saved her—the ambitious warlord, Nobunaga Oda. As Nobunaga fights off invading forces and sets his sights upon neighboring lands, Chidori is assigned vital tasks to assure victory, such as gathering information or assassinating key figures. Between taking on these important missions and dealing with the colorful cast of Nobunaga's family and servants, the young ninja is always ready to do her best to lead her master toward greatness. [Written by MAL Rewrite]","['Prequel (Special) Nobunaga no Shinobi: Nobunaga to Minarai Shinobi', 'Sequel (TV) Nobunaga no Shinobi: Ise Kanegasaki-hen', 'Adaptation (Manga) Nobunaga no Shinobi', '']",Nobunaga no Shinobi,,['Historical'],
41,,クラシカロイド,ClassicaLoid,,,,['TV'],25,Finished Airing,"Oct 8, 2016 to Apr 1, 2017",['Fall 2016'],Saturdays at 17:30 (JST),"['NHK', 'Bandai Namco Pictures']",['Sentai Filmworks'],['Sunrise'],Original,['Comedy'],"['Anthropomorphic', 'Music']",,24 min. per ep.,PG-13 - Teens 13 or older,6.41,#7637,#4524,"27,108",88,7071,"Ever since her father used up the last of the family fortune and skipped town, Kanae Otowa has lived in her family's ancestral mansion, Otowakan. With no way to pay off her father's debts, Otowakan is being foreclosed and Kanae must oust the remaining residents—her friend Sousuke Kagura, and two strange people who claim to be her father's acquaintances, Wolfgang Amadeus Mozart and Ludwig van Beethoven. After somehow being resurrected, Mozart and Beethoven have started going by ""Motes"" and ""Beethes"" respectively, and begun to indulge in a variety of idiotic, non-musical pursuits. While stubbornly refusing to leave Otowakan, Beethes unlocks the hidden power of Musik, saving Otowakan from demolition and delaying his eviction. With this discovery, other Musik users are drawn to Otowakan, including Frédéric Chopin, Franz Liszt, and Franz Schubert. However, not all Musik users have innocent desires. Across the city, the enigmatic Johann Sebastian Bach sits atop a tall building, plotting how to use his Musik. [Written by MAL Rewrite]","['Sequel (TV) ClassicaLoid 2nd Season', '']",ClassicaLoid,,,
42,"Bubuki Buranki 2nd Season, Bubuki Buranki: Star of the Giants",ブブキ・ブランキ 星の巨人,BBK/BRNK: The Gentle Giants of the Galaxy,BBK/BRNK: The Gentle Giants of the Galaxy,BBK/BRNK: The Gentle Giants of the Galaxy,BBK/BRNK: The Gentle Giants of the Galaxy,['TV'],12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016",['Fall 2016'],Saturdays at 21:30 (JST),"['Dentsu', 'AT-X', 'Ultra Super Pictures', 'Sony Music Communications', 'Bushiroad', 'Sammy', 'Kadokawa Media (Taiwan)', 'Tose', 'Kadokawa']","None found,",['SANZIGEN'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.74,#5668,#4548,"26,880",23,11613,Sequel of Bubuki Buranki.,"['Prequel (TV) Bubuki Buranki', '']",Bubuki Buranki: Hoshi no Kyojin,"['Action', 'Drama', 'Sci-Fi']",['Mecha'],
43,,バーナード嬢曰く。,Miss Bernard said.,Miss Bernard Said.,Miss Bernard Said.,Miss Bernard said.,['TV'],12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",['Fall 2016'],Fridays at 01:00 (JST),"['DAX Production', 'Dream Creation', ""Gen'ei""]","None found,",['Creators in Pack'],['Manga'],['Comedy'],,,3 min. per ep.,PG-13 - Teens 13 or older,5.96,#10095,#4810,"23,416",27,10320,"​Sawako Machida—or ""Miss Bernard,"" as she prefers to be called—can frequently be found in the school library with a book in hand. Whether or not she has read it, however, is another matter entirely. In her own words, Sawako finds it too much work to actually read, and would rather just make others believe she spends a lot of time reading. But in the same library where she constantly hangs out, there are other students who love books and are quite upset with her disdainful approach to reading their favorite titles. As she pretends to read and discuss great literary works amid eccentric book lovers, Sawako finds herself learning something after all, as well as making new friends along the way. [Written by MAL Rewrite]","['Sequel (Special) Bernard-jou Iwaku.: Ofuro Dokusho', 'Adaptation (Manga) Bernard-jou Iwaku.']",Bernard-jou Iwaku.,,['School'],
44,,タイガーマスクW,Tiger Mask W,,,,['TV'],38,Finished Airing,"Oct 2, 2016 to Jul 2, 2017",['Fall 2016'],Sundays at 02:30 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.93,#4703,#4867,"22,796",76,8674,"Two young wrestlers face each other in a recently revived underground wrestling organization, the Tiger's Lair, which destroyed the wrestling dojo they grew up in. One took over the training facilities of Naoto Date at the foot of Mount Fuji, as well as the mask he left behind. The other dared to enter the Tiger's Lair and won a fierce competition, receiving a jet-black tiger mask. One tiger walks the path of light, while the other walks the path of shadows. Neither one knows the other's face. On the ring, they are natural enemies, but they have the same purpose—destroy the Tiger's Lair! (Source: MAL News)","['Prequel (TV) Tiger Mask Nisei', '']",Tiger Mask W,"['Drama', 'Sports']",['Combat Sports'],
45,,あおおに ～じ・あにめぇしょん～,Aooni The Blue Monster,Aooni The Blue Monster,Aooni The Blue Monster,Aooni The Blue Monster,['TV'],13,Finished Airing,"Oct 3, 2016 to Jan 9, 2017",['Fall 2016'],Mondays at 02:05 (JST),['DAX Production'],"None found,",['Studio Deen'],Game,,,,3 min. per ep.,R - 17+ (violence & profanity),5.11,#13079,#4923,"22,072",34,11416,"In most ordinary high schools, many stories and rumors float around—some scandalous, some happy and some...more macabre. One such example is of monsters lurking in an abandoned mansion outside of town. Such tales, however, prove too tempting to resist for Hiroshi and his friends Mika, Takeshi, and Takurou. They decide to brave the rumored dangers in order to investigate the manor and complete a test of courage. Each of them approaches the mansion with an overwhelming sense of dread. And when they enter, they come upon a blue monster named Ao Oni who attacks them. As Hiroshi and his friends try to solve the various puzzles in the mansion and escape their new blue nemesis, they find themselves meeting several horrible endings as they fail miserably. [Written by MAL Rewrite]",[],Ao Oni The Animation,"['Comedy', 'Horror']",['Gore'],
46,Shi Ling Yanwu,侍霊演武[ソウルバスター],Soul Buster,,,,['TV'],12,Finished Airing,"Oct 4, 2016 to Dec 11, 2016",['Fall 2016'],Tuesdays at 18:30 (JST),['MAGES.'],"None found,",['Pierrot'],['Web manga'],['Action'],,,13 min. per ep.,PG-13 - Teens 13 or older,5.73,#11256,#4943,"21,942",14,7360,"Keishuu, China. The history books say that in the era of the Three Kingdoms, this land was a place of never-ending war. A young high school boy, Sonshin, who hates his city's history, is troubled by a certain dream. When he wakes up from the dream, strange things begin to happen one after another, and without understanding what's going on, he suddenly finds himself facing Gien, one of the generals from the Romance of the Three Kingdoms, who's trying to kill him! Just before Gien's blade strikes home, a mysterious beautiful woman appears in front of Sonshin. What trials await Sonshin, as he witnesses this terrible battle between two generals of the Three Kingdoms? (Source: Crunchyroll)",[],Soul Buster,,['Samurai'],
47,"Age 12., Juuni-sai.",12歳。～ちっちゃなムネのトキメキ～,,,,,['TV'],12,Finished Airing,"Oct 3, 2016 to Dec 19, 2016",['Fall 2016'],Mondays at 19:30 (JST),"['Shogakukan-Shueisha Productions', 'AT-X', 'Nippon Columbia', 'Warner Bros. Japan', 'Shogakukan', 'JR East Marketing & Communications', 'Sun TV']","None found,",['OLM'],['Manga'],['Romance'],,['Shoujo'],24 min. per ep.,PG - Children,6.58,#6601,#5293,"18,584",18,8655,"The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The series depicts a 12-year-old girl's innocent worries and first love. (Source: ANN)","['Prequel (TV) 12-sai.: Chicchana Mune no Tokimeki', 'Adaptation (Manga) 12-sai.']",12-sai.: Chicchana Mune no Tokimeki 2nd Season,,['School'],
48,Appmon,デジモンユニバース アプリモンスターズ,Digimon Universe App Monsters,Digimon Universe App Monsters,Digimon Universe App Monsters,Digimon Universe App Monsters,['TV'],52,Finished Airing,"Oct 1, 2016 to Sep 30, 2017",['Fall 2016'],Saturdays at 09:30 (JST),['Dentsu'],"None found,",['Toei Animation'],Original,,,['Kids'],24 min. per ep.,PG - Children,6.61,#6454,#5558,"16,295",88,6442,"Everyone in the world uses smartphone apps. But inside them lurks unknown creatures called ""Appli Monsters,"" or ""Appmon."" The Appmon are AI lifeforms with the ability to think and act, and exist in the boundary between the human world and digital space. In the vast sea of the internet, the ""last boss AI"" Leviathan takes control of the Appmon with a virus and begins hacking every system, thus starting to control the human world from the world of the net. Haru Shinkai is led to acquire the Appli Drive, and uses it to materialize Gatchmon, a search app monster. (Source: ANN)","['Adaptation (Manga) Digimon Universe: Appli Monsters', '']",Digimon Universe: Appli Monsters,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,
49,,モンスターハンターストーリーズ RIDE ON,Monster Hunter Stories: Ride On,Monster Hunter Stories Ride On,,Monster Hunter Stories Ride On,['TV'],75,Finished Airing,"Oct 2, 2016 to Apr 1, 2018",['Fall 2016'],Sundays at 08:30 (JST),"['Dentsu', 'Fuji TV', 'Capcom', 'Fuji Creative']",['Funimation'],['David Production'],Game,['Fantasy'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.28,#8385,#5577,"16,104",49,3775,"This is a world where both men and monsters exist. Those who hunt the monsters are called Hunters. But in a small corner of the Hunter's world, there are those called Riders who bond with and coexist with monsters. With their Kizuna Ishi (Bonding Stones) that allow them to awaken the hidden power inside monsters, Riders live in secrecy together with their Otomon, the monsters they formed a connection with. Ryuto, a young boy living in the Rider village of Hakum, dreams of becoming the world's best Rider. Having just turned 12, he sets out to find his own Otomon for himself before the ceremony where he is given his own Kizuna Ishi. Together with his kind-hearted childhood friend Cheval, his inquisitive childhood friend Lilia, and his partner Naville, he sets out deep into the forest, and has a miraculous encounter with a Rathalos. (Source: ANN, edited)",[],Monster Hunter Stories: Ride On,,,
50,,てーきゅう 8期,Teekyu 8,Teekyu 8,Teekyu 8,Teekyu 8,['TV'],12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 22:30 (JST),"['DAX Production', 'SMIRAL Animation']","None found,",['Millepensee'],['Manga'],['Comedy'],,['Shounen'],2 min. per ep.,PG-13 - Teens 13 or older,6.62,#6369,#5579,"16,103",13,8487,Eighth season of the Teekyuu anime series.,"['Prequel (TV) Teekyuu 7', 'Sequel (TV) Teekyuu 9', 'Adaptation (Manga) Teekyuu', '']",Teekyuu 8,,,
51,Ani Tore! XX,あにトレ! XX~ひとつ屋根の下で~,Anime de Training! Xx,Anime De Training! XX,Anime de Training! Xx,Anime De Training! XX,['TV'],12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 22:43 (JST),"['F.M.F', 'SMIRAL Animation']","None found,",['Rising Force'],Original,['Sports'],,,4 min. per ep.,PG-13 - Teens 13 or older,5.58,#11862,#5603,"15,947",10,6475,"Sequel of Anitore! EX. New member Sakura Izumi joins the five idol candidates of the previous season. A second year middle schooler, she often wears a big smile on her face. (Source: ANN)","['Prequel (TV) Anitore! EX', '']",Anitore! XX: Hitotsu Yane no Shita de,,,
52,Mahou Shoujo Nante Mouiidesukara.,魔法少女なんてもういいですから。 セカンドシーズン,Mahou Shoujo Nante Mouiidesukara Second Season,Mahou Shoujo Nante Mouiidesukara Zweite Staffel,Mahou Shojo Nante Mouiidesukara Temporada 2,Mahô Shôjo Nante Môiidesukara Saison 2,['TV'],12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 22:38 (JST),"['F.M.F', 'SMIRAL Animation']","None found,",['PINE JAM'],['Web manga'],['Comedy'],,,4 min. per ep.,PG-13 - Teens 13 or older,6.07,#9532,#5867,"14,137",5,7205,Second season of Mahou Shoujo Nante Mou Ii Desu kara.,"['Prequel (TV) Mahou Shoujo Nante Mou Ii desu kara.', 'Adaptation (Manga) Mahou Shoujo nante Mou Ii desukara.']",Mahou Shoujo Nante Mou Ii desu kara. Second Season,,['Mahou Shoujo'],
53,,ナゾトキネ,Nazotokine,,,,['TV'],12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 22:20 (JST),['Pony Canyon Enterprises'],"None found,",['Tengu Kobo'],Original,,,,7 min. per ep.,PG-13 - Teens 13 or older,4.82,#13399,#5984,"13,472",4,4648,"Tokine Amino is the young and overburdened secretary of the CEO at a talent agency. One day while cleaning, she is suddenly transported to a strange alternate dimension ruled by a floating piglike creature. The creature, Hacchin, explains that this dimension is called ""Quizun,"" and transforms her outfit before stating that she cannot leave unless she solves a puzzle within five minutes. While Tokine manages to keep a mostly calm composure and solve the puzzle, Hacchin recognizes her talent and decides that the two will meet again. Now Tokine runs the risk of suddenly being transported to Quizun at any time, along with anyone who may be within her vicinity. [Written by MAL Rewrite]","['Sequel (TV) Kaito x Ansa', '']",Nazotokine,,['Strategy Game'],
54,,CARDFIGHT!! ヴァンガードG NEXT,,Cardfight!! Vanguard G: NEXT,Cardfight!! Vanguard G: NEXT,Cardfight!! Vanguard G: NEXT,['TV'],52,Finished Airing,"Oct 2, 2016 to Oct 1, 2017",['Fall 2016'],Sundays at 10:00 (JST),"['Sotsu', 'Ace Crew Entertainment']","None found,",['OLM'],Card game,['Action'],,,24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6025,#6267,"11,926",18,5245,Third season of Cardfight!! Vanguard G series.,"['Prequel (TV) Cardfight!! Vanguard G: Stride Gate-hen', 'Sequel (TV) Cardfight!! Vanguard G Z']",Cardfight!! Vanguard G Next,,['Strategy Game'],
55,,アイドルメモリーズ,,,,,['TV'],12,Finished Airing,"Oct 3, 2016 to Dec 19, 2016",['Fall 2016'],Mondays at 00:30 (JST),['Glovision'],"None found,",['Seven Arcs Pictures'],Original,,"['Idols (Female)', 'Music']",,12 min. per ep.,PG-13 - Teens 13 or older,5.39,#12463,#6948,"9,343",12,2188,"The story of Idol Memories is set in the near future, where live idol music performances in virtual reality have become commonplace. Against this backdrop, a pair of rival idol groups compete for the coveted ""tiara,"" which represents the number one spot in the ""Idol League."" (Source: Crunchyroll)",[],Idol Memories,,,
56,Chi's Sweet Home (2016),こねこのチー ポンポンらー大冒険,Chi's Sweet Adventure,,,Chi: Mon Chaton Saison 1,['TV'],51,Finished Airing,"Oct 2, 2016 to Sep 24, 2017",['Fall 2016'],Sundays at 07:00 (JST),['Half H.P Studio'],"None found,",['Marza Animation Planet'],['Manga'],['Slice of Life'],,,12 min. per ep.,G - All Ages,6.84,#5140,#7529,"7,614",22,2132,"The combined 22nd and 23rd issue of Kodansha's Morning magazine, which will go on sale on April 28, has announced a new 3D CG anime of Kanata Konami's slice-of-life manga Chi's Sweet Home.","[""Prequel (TV) Chi's Sweet Home: Atarashii Ouchi"", 'Sequel (TV) Koneko no Chi: Ponponra Dairyokou', ""Adaptation (Manga) Chi's Sweet Home"", 'Adaptation (Manga) Kyou no Koneko no Chi']",Koneko no Chi: Ponponra Daibouken,,['Pets'],
57,Ame-iro Cocoa 3,雨色ココア in Hawaii,Rainy Cocoa in Hawaii,,,,['TV'],12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",['Fall 2016'],Sundays at 22:25 (JST),['DAX Production'],"None found,",['EMT Squared'],['Web manga'],,,,2 min. per ep.,PG-13 - Teens 13 or older,4.77,#13447,#7722,"7,174",4,2350,"Ame-iro Cocoa: Rainy Cocoa Goes to Hawaii!! Nozomu Tokura, who is Aoi's older brother, is appointed as the manager of the Hawaii store. With more new characters, will he be able to open up the store there successfully?","['Prequel (TV) Ame-iro Cocoa: Rainy Color e Youkoso!', 'Sequel (TV) Ame-iro Cocoa Series: Ame-con!!']",Ame-iro Cocoa in Hawaii,"['Comedy', 'Slice of Life']",['Workplace'],
58,,にゃんぼー!,Nyanbo!,,,,['TV'],26,Finished Airing,"Sep 27, 2016 to Mar 28, 2017",['Fall 2016'],Tuesdays at 06:40 (JST),"['KlockWorx', 'Asmik Ace', 'bilibili', 'FuRyu', 'Kadokawa', 'Crunchyroll SC Anime Fund', 'NHK Enterprises']",['Discotek Media'],['Shirogumi'],['Manga'],['Comedy'],,,5 min. per ep.,PG - Children,6.36,#7935,#7915,"6,768",8,2472,"The ""Nyanbo"" are creatures with square bodies with ears and tails that came to Earth from outer space. There's Tora, who dreams of repairing their broken UFO and returning to space, as well as his sister Kotora, the precocious Shiro, the mischievous Mike, the mysterious Kuro, and many more. All of these Nyanbos are now happily living much like cats, free-spirited and sometimes getting into trouble, in places that humans don't know about. (Source: Crunchyroll)",[],Nyanbo!,,,
59,Sengoku Wildlife Caricatures,戦国鳥獣戯画~甲~,SENGOKUCHOJYUGIGA,Sengokuchojyugiga,Sengokuchojyugiga,Sengoku Chôjû Giga,['TV'],13,Finished Airing,"Oct 9, 2016 to Jan 8, 2017",['Fall 2016'],Sundays at 01:42 (JST),['King Records'],"None found,",['ILCA'],Original,['Supernatural'],"['Historical', 'Mythology', 'Samurai']",,3 min. per ep.,PG-13 - Teens 13 or older,5.85,#10694,#8034,"6,501",6,2541,"The history, either daily life or life stories of Sengoku warriors, is described using animals. We invite popular young actors and unique casts to voice out those Sengoku warriors while joking about them. An anime that teases Japan's history and Sengoku warriors; that's ""Sengoku Choujuu Giga."" (Source: MAL News)","['Sequel (TV) Sengoku Choujuu Giga: Otsu', '']",Sengoku Choujuu Giga: Kou,,,
60,,はがねオーケストラ,Hagane Orchestra,,,,['TV'],12,Finished Airing,"Oct 10, 2016 to Dec 26, 2016",['Fall 2016'],Mondays at 01:00 (JST),"None found,","None found,",['Fanworks'],Game,,"['Parody', 'Strategy Game']",,4 min. per ep.,PG-13 - Teens 13 or older,5.51,#12083,#8645,"5,463",3,1691,A group of young girls make a living by running an armored vehicle customization workshop in a desert town. They discuss different ways of promoting their business every day. (Source: ANN),[],Hagane Orchestra,"['Adventure', 'Comedy']",,
61,,タイムボカン24,Time Bokan 24,,,,['TV'],24,Finished Airing,"Oct 1, 2016 to Mar 18, 2017",['Fall 2016'],Saturdays at 17:30 (JST),"['Yomiuri Telecasting', 'Level-5']","None found,",['Tatsunoko Production'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,5.85,#10701,#8855,"5,121",2,1374,"Tokio is a junior high student living in the present time who is recruited to be a member of the 24th century's Space-Time Administration Bureau. Together with his partner Calen, their mission is to uncover the ""True History"", the part of history that the textbooks doesn't tell. But in their way is the Akudama Trio that intends to prevent the True History from being revealed for their own personal gains. (Source: Wikipedia)","['Sequel (TV) Time Bokan: Gyakushuu no San Akunin', '']",Time Bokan 24,"['Adventure', 'Comedy']",['Mecha'],
62,Mysterious Joker 4,怪盗ジョーカー シーズン,JOKER 4th Season,,,,['TV'],13,Finished Airing,"Oct 3, 2016 to Dec 26, 2016",['Fall 2016'],Mondays at 19:00 (JST),"['Shogakukan-Shueisha Productions', 'Vega Entertainment', 'Asatsu DK', 'Kids Station', 'd-rights', 'Tokyo MX']","None found,",['Shin-Ei Animation'],['Manga'],,,['Kids'],24 min. per ep.,PG - Children,7.38,#2457,#8959,"4,969",30,2271,"Fourth season in the Kaitou Joker anime series. The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure. (Source: ANN)","['Prequel (TV) Kaitou Joker 3rd Season', 'Adaptation (Manga) Kaitou Joker']",Kaitou Joker 4th Season,"['Adventure', 'Comedy', 'Mystery']",,
63,Bishoujo Yuugi Unit Crane Gale: Crane Game Girls 2,美少女遊戯ユニット クレーンゲールギャラクシー,Crane Game Girls Galaxy,Crane Game Girls Galaxy,Carne Game Girls Galaxy,Crane Game Girls Galaxy,['TV'],12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 22:00 (JST),['Pony Canyon Enterprises'],"None found,",['Kyotoma'],Original,,"['Space', 'Strategy Game']",,13 min. per ep.,PG - Children,4.73,#13490,#9901,"3,662",1,1539,"After utilizing the power of crane games to protect Earth from certain destruction by asteroids, the Crane Game Girls successfully become the planet's most popular idol group. However, their success is bittersweet when their manager, Saya, disappears on the day of their fateful final mission. One day, an Earth Invasion Idol group known as Dark Cherry interrupts a live show and challenges the Crane Game Girls to a battle. To make matters worse, Saya has reappeared as Dark Cherry's manager! As the group prepares to face off against their new foes, they begin to unravel the secrets of Saya's betrayal and the reasons behind the sudden invasion from planet Dark Gorilla. [Written by MAL Rewrite]","['Prequel (TV) Bishoujo Yuugi Unit Crane Game Girls', '']",Bishoujo Yuugi Unit Crane Game Girls Galaxy,"['Comedy', 'Sci-Fi']",,
64,,ヘボット!,HEYBOT!,,,,['TV'],50,Finished Airing,"Sep 18, 2016 to Sep 24, 2017",['Fall 2016'],Sundays at 07:00 (JST),['Bandai'],"None found,",['Bandai Namco Pictures'],Original,,,['Kids'],23 min. per ep.,PG - Children,6.08,#9516,#10618,"2,937",22,1041,"The anime takes place on the screw-shaped island country of Nejigajima and follows the two ""Bokyabots"" Hebot and the Yurui Prince Nejiru as they collect different ""Bokya Neji"" screws. When the Bokyabots wear the Bokya Neji screws on their heads, they're able to compete in ""Bokya Battles,"" battles for who can think up and tell the best jokes. (Source: ANN)",[],Heybot!,"['Comedy', 'Sci-Fi']",['Parody'],
65,,３ねんＤぐみガラスの仮面,The Glass Mask Year 3 Class D,The Glass Mask Year 3 Class D,La Máscara de Cristal 3D,The Glass Mask Year 3 Class D,['TV'],13,Finished Airing,"Oct 3, 2016 to Dec 26, 2016",['Fall 2016'],Mondays at 21:55 (JST),"None found,","None found,",['DLE'],['Manga'],['Comedy'],"['Parody', 'School']",['Shoujo'],4 min. per ep.,PG - Children,4.69,#13528,#10921,"2,681",3,1115,The series re-imagines the Glass Mask manga and its characters in a school gag comedy focused on satirizing modern society. (Source: ANN),"['Adaptation (Manga) Glass no Kamen', '']",3-nen D-gumi Glass no Kamen,,,
66,Kamigaminoki,神々の記,Kamigami no Ki,,,,['TV'],16,Finished Airing,"Nov 25, 2016 to Apr 28, 2017",['Fall 2016'],Fridays at 01:25 (JST),"None found,","None found,",['Sotsu'],Original,,,,2 min. per ep.,PG - Children,5.92,#10315,#13357,"1,278",3,311,"Set during 3000 BCE in the Nile region of Egypt, Kamigami no Ki (""Chronicles of the Gods"") will depict the comical misadventures of Bastet, Anubis, Ra, and the mysterious ghost Medjedo as well as their caretakers, Iabi and Ahkeu. (Source: Crunchyroll)",[],Kamigami no Ki,"['Comedy', 'Supernatural']",['Historical'],
67,,やさ村やさしのやさしい世界,,,,,['TV'],33,Finished Airing,"Sep 2, 2016 to Sep 30, 2018",['Fall 2016'],Mondays at Unknown,['Sony Music Entertainment'],"None found,",['DLE'],Original,['Comedy'],,,30 sec. per ep.,G - All Ages,[],#15997,#13592,"1,198",0,,The series follows a mysterious but gentle-hearted man named Yasashi Yasamura who spreads warmth and human kindness wherever he goes. (Source: Crunchyroll),[],Yasamura Yasashi no Yasashii Sekai,,,
68,"Balala the Fairies: Flying Over Fort Crescent, Balala, Little Magic Fairy: Over the Rainbow, Balala the Fairies Season 4",巴啦啦小魔仙之飞越彩灵堡,Balala the Faries: Over the Rainbow,,,,['TV'],26,Finished Airing,"Nov 13, 2016 to Dec 8, 2016",['Fall 2016'],Sundays at 20:00 (JST),"['B.CMAY PICTURES', 'Alpha Group']","None found,",['Qianqi Animation'],Original,,,,22 min. per ep.,PG - Children,6.04,#9727,#13743,"1,147",2,219,"Not far from the Magical World of Fairy Castle, there is another Magical Kingdom called Colorful Castle. Which is a place full of color, joy and humor, just like a peaceful, carefree paradise... Until one day, at the edge of the Kingdom, There a dark gray island, where the owner of it, The Lord of black curse just woke up from sleep. In order to make his island to become more powerful, he decide to steal the ""Color Magic Energy"" of Colorful Castle for himself. The Lord sent his men, the Black Bean Soldiers, sneak into the colorful Kingdom, to steal the energy. Witnessing her own people been bullied, the princess of the Colorful Kingdom found herself had no strategy left to try, as herself had been cursed by the mysterious curse, and turn into a little pixie. But she would never thought, there will be three girl from the human world, to be on her side, together, they will dealing with the Lord of the black curse. Also, the peaceful and joyful atmosphere of the kingdom, is going to be changed along with the girls break in. (Source: Mahou Shoujo Wikia)","['Prequel (TV) Balala Xiao Mo Xian: Meng Huan Xuan Lu', 'Sequel (TV) Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season']",Balala Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,"['Comedy', 'Fantasy']",['Mahou Shoujo'],
69,Tama and Friends,タマ&フレンズ うちのタマ知りませんか?,,,,,['TV'],104,Finished Airing,"Oct 1, 2016 to Sep 27, 2018",['Fall 2016'],Saturdays at 07:00 (JST),['Sony Creative Products'],"None found,",['Kachidoki Studio'],Original,['Adventure'],,['Kids'],1 min. per ep.,G - All Ages,6.06,#9640,#14274,999,2,227,A new series following the cat named Tama and his many friends.,[],Tama & Friends: Uchi no Tama Shirimasen ka?,,['Pets'],
70,,ペペペペン議員,,,,,['TV'],13,Finished Airing,"Oct 2, 2016 to Dec 25, 2016",['Fall 2016'],Sundays at 22:48 (JST),"['TV Osaka', 'Sanrio', 'Being']","None found,",['DLE'],Original,['Comedy'],,,2 min. per ep.,PG - Children,5.43,#12336,#15590,689,2,144,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],PePePePengiin,,,
71,,きもしば,,,,,['TV'],13,Finished Airing,"Oct 2, 2016 to Dec 25, 2016",['Fall 2016'],Sundays at 07:14 (JST),"None found,","None found,","['TMS Entertainment', 'Jinnis Animation Studios']",Original,,,['Kids'],1 min. per ep.,G - All Ages,[],#19427,#17688,443,0,,"Kimoshiba is a weird type of life form with the shape of an oversize shiba inu, loves eating curry (particularly curry breads), and works at a funeral home. Similar life forms include yamishiba and onishiba. (Source: ANN)","['Sequel (TV) Kimoshiba 2', '']",Kimoshiba,"['Comedy', 'Horror', 'Supernatural']",,
